
[00:00:00.000 --> 00:00:04.400]   We're back.
[00:05:07.040 --> 00:05:12.200]   including the justice of His wrath and the beauty of His mercy.
[00:05:12.200 --> 00:05:19.960]   Now what Cayce is drawing our attention to in the question is that this revelation of
[00:05:19.960 --> 00:05:27.200]   the fullness of God's glory involves the demonstration of righteous wrath in judgment
[00:05:27.200 --> 00:05:34.480]   on one group of people and the demonstration of righteous mercy on another group, and you
[00:05:34.480 --> 00:05:42.640]   can see from the word "mercy" and "wrath" that neither deserve salvation.
[00:05:42.640 --> 00:05:48.120]   You wouldn't need mercy if one were good, and wrath means the other's not good.
[00:05:48.120 --> 00:05:49.440]   Neither's good.
[00:05:49.440 --> 00:05:52.540]   One group gets justice, the other gets mercy.
[00:05:52.540 --> 00:05:56.320]   Neither group gets worse than they deserve.
[00:05:56.320 --> 00:06:03.480]   And Cayce points out that the different description of the two groups in verses 22 and 23 of Romans
[00:06:03.480 --> 00:06:10.600]   9, one group are vessels of wrath prepared or fitted for destruction, the other group
[00:06:10.600 --> 00:06:15.960]   are vessels of mercy which God has prepared beforehand for glory.
[00:06:15.960 --> 00:06:21.800]   And Cayce is pointing out that the Greek words for "prepared" or "fitted" in the first case
[00:06:21.800 --> 00:06:29.800]   and "prepared" in the second case are not only different verbs, but the first is passive
[00:06:29.800 --> 00:06:31.000]   and the second is active.
[00:06:31.000 --> 00:06:33.560]   Let me read it again so you can hear it.
[00:06:33.560 --> 00:06:40.540]   Vessels of wrath which are prepared or fitted, passive verb, for destruction, and then vessels
[00:06:40.540 --> 00:06:45.800]   of mercy which he prepared, active verb, for glory.
[00:06:45.800 --> 00:06:47.360]   And he asks why?
[00:06:47.360 --> 00:06:51.200]   Why different verbs and why active and passive?
[00:06:51.200 --> 00:06:59.660]   And my answer might be frustrating because I'm going to say I don't think we can be dogmatic
[00:06:59.660 --> 00:07:10.560]   about why, precisely why, Paul chose two different verbs which refer to preparing or fitting
[00:07:10.560 --> 00:07:15.300]   two different groups of vessels having similar meaning.
[00:07:15.300 --> 00:07:19.400]   One for destruction, one for glory, one passive, one active.
[00:07:19.400 --> 00:07:26.560]   So let me say what I think with a high level of certainty it does not mean, and then make
[00:07:26.560 --> 00:07:31.840]   a suggestion with less certainty about what it does mean.
[00:07:31.840 --> 00:07:37.440]   It does not mean—so the fact that God has a passive verb in fitting folks for destruction
[00:07:37.440 --> 00:07:46.120]   and an active verb in fitting them for vessels of mercy, it does not mean that God is not
[00:07:46.120 --> 00:07:53.200]   the ultimate decisive sovereign cause of the existence of the two groups.
[00:07:53.200 --> 00:07:55.500]   And the reason I say that is this.
[00:07:55.500 --> 00:08:01.740]   The entire context of Romans 9 points in the other direction.
[00:08:01.740 --> 00:08:09.720]   For example, verse 14, "Jacob I loved, Esau I hated," God active in both.
[00:08:09.720 --> 00:08:18.480]   Verse 18, "He has mercy on whomever he wills, and he hardens whomever he wills," God active
[00:08:18.480 --> 00:08:19.720]   in both cases.
[00:08:19.720 --> 00:08:28.500]   Verse 21, "The potter makes out of the same lump one vessel for honorable use and another
[00:08:28.500 --> 00:08:31.600]   for dishonorable use," God active in both.
[00:08:31.600 --> 00:08:39.360]   So I think it's clear that the decisive actor behind the passive verb "prepared for destruction"
[00:08:39.360 --> 00:08:40.360]   is God.
[00:08:40.360 --> 00:08:48.040]   The point of the verse is not to say, "God, God, prepared vessels of mercy for glory,
[00:08:48.040 --> 00:08:52.360]   but some other force prepared vessels of wrath for destruction."
[00:08:52.360 --> 00:08:54.800]   Verse 18 is clear.
[00:08:54.800 --> 00:09:01.060]   He has mercy on whomever he wills, and he hardens whomever he wills.
[00:09:01.060 --> 00:09:06.920]   God is the decisive actor behind both kinds of vessels.
[00:09:06.920 --> 00:09:13.040]   Now that's what I'm high level of certainty, confident, that it does not mean, namely,
[00:09:13.040 --> 00:09:18.400]   that God isn't the decisive cause behind both vessels.
[00:09:18.400 --> 00:09:27.360]   But my suggestion for why there are two different verbs, one passive, one active, is this, that
[00:09:27.360 --> 00:09:37.080]   Paul does indeed believe that the work of God is different in the way vessels are fitted
[00:09:37.080 --> 00:09:42.640]   for destruction and the way they are fitted for glory.
[00:09:42.640 --> 00:09:49.720]   God is active and decisive in both, but not in the same way.
[00:09:49.720 --> 00:09:54.840]   The very grammar of verses 22 to 23 suggests this.
[00:09:54.840 --> 00:10:01.600]   The preparation of vessels for destruction is not God's ultimate goal.
[00:10:01.600 --> 00:10:08.800]   Verse 23 begins with, "In order that there are vessels of wrath prepared for destruction,
[00:10:08.800 --> 00:10:14.280]   in order that he might make known the riches of his glory on vessels of mercy," which means
[00:10:14.280 --> 00:10:20.960]   that the work of wrath and judgment on the vessels of destruction is serving a greater
[00:10:20.960 --> 00:10:26.320]   end, namely, making known the riches of glory for the vessels of mercy.
[00:10:26.320 --> 00:10:32.560]   God's ultimate aim is the revelation of glory for vessels of mercy.
[00:10:32.560 --> 00:10:40.960]   So God's ultimate act is not preparation for destruction, but preparation for glory.
[00:10:40.960 --> 00:10:48.840]   They are not equally ultimate and, I'm suggesting, not pursued in the same way, and that's what
[00:10:48.840 --> 00:10:51.720]   the two different verbs are pointing to.
[00:10:51.720 --> 00:10:58.040]   The passive verb in the phrase "vessels of wrath prepared for destruction" does not point
[00:10:58.040 --> 00:11:05.080]   to God's inactivity, but to the hiddenness, the mystery of his activity.
[00:11:05.080 --> 00:11:13.200]   God ultimately does the preparing for destruction, but he does it in complete holiness and justice
[00:11:13.200 --> 00:11:21.220]   and righteousness and wisdom in ways that we simply cannot fully fathom.
[00:11:21.220 --> 00:11:29.440]   That is, he does it without in any way compromising the moral accountability of his creatures,
[00:11:29.440 --> 00:11:38.400]   and they remain responsible for loving God over self, and he remains sovereign and holy
[00:11:38.400 --> 00:11:40.640]   over all their motives.
[00:11:40.640 --> 00:11:46.120]   God is really God, and man is really responsible.
[00:11:46.120 --> 00:11:49.600]   That's what I think is ultimately behind these two different verbs.
[00:11:49.600 --> 00:11:51.320]   Thank you, Pastor John.
[00:11:51.320 --> 00:11:52.320]   That's very helpful.
[00:11:52.320 --> 00:11:56.060]   And thanks for mentioning my new book as well, "Competing Spectacles."
[00:11:56.060 --> 00:11:59.120]   As many of you know, I never intended to become a podcast host.
[00:11:59.120 --> 00:12:00.820]   I'm really just a writer.
[00:12:00.820 --> 00:12:02.760]   That's my training, my experience.
[00:12:02.760 --> 00:12:04.120]   I write books.
[00:12:04.120 --> 00:12:08.880]   But we started this little podcast six years ago and just tried it out for a year to cover
[00:12:08.880 --> 00:12:16.600]   Pastor John when he lived in Knoxville, and well, here we are, some 1,400 episodes later,
[00:12:16.600 --> 00:12:20.400]   and we're still podcasting and still writing books as well.
[00:12:20.400 --> 00:12:24.680]   Well, of those 1,400 episodes, one of the episodes that has really garnered a lot of
[00:12:24.680 --> 00:12:33.180]   attention over the past year is episode 1173, "My Midlife Crisis and Counsel for Yours."
[00:12:33.180 --> 00:12:34.180]   You may remember it.
[00:12:34.180 --> 00:12:38.520]   God has used that episode in a particularly powerful way, which has been evidenced in
[00:12:38.520 --> 00:12:43.000]   really a flood of emails from men in their midlife years wanting Pastor John even to
[00:12:43.000 --> 00:12:45.520]   talk more about it, and he will.
[00:12:45.520 --> 00:12:49.720]   We return to the midlife crisis theme when we return on Friday.
[00:12:49.720 --> 00:12:50.360]   We'll see you then.
[00:12:50.360 --> 00:12:52.360]   [music]
[00:12:52.360 --> 00:12:54.360]   [music]
[00:12:54.360 --> 00:12:56.360]   [music]
[00:12:56.360 --> 00:13:06.360]   [BLANK_AUDIO]

