
[00:00:00.000 --> 00:00:05.000]   Hey. All right. We got it.
[00:05:23.000 --> 00:05:35.000]   And that the purpose of that is to be able to, uh, transfer your understanding of the behavior of genetics from these other species into humans and also to study those other species.
[00:05:35.000 --> 00:05:53.000]   Okay. Okay. Is that clear before I dive into this? Please interrupt if you guys have questions. Um, okay. So, uh, this is -- I say, probably wrong, because this is --
[00:05:53.000 --> 00:06:21.000]   -- this is just my pretty lay understanding based on, like, you know, you know, college biology and, uh, and, you know, conversations with, you know, um, computational biologists and things like that. So, um, but I think that for AI, you know,
[00:06:21.000 --> 00:06:49.000]   I think that for AI engineers, we don't need to understand it too well. There's, like, sort of -- so I'm going to give a conceptual view and then maybe one level deeper. Um, that -- so, um, there's -- genetics kind of deals with, um, these three factors. And then there's lots of other stuff that is related, but DNA, RNA, and then proteins. So -- and then proteins turn into
[00:06:49.000 --> 00:07:17.000]   into larger structures and -- and signaling and all sorts of stuff. But, um, you know, sort of, like, at its core, at least from my understanding, um, uh, you know, you sort of have DNA, and this is, like, the long-term storage. And so -- and I like to think about this as the software, right? Like, this is the -- this is the -- this is the program that your cells follow in order to create proteins,
[00:07:17.000 --> 00:07:23.000]   proteins, which are sort of like hardware and sort of like software. So, like, either -- and you could call it software
[00:07:23.000 --> 00:07:29.000]   or RTL. So, like, you're, you know, describing how to synthesize a piece of hardware, maybe. Um,
[00:07:29.000 --> 00:07:37.000]   and then RNA is like -- and then RNA is like -- is a less stable, um, kind of very similar to DNA, but less stable,
[00:07:37.000 --> 00:07:57.000]   more reactive, and it gets duplicated from RNA. And I think that the important thing about it -- one -- or one of the important things about it is it -- it actually gets, uh, repeatedly copied, right? So -- and so that the -- in the level of -- the -- the amount of expression of that --
[00:07:57.000 --> 00:08:09.000]   that -- that, um, the genes in RNA impact the behavior of the cell. So, that could be because it affects the behavior --
[00:08:09.000 --> 00:08:15.000]   or the -- the expression of other genes. It could be because it signals to other places in the cell or outside the cell.
[00:08:15.000 --> 00:08:25.000]   um, and it also -- um, the RNA is sort of the mechanism by which proteins are created, um, in the -- in the cell.
[00:08:25.000 --> 00:08:37.000]   And I -- I think that, um, when I previously understood -- until, like, the sort of modern era, when I -- like, you know, when you learn this way back
[00:08:37.000 --> 00:08:45.000]   when I was learning it in college or whatever, um, I learned -- you know, I just had this concept of, like, these abstract things
[00:08:45.000 --> 00:08:49.000]   and their proteins and, you know, they're just, like, these strands and they kind of fold.
[00:08:49.000 --> 00:09:01.000]   And, like, I didn't really get what they -- like, how -- how that, like, sort of fits into -- like, creates all these, like, structures, right?
[00:09:01.000 --> 00:09:10.000]   And, like, these are enormously complex cells. So, I -- I -- I think -- I want to just click on this -- this -- um, this video really quick.
[00:09:10.000 --> 00:09:20.000]   So, this is -- this is what's called an enzyme. An enzyme -- excuse me -- is a -- is a molecular machine.
[00:09:20.000 --> 00:09:27.000]   It's created by -- from many proteins, right? And this particular one is called ATP synthase.
[00:09:27.000 --> 00:09:48.000]   It's what turns -- it, like, sort of re-freshes -- I think it's ATD, I think -- um, and it turns it into ATP by adding -- um, by, like, sort of mechanically -- um, by mechanically putting two pieces of -- of -- of protein together.
[00:09:48.000 --> 00:09:56.000]   And that that -- putting the proteins together sort of, like, causes -- you know, it gives the energy that can be released later, like a spring or something.
[00:09:56.000 --> 00:10:04.000]   And -- and so they -- like, there's -- so this video -- sorry.
[00:10:04.000 --> 00:10:08.000]   So --
[00:10:08.000 --> 00:10:12.000]   Can you guys hear that or no?
[00:10:12.000 --> 00:10:14.000]   I don't know if I can hear.
[00:10:14.000 --> 00:10:15.000]   You can --
[00:10:15.000 --> 00:10:16.000]   You cannot.
[00:10:16.000 --> 00:10:25.000]   You cannot. Oh, yeah, that's okay. So, like, I -- the important thing here is that -- like, so these are ATPs that are going into here, right? And then --
[00:10:25.000 --> 00:10:37.000]   So, like, this is all just a bunch of proteins together, right? And you can see the -- there's this -- there's this -- there's this sort of --
[00:10:37.000 --> 00:10:55.000]   thing that's turning in here. And there's actually literally an electric motor. So, you can see it down at the bottom here. So, the -- there's, like -- there's a membrane, and then there's, like, a bunch of proteins -- or, sorry, a bunch of hydrogen ions down at the bottom -- or --
[00:10:55.000 --> 00:11:13.000]   So, protons or hydrogen ions. And they're those, like, sort of, you know, like, sort of super energized things at the bottom. And that causes this to turn. And that causes you -- it to re -- like, refresh the ATP. Right? So, like, this is -- this is what -- this is, like, one example, one of the more impressive ones, but still, like, just one example of the crazy stuff that gets constructed by --
[00:11:13.000 --> 00:11:31.000]   -- by basically folding by -- by, like, sort of putting together these proteins into these molecular machines, enzymes, plus signaling, plus other structures. So, I -- I just -- I -- I -- I -- I wanted to just go over that just to be clear.
[00:11:31.000 --> 00:11:58.000]   that there's, like, there's, like, this -- this is, like, what's being constructed. It's not just, like, some soup of -- of protein that somehow magically turns into -- into, like, a cell, and then cells into people.
[00:11:58.000 --> 00:12:19.000]   -- Okay. Sorry. So, that's -- that's, like, my -- okay. That's, like, sort of the conceptual view. And then, there's -- so, then, there's, like, a logical view that I have that is, like, basically -- so, for DNA, there's basically four nucleotides.
[00:12:19.000 --> 00:12:28.000]   -- and this is kind of an approximation, actually, but it's more or less -- there's four nucleotides. So, and they have names, but you just remember A, T, C, G.
[00:12:28.000 --> 00:12:38.000]   And they -- they kind of -- they -- they fit together. Like, I think A and T and C and G fit together. So, they're called base pairs.
[00:12:38.000 --> 00:12:50.000]   But you -- they can also fit to -- they can, like, bind to each other next to each other. So, you can just have these -- from a conceptual standpoint, you just have a long sentence of -- with four -- four letters in them.
[00:12:50.000 --> 00:13:02.000]   -- right? For -- so, there's four tokens, A, T, C, and G. And then, you just have a sequence of those. And that's what code -- so, those, sort of, are in your long-term storage.
[00:13:02.000 --> 00:13:12.000]   And then, DNA gets transcribed into RNA, which is basically the same, but you -- the T is a U in RNA in it. So, that has different chemical properties.
[00:13:12.000 --> 00:13:25.000]   It's less stable, meaning -- and -- and so, that allows it to be more -- and it doesn't turn into a double helix. So, that it -- it allows it to be more easily, like, chopped up and -- and shuttled around.
[00:13:25.000 --> 00:13:34.000]   And, like, it's just more convenient for transcribing. So, that what happens is DNA gets copied into RNA. You get these, like, sequences.
[00:13:34.000 --> 00:13:44.000]   And then, you know, shorthanding quite a bit, the RNA turns into -- there's, like, sequences of three RNAs.
[00:13:44.000 --> 00:13:52.000]   And those are called codons. And the codons attach to amino acids. And so, that these codons, sort of, like, these patterns of codons,
[00:13:52.000 --> 00:13:59.000]   then turn into amino acids, like -- or bind to amino acids and stick them together into these long, what's called a polymer chain.
[00:13:59.000 --> 00:14:07.000]   And that -- that polymer chain is a protein. And then, the proteins fold because of their chemical properties.
[00:14:07.000 --> 00:14:15.000]   And they turn into those amazing molecular machines. Okay. So, like, that's very, very, like, high-level summary.
[00:14:15.000 --> 00:14:26.000]   So, but I think the important thing for an AI engineer to know about this is that there's kind of two main things that I've been calling out here.
[00:14:26.000 --> 00:14:37.000]   One is that the genes are, like, really long, right? Like, you have these long, long, long, long sequences, you know, in the 1,000 to 1 million token range.
[00:14:37.000 --> 00:14:49.000]   Right? And then, the vocab is obviously very small. So, your vocabulary is for tokens. And then, they actually added some other special tokens because they're just using a single byte encoding.
[00:14:49.000 --> 00:14:56.000]   So, what do you do with the rest of the possible tokens? And so, they have them, like, one token per species, basically.
[00:14:56.000 --> 00:15:08.000]   Okay. Is that -- so, that's my introduction to genetics. Is -- I hope that's enough for you guys to understand the rest of the discussion. Do you guys want to ask any questions?
[00:15:08.000 --> 00:15:17.000]   I just want to say, I love the effort put into translating things for AI engineers. I think it's very -- this slide, quite important. And, yeah. I like it.
[00:15:17.000 --> 00:15:30.000]   Okay. Excellent. Thank you. Okay. All right. So, okay. So, let's -- now we're going to, you know, here's like a, you know, like a, like a gear shift with no clutch here.
[00:15:30.000 --> 00:15:46.000]   So, I'm going to switch to the sort of -- okay, this is the main sort of mechanism by which this model is able to have long, like, efficient inference on very long context.
[00:15:46.000 --> 00:16:01.000]   So, like, with that -- so, I'll build up to why that -- this mechanism works. But, basically, starting in this -- this has been research that has been developed at Stanford over the past several years.
[00:16:01.000 --> 00:16:11.000]   So, this -- this part of it is a little old. But -- and this refers to a previous paper that isn't in the list that we read today.
[00:16:11.000 --> 00:16:23.000]   So, basically, they developed this -- what they call a hyena operator. I don't know the origin of the name. But, basically, as a surrogate --
[00:16:23.000 --> 00:16:41.000]   originally, as a surrogate for attention, right? So, how can we -- and the sort of research question, I think, was basically, how can we replace attention with something that is -- is based on convolutions, which is kind of similar -- like, you've probably heard of state-space models.
[00:16:41.000 --> 00:17:08.000]   So, this is an example of a type of state-space model. And so, because -- the reason why you would want to do that is because you can -- convolutions are more efficient to calculate than a full attention -- self-attention matrix, right? So -- so that they can be -- and it's not obvious why from this diagram. I'll show you why.
[00:17:08.000 --> 00:17:26.000]   But that -- that's sort of the why of it, is they're more efficient to calculate. And so -- and the -- you know, just to be clear, what's going on here is that you have these sort of like -- you know, so you have like -- this is a convolution. And this is called a toplitz matrix, which is just a -- you know, sort of like an unrolling of the convolution into -- into a matrix. And then, you have weightings on those convolutions.
[00:17:26.000 --> 00:17:44.000]   And so, you have these pairs of like a weight plus the convolution plus a weight plus a convolution and some like arbitrary number of those stuck together. And then, you can get this thing that kind of sort of approximates the behavior of attention. So, this H U is basically a replacement or a surrogate for attention.
[00:17:44.000 --> 00:18:00.000]   But -- and -- and -- and it's important to note that there's two ways to represent -- and like there's probably more, but like there's two -- at least two ways to represent this convolution. One is as this toplitz matrix. But the other is this -- quote unquote -- they call it implicit --
[00:18:00.000 --> 00:18:16.000]   parameterization, which means is -- think IIAR filter, if you're familiar with those, or recurrent model, if you're familiar with those, where you're taking the previous state and you're just calculating an update.
[00:18:16.000 --> 00:18:34.000]   rather than having all of the updates sort of written out for you.
[00:18:34.000 --> 00:18:36.000]   Good so far?
[00:18:36.000 --> 00:18:42.000]   Okay. So -- and then, here's the why again. Convolution is faster than attention.
[00:18:42.000 --> 00:18:48.000]   it's faster than attention. But, you know, note -- and they actually talk about this in the paper.
[00:18:48.000 --> 00:18:56.000]   And that's true in the limit. It's not true at short sequence lengths. Right? So, if you look at hyena here,
[00:18:56.000 --> 00:19:04.000]   it's actually slower than flash attention up until you get to this like 3 -- 10 to the 3.8, which I don't know what -- that's probably
[00:19:04.000 --> 00:19:16.000]   what -- like about, you know, maybe 5,000 or something -- context length.
[00:19:16.000 --> 00:19:26.000]   And also notice the -- the performance, although, you know, they claim is, you know, sort of like a surrogate for attention.
[00:19:26.000 --> 00:19:36.000]   It doesn't actually do as well as -- as -- as GTP -- GTP, NEO, which is a regular attention-based model, or our WKV.
[00:19:36.000 --> 00:19:40.000]   Hopefully, Eugene's on the call. So, Eugene, you're waiting to --
[00:19:40.000 --> 00:19:46.000]   I'm waiting to help answer questions for this part if needed.
[00:19:46.000 --> 00:20:00.000]   Yeah, yeah. Please. I -- I don't have any questions yet. But if other people do -- and -- and especially, like,
[00:20:00.000 --> 00:20:08.000]   sort of details on space models, I know -- you know a lot about them in comparison to RWKV.
[00:20:08.000 --> 00:20:24.000]   Okay, so -- so -- so then, this is a slide on striped hyena. So -- and also striped hyena -- and striped hyena, too.
[00:20:24.000 --> 00:20:34.000]   This is what they use for EVO2. So, they actually -- so here, in this Toplitz matrix here, you see that, like, the question is sort of like,
[00:20:34.000 --> 00:20:43.000]   oh, well, I have this full attention block, and then I have, like, my fully realized Toplitz matrix.
[00:20:43.000 --> 00:20:47.000]   So, like, how am I actually saving in memory or whatever, right, or computation?
[00:20:47.000 --> 00:21:01.000]   And so, like, part of the answer is, well, you know, you can -- you can perform -- perform this convolution in the frequency domain, and it's faster.
[00:21:01.000 --> 00:21:14.000]   So that is a good answer. But also, part of it is, well, actually, it's both, like, more efficient and -- and more --
[00:21:14.000 --> 00:21:24.000]   both more efficient and better results. If you actually use different -- different convolutional -- or these hyena operators -- so this, like, sort of -- this, like, sort of --
[00:21:24.000 --> 00:21:33.000]   pair of, like, this guy plus this guy, you know, and then you have, like, a chain of those.
[00:21:33.000 --> 00:21:38.000]   So you can do that in different ways. And so they have three different ways that they propose to do this.
[00:21:38.000 --> 00:21:45.000]   one is this short explicit, and you can -- disappointingly, they didn't have a good Toplitz matrix diagram of this.
[00:21:45.000 --> 00:21:53.000]   But you can see, like, this is basically a line here. So it's -- it's, like, sort of -- you can think of it as -- as, like --
[00:21:53.000 --> 00:22:06.000]   being somewhat related to local attention, right, where you have just a few tokens of context close by that you're looking at, and everything else is zero.
[00:22:06.000 --> 00:22:13.000]   And then you have this medium regularized, which is, like, more context in the --
[00:22:13.000 --> 00:22:19.000]   in the range of a couple hundred tokens of context, and everything else is zero.
[00:22:19.000 --> 00:22:26.000]   And then you have this long implicit, which -- which means I'm going to use this implicit representation.
[00:22:26.000 --> 00:22:42.000]   So maybe I'll have to do recurrence in, you know, in -- in the -- in this block, or maybe I will, like, sort of hybridize that with, you know, sort of some implicit and some explicit representation.
[00:22:42.000 --> 00:22:51.000]   But in any event, you have this -- it has a more efficient way of calculating using FFTs.
[00:22:51.000 --> 00:23:00.000]   So this -- even if it's, you know, like, sort of fully realized, it still is more efficient than attention to calculate.
[00:23:00.000 --> 00:23:05.000]   So -- and then, you know, so the idea is that you have this stack.
[00:23:05.000 --> 00:23:17.000]   So instead of having attention block, attention block, attention block, you know, you have this S-E-M-R-L-I, and then an attention block, and then S-E-R-L-R-M-R-L-I.
[00:23:17.000 --> 00:23:31.000]   And then, like, so you kind of stack these up so that you end up with, you know, sort of your different layers calculating sort of their attention surrogates in different ways.
[00:23:31.000 --> 00:23:44.000]   And it turns out -- well, first of all, just to be a little more clear, this -- so this is like a FIR filter, you know, four to seven tokens in depth.
[00:23:44.000 --> 00:23:48.000]   This is like a FIR filter, and they, quote, unquote, regularize this.
[00:23:48.000 --> 00:23:53.000]   I actually -- so Eugene, this is actually one place where I had a question.
[00:23:53.000 --> 00:23:58.000]   They say that this alpha is swept across channels.
[00:23:58.000 --> 00:24:01.000]   I don't actually quite understand what that means.
[00:24:01.000 --> 00:24:06.000]   Do you have a -- did you -- I don't know if you read the paper or not, but, like, did you understand what this is?
[00:24:06.000 --> 00:24:22.000]   So I think the way to view these segments, right, and this makes sense once you view -- understand how, like, future states-based models work, right, is a way to visualize it as you process the tokens.
[00:24:22.000 --> 00:24:26.000]   So let's just say -- and you can view this as a genetic sequence, left to right.
[00:24:26.000 --> 00:24:28.000]   I hope people can see my hands right now.
[00:24:28.000 --> 00:24:30.000]   Like, left to right, the whole sequence.
[00:24:30.000 --> 00:24:31.000]   Same thing with types as well.
[00:24:31.000 --> 00:24:40.000]   The way -- the way these tokens are being merged is the -- at the start, like, these tokens gets processed and gets merged together.
[00:24:40.000 --> 00:24:46.000]   So as a state-space model built the state by merging everything together over the layers.
[00:24:46.000 --> 00:24:47.000]   Does that make sense?
[00:24:47.000 --> 00:24:49.000]   Over time and over the layers.
[00:24:49.000 --> 00:24:57.000]   So -- and -- and so -- so what this means here, right, in this case, right, they had these few -- first few layers that process the tokens that come in.
[00:24:57.000 --> 00:25:05.000]   So we're talking about 47 tokens, and then it gets regularized and then merged into other chunks of tokens.
[00:25:05.000 --> 00:25:07.000]   There's, let's say, 47.
[00:25:07.000 --> 00:25:12.000]   I can't remember what's the exact size for future states-based models and the models at that time.
[00:25:12.000 --> 00:25:14.000]   And then it just keeps merging, cascadingly.
[00:25:14.000 --> 00:25:25.000]   And therefore, like -- therefore, like, the layers that deal with the longer implicit attention, they get -- they view the summarized information from the previous layers that then gets merged in.
[00:25:25.000 --> 00:25:27.000]   So, hence, why -- why -- why they show that separation?
[00:25:27.000 --> 00:25:34.000]   Because at -- at this point, they were still testing and trying to figure out how to best manage long contact sync.
[00:25:34.000 --> 00:25:38.000]   And -- and -- for -- for genetic modeling.
[00:25:38.000 --> 00:25:49.000]   And -- and -- and part of the evaluation was that if they just use -- if they just keep one state, and then they keep merging in, it performed worse in the case of state space.
[00:25:49.000 --> 00:25:56.000]   And to have, like -- have it, like, pre -- pre-processed with the short explicit, and then subsequently merge into medium, and then merge into large.
[00:25:56.000 --> 00:25:57.000]   Yeah.
[00:25:57.000 --> 00:25:58.000]   Yeah.
[00:25:58.000 --> 00:25:59.000]   Yeah.
[00:25:59.000 --> 00:26:00.000]   Yeah.
[00:26:00.000 --> 00:26:01.000]   So, I guess -- yeah, yeah.
[00:26:01.000 --> 00:26:02.000]   Yeah, exactly.
[00:26:02.000 --> 00:26:03.000]   Like, the pre-processing.
[00:26:03.000 --> 00:26:07.000]   But I -- so, that's a really good way to think about it.
[00:26:07.000 --> 00:26:08.000]   Yeah.
[00:26:08.000 --> 00:26:09.000]   Yeah.
[00:26:09.000 --> 00:26:22.000]   What I was actually asking about was this alpha parameter is -- it -- it says in the paper that it's swept across the channels, and they don't really go into what that means.
[00:26:22.000 --> 00:26:29.000]   And that means that I -- I think I understand what channels are, is just basically the different dimensions in your hidden dimension.
[00:26:29.000 --> 00:26:30.000]   Is that right?
[00:26:30.000 --> 00:26:39.000]   So -- but then, like, I wouldn't understand -- I don't really understand why sweeping this would be a good idea.
[00:26:39.000 --> 00:26:44.000]   Or, like, what -- or if I'm completely misunderstanding what they're saying.
[00:26:44.000 --> 00:26:57.000]   I -- I think it's just view it as -- it's applying that decay as the information flows in, to force the model to, like, just summarize it even further.
[00:26:57.000 --> 00:27:12.000]   Because -- because even -- even in RRKV, we have that decay mechanism, where -- where, by default, every piece of information will be tried to be forgotten, unless the model has decided that this is important to remember.
[00:27:12.000 --> 00:27:14.000]   Okay.
[00:27:14.000 --> 00:27:15.000]   Yeah.
[00:27:15.000 --> 00:27:22.000]   So -- so -- so -- so that decay, right, kicks in to help force the model to forget things by default.
[00:27:22.000 --> 00:27:23.000]   Right, yeah.
[00:27:23.000 --> 00:27:28.000]   Unless -- as part of the metric multiplication calculations, it decides that, hey, I should amplify this signal instead.
[00:27:28.000 --> 00:27:42.000]   And -- and if -- and I think genetic modeling is a very good example of, like, understanding why recurrent models are highly favorable to, like, even this use case, or even -- or even sometimes can be used for tags.
[00:27:42.000 --> 00:27:49.000]   It's because at the end of the day, right, like, if you look at the genetic code, right, it's one of the cases where it's highly repetitive, the data.
[00:27:49.000 --> 00:27:50.000]   Yeah.
[00:27:50.000 --> 00:27:53.000]   but there is, like, slight changes that we need to capture meaning.
[00:27:53.000 --> 00:27:54.000]   Yeah.
[00:27:54.000 --> 00:27:59.000]   And if you view it from a compression point, we were talking, like, zip compression and things like -- it's highly compressible.
[00:27:59.000 --> 00:28:00.000]   Yeah.
[00:28:00.000 --> 00:28:01.000]   Yeah.
[00:28:01.000 --> 00:28:08.000]   And so -- so what you actually -- what you want the model to actually learn is the pattern and the anomalies, the peaks.
[00:28:08.000 --> 00:28:09.000]   Yeah.
[00:28:09.000 --> 00:28:11.000]   So -- and to discard the repetitions.
[00:28:11.000 --> 00:28:22.000]   I know I'm -- this is not the accurate way to say it, but in this use case, right, so by default, if we discard everything towards decay, the peaks -- like, hey, this is weird.
[00:28:22.000 --> 00:28:31.000]   Why is genome 364, for example, is ABBBA, not as what the repetition should be?
[00:28:31.000 --> 00:28:32.000]   Yeah.
[00:28:32.000 --> 00:28:37.000]   Then the matrix multiplication will pick that value, and then it will try to, like, conserve it into memory.
[00:28:37.000 --> 00:28:38.000]   So --
[00:28:38.000 --> 00:28:39.000]   Right.
[00:28:39.000 --> 00:28:46.000]   So that's why -- it may sound vague, but it's more of, like, the decays there by default and how it works from there.
[00:28:46.000 --> 00:28:47.000]   Okay.
[00:28:47.000 --> 00:28:48.000]   Yeah.
[00:28:48.000 --> 00:28:49.000]   Okay.
[00:28:49.000 --> 00:28:50.000]   Thank you.
[00:28:50.000 --> 00:28:51.000]   Okay.
[00:28:51.000 --> 00:28:53.000]   So -- let's see.
[00:28:53.000 --> 00:28:54.000]   Okay.
[00:28:54.000 --> 00:29:03.000]   So -- so basically -- and this is just, like, sort of -- this is kind of an ablation.
[00:29:03.000 --> 00:29:19.000]   They -- they -- they studied, okay, the multi-head attention with their -- you know, sort of, like, if they -- you just make these all multi-head attention, you -- you train for 400 billion tokens, and then you get a perplexity of 3.09, right?
[00:29:19.000 --> 00:29:20.000]   Right.
[00:29:20.000 --> 00:29:23.000]   And then they looked at this LI LI LI LI, which is this one.
[00:29:23.000 --> 00:29:28.000]   This was the original design of striped hyena.
[00:29:28.000 --> 00:29:34.000]   And you get this .2.87, so a bit better.
[00:29:34.000 --> 00:29:51.000]   And then, interestingly, if you just replace these two first LIs with these SEs, you get the same basic perplexity, so these LI -- so it doesn't hurt to have this more efficient, very short convolution instead.
[00:29:51.000 --> 00:29:56.000]   And then they found that, like, you do even slightly better if you stick an MR in it.
[00:29:56.000 --> 00:30:10.000]   So -- so -- so -- and -- and, you know, like, for what it's worth at -- at this -- you know, in this model at -- with this data, like, at this point in the training process, beating multi-head attention.
[00:30:10.000 --> 00:30:24.000]   And then -- and then I actually -- here's another place I don't understand what this ABF positional embedding is.
[00:30:24.000 --> 00:30:29.000]   I stuck it in here more as a hope that someone else would explain this slide.
[00:30:29.000 --> 00:30:44.000]   I -- if not, I don't think it -- they didn't seem to think it was super important, but that, like, basically, this -- it's a more scalable, you know, this ABF is more scalable, and they get up to a million tokens.
[00:30:44.000 --> 00:30:51.000]   It seems -- one -- one thing I was a little unclear about is why is the perplexity going down as the context length goes up, you guys?
[00:30:51.000 --> 00:30:56.000]   Is it just data distribution difference, or -- I'm not sure. Did anyone pick up on that?
[00:30:56.000 --> 00:31:00.000]   For genetic sequencing, that is -- should be expected.
[00:31:00.000 --> 00:31:04.000]   Mostly because, like, say, majority of the data is going to be repetitive.
[00:31:04.000 --> 00:31:08.000]   So once you've seen the pattern, you should be able to at least answer the pattern.
[00:31:08.000 --> 00:31:11.000]   Yeah. Okay. I see. Yeah, that makes sense.
[00:31:11.000 --> 00:31:15.000]   Okay. All right.
[00:31:15.000 --> 00:31:25.000]   So training -- so training here is -- is, you know, sort of, like, on both 7B and --
[00:31:25.000 --> 00:31:32.000]   and 40B. Notice this is log scale significantly faster than dense transformer.
[00:31:32.000 --> 00:31:43.000]   You know, like, you can see it here, but I think maybe easier to understand is that, you know, like, one would be the same amount of time as Stripe Tyena 2.
[00:31:43.000 --> 00:31:59.000]   So they beat, you know -- sorry, Tyena 1 plus they beat -- oops, sorry -- they beat the dense transformers by a factor of three or more here, and a little more than three and a little less than three here at the long context, right?
[00:31:59.000 --> 00:32:08.000]   So you can -- this is what we expect, but it's sort of validation of this was one of the primary design points, and they're saying we kind of met the design point.
[00:32:08.000 --> 00:32:17.000]   Okay. And then they get into a lot of detail. I'm not -- I'm not going to go into a ton of detail here.
[00:32:17.000 --> 00:32:32.000]   But there's -- there's this sort of efficient two-stage block convolution algorithm that works well for these explicit parameterizations.
[00:32:32.000 --> 00:32:43.000]   So, like, you know, from the upper left, here's, like, just a Toplitz matrix, and you can envision this as just blocks of matrices, right?
[00:32:43.000 --> 00:32:49.000]   So, you know, so this is just the full Toplitz, you know, lower triangular matrix.
[00:32:49.000 --> 00:32:55.000]   I'm just making it into a smaller -- or I'm just chunking it into these different H -- capital Hs.
[00:32:55.000 --> 00:33:06.000]   And then -- so what they're saying is that if you -- so you have this, like, a convolution, could -- like, if it's not a full --
[00:33:06.000 --> 00:33:15.000]   if it's, you know, like, a short FIR filter, it's only L sub H long, then I have all these zeros here, right?
