
[00:00:00.000 --> 00:00:04.000]   Hello, hello.
[00:14:33.000 --> 00:14:42.000]   Like, uh, sometimes it'll, it decided to put them in tech docs in this project and docs in this other project.
[00:14:42.000 --> 00:14:44.000]   It decided to use two different folders.
[00:14:44.000 --> 00:14:50.000]   Um, but I've better, I've generally just been pretty hands-off letting it do what it wants.
[00:14:50.000 --> 00:15:09.000]   And like the parts where I've designed where I want to, I want to review, I'll get an extra kind of time to, to look at it, but, um, not really, not really being very strict about any of that.
[00:15:09.000 --> 00:15:10.000]   Yikes.
[00:15:10.000 --> 00:15:15.000]   How much, how much did you write or come up with versus how much was go set it up like this?
[00:15:15.000 --> 00:15:18.000]   Uh, almost all of it was go set it up like this, Claude.
[00:15:18.000 --> 00:15:25.000]   I think I wrote a handful of sentences of like what I wanted, then it would edit the doc.
[00:15:25.000 --> 00:15:31.000]   And then I would do a quick skim and say, uh, you know, uh, let it go.
[00:15:31.000 --> 00:15:39.000]   And if it, um, you know, if anything went wrong, I'd say, you know, this, this sucks or like, this doesn't work.
[00:15:39.000 --> 00:15:47.000]   Uh, update the doc, update this doc, the doc with this new thing that we know now.
[00:15:47.000 --> 00:16:01.000]   Uh, the architecture decisions were mostly Claude.
[00:16:01.000 --> 00:16:08.000]   Um, I would usually, usually kind of let Claude do the first pass.
[00:16:08.000 --> 00:16:16.000]   And then once we try to start doing, once we start running into issues, jump in and be like, yeah, it probably needs to go this other way.
[00:16:16.000 --> 00:16:18.000]   Oh, instruction architecture.
[00:16:18.000 --> 00:16:24.000]   Uh, the instruction architecture, meaning.
[00:16:24.000 --> 00:16:25.000]   Yeah.
[00:16:25.000 --> 00:16:38.000]   Uh, basically what I'm getting at is, um, uh, so you have like your pair programming, your technical considerations, et cetera, et cetera.
[00:16:38.000 --> 00:16:43.000]   Were those things were like those kinds of documents.
[00:16:43.000 --> 00:16:49.000]   Um, did you decide, like, I think this is the way that the agent should be instructed.
[00:16:49.000 --> 00:16:54.000]   So I think we should make a technical considerations, a browser architecture, blah, blah, blah.
[00:16:54.000 --> 00:16:58.000]   And then, Hey, Claude, go, go do it like this.
[00:16:58.000 --> 00:17:10.000]   Or did you say, Hey, like Claude, I think this, this project is going to need some structure of how the instructions are formatted.
[00:17:10.000 --> 00:17:12.000]   Um, what do you think we should do?
[00:17:12.000 --> 00:17:15.000]   Um, what do you think we should do also go do it?
[00:17:15.000 --> 00:17:16.000]   Got it.
[00:17:16.000 --> 00:17:29.000]   Yeah, it was, it was mostly me on like the architecting the different docs, uh, mostly because it was, you know, the way I was thinking about it, where this is where the architecture lives.
[00:17:29.000 --> 00:17:31.000]   This is the process I want to do.
[00:17:31.000 --> 00:17:33.000]   These are the stories.
[00:17:33.000 --> 00:17:43.000]   Um, and I think, I think in my mind, I have this vision of like those being somewhere else and not in markdown files.
[00:17:43.000 --> 00:17:47.000]   Like maybe the stories are in some project management tool.
[00:17:47.000 --> 00:17:54.000]   Um, maybe the pair programming is baked into an agent at some point.
[00:17:54.000 --> 00:17:55.000]   Okay.
[00:17:55.000 --> 00:17:59.000]   So kind of like modeling it off of like, this is how I would normally build software.
[00:17:59.000 --> 00:18:02.000]   So I'd probably have this in a project management tool.
[00:18:02.000 --> 00:18:03.000]   So Claude's probably gonna need this.
[00:18:03.000 --> 00:18:07.000]   So I should make this doc for him kind of kind of thought process.
[00:18:07.000 --> 00:18:08.000]   Right.
[00:18:08.000 --> 00:18:09.000]   Right.
[00:18:09.000 --> 00:18:16.000]   And then as I'm, as I'm kind of prompting being able to, you know, as I'm thinking about it, like this thing is here, go look there.
[00:18:16.000 --> 00:18:21.000]   Um, and it was really just really just like kind of ergonomics for me as I was prompting.
[00:18:21.000 --> 00:18:22.000]   Cool.
[00:18:22.000 --> 00:18:23.000]   Good influence.
[00:18:23.000 --> 00:18:24.000]   Cool.
[00:18:24.000 --> 00:18:36.000]   Uh, any other questions before we jump into, um, a couple of demos.
[00:18:36.000 --> 00:18:37.000]   All right.
[00:18:37.000 --> 00:18:42.000]   Um, so let's see.
[00:18:42.000 --> 00:18:43.000]   So let's see.
[00:18:43.000 --> 00:18:48.000]   So I guess for the high level, the process that I kind of use, I use, uh, T mocks.
[00:18:48.000 --> 00:18:51.000]   And I usually, this is something I've been doing for a long time.
[00:18:51.000 --> 00:18:55.000]   Uh, is each session is tied to a project.
[00:18:55.000 --> 00:19:01.000]   And then each project has, uh, I dunno, are they tabs or windows?
[00:19:01.000 --> 00:19:04.000]   Um, first tab is cloud code.
[00:19:04.000 --> 00:19:06.000]   Second, second tab is Vim.
[00:19:06.000 --> 00:19:14.000]   And then what I've been doing is basically I'll switch between, uh, different projects that I'm working on.
[00:19:14.000 --> 00:19:29.000]   So here, and I've got this gonna be doing this update to, um, the library that I work on called sub layer and, um, change things around.
[00:19:29.000 --> 00:19:49.000]   So let's say, um, actually, I don't even know if I have the pair programming thing set up in this one, but, um, I've got this generator update doc that has a plan around, uh, how to, how to change this interface from this thing.
[00:19:49.000 --> 00:20:02.000]   And it's like, um, LLM output adapter, and then change it to just generates and then use kind of object literals to, um, define the output.
[00:20:02.000 --> 00:20:21.000]   And, um, and, um, let's say, check out, um, update dot MD and, um, up with a list of stories to, uh, change, to make this update.
[00:20:21.000 --> 00:20:40.000]   And, um, um, make sure the stories are about, uh, a few hours in length and, I don't know, um, make sure there's something.
[00:20:40.000 --> 00:20:52.000]   Um, for the user to test at each end of each story.
[00:20:52.000 --> 00:21:06.000]   Um, and then write that to, um, um, and then, you know, just let that go and switch over to another project.
[00:21:06.000 --> 00:21:15.000]   Like, let's see, we can go to, um, there's this game that we're working on called, uh, the 12th of state.
[00:21:15.000 --> 00:21:19.000]   That's kind of like a, a programming game that uses MCP for input.
[00:21:19.000 --> 00:21:34.000]   Um, yeah, this comes from a lot of, uh, a lot of years of just, uh, you know, doing the same process over and over.
[00:21:34.000 --> 00:21:37.000]   I don't, uh, let's see.
[00:21:37.000 --> 00:21:39.000]   So let's see what we were gonna do.
[00:21:39.000 --> 00:21:49.000]   Um, can you create a plan for, um, actually, let's just go ahead and do, um, say.
[00:21:49.000 --> 00:22:07.000]   So that's usually, I'd usually just like kind of ad lib here.
[00:22:07.000 --> 00:22:14.000]   I don't have, I could probably set up a hook for this, but I've just been like throwing in all the steps for new sessions, new session.
[00:22:14.000 --> 00:22:15.000]   Quick start here.
[00:22:15.000 --> 00:22:17.000]   Give me the plan and let that go.
[00:22:17.000 --> 00:22:20.000]   And it'll come up with some kind of plan.
[00:22:20.000 --> 00:22:21.000]   We're back here.
[00:22:21.000 --> 00:22:22.000]   Still going.
[00:22:22.000 --> 00:22:33.000]   Um, also got another project that's in, um, Swift, another language that I'm not super familiar with.
[00:22:33.000 --> 00:22:34.000]   Okay.
[00:22:34.000 --> 00:22:35.000]   And this one is, um,
[00:22:35.000 --> 00:22:36.000]   Um,
[00:22:36.000 --> 00:22:36.000]   Okay.
[00:22:36.000 --> 00:22:38.000]   So we've got planned for the next story.
[00:22:38.000 --> 00:22:51.000]   Demos chapter structure is the first pending story in phase three.
[00:22:51.000 --> 00:23:07.000]   Um, create the foundation design tutorial friendly location progression.
[00:23:07.000 --> 00:23:16.000]   And so kind of the way that I've designed this is that I'm not really looking too much at the docs, more just that there is a doc.
[00:23:16.000 --> 00:23:21.000]   Um, and then before it doesn't even work, I'll get a chance to, uh, to kind of check it out.
[00:23:21.000 --> 00:23:27.000]   And so this one, I think we're actually, um,
[00:23:27.000 --> 00:23:28.000]   Yeah.
[00:23:28.000 --> 00:23:42.000]   Uh, check out what we have built already for the first room before, uh, make sure the plan.
[00:23:42.000 --> 00:23:52.000]   So kind of having these, having these checks in here that, you know, even if the docs aren't exactly right, I've got a chance to kind of like jump in and, and guide it into the right spot.
[00:23:52.000 --> 00:23:55.000]   So there's usually the plan beforehand.
[00:23:55.000 --> 00:23:56.000]   It'll do the work.
[00:23:56.000 --> 00:23:57.000]   It'll tell me what it did.
[00:23:57.000 --> 00:24:01.000]   And sometimes it'll tell me what it did and tell me what to check.
[00:24:01.000 --> 00:24:03.000]   Sometimes I'll see what it did and be like, no, that's not right.
[00:24:03.000 --> 00:24:04.000]   Do it a different way.
[00:24:04.000 --> 00:24:16.000]   And, um, you know, also be able to check the app, be like, this is, this thing is not in the right spot or, um, you know, it's almost there.
[00:24:16.000 --> 00:24:18.000]   But when I click this button, nothing happens.
[00:24:18.000 --> 00:24:23.000]   Um, okay, so revised plan, original story, acceptance.
[00:24:23.000 --> 00:24:24.000]   Okay.
[00:24:24.000 --> 00:24:27.000]   So it actually, it looks like that story was already finished.
[00:24:27.000 --> 00:24:42.000]   Uh, uh, uh, that system implementation.
[00:24:42.000 --> 00:24:47.000]   And, uh, we'll come back to that one back here.
[00:24:47.000 --> 00:24:48.000]   Okay.
[00:24:48.000 --> 00:24:59.000]   Created generator update stories.markdown with 14 user stories.
[00:24:59.000 --> 00:25:02.000]   Looks like the first four stories are integrating the literal gem.
[00:25:02.000 --> 00:25:08.000]   Um, and yeah, I guess another thing to call out here.
[00:25:08.000 --> 00:25:14.000]   I've had a bunch of converse or a bunch of questions about, do you, what, what format do you have the stories in?
[00:25:14.000 --> 00:25:17.000]   Is it like given when, then, or as a developer?
[00:25:17.000 --> 00:25:21.000]   And I haven't really kept a tight leash on that either.
[00:25:21.000 --> 00:25:24.000]   Uh, just let it do whatever it came up with.
[00:25:24.000 --> 00:25:27.000]   Um, and so.
[00:25:27.000 --> 00:25:28.000]   Good.
[00:25:28.000 --> 00:25:31.000]   Uh, yeah.
[00:25:31.000 --> 00:25:33.000]   How do you mentally deal with the context switching?
[00:25:33.000 --> 00:25:35.000]   Uh, funny you ask.
[00:25:35.000 --> 00:25:37.000]   I'm trying to figure that out too.
[00:25:37.000 --> 00:25:43.000]   Um, it is kind of wild, but I mean, the, the thing that.
[00:25:43.000 --> 00:26:08.000]   Yeah, the, the, the thing that helps with the context switching is, um, is having it prompt me each time of like, here's what I did.
[00:26:08.000 --> 00:26:11.000]   Uh, 40 years of unmedicated ADHD.
[00:26:11.000 --> 00:26:12.000]   That can be it too.
[00:26:12.000 --> 00:26:16.000]   Um, kind of performance enhanced a little bit.
[00:26:16.000 --> 00:26:20.000]   Um, let's see.
[00:26:20.000 --> 00:26:21.000]   Yeah.
[00:26:21.000 --> 00:26:23.000]   I'm just gonna turn that on.
[00:26:23.000 --> 00:26:29.000]   Um, but yeah, the, the thing is it'll, it'll tell me what it did.
[00:26:29.000 --> 00:26:33.000]   And so that's kind of, if I'm ever like, I'm not sure.
[00:26:33.000 --> 00:26:42.000]   That's usually, uh, a guide for me to, um, add that into the docs of like, I didn't know.
[00:26:42.000 --> 00:26:46.000]   Um, you know, didn't know what we were doing.
[00:26:46.000 --> 00:26:47.000]   Oh no.
[00:26:47.000 --> 00:26:48.000]   Yeah.
[00:26:48.000 --> 00:26:49.000]   Sure.
[00:26:49.000 --> 00:26:50.000]   Uh, next time.
[00:26:50.000 --> 00:26:52.000]   Give me additional context.
[00:26:52.000 --> 00:26:57.000]   Yeah.
[00:26:57.000 --> 00:26:58.000]   Uh, okay.
[00:26:58.000 --> 00:26:59.000]   Ball.
[00:26:59.000 --> 00:27:04.000]   That's, that's kind of where my mind has been of just like, how can I have, how can I have AI prep me for the context?
[00:27:04.000 --> 00:27:06.000]   Cause I'm gonna keep context switching.
[00:27:06.000 --> 00:27:08.000]   Like that's not gonna, that's not gonna go away.
[00:27:08.000 --> 00:27:10.000]   Do I find it enjoyable?
[00:27:10.000 --> 00:27:31.000]   Um, yeah, I haven't tried vibe Kanban or Kanban yet.
[00:27:31.000 --> 00:27:38.000]   Um, I'm trying to build, trying to build something myself to help feed the context to me as I switch.
[00:27:38.000 --> 00:27:44.000]   Um, but I guess if that doesn't work out, I can always, always jump over to that.
[00:27:44.000 --> 00:27:50.000]   Um, and how are you all doing with the context switching I'm doing?
[00:27:50.000 --> 00:27:52.000]   I should have, should have asked that.
[00:27:52.000 --> 00:27:57.000]   Um, and this one's writing the CSS.
[00:27:57.000 --> 00:28:05.000]   Um, I mean, I feel like I can only handle like two threads at once.
[00:28:05.000 --> 00:28:13.000]   Really realistically, like I can, I I've tried to do more things at a time and have it going.
[00:28:13.000 --> 00:28:20.000]   And I, it only works for relatively trivial types of stuff.
[00:28:20.000 --> 00:28:28.000]   Um, I suppose as the agents continue to get better and I require less actually looking in on it.
[00:28:28.000 --> 00:28:38.000]   Um, that may change, but I also find if you're not careful, the, uh, like these tools make everything faster.
[00:28:38.000 --> 00:28:46.000]   So if it starts going in the wrong direction, like if you're not careful, it goes really far in the wrong direction and you get a ton of slop or code debt.
[00:28:46.000 --> 00:28:47.000]   Um, yeah.
[00:28:47.000 --> 00:29:00.000]   Um, that's, that's, I think another thing of, you know, keeping these, uh, these changes scope small so that if it does go off the rails, uh, it's, it hasn't gone that far.
[00:29:00.000 --> 00:29:03.000]   Um, and I'll usually story by story, make a commit.
[00:29:03.000 --> 00:29:08.000]   And so I've found that, you know, if I need to just like wipe what it did, uh, it's no big deal.
[00:29:08.000 --> 00:29:27.000]   Um, yeah, the smaller, smaller changes, uh, I've found help that.
[00:29:27.000 --> 00:29:30.000]   And then I actually, I guess that kind of helps the context switching too.
[00:29:30.000 --> 00:29:37.000]   Um, you know, cause there's not, not as much to, uh, much to do there.
[00:29:37.000 --> 00:29:50.000]   Um, and yeah, like Manuel says, I think a lot of these apps are scoped enough in my head, uh, that I can con or they're, they're, they're scoped small enough that they're not, you know, massive projects.
[00:29:50.000 --> 00:29:56.000]   Um, I think, and, and the other thing that I've found helpful is that they're pretty separate projects, right?
[00:29:56.000 --> 00:30:01.000]   Like there's a, a Mac OS app, uh, a game and a gem that I'm doing here.
[00:30:01.000 --> 00:30:06.000]   And there's not, I don't have to spend much time thinking about like, does this change?
