
[00:00:00.000 --> 00:00:17.520]   Thanks everyone for joining. Let's start with a quick raise of hands. How many of you in the
[00:08:54.480 --> 00:09:00.480]   So we conceptualized these two systems and sort of together they make this customer memory.
[00:09:00.480 --> 00:09:06.480]   But as we showed them to leadership and they handed them over to R&D, we did hit our first challenge.
[00:09:06.480 --> 00:09:12.480]   And that was that we had conceptualized something that wasn't sustaining innovation, was disruptive innovation.
[00:09:12.480 --> 00:09:21.240]   It was a problem where the quality was not quite there, the cost was not quite there, and primarily we were solving a niche use case.
[00:09:21.240 --> 00:09:29.240]   Like what we had made up was primarily helpful for this up-and-coming wave of agents and generative AI solutions in general.
[00:09:29.240 --> 00:09:32.000]   But there wasn't a large market for this yet.
[00:09:32.000 --> 00:09:46.000]   And so even though we had great feedback, we didn't really have the momentum that helped us to prioritize this among the sustaining innovation and profitability focus that our R&D teams had.
[00:09:46.000 --> 00:09:59.000]   And so we learned from that that even though our customer obsession was key, because it helped us understand that we were on the right track, we knew from talking to them that this wasn't just a problem they were trying to solve today.
[00:09:59.000 --> 00:10:02.800]   It was a problem that they were going to solve tomorrow.
[00:10:02.800 --> 00:10:11.760]   What wasn't working was we had to build ideas out further to be able to gain that traction and be able to hand it over to R&D.
[00:10:11.760 --> 00:10:19.440]   And so we started working on our next project called AI Assistance, which is an agent builder that is built on top of this customer memory concept.
[00:10:19.440 --> 00:10:25.760]   And it's designed to really allow you to build omnichannel customer engagement chatbots.
[00:10:25.760 --> 00:10:27.240]   And we started with the same principles.
[00:10:27.240 --> 00:10:41.000]   We tried to really rapidly prototype, quickly get something into the-- like to show to customers, get feedback, get a working demo, continue to iterate on it as we're getting feedback both internally and externally.
[00:10:41.000 --> 00:10:43.040]   But we did a couple of things differently this time.
[00:10:43.040 --> 00:10:48.040]   One, we decided we have to get this into the hands of people as soon as possible.
[00:10:48.040 --> 00:10:50.640]   What we had built previously was primarily demo driven.
[00:10:50.640 --> 00:10:54.800]   It was what can we show to customers and get feedback based on that.
[00:10:54.800 --> 00:11:05.840]   And so we changed our mode and ran internal hackathons, tried to give it-- give really rough-- access to really rough prototypes with all the rough edges to customers coming into the office.
[00:11:05.840 --> 00:11:09.400]   And we're like, here's for one day you have access to this prototype.
[00:11:09.400 --> 00:11:13.400]   Let us know everything that is wrong with it and what you wanted to do.
[00:11:13.400 --> 00:11:19.600]   And this was both terrifying and incredibly insightful for us.
[00:11:19.600 --> 00:11:23.440]   And additionally, we tried to find more opportunities to do dogfooding.
[00:11:23.440 --> 00:11:26.440]   We tried to find ways we can solve problems internally.
[00:11:26.440 --> 00:11:30.760]   We started with a low-risk use case around IT help desk.
[00:11:30.760 --> 00:11:36.040]   We knew it wasn't the perfect target customer that we would expect to buy our solution.
[00:11:36.040 --> 00:11:42.680]   But it was a way for us to gather data and see what the quality challenges were and how we wanted to structure things.
[00:11:42.680 --> 00:11:52.360]   And then we started to establish an engineering organization that would actually be able to set the foundation for us to actually take this into the hands of people.
[00:11:52.360 --> 00:12:00.680]   But that brought us to the next challenge because at Twilio we've worked hard over the last couple of years to really build the foundation to--
[00:12:00.680 --> 00:12:06.200]   in our software development lifecycle to really create trust with customers in what we're launching.
[00:12:06.200 --> 00:12:10.080]   And Gen.AI really changed how you develop AI products, right?
[00:12:10.080 --> 00:12:19.040]   It's actually exciting but also tricky for larger companies because Gen.AI turned sort of the entire product development lifecycle on its head.
[00:12:19.040 --> 00:12:22.120]   Where in the past you had to gather a lot of data.
[00:12:22.120 --> 00:12:25.360]   You had to make sure you had enough data to train a model.
[00:12:25.360 --> 00:12:28.400]   You trained the model until you reached a certain level of quality.
[00:12:28.400 --> 00:12:31.120]   And then you released it and then you started optimizing.
[00:12:31.120 --> 00:12:44.920]   These days you can actually use Gen.AI to build a prototype or often an MVP very rapidly without having that data and release it out to some customers to get feedback and then continue to iterate on that.
[00:12:44.920 --> 00:12:57.080]   But that puts us into a dilemma because we have a system now that we know is not quite there from a quality perspective but we need to get it in front of people to make it better.
[00:12:57.080 --> 00:13:07.800]   And so how do we do that and how do we keep up with the pace of technology without really upsetting customers with something that doesn't meet our normal quality bar?
[00:13:07.800 --> 00:13:10.520]   And so that's why we looked around the industry for other examples.
[00:13:10.520 --> 00:13:22.520]   The two that came up for us were GitHub Next, the creators of GitHub Copilot and then Cloud for Emerging Technologies and Incubation that created things like workers and D1 and workers AI.
[00:13:22.520 --> 00:13:33.240]   And both of these were really focused on setting the appropriate expectations for users around reliability, capabilities, and availability.
[00:13:33.240 --> 00:13:52.960]   Our solution for this was to create our own sub brand called Twilio Alpha that was very focused on setting the right expectations with customers but enabling us, therefore, to ship early and ship often, engage the interest from customers outside of those that we would have to otherwise track down and enable customers to come to us.
[00:13:52.960 --> 00:14:00.160]   And so that's learning number two to ship early and ship often so that we can regularly get rapid feedback from customers.
[00:14:00.160 --> 00:14:01.160]   And so that's learning number two to ship early and ship.
[00:14:01.160 --> 00:14:01.160]   And so that's learning number two to ship.
[00:14:01.160 --> 00:14:02.160]   And so that's learning number two to ship.
[00:14:02.160 --> 00:14:03.160]   And so that's learning number two to ship.
[00:14:03.160 --> 00:14:04.160]   And so that's learning number two to ship.
[00:14:04.160 --> 00:14:05.160]   And so that's learning number two to ship.
[00:14:05.160 --> 00:14:06.160]   And so that's learning number two to ship.
[00:14:06.160 --> 00:14:07.160]   And so that's learning number two to ship.
[00:14:07.160 --> 00:14:08.160]   And so that's learning number two to ship.
[00:14:08.160 --> 00:14:09.160]   And so that's learning number two to ship.
[00:14:09.160 --> 00:14:10.160]   And so that's learning number two to ship.
[00:14:10.160 --> 00:14:11.160]   And so that's learning number two to ship.
[00:14:11.160 --> 00:14:12.160]   And so that's learning number two to ship.
[00:14:12.160 --> 00:14:13.160]   And so that's learning number two to ship.
[00:14:13.160 --> 00:14:14.160]   And so that's learning number two to ship.
[00:14:14.160 --> 00:14:15.160]   And so that's learning number two to ship.
[00:14:15.160 --> 00:14:16.160]   And so that's learning number two to ship.
[00:14:16.160 --> 00:14:17.160]   And so that's learning number two to ship.
[00:14:17.160 --> 00:14:20.160]   And so that's learning number two to ship.
[00:14:20.160 --> 00:14:21.160]   And so that's learning number two to ship.
[00:14:21.160 --> 00:14:22.160]   And so that's learning number three to ship.
[00:14:22.160 --> 00:14:23.160]   And so that's learning number two to ship.
[00:14:23.160 --> 00:14:24.160]   And so that's learning number two to ship.
[00:14:24.160 --> 00:14:25.160]   And so that's learning number two to ship.
[00:14:25.160 --> 00:14:26.160]   And so that's learning number two to ship.
[00:14:26.160 --> 00:14:27.160]   And so that's learning number two to ship.
[00:14:27.160 --> 00:14:28.160]   And so that's learning number two to ship.
[00:14:28.160 --> 00:14:29.160]   And so that's learning number two to ship.
[00:14:29.160 --> 00:14:30.160]   And so that's learning number two to ship.
[00:14:30.160 --> 00:14:31.160]   And so that's learning number two to ship.
[00:14:31.160 --> 00:14:32.160]   And so that's learning number two to ship.
[00:14:32.160 --> 00:14:33.160]   And so that's learning number two to ship.
[00:14:33.160 --> 00:14:34.160]   And so that's learning number two to ship.
[00:14:34.160 --> 00:14:35.160]   And so that's learning number two to ship.
[00:14:35.160 --> 00:14:36.160]   And so that's learning number two to ship.
[00:14:36.160 --> 00:14:37.160]   And so that's learning number two to ship.
[00:14:37.160 --> 00:14:47.160]   So that got us to our second learning about shipping early and shipping often.
[00:14:47.160 --> 00:14:51.160]   Because by having a sub-brand, it allowed us to open wait lists for developer previews,
[00:14:51.160 --> 00:14:54.160]   show our offerings, and onboard people quickly.
[00:14:54.160 --> 00:14:58.160]   As well as have internal POCs to learn while we're onboarding people.
[00:14:58.160 --> 00:15:00.160]   But everyone talks about shipping fast.
[00:15:00.160 --> 00:15:06.160]   So like, you know, how fast, like, especially with sort of the rapid pace of AI,
[00:15:06.160 --> 00:15:08.160]   like, how do we ship fast enough?
[00:15:08.160 --> 00:15:11.160]   And the honest answer is we haven't figured out yet what is fast enough.
[00:15:11.160 --> 00:15:14.160]   But we put some base principles in place that help us move fast.
[00:15:14.160 --> 00:15:17.160]   One was around how we grew the team.
[00:15:17.160 --> 00:15:22.160]   As we started hiring people, we focused on curiosity and creativity.
[00:15:22.160 --> 00:15:29.160]   Because at Twilio, we've always valued the creativity of developers to solve not just coding,
[00:15:29.160 --> 00:15:30.160]   but business problems.
[00:15:30.160 --> 00:15:34.160]   In fact, our co-founder, Jeff Lawson, wrote a whole book, Ask Your Developer About It.
[00:15:34.160 --> 00:15:41.160]   And so for us, having natural curiosity within the team was more important than existing AI experience.
[00:15:41.160 --> 00:15:49.160]   Because we wanted everyone to be able to solve problems rather than relying on product to figure out what is the thing we're building.
[00:15:49.160 --> 00:15:54.160]   We wanted to give problems to the engineers and be able to figure out what we're going to build.
[00:15:54.160 --> 00:15:59.160]   The other thing we put in place is flexibility, both in terms of our systems.
[00:15:59.160 --> 00:16:03.160]   We assume that every model that we're using is going to be redundant tomorrow.
[00:16:03.160 --> 00:16:07.160]   That doesn't mean that we're jumping on every model that comes out in every paper.
[00:16:07.160 --> 00:16:12.160]   But instead, we understand what are our known limitations and how do we --
[00:16:12.160 --> 00:16:19.160]   And every time a model comes out, how do we quickly validate whether the next model is something that helps us in that moment.
[00:16:19.160 --> 00:16:26.160]   So for example, when 3.5 Sonic came out, we were able to figure out within a day whether we wanted to pay any attention to this for now
[00:16:26.160 --> 00:16:29.160]   or whether we're putting it in a backlog.
[00:16:29.160 --> 00:16:31.160]   The other side is flexibility of roadmap.
[00:16:31.160 --> 00:16:38.160]   Having a new team that is specifically focused on innovation helped us not have any pre-existing commitments to customers
[00:16:38.160 --> 00:16:41.160]   and allowed us to really have flexibility about the roadmap.
[00:16:41.160 --> 00:16:48.160]   And we try to defend this flexibility as much as we can with current initiatives around this.
[00:16:48.160 --> 00:16:56.160]   The big part around this I would recommend is to understand that expectations are shifting at any moment currently.
[00:16:56.160 --> 00:17:01.160]   Meaning figure out what are expectations that are staying because those are worth putting on the roadmap.
[00:17:01.160 --> 00:17:04.160]   Those that are ever-changing, you need to have more flexibility around.
[00:17:04.160 --> 00:17:16.160]   Think about the difference between trust and safety where people are always going to be focused on versus multi-modality where every time some new mode comes out,
[00:17:16.160 --> 00:17:19.160]   people are going to change what they want to have.
[00:17:19.160 --> 00:17:24.160]   Most people don't talk about image these days anymore, but that was the hot thing a few months ago.
[00:17:24.160 --> 00:17:26.160]   Now everyone talks about voice.
[00:17:26.160 --> 00:17:33.160]   So you will constantly have to iterate on your roadmap and you have to be okay with failures.
[00:17:33.160 --> 00:17:42.160]   But if you're okay with failures, especially in the environment right now where everyone in the company and most companies has to provide value at all times,
[00:17:42.160 --> 00:17:47.160]   how do you provide that value while you're waiting for your eventual home run?
[00:17:47.160 --> 00:17:58.160]   That's where we made the last mistake that I want to call out where, as I mentioned, our team is self-contained within the company, including having our own go-to-market.
[00:17:58.160 --> 00:18:02.160]   And in the first year, we took that self-containment a bit too far.
[00:18:02.160 --> 00:18:11.160]   We basically just operate in our own corner quietly and shared what we were working on on a need-to-know basis, both with customers but also internally.
[00:18:11.160 --> 00:18:18.160]   And that resulted in often teams not even knowing that we existed as a team or what we were working on.
[00:18:18.160 --> 00:18:22.160]   And it was on us to find potential conflicts or collaboration opportunities.
[00:18:22.160 --> 00:18:29.160]   And at the same time, our customers were having the same questions that we had around what are we doing about AI, you know?
[00:18:29.160 --> 00:18:38.160]   And it really, especially for a B2B company, you have the opportunity to help your customers be thought leaders in their space and build a stronger bond.
[00:18:38.160 --> 00:18:43.160]   So our third learning was to share things as we go, both internally and externally.
[00:18:43.160 --> 00:18:52.160]   Internally to find opportunities to share all that enormous learnings, the enormous learnings that we had with others to empower them,
[00:18:52.160 --> 00:18:56.160]   but also externally to enable others to be thought leaders in their space.
[00:18:56.160 --> 00:19:05.160]   So these are our biggest learnings from the last year, and we actually ended up turning them into our base principles for the team.
[00:19:05.160 --> 00:19:16.160]   So being customer and developer obsessed to make sure that we talk to customers early and often and understand not just their current problems and their current problems with Twilio,
[00:19:16.160 --> 00:19:24.160]   but understand their business, their challenges in general, and their vision for customer engagement so that we can anticipate their future needs.
[00:19:24.160 --> 00:19:33.160]   Shipping early and often so that we can set the right expectations with them, but still get things into their hands and get feedback from them.
[00:19:33.160 --> 00:19:39.160]   And creating a team that is curious and owns problems so that we can actually build things quickly.
[00:19:39.160 --> 00:19:50.160]   And then lastly, share as we go, that we're both sharing internally as much as we can, but also sharing externally to help our customers be thought leaders.
[00:19:50.160 --> 00:19:54.160]   And with that, thank you so much for your attention.
[00:19:54.160 --> 00:19:58.160]   The slides are already on that URL if you want to check them out.
[00:19:58.160 --> 00:20:03.160]   As Peter mentioned, I will have to run to the Twilio booth to raffle away of Christ.
[00:20:03.160 --> 00:20:06.160]   But if people do have questions, please come to the Twilio booth.
[00:20:06.160 --> 00:20:09.160]   It's like literally over there. It's the only one that is red.
[00:20:09.160 --> 00:20:14.160]   And I'm happy to answer any questions there, but thank you so much for having me and have a great day.
[00:20:14.160 --> 00:20:34.160]   Thank you.

