
[00:00:00.000 --> 00:00:01.320]   Dating is inherently deceptive.
[00:02:10.040 --> 00:02:11.040]   You put him on the spot.
[00:02:11.040 --> 00:02:12.040]   I'm sorry.
[00:02:12.040 --> 00:02:13.040]   I'm sorry.
[00:02:13.040 --> 00:02:14.040]   Oh no.
[00:02:14.040 --> 00:02:15.040]   Irvine doesn't know either.
[00:02:15.040 --> 00:02:16.040]   So it's fine.
[00:02:16.040 --> 00:02:17.040]   I'm going to say both daughters.
[00:02:17.040 --> 00:02:18.040]   It's like 12 years.
[00:02:18.040 --> 00:02:19.040]   12 years.
[00:02:19.040 --> 00:02:20.040]   And you have three kids.
[00:02:20.040 --> 00:02:21.040]   Three kids.
[00:02:21.040 --> 00:02:22.040]   Three daughters.
[00:02:22.040 --> 00:02:23.040]   Beautiful daughters.
[00:02:23.040 --> 00:02:25.040]   He really wanted a son.
[00:02:25.040 --> 00:02:27.040]   I really wanted a son.
[00:02:27.040 --> 00:02:29.040]   I'm very happy with my daughters.
[00:02:29.040 --> 00:02:30.040]   Especially twins.
[00:02:30.040 --> 00:02:31.040]   Yes.
[00:02:31.040 --> 00:02:32.040]   Jamie's nine.
[00:02:32.040 --> 00:02:33.040]   Super cute.
[00:02:33.040 --> 00:02:34.040]   And our twins are seven.
[00:02:34.040 --> 00:02:35.040]   They just turned seven.
[00:02:35.040 --> 00:02:36.040]   Wow.
[00:02:36.040 --> 00:02:37.040]   She's already nine.
[00:02:37.040 --> 00:02:38.040]   27.
[00:02:38.040 --> 00:02:39.040]   Okay.
[00:02:39.040 --> 00:02:40.040]   Okay.
[00:02:40.040 --> 00:02:41.040]   So how about just tell us like.
[00:02:41.040 --> 00:02:42.040]   Who asked who.
[00:02:42.040 --> 00:02:43.040]   Yeah.
[00:02:43.040 --> 00:02:44.040]   How you guys first met.
[00:02:44.040 --> 00:02:45.040]   Who asked who.
[00:02:45.040 --> 00:02:47.040]   How that all went down.
[00:02:47.040 --> 00:02:48.040]   So she's okay.
[00:02:48.040 --> 00:02:51.040]   So Irene's actually cousins with one of my peers.
[00:02:51.040 --> 00:02:52.040]   So Matt.
[00:02:52.040 --> 00:02:53.040]   That's right.
[00:02:53.040 --> 00:02:54.040]   Yeah.
[00:02:54.040 --> 00:02:55.040]   So I met her when she was a freshman.
[00:02:55.040 --> 00:02:57.040]   I was a sophomore at the time.
[00:02:57.040 --> 00:03:00.040]   And then we were not always in the same kind of.
[00:03:00.040 --> 00:03:01.040]   grouping.
[00:03:01.040 --> 00:03:02.040]   As undergrads.
[00:03:02.040 --> 00:03:03.040]   But.
[00:03:03.040 --> 00:03:04.040]   Like.
[00:03:04.040 --> 00:03:05.040]   Either in the next.
[00:03:05.040 --> 00:03:06.040]   Home group.
[00:03:06.040 --> 00:03:07.040]   Or something like that.
[00:03:07.040 --> 00:03:08.040]   So.
[00:03:08.040 --> 00:03:10.040]   We kind of knew each other throughout undergrad.
[00:03:10.040 --> 00:03:11.040]   Served together.
[00:03:11.040 --> 00:03:12.040]   After.
[00:03:12.040 --> 00:03:13.040]   In coin.
[00:03:13.040 --> 00:03:14.040]   In coin.
[00:03:14.040 --> 00:03:15.040]   Um.
[00:03:15.040 --> 00:03:16.040]   We started dating maybe.
[00:03:16.040 --> 00:03:17.040]   Like.
[00:03:17.040 --> 00:03:18.040]   Two.
[00:03:18.040 --> 00:03:19.040]   Three years after graduating.
[00:03:19.040 --> 00:03:20.040]   Mm-hmm.
[00:03:20.040 --> 00:03:21.040]   Yeah.
[00:03:21.040 --> 00:03:23.040]   I was a little shocked when he called me actually.
[00:03:23.040 --> 00:03:24.040]   Oh.
[00:03:24.040 --> 00:03:25.040]   He didn't see it coming at all.
[00:03:25.040 --> 00:03:26.040]   Yeah.
[00:03:26.040 --> 00:03:27.040]   Joe called me.
[00:03:27.040 --> 00:03:28.040]   And then I was like.
[00:03:28.040 --> 00:03:29.040]   Uh.
[00:03:29.040 --> 00:03:30.040]   Do you have the right person on the other.
[00:03:30.040 --> 00:03:31.040]   Yeah.
[00:03:31.040 --> 00:03:32.040]   Um.
[00:03:32.040 --> 00:03:32.040]   Yeah.
[00:03:32.040 --> 00:03:33.040]   Cause I had never even thought about him.
[00:03:33.040 --> 00:03:34.040]   So then.
[00:03:34.040 --> 00:03:35.040]   When he called me.
[00:03:35.040 --> 00:03:36.040]   It was a little shocking.
[00:03:36.040 --> 00:03:37.040]   No, no.
[00:03:37.040 --> 00:03:38.040]   Because I felt like.
[00:03:38.040 --> 00:03:39.040]   Oh.
[00:03:39.040 --> 00:03:40.040]   He's like.
[00:03:40.040 --> 00:03:41.040]   Too above my range.
[00:03:41.040 --> 00:03:42.040]   Wow.
[00:03:42.040 --> 00:03:43.040]   What a compliment.
[00:03:43.040 --> 00:03:44.040]   Oh my god.
[00:03:44.040 --> 00:03:45.040]   I mean.
[00:03:45.040 --> 00:03:46.040]   That's not how I thought at all.
[00:03:46.040 --> 00:03:47.040]   For me.
[00:03:47.040 --> 00:03:48.040]   I was.
[00:03:48.040 --> 00:03:49.040]   Okay.
[00:03:49.040 --> 00:03:50.040]   Maybe this is too.
[00:03:50.040 --> 00:03:51.040]   Too serious.
[00:03:51.040 --> 00:03:52.040]   But like.
[00:03:52.040 --> 00:03:53.040]   Uh.
[00:03:53.040 --> 00:03:54.040]   I was really looking for.
[00:03:54.040 --> 00:03:55.040]   A wife.
[00:03:55.040 --> 00:03:56.040]   That I could do ministry with.
[00:03:56.040 --> 00:03:57.040]   Mm-hmm.
[00:03:57.040 --> 00:03:58.040]   That was really what I was looking for.
[00:03:58.040 --> 00:03:59.040]   My.
[00:03:59.040 --> 00:04:00.040]   Home church pastor.
[00:04:00.040 --> 00:04:01.040]   Loved the.
[00:04:01.040 --> 00:04:02.040]   He was the first man of God.
[00:04:02.040 --> 00:04:03.040]   Who just.
[00:04:03.040 --> 00:04:04.040]   Like.
[00:04:04.040 --> 00:04:05.040]   I saw him sacrifice.
[00:04:05.040 --> 00:04:06.040]   So much.
[00:04:06.040 --> 00:04:07.040]   For our youth group.
[00:04:07.040 --> 00:04:08.040]   Um.
[00:04:08.040 --> 00:04:09.040]   His wife.
[00:04:09.040 --> 00:04:10.040]   Was not that involved.
[00:04:10.040 --> 00:04:11.040]   And so I saw him kind of burn out.
[00:04:11.040 --> 00:04:12.040]   Actually.
[00:04:12.040 --> 00:04:13.040]   Mm-hmm.
[00:04:13.040 --> 00:04:14.040]   Trying to serve the youth group.
[00:04:14.040 --> 00:04:16.040]   I really want to find a wife.
[00:04:16.040 --> 00:04:17.040]   Who is going to be.
[00:04:17.040 --> 00:04:18.040]   My equal.
[00:04:18.040 --> 00:04:19.040]   Mm-hmm.
[00:04:19.040 --> 00:04:20.040]   At least.
[00:04:20.040 --> 00:04:21.040]   Um.
[00:04:21.040 --> 00:04:22.040]   Someone who's.
[00:04:22.040 --> 00:04:23.040]   Gonna be doing.
[00:04:23.040 --> 00:04:24.040]   Anyway.
[00:04:24.040 --> 00:04:25.040]   So when I saw Irene.
[00:04:25.040 --> 00:04:26.040]   I was like.
[00:04:26.040 --> 00:04:27.040]   Boom.
[00:04:27.040 --> 00:04:28.040]   There it is.
[00:04:28.040 --> 00:04:29.040]   How did you know?
[00:04:29.040 --> 00:04:30.040]   When did you know?
[00:04:30.040 --> 00:04:31.040]   When did you know?
[00:04:31.040 --> 00:04:32.040]   Okay.
[00:04:32.040 --> 00:04:33.040]   Was that her freshman year?
[00:04:33.040 --> 00:04:34.040]   No.
[00:04:34.040 --> 00:04:35.040]   Okay.
[00:04:35.040 --> 00:04:36.040]   So we went on a.
[00:04:36.040 --> 00:04:37.040]   Cambodia mission trip.
[00:04:37.040 --> 00:04:38.040]   Okay.
[00:04:38.040 --> 00:04:39.040]   So I actually.
[00:04:39.040 --> 00:04:40.040]   Postgrad.
[00:04:40.040 --> 00:04:41.040]   Postgrad.
[00:04:41.040 --> 00:04:42.040]   Postgrad.
[00:04:42.040 --> 00:04:43.040]   Postgrad.
[00:04:43.040 --> 00:04:44.040]   Cause you were there for like.
[00:04:44.040 --> 00:04:45.040]   Three out of the four.
[00:04:45.040 --> 00:04:46.040]   Yeah.
[00:04:46.040 --> 00:04:47.040]   I was there for three out of four.
[00:04:47.040 --> 00:04:48.040]   Yeah.
[00:04:48.040 --> 00:04:49.040]   Yeah.
[00:04:49.040 --> 00:04:50.040]   So.
[00:04:50.040 --> 00:04:51.040]   And then I actually.
[00:04:51.040 --> 00:04:52.040]   I tell undergrads like.
[00:04:52.040 --> 00:04:53.040]   Mission trips.
[00:04:53.040 --> 00:04:54.040]   And things like that.
[00:04:54.040 --> 00:04:55.040]   Are great.
[00:04:55.040 --> 00:04:56.040]   It's a great context.
[00:04:56.040 --> 00:04:57.040]   To kind of get to know someone.
[00:04:57.040 --> 00:04:58.040]   So.
[00:04:58.040 --> 00:04:59.040]   Look around.
[00:04:59.040 --> 00:05:00.040]   That's not why you should go.
[00:05:00.040 --> 00:05:01.040]   While you're there.
[00:05:01.040 --> 00:05:02.040]   Jesus.
[00:05:02.040 --> 00:05:03.040]   For Jesus.
[00:05:03.040 --> 00:05:04.040]   Yeah.
[00:05:04.040 --> 00:05:05.040]   So I just.
[00:05:05.040 --> 00:05:06.040]   I just.
[00:05:06.040 --> 00:05:07.040]   I guess I saw her in a different way.
[00:05:07.040 --> 00:05:08.040]   I knew her.
[00:05:08.040 --> 00:05:09.040]   Uh.
[00:05:09.040 --> 00:05:10.040]   You know.
[00:05:10.040 --> 00:05:11.040]   Throughout undergrad and stuff like that.
[00:05:11.040 --> 00:05:12.040]   But just.
[00:05:12.040 --> 00:05:13.040]   Seeing her zeal.
[00:05:13.040 --> 00:05:14.040]   And like.
[00:05:14.040 --> 00:05:15.040]   Her.
[00:05:15.040 --> 00:05:16.040]   How.
[00:05:16.040 --> 00:05:17.040]   How hard she worked.
[00:05:17.040 --> 00:05:18.040]   It was very appealing to me.
[00:05:18.040 --> 00:05:19.040]   Um.
[00:05:19.040 --> 00:05:20.040]   The only thing was.
[00:05:20.040 --> 00:05:21.040]   Um.
[00:05:21.040 --> 00:05:22.040]   She was really bossy.
[00:05:22.040 --> 00:05:23.040]   Okay.
[00:05:23.040 --> 00:05:24.040]   Okay.
[00:05:24.040 --> 00:05:25.040]   I gotta tell this story though.
[00:05:25.040 --> 00:05:26.040]   Okay.
[00:05:26.040 --> 00:05:27.040]   What do you think now?
[00:05:27.040 --> 00:05:28.040]   Wait.
[00:05:28.040 --> 00:05:29.040]   I am still bossy.
[00:05:29.040 --> 00:05:30.040]   Why do you think she's bossy?
[00:05:30.040 --> 00:05:31.040]   Character ratio.
[00:05:31.040 --> 00:05:32.040]   I'm working on it.
[00:05:32.040 --> 00:05:33.040]   But.
[00:05:33.040 --> 00:05:34.040]   But.
[00:05:34.040 --> 00:05:35.040]   Uh.
[00:05:35.040 --> 00:05:36.040]   So.
[00:05:36.040 --> 00:05:37.040]   We were dating for about a.
[00:05:37.040 --> 00:05:38.040]   Gosh.
[00:05:38.040 --> 00:05:39.040]   I think it was maybe.
[00:05:39.040 --> 00:05:40.040]   We were a month in.
[00:05:40.040 --> 00:05:41.040]   Maybe a month and a half.
[00:05:41.040 --> 00:05:42.040]   And we're having lunch.
[00:05:42.040 --> 00:05:43.040]   And then.
[00:05:43.040 --> 00:05:44.040]   Eating really yummy Korean food.
[00:05:44.040 --> 00:05:45.040]   He goes.
[00:05:45.040 --> 00:05:46.040]   Hey.
[00:05:46.040 --> 00:05:47.040]   So.
[00:05:47.040 --> 00:05:48.040]   Is there anything that you're concerned about me?
[00:05:48.040 --> 00:05:49.040]   Like.
[00:05:49.040 --> 00:05:50.040]   About me.
[00:05:50.040 --> 00:05:51.040]   Like.
[00:05:51.040 --> 00:05:52.040]   Wow.
[00:05:52.040 --> 00:05:53.040]   Okay.
[00:05:53.040 --> 00:05:54.040]   I'm serious.
[00:05:54.040 --> 00:05:55.040]   So.
[00:05:55.040 --> 00:05:56.040]   So.
[00:05:56.040 --> 00:05:57.040]   I say.
[00:05:57.040 --> 00:05:58.040]   Well.
[00:05:58.040 --> 00:05:59.040]   I've heard that you're kind of mechanical.
[00:05:59.040 --> 00:06:00.040]   You know.
[00:06:00.040 --> 00:06:01.040]   Like.
[00:06:01.040 --> 00:06:02.040]   You're kind of mechanical.
[00:06:02.040 --> 00:06:03.040]   And he's like.
[00:06:03.040 --> 00:06:04.040]   Oh yeah.
[00:06:04.040 --> 00:06:05.040]   I'm working on that.
[00:06:05.040 --> 00:06:06.040]   Well.
[00:06:06.040 --> 00:06:07.040]   For you.
[00:06:07.040 --> 00:06:08.040]   You're um.
[00:06:08.040 --> 00:06:09.040]   You're pretty bossy.
[00:06:09.040 --> 00:06:10.040]   Like.
[00:06:10.040 --> 00:06:11.040]   When we were in Cambodia.
[00:06:11.040 --> 00:06:12.040]   I was like.
[00:06:12.040 --> 00:06:13.040]   Dang.
[00:06:13.040 --> 00:06:14.040]   She's bossy.
[00:06:14.040 --> 00:06:15.040]   So.
[00:06:15.040 --> 00:06:16.040]   I was like.
[00:06:16.040 --> 00:06:17.040]   Oh.
[00:06:17.040 --> 00:06:18.040]   And you're like.
[00:06:18.040 --> 00:06:19.040]   I didn't ask.
[00:06:19.040 --> 00:06:20.040]   But the topic.
[00:06:20.040 --> 00:06:21.040]   It felt a little bit like that.
[00:06:21.040 --> 00:06:22.040]   So.
[00:06:22.040 --> 00:06:23.040]   I'm sure.
[00:06:23.040 --> 00:06:24.040]   That's how it felt for her emotionally.
[00:06:24.040 --> 00:06:25.040]   Um.
[00:06:25.040 --> 00:06:26.040]   But.
[00:06:26.040 --> 00:06:27.040]   I thought.
[00:06:27.040 --> 00:06:28.040]   Surely.
[00:06:28.040 --> 00:06:29.040]   She would have some things about me.
[00:06:29.040 --> 00:06:30.040]   That she would.
[00:06:30.040 --> 00:06:31.040]   Find concerning.
[00:06:31.040 --> 00:06:32.040]   Yeah.
[00:06:32.040 --> 00:06:33.040]   Um.
[00:06:33.040 --> 00:06:34.040]   Because.
[00:06:34.040 --> 00:06:35.040]   Again.
[00:06:35.040 --> 00:06:36.040]   After that conversation.
[00:06:36.040 --> 00:06:37.040]   After that conversation.
[00:06:37.040 --> 00:06:38.040]   I had a few concerns.
[00:06:38.040 --> 00:06:39.040]   Yeah.
[00:06:39.040 --> 00:06:40.040]   Yeah.
[00:06:40.040 --> 00:06:41.040]   Yeah.
[00:06:41.040 --> 00:06:42.040]   Now that she mentioned mine.
[00:06:42.040 --> 00:06:43.040]   Yeah.
[00:06:43.040 --> 00:06:44.040]   Wow.
[00:06:44.040 --> 00:06:45.040]   You know.
[00:06:45.040 --> 00:06:46.040]   For me.
[00:06:46.040 --> 00:06:47.040]   It's like.
[00:06:47.040 --> 00:06:48.040]   I.
[00:06:48.040 --> 00:06:49.040]   Yeah.
[00:06:49.040 --> 00:06:50.040]   I just.
[00:06:50.040 --> 00:06:51.040]   I.
[00:06:51.040 --> 00:06:52.040]   I wanted to.
[00:06:52.040 --> 00:06:53.040]   I'm a pretty simple person.
[00:06:53.040 --> 00:06:54.040]   And straightforward.
[00:06:54.040 --> 00:06:55.040]   Maybe too straightforward.
[00:06:55.040 --> 00:06:56.040]   So.
[00:06:56.040 --> 00:06:57.040]   Um.
[00:06:57.040 --> 00:06:58.040]   Yeah.
[00:06:58.040 --> 00:06:59.040]   Yeah.
[00:06:59.040 --> 00:07:00.040]   I wanted to talk about it.
[00:07:00.040 --> 00:07:01.040]   Kind of getting out.
[00:07:01.040 --> 00:07:02.040]   Getting out in the open.
[00:07:02.040 --> 00:07:03.040]   Wow.
[00:07:03.040 --> 00:07:04.040]   He's a serious dude.
[00:07:04.040 --> 00:07:05.040]   Yeah.
[00:07:05.040 --> 00:07:06.040]   Yeah.
[00:07:06.040 --> 00:07:07.040]   Serious dude.
[00:07:07.040 --> 00:07:08.040]   Yeah.
[00:07:08.040 --> 00:07:09.040]   Yeah.
[00:07:09.040 --> 00:07:10.040]   What are some.
[00:07:10.040 --> 00:07:11.040]   Highlights.
[00:07:11.040 --> 00:07:12.040]   That you'd be willing to share.
[00:07:12.040 --> 00:07:13.040]   Oh.
[00:07:13.040 --> 00:07:14.040]   Maybe.
[00:07:14.040 --> 00:07:15.040]   This is your chance to set the record straight.
[00:07:15.040 --> 00:07:16.040]   On.
[00:07:16.040 --> 00:07:17.040]   Some.
[00:07:17.040 --> 00:07:18.040]   Maybe some stories that have.
[00:07:18.040 --> 00:07:19.040]   Accumulated.
[00:07:19.040 --> 00:07:20.040]   Legendary.
[00:07:20.040 --> 00:07:21.040]   Features.
[00:07:21.040 --> 00:07:22.040]   Over time.
[00:07:22.040 --> 00:07:23.040]   I think you gotta say.
[00:07:23.040 --> 00:07:24.040]   Which one you're okay with.
[00:07:24.040 --> 00:07:25.040]   Cause there's just so much.
[00:07:25.040 --> 00:07:26.040]   There are a lot.
[00:07:26.040 --> 00:07:27.040]   There are a lot.
[00:07:27.040 --> 00:07:28.040]   There are a lot.
[00:07:28.040 --> 00:07:29.040]   Um.
[00:07:29.040 --> 00:07:30.040]   Is it more of the same kind of.
[00:07:30.040 --> 00:07:31.040]   Pattern?
[00:07:31.040 --> 00:07:32.040]   Yeah.
[00:07:32.040 --> 00:07:33.040]   I guess.
[00:07:33.040 --> 00:07:34.040]   I think so.
[00:07:34.040 --> 00:07:35.040]   He's a serious dude.
[00:07:35.040 --> 00:07:36.040]   Yeah.
[00:07:36.040 --> 00:07:37.040]   Yeah.
[00:07:37.040 --> 00:07:38.040]   Alright.
[00:07:38.040 --> 00:07:39.040]   Um.
[00:07:39.040 --> 00:07:41.040]   Are you gonna make him tell it?
[00:07:41.040 --> 00:07:42.040]   No.
[00:07:42.040 --> 00:07:43.040]   No.
[00:07:43.040 --> 00:07:44.040]   He just needs to give me permission.
[00:07:44.040 --> 00:07:45.040]   To tell which one.
[00:07:45.040 --> 00:07:46.040]   You know.
[00:07:46.040 --> 00:07:47.040]   Maybe you should give him some options.
[00:07:47.040 --> 00:07:48.040]   I already gave him many options.
[00:07:48.040 --> 00:07:49.040]   Oh.
[00:07:49.040 --> 00:07:50.040]   We're good.
[00:07:50.040 --> 00:07:51.040]   Yeah.
[00:07:51.040 --> 00:07:52.040]   Okay.
[00:07:52.040 --> 00:07:53.040]   Well we got time.
[00:07:53.040 --> 00:07:54.040]   We got time.
[00:07:54.040 --> 00:07:55.040]   Alright.
[00:07:55.040 --> 00:07:56.040]   Okay.
[00:07:56.040 --> 00:07:57.040]   You wanna tell the supermodel story?
[00:07:57.040 --> 00:07:58.040]   Okay.
[00:07:58.040 --> 00:07:59.040]   Sure.
[00:07:59.040 --> 00:08:00.040]   Okay.
[00:08:00.040 --> 00:08:01.040]   So this one's a classic.
[00:08:01.040 --> 00:08:02.040]   Our students get a kick out of this one.
[00:08:02.040 --> 00:08:03.040]   Yeah.
[00:08:03.040 --> 00:08:04.040]   Yeah.
[00:08:04.040 --> 00:08:05.040]   Yeah.
[00:08:05.040 --> 00:08:06.040]   We tell this one frequently.
[00:08:06.040 --> 00:08:07.040]   We're on a lunch date.
[00:08:07.040 --> 00:08:08.040]   And then somehow the topic of.
[00:08:08.040 --> 00:08:09.040]   Oh.
[00:08:09.040 --> 00:08:10.040]   Um.
[00:08:10.040 --> 00:08:11.040]   What kind of girls does your brother like?
[00:08:11.040 --> 00:08:12.040]   Comes up.
[00:08:12.040 --> 00:08:13.040]   And he goes.
[00:08:13.040 --> 00:08:14.040]   I have an older brother.
[00:08:14.040 --> 00:08:15.040]   Older brother.
[00:08:15.040 --> 00:08:16.040]   Um.
[00:08:16.040 --> 00:08:17.040]   Alpha female.
[00:08:17.040 --> 00:08:18.040]   Prettiest.
[00:08:18.040 --> 00:08:19.040]   Smartest.
[00:08:19.040 --> 00:08:20.040]   The one that all the guys wanna date.
[00:08:20.040 --> 00:08:21.040]   And he goes.
[00:08:21.040 --> 00:08:22.040]   But I don't care about that stuff.
[00:08:22.040 --> 00:08:23.040]   I'm like.
[00:08:23.040 --> 00:08:24.040]   I'm like.
[00:08:24.040 --> 00:08:25.040]   Ah.
[00:08:25.040 --> 00:08:26.040]   You know.
[00:08:26.040 --> 00:08:27.040]   And I'm like.
[00:08:27.040 --> 00:08:28.040]   You know.
[00:08:28.040 --> 00:08:29.040]   I could find that like.
[00:08:29.040 --> 00:08:30.040]   Kind of offensive.
[00:08:30.040 --> 00:08:31.040]   And then he goes.
[00:08:31.040 --> 00:08:32.040]   Why?
[00:08:32.040 --> 00:08:33.040]   You know what?
[00:08:33.040 --> 00:08:34.040]   Let's not talk about this anymore.
[00:08:34.040 --> 00:08:35.040]   You know what?
[00:08:35.040 --> 00:08:36.040]   Let's not talk about this anymore.
[00:08:36.040 --> 00:08:37.040]   Let's move on.
[00:08:37.040 --> 00:08:38.040]   He goes.
[00:08:38.040 --> 00:08:39.040]   No.
[00:08:39.040 --> 00:08:40.040]   I don't understand.
[00:08:40.040 --> 00:08:41.040]   So then.
[00:08:41.040 --> 00:08:42.040]   So then.
[00:08:42.040 --> 00:08:43.040]   I'm like.
[00:08:43.040 --> 00:08:44.040]   You know what?
[00:08:44.040 --> 00:08:45.040]   Let's not talk about this anymore.
[00:08:45.040 --> 00:08:46.040]   You know what?
[00:08:46.040 --> 00:08:47.040]   Let's not talk about this anymore.
[00:08:47.040 --> 00:08:48.040]   Um.
[00:08:48.040 --> 00:08:49.040]   Let's move on.
[00:08:49.040 --> 00:08:50.040]   He goes.
[00:08:50.040 --> 00:08:51.040]   No.
[00:08:51.040 --> 00:08:52.040]   I don't understand.
[00:08:52.040 --> 00:08:53.040]   So then.
[00:08:53.040 --> 00:08:54.040]   So then.
[00:08:54.040 --> 00:08:55.040]   So then.
[00:08:55.040 --> 00:08:56.040]   I say.
[00:08:56.040 --> 00:08:57.040]   Okay.
[00:08:57.040 --> 00:08:58.040]   So.
[00:08:58.040 --> 00:08:59.040]   Like.
[00:08:59.040 --> 00:09:00.040]   You're insinuating something about me.
[00:09:00.040 --> 00:09:01.040]   By saying what you just said.
[00:09:01.040 --> 00:09:02.040]   Um.
[00:09:02.040 --> 00:09:03.040]   He's like.
[00:09:03.040 --> 00:09:04.040]   Yeah.
[00:09:04.040 --> 00:09:05.040]   Okay.
[00:09:05.040 --> 00:09:06.040]   I don't understand.
[00:09:06.040 --> 00:09:07.040]   And I was like.
[00:09:07.040 --> 00:09:08.040]   Okay.
[00:09:08.040 --> 00:09:09.040]   So.
[00:09:09.040 --> 00:09:10.040]   Never heard.
[00:09:10.040 --> 00:09:11.040]   Oh really?
[00:09:11.040 --> 00:09:12.040]   Yeah.
[00:09:12.040 --> 00:09:13.040]   Short fat bald guy.
[00:09:13.040 --> 00:09:14.040]   And then.
[00:09:14.040 --> 00:09:15.040]   And then he's like.
[00:09:15.040 --> 00:09:16.040]   So I would feel more comfortable.
[00:09:16.040 --> 00:09:17.040]   Like if you said that.
[00:09:17.040 --> 00:09:18.040]   You're fine with short fat bald guys.
[00:09:18.040 --> 00:09:19.040]   Uh huh.
[00:09:19.040 --> 00:09:20.040]   Anyway.
[00:09:20.040 --> 00:09:21.040]   So basically.
[00:09:21.040 --> 00:09:22.040]   Like.
[00:09:22.040 --> 00:09:23.040]   I keep trying to.
