
[00:00:00.000 --> 00:00:01.440]   Hi, guys.
[00:11:21.340 --> 00:11:25.620]   of Snowflake's customers to very rapidly access
[00:11:25.620 --> 00:11:29.020]   the power of LLMs and their private data
[00:11:29.020 --> 00:11:33.260]   and create bespoke chat apps with the same speed
[00:11:33.260 --> 00:11:36.260]   that they can generate Streamlit apps in general
[00:11:36.260 --> 00:11:40.980]   to do arbitrary data analyses.
[00:11:40.980 --> 00:11:42.900]   OK.
[00:11:42.900 --> 00:11:47.260]   So we talked about the fact that Streamlit--
[00:11:47.260 --> 00:11:52.020]   there's been an explosion of LLM apps generated using Streamlit,
[00:11:52.020 --> 00:11:52.660]   a.k.a.
[00:11:52.660 --> 00:11:56.540]   the Streamlit app, which then calls the API of an LLM, which
[00:11:56.540 --> 00:11:58.660]   then does interesting things.
[00:11:58.660 --> 00:12:00.940]   And there are thousands of these,
[00:12:00.940 --> 00:12:03.420]   and we have a web page about it now.
[00:12:03.420 --> 00:12:08.820]   But there's a sort of flip side to this, which is interesting,
[00:12:08.820 --> 00:12:17.140]   which is that not only is Streamlit an amazing way
[00:12:17.140 --> 00:12:25.580]   to write LLM apps, LLMs are an amazing way
[00:12:25.580 --> 00:12:28.340]   to write Streamlit apps.
[00:12:28.340 --> 00:12:29.620]   OK.
[00:12:29.620 --> 00:12:34.060]   So for this next demonstration, I'm
[00:12:34.060 --> 00:12:38.700]   going to need a volunteer from the audience.
[00:12:38.700 --> 00:12:40.780]   Who would like to be a volunteer from the audience?
[00:12:40.780 --> 00:12:43.060]   OK, I see a hand raised right there.
[00:12:43.060 --> 00:12:44.820]   Can you stand up?
[00:12:44.820 --> 00:12:45.940]   OK.
[00:12:45.940 --> 00:12:47.820]   Are you guys ready?
[00:12:47.820 --> 00:12:48.320]   Here we go.
[00:12:48.320 --> 00:12:52.860]   All righty.
[00:12:52.860 --> 00:12:56.220]   What is your name, volunteer?
[00:12:56.220 --> 00:12:57.220]   Mario.
[00:12:57.220 --> 00:12:58.860]   OK.
[00:12:58.860 --> 00:13:02.620]   What company do you work at?
[00:13:02.620 --> 00:13:04.540]   Say that again.
[00:13:04.540 --> 00:13:06.860]   VIO?
[00:13:06.860 --> 00:13:09.060]   Wind IO.
[00:13:09.060 --> 00:13:10.380]   We're just going to say Wind IO.
[00:13:10.380 --> 00:13:15.220]   I know that that's not actually true, but that's OK.
[00:13:15.220 --> 00:13:17.460]   You know what, we're just going to hallucinate this.
[00:13:17.460 --> 00:13:18.780]   All right.
[00:13:18.780 --> 00:13:22.220]   Tell me, Mario, not to embarrass you in front of the audience,
[00:13:22.220 --> 00:13:25.500]   but what is your dream?
[00:13:25.500 --> 00:13:27.060]   Your dream is to become a rock star.
[00:13:27.060 --> 00:13:27.940]   OK.
[00:13:27.940 --> 00:13:32.540]   Let's go into to become a rock star.
[00:13:32.540 --> 00:13:35.100]   Now obviously, this is a data analytics problem,
[00:13:35.100 --> 00:13:37.300]   so we're going to want at least one numerical input
[00:13:37.300 --> 00:13:41.500]   slider and an Altair bar chart and an Altair line chart.
[00:13:41.500 --> 00:13:43.540]   And we don't need any biographical information
[00:13:43.540 --> 00:13:44.060]   about Mike.
[00:13:44.060 --> 00:13:44.460]   I don't know.
[00:13:44.460 --> 00:13:45.500]   That's from an old slide.
[00:13:45.500 --> 00:13:46.060]   OK.
[00:13:46.060 --> 00:13:50.460]   And what is your goal in terms of becoming a rock star?
[00:13:50.460 --> 00:13:50.960]   Help us.
[00:13:50.960 --> 00:13:53.540]   What's the first step?
[00:13:53.540 --> 00:13:54.620]   Writing a hit song.
[00:13:54.620 --> 00:13:55.660]   Writing a hit song.
[00:13:55.660 --> 00:13:56.260]   OK.
[00:13:56.260 --> 00:14:00.540]   So we want Mario to be able to write a hit song.
[00:14:00.540 --> 00:14:02.620]   OK.
[00:14:02.620 --> 00:14:09.020]   So what we have created here is a little prompt.
[00:14:09.020 --> 00:14:17.060]   So let's have fun and ask chat GPT using GPT-4--
[00:14:17.060 --> 00:14:18.700]   can't mess around here on stage--
[00:14:18.700 --> 00:14:22.100]   [LAUGHTER]
[00:14:22.100 --> 00:14:24.820]   --to generate a little app for us.
[00:14:27.420 --> 00:14:33.540]   Now this does take a little bit of time,
[00:14:33.540 --> 00:14:39.020]   and it brings to mind a sort of interesting aspect
[00:14:39.020 --> 00:14:44.740]   of living amidst these incredible superhuman
[00:14:44.740 --> 00:14:49.100]   intelligences, which is, why do they take so long to run?
[00:14:55.860 --> 00:14:59.700]   I mean, obviously, it would be ideal
[00:14:59.700 --> 00:15:02.660]   if these hyper-intelligent machines also
[00:15:02.660 --> 00:15:03.900]   were instantaneous.
[00:15:03.900 --> 00:15:04.940]   But here we go.
[00:15:04.940 --> 00:15:09.640]   So part of the point here is that this is a non-trivial app.
[00:15:09.640 --> 00:15:13.860]   And also, this is a non-canned demo.
[00:15:13.860 --> 00:15:17.540]   So this is really GPT-4 running right now.
[00:15:17.540 --> 00:15:19.100]   How many of you think this is going--
[00:15:19.100 --> 00:15:21.580]   this is probably, I don't know, 50 lines of code,
[00:15:21.580 --> 00:15:22.780]   75 lines of code.
[00:15:22.780 --> 00:15:27.580]   How many of you think this is going to run on the first go?
[00:15:27.580 --> 00:15:28.580]   All right.
[00:15:28.580 --> 00:15:30.660]   How many of you think I should run it right now?
[00:15:30.660 --> 00:15:32.300]   [APPLAUSE]
[00:15:32.300 --> 00:15:33.540]   All right.
[00:15:33.540 --> 00:15:37.860]   Mario, let's see what we have.
[00:15:37.860 --> 00:15:39.300]   All right.
[00:15:39.300 --> 00:15:41.900]   We're going to go over here, and we're going to test this.
[00:15:41.900 --> 00:15:43.300]   Hello, Weights and Biases.
[00:15:43.300 --> 00:15:46.500]   Oh, by the way, shout out to Weights and Biases.
[00:15:46.500 --> 00:15:50.420]   When I said, hello, Weights, GitHub autocomplete
[00:15:50.420 --> 00:15:51.940]   and biases.
[00:15:51.940 --> 00:15:52.780]   All right.
[00:15:52.780 --> 00:15:54.540]   So let's delete this.
[00:15:54.540 --> 00:15:56.220]   You can delete this, too.
[00:15:56.220 --> 00:15:57.460]   And let's write our app.
[00:15:57.460 --> 00:15:59.660]   Now, recall, this app was literally
[00:15:59.660 --> 00:16:05.340]   generated seconds ago live on stage by GPT.
[00:16:05.340 --> 00:16:06.380]   Let's see what happens.
[00:16:06.380 --> 00:16:09.540]   Here we go.
[00:16:09.540 --> 00:16:11.420]   Mario's Rockstar Dream.
[00:16:11.420 --> 00:16:12.060]   Hello there.
[00:16:12.060 --> 00:16:15.380]   I'm Mario from Window IO.
[00:16:15.380 --> 00:16:16.540]   I'm sorry, Mario.
[00:16:16.540 --> 00:16:18.700]   I'm sorry, Window IO.
[00:16:18.700 --> 00:16:20.940]   I dream of being a rock star.
[00:16:20.940 --> 00:16:23.380]   Select the number of verses from your hit song.
[00:16:23.380 --> 00:16:24.180]   OK.
[00:16:24.180 --> 00:16:28.020]   So this is obviously a humorous app.
[00:16:28.020 --> 00:16:30.060]   It doesn't have real data in it.
[00:16:30.060 --> 00:16:33.700]   But on the other hand, it is a true, non-trivial Streamlit
[00:16:33.700 --> 00:16:41.660]   app, which actually has a bunch of pieces coming together
[00:16:41.660 --> 00:16:45.340]   and interacting with one another.
[00:16:45.340 --> 00:16:48.540]   And the fact that I have run this demo many times,
[00:16:48.540 --> 00:16:52.860]   and it has never not succeeded, that I feel comfortable doing
[00:16:52.860 --> 00:16:58.900]   it on stage in front of 200 ML engineers with GPT-4
[00:16:58.900 --> 00:17:02.020]   is really a remarkable thing about this age.
[00:17:02.020 --> 00:17:06.300]   And so when we come back and think about this,
[00:17:06.300 --> 00:17:09.060]   we see that there are actually two sides to this coin.
[00:17:09.060 --> 00:17:14.740]   Not only is Streamlit an amazing--
[00:17:14.740 --> 00:17:17.540]   in a world in which Streamlit is an amazing way
[00:17:17.540 --> 00:17:22.940]   to write LLM apps, and LLMs are an amazing way
[00:17:22.940 --> 00:17:28.060]   to write Streamlit apps, a sort of interesting thing
[00:17:28.060 --> 00:17:29.620]   happens here.
[00:17:29.620 --> 00:17:32.280]   And this is something that we've been thinking a great deal
[00:17:32.280 --> 00:17:36.540]   about at Snowflake with our customers.
[00:17:36.540 --> 00:17:40.900]   I can't give you a full preview of what we're going to show,
[00:17:40.900 --> 00:17:44.100]   because we're going to demonstrate a lot at Snowflake
[00:17:44.100 --> 00:17:46.900]   Summit, which is our big user conference,
[00:17:46.900 --> 00:17:48.180]   in about--
[00:17:48.180 --> 00:17:50.780]   well, in exactly 19 days.
[00:17:50.780 --> 00:17:56.020]   And I had to swear up and down to Snowflake Marketing
[00:17:56.020 --> 00:17:57.820]   and whoever else that I was not going
[00:17:57.820 --> 00:17:59.620]   to reveal all of our secrets.
[00:17:59.620 --> 00:18:02.540]   But can you guys keep a little secret here?
[00:18:02.540 --> 00:18:03.500]   OK, good.
[00:18:03.500 --> 00:18:10.340]   With some chain of thought magic,
[00:18:10.340 --> 00:18:16.580]   and with Streamlit's new chatbot API to be released,
[00:18:16.580 --> 00:18:20.500]   you can start to enter a world in which the chatbot can not
[00:18:20.500 --> 00:18:24.180]   only interpret natural language--
[00:18:24.180 --> 00:18:29.540]   so not only a world in which Streamlit can--
[00:18:29.540 --> 00:18:33.420]   or rather, Streamlit can be used to harness the power of LLMs
[00:18:33.420 --> 00:18:35.780]   on behalf of your enterprise partners,
[00:18:35.780 --> 00:18:39.740]   but also in which the LLM itself can generate fragments
[00:18:39.740 --> 00:18:43.220]   of Streamlit apps as part of the interaction.
[00:18:43.220 --> 00:18:46.220]   And the remarkable thing is not only
[00:18:46.220 --> 00:18:49.580]   that this is possible, which six months ago or a year ago,
[00:18:49.580 --> 00:18:55.500]   I would have not believed, but also how remarkably few lines
[00:18:55.500 --> 00:18:56.860]   of code this is.
[00:18:56.860 --> 00:18:58.820]   We don't have to tell the chatbot really
[00:18:58.820 --> 00:19:01.180]   anything about the world.
[00:19:01.180 --> 00:19:02.700]   It knows about Streamlit.
[00:19:02.700 --> 00:19:04.020]   It knows about data.
[00:19:04.020 --> 00:19:05.580]   It knows about SQL.
[00:19:05.580 --> 00:19:10.180]   And so in 19 days in Las Vegas, we're
[00:19:10.180 --> 00:19:13.380]   going to make a series of really interesting and exciting
[00:19:13.380 --> 00:19:14.660]   announcements.
[00:19:14.660 --> 00:19:18.620]   And you'll also get to see exactly how we built
[00:19:18.620 --> 00:19:20.860]   this chatbot from top to bottom.
[00:19:20.860 --> 00:19:24.660]   So really excited to share this with you.
[00:19:24.660 --> 00:19:27.340]   Please, if you haven't downloaded Streamlit yet,
[00:19:27.340 --> 00:19:30.980]   go ahead and download Streamlit and play with it
[00:19:30.980 --> 00:19:33.060]   and connect it to your LLMs.
[00:19:33.060 --> 00:19:38.100]   And if you are interested, come to Las Vegas in 19 days.
[00:19:38.100 --> 00:19:42.180]   Join 10,000 other developers and hear a lot more
[00:19:42.180 --> 00:19:44.940]   about Snowflake, Streamlit, LLMs,
[00:19:44.940 --> 00:19:47.220]   and other exciting things.
[00:19:47.220 --> 00:19:50.580]   [MUSIC PLAYING]
[00:19:50.580 --> 00:19:53.160]   (upbeat music)
[00:19:53.160 --> 00:20:03.160]   [BLANK_AUDIO]

