
[00:00:00.000 --> 00:00:00.960]   Hey, everyone.
[00:04:20.860 --> 00:04:23.020]   But maybe you want to touch a little bit on PyTorch
[00:04:23.020 --> 00:04:25.500]   before we move on to sort of meta AI in general.
[00:04:25.500 --> 00:04:28.500]   Yeah, we kind of touched on PyTorch in a lot of episodes.
[00:04:28.500 --> 00:04:31.660]   So we had George Hotz from TinyGret.
[00:04:31.660 --> 00:04:36.500]   He called PyTorch a CISC and TinyGret a RISC.
[00:04:36.500 --> 00:04:40.460]   I would love to get your thoughts on PyTorch design
[00:04:40.460 --> 00:04:42.420]   direction as far as--
[00:04:42.420 --> 00:04:45.900]   I know you talk a lot about kind of having a happy path
[00:04:45.900 --> 00:04:48.420]   to start with and then making complexity hidden away,
[00:04:48.420 --> 00:04:50.800]   but then available to the end user.
[00:04:50.800 --> 00:04:52.340]   One of the things that George mentioned
[00:04:52.340 --> 00:04:56.120]   is I think you have like 250 primitive operators in PyTorch.
[00:04:56.120 --> 00:04:57.600]   I think TinyGret is four.
[00:04:57.600 --> 00:05:02.020]   So how do you think about some of the learnings
[00:05:02.020 --> 00:05:04.520]   that maybe he's going to run into that you already
[00:05:04.520 --> 00:05:08.720]   had in the past seven, eight years almost of running PyTorch?
[00:05:08.720 --> 00:05:12.480]   Yeah, I think everyone starts--
[00:05:12.480 --> 00:05:13.940]   there's different models here, but I
[00:05:13.940 --> 00:05:16.560]   think it's two different models that people generally
[00:05:16.560 --> 00:05:17.040]   start with.
[00:05:17.040 --> 00:05:19.760]   Either they go like, I have a grand vision,
[00:05:19.760 --> 00:05:22.000]   and I'm going to build a giant system that
[00:05:22.000 --> 00:05:23.060]   achieves this grand vision.
[00:05:23.060 --> 00:05:28.840]   And my B1 is like super complex, feature complete, whatever.
[00:05:28.840 --> 00:05:33.160]   Or other people say they will get incrementally ambitious.
[00:05:33.160 --> 00:05:35.120]   They say, oh, we'll start with something simple,
[00:05:35.120 --> 00:05:37.700]   and then we'll slowly layer out complexity in a way
[00:05:37.700 --> 00:05:42.860]   that optimally applies Huffman coding or whatever.
[00:05:42.860 --> 00:05:47.680]   Where the density of users are and what they're using,
[00:05:47.680 --> 00:05:50.440]   I would want to keep it in the easy, happy path.
[00:05:50.440 --> 00:05:53.520]   And where the more niche advanced use cases,
[00:05:53.520 --> 00:05:57.140]   I still want people to try them, but they
[00:05:57.140 --> 00:06:01.360]   need to take additional frictional steps.
[00:06:01.360 --> 00:06:05.000]   George, I think, just like we started with PyTorch,
[00:06:05.000 --> 00:06:09.660]   George started with the incrementally ambitious thing.
[00:06:09.660 --> 00:06:14.780]   I remember TinyGrad used to be like we
[00:06:14.780 --> 00:06:16.680]   would be limited to 1,000 lines of code,
[00:06:16.680 --> 00:06:19.440]   and I think now it's like 5,000.
[00:06:19.440 --> 00:06:25.320]   So I think there is no real magic to which why PyTorch
[00:06:25.320 --> 00:06:26.640]   has a kind of complexity.
[00:06:26.640 --> 00:06:32.100]   I think it's probably partly necessitated and partly
[00:06:32.100 --> 00:06:35.840]   because we built with the technology available under us
[00:06:35.840 --> 00:06:38.320]   at that time.
[00:06:38.320 --> 00:06:41.220]   PyTorch is like 190,000 lines of code
[00:06:41.220 --> 00:06:43.120]   or something at this point.
[00:06:43.120 --> 00:06:45.960]   I think if we had to rewrite it, we would probably
[00:06:45.960 --> 00:06:51.480]   think about ways to rewrite it in a vastly simplified way,
[00:06:51.480 --> 00:06:52.980]   for sure.
[00:06:52.980 --> 00:06:55.840]   But a lot of that complexity comes from the fact
[00:06:55.840 --> 00:07:02.180]   that in a very simple, explainable way,
[00:07:02.180 --> 00:07:05.160]   you have memory hierarchies.
[00:07:05.160 --> 00:07:07.720]   CPU has like three levels of caches,
[00:07:07.720 --> 00:07:13.680]   and then you have DRAM and SSD, and then you have network.
[00:07:13.680 --> 00:07:17.220]   Similarly, GPU has several levels of memory,
[00:07:17.220 --> 00:07:19.960]   and then you have different levels of network hierarchies,
[00:07:19.960 --> 00:07:26.680]   NVLink plus InfiniBand or Rocky or something like that.
[00:07:26.680 --> 00:07:31.960]   And the way the flops are available on your hardware,
[00:07:31.960 --> 00:07:34.040]   they are available in a certain way,
[00:07:34.040 --> 00:07:36.040]   and your computation is in a certain way,
[00:07:36.040 --> 00:07:37.880]   and you have to retrofit your computation
[00:07:37.880 --> 00:07:42.620]   onto both the memory hierarchy and the flops available.
[00:07:42.620 --> 00:07:45.040]   When you're doing this, it is actually
[00:07:45.040 --> 00:07:52.960]   like a fairly hard mathematical problem to do this setup,
[00:07:52.960 --> 00:07:55.000]   like find the optimal thing.
[00:07:55.000 --> 00:07:58.440]   And finding the optimal thing is like, what is optimal?
[00:07:58.440 --> 00:08:02.440]   What is optimal depends on the input variables themselves.
[00:08:02.440 --> 00:08:05.240]   So like, OK, what is the shape of your input tensors,
[00:08:05.240 --> 00:08:08.560]   and what is the operation you're trying to do,
[00:08:08.560 --> 00:08:12.000]   and various things like that.
[00:08:12.000 --> 00:08:16.280]   Finding that optimal configuration
[00:08:16.280 --> 00:08:20.240]   and writing it down in code is not
[00:08:20.240 --> 00:08:27.400]   the same for every input configuration you have.
[00:08:27.400 --> 00:08:31.560]   For example, just as the shape of the tensors change,
[00:08:31.560 --> 00:08:38.280]   let's say you have three input tensors into a sparse dot
[00:08:38.280 --> 00:08:40.800]   product or something like that.
[00:08:40.800 --> 00:08:43.000]   The shape of each of these input tensors
[00:08:43.000 --> 00:08:48.640]   will vastly change how you do this optimally placing
[00:08:48.640 --> 00:08:51.440]   this operation onto the hardware in a way that will
[00:08:51.440 --> 00:08:53.440]   get you maximal throughput.
[00:08:53.440 --> 00:08:59.240]   So a lot of our complexity comes from writing out
[00:08:59.240 --> 00:09:03.840]   like hundreds of configurations for each single PyTorch
[00:09:03.840 --> 00:09:07.200]   operator and templatizing these things
[00:09:07.200 --> 00:09:15.000]   and symbolically generating the final CUDA code or CPU code.
[00:09:15.000 --> 00:09:17.080]   There's no way to avoid it, because mathematically we
[00:09:17.080 --> 00:09:23.000]   haven't found symbolic ways to do this that also
[00:09:23.000 --> 00:09:26.640]   keep compile time near zero.
[00:09:26.640 --> 00:09:29.600]   You can write a very simple framework,
[00:09:29.600 --> 00:09:33.040]   but then you also should be willing to eat
[00:09:33.040 --> 00:09:35.440]   the long compile times of searching
[00:09:35.440 --> 00:09:38.000]   for that optimal performance at runtime.
[00:09:38.000 --> 00:09:40.520]   So that's the trade-off.
[00:09:40.520 --> 00:09:43.920]   I don't think, unless we have great breakthroughs,
[00:09:43.920 --> 00:09:47.640]   George's vision is achievable.
[00:09:47.640 --> 00:09:51.240]   Or he should be thinking about a narrower problem, such as,
[00:09:51.240 --> 00:09:55.920]   I'm only going to make this work for self-driving car continents.
[00:09:55.920 --> 00:10:00.440]   Or I'm only going to make this work for LLM transformers
[00:10:00.440 --> 00:10:02.400]   of the llama style.
[00:10:02.400 --> 00:10:04.320]   If you start narrowing the problem down,
[00:10:04.320 --> 00:10:07.800]   you can make a vastly simpler framework.
[00:10:07.800 --> 00:10:10.480]   But if you don't, if you need the generality
[00:10:10.480 --> 00:10:13.720]   to power all of the AI research that is happening
[00:10:13.720 --> 00:10:18.120]   and keep zero compile time and all these other factors,
[00:10:18.120 --> 00:10:23.240]   I think it's not easy to avoid the complexity.
[00:10:23.240 --> 00:10:24.080]   That's interesting.
[00:10:24.080 --> 00:10:26.760]   We kind of touched on this with Chris Ladner
[00:10:26.760 --> 00:10:28.160]   when he was on the podcast.
[00:10:28.160 --> 00:10:31.520]   If you think about frameworks, they have the model target.
[00:10:31.520 --> 00:10:32.840]   They have the hardware target.
[00:10:32.840 --> 00:10:34.880]   They have different things to think about.
[00:10:34.880 --> 00:10:36.560]   He mentioned, when he was at Google,
[00:10:36.560 --> 00:10:40.840]   TensorFlow is trying to be optimized to make TPUs go brr
[00:10:40.840 --> 00:10:43.000]   and go as fast.
[00:10:43.000 --> 00:10:46.200]   I think George is trying to make, especially AMD stack,
[00:10:46.200 --> 00:10:47.880]   be better than Rockum.
[00:10:47.880 --> 00:10:50.840]   How come PyTorch has been such as Switzerland
[00:10:50.840 --> 00:10:54.320]   versus just making meta hardware go brr?
[00:10:54.320 --> 00:10:57.760]   First, meta is not in the business of selling hardware.
[00:10:57.760 --> 00:11:03.640]   Meta is not in the business of cloud compute.
[00:11:03.640 --> 00:11:11.640]   We kind of-- the way meta thinks about funding PyTorch is it's
[00:11:11.640 --> 00:11:17.000]   just like we're funding it because it's net good for meta
[00:11:17.000 --> 00:11:20.280]   to fund PyTorch because PyTorch has become a standard
[00:11:20.280 --> 00:11:22.440]   and a big open source project.
[00:11:22.440 --> 00:11:27.240]   And generally, it gives us a timeline edge.
[00:11:27.240 --> 00:11:32.920]   It gives us various leverage and all that within our own work.
[00:11:32.920 --> 00:11:38.080]   So why is PyTorch more of a Switzerland
[00:11:38.080 --> 00:11:40.440]   rather than being opinionated?
[00:11:40.440 --> 00:11:43.800]   I think the way we think about it is not in terms of Switzerland
[00:11:43.800 --> 00:11:44.440]   or not.
[00:11:44.440 --> 00:11:47.940]   Actually, the way we articulated to all hardware vendors
[00:11:47.940 --> 00:11:51.600]   and software vendors and all who come to us being like,
[00:11:51.600 --> 00:11:54.080]   we want to build a backend in core for PyTorch
[00:11:54.080 --> 00:11:57.880]   and ship it by default is we just only look
[00:11:57.880 --> 00:12:00.160]   at our user side of things.
[00:12:00.160 --> 00:12:03.560]   If users are using a particular piece of hardware,
[00:12:03.560 --> 00:12:05.460]   then we want to support it.
[00:12:05.460 --> 00:12:09.260]   We very much don't want to king make the hardware
[00:12:09.260 --> 00:12:11.720]   side of things.
[00:12:11.720 --> 00:12:16.880]   So as the MacBooks have GPUs and as that stuff
[00:12:16.880 --> 00:12:19.960]   started getting increasingly interesting,
[00:12:19.960 --> 00:12:24.080]   we pushed Apple to push some engineers and work
[00:12:24.080 --> 00:12:25.040]   on the MPS support.
[00:12:25.040 --> 00:12:28.320]   And we spent significant time from like meta funded
[00:12:28.320 --> 00:12:29.820]   engineers on that as well.
[00:12:29.820 --> 00:12:34.040]   Because a lot of people are using the Apple GPUs
[00:12:34.040 --> 00:12:35.360]   and there is demand.
[00:12:35.360 --> 00:12:38.360]   So we kind of mostly look at it from the demand side.
[00:12:38.360 --> 00:12:40.960]   We never look at it from like, oh,
[00:12:40.960 --> 00:12:44.480]   which hardware should we start taking opinions on?
[00:12:44.480 --> 00:12:48.720]   Is there a future in which-- because Mojo or Modulus
[00:12:48.720 --> 00:12:50.360]   Mojo is kind of a superset of Python--
[00:12:50.360 --> 00:12:53.400]   is there a future in which PyTorch might use
[00:12:53.400 --> 00:12:55.560]   Mojo features optionally?
[00:12:55.560 --> 00:12:57.920]   I think it depends on how well integrated
[00:12:57.920 --> 00:13:01.760]   it is into the Python ecosystem.
[00:13:01.760 --> 00:13:06.960]   So if Mojo is like a PIP install and it's readily available
[00:13:06.960 --> 00:13:11.680]   and users feel like they can use Mojo so smoothly
[00:13:11.680 --> 00:13:14.840]   within their workflows within--
[00:13:14.840 --> 00:13:19.780]   in a way that just is slow friction,
[00:13:19.780 --> 00:13:21.440]   we would definitely look into that.
[00:13:21.440 --> 00:13:24.720]   In the same way, PyTorch now depends on Triton,
[00:13:24.720 --> 00:13:26.500]   like OpenAI Triton.
[00:13:26.500 --> 00:13:32.280]   And we never had a conversation that was like, huh,
[00:13:32.280 --> 00:13:33.640]   that's like a dependency.
[00:13:33.640 --> 00:13:36.640]   Should we just build a Triton of our own
[00:13:36.640 --> 00:13:38.720]   or should we use Triton?
[00:13:38.720 --> 00:13:41.600]   It almost doesn't-- those conversations don't really
[00:13:41.600 --> 00:13:43.000]   come up for us.
[00:13:43.000 --> 00:13:45.200]   The conversations are more like, well, does Triton
[00:13:45.200 --> 00:13:48.760]   have 10,000 dependencies and is it hard to install?
[00:13:48.760 --> 00:13:51.160]   We almost don't look at these things
[00:13:51.160 --> 00:13:54.160]   from a strategic leverage point of view.
[00:13:54.160 --> 00:13:57.880]   We look at these things from a user experience point of view.
[00:13:57.880 --> 00:13:59.080]   Is it easy to install?
[00:13:59.080 --> 00:14:00.600]   Is it like smoothly integrated?
[00:14:00.600 --> 00:14:02.840]   If so, we should consider--
[00:14:02.840 --> 00:14:04.680]   and does it give enough benefits for us
[00:14:04.680 --> 00:14:05.760]   to start depending on it?
[00:14:05.760 --> 00:14:06.800]   If so, yeah, we should consider it.
[00:14:06.800 --> 00:14:07.960]   That's how we think about it.
[00:14:07.960 --> 00:14:09.720]   You're inclusive by default as long as it
[00:14:09.720 --> 00:14:11.160]   meets the minimum bar.
[00:14:11.160 --> 00:14:12.440]   Yeah.
[00:14:12.440 --> 00:14:14.360]   But maybe I phrased it wrongly.
[00:14:14.360 --> 00:14:16.100]   Maybe it's more like, OK, what problems
[00:14:16.100 --> 00:14:20.320]   would you look to solve that you have right now?
[00:14:20.320 --> 00:14:21.880]   I think it depends on what problems
[00:14:21.880 --> 00:14:25.680]   Mojo will be useful at.
[00:14:25.680 --> 00:14:28.520]   It's more performance, mainly a performance pitch,
[00:14:28.520 --> 00:14:30.960]   some amount of cross-compiling pitch.
[00:14:30.960 --> 00:14:34.320]   Yeah, I think the performance pitch for Mojo was like,
[00:14:34.320 --> 00:14:37.760]   we're going to performant even if you
[00:14:37.760 --> 00:14:41.360]   have a lot of custom stuff.
[00:14:41.360 --> 00:14:43.400]   You can write arbitrary custom things,
[00:14:43.400 --> 00:14:45.760]   and we will be performant.
[00:14:45.760 --> 00:14:49.520]   And that value proposition is not
[00:14:49.520 --> 00:14:53.840]   clear to us from the PyTorch side
[00:14:53.840 --> 00:14:56.180]   to consider it for PyTorch.
[00:14:56.180 --> 00:15:01.160]   So PyTorch exposes-- it's actually not 250 operators,
[00:15:01.160 --> 00:15:02.360]   like 1,000 operators.
[00:15:02.360 --> 00:15:04.400]   PyTorch exposes about 1,000 operators,
[00:15:04.400 --> 00:15:10.080]   and people write their ideas in the 1,000 operators of PyTorch.
[00:15:10.080 --> 00:15:17.240]   Mojo is like, well, maybe it's OK to completely sidestep
[00:15:17.240 --> 00:15:20.160]   those 1,000 operators of PyTorch and just write it
[00:15:20.160 --> 00:15:23.440]   in a more natural form, just write like raw Python,
[00:15:23.440 --> 00:15:25.400]   write for loops or whatever.
[00:15:25.400 --> 00:15:31.160]   So from the consideration of how do we intersect PyTorch
[00:15:31.160 --> 00:15:33.600]   with Mojo, I can see one use case
[00:15:33.600 --> 00:15:39.800]   where you have custom stuff for some parts of your program,
[00:15:39.800 --> 00:15:41.480]   but mostly it's PyTorch.
[00:15:41.480 --> 00:15:42.880]   And so we can probably figure out
[00:15:42.880 --> 00:15:49.200]   how to make it easier for, say, torch.compile to smoothly also
[00:15:49.200 --> 00:15:53.640]   consume Mojo subgraphs, and the interoperability
[00:15:53.640 --> 00:15:56.520]   being actually usable.
[00:15:56.520 --> 00:15:57.560]   That I think is valuable.
[00:15:57.560 --> 00:16:00.480]   But Mojo as a fundamental front end
[00:16:00.480 --> 00:16:06.240]   would be replacing PyTorch, not augmenting PyTorch.
[00:16:06.240 --> 00:16:10.800]   So in that sense, I don't see a synergy in more deeply
[00:16:10.800 --> 00:16:12.760]   integrating Mojo.
[00:16:12.760 --> 00:16:15.040]   So call out to Mojo whenever they
[00:16:15.040 --> 00:16:18.720]   have written something in Mojo and there's some performance
[00:16:18.720 --> 00:16:20.340]   related thing going on.
[00:16:20.340 --> 00:16:24.160]   And then since you mentioned Apple,
[00:16:24.160 --> 00:16:26.720]   what should people think of PyTorch versus MLX?
[00:16:26.720 --> 00:16:32.160]   I mean, MLX is early, and I know the folks well.
[00:16:32.160 --> 00:16:38.260]   Ani used to work at FAIR, and I used to chat with him
[00:16:38.260 --> 00:16:38.840]   all the time.
[00:16:38.840 --> 00:16:42.560]   He used to be based out of New York as well.
[00:16:42.560 --> 00:16:49.800]   The way I think about MLX is that MLX is specialized
[00:16:49.800 --> 00:16:53.760]   for Apple right now.
[00:16:53.760 --> 00:16:58.140]   It has a happy path because it's defined
[00:16:58.140 --> 00:17:00.400]   its product in a narrow way.
[00:17:00.400 --> 00:17:05.040]   At some point, MLX either says we will only
[00:17:05.040 --> 00:17:11.000]   be supporting Apple and we will just focus on enabling--
[00:17:11.000 --> 00:17:13.060]   this is a framework if you use your MacBook,
[00:17:13.060 --> 00:17:16.400]   but once you go server side or whatever, that's not my problem
[00:17:16.400 --> 00:17:19.000]   and I don't care.
[00:17:19.000 --> 00:17:24.240]   Or MLX, it enters the server side set of things as well.
[00:17:24.240 --> 00:17:26.240]   One of these two things will happen, right?
[00:17:26.240 --> 00:17:29.280]   If the first thing will happen, MLX's overall addressable
[00:17:29.280 --> 00:17:32.040]   market will be small, but it'll probably
[00:17:32.040 --> 00:17:34.920]   do well within that addressable market.
[00:17:34.920 --> 00:17:37.640]   If it enters the second phase, they're
[00:17:37.640 --> 00:17:39.440]   going to run into all the same complexities
[00:17:39.440 --> 00:17:42.200]   that we have to deal with.
[00:17:42.200 --> 00:17:44.120]   They will not have any magic wand,
[00:17:44.120 --> 00:17:49.460]   and they will have vastly more complex work to do.
[00:17:49.460 --> 00:17:52.800]   They probably wouldn't be able to move as fast in certain ways.
[00:17:52.800 --> 00:17:55.020]   Like having to deal with distributed compute.
[00:17:55.020 --> 00:17:58.520]   Distributed, NVIDIA-named GPUs, just
[00:17:58.520 --> 00:18:02.400]   like having a generalization of the concept of a back end,
[00:18:02.400 --> 00:18:07.000]   how they treat compilation with plus overheads.
[00:18:07.000 --> 00:18:12.480]   Right now, they deeply assume the whole MPS graph thing.
[00:18:12.480 --> 00:18:16.680]   So they need to think about all these additional things
[00:18:16.680 --> 00:18:19.480]   if they end up expanding onto the server side.
[00:18:19.480 --> 00:18:22.720]   And they'll probably build something like PyTorch
[00:18:22.720 --> 00:18:23.760]   as well, right?
[00:18:23.760 --> 00:18:26.020]   Eventually, that's where it will land.
[00:18:26.020 --> 00:18:31.780]   And I think there they will fail on the lack of differentiation.
[00:18:31.780 --> 00:18:36.200]   It wouldn't be obvious to people why they would want to use it.
[00:18:36.200 --> 00:18:39.000]   I mean, there are some cloud companies offering M1 and M2
[00:18:39.000 --> 00:18:41.120]   chips on servers.
[00:18:41.120 --> 00:18:43.320]   I feel like it might be interesting for Apple
[00:18:43.320 --> 00:18:45.760]   to pursue that market, but it's not their core.
[00:18:45.760 --> 00:18:49.080]   Yeah, I mean, if Apple can figure out their interconnect
[00:18:49.080 --> 00:18:52.480]   story, maybe, then it can become a thing.
[00:18:52.480 --> 00:18:54.360]   Honestly, that's more interesting than the cars.
[00:18:54.360 --> 00:18:56.160]   Yes.
[00:18:56.160 --> 00:18:59.760]   I think the mode that NVIDIA has right now, I feel like,
[00:18:59.760 --> 00:19:01.940]   is that they have the interconnect
[00:19:01.940 --> 00:19:03.820]   that no one else has.
[00:19:03.820 --> 00:19:06.940]   AMD GPUs are pretty good.
[00:19:06.940 --> 00:19:10.660]   I'm sure there is very silicon that is not bad at all.
[00:19:10.660 --> 00:19:16.340]   But the interconnect, like NVLink, is uniquely awesome.
[00:19:16.340 --> 00:19:21.060]   So I'm sure the other hardware providers are working on it.
[00:19:21.060 --> 00:19:23.260]   I feel like when you say it's uniquely awesome, you
[00:19:23.260 --> 00:19:25.840]   have some appreciation of it that the rest of us don't.
[00:19:25.840 --> 00:19:27.220]   I mean, the rest of us just like--
[00:19:27.220 --> 00:19:28.800]   we hear marketing lines, but what
[00:19:28.800 --> 00:19:32.000]   do you mean when you say NVIDIA is very good at networking?
[00:19:32.000 --> 00:19:34.420]   Obviously, they made the acquisition maybe 15 years ago.
[00:19:34.420 --> 00:19:37.120]   It's just like the bandwidth it offers
[00:19:37.120 --> 00:19:38.660]   and the latency it offers.
[00:19:38.660 --> 00:19:41.660]   I mean, TPUs also have a good interconnect,
[00:19:41.660 --> 00:19:43.080]   but you can't buy them.
[00:19:43.080 --> 00:19:46.700]   So you have to go to Google to use it.
[00:19:46.700 --> 00:19:50.100]   Who are some of the other fair PyTorch alumni that
[00:19:50.100 --> 00:19:51.220]   are building cool companies?
[00:19:51.220 --> 00:19:55.180]   I know you have Fireworks AI, Lightning AI, Lepton.
[00:19:55.180 --> 00:19:58.420]   And Youngking, you knew since college
[00:19:58.420 --> 00:20:00.060]   when he was building coffee.
[00:20:00.060 --> 00:20:03.780]   Yeah, so Yanqing and I used to be framework rivals,
[00:20:03.780 --> 00:20:06.460]   like Cafe, Torch.
[00:20:06.460 --> 00:20:09.180]   I mean, we were all a very small, close-knit community
[00:20:09.180 --> 00:20:09.820]   back then.
[00:20:13.060 --> 00:20:22.820]   Cafe, Torch, Tiano, Chainer, Keras, various frameworks.
[00:20:22.820 --> 00:20:25.820]   I mean, it used to be more like 20 frameworks.
[00:20:25.820 --> 00:20:27.540]   I can't remember all the names.
[00:20:27.540 --> 00:20:33.700]   CCB by Liu Liu, who is also based out of SF.
[00:20:33.700 --> 00:20:37.420]   And one of the ways it was interesting
[00:20:37.420 --> 00:20:39.900]   is you went into the framework guts
[00:20:39.900 --> 00:20:43.540]   and saw if someone wrote their own convolution kernel,
[00:20:43.540 --> 00:20:47.140]   or they were just copying someone else's.
[00:20:47.140 --> 00:20:50.940]   And there were four or five convolution kernels
[00:20:50.940 --> 00:20:53.900]   that were unique and interesting.
[00:20:53.900 --> 00:20:57.620]   There was one from this guy out of Russia.
[00:20:57.620 --> 00:21:00.380]   I forgot the name.
[00:21:00.380 --> 00:21:03.900]   But I remembered who was awesome enough
[00:21:03.900 --> 00:21:08.180]   to have written their own kernel.
