
[00:00:00.040 --> 00:00:10.460]   check
[00:23:59.900 --> 00:23:59.900]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:23:59.940 --> 00:24:29.920]  ,
[00:24:29.920 --> 00:24:29.920]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:24:29.920 --> 00:24:29.920]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:24:29.920 --> 00:24:29.920]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:24:29.920 --> 00:24:29.920]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:24:29.920 --> 00:24:29.920]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:24:29.920 --> 00:24:29.920]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:24:29.920 --> 00:24:29.920]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:24:29.940 --> 00:24:59.940]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:24:59.940 --> 00:24:59.940]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:24:59.940 --> 00:24:59.940]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:24:59.940 --> 00:24:59.940]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:24:59.940 --> 00:24:59.940]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:24:59.940 --> 00:24:59.940]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:24:59.940 --> 00:24:59.940]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:24:59.980 --> 00:25:29.960]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:25:29.960 --> 00:25:29.960]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:25:29.960 --> 00:25:29.960]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:25:29.960 --> 00:25:29.960]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:25:29.960 --> 00:25:29.960]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:25:29.960 --> 00:25:29.960]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:25:29.980 --> 00:25:59.980]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:25:59.980 --> 00:25:59.980]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:25:59.980 --> 00:25:59.980]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:25:59.980 --> 00:25:59.980]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:25:59.980 --> 00:25:59.980]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:25:59.980 --> 00:25:59.980]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:25:59.980 --> 00:25:59.980]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:26:00.020 --> 00:26:30.000]  ,
[00:26:30.000 --> 00:26:30.000]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:26:30.000 --> 00:26:30.000]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
