
[00:00:00.000 --> 00:00:01.200]   - Yeah.
[00:01:57.800 --> 00:01:59.880]   with Jupyter Notebooks already.
[00:01:59.880 --> 00:02:02.560]   Jupyter Notebooks are a very nice environment
[00:02:02.560 --> 00:02:06.500]   for exploring code and data.
[00:02:06.500 --> 00:02:10.980]   The only other thing I'll say is,
[00:02:10.980 --> 00:02:16.080]   Silva and I both feel like we're significantly
[00:02:16.080 --> 00:02:20.040]   as in like three to three times more productive
[00:02:20.040 --> 00:02:22.640]   using this notebook based way of programming
[00:02:22.640 --> 00:02:27.640]   than what we're used to being kind of traditional IDEs
[00:02:27.640 --> 00:02:31.040]   and editors and TDD and such like.
[00:02:31.040 --> 00:02:33.320]   But I will say it does require
[00:02:33.320 --> 00:02:34.400]   a somewhat different mindset,
[00:02:34.400 --> 00:02:36.840]   somewhat different way of doing things
[00:02:36.840 --> 00:02:41.640]   kind of involves really embracing
[00:02:41.640 --> 00:02:43.940]   the experimental side of things
[00:02:43.940 --> 00:02:46.960]   rather than trying to do everything totally top down
[00:02:46.960 --> 00:02:50.940]   in the way that we often learn it at school.
[00:02:51.960 --> 00:02:54.640]   All right, so anyway, let's get started.
[00:02:54.640 --> 00:02:57.520]   And so step one, so this thing we're looking at here,
[00:02:57.520 --> 00:03:02.520]   nbdev tutorial, not surprisingly comes from a notebook.
[00:03:02.520 --> 00:03:08.520]   So actually, if you click on GitHub over here,
[00:03:08.520 --> 00:03:14.720]   you can see nbdev's repository
[00:03:14.720 --> 00:03:18.120]   and in nbs is the notebooks for nbdev.
[00:03:18.120 --> 00:03:19.340]   And here is tutorial.
[00:03:19.340 --> 00:03:24.340]   So everything in nbdev itself comes from notebooks.
[00:03:24.340 --> 00:03:33.140]   So if you ever wanna know how something is written,
[00:03:33.140 --> 00:03:37.140]   an easy way would be just to actually have a look
[00:03:37.140 --> 00:03:40.040]   at those various notebooks.
[00:03:40.040 --> 00:03:44.300]   So for example, if we look in within Jupyter,
[00:03:44.300 --> 00:03:48.100]   here is the nbdev tutorial we're looking at right now.
[00:03:48.100 --> 00:03:53.100]   And you'll see that some things are added automatically
[00:03:53.100 --> 00:03:55.580]   for us, like a table of contents,
[00:03:55.580 --> 00:03:57.540]   we didn't have to write it ourselves.
[00:03:57.540 --> 00:04:03.460]   So step one is to create a repo.
[00:04:03.460 --> 00:04:10.020]   So I'm gonna try and show the easy low fiction way
[00:04:10.020 --> 00:04:13.660]   to do things once you learn more about how nbdev works,
[00:04:13.660 --> 00:04:17.420]   you'll find that there are different choices
[00:04:17.420 --> 00:04:18.980]   you could make always along the way.
[00:04:18.980 --> 00:04:20.500]   I'm gonna assume we're using GitHub
[00:04:20.500 --> 00:04:22.460]   'cause that's the lowest fiction way.
[00:04:22.460 --> 00:04:26.500]   You can certainly use other repositories as well.
[00:04:26.500 --> 00:04:29.220]   So step one is to click on this link here,
[00:04:29.220 --> 00:04:32.880]   which takes advantage of a handy thing in GitHub
[00:04:32.880 --> 00:04:35.380]   called repository templates.
[00:04:35.380 --> 00:04:36.820]   And it will just make a copy
[00:04:36.820 --> 00:04:40.220]   of a kind of bare bones skeleton repository.
[00:04:40.220 --> 00:04:43.220]   So let's call this hello nbdev.
[00:04:45.980 --> 00:04:47.980]   - And just to add one position
[00:04:47.980 --> 00:04:50.700]   since we had a lot of people asking the link only works
[00:04:50.700 --> 00:04:53.740]   if you are logged in in GitHub.
[00:04:53.740 --> 00:04:57.020]   - Thank you, correct, correct.
[00:04:57.020 --> 00:05:02.020]   A tutorial example for nbdev.
[00:05:02.020 --> 00:05:04.900]   Okay, let's make that a public repository.
[00:05:04.900 --> 00:05:08.820]   Okay, here it is.
[00:05:08.820 --> 00:05:12.220]   And I realized I didn't open that in a new window.
[00:05:12.220 --> 00:05:14.060]   So let's go back here.
[00:05:14.060 --> 00:05:18.580]   Okay, so that is going ahead and creating a new repo.
[00:05:18.580 --> 00:05:19.420]   Here it is.
[00:05:19.420 --> 00:05:22.000]   So here's our nbdev repo that just got created.
[00:05:22.000 --> 00:05:27.000]   Not much to see at this stage.
[00:05:27.000 --> 00:05:29.700]   So step two, while we're there,
[00:05:29.700 --> 00:05:32.100]   is we're gonna set up our documentation site.
[00:05:32.100 --> 00:05:37.900]   The documentation for nbdev uses something called Jekyll,
[00:05:37.900 --> 00:05:40.980]   which is a simple thing that builds your site
[00:05:41.980 --> 00:05:45.260]   to allow it to be hosted on any kind of static host.
[00:05:45.260 --> 00:05:47.380]   GitHub Pages supports Jekyll.
[00:05:47.380 --> 00:05:49.960]   So you can host it there for free.
[00:05:49.960 --> 00:05:52.060]   You don't have to use that.
[00:05:52.060 --> 00:05:56.260]   You can use pretty much any host you can think of.
[00:05:56.260 --> 00:05:58.360]   But GitHub Pages is gonna be the easiest way.
[00:05:58.360 --> 00:05:59.580]   So let's go ahead and use that.
[00:05:59.580 --> 00:06:00.900]   So we have to enable it.
[00:06:00.900 --> 00:06:03.480]   So to enable GitHub Pages, we click Settings.
[00:06:03.480 --> 00:06:08.540]   And we scroll down to GitHub Pages
[00:06:08.540 --> 00:06:10.820]   and we click on Docs folder.
[00:06:10.820 --> 00:06:15.420]   And if we now scroll down again,
[00:06:15.420 --> 00:06:17.860]   you'll see your site is now ready to be published
[00:06:17.860 --> 00:06:19.180]   at this address.
[00:06:19.180 --> 00:06:21.300]   So I'm gonna go ahead and copy that address.
[00:06:21.300 --> 00:06:27.260]   And then as it says here, copy that URL,
[00:06:27.260 --> 00:06:28.820]   go back to your main repo page,
[00:06:28.820 --> 00:06:30.560]   click Edit next to the description
[00:06:30.560 --> 00:06:33.500]   and place the URL there.
[00:06:33.500 --> 00:06:38.500]   So we'll go back to here, click Edit, paste it here.
[00:06:39.060 --> 00:06:41.740]   Paste it here, save.
[00:06:41.740 --> 00:06:45.900]   Okay, so we've done the first bit.
[00:06:45.900 --> 00:06:52.460]   Step two, edit settings.py.
[00:06:52.460 --> 00:06:54.340]   Sorry, that should be settings.ini.
[00:06:54.340 --> 00:06:55.960]   We will fix that.
[00:06:55.960 --> 00:06:58.700]   In fact, let's go ahead and fix it now
[00:06:58.700 --> 00:07:02.620]   so that by the time you watch this, it will be fixed.
[00:07:04.460 --> 00:07:09.460]   Edit settings.ini, there we go.
[00:07:09.460 --> 00:07:12.660]   Okay, edit settings.ini.
[00:07:12.660 --> 00:07:17.100]   So this is basically the file
[00:07:17.100 --> 00:07:20.620]   that everything in your project will be,
[00:07:20.620 --> 00:07:24.140]   all the configuration will be created from that one place.
[00:07:24.140 --> 00:07:25.220]   That makes life really easy
[00:07:25.220 --> 00:07:27.740]   'cause you don't have to edit anything else
[00:07:27.740 --> 00:07:30.760]   for your documentation, for your packaging, et cetera.
[00:07:32.140 --> 00:07:35.140]   So we're gonna edit all the commented out bits.
[00:07:35.140 --> 00:07:40.140]   So let's go ahead and find settings.ini and edit it.
[00:07:40.140 --> 00:07:45.640]   And all these sections here which are commented
[00:07:45.640 --> 00:07:47.360]   as it says they're required.
[00:07:47.360 --> 00:07:48.880]   So let's uncomment them.
[00:07:48.880 --> 00:07:56.840]   And we'll call this, hello, nvdev, user jphoo.
[00:07:56.840 --> 00:08:01.840]   User jphoo, description, a tutorial project for nvdev.
[00:08:01.840 --> 00:08:13.080]   Keywords, fast.ai, nvdev, tutorials.
[00:08:13.080 --> 00:08:14.360]   So these are just things that are gonna end up
[00:08:14.360 --> 00:08:16.520]   in the GitHub metadata
[00:08:16.520 --> 00:08:19.220]   and maybe in your PIP installers metadata.
[00:08:19.220 --> 00:08:24.520]   - So that's one question I'd sort of ask.
[00:08:24.520 --> 00:08:26.640]   What does all this give you?
[00:08:26.640 --> 00:08:27.740]   When I first interacted with it,
[00:08:27.740 --> 00:08:29.840]   I realized that there was this config file
[00:08:29.840 --> 00:08:31.480]   but I didn't realize how many things it drove.
[00:08:31.480 --> 00:08:34.200]   So it drives automatic document generation
[00:08:34.200 --> 00:08:37.080]   and then also other downstream configurations
[00:08:37.080 --> 00:08:40.680]   that let you easily share your library onto PyPy.
[00:08:40.680 --> 00:08:43.200]   Are those the main two sort of fallouts from it
[00:08:43.200 --> 00:08:44.360]   or is there anything else?
[00:08:44.360 --> 00:08:48.520]   - Also the actual Python project that is created
[00:08:48.520 --> 00:08:52.640]   from your notebooks.
[00:08:55.760 --> 00:08:57.800]   Yeah, those are basically the artifacts we end up creating
[00:08:57.800 --> 00:09:02.300]   an installer, a Python project, and documentation.
[00:09:02.300 --> 00:09:04.440]   - Okay, so those will all be things
[00:09:04.440 --> 00:09:06.320]   that's been in the nuisance to figure out individually
[00:09:06.320 --> 00:09:07.160]   but they'll come out--
[00:09:07.160 --> 00:09:09.120]   - Well, and also when they're in different files,
[00:09:09.120 --> 00:09:11.680]   it's kind of like probably six or seven different files
[00:09:11.680 --> 00:09:14.360]   that end up grabbing stuff for this,
[00:09:14.360 --> 00:09:16.960]   from the make file through to the navigation bar
[00:09:16.960 --> 00:09:21.960]   or through to the Jekyll config file, the setup.py file.
[00:09:22.320 --> 00:09:26.080]   So yeah, that's make life significantly easier.
[00:09:26.080 --> 00:09:27.880]   It also means we can create tools
[00:09:27.880 --> 00:09:31.760]   that know to read and write stuff in this one place.
[00:09:31.760 --> 00:09:35.000]   So it makes it easier to kind of modify the tooling.
[00:09:35.000 --> 00:09:36.700]   Other things you could put here,
[00:09:36.700 --> 00:09:39.300]   this is where the version number is.
[00:09:39.300 --> 00:09:42.280]   As you'll see, that's gonna be managed for us automatically.
[00:09:42.280 --> 00:09:44.920]   If you set your minimum Python here,
[00:09:44.920 --> 00:09:47.880]   then that'll change how your setup.py
[00:09:47.880 --> 00:09:49.240]   pip installation is done.
[00:09:49.240 --> 00:09:51.180]   This is also for your setup.py.
[00:09:52.180 --> 00:09:57.180]   The sidebar is the thing over here in your documentation,
[00:09:57.180 --> 00:10:00.340]   which is automatically created for you.
[00:10:00.340 --> 00:10:02.580]   If you wanna create a multi-layered sidebar,
[00:10:02.580 --> 00:10:05.240]   you can make it custom.
[00:10:05.240 --> 00:10:06.780]   You can choose a license.
[00:10:06.780 --> 00:10:12.700]   PyPy expects you to say one of these seven statuses.
[00:10:12.700 --> 00:10:14.740]   You can change where things live.
[00:10:14.740 --> 00:10:18.960]   This stuff down here, these %s things
[00:10:18.960 --> 00:10:22.380]   is because we're using a Python standard library module
[00:10:22.380 --> 00:10:24.340]   called config parser to read this.
[00:10:24.340 --> 00:10:27.920]   And this is how Python standard library config parser
[00:10:27.920 --> 00:10:29.180]   uses kind of variables.
[00:10:29.180 --> 00:10:31.220]   So in this case, user will be replaced
[00:10:31.220 --> 00:10:34.100]   with the value of user automatically by Python
[00:10:34.100 --> 00:10:34.940]   when it's read.
[00:10:34.940 --> 00:10:38.140]   So that is that file.
[00:10:38.140 --> 00:10:40.720]   So let's go ahead and commit that.
[00:10:40.720 --> 00:10:45.260]   Okay.
[00:10:46.940 --> 00:10:51.940]   So, oh, and we did skip a step which is to clone the repo.
[00:10:51.940 --> 00:10:58.940]   So let's go ahead and clone our repo as well.
[00:10:58.940 --> 00:11:10.660]   Okay, so JPHO/LONBDev.
[00:11:11.660 --> 00:11:12.500]   LONBDev.
[00:11:12.500 --> 00:11:20.560]   Cool, all right.
[00:11:20.560 --> 00:11:30.060]   Okay, so the next thing is Git and Jupyter Notebook
[00:11:30.060 --> 00:11:34.380]   don't always play nice together.
[00:11:34.380 --> 00:11:37.320]   A Jupyter Notebook, if you've never looked inside one,
[00:11:39.920 --> 00:11:40.940]   looks like this.
[00:11:40.940 --> 00:11:45.740]   As you can see, it's basically, it's, well, it is JSON.
[00:11:45.740 --> 00:11:49.340]   And when you move cells around or edit cells,
[00:11:49.340 --> 00:11:52.760]   or even run a cell to create outputs,
[00:11:52.760 --> 00:11:55.760]   it can create a whole lot of a big def basically,
[00:11:55.760 --> 00:12:01.580]   which can cause conflicts really easily.
[00:12:01.580 --> 00:12:04.860]   So one easy way to avoid those conflicts in the first place
[00:12:04.860 --> 00:12:08.140]   is to not save stuff to GitHub
[00:12:08.140 --> 00:12:11.380]   like cell metadata or notebook metadata.
[00:12:11.380 --> 00:12:13.640]   And so NBDev comes with things
[00:12:13.640 --> 00:12:16.080]   that will clean out that stuff for you.
[00:12:16.080 --> 00:12:20.580]   And so there's a whole bunch of command line tools in NBDev.
[00:12:20.580 --> 00:12:23.440]   If you type NBDev and hit tab, you'll see them all.
[00:12:23.440 --> 00:12:27.340]   And one of them is called install Git Hocks.
[00:12:27.340 --> 00:12:31.360]   So if we run that, then that will install things into Git,
[00:12:31.360 --> 00:12:35.480]   which will now automatically clean up that stuff,
[00:12:35.480 --> 00:12:37.420]   which could cause conflicts.
[00:12:37.420 --> 00:12:39.940]   If you do get a conflict anyway later on,
[00:12:39.940 --> 00:12:42.500]   if you're collaborating with somebody else,
[00:12:42.500 --> 00:12:47.000]   you can run NBDev fix merge with a file name,
[00:12:47.000 --> 00:12:50.620]   and it will try to merge them with an understanding
[00:12:50.620 --> 00:12:52.340]   of how Jupyter Notebooks work.
[00:12:52.340 --> 00:12:57.340]   And if it can't, it'll create a new readable notebook
[00:12:57.340 --> 00:13:02.020]   where the different cells are,
[00:13:02.020 --> 00:13:04.260]   the conflict cells are actually represented directly
[00:13:04.260 --> 00:13:05.100]   in the notebook.
[00:13:06.640 --> 00:13:11.640]   Okay, so we're now ready to edit our notebook.
[00:13:11.640 --> 00:13:17.860]   So you can run Jupyter Notebook if it's not already running.
[00:13:17.860 --> 00:13:22.380]   Personally, I tend to just have Jupyter Notebook
[00:13:22.380 --> 00:13:25.580]   always running in my notebooks directory.
[00:13:25.580 --> 00:13:27.620]   And so I can jump to any repo.
[00:13:27.620 --> 00:13:30.660]   So in this case, I can go to hello NBDev.
[00:13:30.660 --> 00:13:33.540]   And you'll see there's something here called 00 core.
[00:13:33.540 --> 00:13:38.540]   So core, you can call it anything you like.
[00:13:38.540 --> 00:13:42.920]   The core bit is gonna be what the HTML page will be called.
[00:13:42.920 --> 00:13:44.580]   The number is totally optional,
[00:13:44.580 --> 00:13:47.380]   but so that and I have found it pretty handy
[00:13:47.380 --> 00:13:51.560]   to have incrementing numbers as you add more notebooks,
[00:13:51.560 --> 00:13:55.500]   'cause it kind of gives the reader a sense of it all.
[00:13:55.500 --> 00:13:56.740]   How was this built?
[00:13:56.740 --> 00:13:58.660]   What order should I read to understand
[00:13:58.660 --> 00:14:00.260]   if I wanna understand all the details
[00:14:00.260 --> 00:14:01.900]   of how something is put together?
[00:14:01.900 --> 00:14:06.900]   - Are any special Jupyter extensions required
[00:14:06.900 --> 00:14:09.060]   to be installed on the Jupyter server
[00:14:09.060 --> 00:14:10.140]   that's used for notebooks?
[00:14:10.140 --> 00:14:11.460]   - No, nothing's required.
[00:14:11.460 --> 00:14:12.300]   - Okay.
[00:14:12.300 --> 00:14:17.820]   - Okay, so when we open it up,
[00:14:17.820 --> 00:14:19.940]   as it says, you see something like this.
[00:14:19.940 --> 00:14:24.060]   So let's look at what this all means.
[00:14:24.060 --> 00:14:30.340]   You'll see there's some comments which are special.
[00:14:31.540 --> 00:14:36.480]   So the first special comment is default export comment.
[00:14:36.480 --> 00:14:40.060]   And this is the name of the Python module
[00:14:40.060 --> 00:14:42.280]   that is going to be created.
[00:14:42.280 --> 00:14:46.920]   So in our case,
[00:14:46.920 --> 00:14:55.300]   our Python module is gonna be called Hello NBDev.
[00:14:57.260 --> 00:15:02.260]   So this will create a sub module called Hello NBDev.core.
[00:15:02.260 --> 00:15:06.080]   So that's what the special comment means.
[00:15:06.080 --> 00:15:09.100]   So when we run the various NBDev commands,
[00:15:09.100 --> 00:15:10.860]   they look for various special comments,
[00:15:10.860 --> 00:15:12.260]   and this is an important one.
[00:15:12.260 --> 00:15:14.820]   This is another special comment,
[00:15:14.820 --> 00:15:17.140]   and it means when you create the documentation,
[00:15:17.140 --> 00:15:18.700]   don't include this in it.
[00:15:18.700 --> 00:15:20.820]   Otherwise, pretty much everything in the notebook
[00:15:20.820 --> 00:15:23.060]   is included in the documentation,
[00:15:23.060 --> 00:15:26.340]   unless you specifically say hide.
[00:15:27.180 --> 00:15:29.740]   - Just one thought since we're here
[00:15:29.740 --> 00:15:31.140]   for the default export name.
[00:15:31.140 --> 00:15:34.420]   Pretty sure that if you want all the links
[00:15:34.420 --> 00:15:36.020]   to work properly in the documentation,
[00:15:36.020 --> 00:15:37.860]   the default export name should be kind of
[00:15:37.860 --> 00:15:39.220]   the same as the notebook.
[00:15:39.220 --> 00:15:40.700]   So if you want to export in core,
[00:15:40.700 --> 00:15:44.660]   your notebook should be named something underscore core,
[00:15:44.660 --> 00:15:46.340]   like 00 underscore core.
[00:15:46.340 --> 00:15:48.420]   And if it's like core.utils,
[00:15:48.420 --> 00:15:53.220]   it should be named 001.core.utils, and so on and so forth.
[00:15:53.220 --> 00:15:55.100]   - Yeah, well, I've never tried not doing it that way.
[00:15:55.100 --> 00:15:56.740]   - So that's probably gonna make a lot of--
[00:15:56.740 --> 00:15:58.780]   - Miniver, but some users have.
[00:15:58.780 --> 00:16:00.460]   Yeah, some users haven't reported
[00:16:00.460 --> 00:16:01.660]   that the links didn't work, so.
[00:16:01.660 --> 00:16:02.900]   - Fair enough, yes.
[00:16:02.900 --> 00:16:08.820]   Okay, so, all right, so that's default X.
[00:16:08.820 --> 00:16:13.500]   The next one to know about is hash export.
[00:16:13.500 --> 00:16:15.420]   So we're gonna add a function to this notebook.
[00:16:15.420 --> 00:16:17.820]   So let's just go ahead and copy and paste this one.
[00:16:17.820 --> 00:16:23.600]   And it's just a perfectly normal Python function
[00:16:23.600 --> 00:16:26.760]   with one exception, which is it says hash export at the top.
[00:16:26.760 --> 00:16:32.220]   So hash export means please include this cell
[00:16:32.220 --> 00:16:33.860]   in the exported, in this case,
[00:16:33.860 --> 00:16:37.000]   hello nbdev.core package.
[00:16:37.000 --> 00:16:41.180]   So now that we've done that,
[00:16:41.180 --> 00:16:45.020]   oh, and the other thing it does is it's gonna include,
[00:16:45.020 --> 00:16:46.980]   include it in the documentation.
[00:16:46.980 --> 00:16:49.880]   So if you have a look at the tutorial, for instance,
[00:16:51.340 --> 00:16:55.600]   you can see that I've got this function here.
[00:16:55.600 --> 00:16:57.660]   And you can see in the tutorial,
[00:16:57.660 --> 00:17:02.420]   the function has automatically created this documentation
[00:17:02.420 --> 00:17:06.120]   with the docstring, a link to the source,
[00:17:06.120 --> 00:17:08.100]   and parameters and so forth.
[00:17:08.100 --> 00:17:12.420]   So that's what export does, it does those two things,
[00:17:12.420 --> 00:17:14.180]   puts it in the Python module,
[00:17:14.180 --> 00:17:17.980]   and if it's a function or a class or a variable assignment,
[00:17:17.980 --> 00:17:19.720]   it'll put it in the documentation.
[00:17:20.720 --> 00:17:23.440]   Sorry, if it's a function or a class,
[00:17:23.440 --> 00:17:26.140]   it'll put it in the documentation in that special form.
[00:17:26.140 --> 00:17:33.960]   Okay, so the whole point of one of the key points of this
[00:17:33.960 --> 00:17:38.960]   is to experiment and to show people that experimentation.
[00:17:38.960 --> 00:17:42.760]   So let's go ahead and actually run that.
[00:17:46.520 --> 00:17:50.240]   And so, and we can add some more information.
[00:17:50.240 --> 00:17:52.040]   There's just in markdown or whatever.
[00:17:52.040 --> 00:18:07.520]   Okay, hello, so far.
[00:18:07.520 --> 00:18:09.240]   - Hi.
[00:18:09.240 --> 00:18:14.040]   - And yeah, as it mentions here, you can,
[00:18:14.040 --> 00:18:16.920]   and it's a good idea to put in plots and images
[00:18:16.920 --> 00:18:19.520]   and stuff like that, so here's an example of SVG.
[00:18:19.520 --> 00:18:23.840]   And what we do a lot, and we find it works pretty well,
[00:18:23.840 --> 00:18:27.120]   is to also include tests.
[00:18:27.120 --> 00:18:34.440]   So, all right, so we've already got an error in our test,
[00:18:34.440 --> 00:18:38.560]   that's good, oh, and that's why,
[00:18:38.560 --> 00:18:40.920]   because it's printing rather than returning.
[00:18:40.920 --> 00:18:45.920]   So you can see what happens when you get a test failure,
[00:18:45.920 --> 00:18:50.920]   it just appears here, and that will also appear later on
[00:18:50.920 --> 00:18:54.360]   when you see the test runner,
[00:18:54.360 --> 00:18:59.360]   it can also appear in the terminal or continuous integration,
[00:18:59.360 --> 00:19:01.200]   which we'll also learn about.
[00:19:01.200 --> 00:19:06.200]   And this will by default appear in the documentation.
[00:19:06.200 --> 00:19:10.880]   So I probably don't really want this import line to appear,
[00:19:10.880 --> 00:19:12.840]   so let's move that into the hidden cell.
[00:19:12.840 --> 00:19:15.680]   But it's not a bad idea to actually include
[00:19:15.680 --> 00:19:18.000]   at least a few basic tests in the documentation,
[00:19:18.000 --> 00:19:20.520]   'cause it can show people exactly
[00:19:20.520 --> 00:19:22.360]   what behavior they should expect.
[00:19:22.360 --> 00:19:25.680]   So that's a bit of a, I don't know,
[00:19:25.680 --> 00:19:28.280]   taste issue as to how many tests you hide
[00:19:28.280 --> 00:19:31.080]   and how many you show.
[00:19:31.080 --> 00:19:34.240]   So far, and I tend to err on the side
[00:19:34.240 --> 00:19:35.980]   of showing rather than hiding.
[00:19:35.980 --> 00:19:40.640]   All right, so now we can create our Python module.
[00:19:40.640 --> 00:19:44.480]   So nbdev build-lib, we'll build it.
[00:19:44.480 --> 00:19:50.720]   And you can run most nbdev commands from anywhere
[00:19:50.720 --> 00:19:52.480]   inside your repo, you don't have to be
[00:19:52.480 --> 00:19:53.680]   at the root of the repo.
[00:19:53.680 --> 00:19:57.160]   And as you can see, it's converted
[00:19:57.160 --> 00:19:59.280]   the two Python files we have.
[00:19:59.280 --> 00:20:03.040]   And so we now have a hello nbdev folder,
[00:20:03.040 --> 00:20:08.040]   and it contains these files,
[00:20:09.040 --> 00:20:13.600]   and there's the one we just created.
[00:20:13.600 --> 00:20:15.560]   And as you see, it's got a little bit more
[00:20:15.560 --> 00:20:17.440]   than what we asked for.
[00:20:17.440 --> 00:20:19.880]   In particular, it's defined under all.
[00:20:19.880 --> 00:20:21.760]   It's considered a best practice in Python
[00:20:21.760 --> 00:20:24.400]   to just export using under all the things
[00:20:24.400 --> 00:20:26.000]   that you actually want to export.
[00:20:26.000 --> 00:20:28.440]   And so it actually gets a little bit easier
[00:20:28.440 --> 00:20:31.440]   with nbdev to follow that best practice.
[00:20:31.440 --> 00:20:35.600]   - So just to spell it out here,
[00:20:35.600 --> 00:20:40.240]   the package or the project becomes a Python package,
[00:20:40.240 --> 00:20:43.720]   and then every notebook becomes a Python module.
[00:20:43.720 --> 00:20:44.720]   Is that correct?
[00:20:44.720 --> 00:20:46.880]   - Exactly, and you can create sub-modules as well,
[00:20:46.880 --> 00:20:51.880]   just by putting, instead of export this one,
[00:20:51.880 --> 00:20:58.680]   instead of default exp-core, it'd be default exp-blah.
[00:21:04.200 --> 00:21:08.960]   It would be default exp-blah.blah to create a sub-module.
[00:21:08.960 --> 00:21:18.400]   - An export means that it goes into the module and the docs.
[00:21:18.400 --> 00:21:21.160]   Hide means it goes into neither,
[00:21:21.160 --> 00:21:23.240]   and if there's no annotation,
[00:21:23.240 --> 00:21:25.880]   then that means it goes into the docs, but not the module.
[00:21:25.880 --> 00:21:26.720]   - Exactly.
[00:21:26.720 --> 00:21:32.440]   - You also have exports with an S for export and show,
[00:21:32.440 --> 00:21:34.040]   and this will go into the module,
[00:21:34.040 --> 00:21:37.160]   and the source code will sustain the documentation
[00:21:37.160 --> 00:21:40.280]   if you want the source code to be in your documentation
[00:21:40.280 --> 00:21:41.120]   website.
[00:21:41.120 --> 00:21:43.200]   - Yeah, which is actually what I probably should have done
[00:21:43.200 --> 00:21:45.800]   back here for the tutorial.
[00:21:45.800 --> 00:21:49.040]   I wrote the source code in the markdown
[00:21:49.040 --> 00:21:52.440]   and also put it here so that you would see the source code
[00:21:52.440 --> 00:21:54.880]   as well, but I probably should have just used exports,
[00:21:54.880 --> 00:21:57.320]   would be another way to kind of do the same thing.
[00:21:57.320 --> 00:22:01.080]   But I don't use exports very often.
[00:22:01.080 --> 00:22:03.800]   Normally you don't really want to show the source code
[00:22:03.800 --> 00:22:05.640]   of a function in the documentation,
[00:22:05.640 --> 00:22:07.600]   but sometimes it happens.
[00:22:07.600 --> 00:22:10.760]   - Is there any support for the,
[00:22:10.760 --> 00:22:15.160]   how is, how is non-markdown cell content treated at all?
[00:22:15.160 --> 00:22:16.160]   Or maybe it's not.
[00:22:16.160 --> 00:22:17.960]   But does it make it into the docs successfully?
[00:22:17.960 --> 00:22:19.720]   - Non-markdown meaning,
[00:22:19.720 --> 00:22:21.160]   I mean, there's only really two types
[00:22:21.160 --> 00:22:24.240]   who would use markdown or code.
[00:22:24.240 --> 00:22:27.400]   Code appears directly, outputs appear,
[00:22:27.400 --> 00:22:30.360]   and markdown appears as HTML.
