
[00:00:00.040 --> 00:00:09.560]  mesan
[00:07:24.740 --> 00:07:24.740]   I try to get so many of my friends who just don't seem to think about it and say, listen, just buy some houses.
[00:07:24.740 --> 00:07:24.740]   I try to get so many of my friends who just don't seem to think about it and say, listen, just buy some houses.
[00:07:24.740 --> 00:07:54.760]  , I try to get so many of my friends who just don't seem to think about it and say, listen, just buy some houses.
[00:07:54.760 --> 00:07:54.760]   I try to get so many of my friends who just don't seem to think about it and say, listen, just buy some houses.
[00:07:54.760 --> 00:07:54.760]   I try to get so many of my friends who just don't seem to think about it and say, listen, just buy some houses.
[00:07:54.760 --> 00:07:54.760]   I try to get so many of my friends who just don't seem to think about it and say, listen, just buy some houses.
[00:07:54.760 --> 00:07:54.760]   I try to get so many of my friends who just don't seem to think about it and say, listen, just buy some houses.
[00:07:54.760 --> 00:07:54.760]   I try to get so many of my friends who just don't seem to think about it and say, listen, just buy some houses.
[00:07:54.780 --> 00:08:24.780]   I try to get so many of my friends who just don't seem to think about it and say, listen, just buy some houses.
[00:08:24.780 --> 00:08:24.780]   I try to get so many of my friends who just don't seem to think about it and say, listen, just buy some houses.
[00:08:24.780 --> 00:08:24.780]   I try to get so many of my friends who just don't seem to think about it and say, listen, just buy some houses.
[00:08:24.780 --> 00:08:24.780]   I try to get so many of my friends who just don't seem to think about it and say, listen, just buy some houses.
[00:08:24.780 --> 00:08:24.780]   I try to get so many of my friends who just don't seem to think about it and say, listen, just buy some houses.
[00:08:24.780 --> 00:08:24.780]   You can get rich buying a local subway franchise or whatever franchise that you're interested in. You don't need a great business idea. You just need to come in and say, this is my avenue for investment. This is the business I've chosen. I'm going to follow the manual.
[00:08:24.780 --> 00:08:54.800]   in the future.
[00:08:54.800 --> 00:08:54.800]   So pick a strategy and do it. Consistently, reliably, diligently, over time. And if you'll do that and stick with your investments and don't be stupid, you'll become wealthy.
[00:08:54.800 --> 00:08:54.800]   Thank you for listening. You've honored me with your time and attention and I'm grateful for that. And I hope that I've effectively served you today with some ideas and strategies that you can use to help you with your business.
[00:08:54.800 --> 00:08:54.800]   So pick a strategy and do it.
[00:08:54.800 --> 00:08:54.800]   So pick a strategy and do it. Consistently, reliably, reliably, diligently, over time. And if you'll do that and stick with your investments and don't be stupid, you'll become wealthy.
[00:08:54.800 --> 00:08:54.800]   I'm grateful for listening. You've honored me with your time and attention and I'm grateful for that. And I've effectively served you today with some ideas and I've effectively served you today with some ideas and strategies that you can do that.
[00:08:54.820 --> 00:09:24.820]   I'm grateful for listening. You've honored me with your time and attention and I'm grateful for that.
[00:09:24.820 --> 00:09:24.820]   I'm grateful for listening. You've honored me with your time and attention and I'm grateful for that.
[00:09:24.820 --> 00:09:24.820]   I'm grateful for listening. You've honored me with your time and attention and I'm grateful for that.
[00:09:24.820 --> 00:09:24.820]   I'm grateful for listening. You've honored me with your time and attention and I'm grateful for that.
[00:09:24.820 --> 00:09:24.820]   I'm grateful for listening. You've honored me with your time and attention and I'm grateful for that.
[00:09:24.820 --> 00:09:24.820]   I'm grateful for listening. You've honored me with your time and attention and I'm grateful for that.
[00:09:24.820 --> 00:09:24.820]   I'm grateful for listening. You've honored me with your time and attention and I'm grateful for that.
[00:09:24.820 --> 00:09:24.820]   I'm grateful for listening. You've honored me with your time and attention and I'm grateful for that.
[00:09:24.820 --> 00:09:24.820]   I'm grateful for listening. You've honored me with your time and attention and I'm grateful for that.
[00:09:24.820 --> 00:09:54.840]  ,
[00:09:54.840 --> 00:09:54.840]   I'm grateful for listening. You've honored me with your time and attention and I'm grateful for that.
[00:09:54.840 --> 00:09:54.840]   I'm grateful for listening. You've honored me with your time and attention and I'm grateful for that.
[00:09:54.840 --> 00:09:54.840]   I'm grateful for listening. You've honored me with your time and attention and I'm grateful for that.
[00:09:54.840 --> 00:09:54.840]   I'm grateful for listening. You've honored me with your time and attention and I'm grateful for that.
[00:09:54.840 --> 00:09:54.840]   I'm grateful for listening. You've honored me with your time and attention and I'm grateful for that.
[00:09:54.860 --> 00:10:24.860]   I'm grateful for listening. You've honored me with your time and attention and I'm grateful for that.
[00:10:24.860 --> 00:10:24.860]   I'm grateful for listening. You've honored me with your time and attention and I'm grateful for that.
[00:10:24.860 --> 00:10:24.860]   I'm grateful for listening. You've honored me with your time and attention and I'm grateful for that.
[00:10:24.860 --> 00:10:24.860]   I'm grateful for listening. You've honored me with your time and attention and I'm grateful for that.
[00:10:24.860 --> 00:10:24.860]   I'm grateful for listening. You've honored me with your time and attention and I'm grateful for that.
[00:10:24.860 --> 00:10:24.860]   I'm grateful for listening. You've honored me with your time and attention and I'm grateful for that.
[00:10:24.860 --> 00:10:24.860]   I'm grateful for listening. You've honored me with your time and attention and I'm grateful for that.
[00:10:24.860 --> 00:10:24.860]   I'm grateful for listening. You've honored me with your time and attention and I'm grateful for that.
[00:10:24.860 --> 00:10:24.860]   I'm grateful for listening. You've honored me with your time and attention and I'm grateful for that.
[00:10:24.900 --> 00:10:54.880]  ,
[00:10:54.880 --> 00:10:54.880]   I'm grateful for listening. You've honored me with your time and attention and I'm grateful for that.
[00:10:54.880 --> 00:10:54.880]   I'm grateful for listening. You've honored me with your time and attention and I'm grateful for that.
[00:10:54.880 --> 00:10:54.880]   I'm grateful for listening. You've honored me with your time and attention and I'm grateful for that.

