
[00:00:00.000 --> 00:00:14.320]   Good morning everyone. I'm really thrilled to be here today at the Interrupt conference.
[00:04:24.880 --> 00:04:33.200]   What are similar funds, how do I curate this answer specific for this client, and you will come up with a presentation yourself manually.
[00:04:33.200 --> 00:04:42.960]   With the help of an agent, we can get access to the same data, analytics, insights, and visualization right in your meeting.
[00:04:42.960 --> 00:04:49.600]   Enable the real-time decision-making. That is our vision of Ask David, and you probably guessed it.
[00:04:50.160 --> 00:04:55.360]   David stands for data, analytics, visualization, insights, and decision-making system.
[00:04:55.360 --> 00:05:02.720]   So, this is our approach to build up Ask David, which is a multi-agent system.
[00:05:02.720 --> 00:05:09.440]   Starting from our supervisor agent, which acts as our trader, it talks with our end user,
[00:05:09.440 --> 00:05:16.160]   understand their intention, and try to delegate the task to one or more of sub-agents in the team.
[00:05:16.800 --> 00:05:24.080]   The supervisor agent has access to both short-term and long-term memories so that it can customize the user experience.
[00:05:24.080 --> 00:05:32.160]   It also knows when to invoke human-in-the-loop to ensure the highest level of accuracy and also reliability.
[00:05:33.600 --> 00:05:41.920]   Next, we have our structured data agent. It will translate natural language into either SQL queries or API calls,
[00:05:41.920 --> 00:05:45.440]   and it will use large-language model to summarize the data on top.
[00:05:45.440 --> 00:05:52.320]   Our structured data is a little bit different from structured data. Usually, it requires some kind of preprocess.
[00:05:53.200 --> 00:06:01.600]   But as long as you save it, vectorize it, and put it into a database, we can employ a RAG agent on top to effectively derive information.
[00:06:01.600 --> 00:06:08.720]   Lastly, we have the analytics agent. We talked about our proprietary model and APIs.
[00:06:08.720 --> 00:06:14.080]   They are usually in the format of APIs or programming libraries.
[00:06:15.040 --> 00:06:24.880]   For a simple query that can be directly answered by API calls, we'll use a React agent and use APIs as tools.
[00:06:24.880 --> 00:06:35.600]   But for more complex queries, we'll use text-to-code generation capabilities and use human supervision for the execution.
[00:06:37.360 --> 00:06:42.560]   This graph is our end-to-end workflow. It's starting with a planning node.
[00:06:42.560 --> 00:06:46.000]   And you probably noticed there are two subgraphs over here.
[00:06:46.000 --> 00:06:54.320]   One is a general QA flow. So for any questions, for any general questions, for example, how do I invest in gold,
[00:06:54.320 --> 00:06:59.600]   you will go to the left-hand side subgraph. And if the question is regarding specific funds,
[00:06:59.600 --> 00:07:02.400]   you will go to the right-hand side flow. Each of the flow,
[00:07:03.520 --> 00:07:08.880]   as you can see, are equipped with one supervisor agent and a team of specialized agents.
[00:07:08.880 --> 00:07:15.200]   Once we retrieve the answer, you probably notice there's one node to personalize the answer
[00:07:15.200 --> 00:07:20.960]   and another node to do the reflection check. I will explain it in detail in an example to follow.
[00:07:20.960 --> 00:07:23.680]   The whole flow ends with summarization.
[00:07:23.680 --> 00:07:31.200]   So now, back to our client question. Why was this fund terminated?
[00:07:31.200 --> 00:07:36.240]   This is how our agent can handle it. So as you can see on the right-hand side,
[00:07:36.240 --> 00:07:41.920]   the agent answer was the fund was terminated due to a performance issue. And you can actually click
[00:07:41.920 --> 00:07:46.240]   into the reference link to see more about the fund performance and the reason behind it.
[00:07:46.240 --> 00:07:53.760]   What really happened behind the thing? From that planning node, we start to understand this user inquiry
[00:07:53.760 --> 00:08:01.360]   is related to a specific fund. So it goes to the specific fund flow. And the supervisor agent inside
[00:08:01.360 --> 00:08:06.640]   will be able to extract the fund information as a context and understand that actually the doc search
[00:08:06.640 --> 00:08:12.720]   agent is the right one to solve the problem. Once doc search agent gets that information,
[00:08:12.720 --> 00:08:16.720]   it starts to trigger the tools underneath to get the data from MongoDB.
[00:08:18.000 --> 00:08:23.040]   Once we retrieve that information, the data and information will be personalized.
[00:08:23.040 --> 00:08:29.040]   The same information can be presented in different ways. It depends on who is asking.
[00:08:29.040 --> 00:08:35.920]   For example, we are talking about the fund termination reason over here. A due diligence specialist may demand
[00:08:35.920 --> 00:08:44.960]   a very detailed answer. And while advisor maybe just need a general answer. So this personalization node will
[00:08:44.960 --> 00:08:53.840]   tailor the answer based on the user roles. Next, we have the reflection node. It uses LM judge to make sure that
[00:08:53.840 --> 00:08:58.720]   the answer we generated makes sense. If it doesn't, what do we do? We try again.
[00:09:00.400 --> 00:09:06.880]   So the last one, the whole flow ends with summarization. In the summarization node, we do several things.
[00:09:06.880 --> 00:09:11.440]   We summarize the conversation, we update the memory, and we return the final answer.
[00:09:11.440 --> 00:09:21.120]   So it was quite a journey working on this multi-agent application. We are very excited to share the lesson
[00:09:21.120 --> 00:09:28.320]   learned. Number one, start simple and refactor often. I know I showed you a fairly complex diagram
[00:09:28.320 --> 00:09:35.440]   earlier, but we didn't really focus on building that diagram from day one. So day one, if you can see,
[00:09:35.440 --> 00:09:42.560]   is a plain vanilla react agent. We try to understand how it works. And from there, we need to work on the
[00:09:42.560 --> 00:09:48.240]   specialized agent on the picture tool, which actually is a rag agent, if you can see. We start to
[00:09:48.240 --> 00:09:54.960]   customize the flow. But once we get very comfortable with the performance of the specialized agent,
[00:09:54.960 --> 00:10:02.000]   we start to integrate that into our multi-agent flow in picture three with the supervisor.
[00:10:02.000 --> 00:10:10.960]   And in the picture four, that's our current stats. We actually have the subgraph generated for specific
[00:10:10.960 --> 00:10:16.080]   kind of intentions. Right now, we only have two intentions, but we can scale easily with this architecture.
[00:10:16.080 --> 00:10:26.960]   So I talked about fast iterations. But how do we know every iteration we're moving towards the right
[00:10:26.960 --> 00:10:33.600]   direction? The answer is evaluation-driven development. So everyone knows that compared to
[00:10:35.040 --> 00:10:42.160]   the traditional AI projects. Gen AI projects actually has a shorter development phase. But we do have a long
[00:10:42.160 --> 00:10:48.560]   evaluation phase. So our suggestion is to start early, think about the metrics, what kind of goal you want
[00:10:48.560 --> 00:10:53.600]   to achieve. As we are in financial industry, obviously accuracy is one of the most important things.
[00:10:56.240 --> 00:11:01.680]   And the continuous evaluation helps you gain confidence that you are improving day by day. So there are
[00:11:01.680 --> 00:11:06.880]   additional tips I have over here based on our own experience of evaluation. As you can see on the screen,
[00:11:06.880 --> 00:11:14.000]   right, so the dark blue bars over here are coming from the metrics of evaluation on our main flow. And the green
[00:11:14.000 --> 00:11:21.760]   one is actually one example of our sub-agent. So my tip number one is make sure you independently evaluate your
[00:11:21.760 --> 00:11:27.120]   sub-agents. But the key for your evaluation is to find places to improve, right? These help you
[00:11:27.120 --> 00:11:36.560]   figure out what's the weak link to improve your accuracy. Second point is it depends on how you design
[00:11:36.560 --> 00:11:41.760]   your agents. Make sure you pick the right metrics. So if you have a summarization, you may want to check
[00:11:41.760 --> 00:11:47.600]   whether your summarization is concise or not. So conciseness is one of the metrics you want to pick.
[00:11:48.400 --> 00:11:52.400]   If you are doing a tool call, maybe you can have the trajectory evaluation instead.
[00:11:52.400 --> 00:12:00.800]   So there is a common myth. I think especially if you're a developer, you're talking about TDD.
[00:12:00.800 --> 00:12:05.680]   I think a lot of people say, no, I just don't do that. It's a lot of work, right? But it's not the same
[00:12:05.680 --> 00:12:12.400]   in the evaluation. You actually can start evaluation with or without ground truth. It doesn't matter.
[00:12:12.400 --> 00:12:18.320]   There are so many metrics beyond just accuracy. And each one of them will provide you some insight.
[00:12:18.320 --> 00:12:24.240]   And you know what? Once you start doing evaluation, you will have review. Once you start doing review,
[00:12:24.240 --> 00:12:27.440]   you're actually going to accumulate more for the ground truth examples.
[00:12:27.440 --> 00:12:34.560]   Lastly, we have large language model itself as judge in combination of a human review.
[00:12:36.080 --> 00:12:42.640]   This automatic solution really helps us scale without adding too much burdens to our human SME to review
[00:12:42.640 --> 00:12:49.600]   large amount of AI-generated answers. Talking about SME, our last lesson learned over here
[00:12:49.600 --> 00:12:55.840]   is about human SME in the loop. When you apply a general model to a specific domain,
[00:12:56.480 --> 00:13:04.240]   usually you will get less than 50% of accuracy. But you can do a quick improvement like chunking
[00:13:04.240 --> 00:13:10.880]   strategies, you can change your searching algorithms, and you can actually make proper engineering.
[00:13:10.880 --> 00:13:17.680]   You know, that can get you to that 80% mark. From 80 to 90, we are using the workflow chains. We are
[00:13:17.680 --> 00:13:23.040]   creating the subgraphs so that we can fine tune certain kind of questions without impacting each other.
[00:13:24.320 --> 00:13:31.280]   Between 90% and 100%, that's what we call the last mile. And the last mile is always the hardest mile.
[00:13:31.280 --> 00:13:38.560]   In terms of GNI applications, it may not be achievable to get that 100% mark, right? So what do we do?
[00:13:38.560 --> 00:13:45.520]   So human SME in the loop is very important to us because we have billion dollars at stake and we cannot
[00:13:45.520 --> 00:13:53.280]   afford inaccuracy. In other words, Ask David still consults with real David whenever needed.
[00:13:53.280 --> 00:14:02.080]   Go ahead. In conclusion, three takeaways for you. Iterate fast, evaluate early, keep humans in the loop.
[00:14:02.080 --> 00:14:06.640]   Thank you so much. Thank you.
[00:14:06.640 --> 00:14:08.640]   Thank you.
[00:14:08.640 --> 00:14:38.620]   Thank you.

