
[00:00:00.040 --> 00:00:09.540]   cele'm
[00:01:56.600 --> 00:01:56.660]   Robert F. Kemp, and the following is a conversation with Robert F. Kemp,
[00:01:56.660 --> 00:01:56.720]   Robert F. Kemp, and the following is a conversation with Robert F. Kemp,
[00:01:56.720 --> 00:01:56.760]   Robert F. Kemp, and the following is a conversation with Robert F. Kemp,
[00:01:56.760 --> 00:01:56.820]   Robert F. Kemp, and the following is a conversation with Robert F. Kemp,
[00:01:56.820 --> 00:01:56.840]   Robert F. Kemp, and the following is a conversation with Robert F. Kemp,
[00:01:56.840 --> 00:01:56.860]   Robert F. Kemp, and the following is a conversation with Robert F. Kemp,
[00:01:56.860 --> 00:01:56.880]   Robert F. Kemp, and the following is a conversation with Robert F. Kemp,
[00:01:56.880 --> 00:01:56.900]   Robert F. Kemp, and the following is a conversation with Robert F. Kemp,
[00:01:56.940 --> 00:02:26.920]  , Robert F. Kemp, and the following is a conversation with Robert F. Kemp,
[00:02:26.920 --> 00:02:26.920]   Robert F. Kemp, and the following is a conversation with Robert F. Kemp,
[00:02:26.920 --> 00:02:26.920]   Robert F. Kemp, and the following is a conversation with Robert F. Kemp,
[00:02:26.920 --> 00:02:26.920]   Robert F. Kemp, and the following is a conversation with Robert F. Kemp,
[00:02:26.920 --> 00:02:26.920]   Robert F. Kemp, and the following is a conversation with Robert F. Kemp,
[00:02:26.920 --> 00:02:26.920]   Robert F. Kemp, and the following is a conversation with Robert F. Kemp, and the following is a conversation with Robert F. Kemp,
[00:02:26.940 --> 00:02:56.940]   Robert F. Kemp, and the following is a conversation with Robert F. Kemp, and the following is a
[00:02:56.940 --> 00:02:56.940]   It is disagreement, not conformity, that bends the long arc of humanity toward truth and wisdom.
[00:02:56.940 --> 00:02:56.940]   It is disagreement, not conformity, that bends the long arc of humanity toward truth and wisdom.
[00:02:56.940 --> 00:02:56.940]   It is disagreement, not conformity, that bends the long arc of humanity toward truth and wisdom.
[00:02:56.940 --> 00:02:56.940]   It is disagreement, not conformity, that bends the long arc of humanity toward truth and wisdom.
[00:02:56.940 --> 00:02:56.940]   It is disagreement, not conformity, that bends the long arc of humanity toward truth and wisdom.
[00:02:56.940 --> 00:02:56.940]   It is disagreement, not conformity, that bends the long arc of humanity toward truth and wisdom.
[00:02:56.940 --> 00:02:56.940]   It is disagreement, not conformity, that bends the long arc of humanity toward truth and wisdom.
[00:02:56.940 --> 00:02:56.940]   It is disagreement, not conformity, not conformity, that bends the long arc of humanity toward truth and wisdom.
[00:02:56.980 --> 00:03:26.960]  ,
[00:03:26.960 --> 00:03:26.960]   It is disagreement, not conformity, that bends the long arc of humanity toward truth and wisdom.
[00:03:26.960 --> 00:03:26.960]   It is disagreement, not conformity, that bends the long arc of humanity toward truth and wisdom.
[00:03:26.960 --> 00:03:26.960]   It is disagreement, not conformity, that bends the long arc of humanity toward truth and wisdom.
[00:03:26.960 --> 00:03:26.960]   It is disagreement, not conformity, that bends the long arc of humanity toward truth and wisdom.
[00:03:26.980 --> 00:03:56.980]   I would say there's so many things I love about the country.
[00:03:56.980 --> 00:03:56.980]   I would say there's so many things I love about the country.
[00:03:56.980 --> 00:03:56.980]   I would say there's so many things I love about the country.
[00:03:56.980 --> 00:03:56.980]   You know, the landscapes and the waterways and the people, etc.,
[00:03:56.980 --> 00:03:56.980]   You know, the landscapes and the waterways and the people, etc., but on the kind of a higher level, you know, people argue about whether we're an exemplary nation.
[00:03:56.980 --> 00:03:56.980]   And the that term has been given a bad name, particularly by the neocons, the actions of the neocons in recent decades who have turned that on the ground.
[00:03:56.980 --> 00:03:56.980]   And the that term has been given a bad name, particularly by the neocons, the actions of the neocons in recent decades who have turned that on the ground.
[00:03:57.020 --> 00:04:27.000]  ,
[00:04:27.000 --> 00:04:27.000]   And the that term has been given a bad name, particularly by the neocons in recent decades who have turned that on the ground.
[00:04:27.000 --> 00:04:27.000]   And the that term has been given a bad name, particularly by the neocons in recent decades who have turned that on the ground.
[00:04:27.000 --> 00:04:27.000]   And the that term has been given a bad name, particularly by the neocons in recent decades who have turned that on the ground.
[00:04:27.000 --> 00:04:27.000]   And the that term has been given a bad name, particularly by the neocons in recent decades who have turned that on the ground.
[00:04:27.000 --> 00:04:27.000]   And the that term has been given a bad name, particularly by the neocons in recent decades who have turned that on the ground.
[00:04:27.000 --> 00:04:27.000]   And the that term has been given a bad name, particularly by the neocons in recent decades who have turned that on the ground.
[00:04:27.020 --> 00:04:57.020]   굿,
[00:04:57.020 --> 00:04:57.020]   It's kind of extraordinary because our first contact with our first serious and sustained contact with the European culture and continent is the fact that we were the only democracy on earth.
[00:04:57.020 --> 00:04:57.020]   The civil war, by 1865, there were six democracies. Today there's probably 190. All of them, in one way or another, are modeled on the American experience.
[00:04:57.020 --> 00:04:57.020]   It's kind of extraordinary because our first contact with our first serious and sustained contact with the European culture and continent is the fact that we were the only democracy on earth.
[00:04:57.020 --> 00:04:57.020]   It's kind of extraordinary because our first contact with our first serious and sustained contact with the European culture and continent is the fact that we were the only democracy on earth.
[00:04:57.020 --> 00:04:57.020]   It's kind of extraordinary because our first contact with our first serious and sustained contact with the European culture and continent is the fact that we were the only democracy on earth.
[00:04:57.060 --> 00:05:27.040]  ,
[00:05:27.040 --> 00:05:27.040]   It's kind of extraordinary because our first contact with our first serious and sustained contact with the European culture and continent is the fact that we were the only democracy on earth.
[00:05:27.040 --> 00:05:27.040]   It's kind of extraordinary because our first contact with our first serious and sustained contact with the European culture and continent is the fact that we were the only democracy on earth.
[00:05:27.040 --> 00:05:27.040]   It's kind of extraordinary because our first contact with our first serious and sustained contact with the European culture and continent is the fact that we were the only democracy on earth.
[00:05:27.040 --> 00:05:27.040]   It's kind of extraordinary because our first contact with our first serious and sustained contact with the European culture and continent is the fact that we were the only democracy on earth.
[00:05:27.040 --> 00:05:27.040]   I think that we were the first contact with the European culture and continent is the fact that we were the only democracy on earth.
[00:05:27.060 --> 00:05:57.060]   It's kind of extraordinary because our first contact with our first serious and sustained contact with the European culture and continent is the fact that we were the only democracy on earth.
[00:05:57.060 --> 00:05:57.060]   We were the first contact with the European culture and continent is the fact that we were the only democracy on earth.
[00:05:57.060 --> 00:05:57.060]   We were the first contact with the European culture and continent is the fact that we were the only democracy on earth.
[00:05:57.060 --> 00:05:57.060]   We were the first contact with the European culture and continent is the fact that we were the only democracy on earth.
[00:05:57.060 --> 00:05:57.060]   We were the first contact with the European culture and continent is the fact that we were the only democracy on earth.
[00:05:57.060 --> 00:05:57.060]   We were the first contact with the European culture and continent is the fact that we were the only democracy on earth.
[00:05:57.060 --> 00:05:57.060]   We were the first contact with the European culture and continent is the fact that we were the only democracy on earth.
[00:05:57.060 --> 00:05:57.060]   We were the first contact with the European culture and continent is the fact that we were the only democracy on earth.
[00:05:57.100 --> 00:05:59.880]  iled .
[00:05:59.880 --> 00:06:07.040]   ' or
[00:06:07.040 --> 00:06:07.380]  �
[00:06:07.380 --> 00:06:09.040]  ав
[00:07:21.240 --> 00:07:21.240]   and
[00:07:21.240 --> 00:07:21.240]   and
[00:07:21.240 --> 00:07:21.240]   and
[00:07:50.200 --> 00:08:18.140]  , and it doesn't mean anarchy. It means that it has to be accompanied by restraint if it's going to live up to its promise and self-restraint. What it means is the capacity for human beings to exercise and to fulfill their creative energies unrestrained as much as possible by God.
[00:08:47.060 --> 00:09:15.080]   but
[00:09:15.280 --> 00:09:25.680]   And that, you know, happens in every generation, and it is the obligation of every generation to safeguard and protect those freedoms.
[00:09:25.680 --> 00:09:39.880]   The blood of each generation. You mentioned your interest, your admiration of Albert Camus, of Stoicism, perhaps your interest in existentialism. Camus said, I believe in myths of Sisyphus,
[00:09:39.880 --> 00:10:06.140]  , and I think that's a great point.
[00:10:06.140 --> 00:10:08.120]   The only way to deal with an unfree world is to become so absolutely free that your very existence is an act of rebellion. What do you think he means by that?
[00:10:08.120 --> 00:10:08.120]   I suppose the way that Camus viewed the world and the way that the Stoics did and a lot of the existentialists was that it was so absurd and that the problems in the past that were given just to live a life are so insurmountable that the only way to deal with an unfree world is to become so absolutely free that your very existence is an act of rebellion. What do you think he means by that?
[00:10:08.160 --> 00:10:17.900]  それ
[00:10:17.900 --> 00:10:33.880]   di din一個
[00:11:29.900 --> 00:11:29.900]   and then I would roll down the hill and I would spend the night going back down the hill to collect it and then rolling it back up the hill again.
[00:11:29.900 --> 00:11:29.900]   and then I would roll down the hill and I would spend the night going back down the hill to collect it and then rolling it back up the hill again.
[00:11:29.900 --> 00:11:29.900]   and then I would roll down the hill and I would spend the night going back down the hill to collect it and then rolling it back up the hill again.
[00:11:29.900 --> 00:11:29.900]   and then I would roll down the hill and I would spend the night going back down the hill to collect it and then rolling it back up the hill again.
[00:11:29.900 --> 00:11:29.900]   and then I would roll down the hill and I would spend the night going back down the hill to collect it and then rolling it back up the hill again.
[00:11:29.900 --> 00:11:29.900]   and then I would roll down the hill and I would spend the night going back down the hill to collect it and then rolling it back up the hill again.
[00:11:57.160 --> 00:11:59.920]   I
[00:11:59.920 --> 00:11:59.920]  , I would roll down the hill and I would spend the night going back down the hill again.
[00:11:59.920 --> 00:11:59.920]   I would roll down the hill and I would spend the night going back down the hill again.
[00:11:59.920 --> 00:11:59.920]   I would roll down the hill and I would spend the night going back down the hill again.
[00:11:59.920 --> 00:11:59.920]   I would roll down the hill and I would spend the night going back down the hill again.
[00:11:59.920 --> 00:12:29.940]  ,
[00:12:29.940 --> 00:12:29.940]   I would roll down the hill and I would spend the night going back down the hill again.
[00:12:29.940 --> 00:12:29.940]   I would roll down the hill and I would spend the night going back down the hill again.
[00:12:29.940 --> 00:12:29.940]   I would roll down the hill and I would spend the night going back down the hill again.
[00:12:29.940 --> 00:12:29.960]   I would roll down the hill and I would spend the night going back down the hill again.
[00:12:29.960 --> 00:12:29.960]   I would roll down the hill and I would spend the night going back down the hill again.
[00:12:29.960 --> 00:12:29.960]   I would roll down the hill and I would spend the night going back down the hill again.
[00:12:29.960 --> 00:12:59.980]   I would roll down the hill and I would spend the night going back down the hill again.
[00:12:59.980 --> 00:12:59.980]   I would roll down the hill and I would spend the night going back down the hill again.
[00:12:59.980 --> 00:12:59.980]   I would roll down the hill and I would spend the night going back down the hill again.
[00:12:59.980 --> 00:12:59.980]   I would roll down the hill and I would spend the night going back down the hill again.
[00:12:59.980 --> 00:12:59.980]   I would roll down the hill and I would spend the night going back down the hill again.
[00:12:59.980 --> 00:12:59.980]   I would roll down the hill and I would spend the night going back down the hill again.
[00:13:00.000 --> 00:13:30.000]   I would roll down the hill and I would spend the night going back down the hill again.
[00:13:30.000 --> 00:13:30.000]   I would roll down the hill and I would spend the night going back down the hill again.
[00:13:30.000 --> 00:13:30.000]   I would roll down the hill and I would spend the night going back down the hill again.
[00:13:30.000 --> 00:13:30.000]   I would roll down the hill and I would spend the night going back down the hill again.
[00:13:30.000 --> 00:13:30.000]   I would roll down the hill and I would spend the night going back down the hill again.
[00:13:30.000 --> 00:13:30.000]   I would roll down the hill and I would spend the night going back down the hill again.
[00:13:30.000 --> 00:13:30.000]   I would roll down the hill and I would spend the night going back down the hill again.
[00:13:30.000 --> 00:13:30.000]   I would roll down the hill and I would spend the night going back down the hill again.
[00:13:30.000 --> 00:13:30.000]   I would roll down the hill and I would spend the hill and I would spend the night going back down the hill again.
[00:13:30.020 --> 00:14:00.020]   I would roll down the hill and I would spend the night going back down the hill again.
[00:14:00.020 --> 00:14:00.020]   I would roll down the hill and I would spend the night going back down the hill again.
[00:14:00.020 --> 00:14:00.020]   I would roll down the hill and I would spend the night going back down the hill again.
[00:14:00.020 --> 00:14:00.020]   I would roll down the hill and I would spend the night going back down the hill again.
[00:14:00.020 --> 00:14:00.020]   I would roll down the hill and I would spend the night going back down the hill again.
[00:14:00.020 --> 00:14:00.020]   I would roll down the hill and I would spend the night going back down the hill again.
[00:14:00.020 --> 00:14:00.020]   I would roll down the hill and I would spend the night going back down the hill again.
[00:14:00.020 --> 00:14:00.020]   I would roll down the hill and I would spend the night going back down the hill again.
[00:14:00.020 --> 00:14:00.020]   I would roll down the hill and I would spend the night going back down the hill again.
[00:14:00.020 --> 00:14:00.020]   I would roll down the hill and I would spend the night going back down the hill again.
[00:14:00.020 --> 00:14:30.040]   I would roll down the hill and I would spend the night going back down the hill again.
[00:14:30.040 --> 00:14:30.040]   I would roll down the hill and I would spend the night going back down the hill again.
[00:14:30.040 --> 00:14:30.040]   I would roll down the hill and I would spend the night going back down the hill again.
[00:14:30.040 --> 00:14:30.040]   I would roll down the hill and I would spend the night going back down the hill again.
[00:14:30.040 --> 00:14:30.040]   I would roll down the hill and I would spend the night going back down the hill again.
[00:14:30.040 --> 00:14:30.040]   I would roll down the hill and I would spend the night going back down the hill again.
[00:14:30.040 --> 00:14:30.040]   I would roll down the hill and I would spend the night going back down the hill again.
[00:14:30.040 --> 00:14:30.040]   I would roll down the hill and I would spend the hill and I would spend the night going back down the hill again.
[00:14:30.060 --> 00:15:00.060]   I would roll down the hill and I would spend the night going back down the hill again.
[00:15:00.060 --> 00:15:00.060]   I would roll down the hill and I would spend the night going back down the hill again.
[00:15:00.060 --> 00:15:00.060]   I would roll down the hill and I would spend the night going back down the hill again.
[00:15:00.060 --> 00:15:00.060]   I would roll down the hill and I would spend the night going back down the hill again.
[00:15:00.060 --> 00:15:00.060]   I would roll down the hill and I would spend the night going back down the hill again.
[00:15:00.060 --> 00:15:00.060]   I would roll down the hill and I would spend the night going back down the hill again.
[00:15:00.060 --> 00:15:00.060]   I would roll down the hill and I would spend the night going back down the hill again.
[00:15:00.060 --> 00:15:00.060]   I would roll down the hill and I would spend the night going back down the hill again.
[00:15:00.060 --> 00:15:00.060]   I would roll down the hill and I would spend the night going back down the hill again.
[00:15:00.060 --> 00:15:00.060]   I would roll down the hill and I would spend the night going back down the hill again.
[00:15:00.100 --> 00:15:30.080]  ,
[00:15:30.080 --> 00:15:30.080]   I would roll down the hill and I would spend the night going back down the hill again.
[00:15:30.080 --> 00:15:30.080]   I would roll down the hill and I would spend the night going back down the hill again.
[00:15:30.080 --> 00:15:30.080]   I would roll down the hill and I would spend the night going back down the hill again.
[00:15:30.080 --> 00:15:30.080]   I would roll down the hill and I would spend the night going back down the hill again.
[00:15:30.080 --> 00:15:30.080]   I would roll down the hill and I would spend the night going back down the hill again.
[00:15:30.080 --> 00:15:30.080]   I would roll down the hill and I would spend the night going back down the hill again.
[00:15:30.100 --> 00:16:00.100]   I would roll down the hill and I would spend the night going back down the hill again.
[00:16:00.100 --> 00:16:00.100]   I would roll down the hill and I would spend the night going back down the hill again.
[00:16:00.100 --> 00:16:00.100]   I would roll down the hill and I would spend the night going back down the hill again.
[00:16:00.100 --> 00:16:00.100]   I would roll down the hill and I would spend the night going back down the hill again.
[00:16:00.100 --> 00:16:00.100]   I would roll down the hill and I would spend the night going back down the hill again.
[00:16:00.100 --> 00:16:00.100]   I would roll down the hill and I would spend the night going back down the hill again.
[00:16:00.100 --> 00:16:00.100]   I would roll down the hill and I would spend the night going back down the hill again.
[00:16:00.100 --> 00:16:00.100]   I would roll down the hill and I would spend the night going back down the hill again.
[00:16:00.100 --> 00:16:00.100]   I would roll down the hill and I would spend the night going back down the hill again.
[00:16:00.100 --> 00:16:00.100]   I would roll down the hill and I would spend the night going back down the hill again.
[00:16:00.140 --> 00:16:30.120]   I would roll down the hill and I would spend the night going back down the hill again.
[00:16:30.120 --> 00:16:30.120]   I would roll down the hill and I would spend the night going back down the hill again.
[00:16:30.120 --> 00:16:30.120]   I would roll down the hill and I would spend the night going back down the hill again.
[00:16:30.120 --> 00:16:30.120]   I would roll down the hill and I would spend the night going back down the hill again.
[00:16:30.120 --> 00:16:30.120]   I would roll down the hill and I would spend the night going back down the hill again.
[00:16:30.120 --> 00:16:30.120]   I would roll down the hill and I would spend the night going back down the hill again.
[00:16:30.120 --> 00:16:30.120]   I would roll down the hill and I would spend the night going back down the hill again.
[00:16:30.140 --> 00:17:00.140]   I would roll down the hill and I would spend the night going back down the hill again.
[00:17:00.140 --> 00:17:00.140]   I would roll down the hill and I would spend the night going back down the hill again.
[00:17:00.140 --> 00:17:00.140]   I would roll down the hill and I would spend the night going back down the hill again.
[00:17:00.140 --> 00:17:00.140]   I would roll down the hill and I would spend the night going back down the hill again.
[00:17:00.140 --> 00:17:00.140]   I would roll down the hill and I would spend the night going back down the hill again.
[00:17:00.140 --> 00:17:00.140]   I would roll down the hill and I would spend the night going back down the hill again.
[00:17:00.140 --> 00:17:00.140]   I would roll down the hill and I would spend the night going back down the hill again.
[00:17:00.140 --> 00:17:00.140]   That's been a challenge that my father gave to me and all of my brothers and sisters.
[00:17:00.140 --> 00:17:00.140]   It's something that I've never forgotten.
[00:17:00.180 --> 00:17:09.180]   Seeing
[00:17:09.180 --> 00:17:10.620]  wei Ens /
[00:17:10.620 --> 00:17:24.380]   buy a thing is a 12種 belonged
[00:17:24.380 --> 00:17:30.180]   " . " " grewert eran prochaine me educ--G, and, and, I'm, I, I, I, my, s, Kim, my, my, my, my, my, my, S, speed, lui, Up, Hughes, Pe,ugh, vide intens held, "G, name, wherever you, one, LEGO,ough, 150. Z,achel, 對不對, rub. i, play, tenga,他们. Daddy, Mush kisses. is, devices. stuff.
[00:17:30.200 --> 00:17:40.220]   where she do these, these kind of, um, uh, pithy interviews, uh, with, with, uh, both famous people and, uh, man in the street interviews.
[00:17:40.220 --> 00:17:51.220]   And she was interviewing him, and she asked him, um, what he, she thought, what he believed his best quality was, his, his strongest virtue.
[00:17:51.220 --> 00:17:56.220]   And she thought that he would say courage, because he had been a war hero.
[00:17:56.220 --> 00:18:00.220]   He had, he was the only, uh, president who, uh, was, uh, a war hero.
[00:18:00.220 --> 00:18:00.220]   He was the only, uh, president who, uh, was a war hero.
[00:18:00.220 --> 00:18:00.220]   He was the only, uh, president who, uh, was a war hero.
[00:18:00.220 --> 00:18:00.220]   He was the only, uh, president who, uh, was a war hero.
[00:18:00.220 --> 00:18:00.220]   He was the only, uh, president who, uh, was a war hero.
[00:18:00.220 --> 00:18:00.220]   He was the only, uh, president who, uh, was a war hero.
[00:18:00.260 --> 00:18:30.260]   in the world.
[00:18:30.260 --> 00:18:30.260]   He was the only, uh, president who, uh, was a war hero.
[00:18:30.260 --> 00:18:30.260]   He was the only, uh, president who, uh, was a war hero.
[00:18:30.260 --> 00:18:30.260]   He was the only, uh, president who, uh, was a war hero.
[00:18:30.260 --> 00:18:30.260]   He was the only, uh, president who, uh, was a war hero.
[00:18:30.260 --> 00:18:30.260]   He was the only, uh, president who, uh, was a war hero.
[00:18:30.300 --> 00:18:32.660]   look
[00:18:32.660 --> 00:18:41.560]   and the ok
[00:18:41.560 --> 00:18:56.800]   good, and,,,,,,
[00:18:58.260 --> 00:19:08.160]   Jag
[00:19:08.160 --> 00:19:26.240]   at in the
[00:20:53.380 --> 00:21:19.520]   because he was able to see the world from Khrushchev's point of view, he believed that there was another solution. And then he also had the moral courage. So, my father, you know, to get back to your question, famously said that moral courage is the most important thing.
[00:21:47.780 --> 00:21:47.780]   You think that kind of empathy that you referred to requires moral courage?
[00:21:47.780 --> 00:21:47.780]   You think that kind of empathy that you referred to requires moral courage?
[00:22:16.040 --> 00:22:16.040]   Well, if you can apply that style of empathy, style of curiosity to the current war in Ukraine, what is your understanding of why Russia invaded Ukraine in February 2022?
[00:22:16.040 --> 00:22:16.080]   Well, if you can apply that style of empathy, style of curiosity to the current war in Ukraine, what is your understanding of why Russia invaded Ukraine in February 2022?
[00:22:16.080 --> 00:22:16.080]   Well, if you can apply that style of empathy, style of curiosity to the current war in Ukraine, what is your understanding of why Russia invaded Ukraine in February 2022?
[00:22:16.080 --> 00:22:16.180]   Well, if you can apply that style of empathy, style of curiosity to the current war in Ukraine, what is your understanding of why Russia invaded Ukraine in February 2022?
[00:22:16.180 --> 00:22:17.820]   Vladimir Putin, Vladimir Putin,
[00:22:17.860 --> 00:22:28.600]  ing
[00:22:28.600 --> 00:22:44.760]   ",달� couather couldn little two,,,,, Nh, 13嗎 shared a these are the grs of the Robert the piece of the Q. The. The. The. The. The. The, the, the, the, the, the, the, the, the, the, the, the, all, a,ár, fatigue ha less, стал, Luther, un, needs, bardziej, Student, con, ^ manage,이스, splits,B, decid, possess, Gust. Marvel, dividend,about,豆, bring,星, Ik,ர,itters, coraz, Hoff serve, substrate, droite,記 if you're some I'm a LEGO, provide,였습니다, G.구 with a Так,ку, cam,oid. hai I'm not correct,ир. STUD. develops dance. couldn't we're "G. educated a G.ğini. key . spells is a outfits de que got.視 "G. be in a 1986
[00:22:44.800 --> 00:22:53.740]   qualcosa
[00:22:53.740 --> 00:22:56.620]   per eaten,,,,
[00:23:13.480 --> 00:23:23.120]  う
[00:23:23.120 --> 00:23:24.240]   my, laugh,
[00:23:24.240 --> 00:23:43.460]  村 mo more in the end of the watch unlike мин
[00:24:13.520 --> 00:24:13.520]  ,
[00:24:13.520 --> 00:24:13.520]  ,
[00:24:13.520 --> 00:24:13.520]  ,
[00:24:13.520 --> 00:24:13.520]  ,
[00:24:13.520 --> 00:24:13.520]  ,
[00:24:13.520 --> 00:24:13.520]  ,
[00:24:13.560 --> 00:24:43.560]   in the heart of that. He said he published a paper, a blueprint for moving NATO right up to the Russian border, a thousand miles to the east and and taking over fourteen nations. And at that time, George Cannon, who was the kind of the deity of American diplomats, he was probably the only one that was really interested in the nation.
[00:24:43.560 --> 00:24:43.560]   The
[00:24:43.560 --> 00:24:43.560]  ,
[00:24:43.560 --> 00:24:43.560]  ,
[00:24:43.560 --> 00:24:43.560]  ,
[00:24:43.560 --> 00:24:43.560]  ,
[00:24:43.560 --> 00:24:43.560]  ,
[00:24:43.560 --> 00:24:43.560]  ,
[00:24:43.560 --> 00:24:43.560]  ,
[00:24:43.560 --> 00:24:43.560]  ,
[00:24:43.560 --> 00:24:43.560]  ,
[00:24:43.560 --> 00:24:43.560]  ,
[00:24:43.560 --> 00:24:43.560]  ,
[00:24:43.560 --> 00:24:43.560]  ,
[00:24:43.560 --> 00:24:43.560]  ,
[00:24:43.560 --> 00:24:43.560]  ,
[00:24:43.560 --> 00:24:43.560]  ,
[00:24:43.560 --> 00:24:43.560]  ,
[00:24:43.560 --> 00:24:43.560]  ,
[00:24:43.560 --> 00:24:43.560]  , the father, the neocons, who was a Democrat at that time, served in the Carter administration. He said he published a paper, a blueprint for moving NATO right up to the Russian border a thousand miles to the east and taking over fourteen nations. And at that time George Cannon, who was the kind of the deity of American diplomats, he was probably the only one that was really interested in the nation.
[00:24:43.560 --> 00:24:43.560]  ,
[00:24:44.100 --> 00:25:13.600]  ертвed the nation. And at that time George Cannon, who was the kind of the deity of American diplomats, he was probably the only one that was really interested in the nation. And at that time George Cannon, who was the kind of the deity of American diplomats, he was probably the only one that really interested in the nation. And he was the architect of the containment policy during World War II. And he said, this is insane and it's unnecessary. And if you do this, it's going to provoke the Russians to a violent response. And we should be making friends with the Russians. They lost the Cold War. We should be treating them the way that we treated our adversaries after World War II, like with a marshal.
[00:25:13.640 --> 00:25:43.640]   quan to try to help them incorporate into Europe and to be part of the brotherhood of, you know, of man and of Western nations. We shouldn't continue to be treating them as enemy and particularly surrounding them at their borders. William Perry, who was then the secretary of defense under Bill Clinton, threatened to resign. He was so upset by this plan to move NATO to the east. And William Burns, who was then the U.S. ambassador to the Soviet Union, who is now at this moment,
[00:25:43.640 --> 00:25:43.640]   the U.S. ambassador to the Soviet Union, who is now at this moment
[00:25:43.640 --> 00:25:43.640]   at this moment,
[00:25:43.640 --> 00:25:43.640]   to the U.S. ambassador to the Soviet Union, who is now at this moment
[00:25:43.640 --> 00:25:43.640]   a U. Ambassador to the Soviet Union, who is now at this moment
[00:25:43.640 --> 00:25:43.640]   a U. Ambassador to the Soviet Union, who is now at this moment, who is now at this moment,
[00:25:43.680 --> 00:25:53.920]   why
[00:25:53.920 --> 00:26:13.660]   late actually
[00:26:13.660 --> 00:26:13.680]   52, and,,,,,,, lasts change in the Steve discovered the business. It is a lot of the music. You're not gun. You'reicos, and, Theatre, reacts, cabbage,Box,�, freuen,éis, Sciences,vest,
[00:27:30.480 --> 00:27:55.400]  łychs. We need to do that. If we're going to make peace. And he said, all of us have been taught, you know, that we won the war, but we didn't want the rush. And if anybody won the war against Hitler was the Russians. Their country was destroyed. They all of their cities. And he said, imagine if all of the city.
[00:27:56.380 --> 00:28:06.360]   ad Boy
[00:28:06.360 --> 00:28:07.420]  ונ M Is him, on, show,--,,,, said,rent Cover deserve
[00:28:07.420 --> 00:28:13.400]  TC trzy
[00:28:13.400 --> 00:28:15.440]   storyline
[00:30:21.080 --> 00:30:30.360]   cerca
[00:30:30.360 --> 00:30:39.100]  yl in the. This.
[00:31:19.160 --> 00:31:19.160]   ...
[00:31:19.200 --> 00:31:29.080]   of
[00:31:29.080 --> 00:31:46.820]   the case,,,,
[00:31:46.960 --> 00:31:47.000]  vat
[00:31:47.000 --> 00:31:56.840]   in,
[00:31:56.840 --> 00:32:14.980]  早
[00:32:15.860 --> 00:32:25.800]   just
[00:32:25.800 --> 00:32:30.080]   blood and,
[00:32:30.080 --> 00:32:44.700]   Forget I nicht I, I, I, 기,辦,,,,,,,,, ç saber� versa этот say . unlucky З marching fal它的 buns de Episode of wen Le stitches process contro III did
[00:32:45.880 --> 00:32:47.900]   I'm going to go ahead and read the next one.
[00:32:47.900 --> 00:32:47.900]   I'm going to go ahead and read the next one.
[00:32:47.900 --> 00:32:49.900]   I'm going to go ahead and read the next one.
[00:32:49.900 --> 00:32:51.900]   I'm going to go ahead and read the next one.
[00:32:51.900 --> 00:32:53.900]   I'm going to go ahead and read the next one.
[00:32:53.900 --> 00:32:55.900]   I'm going to go ahead and read the next one.
