
[00:00:00.000 --> 00:00:05.000]   The following is a conversation with Jack Weatherford, anthropologist and historian
[00:17:46.060 --> 00:17:52.620]   father's child and it's unclear who the father was. And all of these issues go back for a long time.
[00:17:54.220 --> 00:18:00.220]   Later, Chinggis Khan will realize, once he becomes Chinggis Khan, he will realize that the true source of most of the
[00:18:00.220 --> 00:18:08.780]   feuding on the steppe is over women. And later he will outlaw the kidnapping of women and the sale of women.
[00:18:08.780 --> 00:18:15.580]   In part, not only because of what had happened to his mother, but what happened to him next in his life.
[00:18:15.740 --> 00:18:24.060]   And this is one of the things you talk about this, in some ways, the love story with his wife was
[00:18:24.060 --> 00:18:32.140]   her kidnapping was the defining. If you could point to one place where Genghis Khan, the conqueror was
[00:18:32.140 --> 00:18:40.460]   created. It's that point, his wife being kidnapped. Can you describe, first of all, his love for this
[00:18:40.460 --> 00:18:44.700]   woman and what that means and what the kidnapping of her meant?
[00:18:44.700 --> 00:18:52.860]   At age 16, Bertha, the girl he had met when he was eight years old and she was nine,
[00:18:52.860 --> 00:18:56.300]   she's now 17, and she and her mother come.
[00:18:56.300 --> 00:19:08.700]   It's hard to even imagine what it was like for this 16-year-old boy who has suffered these indignities of
[00:19:08.700 --> 00:19:15.180]   life in every way that you can imagine. And suddenly, here is the love of his life,
[00:19:15.180 --> 00:19:21.580]   who's going to be living with him, making him happy. He has somebody who loves him. It's not just his
[00:19:21.580 --> 00:19:27.580]   mother running around getting food and trying to feed the five children and plus the other wife and
[00:19:27.580 --> 00:19:34.940]   her two children. No, he has somebody who loves him. And it's all the excitement that you can imagine with
[00:19:34.940 --> 00:19:41.260]   the fire in the eyes and excitement. And then it only lasts a few months.
[00:19:42.780 --> 00:19:48.220]   And so there they are. And there's a lady visiting them. We don't know exactly who she is, but just they
[00:19:48.220 --> 00:19:53.260]   called her Grandmother Kowakhchun. Granny Kowakhchun is there. Granny Kowakhchun is sleeping,
[00:19:53.260 --> 00:20:01.260]   of course, on the floor of the ger, the tent. And early in the morning, she feels the vibrations in the
[00:20:01.260 --> 00:20:10.140]   earth. And she knows that horsemen are coming. She rouses the family. And Mother Erlun is in charge.
[00:20:10.140 --> 00:20:15.740]   Mother Erlun is still in charge, even though Kowakhchun is now married. She puts all of her
[00:20:15.740 --> 00:20:25.020]   children on a horse. And she takes the baby girl to Mulan in her own lap. And she has one extra horse.
[00:20:25.020 --> 00:20:33.420]   But she won't take Bursta. Because she knows. She doesn't know who the men are. She has no idea.
[00:20:33.420 --> 00:20:38.940]   But they're coming. They're coming in the dark. They're coming for a woman. They know there's a girl
[00:20:38.940 --> 00:20:45.260]   there. This family of outcasts has acquired a wife. And they know that they're coming for that.
[00:20:45.260 --> 00:20:51.100]   And so she leaves Sochigal, the other wife. She leaves this old lady, Granny Kowakhchun,
[00:20:51.100 --> 00:20:59.420]   who actually has her own cart. And she leaves Bursta. They pile into Granny's cart. And it's only an ox
[00:20:59.420 --> 00:21:06.140]   to pull it. So they don't get too far before the attackers get there. But Mother Erlun is right.
[00:21:06.140 --> 00:21:11.740]   She's able to get her children off to the mountain, into Burkhan Khaldun, to the mountainside, away from
[00:21:11.740 --> 00:21:17.340]   them, because the men are so focused on this cart and finding out how many women are in there and who
[00:21:17.340 --> 00:21:31.500]   they are and all. So Mother Erlun saved her family. But at a cost, suddenly, Temujin realizes he has obeyed
[00:21:31.500 --> 00:21:38.620]   his mother, but he's lost the most important thing in his life. And I do think this is the defining moment
[00:21:38.620 --> 00:21:45.900]   of his life. The story began back when his mother was kidnapped. But now the kidnapping of his wife,
[00:21:45.900 --> 00:21:53.500]   I think it's to define, what will he do? What should he do? What can he do? Is he going to just resign himself to it?
[00:21:53.500 --> 00:22:03.660]   Is he going to go out and look for another wife? And he decides that life is not worth living without Bursta.
[00:22:03.660 --> 00:22:12.780]   He has found something good in this life. And if he has to die trying to get her back, he will die trying to get her back.
[00:22:12.780 --> 00:22:22.220]   And this is the early steps of the military genius born, because in order to get her back requires
[00:22:22.220 --> 00:22:25.180]   an actual organization of troops.
[00:22:25.180 --> 00:22:33.900]   He needs allies. He goes to a man who ruled the Karyat people in central Mongolia, kind of on the
[00:22:33.900 --> 00:22:40.460]   Toll River about where the capital Ulaanbaatar is today. He goes there because that Vang Han is his
[00:22:40.460 --> 00:22:47.500]   name, or Torgal Han. He goes there because Vang Han had been the lord over his father at one point,
[00:22:47.500 --> 00:22:53.340]   and his father had gone on raids for him. And so he went there. And actually, he took a gift.
[00:22:53.340 --> 00:23:01.340]   That's because Bursta's mother had brought a sable coat as a gift for Mother Erlun at that time of
[00:23:01.340 --> 00:23:09.820]   the marriage. So he took the coat, and he took it, and he gave it as a gift to Vang Han and asked for his
[00:23:09.820 --> 00:23:14.620]   help. And Vang Han said, "Yes." And he said, "I will send some troops, but we need more.
[00:23:15.180 --> 00:23:25.980]   And you need to ask Jamukha. You need to ask him to come also." He said, "I will send a message to him
[00:23:25.980 --> 00:23:35.420]   to get troops." You have to tell the story of Jamukha, because the story of Genghis Khan is one of people
[00:23:35.420 --> 00:23:44.620]   abandoning him, being disloyal. And here is a person who's not of his kin, but becomes his, in a way,
[00:23:44.620 --> 00:23:53.260]   brother, in a way, loyal. And as you've described, he's both the best thing that has happened to Genghis
[00:23:53.260 --> 00:24:00.140]   Khan and one of the biggest challenges in the later years to Genghis Khan. So who was Jamukha?
[00:24:00.140 --> 00:24:10.220]   Jamukha was a boy about the same age as Timujin. And his family had winter camp close to where Mother
[00:24:10.220 --> 00:24:16.220]   Erlun was living with her children. And so the two boys met during the wintertime. In fact, they both
[00:24:16.220 --> 00:24:22.620]   claimed descent from the same woman about four generations earlier, or five, it's a little unclear.
[00:24:22.620 --> 00:24:29.020]   She was a Urihanghai woman who herself was kidnapped. And actually, Jamukha was the descendant of her
[00:24:29.020 --> 00:24:35.740]   from the fact that she was pregnant at the moment of kidnapping. And then, Timujin is descended from
[00:24:35.740 --> 00:24:41.740]   her through the new kidnapper, Bhotanchar, his ancestor. So they're both, as the Mongols would
[00:24:41.740 --> 00:24:49.340]   say, from the same womb. They come from the same historic origin. However, their lives were similar,
[00:24:49.340 --> 00:24:55.500]   and they both lost their fathers very early. But Jamukha also lost a mother. So he grew up in the
[00:24:55.500 --> 00:25:03.020]   household of his grandfather. He had no siblings, unlike Timujin, with a whole household of siblings.
[00:25:03.020 --> 00:25:07.580]   He grew up with his grandfather, and his grandfather had several wives. So he grew up with a bunch of old
[00:25:07.580 --> 00:25:14.380]   women, which later he said he thought was an influence on his life. But the two boys meet.
[00:25:14.380 --> 00:25:19.900]   So they come from different backgrounds. And Jamukha is not as deprived by any means as the life of Timujin,
[00:25:19.900 --> 00:25:25.980]   but he has a certain emotional deprivation, I think, having not had mother, father, siblings,
[00:25:25.980 --> 00:25:31.820]   and he lives with these old, old people. The two boys meet. They become good friends playing on the ice.
[00:25:31.820 --> 00:25:39.740]   And so they're playing on the ice. And then very early on, I think when they're about 10 or 11 years old,
[00:25:40.460 --> 00:25:48.140]   they decide to make a pact. It's called becoming Anda. Anda is more than a friend. A friend is like
[00:25:48.140 --> 00:25:54.700]   Nukhr in the language. And there are several different types of friendship. But Anda is a friendship
[00:25:54.700 --> 00:26:01.660]   that's beyond a friendship. It's something for life. And they swore that they would be there forever
[00:26:01.660 --> 00:26:08.220]   to protect each other, to help each other in every moment. And they exchanged knuckle bones. So each one of
[00:26:08.220 --> 00:26:14.540]   them had the knuckle bone of a roebuck, a deer. Our knuckle bones are used in these games that they
[00:26:14.540 --> 00:26:21.100]   play, but it's also used to forecast the future. You can roll them around and all. And it's very strange.
[00:26:21.100 --> 00:26:29.420]   On the ice, I will say, in the wintertime in Mongolia, it can be up to 50 degrees below zero. And it
[00:26:29.420 --> 00:26:36.140]   doesn't really matter at that point whether it's even Celsius or Fahrenheit or what it is. But you slide
[00:26:36.140 --> 00:26:42.220]   something across the ice, and it's just absolutely smooth like silk. And it goes on for a long way.
[00:26:42.220 --> 00:26:49.500]   And if you put your ear down to the ice, you hear this celestial sound that is unlike any sound on the
[00:26:49.500 --> 00:26:56.220]   earth. It's just like the angels are singing under the ice. So once they've sworn this relationship of
[00:26:56.220 --> 00:27:01.100]   Anda, then a couple of years later, they swear it again. But this time, they're slightly older boys,
[00:27:01.100 --> 00:27:07.820]   and they have bows and arrows. And so they exchange arrows with each other. In fact, the text is very
[00:27:07.820 --> 00:27:17.260]   specific that Jamukha took the horn, cut it off of a two-year-old calf, and he whittled it down,
[00:27:17.260 --> 00:27:24.380]   and then he drilled a hole into it in order to make a whistling arrow, which is used for several purposes.
[00:27:24.380 --> 00:27:30.220]   among the Mongols. It's used for signals, for one thing, from one person to another. But also when
[00:27:30.220 --> 00:27:36.620]   you're hunting, if you want to move the animal in a certain direction, you send a whistling arrow in the
[00:27:36.620 --> 00:27:42.700]   opposite direction to make the animal move. So it had a lot of uses. So the boys had exchanged roebuck knuckles.
[00:27:42.700 --> 00:27:48.780]   This time, they exchanged. And so they had been close friends. And Wang Han said, "Okay, Jamukha should
[00:27:48.780 --> 00:27:56.060]   raise some troops and go with you." And he did. So the three set out. Some troops from Wang Han. He
[00:27:56.060 --> 00:28:02.780]   himself did not go. He was too old. But he sent some troops. And then Jamukha and his troops. And then
[00:28:02.780 --> 00:28:06.780]   basically just Temujin and his family. He just had his brothers. That's all.
[00:28:07.660 --> 00:28:16.060]   They set off to find the Merkut people up the Seleng River, which flows into Siberia and on into Lake Baikal.
[00:28:16.060 --> 00:28:22.460]   They had to go through some extremely rough territory. And you see in this episode though,
[00:28:22.460 --> 00:28:31.500]   Jamukha is already a little bit fierce without necessarily thinking it through carefully.
[00:28:32.620 --> 00:28:37.740]   He gives this long speech about all the things they're going to do to the Merkut people.
[00:28:37.740 --> 00:28:43.580]   We're going to jump through the tunnel, the smoke hole in the top of the gear. We're going to jump
[00:28:43.580 --> 00:28:48.140]   in there and we're going to kill them all. We're going to kill the men and the women and the children.
[00:28:48.140 --> 00:28:56.460]   We will destroy these people forever. He has an extremely militant rhetoric, at least. And he's also
[00:28:56.460 --> 00:29:01.740]   rather critical of the elder people. Wang Han's people came late and he gave them this long lecture
[00:29:01.740 --> 00:29:10.780]   about we are Mongols. And if we give our word, our word is our promise forever. And rain or sleet or snow,
[00:29:10.780 --> 00:29:19.020]   it doesn't matter. We be there on time. And so he's dressing down his superiors. He's very aggressive,
[00:29:19.020 --> 00:29:27.180]   but he's very helpful. So these troops, they move in on the Merkut camp. They also come in at night.
[00:29:27.180 --> 00:29:35.580]   And so there's a small amount of warning because some men are out hunting sables, the Merkut men,
[00:29:35.580 --> 00:29:40.620]   and they race back to the camp and they tell the people. And the people are getting ready to get out
[00:29:40.620 --> 00:29:46.780]   as fast as possible. So Burshta has no idea who's coming. She doesn't want to be kidnapped again.
[00:29:46.780 --> 00:29:55.900]   It's just somebody. So she and the grandmother go auction again, and they're loaded into a cart to go
[00:29:55.900 --> 00:30:02.700]   away. So Temujin comes in and there's a full moon that night so they could see what they're doing.
[00:30:02.700 --> 00:30:07.340]   And he's really searching for her. He's not paying too much attention to the battle.
[00:30:07.900 --> 00:30:16.380]   And he's calling for her and she hears his voice. She knows who it is. She jumps off the cart and she
[00:30:16.380 --> 00:30:24.220]   runs to him and they're reunited and he grabs her, embraces her. And then he said, "This is the goal.
[00:30:24.220 --> 00:30:29.900]   This is why we are here. We don't need anything else." He was very clear about that.
[00:30:29.900 --> 00:30:36.060]   And that was his first full-on military engagement.
[00:30:36.060 --> 00:30:44.460]   Yes, aside from the things, yes, his first full-on military engagement. Now, along the way,
[00:30:44.460 --> 00:30:51.580]   in addition to escaping all these horrors, he had killed his older half-brother, Bechter.
[00:30:51.580 --> 00:30:58.460]   And that too was a deeply formative experience. So what was that about? Can you explain in Mongol society,
[00:30:58.460 --> 00:31:05.820]   the role of the older brother and the power struggle there, and not to moralize, but there's also
[00:31:05.820 --> 00:31:11.980]   the ethical foundation behind the murder?
[00:31:11.980 --> 00:31:17.020]   The killing of Bechter, that's one of the things that's totally unknown outside of the
[00:31:17.020 --> 00:31:22.380]   secret history of the Mongols. None of the Persian chronicles, none of the Chinese chronicles,
[00:31:22.380 --> 00:31:29.820]   none of them knew about this until the secret history was deciphered and translated. But Bechter
[00:31:29.820 --> 00:31:37.660]   was the older child of Sochiko. And the older brother has complete authority over the younger siblings
[00:31:37.660 --> 00:31:43.180]   in Mongolian society. They have to refer to him with a special pronoun all the time, "ta,"
[00:31:43.820 --> 00:31:51.900]   and he refers to them as chi. It's like a formality. And his word goes. He is the father in the absence of
