
[00:00:00.000 --> 00:00:06.040]   Welcome everyone.
[00:02:34.640 --> 00:02:38.880]   Again, when I show you the inner workings of this model,
[00:02:38.880 --> 00:02:43.520]   you get immediately illuminated about where it works and where it doesn't.
[00:02:43.520 --> 00:02:45.680]   This model is more sophisticated.
[00:02:45.680 --> 00:02:51.760]   It tokenizes its input and uses the final token as the basis for predicting even-odd.
[00:02:51.760 --> 00:02:53.520]   That is a pretty good theory,
[00:02:53.520 --> 00:02:56.360]   but it has this else clause where it predicts odd,
[00:02:56.360 --> 00:02:59.120]   and now we know exactly how to foil the model.
[00:02:59.120 --> 00:03:02.720]   We input 16, and it thinks that that is odd.
[00:03:02.720 --> 00:03:06.800]   It was really the point at which we got to see the internal causal mechanisms,
[00:03:06.800 --> 00:03:08.760]   that we knew exactly how the model would work,
[00:03:08.760 --> 00:03:10.680]   and exactly where it would fail.
[00:03:10.680 --> 00:03:12.800]   Now we move at last to model 3.
[00:03:12.800 --> 00:03:15.600]   Let's suppose that it gets all of those previous inputs correct.
[00:03:15.600 --> 00:03:19.000]   Is it the one true model of even-odd detection?
[00:03:19.000 --> 00:03:21.880]   Well, we can keep up our behavioral testing,
[00:03:21.880 --> 00:03:25.640]   but you should see by now that no matter how many inputs we offer this model,
[00:03:25.640 --> 00:03:27.800]   we will never get a guarantee for
[00:03:27.800 --> 00:03:30.840]   every integer string that it will behave as intended.
[00:03:30.840 --> 00:03:32.760]   For that guarantee,
[00:03:32.760 --> 00:03:36.720]   we need to look inside this black box.
[00:03:36.720 --> 00:03:41.500]   But of course, in the modern era of NLP models,
[00:03:41.500 --> 00:03:43.760]   they're hardly ever as easy to
[00:03:43.760 --> 00:03:47.060]   understand as the symbolic programs that I was just showing you.
[00:03:47.060 --> 00:03:52.840]   Instead, our models look like this huge array of birds nests,
[00:03:52.840 --> 00:03:56.560]   lots of internal states all connected to all the other states,
[00:03:56.560 --> 00:03:59.400]   completely opaque, they consist mainly of
[00:03:59.400 --> 00:04:01.940]   weights and multiplications of weights,
[00:04:01.940 --> 00:04:03.440]   they have no symbols in them.
[00:04:03.440 --> 00:04:07.180]   Therefore, they are very difficult for us to understand as
[00:04:07.180 --> 00:04:11.980]   humans in a way that will illuminate how they'll behave in unfamiliar settings.
[00:04:11.980 --> 00:04:16.500]   Of course, the dream of these models is that somehow we'll see
[00:04:16.500 --> 00:04:20.480]   patterns of activation or something that look like this and
[00:04:20.480 --> 00:04:24.280]   begin to reveal what is clearly a tree structure.
[00:04:24.280 --> 00:04:28.440]   You might think, aha, the model actually does implicitly represent
[00:04:28.440 --> 00:04:34.160]   constituents or named entities or other kinds of meaningful unit in language,
[00:04:34.160 --> 00:04:37.320]   and then you would feel like you truly understood it.
[00:04:37.320 --> 00:04:39.720]   But of course, that never happens.
[00:04:39.720 --> 00:04:42.400]   Instead, what we get when we look at these models is
[00:04:42.400 --> 00:04:45.980]   apparently just a mass of activations.
[00:04:45.980 --> 00:04:48.480]   You get the feeling that either there's nothing systematic
[00:04:48.480 --> 00:04:52.280]   happening here or we're just looking at it incorrectly.
[00:04:52.280 --> 00:04:55.860]   I'm going to offer a hopeful message on this point.
[00:04:55.860 --> 00:04:58.720]   The mess is only apparent when we
[00:04:58.720 --> 00:05:02.400]   use the right techniques and take the right perspective on these models.
[00:05:02.400 --> 00:05:08.440]   The best of them actually have found really systematic and interesting solutions.
[00:05:08.440 --> 00:05:11.560]   There's another angle we could take on this which connects
[00:05:11.560 --> 00:05:14.340]   back to the stuff about behavioral testing.
[00:05:14.340 --> 00:05:17.000]   I've showed this slide a few times in the course,
[00:05:17.000 --> 00:05:19.120]   it's progress on benchmarks.
[00:05:19.120 --> 00:05:24.080]   Along the x-axis, we have time and the y-axis is a normalized measure
[00:05:24.080 --> 00:05:28.280]   of distance from our estimate of human performance in the red line.
[00:05:28.280 --> 00:05:32.560]   One perspective on this slide is that progress is incredible.
[00:05:32.560 --> 00:05:35.520]   Benchmarks used to take us decades to get to
[00:05:35.520 --> 00:05:40.480]   saturate and now saturation happens in a matter of years.
[00:05:40.480 --> 00:05:43.640]   The other perspective on this plot, of course,
[00:05:43.640 --> 00:05:45.660]   is that the benchmarks are too weak.
[00:05:45.660 --> 00:05:49.840]   We have a suspicion that even the models that are performing well on
[00:05:49.840 --> 00:05:52.240]   these tasks are very far from
[00:05:52.240 --> 00:05:55.080]   the human capability that we are trying to diagnose.
[00:05:55.080 --> 00:05:58.320]   We feel that they have brittle solutions,
[00:05:58.320 --> 00:06:03.480]   concerning solutions that are going to reveal themselves in problematic ways.
[00:06:03.480 --> 00:06:05.720]   To really get past that concern,
[00:06:05.720 --> 00:06:08.980]   we need to go beyond this behavioral testing.
[00:06:08.980 --> 00:06:12.180]   There's another underlying motivation for this,
[00:06:12.180 --> 00:06:13.640]   which is systematicity.
[00:06:13.640 --> 00:06:16.240]   We talked about this in detail in the previous unit.
[00:06:16.240 --> 00:06:18.420]   It's an idea from Froeder and Pilishin.
[00:06:18.420 --> 00:06:21.780]   They say, what we mean when we say that linguistic capacities are
[00:06:21.780 --> 00:06:25.440]   systematic is that the ability to produce or understand
[00:06:25.440 --> 00:06:28.220]   some sentences is intrinsically connected to
[00:06:28.220 --> 00:06:30.760]   the ability to produce understand certain others.
[00:06:30.760 --> 00:06:34.640]   This is the idea that if you know what Sandy loves the puppy means,
[00:06:34.640 --> 00:06:37.540]   then you just know what the puppy loves Sandy means.
[00:06:37.540 --> 00:06:41.360]   If you recognize the distributional affinity between the turtle and
[00:06:41.360 --> 00:06:44.880]   the puppy, you also understand the turtle loves the puppy,
[00:06:44.880 --> 00:06:47.320]   Sandy loves the turtle, and so forth and so on for
[00:06:47.320 --> 00:06:50.640]   suddenly an enormous number of sentences.
[00:06:50.640 --> 00:06:53.800]   The human capacity for language makes it feels like
[00:06:53.800 --> 00:06:55.720]   these aren't new facts that you're learning,
[00:06:55.720 --> 00:06:58.200]   but rather things that follow directly from
[00:06:58.200 --> 00:07:00.600]   an underlying capability that you have.
[00:07:00.600 --> 00:07:05.120]   We offered compositionality as one possible explanation for why in
[00:07:05.120 --> 00:07:11.320]   the language realm our understanding and use of language is so systematic.
[00:07:11.320 --> 00:07:16.480]   The related point here is that you get the feeling that we won't fully trust
[00:07:16.480 --> 00:07:20.080]   our models until we can validate that the solutions that they have
[00:07:20.080 --> 00:07:24.160]   found are also systematic or maybe even compositional in this way.
[00:07:24.160 --> 00:07:27.440]   Otherwise, we'll have concerns that at crucial moments,
[00:07:27.440 --> 00:07:31.360]   their behaviors will be arbitrary seeming to us.
[00:07:31.360 --> 00:07:33.900]   There's another angle that you can take on
[00:07:33.900 --> 00:07:36.560]   this project of explaining model behaviors.
[00:07:36.560 --> 00:07:40.880]   The field has a lot of really crucial high-level goals that
[00:07:40.880 --> 00:07:44.760]   relate to safety and trustworthiness and so forth.
[00:07:44.760 --> 00:07:47.680]   We want to be able to certify where models
[00:07:47.680 --> 00:07:50.600]   can be used and where they should not be used.
[00:07:50.600 --> 00:07:54.320]   We want to be able to certify that our models are free from
[00:07:54.320 --> 00:07:57.160]   pernicious social biases and we want to offer
[00:07:57.160 --> 00:08:01.000]   guarantees that our models are safe in certain contexts.
[00:08:01.000 --> 00:08:03.360]   Given what I've said about behavioral testing,
[00:08:03.360 --> 00:08:05.440]   you can anticipate what I'll say now,
[00:08:05.440 --> 00:08:09.920]   behavioral testing alone will not suffice to achieve these goals.
[00:08:09.920 --> 00:08:12.880]   It could possibly tell us that a model does have
[00:08:12.880 --> 00:08:15.640]   a pernicious social bias or is unsafe in
[00:08:15.640 --> 00:08:17.760]   a certain context or has a certain area
[00:08:17.760 --> 00:08:20.040]   where it should be disapproved for use.
[00:08:20.040 --> 00:08:23.720]   But the positive guarantees free from social bias,
[00:08:23.720 --> 00:08:26.880]   safe in a context or approved for a given use,
[00:08:26.880 --> 00:08:31.080]   those will not be achieved until we get beyond behavioral testing.
[00:08:31.080 --> 00:08:36.640]   For those, we need to understand at a deep level what our models are
[00:08:36.640 --> 00:08:40.360]   structured by and what mechanisms guide their behavior.
[00:08:40.360 --> 00:08:43.920]   We need analytic guarantees about how they will behave,
[00:08:43.920 --> 00:08:46.040]   and that means beyond behavioral testing
[00:08:46.040 --> 00:08:49.560]   to really understand the causal mechanisms.
[00:08:49.560 --> 00:08:52.960]   In service of moving toward that goal,
[00:08:52.960 --> 00:08:56.440]   we're going to discuss, as I said, three main methods.
[00:08:56.440 --> 00:08:58.280]   The first one is probing.
[00:08:58.280 --> 00:09:00.640]   There are some precedents before Tenney et al,
[00:09:00.640 --> 00:09:02.120]   2019 in the literature,
[00:09:02.120 --> 00:09:05.720]   but I think Tenney et al give real credit for showing that
[00:09:05.720 --> 00:09:09.400]   probing was viable and interesting in the BERT era.
[00:09:09.400 --> 00:09:12.000]   Because what they did is essentially fit
[00:09:12.000 --> 00:09:13.540]   small supervised models to
[00:09:13.540 --> 00:09:15.680]   different layers in the BERT architecture.
[00:09:15.680 --> 00:09:18.100]   What they discovered is that there is a lot of
[00:09:18.100 --> 00:09:21.020]   systematic information encoded in those layers.
[00:09:21.020 --> 00:09:22.640]   This was really eye-opening.
[00:09:22.640 --> 00:09:24.520]   I think that most people believed that
[00:09:24.520 --> 00:09:26.520]   even though BERT was performant,
[00:09:26.520 --> 00:09:29.040]   it was performant in ways that depended on
[00:09:29.040 --> 00:09:31.640]   entirely unsystematic solutions.
[00:09:31.640 --> 00:09:35.000]   What probing began to suggest is that BERT had
[00:09:35.000 --> 00:09:38.200]   induced some really interesting causal structure
[00:09:38.200 --> 00:09:41.440]   about language as part of its training regime.
[00:09:41.440 --> 00:09:43.320]   The way this plot works is that we have
[00:09:43.320 --> 00:09:45.480]   the layers of BERT along the x-axis,
[00:09:45.480 --> 00:09:48.920]   and we have different phenomena in these different panels.
[00:09:48.920 --> 00:09:51.640]   What you can see in the blue especially,
[00:09:51.640 --> 00:09:54.280]   is that different kinds of information are emerging
[00:09:54.280 --> 00:09:55.680]   pretty systematically at
[00:09:55.680 --> 00:09:58.400]   different points in the BERT layer structure.
[00:09:58.400 --> 00:09:59.880]   For example, part of speech
[00:09:59.880 --> 00:10:01.680]   seems to emerge around the middle.
[00:10:01.680 --> 00:10:04.380]   Dependency parses emerge a bit later,
[00:10:04.380 --> 00:10:07.680]   named entities are fainter and later in the structure,
[00:10:07.680 --> 00:10:10.840]   semantic roles pretty strong near the middle,
[00:10:10.840 --> 00:10:13.400]   coreference information emerging later in
[00:10:13.400 --> 00:10:15.480]   the network, and so forth and so on.
[00:10:15.480 --> 00:10:18.080]   This was really eye-opening because I think people
[00:10:18.080 --> 00:10:20.400]   didn't anticipate that all of this would be so
[00:10:20.400 --> 00:10:24.800]   accessible in the hidden representations of these models.
[00:10:24.800 --> 00:10:27.280]   What we'll see is that probing is very
[00:10:27.280 --> 00:10:28.960]   rich in terms of characterizing
[00:10:28.960 --> 00:10:30.600]   these internal representations,
[00:10:30.600 --> 00:10:33.240]   but it cannot offer causal guarantees that
[00:10:33.240 --> 00:10:36.600]   this information is shaping model performance.
[00:10:36.600 --> 00:10:39.240]   We can complement that with a class of methods that
[00:10:39.240 --> 00:10:41.680]   are called feature attribution methods.
[00:10:41.680 --> 00:10:44.400]   The idea here is that we will essentially,
[00:10:44.400 --> 00:10:45.600]   in the deep learning context,
[00:10:45.600 --> 00:10:48.720]   study the gradients of our model and use those to
[00:10:48.720 --> 00:10:52.080]   understand which neurons and which collections of
[00:10:52.080 --> 00:10:55.440]   neurons are most guiding its input-output behavior.
[00:10:55.440 --> 00:10:57.920]   For these methods, we're going to get only
[00:10:57.920 --> 00:10:59.560]   faint characterizations of what
[00:10:59.560 --> 00:11:01.160]   the representations are doing,
[00:11:01.160 --> 00:11:04.000]   but we will get some causal guarantees.
[00:11:04.000 --> 00:11:06.160]   What I've got here to illustrate is
[00:11:06.160 --> 00:11:08.920]   a simple sentiment challenge set.
[00:11:08.920 --> 00:11:11.240]   There are a bunch of hard cases involving
[00:11:11.240 --> 00:11:13.200]   attitude-taking with verbs like
[00:11:13.200 --> 00:11:15.760]   say and shifts in sentiment.
[00:11:15.760 --> 00:11:18.680]   What you see here in the highlighting is that the model
[00:11:18.680 --> 00:11:21.800]   seems to be making use of very intuitive information
[00:11:21.800 --> 00:11:25.240]   to shape what are very good predictions for these cases.
[00:11:25.240 --> 00:11:28.480]   Again, that might be reassuring to us that the model is
[00:11:28.480 --> 00:11:30.960]   doing something human interpretable
[00:11:30.960 --> 00:11:33.640]   and systematic under the hood.
[00:11:33.640 --> 00:11:37.320]   Then finally, we're going to study intervention-based methods.
[00:11:37.320 --> 00:11:39.480]   This is a large class of methods.
[00:11:39.480 --> 00:11:42.360]   I think I'll save the details for a later screencast,
[00:11:42.360 --> 00:11:44.840]   but the essence of this is that we're going to
[00:11:44.840 --> 00:11:47.080]   perform brain surgery on our models.
[00:11:47.080 --> 00:11:49.800]   We are going to manipulate their internal states and
[00:11:49.800 --> 00:11:51.400]   study the effects that that
[00:11:51.400 --> 00:11:53.800]   has on their input-output behavior.
[00:11:53.800 --> 00:11:56.760]   In that way, we can piece together
[00:11:56.760 --> 00:11:59.200]   an understanding of the causal mechanisms
[00:11:59.200 --> 00:12:01.360]   that shape the model's behavior,
[00:12:01.360 --> 00:12:06.120]   pushing us toward exactly the guarantees that we need.
[00:12:06.120 --> 00:12:09.720]   Let me, by way of wrapping up this opening screencast,
[00:12:09.720 --> 00:12:11.760]   offer you a analytical framework for
[00:12:11.760 --> 00:12:14.080]   thinking about the methods that we're going to discuss.
[00:12:14.080 --> 00:12:15.960]   Let's say we have three goals.
[00:12:15.960 --> 00:12:19.000]   First, we want to characterize representations,
[00:12:19.000 --> 00:12:21.560]   input representations, output representations,
[00:12:21.560 --> 00:12:23.220]   but maybe most crucially,
[00:12:23.220 --> 00:12:26.240]   internal representations for our models.
[00:12:26.240 --> 00:12:27.920]   We also want to make
[00:12:27.920 --> 00:12:32.320]   causal claims about the role of those representations.
[00:12:32.320 --> 00:12:35.320]   Once we have started to learn about how the models behave,
[00:12:35.320 --> 00:12:39.200]   we would like to have an easy path to actually improving
[00:12:39.200 --> 00:12:41.760]   models based on those insights so that we don't simply
[00:12:41.760 --> 00:12:46.400]   passively study them but rather actively make them better.
[00:12:46.400 --> 00:12:49.160]   That's a scorecard. Let's think about these methods.
[00:12:49.160 --> 00:12:51.640]   What we'll see is that probing is great,
[00:12:51.640 --> 00:12:54.120]   as I said, at characterizing representations,
[00:12:54.120 --> 00:12:57.000]   but it cannot offer causal inferences,
[00:12:57.000 --> 00:12:59.340]   and it's unclear whether there's a path from
[00:12:59.340 --> 00:13:02.100]   probing to actually improving models.
[00:13:02.100 --> 00:13:04.480]   For feature attributions, we get
[00:13:04.480 --> 00:13:08.040]   only faint characterizations of the model internal states.
[00:13:08.040 --> 00:13:10.560]   We pretty much just get weights that tell us how
[00:13:10.560 --> 00:13:12.680]   much individual neurons contribute
[00:13:12.680 --> 00:13:14.580]   to the input-output behavior.
[00:13:14.580 --> 00:13:18.040]   But we can get causal guarantees from some of these methods.
[00:13:18.040 --> 00:13:21.720]   We'll talk about integrated gradients as an example of that.
[00:13:21.720 --> 00:13:23.960]   Then these intervention-based methods,
[00:13:23.960 --> 00:13:25.640]   I've got smileys across the board.
[00:13:25.640 --> 00:13:27.080]   This is the class of methods that
[00:13:27.080 --> 00:13:28.760]   I've been most deeply involved with.
[00:13:28.760 --> 00:13:30.840]   It's the class of methods that I favor,
[00:13:30.840 --> 00:13:32.760]   and that is in large part because of
[00:13:32.760 --> 00:13:34.520]   how well they do on this scorecard.
[00:13:34.520 --> 00:13:37.440]   With these methods, we can characterize representations,
[00:13:37.440 --> 00:13:39.700]   we can offer causal guarantees,
[00:13:39.700 --> 00:13:42.400]   and as you'll see, there's an easy path to using
[00:13:42.400 --> 00:13:45.600]   the insights we gained to actually improve our models.
[00:13:45.600 --> 00:13:48.680]   That's the name of the game for me.
[00:13:48.680 --> 00:13:51.840]   We will now begin systematically working through
[00:13:51.840 --> 00:13:54.600]   these three classes of methods trying to more deeply
[00:13:54.600 --> 00:13:56.380]   understand how they work and
[00:13:56.380 --> 00:13:59.440]   why my scorecard looks the way it does.
[00:13:59.440 --> 00:14:09.440]   [BLANK_AUDIO]

