
[00:00:00.000 --> 00:00:03.000]   Who's your Realtor?
[00:01:47.000 --> 00:01:51.000]   especially college scholarships.
[00:01:51.000 --> 00:01:55.000]   Some months back, a friend of mine who has many teenagers
[00:01:55.000 --> 00:02:01.000]   wrote to me and said, "Joshua, how can I teach my teens to make money?
[00:02:01.000 --> 00:02:04.000]   What's the best way for my teens to make money?"
[00:02:04.000 --> 00:02:07.000]   And I've been thinking about this for quite a long time.
[00:02:07.000 --> 00:02:11.000]   And obviously, there are many things that a teenager can do to make money.
[00:02:11.000 --> 00:02:14.000]   And in fact, I'm very grateful that there are more things today
[00:02:14.000 --> 00:02:17.000]   that a teenager can do to make money
[00:02:17.000 --> 00:02:20.000]   more than ever before in human history.
[00:02:20.000 --> 00:02:24.000]   Now, this particular friend of mine lives in Europe,
[00:02:24.000 --> 00:02:28.000]   and there's not a place where, in the town where she lives,
[00:02:28.000 --> 00:02:31.000]   it's unlikely that her children will be able to get
[00:02:31.000 --> 00:02:34.000]   kind of the standard American-style summer job.
[00:02:34.000 --> 00:02:37.000]   But that doesn't mean that there aren't employment opportunities.
[00:02:37.000 --> 00:02:40.000]   There's always opportunities for a job.
[00:02:40.000 --> 00:02:43.000]   But I think, don't we want a little bit more?
[00:02:43.000 --> 00:02:45.000]   Wouldn't we like to make a little bit more money?
[00:02:45.000 --> 00:02:48.000]   And so you go to things like self-employment or business.
[00:02:48.000 --> 00:02:51.000]   Well, one of the nice things about the Internet Revolution
[00:02:51.000 --> 00:02:54.000]   is that if a teenager is able to develop the skills
[00:02:54.000 --> 00:02:58.000]   that the market values, then that teenager can access
[00:02:58.000 --> 00:03:00.000]   a global job market.
[00:03:00.000 --> 00:03:03.000]   And because of being able to be hidden behind a computer screen,
[00:03:03.000 --> 00:03:07.000]   oftentimes the teenager can surpass the standard built-in age discrimination
[00:03:07.000 --> 00:03:11.000]   that teens face in the workplace and earn good money.
[00:03:11.000 --> 00:03:13.000]   However, as I've thought about that--
[00:03:13.000 --> 00:03:16.000]   and by the way, I'll talk more about that in the future--
[00:03:16.000 --> 00:03:21.000]   as I've thought about that, I've always been struck by this balance.
[00:03:21.000 --> 00:03:24.000]   And the balance is simply how many teens
[00:03:24.000 --> 00:03:28.000]   are actually going to be able to do that stuff.
[00:03:28.000 --> 00:03:33.000]   We celebrate enormously successful teen entrepreneurs, rightly,
[00:03:33.000 --> 00:03:36.000]   because it's very unusual.
[00:03:36.000 --> 00:03:38.000]   And while all of us think that, of course,
[00:03:38.000 --> 00:03:41.000]   our children are absolutely number one,
[00:03:41.000 --> 00:03:44.000]   we have to acknowledge the fact that, many times,
[00:03:44.000 --> 00:03:47.000]   teens don't have these skills, and it's difficult to develop them.
[00:03:47.000 --> 00:03:50.000]   That's not to say that we shouldn't be giving them good coaching
[00:03:50.000 --> 00:03:53.000]   to help and develop those skills,
[00:03:53.000 --> 00:03:58.000]   but all of the alternative radical ideas related to making money as a teenager
[00:03:58.000 --> 00:04:03.000]   require some pretty ambitious teens and pretty ambitious parents.
[00:04:03.000 --> 00:04:07.000]   Now, it's my aspiration to raise such ambitious teens,
[00:04:07.000 --> 00:04:10.000]   and I hope that you also have that ambition.
[00:04:10.000 --> 00:04:14.000]   But as I've thought about it, I think there is a simpler path.
[00:04:14.000 --> 00:04:18.000]   And the path doesn't sound very radical when I talk about it,
[00:04:18.000 --> 00:04:20.000]   because guess what it is?
[00:04:20.000 --> 00:04:26.000]   Do well in school, go to college, get advanced degrees if possible,
[00:04:26.000 --> 00:04:30.000]   and get great jobs that start great careers.
[00:04:30.000 --> 00:04:33.000]   It doesn't sound all that unique,
[00:04:33.000 --> 00:04:36.000]   because, after all, that's the standard advice.
[00:04:36.000 --> 00:04:40.000]   But just because it's the standard advice doesn't mean that it's wrong.
[00:04:40.000 --> 00:04:44.000]   In fact, in this case, I think it is good advice.
[00:04:44.000 --> 00:04:45.000]   I've pondered this for years.
[00:04:45.000 --> 00:04:49.000]   I've pondered how much do we encourage entrepreneurial endeavors,
[00:04:49.000 --> 00:04:53.000]   how much do we do that as compared to academics.
[00:04:53.000 --> 00:04:59.000]   And I'm pretty well persuaded that academics should be the primary job
[00:04:59.000 --> 00:05:03.000]   for most of our young people.
[00:05:03.000 --> 00:05:11.000]   Students who are skilled with academics should focus intensively on those academics,
[00:05:11.000 --> 00:05:18.000]   and they should focus as intensively as possible on mastering that system.
[00:05:18.000 --> 00:05:21.000]   Teens should focus on getting straight A's.
[00:05:21.000 --> 00:05:25.000]   Teens should develop study skills so that they can do well in class
[00:05:25.000 --> 00:05:29.000]   and get top grades without actually working all that hard.
[00:05:29.000 --> 00:05:34.000]   They should put hours and hours and hours into preparation for important exams,
[00:05:34.000 --> 00:05:42.000]   such as PSAT and SAT and ACT and AP exams and CLEP exams and A-levels
[00:05:42.000 --> 00:05:52.000]   and the Abitur and all of the various baccalaureate, the baccirato,
[00:05:52.000 --> 00:05:56.000]   all the European things as well, if you're a European listener.
[00:05:56.000 --> 00:05:57.000]   You should do all of them.
[00:05:57.000 --> 00:06:00.000]   And those are really, really important.
[00:06:00.000 --> 00:06:04.000]   Those are really, really important for you to focus your time and your attention on.
[00:06:04.000 --> 00:06:06.000]   That system is not broken.
[00:06:06.000 --> 00:06:10.000]   That system is working very, very well today.
[00:06:10.000 --> 00:06:15.000]   Students who are capable of high academics and who are motivated for high academics
[00:06:15.000 --> 00:06:18.000]   should be focusing on that system.
[00:06:18.000 --> 00:06:22.000]   And I do not think that from a purely financial perspective,
[00:06:22.000 --> 00:06:29.000]   I do not think that there is any after-school job that is going to be superior
[00:06:29.000 --> 00:06:33.000]   in high school to doing well in academics.
[00:06:33.000 --> 00:06:38.000]   Now, I'm going to focus today's podcast on the topic of scholarships,
[00:06:38.000 --> 00:06:42.000]   but I'd like to talk for a few hours about all the things that you can add to that,
[00:06:42.000 --> 00:06:45.000]   all the things you can do in high school, all of the internships you can take,
[00:06:45.000 --> 00:06:48.000]   all of the unpaid work, all of the volunteering,
[00:06:48.000 --> 00:06:50.000]   and how even that stuff really pays off.
[00:06:50.000 --> 00:06:55.000]   My point here is just to say that that system works really, really well.
[00:06:55.000 --> 00:07:04.000]   And I fear that in the current strong swing against college,
[00:07:04.000 --> 00:07:07.000]   I fear that we've swung very far the other way.
[00:07:07.000 --> 00:07:11.000]   And I fear that we're going to spend more time telling students,
[00:07:11.000 --> 00:07:13.000]   "You've got to focus on building a business,"
[00:07:13.000 --> 00:07:18.000]   instead of helping them to succeed within the academic environment and context.
[00:07:18.000 --> 00:07:21.000]   Here's how I see it pretty simply.
[00:07:21.000 --> 00:07:29.000]   If you are capable of getting good grades or if you're capable of doing well on exams,
[00:07:29.000 --> 00:07:36.000]   either by dint of your natural intellectual ability or your absolute work ethic,
[00:07:36.000 --> 00:07:40.000]   that should be your primary focus.
[00:07:40.000 --> 00:07:43.000]   That should be your major area of focus.
[00:07:43.000 --> 00:07:50.000]   Do entrepreneurship if you're interested, but don't think that that's a magic path to wealth.
[00:07:50.000 --> 00:07:53.000]   It may work out well, and you can always do entrepreneurship,
[00:07:53.000 --> 00:07:56.000]   and you can do entrepreneurship alongside your academics.
[00:07:56.000 --> 00:08:02.000]   It's valuable, but don't neglect focus on academics.
[00:08:02.000 --> 00:08:07.000]   Why don't people see the value of focusing on academics?
[00:08:07.000 --> 00:08:11.000]   One big reason, which is what I'm focusing on today,
[00:08:11.000 --> 00:08:17.000]   is that they think the payoff is many, many years in the future.
[00:08:17.000 --> 00:08:23.000]   They think that the payoff is, "Well, after I finish high school and after I go to college
[00:08:23.000 --> 00:08:27.000]   and after I pay $150,000 for a college degree,
[00:08:27.000 --> 00:08:31.000]   then I'll finally start to make some money,
[00:08:31.000 --> 00:08:35.000]   and maybe I can have my student loans paid off by the time I'm 30."
[00:08:35.000 --> 00:08:37.000]   Well, this is nonsense.
[00:08:37.000 --> 00:08:40.000]   This is ignorant nonsense.
[00:08:40.000 --> 00:08:46.000]   Your focus on academics can pay off very, very quickly,
[00:08:46.000 --> 00:08:50.000]   possibly in as few as two or three or four years, depending on your age,
[00:08:50.000 --> 00:08:56.000]   if you know what you're doing and you're paying attention to life.
[00:08:56.000 --> 00:09:01.000]   Now, unfortunately, most of us, when we are teens, we are ignorant.
[00:09:01.000 --> 00:09:07.000]   I was ignorant, totally ignorant in high school, totally ignorant in college.
[00:09:07.000 --> 00:09:13.000]   I never even imagined that there were people out there who could give me good advice.
[00:09:13.000 --> 00:09:17.000]   I have a friend of mine who is a professional guidance counselor
[00:09:17.000 --> 00:09:19.000]   at an elite international private school,
[00:09:19.000 --> 00:09:24.000]   and his entire career is helping the children of elite parents
[00:09:24.000 --> 00:09:29.000]   to go and fulfill their dreams and be placed into a college environment
[00:09:29.000 --> 00:09:31.000]   that is a good fit for them.
[00:09:31.000 --> 00:09:38.000]   Not a single time in high school did I meet with my guidance counselor.
[00:09:38.000 --> 00:09:41.000]   I knew the guy's name, but I never had a clue.
[00:09:41.000 --> 00:09:44.000]   No one explained to me what a guidance counselor was,
[00:09:44.000 --> 00:09:46.000]   what a guidance counselor did.
[00:09:46.000 --> 00:09:50.000]   I didn't even imagine that there were resources out there that could help me.
[00:09:50.000 --> 00:09:52.000]   I didn't have a clue.
[00:09:52.000 --> 00:09:57.000]   When I went to college, I didn't engage in any strategic planning.
[00:09:57.000 --> 00:10:04.000]   I took an SAT exam.
[00:10:04.000 --> 00:10:06.000]   I never studied for an SAT exam.
[00:10:06.000 --> 00:10:07.000]   I just took it.
[00:10:07.000 --> 00:10:08.000]   I got a score.
[00:10:08.000 --> 00:10:10.000]   I assumed that that was the point of the test.
[00:10:10.000 --> 00:10:13.000]   I didn't know you could study for the SAT exam.
[00:10:13.000 --> 00:10:15.000]   I didn't know you could take prep classes.
[00:10:15.000 --> 00:10:16.000]   I didn't know you could take prep books.
[00:10:16.000 --> 00:10:21.000]   No one sat me down and explained to me how crucial this number was.
[00:10:21.000 --> 00:10:22.000]   I never had a clue.
[00:10:22.000 --> 00:10:26.000]   I just went, took the exam, got a score, figured, "All right, now that's done."
[00:10:26.000 --> 00:10:28.000]   I never took the ACT.
[00:10:28.000 --> 00:10:30.000]   I never tried for much of anything else.
[00:10:30.000 --> 00:10:33.000]   I took a few AP exams because I thought it would be fun,
[00:10:33.000 --> 00:10:36.000]   but no one coached me on actually preparing for the AP exams.
[00:10:36.000 --> 00:10:38.000]   I didn't know how to study.
[00:10:38.000 --> 00:10:41.000]   I just kind of naturally did okay and passed most of them
[00:10:41.000 --> 00:10:44.000]   and failed a few of them and kind of went on with my life.
[00:10:44.000 --> 00:10:47.000]   When I went to college, I applied to exactly one college,
[00:10:47.000 --> 00:10:52.000]   and I applied for exactly one extra scholarship
[00:10:52.000 --> 00:10:56.000]   simply because my siblings had all gotten the scholarship.
[00:10:56.000 --> 00:10:59.000]   I didn't know you could go and apply for many scholarships,
[00:10:59.000 --> 00:11:03.000]   so I got a little bit of merit-based aid from my university.
[00:11:03.000 --> 00:11:07.000]   I got a Florida Bright Futures scholarship based upon my GPA,
[00:11:07.000 --> 00:11:10.000]   and I got a Kiwanis scholarship because all of my siblings
[00:11:10.000 --> 00:11:13.000]   had all gotten a Kiwanis scholarship, and so I knew to apply for that.
[00:11:13.000 --> 00:11:17.000]   I never even dreamed that I could go and apply for more scholarships,
[00:11:17.000 --> 00:11:20.000]   and so I trotted off to school, and with the owed money,
[00:11:20.000 --> 00:11:22.000]   started borrowing money on student loans,
[00:11:22.000 --> 00:11:24.000]   and I just assumed that was the way it was.
[00:11:24.000 --> 00:11:30.000]   I was entirely ignorant of all of the world of money
[00:11:30.000 --> 00:11:34.000]   that could be thrown at me if I just exercised a little bit of attention
[00:11:34.000 --> 00:11:38.000]   and a little bit of initiative, and I desperately wish
[00:11:38.000 --> 00:11:40.000]   I had figured it out that I'd gotten coaching.
[00:11:40.000 --> 00:11:43.000]   I don't blame anybody. I don't blame anybody but myself,
[00:11:43.000 --> 00:11:46.000]   but I was too dumb to go and ask questions.
[00:11:46.000 --> 00:11:51.000]   So what I want to explain to you, either the teen or aspiring teen
[00:11:51.000 --> 00:11:56.000]   or parent of a teen today, is how wrong that thinking is,
[00:11:56.000 --> 00:12:00.000]   and I want to tell you why studying for school, taking exams,
[00:12:00.000 --> 00:12:04.000]   doing exam prep, applying for scholarships
[00:12:04.000 --> 00:12:08.000]   is probably the best-paying work that you can possibly do.
[00:12:08.000 --> 00:12:11.000]   Now, let me defend quickly the point I made about
[00:12:11.000 --> 00:12:13.000]   you don't have to wait for many years.
[00:12:13.000 --> 00:12:17.000]   Here's the math of college. When people look at college,
[00:12:17.000 --> 00:12:21.000]   especially today in which it has now become very popular
[00:12:21.000 --> 00:12:24.000]   to gripe about college and to say it's not worth it,
[00:12:24.000 --> 00:12:26.000]   the whole system is broken, it's not worth it,
[00:12:26.000 --> 00:12:32.000]   and it's too expensive, what if college were free?
[00:12:32.000 --> 00:12:35.000]   What if college were entirely free?
[00:12:35.000 --> 00:12:41.000]   Even better, what if you got paid to go to college?
[00:12:41.000 --> 00:12:46.000]   Would that change the math? Would that change the calculus?
[00:12:46.000 --> 00:12:48.000]   And here I mean calculus in the sense that
[00:12:48.000 --> 00:12:53.000]   your own calculations of cost versus value.
[00:12:53.000 --> 00:12:58.000]   This is the missing point that people do not understand
[00:12:58.000 --> 00:13:00.000]   when it comes to college.
[00:13:00.000 --> 00:13:05.000]   I would be very slow to encourage someone to go to college
[00:13:05.000 --> 00:13:10.000]   if the cost of college was to go out and spend $150,000
[00:13:10.000 --> 00:13:14.000]   and borrow it on student loans to go and get a mediocre degree
[00:13:14.000 --> 00:13:16.000]   from a mediocre college.
[00:13:16.000 --> 00:13:19.000]   In that specific circumstance, I'm going to be on
[00:13:19.000 --> 00:13:23.000]   the anti-college bandwagon for that student.
[00:13:23.000 --> 00:13:25.000]   Instead of that, I'm going to go and encourage the student
[00:13:25.000 --> 00:13:30.000]   to go and get a quick, fast, and easy degree online
[00:13:30.000 --> 00:13:33.000]   so you can just check the box that I've got a college degree,
[00:13:33.000 --> 00:13:35.000]   and I'm going to focus on getting into a career,
[00:13:35.000 --> 00:13:39.000]   getting into work, and just getting the degree fast, easy, and cheap.
[00:13:39.000 --> 00:13:42.000]   I'm not going to go deep into college financing,
[00:13:42.000 --> 00:13:46.000]   but the idea that college today is expensive is absurd.
[00:13:46.000 --> 00:13:50.000]   College is only expensive at universities that publish
[00:13:50.000 --> 00:13:54.000]   their rates as expensive private universities,
[00:13:54.000 --> 00:13:58.000]   and it's only expensive if you don't get any financial aid.
[00:13:58.000 --> 00:14:01.000]   And yet, in the way the U.S. system works,
[00:14:01.000 --> 00:14:05.000]   they throw financial aid money at you if you're intelligent
[00:14:05.000 --> 00:14:08.000]   and get good grades and a little bit accomplished,
[00:14:08.000 --> 00:14:11.000]   even if you are dedicated to understanding the system.
[00:14:11.000 --> 00:14:14.000]   Ironically, I have an outline somewhere in my notes
[00:14:14.000 --> 00:14:16.000]   for a show that I had planned to do.
[00:14:16.000 --> 00:14:18.000]   I'll just give you the teaser of it.
[00:14:18.000 --> 00:14:21.000]   Did you know that the rate of--
[00:14:21.000 --> 00:14:24.000]   in which Scandinavia? I think it was Sweden--
[00:14:24.000 --> 00:14:27.000]   that in one of the Scandinavian countries,
[00:14:27.000 --> 00:14:31.000]   which has a lot of social welfare,
[00:14:31.000 --> 00:14:34.000]   in which tuition is entirely free,
[00:14:34.000 --> 00:14:37.000]   did you know that-- I think it's Sweden--
[00:14:37.000 --> 00:14:41.000]   has some of the highest rates of student loan balances,
[00:14:41.000 --> 00:14:45.000]   even though the college itself is free,
[00:14:45.000 --> 00:14:48.000]   without tuition, for everybody?
[00:14:48.000 --> 00:14:50.000]   It's astonishing.
[00:14:50.000 --> 00:14:52.000]   Whereas in the United States,
[00:14:52.000 --> 00:14:54.000]   there's so much money available for you,
[00:14:54.000 --> 00:14:59.000]   not only with regard to scholarships and financial aid,
[00:14:59.000 --> 00:15:01.000]   real financial aid, not loans,
[00:15:01.000 --> 00:15:03.000]   but in all kinds of grants and fellowships
[00:15:03.000 --> 00:15:05.000]   and things that are available to you,
[00:15:05.000 --> 00:15:07.000]   but even just in terms of the low cost.
[00:15:07.000 --> 00:15:09.000]   Let me stay on track.
[00:15:09.000 --> 00:15:11.000]   The point is, back to the $150,000 school.
[00:15:11.000 --> 00:15:13.000]   Now let's change it.
[00:15:13.000 --> 00:15:16.000]   Let's assume that I tell you you can go to a college
[00:15:16.000 --> 00:15:18.000]   and the college or some benefactor
[00:15:18.000 --> 00:15:23.000]   is going to pay the full cost of $150,000 for you.
[00:15:23.000 --> 00:15:26.000]   That $150,000 is going to cover all your tuition,
[00:15:26.000 --> 00:15:28.000]   all of your room and board,
[00:15:28.000 --> 00:15:30.000]   all of your expenses, your books,
[00:15:30.000 --> 00:15:32.000]   everything for you.
[00:15:32.000 --> 00:15:36.000]   And all you got to do is go to college and get good grades.
[00:15:36.000 --> 00:15:38.000]   Well, now everything changes
[00:15:38.000 --> 00:15:41.000]   because the normal course load
[00:15:41.000 --> 00:15:45.000]   in a university is laughably easy.
[00:15:45.000 --> 00:15:50.000]   Full-time is considered to be 12 to 18 credit hours per week
[00:15:50.000 --> 00:15:54.000]   over the course of two academic semesters per year.
[00:15:54.000 --> 00:15:58.000]   Let's say you're taking a full course load of 18 hours per week.
[00:15:58.000 --> 00:16:02.000]   Now, my engineering students and my mathematics students
[00:16:02.000 --> 00:16:04.000]   and somebody, maybe the physics student,
[00:16:04.000 --> 00:16:06.000]   something like that, will quickly know
[00:16:06.000 --> 00:16:09.000]   that yes, you do actually have to do homework.
[00:16:09.000 --> 00:16:12.000]   I never even dreamed of doing an hour of homework
[00:16:12.000 --> 00:16:13.000]   for every hour of class,
[00:16:13.000 --> 00:16:15.000]   even though I probably should have.
[00:16:15.000 --> 00:16:16.000]   I never did that.
[00:16:16.000 --> 00:16:18.000]   Not a single time did I ever do an hour of homework
[00:16:18.000 --> 00:16:20.000]   for an hour of class.
[00:16:20.000 --> 00:16:22.000]   So, but let's say that you do.
[00:16:22.000 --> 00:16:24.000]   Let's say that you're going to do an hour of homework
[00:16:24.000 --> 00:16:26.000]   for every hour of class.
[00:16:26.000 --> 00:16:29.000]   You're up to 36 hours a week of obligation.
[00:16:29.000 --> 00:16:31.000]   Let's say that you are an engineering student
[00:16:31.000 --> 00:16:33.000]   or a physics student,
[00:16:33.000 --> 00:16:36.000]   and now you're going to do two hours of homework
[00:16:36.000 --> 00:16:41.000]   reliably and consistently for every one hour of class,
[00:16:41.000 --> 00:16:44.000]   and you're going to take 18 credit hours.
[00:16:44.000 --> 00:16:47.000]   Guess what your obligation is?
[00:16:47.000 --> 00:16:50.000]   54 hours a week.
[00:16:50.000 --> 00:16:52.000]   54 hours a week, that's it.
[00:16:52.000 --> 00:16:55.000]   And you're living in a place where you walk to class,
[00:16:55.000 --> 00:16:57.000]   you walk back to your dorm room.
[00:16:57.000 --> 00:17:00.000]   That is the easiest life anybody can imagine.
[00:17:00.000 --> 00:17:04.000]   You have another 60 hours a week available to you
[00:17:04.000 --> 00:17:07.000]   that you could do anything you want.
[00:17:07.000 --> 00:17:11.000]   There's nothing you can't do when you're in college,
[00:17:11.000 --> 00:17:13.000]   even if you're taking a full load.
[00:17:13.000 --> 00:17:15.000]   So all of the things that people alternatively say,
[00:17:15.000 --> 00:17:17.000]   they say, "Well, you know what?
[00:17:17.000 --> 00:17:19.000]   I shouldn't go to college because I want to start a business."
[00:17:19.000 --> 00:17:21.000]   Guess what? Go start the business.
[00:17:21.000 --> 00:17:22.000]   Let someone pay for your college degree.
[00:17:22.000 --> 00:17:23.000]   Go start the business.
[00:17:23.000 --> 00:17:25.000]   Or they say, "I've got to work." You can work.
[00:17:25.000 --> 00:17:28.000]   My senior year of college is about the only year of college
[00:17:28.000 --> 00:17:29.000]   that I'm actually proud of.
[00:17:29.000 --> 00:17:32.000]   I took 19 hours of class, both semesters,
[00:17:32.000 --> 00:17:33.000]   senior capstone courses.
[00:17:33.000 --> 00:17:36.000]   I worked 40 hours a week at a job I had to commute to.
[00:17:36.000 --> 00:17:38.000]   I got straight A's, and I still had plenty of time
[00:17:38.000 --> 00:17:39.000]   for fun and travel.
[00:17:39.000 --> 00:17:40.000]   It worked fine.
[00:17:40.000 --> 00:17:42.000]   So you can work a 40-hour job.
[00:17:42.000 --> 00:17:44.000]   You don't have to choose is the point.
[00:17:44.000 --> 00:17:47.000]   This is what's fallacious about everyone who argues about,
[00:17:47.000 --> 00:17:49.000]   "Should I go to college or should I not go to college?"
[00:17:49.000 --> 00:17:52.000]   So if you're the kind of person who is college-bound
[00:17:52.000 --> 00:17:55.000]   based upon either you can do academics or you can hustle
[00:17:55.000 --> 00:17:58.000]   and learn to do academics, you should go to college,
[00:17:58.000 --> 00:18:00.000]   especially if you can get people to pay for it.
[00:18:00.000 --> 00:18:02.000]   So how do you get people to pay for it?
[00:18:02.000 --> 00:18:05.000]   Well, you sit down and you start figuring out
[00:18:05.000 --> 00:18:07.000]   how the system works.
[00:18:07.000 --> 00:18:10.000]   And the secret to the system is a couple-fold.
[00:18:10.000 --> 00:18:13.000]   I'm doing a very focused podcast here.
[00:18:13.000 --> 00:18:16.000]   I probably should teach a 20-hour class on it.
[00:18:16.000 --> 00:18:22.000]   But the basic idea is you need to highly qualify yourself
[00:18:22.000 --> 00:18:26.000]   on the metrics that people are looking for for qualifications
[00:18:26.000 --> 00:18:29.000]   and then market yourself to all of the people
[00:18:29.000 --> 00:18:32.000]   who are looking for qualified people like you.
[00:18:32.000 --> 00:18:34.000]   Now, there's a little bit of distinction that we need to make
[00:18:34.000 --> 00:18:37.000]   because the kinds of things that a student should do
[00:18:37.000 --> 00:18:41.000]   to qualify himself, for example, to get into an elite university
[00:18:41.000 --> 00:18:43.000]   are often different than the kinds of things
[00:18:43.000 --> 00:18:45.000]   that a student should do to qualify himself
[00:18:45.000 --> 00:18:47.000]   for getting a great scholarship.
[00:18:47.000 --> 00:18:52.000]   So I'm not talking today about admission to an elite university.
[00:18:52.000 --> 00:18:56.000]   Here's what I never understood, though, when I was young.
[00:18:56.000 --> 00:18:59.000]   I remember one time I was briefly--
[00:18:59.000 --> 00:19:02.000]   I was taking a class in college,
[00:19:02.000 --> 00:19:05.000]   and someone told me about a Harvard MBA
[00:19:05.000 --> 00:19:07.000]   and how prestigious it was.
[00:19:07.000 --> 00:19:10.000]   And I thought for a moment, "Hey, that'd be pretty cool.
[00:19:10.000 --> 00:19:12.000]   "Wouldn't it be fun to go and do something prestigious
[00:19:12.000 --> 00:19:13.000]   "like apply to Harvard?"
[00:19:13.000 --> 00:19:16.000]   So first thing I did was pulled up the tuition schedule
[00:19:16.000 --> 00:19:18.000]   for the Harvard MBA program,
[00:19:18.000 --> 00:19:21.000]   and actually at one point I actually toured the campus.
[00:19:21.000 --> 00:19:24.000]   I was in Boston for a business trip of some kind,
[00:19:24.000 --> 00:19:25.000]   and I toured the campus.
[00:19:25.000 --> 00:19:27.000]   And I thought, "Hey, that'd be pretty cool."
[00:19:27.000 --> 00:19:28.000]   But the first thing I did was saw the tuition,
[00:19:28.000 --> 00:19:30.000]   and I immediately assumed, "Well, I can't afford that.
[00:19:30.000 --> 00:19:31.000]   "I can't do it."
[00:19:31.000 --> 00:19:33.000]   I didn't have any understanding
[00:19:33.000 --> 00:19:35.000]   of how financial aid works for colleges.
[00:19:35.000 --> 00:19:37.000]   So if you're interested in going into an elite university,
[00:19:37.000 --> 00:19:40.000]   what you need to know is that elite universities
[00:19:40.000 --> 00:19:45.000]   have about a bazillion dollars in their funds,
[00:19:45.000 --> 00:19:46.000]   in their endowment funds,
[00:19:46.000 --> 00:19:49.000]   and if you can get accepted to an elite university,
[00:19:49.000 --> 00:19:51.000]   regardless of your financial situation,
[00:19:51.000 --> 00:19:53.000]   you're going to be able to go.
[00:19:53.000 --> 00:19:55.000]   I'm not sure that's always the right move,
[00:19:55.000 --> 00:19:57.000]   but just know that if you can get accepted
[00:19:57.000 --> 00:19:59.000]   to an elite university, you're going to be able to go.
[00:19:59.000 --> 00:20:02.000]   But there are many other paths,
[00:20:02.000 --> 00:20:04.000]   and if you want to go to college and not pay for it,
[00:20:04.000 --> 00:20:06.000]   you absolutely can make it happen.
[00:20:06.000 --> 00:20:09.000]   You may not be able to do it at an elite university,
[00:20:09.000 --> 00:20:12.000]   but you can certainly do it at a high-quality university,
[00:20:12.000 --> 00:20:14.000]   because if your academic credentials are sufficient,
[00:20:14.000 --> 00:20:17.000]   you can get a merit-based full ride.
[00:20:17.000 --> 00:20:20.000]   And a full ride, or even a full tuition,
[00:20:20.000 --> 00:20:22.000]   just to clarify the terms,
[00:20:22.000 --> 00:20:24.000]   a full tuition means they'll pay all your tuition costs,
[00:20:24.000 --> 00:20:27.000]   but you're still responsible for room and board and books and fees,
[00:20:27.000 --> 00:20:29.000]   or a full ride, in which case they'll pay for your tuition
[00:20:29.000 --> 00:20:31.000]   and your room and board and your books and your fees.
[00:20:31.000 --> 00:20:32.000]   So these are available.
[00:20:32.000 --> 00:20:35.000]   Full rides are available for an undergraduate degree.
[00:20:35.000 --> 00:20:38.000]   Full rides are available for a graduate degree.
[00:20:38.000 --> 00:20:40.000]   Full rides are available for law school.
[00:20:40.000 --> 00:20:42.000]   Full rides are available for medical school.
[00:20:42.000 --> 00:20:45.000]   It's available if you are a great student.
