
[00:00:00.000 --> 00:00:03.840]   Hello guys, welcome back to my channel. Today we are going to talk about Mamba
[00:03:35.100 --> 00:03:40.380]   This is sequential generation of output is not parallelizable because to generate the nth token
[00:03:40.380 --> 00:03:43.420]   We need the n-1th token
[00:03:44.020 --> 00:03:50.100]   So the training of this kind of model cannot be parallelizable. And this is one of the reason the transformer has been so successful
[00:03:50.100 --> 00:03:54.880]   However, the inference time is a constant for each token
[00:03:54.880 --> 00:03:56.680]   Which means that the number of the effort
[00:03:56.680 --> 00:04:02.180]   from a computational point of view and also from a memory point of view that we need to put in order to produce one
[00:04:02.180 --> 00:04:06.980]   token of the output is the same doesn't matter if it's the first token or the
[00:04:06.980 --> 00:04:10.460]   100th token the effort with that we are doing so the number of
[00:04:10.740 --> 00:04:18.420]   Operations and computations that we are doing is always the same. We are taking the previous state and the current input to produce one output token
[00:04:18.420 --> 00:04:25.200]   Theoretically, this one has infinite context length because we can continue with this sequence sequence of forever
[00:04:25.200 --> 00:04:30.000]   But practically we cannot because it suffers from a vanishing and exploding gradient
[00:04:30.000 --> 00:04:36.620]   Another model that we can use to do sequence modeling, but it's not very used recent
[00:04:36.620 --> 00:04:42.340]   It's not very used. It's the convolutional neural network, which is mostly used for computer vision tasks
[00:04:42.340 --> 00:04:48.040]   It has a finite context window and it needs to build a kernel that is run
[00:04:48.040 --> 00:04:53.380]   So this is the kernel that is run through the input to produce output features. So this is the output
[00:04:53.380 --> 00:04:58.780]   It is easily parallelizable because each output uses the same kernel
[00:04:58.780 --> 00:05:05.100]   So we can run the kernel in parallel on all the possible input windows to produce the output features
[00:05:05.860 --> 00:05:08.480]   The last model that we will see is the transformer
[00:05:08.480 --> 00:05:15.060]   The transformer is easily parallelizable when it comes to training because we have this self-attention mechanism
[00:05:15.060 --> 00:05:21.140]   that computes many dot products and since it's a matrix multiplication we can parallelize the operation and
[00:05:21.140 --> 00:05:29.220]   it has a finite context window defined by the sequence the input sequence and the attention mask and
[00:05:30.220 --> 00:05:36.540]   The inference of this kind of model, however is not constant for each token. So in the transformer model if we are
[00:05:36.540 --> 00:05:40.740]   Producing what the first token of the output we will do one dot product
[00:05:40.740 --> 00:05:47.620]   By using the KVCache if we are using the we are producing the 10th output token
[00:05:47.620 --> 00:05:50.540]   We will need to do 10 dot products to produce it
[00:05:50.540 --> 00:05:56.500]   And if you are producing the 100th output token, we will need to do 100 dot products
[00:05:56.740 --> 00:06:03.340]   So the effort that we put to produce the first token is not the same as the effort that we need to produce the 10th
[00:06:03.340 --> 00:06:05.780]   token and this is not good because
[00:06:05.780 --> 00:06:14.720]   This doesn't allow us to scale to very long inputs also for the training because the training as you can see that scales
[00:06:14.720 --> 00:06:19.860]   Quadratically with the input sequence length, which means that if we double the sequence length
[00:06:19.860 --> 00:06:23.300]   We need to do four times more computation to train this model
[00:06:23.300 --> 00:06:25.860]   But it's easily parallelizable
[00:06:26.340 --> 00:06:31.140]   So and in an ideal world that we would like the model for which we can
[00:06:31.140 --> 00:06:39.300]   Parallelize the training just like the transformer because we can exploit our GPU very well and it can scale linearly to long sequences
[00:06:39.300 --> 00:06:44.460]   Just like the RNN because it scales linearly with the input sequence length
[00:06:44.460 --> 00:06:51.940]   And in an ideal world, we also would like to inference each token with a constant memory and the computation cost
[00:06:51.940 --> 00:06:57.900]   Which means that the effort we need to put to produce the first token should be the same as the effort that we put to
[00:06:57.900 --> 00:07:00.580]   Produce the 10th token or the 100th token
[00:07:00.580 --> 00:07:09.060]   Now let's explore state space models and how they can help us solve the problems of the recurrent neural networks and the transformer
[00:07:09.060 --> 00:07:11.340]   But first we need to review some maths
[00:07:11.340 --> 00:07:17.740]   Let me give you a very simple introduction to differential equation with a very simple example
[00:07:18.580 --> 00:07:23.900]   Imagine you have some bunnies and the population of these bunnies grows at a constant rate of lambda
[00:07:23.900 --> 00:07:30.220]   Proportional to the number of bunnies that you have which means that every bunny will give birth to lambda baby bunnies
[00:07:30.220 --> 00:07:35.300]   Now also suppose that the lambda is equal to 2. So let's write lambda equal to 2
[00:07:35.300 --> 00:07:39.500]   So we can see that the rate of change of the population
[00:07:39.500 --> 00:07:44.140]   Which means the number of babies that are born is equal to lambda
[00:07:44.140 --> 00:07:47.820]   Multiplied by the number of bunnies that you have at a particular time step t
[00:07:48.340 --> 00:07:55.060]   So which means also that the rate of change of this population because the number of babies that these bunnies produce is also the rate
[00:07:55.060 --> 00:07:56.540]   Of change of this population
[00:07:56.540 --> 00:08:00.860]   So how much the population is growing is equal to lambda multiplied by the number of bunnies that you have
[00:08:00.860 --> 00:08:05.900]   But if you remember from high school, what is the rate of change of a particular function?
[00:08:05.900 --> 00:08:09.380]   It is the variable is the derivative of this function
[00:08:09.380 --> 00:08:11.900]   so we can also say that the
[00:08:12.460 --> 00:08:17.060]   derivative of the function that describes the number of bunnies in time is
[00:08:17.060 --> 00:08:21.980]   Equal to lambda multiplied by the number of bunnies that you have at a particular time step t
[00:08:21.980 --> 00:08:28.140]   How can we find the population at time step
[00:08:28.140 --> 00:08:34.180]   100 knowing that the population is made up of five bunnies at time equal to 0
[00:08:34.180 --> 00:08:37.460]   We need to find a function B of t
[00:08:37.460 --> 00:08:43.820]   So we need to find a function B of t that describes the population of our bunnies over time
[00:08:43.820 --> 00:08:46.220]   So the evolution of our population over time
[00:08:46.220 --> 00:08:53.700]   Solving a differential equation means to find a function in this case B of t that makes the expression
[00:08:53.700 --> 00:08:56.420]   above so this expression here
[00:08:56.420 --> 00:08:58.700]   true
[00:08:58.700 --> 00:09:05.980]   For all t so we need to find a function t that when replaced in this expression makes the left hand side equal to the right
[00:09:05.980 --> 00:09:07.980]   hand side and
[00:09:07.980 --> 00:09:14.160]   This differential equation can be solved using a very simple method called the method of separation of variables
[00:09:14.160 --> 00:09:18.300]   So I will not show you here, but we can clearly see that a solution to this
[00:09:18.300 --> 00:09:23.580]   Differential equation is this function here B of t is equal to K multiplied by
[00:09:23.580 --> 00:09:29.860]   Exponential of lambda by t where K is equal to the initial population of bunnies
[00:09:30.540 --> 00:09:36.260]   How can we verify that this is actually the solution of this differential equation because if we replace this
[00:09:36.260 --> 00:09:41.380]   Function here inside this expression it will make the left hand side equal to the right hand side
[00:09:41.380 --> 00:09:43.900]   This is how we verify the solution of it equation
[00:09:43.900 --> 00:09:47.580]   So let's try to replace it first of all in the left hand side
[00:09:47.580 --> 00:09:53.260]   We have the derivative of this function with respect to t so let's calculate the derivative of this function with respect to t
[00:09:53.260 --> 00:09:55.260]   Which is equal to K
[00:09:56.060 --> 00:10:01.780]   Multiplied by lambda multiplied by A to the power of lambda t and
[00:10:01.780 --> 00:10:04.380]   This is equal to
[00:10:04.380 --> 00:10:08.220]   Lambda multiplied by the function itself, which is K
[00:10:08.220 --> 00:10:11.860]   multiplied by e to the power of lambda t
[00:10:11.860 --> 00:10:17.820]   You can see that these two expressions are the same so this function here
[00:10:17.820 --> 00:10:22.500]   So this function here is a solution to our differential equation
[00:10:22.820 --> 00:10:27.620]   So when you have a differential equation the solution of a differential equation is not a number
[00:10:27.620 --> 00:10:31.900]   When we like when we solve a quadratic equation so when you solve for example the
[00:10:31.900 --> 00:10:38.660]   Equation X to the power of 2 is equal to 4 you get some values of X that make the left-hand side
[00:10:38.660 --> 00:10:43.900]   Equal to the right-hand side in the case of a differential equation you find a function
[00:10:43.900 --> 00:10:52.180]   That makes the left-hand side equal to the right-hand side and usually we represent the differential equation by omitting the variable t
[00:10:52.180 --> 00:10:57.940]   And writing it as follows so B t so B dot is equal to lambda
[00:10:57.940 --> 00:11:05.620]   Multiplied by B. This dot indicates that it's derivative of this function with respect to a certain variable, which is implied
[00:11:05.620 --> 00:11:08.180]   and
[00:11:08.180 --> 00:11:11.420]   basically the result of this differential equation will
[00:11:11.420 --> 00:11:17.980]   Will describe the evolution of our bunnies so this function here that we have found B of t
[00:11:17.980 --> 00:11:21.780]   Will describe how the population of our bunnies will grow
[00:11:22.020 --> 00:11:23.260]   and
[00:11:23.260 --> 00:11:28.100]   We usually use the differential equations to model the state of a system over time
[00:11:28.100 --> 00:11:34.340]   With the goal of finding a function that gives us the state of the system at any time step
[00:11:34.340 --> 00:11:39.380]   Given the initial state of the system, and this is what we do with state space models
[00:11:39.380 --> 00:11:45.980]   A state space model allow us to map an input signal X of t to an output signal Y of t
[00:11:45.980 --> 00:11:49.900]   By means of a state representation H of t as follows
[00:11:50.740 --> 00:11:58.140]   So H prime of t which means the derivative of this function H of t with respect to time is equal to a
[00:11:58.140 --> 00:12:02.820]   number A or a matrix A multiplied by H of t plus B
[00:12:02.820 --> 00:12:08.260]   Multiplied by X of t and then the output of the system is computed as follows
[00:12:08.260 --> 00:12:12.860]   This state space model is linear and time invariant
[00:12:12.860 --> 00:12:20.020]   It's linear because the relationships in the expressions above are linear and the time invariant because the parameter matrices
[00:12:20.020 --> 00:12:26.100]   A, B, C and D do not vary over time because you can see they do not depend on the time
[00:12:26.100 --> 00:12:28.100]   They are always fixed for each time step
[00:12:28.100 --> 00:12:33.980]   So for now for simplicity, we will consider that all these parameters
[00:12:33.980 --> 00:12:39.500]   So A, B, C and D, but also the input the output and the H of t are numbers not vectors
[00:12:39.500 --> 00:12:41.980]   Later, we will expand our analysis to vectors
[00:12:41.980 --> 00:12:44.500]   Now you may be wondering
[00:12:44.500 --> 00:12:51.940]   Okay, we have these expressions, but how can I compute the output of this model given the input X of t?
[00:12:51.940 --> 00:12:57.780]   As you can see in the first expression, we have a differential equation and to compute the output
[00:12:57.780 --> 00:13:05.700]   Like this we need to have a function H of t that describes the state of our system at every time step t
[00:13:05.700 --> 00:13:08.940]   So to find the output Y of t of this
[00:13:09.740 --> 00:13:14.300]   This model we need to find first of all, we need to solve this differential equation here
[00:13:14.300 --> 00:13:20.260]   So it means to find a function H of t that describes the state of the system for all time step
[00:13:20.260 --> 00:13:24.860]   but solving this differential equation can be hard analytically and
[00:13:24.860 --> 00:13:28.740]   Usually also we do not work with the continuous signals
[00:13:28.740 --> 00:13:35.060]   So we do our input X of t usually is not continuous because when we do work with computer or any digital device
[00:13:35.060 --> 00:13:37.140]   We always work with discrete systems
[00:13:37.740 --> 00:13:43.020]   So one way is to actually discretize this system such that we can calculate an approximate
[00:13:43.020 --> 00:13:48.220]   Solution of this H of t in a discretized way. So not in a continuous way
[00:13:48.220 --> 00:13:53.460]   Let's see how we can discretize our system to compute then the output of the system itself
[00:13:53.460 --> 00:14:01.460]   To solve a differential equation we need to find the function H of t so in our case this function here
[00:14:01.460 --> 00:14:03.940]   So let me change to the pointer
[00:14:03.940 --> 00:14:10.740]   so this function a function H of t that when replaced here will make the left-hand side equal to the right-hand side and
[00:14:10.740 --> 00:14:16.460]   But solving this finding this function H of t in the continuous domain
[00:14:16.460 --> 00:14:21.460]   It can be very hard analytically and also because we work with the discrete input
[00:14:21.460 --> 00:14:27.300]   We can discretize this system, which means that we can approximate the solution of this differential equation
[00:14:27.420 --> 00:14:33.880]   So instead of finding H of t for all the time step we can find H of t for certain time steps
[00:14:33.880 --> 00:14:41.140]   Instead so for example, we may want to find H of t for H of 0, H of 1, H of 2, H of 3, etc
[00:14:41.140 --> 00:14:46.040]   In this case, we have chosen a step size the step size in my case
[00:14:46.040 --> 00:14:51.020]   I have chosen 1 because I'm evaluating the function H of t only in certain time steps
[00:14:51.300 --> 00:14:57.700]   that are separated by a step size of 1 so I go from 0 to 1 from 1 to 2 from 2 to 3 and
[00:14:57.700 --> 00:14:59.780]   This is will be our Delta
[00:14:59.780 --> 00:15:01.620]   so
[00:15:01.620 --> 00:15:07.900]   Remember the bunnies problem. Let's try to find the approximate solution of this bunny problem using the Euler's method
[00:15:07.900 --> 00:15:14.860]   So before I give you the result of this bunnies problem using the analytical solution, which was very easy to compute
[00:15:14.860 --> 00:15:18.100]   But let's try to build the same solution
[00:15:18.100 --> 00:15:24.100]   But using the Euler's method or actually not the same, but it's the approximated solution using the Euler's method
[00:15:24.100 --> 00:15:28.180]   So first of all, let's rewrite the our bunny population model
[00:15:28.180 --> 00:15:33.220]   Which is the derivative of the function that describes the bunny population
[00:15:33.220 --> 00:15:39.180]   With respect to the variable time is equal to lambda multiplied by the function itself
[00:15:39.180 --> 00:15:42.340]   If you remember from high school
[00:15:42.340 --> 00:15:47.860]   What is the definition of the derivative the derivative is equal to the limit of a step?
[00:15:47.860 --> 00:15:53.540]   Going to 0 of the function evaluated at t plus the step
[00:15:53.540 --> 00:16:00.820]   Minus the function at time step t divided by the step size. This is the definition of derivative. So there is nothing new here
[00:16:00.820 --> 00:16:03.060]   now
[00:16:03.060 --> 00:16:10.260]   This this is the the left-hand side is equal to the right-hand side when the Delta so the step size that we are using
[00:16:10.260 --> 00:16:15.980]   It's very very very very very small. So suppose that we choose a very very very small step size
[00:16:15.980 --> 00:16:22.980]   So then we can get rid of this equality and change it to an approximate approximation so we can see that
[00:16:22.980 --> 00:16:30.700]   Okay, what if I choose a very small step size, then the left-hand side will be more or less equal to the right-hand side
[00:16:30.700 --> 00:16:38.260]   Now by multiplying with the Delta on both sides and then bringing this term to the right-hand side
[00:16:38.260 --> 00:16:41.160]   We can write the following formula here
[00:16:41.160 --> 00:16:48.600]   Which allow us to compute the value of the function B at the time step t plus Delta. So one step forward
[00:16:48.600 --> 00:16:56.540]   As the derivative of the function at time step t multiplied by Delta plus the function at time step t
[00:16:56.540 --> 00:17:01.740]   But what is the derivative of the function here?
[00:17:02.700 --> 00:17:10.380]   We know that the derivative of the function that we are trying to approximate is equal to the Lambda multiplied by the function itself
[00:17:10.380 --> 00:17:12.820]   So we can replace
[00:17:12.820 --> 00:17:15.100]   here in this
[00:17:15.100 --> 00:17:20.060]   Expression here we can replace our population model and we obtain the following
[00:17:20.060 --> 00:17:26.260]   Expression and this allow us to compute the bunnies population at time step t plus Delta
[00:17:26.260 --> 00:17:30.980]   So at the next time step given the bunnies population at the previous time step
[00:17:31.540 --> 00:17:37.540]   Multiplied by a Delta and the Lambda. So we obtained a recurrent formulation
[00:17:37.540 --> 00:17:45.640]   Wonderful now that we have our recurrent formulation to approximate the state of the bunny population over time
[00:17:45.640 --> 00:17:52.980]   Suppose we set Lambda equal to 2 which means that every bunny will make two children and Delta is equal to 1
[00:17:52.980 --> 00:17:55.980]   So we want to go forward by one by one step
[00:17:55.980 --> 00:17:59.380]   So t is equal to 0 then t equal to 1, t equal to 2, etc, etc
[00:17:59.380 --> 00:18:04.380]   For example, if we started with a population of 5 bunnies at time step 0
[00:18:04.380 --> 00:18:08.040]   We can calculate the evolution of the population as follows
[00:18:08.040 --> 00:18:14.620]   Knowing that the population at time step 0 we can calculate the population at time step 1 using the formula that we have
[00:18:14.620 --> 00:18:17.660]   So B of 1 is equal to Lambda
[00:18:17.660 --> 00:18:23.740]   Delta multiplied by Lambda multiplied by the population at the previous time step. So just like this formula here
[00:18:24.660 --> 00:18:26.540]   Plus the population at the previous time step
[00:18:26.540 --> 00:18:32.900]   So this gives us a 15 and it makes sense why because we started with 5 bunnies. Each bunny has 2 children
[00:18:32.900 --> 00:18:40.140]   So they have 10 babies and the initial population, which is 5 plus 10 babies gives us a population of 15
[00:18:40.140 --> 00:18:46.520]   Now that we have the population at time step 1 we can calculate the population at the time step 2 which is
[00:18:46.520 --> 00:18:53.320]   45 because we had 15 bunnies each one makes 2 children. So we have 30 children
[00:18:53.360 --> 00:18:56.500]   So 15 plus 30 is equal to 45
[00:18:56.500 --> 00:19:01.860]   Now that we have the population at time step 2 we can calculate the population at time step 3 and it's
[00:19:01.860 --> 00:19:09.900]   135 because we have a 45 bunnies each one of them makes 2 children. So we have 90 children plus 45, which is
[00:19:09.900 --> 00:19:12.500]   135 and
[00:19:12.500 --> 00:19:19.500]   If you compare the solution that we are obtaining for this time step with the analytical solution that we found before
[00:19:19.820 --> 00:19:25.880]   That I didn't show you how to find it, but it can be easily found using a method called the separation of variables
[00:19:25.880 --> 00:19:29.920]   If you compare the plot of these two functions
[00:19:29.920 --> 00:19:35.340]   You will see that the analytical function grows very fast while the approximated solution grows very slow
[00:19:35.340 --> 00:19:39.440]   and this is actually and the two are similar in how they
[00:19:39.440 --> 00:19:43.320]   Change but they will not overlap
[00:19:43.320 --> 00:19:46.520]   Because the step size that we have chosen is very big
[00:19:46.520 --> 00:19:51.520]   I mean we chose lambda equal to delta equal to 1 to make a better approximation
[00:19:51.520 --> 00:19:57.440]   We need to use a delta very very small and actually the Euler method does not give us very good
[00:19:57.440 --> 00:20:01.980]   Results very very good approximations of the analytical solution
[00:20:01.980 --> 00:20:08.380]   and we use a similar reasoning that we used for the bunny population to
[00:20:08.380 --> 00:20:14.040]   Discretize the system of the state space model. So how to discretize that system?
[00:20:14.160 --> 00:20:18.320]   we just as you remember we found using the
[00:20:18.320 --> 00:20:25.760]   The definition of the derivative we found out that a function evaluated at the time step t plus delta is
[00:20:25.760 --> 00:20:29.240]   more or less so approximately equal to
[00:20:29.240 --> 00:20:36.560]   Delta multiplied by the derivative of the function at time step t plus the function at time step t
[00:20:36.560 --> 00:20:39.900]   But what is the derivative of the function at time step t?
[00:20:39.900 --> 00:20:44.760]   We know from our state space model that the derivative of this function h prime is
[00:20:44.760 --> 00:20:51.600]   Equal to a multiplied by h of t plus b multiplied by x of t. So we just replace this
[00:20:51.600 --> 00:20:54.080]   expression here
[00:20:54.080 --> 00:20:58.920]   Into this term here and we obtain the following derivation
[00:20:58.920 --> 00:21:02.680]   So we replace this stuff here with h prime of t
[00:21:02.680 --> 00:21:08.560]   We multiply it by delta we collect this term h of t and we obtain the following
[00:21:09.560 --> 00:21:14.460]   Discretized the parameters of the discretized model. So if we set a
[00:21:14.460 --> 00:21:17.160]   bar equal to
[00:21:17.160 --> 00:21:24.640]   the identity matrix plus delta a and b bar equal to
[00:21:24.640 --> 00:21:28.260]   Delta B. We will obtain a
[00:21:28.260 --> 00:21:31.520]   Recurrent formula just like with the bunny
[00:21:32.480 --> 00:21:39.620]   Problem the bunny population problem that allow us to compute the next state of the model given the previous state
[00:21:39.620 --> 00:21:42.440]   and
[00:21:42.440 --> 00:21:45.280]   Actually in the paper this
[00:21:45.280 --> 00:21:48.880]   So in the paper they show first of all the continuous
[00:21:48.880 --> 00:21:53.880]   Formulation of the state space model, which is this one and then they show you the discrete
[00:21:53.880 --> 00:22:01.360]   Discretized model that you can see here and they also show you how to obtain this discretized parameter
[00:22:01.360 --> 00:22:07.200]   So the parameters of the discretized model, which is this a bar and b bar actually in the paper
[00:22:07.200 --> 00:22:12.900]   They do not use the Euler method. So the one that I used here to derive the discretized version
[00:22:12.900 --> 00:22:18.960]   They use a method called the zero-order hold and I believe they use this one because it results in a better approximation
[00:22:18.960 --> 00:22:26.960]   But the idea of the discretization is that instead of calculating the analytical solution of this differential equation here
[00:22:27.360 --> 00:22:33.680]   We calculate approximately what is the H state of the system at discrete time steps
[00:22:33.680 --> 00:22:35.680]   And then we can plug this
[00:22:35.680 --> 00:22:38.480]   this approximated
[00:22:38.480 --> 00:22:44.920]   State value into this second relationship to get the output of the system
[00:22:44.920 --> 00:22:54.320]   But in practice as you saw before we had to choose the delta parameter to discretize the system in practice
[00:22:54.320 --> 00:23:01.120]   We do not choose the discretization step delta, but we let make it a parameter of the model that we will train with gradient descent
[00:23:01.120 --> 00:23:07.120]   So that the model will learn this parameter delta based on the input that it will see
[00:23:07.120 --> 00:23:10.080]   Okay
[00:23:10.080 --> 00:23:15.780]   Now that we have our recurrent formulation to calculate the output of the system sequentially
[00:23:15.780 --> 00:23:21.120]   How can we use it to calculate the output of the system for various time steps? Let's do it
[00:23:21.600 --> 00:23:25.600]   Suppose for simplicity that the initial state of the system is zero
[00:23:25.600 --> 00:23:33.280]   So the first state of the system, so suppose we have an input made up of x0, x1, x2, x3, x4
[00:23:33.280 --> 00:23:37.360]   So it's a discrete input. That's why we are using the discretized state space model
[00:23:37.360 --> 00:23:43.040]   we can compute the first state of the system which is equal to b multiplied by x0 because
[00:23:43.040 --> 00:23:47.680]   We are multiplying a by the previous state, but the previous state we say it's zero
[00:23:47.920 --> 00:23:53.920]   So this term will not be present and by using this state we can calculate the first output of the system
[00:23:53.920 --> 00:23:55.920]   Which is just c multiplied by h0
[00:23:55.920 --> 00:24:01.840]   Now we can calculate the next state of the system by using the previous state and the next input
[00:24:01.840 --> 00:24:04.160]   Just using the formula here
[00:24:04.160 --> 00:24:08.400]   So a multiplied a bar multiplied by the previous state of the system
[00:24:08.400 --> 00:24:12.320]   Which we already computed plus b multiplied by the next input of the system
[00:24:13.040 --> 00:24:19.280]   Having the next state we can compute the next output which is y1 is equal to c multiplied by h1
[00:24:19.280 --> 00:24:23.120]   Now using the previous state we can compute the next state
[00:24:23.120 --> 00:24:28.880]   So h2, h2 is equal to a multiplied by the previous state plus b multiplied by the next input
[00:24:28.880 --> 00:24:34.320]   And using h2 we can compute y2. So the output at the next step
[00:24:34.320 --> 00:24:38.720]   And this is exactly what we used to do with the recurrent neural networks
[00:24:38.880 --> 00:24:44.960]   So that's why they are called the recurrent neural networks because they have this recurrent formulation to go from the previous step
[00:24:44.960 --> 00:24:47.280]   to the next step
[00:24:47.280 --> 00:24:51.040]   And as you can see, this is exactly what we did
[00:24:51.040 --> 00:24:53.600]   So our initial state is zero
[00:24:53.600 --> 00:24:58.960]   And we use our first input and the previous state to calculate the first output
[00:24:58.960 --> 00:25:03.360]   This will not only produce the first output, but also the next state of the system
[00:25:04.240 --> 00:25:10.640]   Then we use the next state of the system plus the next input to produce the next output and the next state of the system
[00:25:10.640 --> 00:25:13.840]   Then we use the next state of the system plus the next output
[00:25:13.840 --> 00:25:19.600]   Input to produce the next output and the next state of the system, etc, etc. Just like we saw before
[00:25:19.600 --> 00:25:25.200]   The recurrent formulation that we have just seen is great for inference
[00:25:25.200 --> 00:25:33.120]   Because we can compute one token at a time with a constant memory and computation requirement because the effort that we are
[00:25:33.440 --> 00:25:38.480]   Making to compute this output here is exactly the same as the effort that we take to
[00:25:38.480 --> 00:25:42.720]   Compute this output here. So the second output token
[00:25:42.720 --> 00:25:48.880]   And this makes it suitable for inference during a large language model because in large language model
[00:25:48.880 --> 00:25:53.120]   We generate one token at a time using the previous tokens and the prompt
[00:25:53.120 --> 00:25:59.920]   However, the recurrent formulation is not good for training because during training we already have all the tokens
[00:26:00.080 --> 00:26:04.560]   We do not need to generate the output of the model one token at a time
[00:26:04.560 --> 00:26:10.000]   We already have our sequence of input. We already have a sequence that is the target
[00:26:10.000 --> 00:26:14.660]   We want to compute the output of the model in parallel without doing this sequential
[00:26:14.660 --> 00:26:20.960]   Computation to calculate the loss and train the model and this is exactly what we do with the transformer
[00:26:20.960 --> 00:26:24.100]   But we cannot do it with this recurrent computation
[00:26:25.180 --> 00:26:32.060]   Thankfully the state space model also provide a convolutional mode as well, which can be parallelized. Let's see how it works
[00:26:32.060 --> 00:26:39.900]   So using just the recurrent formulation that we have seen before let's expand the output at every step
[00:26:39.900 --> 00:26:43.500]   So as you saw before to compute the first state of the model
[00:26:43.500 --> 00:26:49.900]   We need to take the initial input multiplied by b because we suppose that the previous state is zero. So there is no a
[00:26:49.900 --> 00:26:52.940]   This term here disappears in the first state
[00:26:54.140 --> 00:26:59.900]   We can use to use the first state to compute the first output, which is c multiplied by h zero
[00:26:59.900 --> 00:27:02.460]   and this gives us
[00:27:02.460 --> 00:27:03.900]   uh
[00:27:03.900 --> 00:27:09.980]   We can replace this the h zero with this with with the what what is the with?
[00:27:09.980 --> 00:27:13.420]   expanded expression b multiplied by x zero
[00:27:13.420 --> 00:27:17.340]   We can then use h zero to compute h one
[00:27:17.340 --> 00:27:22.780]   So h one is equal to a multiplied by h zero plus b multiplied by x one
[00:27:22.860 --> 00:27:28.780]   But what is h zero h zero is exactly this stuff here. So b multiplied by x zero
[00:27:28.780 --> 00:27:32.620]   so we can compute the output the state of the system at the
[00:27:32.620 --> 00:27:35.420]   time step one using
[00:27:35.420 --> 00:27:42.060]   This computation here and the output of the system at time steps one using h1
