
[00:00:00.040 --> 00:00:09.600]   saliva
[00:03:58.960 --> 00:03:58.960]   We're going to talk about the future of technology.
[00:03:58.960 --> 00:03:58.960]   We're going to talk about the future of technology.
[00:03:58.960 --> 00:03:58.960]   We're going to talk about the future of technology.
[00:03:58.960 --> 00:03:58.960]   We're going to talk about the future of technology.
[00:03:58.960 --> 00:03:58.960]   We're going to talk about the future of technology.
[00:03:58.960 --> 00:03:58.960]   We're going to talk about the future of technology.
[00:03:58.960 --> 00:03:58.960]   We're going to talk about the future of technology.
[00:03:58.960 --> 00:03:58.960]   We're going to talk about the future of technology.
[00:03:58.960 --> 00:03:58.960]   We're going to talk about the future of technology.
[00:03:58.960 --> 00:03:58.960]   We're going to talk about the future of technology.
[00:03:58.960 --> 00:04:28.980]   We're going to talk about the future of technology.
[00:04:28.980 --> 00:04:28.980]   We're going to talk about the future of technology.
[00:04:28.980 --> 00:04:28.980]   We're going to talk about the future of technology.
[00:04:28.980 --> 00:04:28.980]   We're going to talk about the future of technology.
[00:04:28.980 --> 00:04:28.980]   We're going to talk about the future of technology.
[00:04:28.980 --> 00:04:28.980]   We're going to talk about the future of technology.
[00:04:28.980 --> 00:04:28.980]   We're going to talk about the future of technology.
[00:04:28.980 --> 00:04:28.980]   We're going to talk about the future of technology.
[00:04:28.980 --> 00:04:28.980]   We're going to talk about the future of technology.
[00:04:29.000 --> 00:04:59.000]   We're going to talk about the future of technology.
[00:04:59.000 --> 00:04:59.000]   We're going to talk about the future of technology.
[00:04:59.000 --> 00:04:59.000]   We're going to talk about the future of technology.
[00:04:59.000 --> 00:04:59.000]   We're going to talk about the future of technology.
[00:04:59.000 --> 00:04:59.000]   We're going to talk about the future of technology.
[00:04:59.000 --> 00:04:59.000]   We're going to talk about the future of technology.
[00:04:59.000 --> 00:04:59.000]   We're going to talk about the future of technology.
[00:04:59.000 --> 00:04:59.000]   We're going to talk about the future of technology.
[00:04:59.000 --> 00:04:59.000]   We're going to talk about the future of technology.
[00:04:59.000 --> 00:04:59.000]   We're going to talk about the future of technology.
[00:04:59.000 --> 00:04:59.000]   We're going to talk about the future of technology.
[00:04:59.000 --> 00:04:59.000]   We're going to talk about the future of technology.
[00:04:59.000 --> 00:04:59.000]   We're going to talk about the future of technology.
[00:04:59.000 --> 00:04:59.000]   We're going to talk about the future of technology.
[00:04:59.000 --> 00:04:59.000]   We're going to talk about the future of technology.
[00:04:59.000 --> 00:04:59.000]   We're going to talk about the future of technology.
[00:04:59.000 --> 00:05:29.020]   We're going to talk about the future of technology.
[00:05:29.020 --> 00:05:29.020]   We're going to talk about the future of technology.
[00:05:29.020 --> 00:05:29.020]   We're going to talk about the future of technology.
[00:05:29.020 --> 00:05:29.020]   We're going to talk about the future of technology.
[00:05:29.020 --> 00:05:29.020]   We're going to talk about the future of technology.
[00:05:29.020 --> 00:05:29.020]   We're going to talk about the future of technology.
[00:05:29.020 --> 00:05:29.020]   We're going to talk about the future of technology.
[00:05:29.020 --> 00:05:29.020]   We're going to talk about the future of technology.
[00:05:29.020 --> 00:05:29.020]   We're going to talk about the future of technology.
[00:05:29.040 --> 00:05:59.040]   We're going to talk about the future of technology.
[00:05:59.040 --> 00:05:59.040]   We're going to talk about the future of technology.
[00:05:59.040 --> 00:05:59.040]   We're going to talk about the future of technology.
[00:05:59.040 --> 00:05:59.040]   We're going to talk about the future of technology.
[00:05:59.040 --> 00:05:59.040]   We're going to talk about the future of technology.
[00:05:59.040 --> 00:05:59.040]   We're going to talk about the future of technology.
[00:05:59.040 --> 00:05:59.040]   We're going to talk about the future of technology.
[00:05:59.040 --> 00:05:59.040]   We're going to talk about the future of technology.
[00:05:59.040 --> 00:05:59.040]   We're going to talk about the future of technology.
[00:05:59.040 --> 00:05:59.040]   We're going to talk about the future of technology.
[00:05:59.040 --> 00:05:59.040]   We're going to talk about the future of technology.
[00:05:59.040 --> 00:05:59.040]   We're going to talk about the future of technology.
[00:05:59.040 --> 00:05:59.040]   We're going to talk about the future of technology.
[00:05:59.040 --> 00:05:59.040]   We're going to talk about the future of technology.
[00:05:59.040 --> 00:05:59.040]   We're going to talk about the future of technology.
[00:05:59.040 --> 00:05:59.040]   We're going to talk about the future of technology.
[00:05:59.040 --> 00:06:29.060]   We're going to talk about the future of technology.
[00:06:29.060 --> 00:06:29.060]   We're going to talk about the future of technology.
[00:06:29.060 --> 00:06:29.060]   We're going to talk about the future of technology.
[00:06:29.060 --> 00:06:29.060]   We're going to talk about the future of technology.
[00:06:29.060 --> 00:06:29.060]   We're going to talk about the future of technology.
[00:06:29.060 --> 00:06:29.060]   We're going to talk about the future of technology.
[00:06:29.060 --> 00:06:29.060]   We're going to talk about the future of technology.
[00:06:29.060 --> 00:06:29.060]   We're going to talk about the future of technology.
[00:06:29.080 --> 00:06:59.080]   We're going to talk about the future of technology.
[00:06:59.080 --> 00:06:59.080]   We're going to talk about the future of technology.
[00:06:59.080 --> 00:06:59.080]   We're going to talk about the future of technology.
[00:06:59.080 --> 00:06:59.080]   We're going to talk about the future of technology.
[00:06:59.080 --> 00:06:59.080]   We're going to talk about the future of technology.
[00:06:59.080 --> 00:06:59.080]   We're going to talk about the future of technology.
[00:06:59.080 --> 00:06:59.080]   We're going to talk about the future of technology.
[00:06:59.080 --> 00:06:59.080]   We're going to talk about the future of technology.
[00:06:59.080 --> 00:06:59.080]   We're going to talk about the future of technology.
[00:06:59.080 --> 00:06:59.080]   We're going to talk about the future of technology.
[00:06:59.080 --> 00:06:59.080]   We're going to talk about the future of technology.
[00:06:59.080 --> 00:06:59.080]   We're going to talk about the future of technology.
[00:06:59.080 --> 00:06:59.080]   We're going to talk about the future of technology.
[00:06:59.080 --> 00:06:59.080]   We're going to talk about the future of technology.
[00:06:59.080 --> 00:06:59.080]   We're going to talk about the future of technology.
[00:06:59.080 --> 00:06:59.080]   We're going to talk about the future of technology.
[00:06:59.080 --> 00:07:29.100]   We're going to talk about the future of technology.
[00:07:29.100 --> 00:07:29.100]   We're going to talk about the future of technology.
[00:07:29.100 --> 00:07:29.100]   We're going to talk about the future of technology.
[00:07:29.100 --> 00:07:29.100]   We're going to talk about the future of technology.
[00:07:29.100 --> 00:07:29.100]   We're going to talk about the future of technology.
[00:07:29.100 --> 00:07:29.100]   We're going to talk about the future of technology.
[00:07:29.100 --> 00:07:29.100]   We're going to talk about the future of technology.
[00:07:29.100 --> 00:07:29.100]   We're going to talk about the future of technology.
[00:07:29.120 --> 00:07:59.120]   I'm going to talk about the future of technology.
[00:07:59.120 --> 00:07:59.120]   We're going to talk about the future of technology.
[00:07:59.120 --> 00:07:59.120]   We're going to talk about the future of technology.
[00:07:59.120 --> 00:07:59.120]   We're going to talk about the future of technology.
[00:07:59.120 --> 00:07:59.120]   We're going to talk about the future of technology.
[00:07:59.120 --> 00:07:59.120]   We're going to talk about the future of technology.
[00:07:59.120 --> 00:07:59.120]   We're going to talk about the future of technology.
[00:07:59.120 --> 00:07:59.120]   We're going to talk about the future of technology.
[00:07:59.120 --> 00:07:59.120]   We're going to talk about the future of technology.
[00:07:59.120 --> 00:07:59.120]   We're going to talk about the future of technology.
[00:07:59.120 --> 00:07:59.120]   We're going to talk about the future of technology.
[00:07:59.120 --> 00:07:59.120]   We're going to talk about the future of technology.
[00:07:59.120 --> 00:07:59.120]   We're going to talk about the future of technology.
[00:07:59.120 --> 00:07:59.120]   We're going to talk about the future of technology.
[00:07:59.120 --> 00:07:59.120]   We're going to talk about the future of technology.
[00:07:59.120 --> 00:07:59.120]   We're going to talk about the future of technology.
[00:07:59.140 --> 00:08:29.140]  , we're going to talk about the future of technology.
[00:08:29.140 --> 00:08:29.140]   We're going to talk about the future of technology.
[00:08:29.140 --> 00:08:29.140]   We're going to talk about the future of technology.
[00:08:29.140 --> 00:08:29.140]   We're going to talk about the future of technology.
[00:08:29.140 --> 00:08:29.140]   We're going to talk about the future of technology.
[00:08:29.140 --> 00:08:29.140]   We're going to talk about the future of technology.
[00:08:29.140 --> 00:08:29.140]   We're going to talk about the future of technology.
[00:08:29.140 --> 00:08:29.140]   We're going to talk about the future of technology.
[00:08:29.140 --> 00:08:29.140]   We're going to talk about the future of technology.
[00:08:29.140 --> 00:08:29.140]   We're going to talk about the future of technology.
[00:08:29.160 --> 00:08:59.160]  , we're going to talk about the future of technology.
[00:08:59.160 --> 00:08:59.160]   We're going to talk about the future of technology.
[00:08:59.160 --> 00:08:59.160]   We're going to talk about the future of technology.
[00:08:59.160 --> 00:08:59.160]   We're going to talk about the future of technology.
[00:08:59.160 --> 00:08:59.160]   We're going to talk about the future of technology.
[00:08:59.160 --> 00:08:59.160]   We're going to talk about the future of technology.
[00:08:59.160 --> 00:08:59.160]   We're going to talk about the future of technology.
[00:08:59.160 --> 00:08:59.160]   We're going to talk about the future of technology.
[00:08:59.160 --> 00:08:59.160]   We're going to talk about the future of technology.
[00:08:59.160 --> 00:08:59.160]   We're going to talk about the future of technology.
[00:08:59.160 --> 00:08:59.160]   We're going to talk about the future of technology.
[00:08:59.160 --> 00:08:59.160]   We're going to talk about the future of technology.
[00:08:59.160 --> 00:08:59.160]   We're going to talk about the future of technology. We're going to talk about the future of technology.
[00:08:59.180 --> 00:09:29.180]  , we're going to talk about the future of technology.
[00:09:29.180 --> 00:09:29.180]   We're going to talk about the future of technology.
[00:09:29.180 --> 00:09:29.180]   We're going to talk about the future of technology.
[00:09:29.180 --> 00:09:29.180]   We're going to talk about the future of technology.
[00:09:29.180 --> 00:09:29.180]   We're going to talk about the future of technology.
[00:09:29.180 --> 00:09:29.180]   We're going to talk about the future of technology.
[00:09:29.180 --> 00:09:29.180]   We're going to talk about the future of technology.
[00:09:29.180 --> 00:09:29.180]   We're going to talk about the future of technology.
[00:09:29.180 --> 00:09:29.180]   We're going to talk about the future of technology.
[00:09:29.180 --> 00:09:59.200]   We're going to talk about the future of technology.
[00:09:59.200 --> 00:09:59.200]   We're going to talk about the future of technology.
[00:09:59.200 --> 00:09:59.200]   We're going to talk about the future of technology.
[00:09:59.200 --> 00:09:59.200]   We're going to talk about the future of technology.
[00:09:59.200 --> 00:09:59.200]   We're going to talk about the future of technology.
[00:09:59.200 --> 00:09:59.200]   We're going to talk about the future of technology.
[00:09:59.200 --> 00:09:59.200]   We're going to talk about the future of technology.
[00:09:59.200 --> 00:09:59.200]   We're going to talk about the future of technology.
[00:09:59.200 --> 00:09:59.200]   We're going to talk about the future of technology.
[00:09:59.200 --> 00:09:59.200]   We're going to talk about the future of technology.
[00:09:59.200 --> 00:09:59.200]   We're going to talk about the future of technology. We're going to talk about the future of technology.
[00:09:59.220 --> 00:10:29.220]   I'm going to talk about the future of technology.
[00:10:29.220 --> 00:10:29.220]   We're going to talk about the future of technology.
[00:10:29.220 --> 00:10:29.220]   We're going to talk about the future of technology.
[00:10:29.220 --> 00:10:29.220]   We're going to talk about the future of technology.
[00:10:29.220 --> 00:10:29.220]   We're going to talk about the future of technology.
[00:10:29.220 --> 00:10:29.220]   We're going to talk about the future of technology.
[00:10:29.220 --> 00:10:29.220]   We're going to talk about the future of technology.
[00:10:29.220 --> 00:10:29.220]   We're going to talk about the future of technology.
[00:10:29.220 --> 00:10:29.220]   We're going to talk about the future of technology.
[00:10:29.220 --> 00:10:29.220]   We're going to talk about the future of technology.
[00:10:29.220 --> 00:10:29.220]   We're going to talk about the future of technology.
[00:10:29.220 --> 00:10:29.220]   We're going to talk about the future of technology.
[00:10:29.220 --> 00:10:29.220]   We're going to talk about the future of technology.
[00:10:29.220 --> 00:10:29.220]   We're going to talk about the future of technology.
[00:10:29.220 --> 00:10:29.220]   the future of technology. We're going to talk about the future of technology.
[00:10:29.260 --> 00:10:59.240]   the future of technology. We're going to talk about the future of technology.
[00:10:59.240 --> 00:10:59.240]   We're going to talk about the future of technology.
[00:10:59.240 --> 00:10:59.240]   We're going to talk about the future of technology.
[00:10:59.240 --> 00:10:59.240]   We're going to talk about the future of technology.
[00:10:59.240 --> 00:10:59.240]   We're going to talk about the future of technology.
[00:10:59.240 --> 00:10:59.240]   We're going to talk about the future of technology.
[00:10:59.240 --> 00:10:59.240]   We're going to talk about the future of technology.
[00:10:59.240 --> 00:10:59.240]   We're going to talk about the future of technology.
[00:10:59.240 --> 00:10:59.240]   We're going to talk about the future of technology.
[00:10:59.240 --> 00:10:59.240]   We're going to talk about the future of technology.
[00:10:59.260 --> 00:11:29.260]   We're going to talk about the future of technology.
[00:11:29.260 --> 00:11:29.260]   We're going to talk about the future of technology.
[00:11:29.260 --> 00:11:29.260]   We're going to talk about the future of technology.
[00:11:29.260 --> 00:11:29.260]   We're going to talk about the future of technology.
[00:11:29.260 --> 00:11:29.260]   We're going to talk about the future of technology.
[00:11:29.260 --> 00:11:29.260]   We're going to talk about the future of technology.
[00:11:29.260 --> 00:11:29.260]   We're going to talk about the future of technology.
[00:11:29.260 --> 00:11:29.260]   We're going to talk about the future of technology.
[00:11:29.260 --> 00:11:29.260]   We're going to talk about the future of technology.
[00:11:29.260 --> 00:11:29.260]   We're going to talk about the future of technology.
[00:11:29.260 --> 00:11:29.260]   We're going to talk about the future of technology.
[00:11:29.260 --> 00:11:29.260]   We're going to talk about the future of technology.
[00:11:29.260 --> 00:11:29.260]   We're going to talk about the future of technology.
[00:11:29.260 --> 00:11:29.260]   We're going to talk about the future of technology.
[00:11:29.260 --> 00:11:29.260]   We're going to talk about the future of technology.
[00:11:29.260 --> 00:11:29.260]   we're going to talk about the future of technology.
[00:11:29.260 --> 00:11:59.280]   we're going to talk about the future of technology.
[00:11:59.280 --> 00:11:59.280]   we're going to talk about the future of technology.
[00:11:59.280 --> 00:11:59.280]   we're going to talk about the future of technology.
[00:11:59.280 --> 00:11:59.280]   we're going to talk about the future of technology.
[00:11:59.280 --> 00:11:59.280]   we're going to talk about the future of technology.
[00:11:59.280 --> 00:11:59.280]   we're going to talk about the future of technology.
[00:11:59.280 --> 00:11:59.280]   we're going to talk about the future of technology.
[00:11:59.280 --> 00:11:59.280]   we're going to talk about the future of technology.
[00:11:59.300 --> 00:12:29.300]  ,
[00:12:29.300 --> 00:12:29.300]   We're going to talk about the future of technology.
[00:12:29.300 --> 00:12:29.300]   We're going to talk about the future of technology.
[00:12:29.300 --> 00:12:29.300]   We're going to talk about the future of technology.
[00:12:29.300 --> 00:12:29.300]   We're going to talk about the future of technology.
[00:12:29.300 --> 00:12:29.300]   We're going to talk about the future of technology.
[00:12:29.300 --> 00:12:29.300]   We're going to talk about the future of technology.
[00:12:29.300 --> 00:12:29.300]   We're going to talk about the future of technology.
[00:12:29.300 --> 00:12:29.300]   We're going to talk about the future of technology.
[00:12:29.300 --> 00:12:29.300]   We're going to talk about the future of technology.
[00:12:29.300 --> 00:12:29.300]   We're going to talk about the future of technology.
[00:12:29.300 --> 00:12:29.300]   We're going to talk about the future of technology.
[00:12:29.300 --> 00:12:29.300]   We're going to talk about the future of technology.
[00:12:29.300 --> 00:12:29.300]   We're going to talk about the future of technology.
[00:12:29.300 --> 00:12:29.300]   We're going to talk about the future of technology.
[00:12:29.300 --> 00:12:29.300]   We're going to talk about the future of technology.
[00:12:29.300 --> 00:12:29.300]   We're going to talk about the future of technology.
[00:12:29.300 --> 00:12:59.320]   We're going to talk about the future of technology.
[00:12:59.320 --> 00:12:59.320]   We're going to talk about the future of technology.
[00:12:59.320 --> 00:12:59.320]   We're going to talk about the future of technology.
[00:12:59.320 --> 00:12:59.320]   We're going to talk about the future of technology.
[00:12:59.320 --> 00:12:59.320]   We're going to talk about the future of technology.
[00:12:59.320 --> 00:12:59.320]   We're going to talk about the future of technology.
[00:12:59.320 --> 00:12:59.320]   We're going to talk about the future of technology.
[00:12:59.320 --> 00:12:59.320]   We're going to talk about the future of technology.
[00:12:59.320 --> 00:12:59.320]   We're going to talk about the future of technology.
[00:12:59.340 --> 00:13:29.340]   We're going to talk about the future of technology.
[00:13:29.340 --> 00:13:29.340]   We're going to talk about the future of technology.
[00:13:29.340 --> 00:13:29.340]   We're going to talk about the future of technology.
[00:13:29.340 --> 00:13:29.340]   We're going to talk about the future of technology.
[00:13:29.340 --> 00:13:29.340]   We're going to talk about the future of technology.
[00:13:29.340 --> 00:13:29.340]   We're going to talk about the future of technology.
[00:13:29.340 --> 00:13:29.340]   We're going to talk about the future of technology.
[00:13:29.340 --> 00:13:29.340]   We're going to talk about the future of technology.
[00:13:29.340 --> 00:13:29.340]   We're going to talk about the future of technology.
[00:13:29.340 --> 00:13:29.340]   We're going to talk about the future of technology.
[00:13:29.340 --> 00:13:29.340]   We're going to talk about the future of technology.
[00:13:29.340 --> 00:13:29.340]   We're going to talk about the future of technology.
[00:13:29.340 --> 00:13:29.340]   We're going to talk about the future of technology.
[00:13:29.340 --> 00:13:29.340]   We're going to talk about the future of technology.
[00:13:29.340 --> 00:13:29.340]   We're going to talk about the future of technology.
[00:13:29.340 --> 00:13:29.340]   We're going to talk about the future of technology.
[00:13:29.340 --> 00:13:59.360]   We're going to talk about the future of technology.
[00:13:59.360 --> 00:13:59.360]   We're going to talk about the future of technology.
[00:13:59.360 --> 00:13:59.360]   We're going to talk about the future of technology.
[00:13:59.360 --> 00:13:59.360]   We're going to talk about the future of technology.
[00:13:59.360 --> 00:13:59.360]   We're going to talk about the future of technology.
[00:13:59.360 --> 00:13:59.360]   We're going to talk about the future of technology.
[00:13:59.360 --> 00:13:59.360]   We're going to talk about the future of technology.
[00:13:59.360 --> 00:13:59.360]   We're going to talk about the future of technology.
[00:13:59.360 --> 00:13:59.360]   We're going to talk about the future of technology.
[00:13:59.360 --> 00:13:59.360]   We're going to talk about the future of technology.
[00:13:59.380 --> 00:14:29.380]   - We're going to talk about the future of technology.
[00:14:29.380 --> 00:14:29.380]   We're going to talk about the future of technology.
[00:14:29.380 --> 00:14:29.380]   We're going to talk about the future of technology.
[00:14:29.380 --> 00:14:29.380]   We're going to talk about the future of technology.
[00:14:29.380 --> 00:14:29.380]   We're going to talk about the future of technology.
[00:14:29.380 --> 00:14:29.380]   We're going to talk about the future of technology.
[00:14:29.380 --> 00:14:29.380]   We're going to talk about the future of technology.
[00:14:29.380 --> 00:14:29.380]   We're going to talk about the future of technology.
[00:14:29.380 --> 00:14:29.380]   We're going to talk about the future of technology.
[00:14:29.380 --> 00:14:29.380]   We're going to talk about the future of technology.
[00:14:29.380 --> 00:14:29.380]   We're going to talk about the future of technology.
[00:14:29.380 --> 00:14:29.380]   We're going to talk about the future of technology.
[00:14:29.380 --> 00:14:29.380]   We're going to talk about the future of technology.
[00:14:29.380 --> 00:14:29.380]   We're going to talk about the future of technology.
[00:14:29.380 --> 00:14:29.380]   We're going to talk about the future of technology.
[00:14:29.380 --> 00:14:29.380]   We're going to talk about the future of technology.
[00:14:29.380 --> 00:14:59.400]   We're going to talk about the future of technology.
[00:14:59.400 --> 00:14:59.400]   We're going to talk about the future of technology.
[00:14:59.400 --> 00:14:59.400]   We're going to talk about the future of technology.
[00:14:59.400 --> 00:14:59.400]   We're going to talk about the future of technology.
[00:14:59.400 --> 00:14:59.400]   We're going to talk about the future of technology.
[00:14:59.400 --> 00:14:59.400]   We're going to talk about the future of technology.
[00:14:59.400 --> 00:14:59.400]   We're going to talk about the future of technology.
[00:14:59.420 --> 00:15:29.420]   We're going to talk about the future of technology.
[00:15:29.420 --> 00:15:29.420]   We're going to talk about the future of technology.
[00:15:29.420 --> 00:15:29.420]   We're going to talk about the future of technology.
[00:15:29.420 --> 00:15:29.420]   We're going to talk about the future of technology.
[00:15:29.420 --> 00:15:29.420]   We're going to talk about the future of technology.
[00:15:29.420 --> 00:15:29.420]   We're going to talk about the future of technology.
[00:15:29.420 --> 00:15:29.420]   We're going to talk about the future of technology.
[00:15:29.420 --> 00:15:29.420]   We're going to talk about the future of technology.
[00:15:29.420 --> 00:15:29.420]   We're going to talk about the future of technology.
[00:15:29.420 --> 00:15:29.420]   We're going to talk about the future of technology.
[00:15:29.420 --> 00:15:29.420]   We're going to talk about the future of technology.
[00:15:29.420 --> 00:15:29.420]   We're going to talk about the future of technology.
[00:15:29.420 --> 00:15:29.420]   We're going to talk about the future of technology.
[00:15:29.420 --> 00:15:29.420]   We're going to talk about the future of technology.
[00:15:29.420 --> 00:15:29.420]   We're going to talk about the future of technology.
[00:15:29.420 --> 00:15:29.420]   We're going to talk about the future of technology.
[00:15:29.420 --> 00:15:59.440]   We're going to talk about the future of technology.
[00:15:59.440 --> 00:15:59.440]   We're going to talk about the future of technology.
[00:15:59.440 --> 00:15:59.440]   We're going to talk about the future of technology.
[00:15:59.440 --> 00:15:59.440]   We're going to talk about the future of technology.
[00:15:59.440 --> 00:15:59.440]   We're going to talk about the future of technology.
[00:15:59.440 --> 00:15:59.440]   We're going to talk about the future of technology.
[00:15:59.440 --> 00:15:59.440]   We're going to talk about the future of technology.
[00:15:59.440 --> 00:15:59.440]   We're going to talk about the future of technology.
[00:15:59.440 --> 00:15:59.440]   We're going to talk about the future of technology.
[00:15:59.460 --> 00:16:29.460]   I'm going to talk about the future of technology.
[00:16:29.460 --> 00:16:29.460]   We're going to talk about the future of technology.
[00:16:29.460 --> 00:16:29.460]   We're going to talk about the future of technology.
[00:16:29.460 --> 00:16:29.460]   We're going to talk about the future of technology.
[00:16:29.460 --> 00:16:29.460]   We're going to talk about the future of technology.
[00:16:29.460 --> 00:16:29.460]   We're going to talk about the future of technology.
[00:16:29.460 --> 00:16:29.460]   We're going to talk about the future of technology.
[00:16:29.460 --> 00:16:29.460]   We're going to talk about the future of technology.
[00:16:29.460 --> 00:16:29.460]   We're going to talk about the future of technology.
[00:16:29.460 --> 00:16:29.460]   We're going to talk about the future of technology.
[00:16:29.460 --> 00:16:29.460]   We're going to talk about the future of technology.
[00:16:29.460 --> 00:16:29.460]   We're going to talk about the future of technology.
[00:16:29.460 --> 00:16:29.460]   We're going to talk about the future of technology.
[00:16:29.460 --> 00:16:29.460]   We're going to talk about the future of technology.
[00:16:29.460 --> 00:16:29.460]   We're going to talk about the future of technology.
