
[00:00:00.000 --> 00:00:05.000]   [Intro]
[00:02:39.000 --> 00:02:47.000]   He assumes that if our glorification is conditional, we cannot know that it will happen.
[00:02:47.000 --> 00:02:51.000]   It becomes not guaranteed and uncertain.
[00:02:51.000 --> 00:02:54.000]   Now, where does that notion come from?
[00:02:54.000 --> 00:02:55.000]   Where does he get that?
[00:02:55.000 --> 00:03:05.000]   That if there are conditions we must fulfill in order to be glorified, which I'm saying there are, therefore our glorification is uncertain.
[00:03:05.000 --> 00:03:08.000]   What's the assumption behind that?
[00:03:08.000 --> 00:03:10.000]   I certainly don't agree with that.
[00:03:10.000 --> 00:03:13.000]   And yet I find this assumption everywhere.
[00:03:13.000 --> 00:03:14.000]   People have this assumption.
[00:03:14.000 --> 00:03:17.000]   There's nothing in logic that demands it.
[00:03:17.000 --> 00:03:20.000]   There's nothing in the Bible that demands it.
[00:03:20.000 --> 00:03:23.000]   There's nothing in our experience that would demand it.
[00:03:23.000 --> 00:03:31.000]   So where's the idea coming from that if there are conditions, there can be no certainty?
[00:03:31.000 --> 00:03:36.000]   Now, I've got an idea where this comes from.
[00:03:36.000 --> 00:03:40.000]   So let me let me push on this for a minute.
[00:03:40.000 --> 00:03:44.000]   Let's take just one condition as an example.
[00:03:44.000 --> 00:03:49.000]   We must persevere in faith if we would be glorified.
[00:03:49.000 --> 00:03:58.000]   Persevering faith is a condition that must be met in order for us to finally be glorified.
[00:03:58.000 --> 00:04:00.000]   First Corinthians 15 1.
[00:04:00.000 --> 00:04:05.000]   I remind you of the gospel in which you stand by which you are being saved.
[00:04:05.000 --> 00:04:13.000]   If you hold fast to the word I preach to you, unless you believed in vain or Colossians 1 22.
[00:04:13.000 --> 00:04:19.000]   God has reconciled you by his death in order to present you holy and blameless above reproach.
[00:04:19.000 --> 00:04:25.000]   If indeed you continue in the faith stable and steadfast or Mark 13 13.
[00:04:25.000 --> 00:04:30.000]   But the one who endures to the end will be saved or Revelation 2 10.
[00:04:30.000 --> 00:04:35.000]   Be faithful unto death and I will give you the crown of life.
[00:04:35.000 --> 00:04:43.000]   So that's why I say election is unconditional and glorification is conditional.
[00:04:43.000 --> 00:04:53.000]   We don't persevere in faith in order to be elect, but we do persevere in faith in order to be glorified.
[00:04:53.000 --> 00:05:02.000]   Now, what's behind the assumption that this condition would make our glorification uncertain?
[00:05:02.000 --> 00:05:07.000]   It must be the assumption that this condition cannot be guaranteed.
[00:05:07.000 --> 00:05:13.000]   God cannot guarantee that we will meet this condition.
[00:05:13.000 --> 00:05:16.000]   And then I ask what's behind that assumption?
[00:05:16.000 --> 00:05:29.000]   Like if you must persevere in faith to the end and you assume God cannot grant that guarantee that you will persevere to the end.
[00:05:29.000 --> 00:05:30.000]   Where does that come from?
[00:05:30.000 --> 00:05:32.000]   What's behind that assumption?
[00:05:32.000 --> 00:05:34.000]   And my answer is this.
[00:05:34.000 --> 00:05:43.000]   There is an unbiblical notion of free will or Arminianism or semi-Pelagianism behind that assumption.
[00:05:43.000 --> 00:05:46.000]   And Jonathan may not even know what those words mean.
[00:05:46.000 --> 00:05:49.000]   It just he's just absorbed this from somewhere.
[00:05:49.000 --> 00:05:58.000]   If I must endure to the end, then my glorification is as insecure as my free will.
[00:05:58.000 --> 00:06:00.000]   That's the assumption.
[00:06:00.000 --> 00:06:06.000]   And that is a fundamental theological biblical mistake.
[00:06:06.000 --> 00:06:15.000]   On the contrary, God Almighty has promised his elect, his predestined, his called, his justified children.
[00:06:15.000 --> 00:06:20.000]   He himself will infallibly keep us from falling.
[00:06:20.000 --> 00:06:26.000]   We don't have the free will of ultimate self-determination.
[00:06:26.000 --> 00:06:34.000]   Praise God. He has that final, ultimate, decisive determination of what our wills will do.
[00:06:34.000 --> 00:06:41.000]   God has conquered our rebellious, dead, anti-God wills.
[00:06:41.000 --> 00:06:43.000]   He has written his law in our heart.
[00:06:43.000 --> 00:06:45.000]   He has given us his Holy Spirit.
[00:06:45.000 --> 00:06:52.000]   So 1 Corinthians 1.8, he will sustain you to the end, guiltless in the day of Christ.
[00:06:52.000 --> 00:06:59.000]   Philippians 1.6, he who began a good work in you will bring it to completion at the last day.
[00:06:59.000 --> 00:07:04.000]   1 Corinthians 10.13, he will not let you be tested beyond what you are able.
[00:07:04.000 --> 00:07:16.000]   Jude 1.24, now to him who is able to keep you from stumbling and to present you blameless before the presence of his glory with great joy to the only God, our Savior.
[00:07:16.000 --> 00:07:22.000]   Through Jesus Christ be glory and majesty and dominion and authority before all time, now and forever.
[00:07:22.000 --> 00:07:37.000]   So my prayer, Tony, is that everyone would realize what a serious mistake it is to assume that conditionality means uncertainty.
[00:07:37.000 --> 00:07:40.000]   It doesn't mean uncertainty for God's children.
[00:07:40.000 --> 00:07:47.000]   Not if God is sovereign over conditions, and he is sovereign over the condition of faith.
[00:07:47.000 --> 00:07:49.000]   He says so.
[00:07:49.000 --> 00:07:51.000]   Well said. Thank you, Pastor John.
[00:07:51.000 --> 00:07:57.000]   And speaking of the new book from Pastor John, it's titled "Five Points Towards a Deeper Experience of God's Grace."
[00:07:57.000 --> 00:08:00.000]   It was mentioned by Jonathan at the start of this podcast.
[00:08:00.000 --> 00:08:05.000]   See the book, and especially chapter 7 on the perseverance of the saints for more on this topic.
[00:08:05.000 --> 00:08:11.000]   The book "Five Points" can be downloaded in its entirety free of charge from our website, DesiringGod.org.
[00:08:11.000 --> 00:08:14.000]   Click on "Books" at the top and then look for the title "Five Points."
[00:08:14.000 --> 00:08:17.000]   And while you're at the website, please look around.
[00:08:17.000 --> 00:08:22.000]   We have thousands of books, articles, blog posts, sermons, and other resources from John Piper and others.
[00:08:22.000 --> 00:08:24.000]   And it's all free of charge for you to enjoy.
[00:08:24.000 --> 00:08:31.000]   And they're all intended to explain why God is most glorified in us when we are most satisfied in him.
[00:08:31.000 --> 00:08:34.000]   I'm your host, Tony Ranke. We'll be back tomorrow with a new episode.
[00:08:34.000 --> 00:08:36.000]   [end]
[00:08:36.000 --> 00:08:38.000]   [music]
[00:08:38.000 --> 00:08:40.000]   [music]
[00:08:40.000 --> 00:08:50.000]   [BLANK_AUDIO]

