
[00:00:00.000 --> 00:00:04.740]   We have all heard to brush and floss our teeth, but what if that's just the tip of the iceberg?
[00:04:50.400 --> 00:04:55.380]   the blood-brain barrier, it gets into the bloodstream. It can get into tissues, into areas where the immune
[00:04:55.380 --> 00:05:02.060]   system isn't very active. And these bugs are there all the time. And in a healthy person, that's fine.
[00:05:02.060 --> 00:05:08.220]   For example, when you go in for a cleaning and your teeth are scraped and the gums bleed a little bit,
[00:05:08.300 --> 00:05:13.840]   that patient is experiencing a very short-term transient bacteremia, meaning bugs in the mouth
[00:05:13.840 --> 00:05:19.900]   are into the bloodstream. But a healthy person can handle that every once in a while. So these
[00:05:19.900 --> 00:05:26.840]   bugs will cross through the oral mucosa between the gum and tooth area. That is a very anaerobic
[00:05:26.840 --> 00:05:30.580]   environment. It's different than the rest of the mouth. The rest of the mouth is more aerobic. It's
[00:05:30.580 --> 00:05:36.420]   oxygen. There's plenty of oxygen and pH balancing saliva. But once you get into those deep pockets and the
[00:05:36.420 --> 00:05:42.780]   deeper they get, the more oxygen-hating those bugs become, anaerobes, they also become more
[00:05:42.780 --> 00:05:47.120]   virulent. And so they're sitting down there. And then there's a breakdown due to a lot of inflammation,
[00:05:47.120 --> 00:05:53.420]   increased blood flow. And the body's trying to manage that connection between the mouth and the
[00:05:53.420 --> 00:05:59.360]   inside of the body. And remember, this is the most unique part of the body. You have a hard tissue
[00:05:59.360 --> 00:06:03.820]   erupting through the body. And the fingernails don't count. They're completely external.
[00:06:04.480 --> 00:06:09.740]   But a tooth has an internal component to the inside of the body systemically. And it has this
[00:06:09.740 --> 00:06:14.440]   external component. It's sitting outside. And you can see them. And you chew on them. And they're
[00:06:14.440 --> 00:06:21.560]   inert. So that area, to seal off that area, is complex. And when it goes bad, the bacteria in the
[00:06:21.560 --> 00:06:29.040]   mouth get into the body. And then, of course, you know, from there, it can be pretty detrimental to
[00:06:29.040 --> 00:06:32.880]   overall health. So that connection is important. Oral health, systemic health.
[00:06:32.880 --> 00:06:38.520]   And is the inverse true? If you have, you know, above average, really optimized and dialed in oral
[00:06:38.520 --> 00:06:42.560]   health, can that impact the rest of your body? Can that add years to your life?
[00:06:43.360 --> 00:06:48.320]   Yes. 100%. If I were to answer that in one sentence, and obviously we can talk more about
[00:06:48.320 --> 00:06:53.460]   it, but it would be nourishing and treating your oral microbiome with respect. Not taking it down,
[00:06:53.460 --> 00:06:58.100]   not disinfecting your mouth, managing that oral microbiome. It's like the gut microbiome. The gut
[00:06:58.100 --> 00:07:02.800]   is fine. So is the rest of the body when the gut is well. So that means feeding it properly,
[00:07:02.800 --> 00:07:07.320]   taking care of it, making sure the pH is stable, making sure you're not using products,
[00:07:07.420 --> 00:07:10.740]   oral care products that actually disinfect the oral microbiome, make it difficult
[00:07:10.740 --> 00:07:15.620]   to do what it's supposed to do. I wouldn't have answered that way 15, 20 years ago. It would
[00:07:15.620 --> 00:07:20.260]   have been more, see your dentist twice a month. I mean, twice a year, make sure you're brushing and
[00:07:20.260 --> 00:07:25.780]   flossing, eat well, don't eat sugar, don't eat candy. That was kind of the standard answer. It's
[00:07:25.780 --> 00:07:32.300]   become a lot more nuanced. It's also become more factual, more evidence-based. We now have the
[00:07:32.300 --> 00:07:34.860]   right information. It's all about the oral microbiome.
[00:07:35.020 --> 00:07:39.180]   And is the biggest influence on that food? When you said sugar, I was thinking, you know,
[00:07:39.180 --> 00:07:43.580]   as a kid, it was like sugar equals cavities and that is dentistry, right? Like that, that was,
[00:07:43.580 --> 00:07:49.040]   that was my understanding as a child. If the oral microbiome is the most important thing,
[00:07:49.040 --> 00:07:51.420]   maybe what are the components of it and how do we influence it?
[00:07:51.420 --> 00:07:58.020]   Right. It's all about for good oral health, for optimal oral health, you need to address all aspects,
[00:07:58.020 --> 00:08:02.200]   good or bad. If you're doing something bad for the oral microbiome, that has to be addressed. And then
[00:08:02.200 --> 00:08:05.960]   what are the good things you can do for oral microbiome? And it is diet. I mean, it's
[00:08:05.960 --> 00:08:11.460]   fermentable, you know, it's sauerkraut. It's, it's not carbohydrates or anything out of a package,
[00:08:11.460 --> 00:08:16.840]   obviously, because the bacteria go to town with that stuff. I mean, they overfeed and then they
[00:08:16.840 --> 00:08:22.140]   become dominant. They become bullies in that kind of colony of bacteria. That's not what you want.
[00:08:22.140 --> 00:08:28.120]   You're feeding a certain type of bacteria called the S-mutan bug. And by making that a very prevalent bug
[00:08:28.120 --> 00:08:32.920]   and a very virulent bug in the, in the biome, you're creating cavities. There are other components
[00:08:32.920 --> 00:08:37.380]   though, too. There's pH of the mouth, there's mouth breathing. There is a, you know, if you run a
[00:08:37.380 --> 00:08:42.780]   marathon, you, there's a chance that your, your pH will drop in the mouth. You could be dehydrated.
[00:08:42.780 --> 00:08:48.420]   There's certain medications. Uh, there are certain conditions. I mean, the mouth is kind of the pole
[00:08:48.420 --> 00:08:54.300]   position in the body. It's, it opens, I mean, and it's the entrance to the digestive tract.
[00:08:54.300 --> 00:08:59.200]   And what's going on with that microbiome every day is that, you know, I've been doing some research
[00:08:59.200 --> 00:09:05.380]   in preparation. Is that the D and re mineralization of our teeth or, or what's kind of the day in the
[00:09:05.380 --> 00:09:09.400]   life of our oral microbiome? Yeah, that's a great question. That's one component of it. Every time
[00:09:09.400 --> 00:09:15.120]   you have a meal, the teeth demineralize and then the biome that sits on the bio, the biome that sits
[00:09:15.120 --> 00:09:22.000]   in the biofilm brings in calcium phosphate, other minerals from the saliva. Again, that's a bank too.
[00:09:22.000 --> 00:09:28.620]   And it pulls it past that thin film, the biofilm. And again, if it's dysbiotic and too thick and you
[00:09:28.620 --> 00:09:32.760]   haven't been brushing or you've been feeding it with carbohydrates, that biofilm becomes dysfunctional.
[00:09:32.760 --> 00:09:37.640]   It doesn't re mineralize as well, but that's what that little layer does on that inanimate object.
[00:09:37.640 --> 00:09:44.300]   It keeps the calcium from getting pulled out. And if it is, it puts it back in. That's that
[00:09:44.300 --> 00:09:49.000]   demineralization, remineralization cycle. Again, 15, 20 years ago, it was like you had a hole in the
[00:09:49.000 --> 00:09:53.480]   tooth. That was it. You're done. Get a, get a filling. But now we understand it's dynamic.
[00:09:53.480 --> 00:10:00.840]   Which means that, that an early cavity might not need to be filled in 2025, like it did in 2005.
[00:10:00.840 --> 00:10:07.280]   Exactly. Okay. And, and is it important to do something? Or if you have that early sign of a
[00:10:07.280 --> 00:10:12.800]   cavity, um, do you just wait and let the body do its thing? And it's, it's like a bruise where,
[00:10:12.800 --> 00:10:16.440]   you know, I have a bruise on my arm. I don't do anything about it. I just kind of wait it out.
[00:10:16.440 --> 00:10:22.340]   It would help to remineralize that area and, and potentiate the environment for that. So,
[00:10:22.340 --> 00:10:26.900]   and I only say that because we're, we're not in a very good state right now. I mean,
[00:10:26.900 --> 00:10:30.680]   we're eating junk, we're eating crap. Most of us are sleeping with our mouth open at night.
[00:10:30.680 --> 00:10:36.180]   There are a variety of external epigenetic factors that have caused that in our modern environment.
[00:10:36.260 --> 00:10:42.100]   And because of that, uh, and because we're using oral care products that actually are taking down
[00:10:42.100 --> 00:10:47.480]   the oral microbiome so that it can't do its job, it's, we're getting cavities. It's the number one
[00:10:47.480 --> 00:10:51.780]   disease in the world. It's the most prevalent disease in the world. And there's a reason for it. So
[00:10:51.780 --> 00:10:57.400]   obviously we're doing something wrong. I mean, and dentistry is part of the problem. We've been
[00:10:57.400 --> 00:11:02.440]   recommending these products. We haven't been addressing the root causes of what decay is. Uh,
[00:11:02.440 --> 00:11:08.660]   I have a list of what causes decay and it was very controversial, um, about 10 years ago,
[00:11:08.660 --> 00:11:13.700]   and then it became less controversial. And then James Nestor, uh, spoke about it in his book,
[00:11:13.700 --> 00:11:18.060]   breath that was during COVID. And now pretty much everyone's on the same page. The number one cause
[00:11:18.060 --> 00:11:22.200]   of cavities, if you're a mouth breather is mouth breathing. It's not the food you eat. It's not
[00:11:22.200 --> 00:11:28.380]   brushing and flossing the lack of it's not oral hygiene. Uh, so it's really, it's typically mouth
[00:11:28.380 --> 00:11:34.780]   breathing, then diet, then brushing and flossing. Again, if you have those first two under control,
[00:11:34.780 --> 00:11:40.080]   you don't need to brush and floss. You can see your dentist way less often. And then of course,
[00:11:40.080 --> 00:11:44.520]   the last one, which we have some control over there's genetics, and then there's some epigenetics and,
[00:11:44.520 --> 00:11:48.580]   and, and, and that all ties in. So, you know, why are you mouth breathing? It has to do with
[00:11:48.580 --> 00:11:52.600]   facial development. For context, James has been on the show. We've talked about a lot of the,
[00:11:52.600 --> 00:11:59.640]   the health issues. I don't think we went particularly deep on the issues that are in the mouth when it
[00:11:59.640 --> 00:12:05.380]   comes to oral hygiene and, you know, our oral microbiome. So that's super helpful. You know,
[00:12:05.380 --> 00:12:11.140]   for someone who knows that mouth breathing could be bad, understands the impact of cavities. How do you
[00:12:11.140 --> 00:12:15.900]   connect those dots? What's actually happening when our mouths open all night, or we're reading through it,
[00:12:16.020 --> 00:12:18.920]   that's creating such a, an imbalance in our mouths?
[00:12:18.920 --> 00:12:26.100]   Two things. The most obvious, maybe to most is that your mouth dries out and without saliva or
[00:12:26.100 --> 00:12:33.140]   without the right, correct amount of saliva, your pH drops. Saliva is essentially continually buffering
[00:12:33.140 --> 00:12:38.380]   the pH in your mouth. The gut, the gut can buffer itself a lot easier because it's inside,
[00:12:38.380 --> 00:12:44.120]   but when you're right in front of the outside world and your mouth is open for six, seven,
[00:12:44.120 --> 00:12:49.960]   eight hours at night. And saliva flow rate drops off anyway at night, even if your mouth is closed,
[00:12:49.960 --> 00:12:54.560]   the saliva glands shut down. If you're in deep sleep, that's part of the, the, the restorative
[00:12:54.560 --> 00:12:59.140]   process. And again, saliva isn't really needed. Your tongue is not moving. If you're in REM sleep,
[00:12:59.140 --> 00:13:05.620]   there's not much washing and cleaning going on. I mean, think of a, of a spin washer, you know,
[00:13:05.620 --> 00:13:11.520]   a clothes washer with the, the impeller, and it's not going to clean the dirt and, and do what it's
[00:13:11.520 --> 00:13:15.400]   supposed to do if it's not spinning and moving. And if there's not, if there isn't enough water in
[00:13:15.400 --> 00:13:24.380]   there. So it's, it essentially what it does is it allows the bad bugs to proliferate and do more
[00:13:24.380 --> 00:13:29.240]   damage. It also drops the pH in the mouth so that you're demineralizing quicker than you are
[00:13:29.240 --> 00:13:35.760]   remineralizing. Again, you need a optimal pH for that, that fixing that equilibrium to work.
[00:13:35.760 --> 00:13:40.000]   And so at night, I guarantee you, if your mouth is open for more than 15, 20 minutes,
[00:13:40.000 --> 00:13:45.020]   your pH is dropping in the mouth. There's one more reason. It's a little bit, a little bit more
[00:13:45.020 --> 00:13:51.320]   subtle. It's not, it's more subtle, but it's as important, maybe even more important. When you
[00:13:51.320 --> 00:13:56.900]   breathe through your mouth, you don't, you're losing that feature that when you breathe through your nose,
[00:13:56.980 --> 00:14:04.600]   you cannot over-breathe CO2. And so the mix of CO2 and O2 in your bloodstream, again, when we inhale,
[00:14:04.600 --> 00:14:11.120]   you know, the, the atmosphere, it's actually very little oxygen. Um, we want to get oxygen to all
[00:14:11.120 --> 00:14:16.160]   the tissues. And so we, we breathe it in, it passes through the alveoli into the bloodstream, and then
[00:14:16.160 --> 00:14:20.780]   to release the oxygen to the brain, for example, which is pretty important, right? Or muscle or,
[00:14:20.980 --> 00:14:26.520]   or, or an organ, um, you need CO2 on board. Well, if you're breathing through your mouth at night,
[00:14:26.520 --> 00:14:33.820]   that oxygen uptake is, has, has been compromised because you're over-breathing the CO2. Um, so,
[00:14:33.820 --> 00:14:38.500]   but if you breathe through your nose, that's all done automatically. And the ratio between the two
[00:14:38.500 --> 00:14:44.280]   is optimal. It's actually a three gas system. There's another gas, NO, nitric oxide, but that's,
[00:14:44.280 --> 00:14:48.320]   that's something that doesn't get talked about much. And that's why you want to keep your mouth
[00:14:48.320 --> 00:14:52.980]   closed even during the day, if you can, even while you take a brisk walk, obviously, if you're running
[00:14:52.980 --> 00:14:57.220]   for your life from a grizzly bear, that's emergency breathing, your mouth is going to be open and
[00:14:57.220 --> 00:15:01.880]   that's short term, but long-term you want to keep that ratio of the two together. How does that affect
[00:15:01.880 --> 00:15:07.920]   oral health? It can affect sleep, uh, which indirectly can affect oral health. It affects overall health,
[00:15:07.920 --> 00:15:16.180]   obviously, but without, and without the optimal, uh, uh, pH in your blood, you're going to have some
[00:15:16.180 --> 00:15:21.040]   issues with, uh, gum disease. And that's a chronic disease that is very hard to get rid of.
[00:15:21.040 --> 00:15:25.160]   Okay. Yeah. I'll, I'll put a link to the show in the show notes to the episode of James Nestor.
[00:15:25.160 --> 00:15:31.400]   There are countless examples of ways to help practice and learn mouth breathing. We actually
[00:15:31.400 --> 00:15:35.780]   did the episode on the couch behind me in person, and we went through some of those exercises. So,
[00:15:35.780 --> 00:15:41.280]   uh, for people who want to want to check that, I highly recommend it. The one thing I'll ask you is
[00:15:41.280 --> 00:15:45.960]   as a dentist, how do you feel about mouth taping? Is that, is that a solution that's pro dental,
[00:15:45.960 --> 00:15:53.860]   uh, approved? I'm a big fan. Uh, I've been talking about it for, uh, probably 15 years and I got a lot
[00:15:53.860 --> 00:15:58.820]   of flack for it. Uh, now it's mainstream, but I love mouth taping. Uh, it started out in my practice,
[00:15:58.820 --> 00:16:06.420]   uh, as a differential diagnostic tool. I can tell when someone's mouth breathing, I can tell certain parts
[00:16:06.420 --> 00:16:11.660]   of the mouth that turn kind of a bright red. Uh, obviously the biofilm is thicker. The, uh,
[00:16:11.660 --> 00:16:17.240]   the viscosity of saliva changes. The patient has a lot of oral health issues. I mean, I can go on,
[00:16:17.240 --> 00:16:23.240]   but, um, but if you ask someone, you first have to get someone to acknowledge that this could be a
[00:16:23.240 --> 00:16:27.400]   problem before they're open to treatment. Not everyone benefits from mouth taping, but there are a lot of
[00:16:27.400 --> 00:16:32.560]   people that, that do and can and will when they mouth tape, but you have to find out.
[00:16:32.560 --> 00:16:36.900]   I'm going to say, go back and listen to the episode, do a little deeper dive, but I I've heard
[00:16:36.900 --> 00:16:44.420]   from multiple people in person that that one change of mouth tape changed so many aspects of their health
[00:16:44.420 --> 00:16:49.360]   and their life. So, um, to everyone that shared those stories, thank you. Okay. So you talked about
[00:16:49.360 --> 00:16:54.100]   mouth tape, maybe number one, number two is what we eat aside from our childhood learning that, you know,
[00:16:54.100 --> 00:16:59.900]   sugar is the bad thing and everything else is okay. What, what is the, you know, decades of research
[00:16:59.900 --> 00:17:04.720]   that have come out recently led you to think are things that we should be eating, we shouldn't be
[00:17:04.720 --> 00:17:12.380]   eating. And then, you know, not just the makeup of it, but the consistency of blending things or, um,
[00:17:12.380 --> 00:17:16.740]   certain types of food. So many different ways I can answer that. First thing that came to mind
[00:17:16.740 --> 00:17:23.880]   was you can eat sugar. You know, if you, if you just go out and have a little, uh, sticky little,
[00:17:23.880 --> 00:17:30.560]   uh, uh, gummy or something and it's down the hatch quickly and you drink water, that's not long enough
[00:17:30.560 --> 00:17:34.480]   for the bacteria to demineralize your teeth. The remineralization system will come on board and it'll
[00:17:34.480 --> 00:17:40.180]   be fine. Uh, it's more in dentistry and we've known this for a while. It's more about the frequency that
[00:17:40.180 --> 00:17:45.720]   you have sweets, not the quantity. Now in medicine, it could be the quantity. You could, you could have
[00:17:45.720 --> 00:17:50.320]   a thousand calories of sweets in a matter of minutes. And obviously that's not good for you because
[00:17:50.320 --> 00:17:56.060]   there's a blood glucose spike and, and there are issues there, but in the mouth, a high glycemic
[00:17:56.060 --> 00:18:02.000]   food, which medicine talks about in relationship to diabetes, metabolic disease, it has the same
[00:18:02.000 --> 00:18:06.200]   effect in the mouth. You're still feeding those bacteria and you're making them more prevalent.
[00:18:06.200 --> 00:18:11.880]   And then the next time you eat that little bit of refined carbohydrates, they're already there in
[00:18:11.880 --> 00:18:15.740]   bigger numbers and they're going to excrete more acid. Okay. So I like to pick on goldfish and it could
[00:18:15.740 --> 00:18:22.120]   be a saltine cracker. It could be, uh, it could be a pretzel. It could be a healthy rice snack with no
[00:18:22.120 --> 00:18:27.400]   seed oils in it. It doesn't matter. That is a refined product. And the bacteria love that. It's
[00:18:27.400 --> 00:18:32.940]   the same thing as eating candy. Um, and so you're eating that. And if you snack on that every day at
[00:18:32.940 --> 00:18:37.420]   lunch and you don't brush afterwards, and then you have a long conference call afterwards,
[00:18:37.420 --> 00:18:44.040]   essentially mouth breathing, you know, that's going to lead to decay. Um, so obviously whole foods,
[00:18:44.040 --> 00:18:51.880]   uh, paleo diet, uh, uh, you know, leafy green vegetables. I mean, uh, fermented food products.
[00:18:51.880 --> 00:18:56.820]   Again, I love sauerkraut. You can eat a pate, which is great. That's high in vitamin K2.
[00:18:56.820 --> 00:19:03.520]   There are three dental vitamins, a D3 and K2. Those are the three dental vitamins. Um, you want to have
[00:19:03.520 --> 00:19:08.940]   those on board, especially with your kids, cod liver oil there, there, you, you have to make sure
[00:19:08.940 --> 00:19:15.220]   that that system that provides calcium, that makes it available in saliva is working.
[00:19:15.220 --> 00:19:19.800]   Is there like some sort of test someone could be doing where it's like, how is my oral microbiome
[00:19:19.800 --> 00:19:24.880]   doing? Um, and is that actually necessary if you have a healthy diet and healthy teeth?
[00:19:24.880 --> 00:19:29.520]   So there is a test. There's a recent test. It's out of San Diego. It's the first
[00:19:29.740 --> 00:19:34.540]   kind of metagenomic, uh, shotgun approach where it measures for every, it looks for every
[00:19:34.540 --> 00:19:39.700]   and quantifies every single bug in the biome, in the oral microbiome. A few years ago, it was 750
[00:19:39.700 --> 00:19:45.360]   bugs. We're probably over 800 now. And so you can test it. They will send you, it's called bristle.
[00:19:45.360 --> 00:19:50.820]   Uh, I work with them and I'm an advisor for them. Highly recommend it. I've, I have said,
[00:19:50.820 --> 00:19:56.500]   been on record for saying that this will change, or if not should change dentistry, because again,
[00:19:56.500 --> 00:20:01.640]   we've been kind of looking at indirect markers. Oh, you have a cavity that means something's well,
[00:20:01.640 --> 00:20:07.280]   I'd rather treat before you get the cavity and know that that it's coming. Right. So this test
[00:20:07.280 --> 00:20:12.620]   is available even to the public. You don't have to go see your dentist. Uh, although I would recommend
[00:20:12.620 --> 00:20:17.520]   that you go see a dentist and it, it has a bad breath score, which is very popular. That's where
[00:20:17.520 --> 00:20:23.540]   most people go, not the cavity score, not the NO score. Uh, but, and then, but there's a lot of raw
[00:20:23.540 --> 00:20:28.140]   data there for your dentist. And so if your dentist is educated, if they're an expert in the oral
[00:20:28.140 --> 00:20:33.340]   microbiome, then they, when they treat you, it's a much more targeted way of, of treating that patient.
[00:20:33.340 --> 00:20:37.900]   But there's a lot of indirect, uh, I mean, if you have bad breath, for example, uh, if your gums bleed,
[00:20:37.900 --> 00:20:42.180]   when you floss, these are all signs that you have a dysbiosis of the oral microbiome. You have to make
[00:20:42.180 --> 00:20:47.960]   changes. And are all those changes medical or could it be diet changes and product changes?
[00:20:48.100 --> 00:20:52.400]   I always tell patients, you know, if you're not willing to get tested, then, then turn all the
[00:20:52.400 --> 00:20:56.700]   channels on and turn off the channels that, you know, are, are, we know that are going to give you
[00:20:56.700 --> 00:21:03.340]   a problem, for example. And, and, you know, when you go see a dentist, ask for a, a customized approach,
[00:21:03.340 --> 00:21:07.900]   tell them you don't want to just come in every two, twice a year. And, you know, the, the routine
[00:21:07.900 --> 00:21:12.640]   stuff and be told to floss and brush, find out exactly, get tested, find out what's going on
[00:21:12.640 --> 00:21:17.280]   and find out what those channels are, what those triggers are. Is it your diet? Have a conversation
[00:21:17.280 --> 00:21:20.940]   with your, uh, I mean, you're sitting there for an hour with your hygienist, he or she will do all
[00:21:20.940 --> 00:21:24.620]   the talking, but that's fine. You're going to sit there and listen, ask one question, then just say,
[00:21:24.620 --> 00:21:30.860]   okay, I'm going to shut up now. Tell me about how, what is the ideal dental diet? And, and then,
[00:21:30.860 --> 00:21:36.740]   and then you could go on from there. I mean, uh, you, you really, as a patient these days,
[00:21:36.740 --> 00:21:40.720]   you have to be your own advocate. You really have to ask, what can I do about it? And most
[00:21:40.720 --> 00:21:46.300]   professionals will be go like, we'll be like, Oh my God, this is a interesting patient that wants
[00:21:46.300 --> 00:21:51.560]   to know. And the floodgates will open. You'll get all the data you need, but there is no rubber stamp
[00:21:51.560 --> 00:21:56.700]   to every patient that comes in. Um, unfortunately it just doesn't work that way. There's individuality
[00:21:56.700 --> 00:22:01.620]   in each biome, whether it's a gut microbiome or an oral microbiome. So you really need a customized
[00:22:01.620 --> 00:22:06.640]   approach. Okay. Ask for it. Now, before we go past food, are there anything I saw a post you wrote
[00:22:06.640 --> 00:22:10.320]   where it was like, you know, 10 things you should stop doing. One of them I noticed was like,
[00:22:10.320 --> 00:22:16.380]   stop using a blender, but are there any kind of quick hits of, you know, aside from switching
[00:22:16.380 --> 00:22:20.980]   to whole foods and these big broad scopes, are there some just really bad actors that we can
[00:22:20.980 --> 00:22:28.180]   all try to avoid? Yeah. One is kids are not eating what they used to eat, uh, before we had blenders
[00:22:28.180 --> 00:22:34.080]   and processed foods and part of their developmental process of getting that jaw to its full width,
[00:22:34.220 --> 00:22:40.340]   downward forward growth, which when that develops correctly, uh, then the airway develops correctly,
[00:22:40.340 --> 00:22:44.980]   then the nose develops correctly. Then they become an obligate nasal breather. That development,
[00:22:44.980 --> 00:22:50.040]   one of the aspects of getting that to happen by age nine, by the way, 90% of it's done by then,
[00:22:50.040 --> 00:22:56.080]   uh, is chewing on meat sticks and really hard, crunchy things, carrots. And I would give them
[00:22:56.080 --> 00:23:00.960]   xylitol gum. I'm, I'm one of those parents that say xylitol gum is great. It suppresses the,
[00:23:00.960 --> 00:23:06.780]   the bug that causes cavities. It promotes saliva flow. Instead of having them brush after a meal,
[00:23:06.780 --> 00:23:10.820]   especially at school, give them some xylitol gum. They'll chew it. It's sweet. It's wonderful.
[00:23:10.820 --> 00:23:17.240]   Um, so that chewing motion actually is key. If, if they're sucking down baby food and,
[00:23:17.240 --> 00:23:23.040]   and they're not chewing on a hard crusted bread, or that's going to have an effect on the rest of their
[00:23:23.040 --> 00:23:27.040]   quality of life curve. I mean, obviously if it's in a bag and you're, you know, looking for a pair of
[00:23:27.040 --> 00:23:32.700]   scissors or tearing it open, be careful if it's a processed food. Uh, the bacteria love that. That's
[00:23:32.700 --> 00:23:38.220]   what turns the oral microbiome into a real hot mess. Um, and if that's a hot mess, then the rest of your
