
[00:00:00.000 --> 00:00:06.960]   i just wanted to make sure that the recording was uh going to go work properly okay
[00:09:41.680 --> 00:09:45.600]   work with other attention mechanism so so even though we listed it out here right we are we are
[00:09:45.600 --> 00:09:51.760]   already like breaking the rules for one of the experiments that we're already doing so um so like
[00:09:51.760 --> 00:09:57.440]   for example one of the things that did not work for example which we thought would uh and and uh is
[00:09:57.440 --> 00:10:01.920]   that uh so when we took so one of the shortcuts that we tried to do for example is that we took the
[00:10:01.920 --> 00:10:10.400]   existing attention module weights and copy it over to rwkb um because at the end of the other kv is
[00:10:10.400 --> 00:10:18.080]   is still is still uh still matrix multiplication the weights can be copied over uh and and we we just
[00:10:18.080 --> 00:10:27.760]   like maybe it will work did not work um uh respectively um commented on their leadership skill his
[00:10:27.760 --> 00:10:35.760]   leadership skills so we we made a pushback on their decision um today so we will hear most probably
[00:10:35.760 --> 00:10:42.560]   tomorrow how the direction will go if that is not the case we are asking to consider him for a different
[00:10:42.560 --> 00:10:53.680]   role in relax so sorry yeah uh that didn't sound like a question right yeah um yeah so so yeah um we then
[00:10:53.680 --> 00:11:01.360]   subsequently um yeah uh like i said so we we we we abulated this and then we tested it like from from
[00:11:01.360 --> 00:11:08.560]   starting the attention mechanism from scratch pretty much pretty much uh same score so so we end up
[00:11:08.560 --> 00:11:16.160]   skipping that um even though i mentioned freezing model weights right you like like um i think one of the
[00:11:16.160 --> 00:11:21.440]   things to point out is that you want to freeze only at stage one so so you go through several stages the
[00:11:21.440 --> 00:11:27.440]   first stage is you replace the attention layer and then you do a quick chain um and then subsequently
[00:11:27.440 --> 00:11:33.760]   you will want to unfreeze the mlp layers um the reason why we found that this was needed is that uh is
[00:11:33.760 --> 00:11:39.520]   is that um especially over a longer context length right the performance will drop otherwise things like
[00:11:39.520 --> 00:11:47.200]   that um batch sizing is extremely tricky uh um but i think this is the case for actually any large model but
[00:11:47.200 --> 00:11:53.760]   it's just particularly so within this process and and to be clear also like and this is actually further
[00:11:53.760 --> 00:12:01.520]   confirm with uh with one of the upcoming reasoning models that we did uh did right was that was that you
[00:12:01.520 --> 00:12:06.480]   will need to have the data set that's reflective of the data that is in the model so for example we
[00:12:06.480 --> 00:12:13.920]   recently did uh one the reasoning model we converted it uh spoiler is the is the latest quen tree model
[00:12:13.920 --> 00:12:20.400]   and and we we didn't release it uh because we did when we did the conversion we didn't convert with the
[00:12:20.400 --> 00:12:26.080]   reasoning data set so when when he when he tried to do the reasoning token and things like that it just went
[00:12:26.080 --> 00:12:34.880]   crazy um we are now redoing the process with reasoning tokens and and and subsequently uh this this will be
[00:12:34.880 --> 00:12:40.000]   we believe this will perform much better so like like your data set should be approximately the same
[00:12:40.000 --> 00:12:45.120]   of what is your original model data set which is a challenge because we have absolutely no idea what
[00:12:45.120 --> 00:12:52.160]   is quen data set so so so so so that's one thing to take note another thing that we tried for example is
[00:12:52.160 --> 00:13:01.360]   like we tried to do laura base uh for for for for the conversion process it just made things a lot worse
[00:13:01.360 --> 00:13:07.520]   yeah so i i as the reason why we do we decide to document all the what did not work is that uh like
[00:13:07.520 --> 00:13:14.480]   once again um there is a lot of benefits for this mechanism here uh this approach right uh for new
[00:13:14.480 --> 00:13:19.520]   attention mechanism not just rbkb and we just wanted to like outline like like some of the key things there
[00:13:20.080 --> 00:13:26.880]   so yep and and so for those who don't know what rwkb is uh and i think most people in this group
[00:13:26.880 --> 00:13:31.600]   already know is that it's a linear attention mechanism that my group has been building and
[00:13:31.600 --> 00:13:39.600]   scaling up so with this right we have now built the the world's largest 72b um model that doesn't have
[00:13:39.600 --> 00:13:45.280]   the transformer attention mechanism the benefit of it is scale linearly over a thousand x cheaper inference
[00:13:45.280 --> 00:13:55.120]   cost and but what i find more exciting about about us covering this paper itself right this paper is
[00:13:55.120 --> 00:14:01.280]   that it's not really so much about my architecture because i'm also on record saying that i don't think
[00:14:01.280 --> 00:14:08.240]   our architecture is final and and that and that like we're and that there's so much more improvement to be
[00:14:08.240 --> 00:14:14.640]   made so so so so so so if anything right i actually do think there needs to be more research into other
[00:14:14.640 --> 00:14:21.040]   ways to build ai architectures because like one of the things that i said uh at icr where i presented the
[00:14:21.040 --> 00:14:30.160]   earlier version of this is that um was that right now the largest models to date right are not even are not
[00:14:30.160 --> 00:14:39.120]   reliable enough to do cashier duty or day-to-day work tasks and we are basic and and well scaling does help
[00:14:39.120 --> 00:14:45.440]   it right if we scale seven times more because the scaling laws like you scale 10x to get 10 improvement
[00:14:45.440 --> 00:14:53.280]   that will be the entire energy of the earth required to train the model so so at so at some point right we
[00:14:53.280 --> 00:15:00.560]   do need a better uh attention mechanism to like um to like eat to lower the energy cost or to like just
[00:15:00.560 --> 00:15:06.560]   make things more reliable or to make things as a scale better and previously most of the existing labs
[00:15:06.560 --> 00:15:13.920]   avoid doing this because to validate any new architecture um you will need to and this is from our experience
[00:15:13.920 --> 00:15:21.120]   you need to iterate around 20 to 80 times um to before you can find an architecture that has a 10 improvement
[00:15:21.120 --> 00:15:27.360]   you're going to get more failures and success and when each try can cost up to five million dollars
[00:15:27.360 --> 00:15:33.600]   in in that training process yeah it gets we are looking at tens of millions of dollars to try
[00:15:33.600 --> 00:15:40.080]   experiment on new architecture and that 10 million could be just to train more tokens but this changes
[00:15:40.080 --> 00:15:47.520]   things if it's now 2 000 to 20 000 to test a new new attention mechanism it unlocks the door to literally
[00:15:48.240 --> 00:15:55.680]   anyone uh who is willing to spin up a run port instance for example and that that's how that and
[00:15:55.680 --> 00:16:03.360]   and that's why we expect more experiments to do so and which links very well to the most very recent
[00:16:03.360 --> 00:16:09.200]   thing about gemini diffusion model um i think i also said that diffusion models are probably interesting
[00:16:09.200 --> 00:16:18.160]   because um or two things that i want to find out like one one uh is that uh diffusion models at least
[00:16:18.160 --> 00:16:25.840]   for images have been highly resistant to to uh to catastrophe i know sorry to overfitting in the sense
[00:16:25.840 --> 00:16:32.720]   that like you may have heard like uh of large language models overfitting after they see the data three four
[00:16:32.720 --> 00:16:39.280]   four times for example or even two times and they start going like crazy or inferior diffusion models
[00:16:39.280 --> 00:16:44.480]   especially in the image space are typically trained over a thousand times with the same data and they
[00:16:44.480 --> 00:16:51.520]   did not go crazy and and we and and i've been saying that i want to see more success in text diffusion model
[00:16:51.520 --> 00:16:57.760]   because i want to actually find out and test the hypothesis about why does diffusion models become
[00:16:57.760 --> 00:17:05.840]   more resilient and and this is and and and well this is not open source uh google gemini has recently
[00:17:05.840 --> 00:17:12.480]   released a diffusion model as as the demo that is blazingly fast so linking that right is that that uh is
[00:17:12.480 --> 00:17:16.800]   that uh is that uh is that there's uh on the open source side right uh so that is proved that diffusion
[00:17:16.800 --> 00:17:23.200]   model can actually work as potentially even replacements to to to to my architecture and transform architecture
[00:17:23.200 --> 00:17:30.320]   um this um this is the paper covering large language diffusion models and and so this is the the team
[00:17:30.320 --> 00:17:37.600]   that trained the lada a b which which which which which then um they uh which is then to be used uh
[00:17:38.480 --> 00:17:46.640]   and then they benchmark it across the spectrum of tasks so i think what is uh what is interesting for
[00:17:46.640 --> 00:17:55.440]   diffusion models is that uh for this in particular right what is uh i think the easiest way to to view a
[00:17:55.440 --> 00:18:04.880]   diffusion a text diffusion model is that instead of pixels on the screen you uh you view you you replace
[00:18:04.880 --> 00:18:12.320]   that with actually just the byte values and and that essentially means that it means that that same
[00:18:12.320 --> 00:18:19.120]   process right of how you like you you generate an image and then you it slowly updates the values right
[00:18:19.120 --> 00:18:24.320]   uh i think i think i'm just going to show this as a demo example as you can see it slowly updates like
[00:18:24.320 --> 00:18:34.240]   what token by token character by character and and the well the downside for this is that your um you may you
[00:18:34.240 --> 00:18:41.280]   won't get that streaming token effect i mean uh uh respectively uh and your time to first token air
[00:18:41.280 --> 00:18:48.800]   code there might be much longer the benefit was that the benefit for diffusion model is that um if
[00:18:48.800 --> 00:18:53.120]   let's say you're generating a thousand tokens you might be able to generate all thousand tokens in let's
[00:18:53.120 --> 00:19:01.280]   say a hundred steps which means it's faster and overall yeah um i think what is interesting about
[00:19:01.280 --> 00:19:09.840]   this as well right this paper in particular is that is that like um though as the way they they they said
[00:19:09.840 --> 00:19:16.560]   it right uh is that um one is that the model itself right for diffusion models which to be clear this
[00:19:16.560 --> 00:19:22.480]   is too early to say in my opinion 8b is too early to even draw conclusions right was able to outperform
[00:19:22.480 --> 00:19:31.840]   lama right in in in in context learning and reversal reasoning reversal reasoning is is is is um is that
[00:19:31.840 --> 00:19:39.360]   is the the the issue when let's say like uh a is related to b b is related to c and you have like a
[00:19:39.360 --> 00:19:50.480]   statement like that uh is the model able to to to deduce logically that c is equal uh uh is uh related to a in
[00:19:50.480 --> 00:19:57.920]   in a single hole um this is partially mitigated now with we with the chain of thought reasoning or deep
[00:19:57.920 --> 00:20:04.960]   uh deep thinking or whatever you want to call it um or one-star reasoning but this was previously like a
[00:20:04.960 --> 00:20:10.160]   major hurdle for actually a lot of the transformer model it's unable to like do the association backwards
[00:20:10.160 --> 00:20:17.760]   from what it is trained on and it is shown that diffusion models are able to like overcome that i think it's also
[00:20:17.760 --> 00:20:23.200]   in part is because they kind of work like in uh in a chain of thought pattern i uh because because like
[00:20:23.200 --> 00:20:31.200]   every time it generates a part of the text it gets to see and regenerates it so so the and so they cover
[00:20:31.200 --> 00:20:39.520]   how they how they train it respectively uh so um where where essentially they must uh uh uh they must
[00:20:39.520 --> 00:20:45.360]   the token uh individually uh like there are different ways to approach it so like masking the token individually
[00:20:45.360 --> 00:20:49.360]   that means what they did was that they they trained the laws of the various different
[00:20:49.360 --> 00:20:57.120]   token sets and mass respectively uh compared to other other other tokens because since diffusion models
[00:20:57.120 --> 00:21:02.000]   are no longer like running linearly they're able to see to the left and to the right of them all at the
[00:21:02.000 --> 00:21:08.160]   the same time yeah um the um the other the other thing that they did was for towards more like prompt
[00:21:08.160 --> 00:21:14.160]   completion training where basically the prompt is frozen at mass and then uh the response is trained
[00:21:14.160 --> 00:21:20.080]   respectively this is very similar to like the same thing as how people train diffusion models where
[00:21:20.080 --> 00:21:27.440]   where they where either they add noise and then they just uh train everything from there or they actually freeze
[00:21:27.440 --> 00:21:33.040]   a part of the image and and then ask it to regenerate another part of the image so like the one this is
[00:21:33.040 --> 00:21:38.400]   one plus example like for example you like you delete the center of the image and and you and you train
[00:21:38.400 --> 00:21:44.480]   the model to like regenerate that image so so that's still a problem and response if you structure it similarly
[00:21:45.440 --> 00:21:55.920]   yeah then um as they covered uh uh what else did they cover there wasn't really other than the what
[00:21:55.920 --> 00:22:04.560]   they observed and uh and as i mentioned like like uh like uh how how how the inference can can trail
[00:22:04.560 --> 00:22:11.760]   between uh lead to higher performance in overall i think the only thing else is like the math and then they
[00:22:11.760 --> 00:22:18.400]   they basically showed the the the the the model's performance over over the training course and then
[00:22:18.400 --> 00:22:24.960]   it shows that it's it's so autoregressive baseline basically transformers is a uh it shows that it's
[00:22:24.960 --> 00:22:31.040]   able to like keep up in general with transformers uh leading uh leading to like like potential and
[00:22:31.040 --> 00:22:36.960]   like more research down this path respectively so yeah uh and then they shared their benchmark respectively
[00:22:37.760 --> 00:22:46.400]   which what as i mentioned previously what is of interest is that like for example oxy
[00:22:46.400 --> 00:22:54.800]   is higher than llama and well mmlu is lower uh which is kind of funny because it's like this like
[00:22:54.800 --> 00:23:03.760]   we saw the same issues with rwkb for example with rwkb having the higher oxy and gsm 8k well we're having
[00:23:03.760 --> 00:23:09.440]   slightly lower uh math and mmlu uh which which kind of like still leads into the like one of the current
[00:23:09.440 --> 00:23:14.240]   hypotheses that is a different attention mechanism may favor different architectures yeah
[00:23:14.240 --> 00:23:23.120]   yeah and i think that's about it i already showed the sampling process through the animation here so yeah
[00:23:23.680 --> 00:23:29.840]   yep ah yeah so that's uh yeah anyone has any questions
[00:23:29.840 --> 00:23:46.960]   i had a quick question mostly from the chat so since we have language diffusion now is there any language
[00:23:46.960 --> 00:23:55.840]   language flow matching models oh um not that i know all uh um because i i think this is just
[00:23:55.840 --> 00:23:58.800]   fresh out of the oven
[00:23:58.800 --> 00:24:01.680]   so
[00:24:01.680 --> 00:24:11.680]   yeah but i don't see why not uh down the line i i'm a little bit so i'm not sure
[00:24:12.640 --> 00:24:17.680]   here i didn't read i haven't i still haven't read this paper but we actually covered this a little
[00:24:17.680 --> 00:24:24.640]   bit previously too so i mean this is really similar to burt right and it feels to me like you're we're
[00:24:24.640 --> 00:24:32.240]   basically just training we're training it to uh like an encoder only model but just with multiple steps
[00:24:32.240 --> 00:24:39.840]   and it's unclear to me the flow matching models require the gaussian assumption and i don't know that that
[00:24:39.840 --> 00:24:48.240]   gaussian assumption is here or not uh so yeah like i i haven't read the paper though so
[00:24:48.240 --> 00:24:55.120]   the gaussian function let's just do a quick check for that
[00:24:55.120 --> 00:25:04.240]   i from what i understand so like the large the language division model right what they said here right is
[00:25:04.240 --> 00:25:12.160]   that is that is that they use the same sampling techniques for the individual tokens um as existing
[00:25:12.160 --> 00:25:19.360]   approach for transformers so we're not so so i don't think they're using using like uh gaussian
[00:25:19.360 --> 00:25:26.320]   sampling they are just literally like at the individual token slots these are the logits
[00:25:27.600 --> 00:25:34.480]   and they sample from there and i assume what's happening as well is that there's probably like
[00:25:34.480 --> 00:25:40.080]   uh either low temperature or top p setting did they write top p
[00:25:40.080 --> 00:25:46.320]   no they didn't say top p yeah i think one of the things that they they did to make it more stable
[00:25:46.320 --> 00:25:54.000]   is probably either a lower temperature or top p setting uh where where essentially like the model will
[00:25:54.000 --> 00:26:01.200]   or the the individual tokens will will eventually represent their 90 plus percentile representation
[00:26:01.200 --> 00:26:05.680]   and the idea is that once once you put put the output back into the input for the diffusion
[00:26:05.680 --> 00:26:14.480]   uh if it's confident in that same input token it will it will with high probability output the same token
[00:26:14.960 --> 00:26:24.160]   and everything will then eventually stabilize so it's not diffusion it's really um uh it's it's it's really
[00:26:24.160 --> 00:26:28.800]   it's really just um yeah it's a sampling standard sampling that that's what they say
[00:26:34.640 --> 00:26:42.080]   uh i see great uh i see the question one question i hope you answer at some point in the talk is what
[00:26:42.080 --> 00:26:49.040]   is left to prove with regards to pursuing other uh others building you to use rwk as a base instead of
[00:26:49.040 --> 00:26:55.680]   attention i think right now one of the biggest proof point that is not 100 absolutely proven is million
[00:26:55.680 --> 00:27:04.160]   token context um um even though uh and above um and and i feel like this is a sliding goal post problem
[00:27:04.160 --> 00:27:10.880]   um so like rwkb right now is uh with the latest v7 paper we are able to hit 32k context length perfect
[00:27:10.880 --> 00:27:17.200]   memory uh with needle in the haystack and that's what 3b model the converted models are trained at 4k so
[00:27:17.200 --> 00:27:24.480]   they do not survive a 32k needle in the haystack to do a 32k needle in the haystack we needed way more vram to
[00:27:24.480 --> 00:27:33.360]   do the conversion and training process um and so so that would have required at least four nodes of mi300
[00:27:33.360 --> 00:27:41.760]   to to do to do 64k and 32k training and above um and you can imagine the numbers just get more ridiculous
[00:27:41.760 --> 00:27:49.920]   if you want to do 1 million uh token length um yeah so that is the what's left to prove but what we point
[00:27:49.920 --> 00:27:58.000]   to to to as a hypothesis in the rwk v7 paper is that we shown that 1.5b is slightly below this one okay
[00:27:58.000 --> 00:28:06.320]   needed a haystack and we showed that at 3b is more than 32k and so we show that we've increased param size
[00:28:06.320 --> 00:28:12.800]   and increased state size right that the context length actually improved in terms of the model's ability to
[00:28:12.800 --> 00:28:20.720]   memorize it and therefore right the hypothesis is that as we scale to 72b right when fully trained
[00:28:20.720 --> 00:28:26.720]   it should be able to handle much larger context length like i say this is a hypothesis we have
[00:28:26.720 --> 00:28:35.200]   not trained uh 512k context length model because we do not run a cluster uh a super cluster uh that being
[00:28:35.200 --> 00:28:45.840]   said uh we are training a larger context length model uh for uh for uh for quirky too we already have a
[00:28:45.840 --> 00:28:51.760]   iteration on on on the existing model which which then we are using like uh a few things that we if
[00:28:51.760 --> 00:28:56.960]   you look at our previous paper like goldfinch compress kv caches and stuff like that uh we are able to
[00:28:56.960 --> 00:29:02.880]   reduce the amount of memory requirement for longer context length um together with rwkv so it's a hybrid
[00:29:02.880 --> 00:29:09.440]   model and we are going to we are probably going to try push this to train to 64k to uh and one to eight and
[00:29:09.440 --> 00:29:16.000]   then 256k and above so so that would bring it into like into the category that is very well usable for
[00:29:16.000 --> 00:29:24.000]   most use case so activity is what is distilled into the target model yes uh that is for stage one and
[00:29:24.000 --> 00:29:31.760]   two uh eventually at the later stages it will be distillation from logits so that part is extremely
[00:29:31.760 --> 00:29:37.840]   important a lot of previous papers they distilled from the logits and that didn't train the attention
[00:29:37.840 --> 00:29:46.240]   mechanism well enough to be stabilized um the what you want to do is to train as fast as possible with
[00:29:46.240 --> 00:29:53.040]   as little tokens as possible all the layers right to mimic the original attention layers uh capability
[00:29:53.040 --> 00:29:57.520]   and so that's why we distilled between layers because because then then during the back propagation
[00:29:57.520 --> 00:30:05.440]   process right it doesn't need to guess hey if i backprop all these all these uh inputs and outputs right
[00:30:05.440 --> 00:30:12.000]   which layers do i need to update there is no guess within that it's just literally which which uh
[00:30:12.000 --> 00:30:17.280]   which mentioned notification block you want to update so so so that part is actually actually important um
[00:30:17.280 --> 00:30:27.680]   rwkv's nrn no uh it's not well it's inspired by lstm at this point uh it's i would say it's closer to
[00:30:27.680 --> 00:30:34.800]   transformer than lstm uh we've been rewriting this since like five years we're not in version seven so
[00:30:34.800 --> 00:30:39.200]   so a lot of things have changed have you done a compute equivalent performance such as duplicate
[00:30:39.200 --> 00:30:44.800]   context versus the original model single version of the context ah so um this is this is the same thing as
[00:30:44.800 --> 00:30:50.080]   the state space model team have shown that uh and we have tested this as well and we can confirm this is
[00:30:50.080 --> 00:30:57.600]   that yes if you duplicate the context twice the model does perform better um this is this applies to all
[00:30:57.600 --> 00:31:04.720]   linear models uh respectively not just rwkv state space and i believe xlstm as well though i may need to
[00:31:04.720 --> 00:31:12.640]   verify that uh personally i have verified it for state space model uh yeah um there was a patron
[00:31:12.640 --> 00:31:22.880]   is uh repeat twice linear models uh crap i can't remember the paper name yeah i'll i'll try to search
[00:31:22.880 --> 00:31:32.320]   up that okay so we have the repeat twice paper and the subsequently what was the other one that i mentioned
[00:31:32.320 --> 00:31:40.240]   uh the mlp layers are being the same uh across different architectures so yeah um
[00:31:42.000 --> 00:31:48.160]   another thing to highlight as well right is that is that what is exciting also for example for the
[00:31:48.160 --> 00:31:53.600]   quirky 72b right uh and i assume this will apply to state space as well if it goes through the same
[00:31:53.600 --> 00:32:03.680]   process is that well we have similar performance to transformers at 72b scale when running on the same gpu
[00:32:04.640 --> 00:32:12.800]   we are able to get more tokens per second in aggregate than than as it is in transform architecture so we
[00:32:12.800 --> 00:32:17.360]   are talking so so we're talking about like the tokens per second comparison that the 72b model
[00:32:17.360 --> 00:32:25.840]   um is like we can we're able to do like batch size 60 or 70. if you run a 72b on h100 you're only able to
[00:32:25.840 --> 00:32:32.640]   do let's say batch size 8 or 16. and to run similar batch sizes right you will probably only need you probably
[00:32:32.640 --> 00:32:39.360]   need to run a transformer a b instead and that that's speed up in overall token per second is actually
[00:32:39.360 --> 00:32:44.880]   probably the bigger impact because at the end of the production really cares about how much compute and
[00:32:44.880 --> 00:32:51.440]   how much tokens and how much intelligence you can extract uh rj do you ah yeah just read twice closing the
[00:32:51.440 --> 00:32:59.680]   recall gap yeah that is the paper yeah thank you for finding that uh so i i will repost this inside here for
[00:32:59.680 --> 00:33:08.400]   for those who once if someone can find that mlp paper that would be great as well uh yeah so this is
[00:33:08.400 --> 00:33:20.400]   uh just read twice a uh paper um the trdr is uh we like if you just where was it the benchmarks
[00:33:20.400 --> 00:33:25.120]   uh okay i just realized that this paper is actually quite hard to to read at an immediate glance
[00:33:25.120 --> 00:33:34.000]   but the trdr was that uh linear models perform better when you just repeat the context twice
[00:33:35.120 --> 00:33:43.840]   uh uh uh yeah pretty curious about after after after is there language for matching not too sure about that uh what do you think about
[00:33:43.840 --> 00:33:55.840]   uh compared to mamba uh as covered previously like we we believe that like linear intentions uh uh
[00:33:55.840 --> 00:34:02.720]   uh works better as because because like you're able to take the one of the problems that we observe in mamba
[00:34:02.720 --> 00:34:07.200]   especially in the smaller models is that informations are merged from left to right
