
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:01:27.880 --> 00:01:30.280]   So, you know, toy problems can be very useful.
[00:01:30.280 --> 00:01:33.800]   It's just that I was really struck by the fact that
[00:01:33.800 --> 00:01:35.400]   a lot of people, particularly a lot of people
[00:01:35.400 --> 00:01:38.640]   with money to invest, would be fooled by people telling them,
[00:01:38.640 --> 00:01:41.640]   oh, we have, you know, the algorithm of the cortex
[00:01:41.640 --> 00:01:43.620]   and you should give us 50 million.
[00:01:43.620 --> 00:01:44.460]   - Yes, absolutely.
[00:01:44.460 --> 00:01:49.460]   So there's a lot of people who try to take advantage
[00:01:49.460 --> 00:01:52.480]   of the hype for business reasons and so on.
[00:01:52.480 --> 00:01:55.040]   But let me sort of talk to this idea
[00:01:56.080 --> 00:02:00.360]   that the new ideas, the ideas that push the field forward
[00:02:00.360 --> 00:02:02.880]   may not yet have a benchmark,
[00:02:02.880 --> 00:02:05.120]   or it may be very difficult to establish a benchmark.
[00:02:05.120 --> 00:02:05.960]   - I agree.
[00:02:05.960 --> 00:02:06.800]   That's part of the process.
[00:02:06.800 --> 00:02:08.840]   Establishing benchmarks is part of the process.
[00:02:08.840 --> 00:02:11.560]   - So what are your thoughts about,
[00:02:11.560 --> 00:02:13.880]   so we have these benchmarks on,
[00:02:13.880 --> 00:02:16.520]   around stuff we can do with images,
[00:02:16.520 --> 00:02:19.160]   from classification to captioning,
[00:02:19.160 --> 00:02:21.180]   to just every kind of information you can pull off
[00:02:21.180 --> 00:02:23.120]   from images and the surface level.
[00:02:23.120 --> 00:02:25.680]   There's audio data sets, there's some video.
[00:02:25.680 --> 00:02:29.200]   What can we start, natural language,
[00:02:29.200 --> 00:02:32.960]   what kind of stuff, what kind of benchmarks do you see
[00:02:32.960 --> 00:02:37.880]   that start creeping on to more something like intelligence,
[00:02:37.880 --> 00:02:41.680]   like reasoning, like, maybe you don't like the term,
[00:02:41.680 --> 00:02:44.720]   but AGI, echoes of that kind of formulation?
[00:02:44.720 --> 00:02:47.120]   - Yeah, so a lot of people are working on
[00:02:47.120 --> 00:02:50.360]   interactive environments in which you can train
[00:02:50.360 --> 00:02:52.360]   and test intelligent systems.
[00:02:52.360 --> 00:02:54.460]   So there, for example,
[00:02:54.460 --> 00:03:00.400]   the classical paradigm of supervised learning
[00:03:00.400 --> 00:03:02.200]   is that you have a data set,
[00:03:02.200 --> 00:03:03.720]   you partition it into a training set,
[00:03:03.720 --> 00:03:04.720]   validation set, test set,
[00:03:04.720 --> 00:03:07.280]   and there's a clear protocol, right?
[00:03:07.280 --> 00:03:10.660]   But what if, that assumes that the samples
[00:03:10.660 --> 00:03:13.120]   are statistically independent,
[00:03:13.120 --> 00:03:14.360]   you can exchange them,
[00:03:14.360 --> 00:03:16.520]   the order in which you see them shouldn't matter,
[00:03:16.520 --> 00:03:17.720]   things like that.
[00:03:17.720 --> 00:03:19.800]   But what if the answer you give
[00:03:19.800 --> 00:03:21.840]   determines the next sample you see,
[00:03:21.840 --> 00:03:23.840]   which is the case, for example, in robotics, right?
[00:03:23.840 --> 00:03:25.440]   You robot does something
[00:03:25.440 --> 00:03:27.880]   and then it gets exposed to a new room,
[00:03:27.880 --> 00:03:29.380]   and depending on where it goes,
[00:03:29.380 --> 00:03:30.240]   the room would be different.
[00:03:30.240 --> 00:03:32.700]   So that creates the exploration problem.
[00:03:32.700 --> 00:03:37.240]   The what if, the samples,
[00:03:37.240 --> 00:03:40.040]   so that creates also a dependency between samples, right?
[00:03:40.040 --> 00:03:43.880]   If you can only move in space,
[00:03:43.880 --> 00:03:45.220]   the next sample you're gonna see
[00:03:45.220 --> 00:03:48.120]   is gonna be probably in the same building, most likely.
[00:03:49.760 --> 00:03:52.200]   So all the assumptions about the validity
[00:03:52.200 --> 00:03:55.920]   of this training set, test set hypothesis break.
[00:03:55.920 --> 00:03:57.360]   Whenever a machine can take an action
[00:03:57.360 --> 00:03:59.200]   that has an influence in the world,
[00:03:59.200 --> 00:04:00.640]   and it's what it's gonna see.
[00:04:00.640 --> 00:04:04.420]   So people are setting up artificial environments
[00:04:04.420 --> 00:04:06.320]   where that takes place, right?
[00:04:06.320 --> 00:04:10.100]   The robot runs around a 3D model of a house
[00:04:10.100 --> 00:04:12.960]   and can interact with objects and things like this.
[00:04:12.960 --> 00:04:14.640]   So you do robotics by simulation,
[00:04:14.640 --> 00:04:16.000]   you have those, you know,
[00:04:17.200 --> 00:04:18.680]   a bunny eye gym type thing,
[00:04:18.680 --> 00:04:23.080]   or a MuJoCo kind of simulated robots,
[00:04:23.080 --> 00:04:25.520]   and you have games, you know, things like that.
[00:04:25.520 --> 00:04:27.900]   So that's where the field is going, really,
[00:04:27.900 --> 00:04:29.160]   this kind of environment.
[00:04:29.160 --> 00:04:32.600]   Now, back to the question of AGI,
[00:04:32.600 --> 00:04:34.200]   like, I don't like the term AGI,
[00:04:34.200 --> 00:04:40.040]   because it implies that human intelligence is general,
[00:04:40.040 --> 00:04:42.640]   and human intelligence is nothing like general,
[00:04:42.640 --> 00:04:45.120]   it's very, very specialized.
[00:04:45.120 --> 00:04:45.960]   We think it's general,
[00:04:45.960 --> 00:04:48.080]   we like to think of ourselves as having general intelligence,
[00:04:48.080 --> 00:04:50.360]   we don't, we're very specialized.
[00:04:50.360 --> 00:04:51.800]   We're only slightly more general than--
[00:04:51.800 --> 00:04:53.160]   - Why does it feel general?
[00:04:53.160 --> 00:04:56.300]   So you kind of, the term general,
[00:04:56.300 --> 00:04:58.480]   I think what's impressive about humans
[00:04:58.480 --> 00:05:00.600]   is the ability to learn,
[00:05:00.600 --> 00:05:02.520]   as we were talking about learning,
[00:05:02.520 --> 00:05:05.520]   to learn in just so many different domains.
[00:05:05.520 --> 00:05:08.680]   It's perhaps not arbitrarily general,
[00:05:08.680 --> 00:05:10.680]   but just you can learn in many domains
[00:05:10.680 --> 00:05:12.480]   and integrate that knowledge somehow.
[00:05:12.480 --> 00:05:14.120]   - Okay. - The knowledge persists.
[00:05:14.120 --> 00:05:16.480]   - So let me take a very specific example.
[00:05:16.480 --> 00:05:17.320]   It's not an example,
[00:05:17.320 --> 00:05:21.360]   it's more like a quasi-mathematical demonstration.
[00:05:21.360 --> 00:05:22.800]   So you have about one million fibers
[00:05:22.800 --> 00:05:24.680]   coming out of one of your eyes,
[00:05:24.680 --> 00:05:25.600]   okay, two million total,
[00:05:25.600 --> 00:05:27.720]   but let's talk about just one of them.
[00:05:27.720 --> 00:05:30.320]   It's one million nerve fibers, your optical nerve.
[00:05:30.320 --> 00:05:33.040]   Let's imagine that they are binary,
[00:05:33.040 --> 00:05:34.880]   so they can be active or inactive, right?
[00:05:34.880 --> 00:05:38.300]   So the input to your visual cortex is one million bits.
[00:05:38.300 --> 00:05:43.640]   Now, they're connected to your brain in a particular way,
[00:05:43.640 --> 00:05:46.200]   and your brain has connections
[00:05:46.200 --> 00:05:48.400]   that are kind of a little bit like a convolutional net,
[00:05:48.400 --> 00:05:50.520]   they're kind of local, you know,
[00:05:50.520 --> 00:05:52.200]   in space and things like this.
[00:05:52.200 --> 00:05:53.960]   Now imagine I play a trick on you.
[00:05:53.960 --> 00:05:57.280]   It's a pretty nasty trick, I admit.
[00:05:57.280 --> 00:05:59.960]   I cut your optical nerve,
[00:05:59.960 --> 00:06:03.400]   and I put a device that makes a random perturbation,
[00:06:03.400 --> 00:06:05.360]   a permutation of all the nerve fibers.
[00:06:05.360 --> 00:06:08.840]   So now what comes to your brain
[00:06:08.840 --> 00:06:12.080]   is a fixed but random permutation of all the pixels.
[00:06:13.400 --> 00:06:15.620]   There's no way in hell that your visual cortex,
[00:06:15.620 --> 00:06:19.000]   even if I do this to you in infancy,
[00:06:19.000 --> 00:06:20.760]   will actually learn vision
[00:06:20.760 --> 00:06:24.280]   to the same level of quality that you can.
[00:06:24.280 --> 00:06:25.360]   - Got it, and you're saying
[00:06:25.360 --> 00:06:26.960]   there's no way you've relearned that?
[00:06:26.960 --> 00:06:29.880]   - No, because now two pixels that are nearby in the world
[00:06:29.880 --> 00:06:33.480]   will end up in very different places in your visual cortex.
[00:06:33.480 --> 00:06:35.880]   And your neurons there have no connections with each other
[00:06:35.880 --> 00:06:37.740]   because they only connected locally.
[00:06:37.740 --> 00:06:39.280]   - So this whole, our entire,
[00:06:39.280 --> 00:06:42.860]   the hardware is built in many ways to support?
[00:06:42.860 --> 00:06:44.440]   - The locality of the real world.
[00:06:44.440 --> 00:06:46.840]   Yes, that's specialization.
[00:06:46.840 --> 00:06:48.840]   - Yeah, but it's still pretty damn impressive.
[00:06:48.840 --> 00:06:50.480]   So it's not perfect generalization.
[00:06:50.480 --> 00:06:51.320]   It's not even close.
[00:06:51.320 --> 00:06:54.240]   - No, no, it's not that it's not even close.
[00:06:54.240 --> 00:06:55.240]   It's not at all.
[00:06:55.240 --> 00:06:56.480]   - Yeah, it's not, it's specialized.
[00:06:56.480 --> 00:06:58.280]   - So how many Boolean functions?
[00:06:58.280 --> 00:07:02.520]   So let's imagine you want to train your visual system
[00:07:02.520 --> 00:07:07.520]   to recognize particular patterns of those one million bits.
[00:07:07.520 --> 00:07:10.040]   Okay, so that's a Boolean function, right?
[00:07:10.040 --> 00:07:11.320]   Either the pattern is here or not here.
[00:07:11.320 --> 00:07:13.460]   It's a two way classification
[00:07:13.460 --> 00:07:15.940]   with one million binary inputs.
[00:07:15.940 --> 00:07:20.540]   How many such Boolean functions are there?
[00:07:20.540 --> 00:07:23.280]   Okay, you have two to the one million
[00:07:23.280 --> 00:07:25.440]   combinations of inputs.
[00:07:25.440 --> 00:07:28.320]   For each of those, you have an output bit.
[00:07:28.320 --> 00:07:31.080]   And so you have two to the one million
[00:07:31.080 --> 00:07:34.300]   Boolean functions of this type, okay?
[00:07:34.300 --> 00:07:37.280]   Which is an unimaginably large number.
[00:07:37.280 --> 00:07:38.800]   How many of those functions
[00:07:38.800 --> 00:07:41.520]   can actually be computed by your visual cortex?
[00:07:41.520 --> 00:07:45.720]   And the answer is a tiny, tiny, tiny, tiny, tiny, tiny sliver
[00:07:45.720 --> 00:07:47.760]   like an enormously tiny sliver.
[00:07:47.760 --> 00:07:49.240]   - Yeah, yeah.
[00:07:49.240 --> 00:07:51.560]   - So we are ridiculously specialized.
[00:07:51.560 --> 00:07:58.120]   - But, okay, that's an argument against the word general.
[00:07:58.120 --> 00:08:03.400]   I think there's a, I agree with your intuition,
[00:08:03.400 --> 00:08:05.200]   but I'm not sure it's,
[00:08:05.200 --> 00:08:09.040]   it seems the brain is impressively
[00:08:09.040 --> 00:08:13.040]   capable of adjusting to things.
[00:08:13.040 --> 00:08:13.880]   So--
[00:08:13.880 --> 00:08:17.640]   - It's because we can't imagine tasks
[00:08:17.640 --> 00:08:20.480]   that are outside of our comprehension, right?
[00:08:20.480 --> 00:08:22.280]   So we think we are general
[00:08:22.280 --> 00:08:23.520]   because we are general of all the things
[00:08:23.520 --> 00:08:25.000]   that we can apprehend.
[00:08:25.000 --> 00:08:27.240]   But there is a huge world out there
[00:08:27.240 --> 00:08:28.960]   of things that we have no idea.
[00:08:28.960 --> 00:08:31.080]   We call that heat, by the way.
[00:08:31.080 --> 00:08:31.980]   - Heat. - Heat.
[00:08:31.980 --> 00:08:34.880]   So, at least physicists call that heat,
[00:08:34.880 --> 00:08:36.040]   or they call it entropy, which is--
[00:08:36.040 --> 00:08:36.880]   - Entropy.
[00:08:36.880 --> 00:08:42.800]   - You have a thing full of gas, right?
[00:08:42.800 --> 00:08:44.960]   - Closed system full of gas.
[00:08:44.960 --> 00:08:45.960]   - Right?
[00:08:45.960 --> 00:08:46.840]   Closed or not closed.
[00:08:46.840 --> 00:08:51.840]   It has pressure, it has temperature,
[00:08:51.840 --> 00:08:56.000]   it has, and you can write equations,
[00:08:56.000 --> 00:08:58.400]   PV equal NRT, things like that, right?
[00:08:58.400 --> 00:09:01.640]   When you reduce the volume, the temperature goes up,
[00:09:01.640 --> 00:09:04.600]   the pressure goes up, things like that, right?
[00:09:04.600 --> 00:09:06.440]   For perfect gas, at least.
[00:09:06.440 --> 00:09:09.720]   Those are the things you can know about that system.
[00:09:09.720 --> 00:09:11.280]   And it's a tiny, tiny number of bits
[00:09:11.280 --> 00:09:13.640]   compared to the complete information
[00:09:13.640 --> 00:09:15.080]   of the state of the entire system.
[00:09:15.080 --> 00:09:16.440]   Because the state of the entire system
[00:09:16.440 --> 00:09:18.000]   will give you the position and momentum
[00:09:18.000 --> 00:09:20.980]   of every molecule of the gas.
[00:09:20.980 --> 00:09:25.160]   And what you don't know about it is the entropy,
[00:09:25.160 --> 00:09:28.240]   and you interpret it as heat.
[00:09:28.240 --> 00:09:32.280]   The energy contained in that thing is what we call heat.
[00:09:32.280 --> 00:09:36.480]   Now, it's very possible that, in fact,
[00:09:36.480 --> 00:09:37.920]   there is some very strong structure
[00:09:37.920 --> 00:09:39.240]   in how those molecules are moving.
[00:09:39.240 --> 00:09:40.680]   It's just that they are in a way
[00:09:40.680 --> 00:09:43.320]   that we are just not wired to perceive.
[00:09:43.320 --> 00:09:44.320]   - Yeah, we're ignorant to it.
[00:09:44.320 --> 00:09:48.080]   And there's an infinite amount of things
[00:09:48.080 --> 00:09:49.640]   we're not wired to perceive.
[00:09:49.640 --> 00:09:51.560]   And you're right, that's a nice way to put it.
[00:09:51.560 --> 00:09:54.420]   We're general to all the things we can imagine,
[00:09:54.420 --> 00:09:59.040]   which is a very tiny subset of all things that are possible.
[00:09:59.040 --> 00:10:00.520]   - So it's like Kolmogorov complexity
[00:10:00.520 --> 00:10:02.820]   or the Kolmogorov-Chaitin sum of complexity.
[00:10:02.820 --> 00:10:09.800]   Every bit string or every integer is random,
[00:10:09.800 --> 00:10:12.360]   except for all the ones that you can actually write down.
[00:10:12.360 --> 00:10:15.800]   (both laughing)
[00:10:15.800 --> 00:10:17.080]   - Yeah, okay, so beautifully put.
[00:10:17.080 --> 00:10:19.640]   But so we can just call it artificial intelligence.
[00:10:19.640 --> 00:10:21.240]   We don't need to have a general.
[00:10:21.240 --> 00:10:23.000]   - Or human level.
[00:10:23.000 --> 00:10:24.600]   Human level intelligence is good.
[00:10:27.560 --> 00:10:30.840]   Anytime you touch human, it gets interesting
[00:10:30.840 --> 00:10:35.840]   because we attach ourselves to human
[00:10:35.840 --> 00:10:40.440]   and it's difficult to define what human intelligence is.
[00:10:40.440 --> 00:10:44.160]   Nevertheless, my definition is maybe
[00:10:44.160 --> 00:10:47.480]   damn impressive intelligence.
[00:10:47.480 --> 00:10:50.200]   Okay, damn impressive demonstration of intelligence,
[00:10:50.200 --> 00:10:51.040]   whatever.
[00:10:51.040 --> 00:10:53.620]   (upbeat music)
[00:10:53.620 --> 00:10:56.200]   (upbeat music)
[00:10:56.200 --> 00:10:58.780]   (upbeat music)
[00:10:58.780 --> 00:11:01.360]   (upbeat music)
[00:11:01.360 --> 00:11:03.940]   (upbeat music)
[00:11:03.940 --> 00:11:06.520]   (upbeat music)
[00:11:06.520 --> 00:11:16.520]   [BLANK_AUDIO]

