
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:04:13.800 --> 00:04:15.920]   who are neuroscientists.
[00:04:15.920 --> 00:04:18.320]   I would like to have more friends who are neuroscientists.
[00:04:18.320 --> 00:04:20.280]   I just don't run into them very often.
[00:04:20.280 --> 00:04:24.120]   Among the few neuroscientists I've ever talked about
[00:04:24.120 --> 00:04:28.160]   about this, they are pretty convinced
[00:04:28.160 --> 00:04:31.440]   that the brain functions classically.
[00:04:31.440 --> 00:04:36.320]   That it is not intrinsically a quantum mechanical system
[00:04:36.320 --> 00:04:39.360]   or doesn't make use of the special features,
[00:04:39.360 --> 00:04:42.160]   entanglement, coherent superposition.
[00:04:42.160 --> 00:04:43.120]   Are they right?
[00:04:43.120 --> 00:04:44.680]   I don't know.
[00:04:44.680 --> 00:04:46.080]   I sort of hope they're wrong,
[00:04:46.480 --> 00:04:48.600]   because I like the romantic idea
[00:04:48.600 --> 00:04:50.400]   that the brain is a quantum system.
[00:04:50.400 --> 00:04:51.240]   - Yeah.
[00:04:51.240 --> 00:04:53.520]   - But I think probably not.
[00:04:53.520 --> 00:04:57.320]   The other thing, big systems can be composed
[00:04:57.320 --> 00:04:58.720]   of lots of little systems.
[00:04:58.720 --> 00:05:03.400]   Materials, the materials that we work with and so forth
[00:05:03.400 --> 00:05:08.400]   are, can be large systems, a large piece of material,
[00:05:08.400 --> 00:05:10.840]   but they're big and they're made out of quantum systems.
[00:05:10.840 --> 00:05:12.880]   Now, one of the things that's been happening
[00:05:12.880 --> 00:05:16.280]   over the last good number of years
[00:05:16.280 --> 00:05:20.400]   is we're discovering materials and quantum systems
[00:05:20.400 --> 00:05:23.880]   which function much more quantum mechanically
[00:05:23.880 --> 00:05:25.320]   than we imagined.
[00:05:25.320 --> 00:05:27.720]   Topological insulators, this kind of thing,
[00:05:27.720 --> 00:05:29.200]   that kind of thing.
[00:05:29.200 --> 00:05:30.880]   Those are macroscopic systems,
[00:05:30.880 --> 00:05:33.560]   but they're just superconductors.
[00:05:33.560 --> 00:05:37.580]   Superconductors have a lot of quantum mechanics in them.
[00:05:37.580 --> 00:05:40.720]   You can have a large chunk of superconductor,
[00:05:40.720 --> 00:05:42.480]   so it's a big piece of material.
[00:05:42.480 --> 00:05:45.320]   On the other hand, it's functioning and its properties
[00:05:45.320 --> 00:05:48.520]   depend very, very strongly on quantum mechanics.
[00:05:48.520 --> 00:05:49.880]   And to analyze them,
[00:05:49.880 --> 00:05:51.920]   you need the tools of quantum mechanics.
[00:05:52.320 --> 00:05:53.160]   Bye now.
[00:05:53.160 --> 00:05:55.740]   (upbeat music)
[00:05:55.740 --> 00:05:58.320]   (upbeat music)
[00:05:58.320 --> 00:06:00.900]   (upbeat music)
[00:06:00.900 --> 00:06:03.480]   (upbeat music)
[00:06:03.480 --> 00:06:06.060]   (upbeat music)
[00:06:06.060 --> 00:06:08.640]   (upbeat music)
[00:06:08.640 --> 00:06:18.640]   [BLANK_AUDIO]

