
[00:00:00.000 --> 00:00:19.360]   Hi everyone, my name is Victor Dibia. I'm a principal research software engineer at Microsoft
[00:04:10.880 --> 00:04:16.160]   the design philosophy behind all that. But I thought, you know, there's just a bunch of resources out
[00:04:16.160 --> 00:04:22.520]   there. And in general, this is AI.engineer. How about we go ahead and we build something from
[00:04:22.520 --> 00:04:27.420]   scratch and we sort of show that today. And so maybe you shouldn't do that, but we're going to do that
[00:04:27.420 --> 00:04:33.280]   today. And the tool I'm going to show today is something called Blender LM. It's a multi-agent
[00:04:33.280 --> 00:04:38.040]   system built from scratch, no frameworks, nothing. And the idea is that it's supposed to help you build
[00:04:38.040 --> 00:04:44.820]   enable 3D sort of tasks. So you could go to this tool, say things like build, like, I don't know,
[00:04:44.820 --> 00:04:50.260]   a scene with a ball on a table. And essentially, it'll do all of the plumbing underneath and get you
[00:04:50.260 --> 00:04:55.580]   a Blender interface that sort of accomplishes that. Anyone here familiar with Blender?
[00:04:55.580 --> 00:05:02.420]   Okay, great. Awesome. So here's the plan today. I have about 13 minutes left. I'll show you a demo.
[00:05:02.880 --> 00:05:08.340]   I'll walk you through how I built it. And then at the end, we'll sort of discuss or synthesize a bunch
[00:05:08.340 --> 00:05:14.200]   of design principles that underpin a good user experience for a tool like this. And then finally,
[00:05:14.200 --> 00:05:21.000]   we'll sort of settle on a bunch of takeaways. Okay, let's go. In terms of background, how do I settle
[00:05:21.000 --> 00:05:26.920]   on Blender LM? So about two years ago, I sort of wanted to learn how to use Blender. And of course,
[00:05:26.920 --> 00:05:31.660]   if you've tried to use Blender, there's a really popular tutorial called Donut Tutorial. So that's
[00:05:31.660 --> 00:05:36.120]   what you're sort of looking at. And it's kind of deceptive because the tutorial takes about four
[00:05:36.120 --> 00:05:41.440]   hours. But at the end of the day, you need about 40 or 50 hours just to get through the whole thing.
[00:05:41.440 --> 00:05:45.900]   And so you're trying to learn, you know, where are things, where do things leave? How do you use the
[00:05:45.900 --> 00:05:50.200]   tool? And then you need to learn all of the concepts underneath. And so one of the things I asked myself
[00:05:50.200 --> 00:05:54.760]   was, can I build with all that I know about agents, with all my experience building Autogen,
[00:05:54.760 --> 00:06:00.120]   can I create an agentic workflow that will help me take, go from natural language to, let's say,
[00:06:00.120 --> 00:06:04.900]   something that looks like this. The prototype is not at this level of quality, but I think it can
[00:06:04.900 --> 00:06:10.400]   get there. And so the next question is, how do you express this as a multi-agent workflow? And you
[00:06:10.400 --> 00:06:16.320]   have a couple of options as a multi-agent system. So do you build a workflow? And I'm sure if you've
[00:06:16.320 --> 00:06:21.360]   been at this conference, you've seen people debate all of the pros and cons between a fixed
[00:06:21.360 --> 00:06:26.460]   deterministic workflow, so essentially know exactly what all the steps. And this is great. We sort of
[00:06:26.460 --> 00:06:30.880]   use a lot of that in production today. You can build reliable systems, take advantage of things like
[00:06:30.880 --> 00:06:36.740]   function calling, structured output, and build really, really valuable systems. However, it requires that
[00:06:36.740 --> 00:06:40.700]   you know the exact solution to the problem. And so what you're doing is that you're expressing that
[00:06:40.700 --> 00:06:45.040]   solution as a workflow. But there are costs of problems, like the kind of thing we want to address
[00:06:45.040 --> 00:06:49.240]   here, that you don't know the exact solution to the problem. Because every time you take an action,
[00:06:49.240 --> 00:06:53.520]   let's say, click something in Blender, the entire space changes, and you have to react to that in some
[00:06:53.520 --> 00:06:58.600]   way. And so on the other hand, on the other end of the spectrum, what I'm going to focus on today is
[00:06:58.600 --> 00:07:04.280]   more autonomous exploration systems. And so what that means is that we're sort of looking at a system
[00:07:04.280 --> 00:07:10.360]   where an LLM sort of drives the flow of control. We have tools, we take actions, we inspect the results,
[00:07:10.360 --> 00:07:17.320]   we observe, and then we make progress. Okay, so three characteristics here that we should be sort of
[00:07:17.320 --> 00:07:22.880]   have at the back of our mind. The system should have a bit of autonomy. So it might not address just a single
[00:07:22.880 --> 00:07:28.580]   task, maybe many different tasks. It should be able to take actions. And an action here can
[00:07:28.580 --> 00:07:34.300]   have side effects. And so, for example, you could try something, call a tool, and it could sort of
[00:07:34.300 --> 00:07:38.640]   return with a result that you don't expect, and your system should be able to handle that.
[00:07:38.640 --> 00:07:45.040]   And then finally, you need to have systems that are expected to sort of explore complex tasks,
[00:07:45.040 --> 00:07:52.840]   break them down into steps, and then run for extended periods of time. Okay, so let's switch to a quick
[00:07:52.840 --> 00:07:58.560]   demo. This is the Blender LLM interface. It's a web application. And essentially, what's going
[00:07:58.560 --> 00:08:03.140]   on here is that it's connected over a WebSocket connection to an actual Blender instance. So this is
[00:08:03.140 --> 00:08:09.200]   a Blender. This is a software tool for building 3D applications. And what we have here, the first thing
[00:08:09.200 --> 00:08:13.740]   you'll notice is that we have a set of fixed tools that the developer can use directly, and I'll tell you
[00:08:13.740 --> 00:08:20.280]   why we kind of need that in a second. So for example, I could click a button to clear the scene, and because we have a
[00:08:20.280 --> 00:08:28.540]   socket connection, we can stream exactly what's going on in the Blender interface. The scene is now clear, and we can show that to the UI in the UI.
[00:08:28.540 --> 00:08:42.960]   Next, we can, let's say, go on to a list of pre-selected or predetermined examples here. And so maybe I might ask this system to create two balls with a shiny, glossy, silver finish.
[00:08:43.180 --> 00:08:57.900]   And essentially, what we see here is that a bunch of activities start to occur. They're streamed to the UI in real time. So for us, it says we're analyzing the task if we scroll up just a bit. We've come up with a plan. There's some planning done. There's a planning agent underneath.
[00:08:57.900 --> 00:09:17.900]   It says the first step, we're going to set up the same environment by adding a ground plane. We're going to create two spheres with correct spatial separation, assign a glossy, silver finish, and all of that. And we can see in real time, the first thing is done is it's put in that plane. If you look at Blender, we see the horizontal plane here, and all of this is running live.
[00:09:17.900 --> 00:09:30.920]   We probably shouldn't do live demos and talk, but hey, you know, we're trying to be brave here. And then it sort of explores. Each time, essentially, what's happening is that each time it takes a step, calls a bunch of tools, executes those tools.
[00:09:31.420 --> 00:09:43.900]   We stream the update to the user interface. And then we have a sort of verification loop. It's a verify agent that sort of takes a snapshot of the scene, an actual log of what's in the scene, a visual representation.
[00:09:43.900 --> 00:09:50.520]   We use an LL, we sort of judge, are we making progress? Are we stalled? And then we sort of use that information to decide what we do next.
[00:09:50.520 --> 00:09:59.700]   And we can see that we have a ball here, which is actually what we really, really want to do. And we can look at that in Blender. We can tweak it around.
[00:10:00.500 --> 00:10:06.220]   Hey, look, look at that, guys. It works. I think we deserve a little applause here. Come on. There we go.
[00:10:06.220 --> 00:10:10.620]   I wouldn't explore more. I have about eight minutes left. Let's move on.
[00:10:10.620 --> 00:10:15.520]   So how is all of this built? Let's walk through the process really, really fast.
[00:10:15.520 --> 00:10:22.920]   Most of the time, when people sort of think of a system like this, the first thing they probably will say is, like, let's define the agent.
[00:10:22.920 --> 00:10:27.080]   That's really not what you should do first. First, let's define the goal. Pretty simple.
[00:10:27.660 --> 00:10:34.060]   Next, we need to come up with a baseline. Probably has nothing to do with agents, nothing to do with AI. Create. Just ensure everything works correctly.
[00:10:34.060 --> 00:10:38.940]   Third, we build out our tools. What tools does this agent need?
[00:10:38.940 --> 00:10:42.040]   If a human was going to do this, what tools would they need to accomplish this?
[00:10:42.680 --> 00:10:48.560]   And then, not the agent yet. Next, we define a testbed. How do we evaluate how this thing works?
[00:10:48.560 --> 00:10:54.160]   And so, and then finally, when you have all of that, that's when you then go ahead and build the agent.
[00:10:54.960 --> 00:11:00.180]   The step one is really simple. What we want here is we want to translate natural language tasks to 3D artifacts.
[00:11:00.180 --> 00:11:06.580]   Next, we create a baseline. We want a script that can say, let's build the hello world of Blender.
[00:11:06.580 --> 00:11:09.900]   Create a script. We run it. It adds a single cube to the scene.
[00:11:09.900 --> 00:11:15.080]   What we need here is a Blender add-on. We need a client library that can enable socket connections, all of that.
[00:11:15.780 --> 00:11:18.820]   And then, this is really, really valuable for rapid prototyping and testing.
[00:11:18.820 --> 00:11:22.640]   Next, we need to define a set of tools. And there are two types of tools.
[00:11:22.640 --> 00:11:27.920]   They can be task-specific tools. For example, something direct just create a Blender object and do nothing else.
[00:11:27.920 --> 00:11:33.900]   And then, you might have, let's say, general purpose kind of tool, which is something to execute arbitrary code.
[00:11:33.900 --> 00:11:40.000]   And so, in this case, you get your LLM to generate code, and you execute that, and that's what drives all the capabilities on Blender.
[00:11:42.060 --> 00:11:49.240]   And one thing to note is your agent is always only as good as the tools you give it, so spend a lot of time, about 50% of your time, on tools.
[00:11:49.240 --> 00:11:53.480]   And you can test all of this in code, just what that looks like.
[00:11:53.480 --> 00:11:59.520]   Next, you want to build an eval testbed. In this case, it's three steps. V1 is just a Jupyter notebook.
[00:11:59.520 --> 00:12:02.780]   We're going to write all that code, test it in a Jupyter notebook.
[00:12:02.780 --> 00:12:08.160]   Next, we create a full interactive web UI, which is the kind of thing I just showed here.
[00:12:10.740 --> 00:12:18.560]   And then, third, we probably want to create an eval automated test suite, so things with metrics and a full evaluation harness.
[00:12:18.560 --> 00:12:24.980]   And then, finally, to create your agent, the first thing you want to do is to create a base agent loop.
[00:12:24.980 --> 00:12:31.460]   If you've been at this conference, you know that an agent is mostly an LLM in a tight loop with a bunch of function calls.
[00:12:31.460 --> 00:12:34.560]   So, you create that, you get your spinal result, and then you're fine.
[00:12:34.560 --> 00:12:41.440]   But typically, for a problem like that, this is typically not enough, and you need to iterate just a little bit more.
[00:12:44.980 --> 00:12:45.340]   Okay.
[00:12:45.340 --> 00:12:48.340]   You need to iterate just a little bit more.
[00:12:48.340 --> 00:12:50.200]   And in this case, we have two other agents.
[00:12:50.200 --> 00:12:52.100]   There's one called the verify agent.
[00:12:52.100 --> 00:12:59.080]   What it does is that every time this agent takes a step, instead of taking the content of the scene, we take a list of all the objects there,
[00:12:59.080 --> 00:13:01.740]   and instead of using an LLM to predict, are we making progress?
[00:13:01.740 --> 00:13:03.120]   Is the user task completed?
[00:13:03.120 --> 00:13:04.880]   And then, we decide how to move forward.
[00:13:05.400 --> 00:13:07.280]   The second agent you want here is a planner.
[00:13:07.280 --> 00:13:12.360]   And so, you saw earlier, when the task came in, the planner sort of broke it down into atomic steps,
[00:13:12.360 --> 00:13:15.160]   and then each of the steps sort of addressed in this sort of tight loop.
[00:13:15.160 --> 00:13:18.820]   So, what can we learn from all of these?
[00:13:18.820 --> 00:13:23.360]   So, the design principles I'm going to give you here, they're not exhaustive.
[00:13:23.360 --> 00:13:24.140]   They're not perfect.
[00:13:24.140 --> 00:13:29.540]   And in fact, if you met someone that told you that they knew the exact design principles for multi-agent system design,
[00:13:29.540 --> 00:13:32.900]   you probably shouldn't trust them, because the space is just too early for that.
[00:13:33.280 --> 00:13:37.840]   So, what I'm going to try to give you today is a set of four high-level ideas that you can sort of take,
[00:13:37.840 --> 00:13:43.520]   and once you build this sort of system, sort of apply them to see how you can use that to improve your own systems.
[00:13:43.520 --> 00:13:52.540]   So, the first principle is capability discovery.
[00:13:52.540 --> 00:13:57.500]   So, what you want to do is that, because you have an agent, it can do a whole bunch of things,
[00:13:57.500 --> 00:14:00.300]   but there are a few things that it can do with high reliability.
[00:14:00.740 --> 00:14:05.140]   And so, you saw earlier, I had this little sort of pill that showed that here are the things the agent can do.
[00:14:05.140 --> 00:14:08.680]   So, you want to itemize the kind of things that your agent can do with high reliability.
[00:14:08.680 --> 00:14:14.720]   The second thing you can do is to have proactive suggestions based on user context.
[00:14:14.720 --> 00:14:16.040]   Let's say we have a scene open.
[00:14:16.040 --> 00:14:20.700]   You can sort of parse the scene and sort of suggest to the user some high-level things they can accomplish.
[00:14:21.440 --> 00:14:22.680]   And so, this is an example of that.
[00:14:22.680 --> 00:14:25.880]   The second thing is observability and provenance.
[00:14:25.880 --> 00:14:31.100]   And so, stream all of the activity logs, help the user sort of make sense of what the agent is doing.
[00:14:31.100 --> 00:14:34.540]   And then you want to provide tools for debugging and all of that.
[00:14:34.640 --> 00:14:43.560]   So, all the little things around number of tokens used, the amount of time taken for each of that, very, very valuable for the user to make sense of what the agent is doing.
[00:14:43.560 --> 00:14:46.300]   The third is interruptability.
[00:14:46.300 --> 00:14:50.400]   So, at this point, your agent is sort of taking all kinds of actions.
[00:14:51.040 --> 00:14:55.460]   And so, at any time, you want to sort of design your system such that you can pause it.
[00:14:55.460 --> 00:15:02.260]   It might be going down the wrong route, about to make a mistake, or sort of consume a bunch of resources that you don't intend.
[00:15:02.260 --> 00:15:07.620]   And so, you want a system that enables things like checkpointing, rollback, pauses, and resumes.
[00:15:07.620 --> 00:15:11.700]   And then, finally, cost-aware delegation.
[00:15:12.240 --> 00:15:22.920]   So, every time an agent takes an action, from the LLM's perspective, all actions are equal, all two calls are equal, unless you do something about it.
[00:15:22.920 --> 00:15:29.580]   And so, in the case of Blender, you might have it write some Python code that, let's say, I didn't add something to the same.
[00:15:29.580 --> 00:15:36.540]   But for any reason, let's say, it tries to delete the entire operating system, you really don't want things like that to happen.
[00:15:36.540 --> 00:15:45.500]   And so, you want a module that actively inspects and tries to estimate the cost of the action, and then knows when to delegate to the user.
[00:15:45.500 --> 00:15:48.240]   And so, I'm kind of getting to the end.
[00:15:48.240 --> 00:15:50.200]   What are some of the key takeaways?
[00:15:50.200 --> 00:15:54.220]   The first one is knowing when to use a multi-agent approach.
[00:15:54.220 --> 00:15:57.820]   And so, a multi-agent approach is not always the thing to use.
[00:16:00.040 --> 00:16:09.300]   Essentially, when you have multiple agents collaborating, and you give them a bunch of autonomy, as part of that process, you also increase the surface for error.
[00:16:09.300 --> 00:16:18.320]   And so, like any other tool, you should sort of inspect the problem space, and sort of verify if a multi-agent system is actually the right tool for the job.
[00:16:19.320 --> 00:16:34.600]   I always show this little graph, and so, you have a big circle here, and if the big circle is the task that you're engineering or most engineering teams need to do, then this small circle here at the bottom is the task that truly benefits from a multi-agent system approach.
[00:16:34.600 --> 00:16:47.900]   It's really that small, and before you try to build an autonomous multi-agent system, just think very, very carefully and ensure that you have good ROI on this specific approach.
[00:16:48.320 --> 00:16:54.620]   The next question I get is, how do I know if my task might benefit from a multi-agent approach?
[00:16:54.620 --> 00:16:57.440]   I typically offer a five-step framework.
[00:16:57.440 --> 00:16:59.420]   The first is planning.
[00:16:59.420 --> 00:17:01.760]   Does the task benefit from planning?
[00:17:01.760 --> 00:17:09.440]   Can you take a high-level input from a user and meaningfully break it down into a bunch of steps that lead to you from an unsolved state to a solved state?
[00:17:09.440 --> 00:17:14.500]   Next, can you take the task and sort of break it into multiple perspectives or personas?
[00:17:14.740 --> 00:17:26.680]   In this case, let's say you might have some persona that explores things like just planning of the task, maybe some personas that handle, let's say, code execution, all of that.
[00:17:26.680 --> 00:17:31.300]   And so, with the multi-agent approach, you can explore this sort of domain-driven kind of design.
[00:17:31.880 --> 00:17:37.000]   The third is, does the task require consuming or processing extensive context?
[00:17:37.000 --> 00:17:43.280]   And so, here we are constantly shorting the state of the app, screenshots, all of that.
[00:17:43.740 --> 00:17:52.840]   And it's kind of useful to sort of give individual agents each of these large pieces of context of process and then return to some other final coordination agent.
[00:17:52.840 --> 00:17:55.740]   And then, finally, adaptive solutions.
[00:17:55.740 --> 00:18:04.080]   As you take actions in the world or in the environment that your agent exists, the environment might change and you might constantly move to sort of react to that.
[00:18:04.220 --> 00:18:07.280]   So, you might need like an autonomous multi-agent approach here.
[00:18:07.280 --> 00:18:10.940]   The second takeaway is eval-driven design.
[00:18:10.940 --> 00:18:14.460]   Most people want to start out with just building your agent.
[00:18:14.460 --> 00:18:15.960]   It's typically a mistake.
[00:18:15.960 --> 00:18:25.560]   Instead, you want to define your task, define your evaluation metrics, build the baseline that has nothing to do with agents, improve your agents iteratively.
[00:18:25.560 --> 00:18:34.200]   Basically, in the case of this app, we had like a simple type loop, then we improved it, we added a verification agent, and then we added a planning agent.
[00:18:34.200 --> 00:18:47.060]   And based on the interactive evaluation tool I built, I could see that all of these things actually had like ROI and improvement, and that's why it makes sense to explore a multi-agent approach in this space.
[00:18:47.280 --> 00:18:57.100]   And then, the final thing is that academic benchmarks are great, but they're not your task, and so you really should build evals that's sort of attuned to your task.
[00:18:57.100 --> 00:19:06.860]   And then, the second slide, the last set of key takeaways are the design principles that we'll walk through today.
[00:19:06.860 --> 00:19:11.820]   I think this is the money slide here today for high-level things.
[00:19:12.280 --> 00:19:34.580]   First, always ensure that your users can discover the ideal tasks that your multi-agent system is designed for, provide user-facing observability traces, ensure that your agents are interruptible, you can check point and restart them, and then ensure that your agents can quantify the risk or cost of all actions and delegate to users as needed.
[00:19:34.900 --> 00:19:41.040]   And then, finally, don't build the whole multi-agent system from scratch just to give a talk, you probably know that.
[00:19:41.040 --> 00:19:49.900]   It's fun, it's a lot of work, and if you ever want to do something like this, consider using the framework to sell you a couple of keystrokes here and there.
[00:19:49.900 --> 00:20:00.080]   So, at the last slide, I have a bunch of further reading, a couple of papers we've written on Origin Studio, Magentic One, Magentic UI, challenges in human AI communication.
[00:20:01.140 --> 00:20:03.700]   These are all good references I recommend, you take a look.
[00:20:03.700 --> 00:20:07.780]   And then, I'm at the end of my slides, thank you so much for listening.
[00:20:07.780 --> 00:20:15.180]   I have a book I'm writing, there's a lot more about, there's, chapter three is really just about, like, design.
[00:20:15.180 --> 00:20:20.760]   Take a look if it's helpful for you, and all the code for Blender LLM is also available.
[00:20:20.760 --> 00:20:21.620]   Thank you.
[00:20:21.620 --> 00:20:21.620]   Thank you.
[00:20:21.620 --> 00:20:22.460]   Bye-bye.
[00:20:22.460 --> 00:20:22.460]   Bye-bye.
[00:20:22.460 --> 00:20:22.460]   Bye-bye.
[00:20:22.460 --> 00:20:22.780]   Bye-bye.
[00:20:22.780 --> 00:20:27.440]   I'll see you next time.

