
[00:00:00.000 --> 00:00:05.400]   Very well, also, so I, and I think, um.
[00:06:25.360 --> 00:06:26.360]   Yeah.
[00:06:26.360 --> 00:06:31.360]   Zero zero one, two, three, different, different levels of distributed training.
[00:06:31.360 --> 00:06:32.360]   Right.
[00:06:32.360 --> 00:06:33.360]   Right.
[00:06:33.360 --> 00:06:34.360]   So it's a efficiency, right?
[00:06:34.360 --> 00:06:41.360]   So instead of like having all weights on all GPUs, there's different degrees at which you can do zero optimization.
[00:06:41.360 --> 00:06:42.360]   Yeah.
[00:06:42.360 --> 00:06:44.360]   And this is compatible with zero.
[00:06:44.360 --> 00:06:45.360]   Yeah.
[00:06:45.360 --> 00:06:49.360]   So they're, they're previously, um, had some problems distributing.
[00:06:49.360 --> 00:06:51.360]   And so that this, this is how do we do that?
[00:06:51.360 --> 00:06:56.360]   So this is basically essential for actually scaling to a large model.
[00:06:56.360 --> 00:07:03.360]   Um, and then they look at the scaling laws and compare to Adam baseline.
[00:07:03.360 --> 00:07:06.360]   And, and it's, you know, I sort of like way better.
[00:07:06.360 --> 00:07:09.360]   So, uh, right there.
[00:07:09.360 --> 00:07:10.360]   Okay.
[00:07:10.360 --> 00:07:23.360]   So, um, so, okay, so I, I, so the thing that I actually got out of the paper was more just move on and not the, these three points here, which I think are cut to me are kind of like more engineering.
[00:07:23.360 --> 00:07:37.360]   And, um, so like definitely other people will have different interests here, but I thought the thing that I can do is really understand, uh, what's going on here and as best I can, and try to explain it to you guys.
[00:07:37.360 --> 00:07:42.360]   So, um, so like, this is the sort of like core algorithm, right?
[00:07:42.360 --> 00:07:51.360]   Where you, so you have this momentum, this M here, and, um, and the momentum is just at every time it starts at zero, all zero.
[00:07:51.360 --> 00:08:02.360]   And then the, so like, if this is M, if we're at MT minus before step one, I have, you know, I'm forming my first one, then it's just going to be the loss.
[00:08:02.360 --> 00:08:05.360]   Um, the gradient of the loss function on the weights.
[00:08:05.360 --> 00:08:16.360]   Okay. And then every time, and then I, every time I'm taking like a trade off between this, so this, this new parameter kind of trades off between the momentum and the loss.
[00:08:16.360 --> 00:08:23.360]   And so this determines how much do I pay attention to the past versus the current gradient.
[00:08:23.360 --> 00:08:30.360]   Okay. And then, and then this, or, so this O step is kind of the core of what, what this algorithm is doing.
[00:08:30.360 --> 00:08:36.360]   And this is what they call orthogonalizing the, the matrix.
[00:08:36.360 --> 00:08:47.360]   And so I actually didn't understand what they meant by that because, uh, like, if you think about, if I don't, you know, and again, I will.
[00:08:47.360 --> 00:08:56.360]   I'll try to like play a middle ground between people who understand linear algebra well, and those who don't, um, I'm, I'm somewhere in the middle.
[00:08:56.360 --> 00:08:59.360]   And so I'm, I'm, I'm, I'm not a great linear algebra, but I have a reasonable understanding.
[00:08:59.360 --> 00:09:11.360]   So like, if you look at singular value decomposition, which is how you would calculate an exact, I can decomposition or singular value decomposition of a matrix.
[00:09:11.360 --> 00:09:21.360]   Um, you would, um, uh, that that's like a expensive, very expensive, uh, thing to do.
[00:09:21.360 --> 00:09:28.360]   And so this Newton Schultz algorithm is just a way to, is, is sort of like a way to approximate that.
[00:09:28.360 --> 00:09:37.360]   But it's not quite because, um, you, when you do a singular value decomposition, you're getting like this, these specific set of outputs.
[00:09:37.360 --> 00:09:49.360]   That is like the eigen eigen, uh, values, which is like the sort of amount that I'm moving in that my, um, transformation scales things in different directions.
[00:09:49.360 --> 00:09:54.360]   And then it's, and then like the eigen vectors, which point in which directions.
[00:09:54.360 --> 00:10:00.360]   And so I was a little confused about what they mean by an orthogonalizing a matrix.
[00:10:00.360 --> 00:10:06.360]   So, um, the way, so I, I kind of like had to do the, you know, sort of little diagram here.
[00:10:06.360 --> 00:10:12.360]   So sorry if it's a little bit, um, scratchy, but you can think about, so let's just look at this.
[00:10:12.360 --> 00:10:17.360]   Um, and by the matrix here and you have, so I just picked arbitrary values.
[00:10:17.360 --> 00:10:23.360]   And so D like in, in our case, just to keep things concrete to what we're talking about here.
[00:10:23.360 --> 00:10:30.360]   So D is like the, pretty much the hidden dimension of the neural net or of a given matrix.
[00:10:30.360 --> 00:10:34.360]   So this is done per weight matrix, not for the whole weight matrix.
[00:10:34.360 --> 00:10:37.360]   So you, it's basically the hidden dimension.
[00:10:37.360 --> 00:10:44.360]   Like it could be, depending on which one, it could be like some multiple of the hidden dimension or whatever, but it's kind of generally that order of magnitude.
[00:10:44.360 --> 00:10:48.360]   And so we're talking like 4096 or something like that.
[00:10:48.360 --> 00:10:53.360]   And then, um, the end here is the batch size times the sequence length.
[00:10:53.360 --> 00:11:02.360]   So batch size is, I don't know what, like, uh, somewhere between like 256, probably to, I don't know, a couple of thousand.
[00:11:02.360 --> 00:11:06.360]   And then the sequence length is what we all talk about the context window length.
[00:11:06.360 --> 00:11:13.360]   Right. So that could be, I think they've mentioned in the paper for the, the trainings that they did.
[00:11:13.360 --> 00:11:15.360]   They were at 4,000 and 8,000.
[00:11:15.360 --> 00:11:17.360]   So these are like in the millions basically.
[00:11:17.360 --> 00:11:20.360]   Um, so like much higher dimension.
[00:11:20.360 --> 00:11:22.360]   So my N is more than my D.
[00:11:22.360 --> 00:11:23.360]   Right.
[00:11:23.360 --> 00:11:30.360]   And so that what the key observation, one of the observations here is that this is low that like a reduced rank makes matrix.
[00:11:30.360 --> 00:11:35.360]   Meaning I'm on a subspace of the total number of dimensions.
[00:11:35.360 --> 00:11:40.360]   So for example, um, and if, and in this case is three dimensions.
[00:11:40.360 --> 00:11:45.360]   So I have these three blue lines that kind of sort of try to draw this three dimensional space.
[00:11:45.360 --> 00:11:48.360]   And then I have these two black lines, which try to draw.
[00:11:48.360 --> 00:11:54.360]   There's a plane that are defined by these, um, two vectors, right?
[00:11:54.360 --> 00:11:56.360]   These two, three dimensional vectors.
[00:11:56.360 --> 00:11:59.360]   There's they, those, those two define a plane.
[00:11:59.360 --> 00:12:03.360]   And then what I'm doing by orthogonalizing is I'm just finding.
[00:12:03.360 --> 00:12:11.360]   Two, um, two unit one, uh, unit length vectors that are on that plane.
[00:12:11.360 --> 00:12:15.360]   Um, that are, or are orthogonal to each other.
[00:12:15.360 --> 00:12:17.360]   They're perpendicular to each other.
[00:12:17.360 --> 00:12:22.360]   And so, and so that, um, and it, like, you'll notice there are infinite number of these.
[00:12:22.360 --> 00:12:26.360]   So it's not a unique solution, but that, um, I'm just, and okay.
[00:12:26.360 --> 00:12:34.360]   So we'll talk about why, but that's what's going on here is that that's what this, uh, Newton Schultz thing does.
[00:12:34.360 --> 00:12:38.360]   And this is in the, this is actually not in the weights.
[00:12:38.360 --> 00:12:42.360]   This is in the, uh, gradients of the weights, right?
[00:12:42.360 --> 00:12:45.360]   Um, so what, what's going on here?
[00:12:45.360 --> 00:12:48.360]   And the, they talk about the intuition and I'll give it a little bit right now.
[00:12:48.360 --> 00:13:02.360]   Is it, there's this momentum term and the momentum is like, I'm, I'm sort of keeping track of how, where I was going before and making sure that I can continue in that direction, sort of.
[00:13:02.360 --> 00:13:14.360]   Um, and I'm doing that so that like, if I have a, like a little valley, if you can imagine yourself being a ball rolling down a hill and you get into a little valley, then maybe you don't have enough.
[00:13:14.360 --> 00:13:18.360]   Um, then, then you end up like, you know, stuck in that valley.
[00:13:18.360 --> 00:13:23.360]   But if you, if your ball is heavy enough, then maybe it'll roll up the other side and keep going down.
[00:13:23.360 --> 00:13:24.360]   Right.
[00:13:24.360 --> 00:13:26.360]   So that's sort of the intuition, why they call it momentum.
[00:13:26.360 --> 00:13:35.360]   And, and so what this is doing is saying rather than like a lot of my momentum going in this one direction and only a little in this direction.
[00:13:35.360 --> 00:13:41.360]   I'm saying my momentum, I'm stretching that matrix and changing that so that it can kind of go in.
[00:13:41.360 --> 00:13:48.360]   The momentum can kind of go in equally in all these different directions that are defined by the data.
[00:13:48.360 --> 00:13:53.360]   Okay, that's very vague. I know, but like that's the intuition.
[00:13:53.360 --> 00:13:59.360]   Yeah, maybe I should stop here because that's like, I just said a lot.
[00:13:59.360 --> 00:14:04.360]   Um, what do you, do you guys, um, is there, are there any questions in the chat or anyone wanna?
[00:14:04.360 --> 00:14:07.360]   Like sort of ask about this.
[00:14:07.360 --> 00:14:11.360]   Um, uh, okay.
[00:14:11.360 --> 00:14:13.360]   If not, I will continue.
[00:14:13.360 --> 00:14:18.360]   Um, so I, I'm actually gonna skip back and forth here.
[00:14:18.360 --> 00:14:26.360]   Cause I think that the, um, sort of, I will talk about that a little more.
[00:14:26.360 --> 00:14:31.360]   So they actually have a, an interesting section here.
[00:14:31.360 --> 00:14:33.360]   Where is it?
[00:14:33.360 --> 00:14:40.360]   Um, where they validate this concept.
[00:14:40.360 --> 00:14:47.360]   So, um, so what, so this dynamics of singular spectrum.
[00:14:47.360 --> 00:14:57.360]   Okay. So, um, what they did was they, they, um, looked at, uh, so, okay.
[00:14:57.360 --> 00:15:00.360]   So there's a concept of entropy again.
[00:15:00.360 --> 00:15:04.360]   If you're not familiar with the math, um, that's fine.
[00:15:04.360 --> 00:15:12.360]   What the entropy measures is the sort of like the amount of, of like variation.
[00:15:12.360 --> 00:15:13.360]   It's not quite variant.
[00:15:13.360 --> 00:15:16.360]   It's not variance, but it's the amount of, I mean, technically it's the amount of information.
[00:15:16.360 --> 00:15:19.360]   It's the amount of information in a distribution.
[00:15:19.360 --> 00:15:26.360]   But, um, if you can imagine, uh, you know, like a probability distribution, you have, uh,
[00:15:26.360 --> 00:15:32.360]   you could have like a really, really sharp distribution and it always picks one value.
[00:15:32.360 --> 00:15:34.360]   And that would be very little information, right?
[00:15:34.360 --> 00:15:35.360]   Cause I always pick that value.
[00:15:35.360 --> 00:15:40.360]   So I know I can't express anything really with that.
[00:15:40.360 --> 00:15:42.360]   I can't even express a single bit of information.
[00:15:42.360 --> 00:15:47.360]   If I pick one of two values and I can express, you know, some more.
[00:15:47.360 --> 00:15:51.360]   And if I have a uniform distribution, then I can express lots of different values.
[00:15:51.360 --> 00:15:54.360]   So those are, that's like higher entropy.
[00:15:54.360 --> 00:16:04.360]   So it's like a measure of the amount of information you can express and the sort of randomness of a data set.
[00:16:04.360 --> 00:16:12.360]   And so they, what they did was they sort of abused this, um, this, um, based on another paper, which I didn't read.
[00:16:12.360 --> 00:16:15.360]   Um, but so you get this like entropy equation.
[00:16:15.360 --> 00:16:21.360]   And if you've seen entropy before, you'll recognize that this is basically just, this is my distribution.
[00:16:21.360 --> 00:16:26.360]   So I'm, I'm, uh, you know, sort of taking my eigenvalues.
[00:16:26.360 --> 00:16:33.360]   I'm, I'm squaring them and taking the, the sum of them so that it becomes a probability.
[00:16:33.360 --> 00:16:35.360]   And then I take the log.
[00:16:35.360 --> 00:16:37.360]   And so it becomes an entropy, right?
[00:16:37.360 --> 00:16:40.360]   And so multiply by the log and it becomes an entropy.
[00:16:40.360 --> 00:17:02.360]   So what they're doing here is they're saying, you know, like sort of, if I have, um, uh, a lot of, uh, if my weight matrices have a lot of, um, you know, sort of like are, are pretty, um, spread out and flat.
[00:17:02.360 --> 00:17:14.360]   Um, you know, if I'm tending to cause my weight matrices to be like sort of, um, quote unquote orthogonal so that I like have lots of different directions in them.
[00:17:14.360 --> 00:17:25.360]   Um, then, um, in the, in sort of like my rank is high then, uh, or, you know, sort of like the dimensionality of the embedding space, maybe is a better way to put that.
[00:17:25.360 --> 00:17:31.360]   Um, then, um, then, you know, like I get a high entropy here.
[00:17:31.360 --> 00:17:36.360]   And so what they found was that compared to Adam, they do a lot.
[00:17:36.360 --> 00:17:38.360]   Um, they have like, where is it?
[00:17:38.360 --> 00:17:42.360]   Um, you know, uh, this right here.
[00:17:42.360 --> 00:17:49.360]   Um, so that basically there's, this is like empirical.
[00:17:49.360 --> 00:18:02.360]   They, so they had higher entropy in the, um, in the weight matrices than the, the equivalent models, uh, trained by Adam.
[00:18:02.360 --> 00:18:14.360]   Um, and so what they're saying is that we were able to explore dimensions more effectively is sort of kind of sort of what, and so this is kind of the why, and this is like really fascinating to me.
[00:18:14.360 --> 00:18:19.360]   Um, is that like, and so that they talk about this a little bit more.
[00:18:19.360 --> 00:18:22.360]   Um, let me find it.
[00:18:22.360 --> 00:18:23.360]   Um, let me find it.
[00:18:23.360 --> 00:18:24.360]   Right.
[00:18:24.360 --> 00:18:29.360]   Uh, right.
[00:18:29.360 --> 00:18:30.360]   Yeah.
[00:18:30.360 --> 00:18:34.360]   So, um, uh, sorry.
[00:18:34.360 --> 00:18:49.360]   Uh, um, they, they talk about this, you know, sort of like viewing, um, new on versus Adam is using different norm constraints, meaning they're sort of basically.
[00:18:49.360 --> 00:18:52.360]   Um, regularizing in a different way.
[00:18:52.360 --> 00:19:00.360]   Um, and so, um, they're saying, whereas Adam is sort of, and so like, let me, and I think I have this right.
[00:19:00.360 --> 00:19:02.360]   So, you know, somebody knows better, please correct me.
[00:19:02.360 --> 00:19:14.360]   But what, what Adam kind of sorted is doing is I'm saying, I'm looking at these, these vectors.
[00:19:14.360 --> 00:19:21.360]   Kind of, or these dimensions that I'm taking the maximum, uh, size of that.
[00:19:21.360 --> 00:19:26.360]   And I'm, I'm constraining my, my momentum by that.
[00:19:26.360 --> 00:19:40.360]   Whereas, uh, the, um, the muon optimizer is instead looking at the largest eigen value and constraining by that.
[00:19:40.360 --> 00:19:43.360]   Okay. So th that's sort of the fundamental difference.
[00:19:43.360 --> 00:19:54.360]   And, um, that makes sense because, um, it's not like, because things are happening in this eigen space, not in, in these like sort of dimensions, right?
[00:19:54.360 --> 00:19:59.360]   Because they, you can rotate things around, um, in the embedding space.
[00:19:59.360 --> 00:20:06.360]   And so that it doesn't make sense to, um, constrain your optimization direction.
[00:20:06.360 --> 00:20:13.360]   Um, because you might have one direction that is really large because of all these different directions that are summing up.
[00:20:13.360 --> 00:20:17.360]   Okay. So that's a really mumbo jumbo explanation.
[00:20:17.360 --> 00:20:19.360]   I can go into more.
[00:20:19.360 --> 00:20:24.360]   Um, uh, I can go into more, but I think I've probably talked about this much.
[00:20:24.360 --> 00:20:29.360]   Does anyone want to ask a question or should I move on?
[00:20:29.360 --> 00:20:31.360]   Okay. Um, okay.
[00:20:31.360 --> 00:20:35.360]   So I'm gonna, I wanna make sure that the other speakers have some time.
[00:20:35.360 --> 00:20:49.360]   So I'm gonna like sort of like brush over all this stuff and then we can, we can go into, uh, any detail either at the end or, uh, as you can interrupt me.
[00:20:49.360 --> 00:20:55.360]   And I'm happy to, uh, I'm happy to, um, I'm going to details about these things.
[00:20:55.360 --> 00:21:05.360]   So, but like, okay, so what are the key things from this paper now that I've like made a half, half effective, maybe attempt to, uh, explain like the core concept here.
[00:21:05.360 --> 00:21:09.360]   So the, um, so I think that, yeah, good question.
[00:21:09.360 --> 00:21:20.360]   The yikes, yikes has said in the chat, if you can repeat what Adam looks like versus this looking at the eigenvalue, like in the math, your interpretation of the math.
[00:21:20.360 --> 00:21:28.360]   Us comparing these. Oh, okay. So let's see. You, yikes, you wanted like this kind of explanation again.
[00:21:28.360 --> 00:21:31.360]   Sorry. Okay.
[00:21:31.360 --> 00:21:45.360]   Yeah. So, so basically like, um, so my, and, uh, again, that, you know, some, some, hopefully somebody, um, who, who's, who's more knowledgeable can correct me if I'm misunderstanding.
[00:21:45.360 --> 00:21:51.360]   I, what it basically like each one of these vectors has a size, right?
[00:21:51.360 --> 00:22:10.360]   And if you look in, I'm not going to go into the math of why, but, um, effectively that the norm, the, the, the sort of constraint that Adam is using in effect is that the biggest one of these vectors, you're normalizing by this, the length of that vector.
[00:22:10.360 --> 00:22:15.360]   Right. So you have a whole bunch of, you know, this D is in reality, like, you know, big.
[00:22:15.360 --> 00:22:20.360]   And so you have all these vectors and you're kind of normalizing by the biggest one of those.
[00:22:20.360 --> 00:22:29.360]   And so the problem with that is that it, you might have a, a direction in like, like you could rotate.
[00:22:29.360 --> 00:22:38.360]   Um, so that you're, you're squishing in some direction that, uh, is a, you know, sort of combination of these different vectors.
[00:22:38.360 --> 00:22:42.360]   And that's, that would be like the, you know, the largest eigenvalue.
[00:22:42.360 --> 00:22:58.360]   Right. So, um, and, and so that what effectively you're doing with one is you're in this spectral, um, in spectrum space, which is like the eigen decomposition space.
[00:22:58.360 --> 00:23:14.360]   You're, you're, you're, you're constraining the, the, the, the size of the jumps, the steps, the, the sort of strength of the momentum by the largest direction in eigen space instead.
[00:23:14.360 --> 00:23:33.360]   Right. So you've, you know, you sort of like, look at what are the principal components of this, um, of this, this, or the, sorry, the, the eigenvectors and looking at the size of those and looking at what is the largest eigenvalue and dividing by that basically kind of sort
[00:23:33.360 --> 00:23:37.360]   of normalizing via that. Does that, does that make any sense?
[00:23:37.360 --> 00:23:47.360]   Okay. Um, I'm happy to like discuss this and I, you know, I think I have a reasonable grasp on it, but I may not.
[00:23:47.360 --> 00:23:51.360]   And so like happy to be corrected and happy to discuss this.
[00:23:51.360 --> 00:23:55.360]   And it's super fascinating to me and happy to discuss it in great detail.
[00:23:55.360 --> 00:24:00.360]   Um, let me, let me just touch on all these other points and then we can talk about Kimi.
[00:24:00.360 --> 00:24:02.360]   I think that I don't want to take up all the time.
[00:24:02.360 --> 00:24:08.360]   Um, so like this weight decay, actually, I think I kind of, the way I kind of read it was.
[00:24:08.360 --> 00:24:21.360]   So if you look at the difference between this weight update here and this one here, they're just, um, they're just adding this, um, Lambda W T minus one.
[00:24:21.360 --> 00:24:35.360]   And so that what they're saying is that, uh, I'm, I'm, uh, I can, I have a controllable parameter that allows me to subtract off some fraction of the weights every step.
[00:24:35.360 --> 00:24:46.360]   So that my, um, so that like I tend to favor smaller weights, basically the same reason we do weight decay and all other algorithms.
[00:24:46.360 --> 00:24:49.360]   And it doesn't look any difference different there.
[00:24:49.360 --> 00:24:58.360]   And so that they have this algorithm and then, um, this is basically should be familiar if you've ever looked at, at weight decay before.
[00:24:58.360 --> 00:25:11.360]   Um, and then, and then what, what they're saying here is that, um, the, the RMS norm that they use.
[00:25:11.360 --> 00:25:22.360]   And, um, is actually doesn't that you use in Adam doesn't work well for, um, one.
[00:25:22.360 --> 00:25:25.360]   And I think this is one of their primary contributions here.
[00:25:25.360 --> 00:25:27.360]   Was it in this paper?
[00:25:27.360 --> 00:25:36.360]   Is it that, that, um, it's actually the, it depends on the shape of the matrix that you're.
[00:25:36.360 --> 00:25:43.360]   Um, what you're, um, you're, uh, um, you're normalizing around.
[00:25:43.360 --> 00:25:44.360]   So.
[00:25:44.360 --> 00:25:48.360]   Be so that this a B it's the max.
[00:25:48.360 --> 00:25:55.360]   So the, the, um, RMS is, is the max of these two things, or you can maybe I.
[00:25:55.360 --> 00:26:04.360]   High rate, I highlighted the wrong place so that like when it's large, then you're dividing by a, you know, like the large dimension.
[00:26:04.360 --> 00:26:08.360]   And when it's small, then you're not, you're not normalizing enough.
[00:26:08.360 --> 00:26:19.360]   And so that you either get, you know, sort of like gradient, um, you know, you get explosions or, or, or, or, um, or your great vanishing gradients.
[00:26:19.360 --> 00:26:21.360]   Um, if you're not careful.
[00:26:21.360 --> 00:26:27.360]   And I think that they hypothesize that this is one of the primary reasons why larger models were running into trouble.
[00:26:27.360 --> 00:26:37.360]   So, um, because of that, they, um, they had a few different mechanisms for, um, for updating.
[00:26:37.360 --> 00:26:47.360]   And, and they, they, they talked, they did some oblations down here, but, um, but I think they, they came up with just multiplying out like this.
[00:26:47.360 --> 00:26:48.360]   Right.
[00:26:48.360 --> 00:26:49.360]   Right.
[00:26:49.360 --> 00:26:54.360]   So that, um, so now this one, this equation here has changed to this.
[00:26:54.360 --> 00:26:59.360]   So they're just adding, and they have this point to, to match what Adam does.
[00:26:59.360 --> 00:27:11.360]   Um, and then they, um, and I, you know, that's like a minor detail that probably don't care about, but, um, they, they, you know, so they do this normalization so that they can.
[00:27:11.360 --> 00:27:20.360]   Um, so do regard it's they're now, uh, independent of the size of the matrix that they're doing the update on.
[00:27:20.360 --> 00:27:27.360]   And so this is one of the key things that allows them to be stable with larger training runs.
[00:27:27.360 --> 00:27:30.360]   Um, okay.
[00:27:30.360 --> 00:27:32.360]   And then what are, what are the other things?
[00:27:32.360 --> 00:27:40.360]   So then they also like, and we kind of touched on this, the zero, um, and, um, you know, sort of.
[00:27:40.360 --> 00:27:49.360]   Um, you know, sort of Megatron LM, which is, uh, you know, like even more complicated, uh, parallel strategies.
[00:27:49.360 --> 00:27:53.360]   So they basically have a, an algorithm here that they describe.
[00:27:53.360 --> 00:27:58.360]   I, I don't think that there's, um, a whole lot here.
[00:27:58.360 --> 00:28:02.360]   Um, but, you know, like you can go through it.
[00:28:02.360 --> 00:28:05.360]   It's just like, they just gather some more.
[00:28:05.360 --> 00:28:09.360]   They, they, you know, they've kind of changed how you do the updates to gather.
[00:28:09.360 --> 00:28:10.360]   Um, information.
[00:28:10.360 --> 00:28:13.360]   The one thing that I found was interesting was this line.
[00:28:13.360 --> 00:28:15.360]   So they, they actually discard.
[00:28:15.360 --> 00:28:23.360]   They, they, so I think what they're saying is that on each node, they're actually calculating the, and they have to do like the entire.
[00:28:23.360 --> 00:28:30.360]   Uh, they have to calculate the entire momentum matrix and then only apply it to the parameters that they care about.
[00:28:30.360 --> 00:28:45.360]   So this is a little bit, um, inefficient, but they, you know, they, they talk about how the, despite that inefficiency, they, um, because they're only using one momentum buffer instead of two that like, okay.
[00:28:45.360 --> 00:28:49.360]   From a space standpoint, that doesn't matter too much.
[00:28:49.360 --> 00:28:58.360]   The communication overhead, um, is like slightly higher, but, um, because like, as you scale, it matters less and less.
[00:28:58.360 --> 00:29:08.360]   And then sort of like that they found that in practice that, um, you know, the sort of, uh, the end to end latency increase was pretty negligible.
[00:29:08.360 --> 00:29:27.360]   So, um, so like, and then finally, this was like evaluation of some different, um, strategies for doing consistent, um, update, um, in the weights or sorry, in the, uh, momentum term.
[00:29:27.360 --> 00:29:30.360]   Um, they, like I said, they landed on this one.
[00:29:30.360 --> 00:29:34.360]   Um, you can read more detail if, if that's interesting.
[00:29:34.360 --> 00:29:40.360]   And then they, um, you know, they had some interesting, um, scaling laws here.
[00:29:40.360 --> 00:29:41.360]   You can see that.
[00:29:41.360 --> 00:29:47.360]   Um, you know, like sort of Adam does not surprise, or sorry, moon, not surprisingly does better.
[00:29:47.360 --> 00:29:48.360]   And they fit.
