
[00:00:00.040 --> 00:00:09.480]  该
[00:03:24.560 --> 00:03:24.560]   It's a very general way of looking at them.
[00:03:24.560 --> 00:03:24.560]   It's a very general way of looking at them.
[00:03:24.560 --> 00:03:24.560]   It's a very general way of looking at them.
[00:03:24.560 --> 00:03:24.560]   It's a very general way of looking at them.
[00:03:24.580 --> 00:03:54.600]   It's a very general way of looking at them.
[00:03:54.600 --> 00:03:54.600]   It's a very general way of looking at them.
[00:03:54.600 --> 00:03:54.600]   It's a very general way of looking at them.
[00:03:54.600 --> 00:03:54.600]   It's a very general way of looking at them.
[00:03:54.600 --> 00:03:54.600]   It's a very general way of looking at them.
[00:03:54.600 --> 00:03:54.600]   It's a very general way of looking at them.
[00:03:54.600 --> 00:03:54.600]   It's a very general way of looking at them.
[00:03:54.600 --> 00:03:54.600]   It's a very general way of looking at them.
[00:03:54.600 --> 00:03:54.600]   It's a very general way of looking at them.
[00:03:54.600 --> 00:03:54.600]   It's a very general way of looking at them.
[00:03:54.600 --> 00:03:54.600]   It's a very general way of looking at them.
[00:03:54.600 --> 00:03:54.600]   It's a very general way of looking at them.
[00:03:54.600 --> 00:03:54.600]   It's a very general way of looking at them.
[00:03:54.600 --> 00:03:54.600]   It's a very general way of looking at them.
[00:03:54.600 --> 00:03:54.600]   It's a very general way of looking at them.
[00:03:54.600 --> 00:03:54.600]   It's a very general way of looking at them.
[00:04:24.640 --> 00:04:24.640]   It's a very general way of looking at them.
[00:04:24.640 --> 00:04:24.640]   It's a very general way of looking at them.
[00:04:24.640 --> 00:04:24.640]   It's a very general way of looking at them.
[00:04:24.640 --> 00:04:24.640]   It's a very general way of looking at them.
[00:04:24.640 --> 00:04:24.640]   It's a very general way of looking at them.
[00:04:24.640 --> 00:04:24.640]   It's a very general way of looking at them.
[00:04:24.640 --> 00:04:24.640]   It's a very general way of looking at them.
[00:04:24.640 --> 00:04:24.640]   It's a very general way of looking at them.
[00:04:24.640 --> 00:04:24.640]   It's a very general way of looking at them.
[00:04:24.660 --> 00:04:54.660]   It's a very general way of looking at them.
[00:04:54.660 --> 00:04:54.680]   It's a very general way of looking at them.
[00:04:54.680 --> 00:04:54.680]   It's a very general way of looking at them.
[00:04:54.680 --> 00:04:54.680]   It's a very general way of looking at them.
[00:04:54.680 --> 00:04:54.680]   It's a very general way of looking at them.
[00:04:54.680 --> 00:04:54.680]   It's a very general way of looking at them.
[00:04:54.680 --> 00:04:54.680]   It's a very general way of looking at them.
[00:04:54.680 --> 00:04:54.680]   It's a very general way of looking at them.
[00:04:54.680 --> 00:04:54.680]   It's a very general way of looking at them.
[00:04:54.680 --> 00:04:54.680]   It's a very general way of looking at them.
[00:04:54.680 --> 00:04:54.680]   It's a very general way of looking at them.
[00:04:54.680 --> 00:04:54.680]   It's a very general way of looking at them.
[00:04:54.680 --> 00:04:54.680]   It's a very general way of looking at them.
[00:04:54.680 --> 00:04:54.680]   It's a very general way of looking at them.
[00:04:54.680 --> 00:04:54.680]   It's a very general way of looking at them.
[00:04:54.680 --> 00:04:54.680]   It's a very general way of looking at them.
[00:04:54.680 --> 00:05:24.720]  ,
[00:05:24.720 --> 00:05:24.720]   It's a very general way of looking at them.
[00:05:24.720 --> 00:05:24.720]   It's a very general way of looking at them.
[00:05:24.720 --> 00:05:24.720]   It's a very general way of looking at them.
[00:05:24.720 --> 00:05:24.720]   It's a very general way of looking at them.
[00:05:24.720 --> 00:05:24.720]   It's a very general way of looking at them.
[00:05:24.720 --> 00:05:24.720]   It's a very general way of looking at them.
[00:05:24.720 --> 00:05:24.720]   It's a very general way of looking at them.
[00:05:24.720 --> 00:05:24.720]   It's a very general way of looking at them.
[00:05:24.720 --> 00:05:24.720]   It's a very general way of looking at them.
[00:05:24.740 --> 00:05:54.760]   It's a very general way of looking at them.
[00:05:54.760 --> 00:05:54.760]   It's a very general way of looking at them.
[00:05:54.760 --> 00:05:54.760]   It's a very general way of looking at them.
[00:05:54.760 --> 00:05:54.760]   It's a very general way of looking at them.
[00:05:54.760 --> 00:05:54.760]   It's a very general way of looking at them.
[00:05:54.760 --> 00:05:54.760]   It's a very general way of looking at them.
[00:05:54.760 --> 00:05:54.760]   It's a very general way of looking at them.
[00:05:54.760 --> 00:05:54.760]   It's a very general way of looking at them.
[00:05:54.760 --> 00:05:54.760]   It's a very general way of looking at them.
[00:05:54.760 --> 00:05:54.760]   It's a very general way of looking at them.
[00:05:54.760 --> 00:05:54.760]   It's a very general way of looking at them.
[00:05:54.760 --> 00:05:54.760]   It's a very general way of looking at them.
[00:05:54.760 --> 00:05:54.760]   It's a very general way of looking at them.
[00:05:54.760 --> 00:05:54.760]   It's a very general way of looking at them.
[00:05:54.760 --> 00:05:54.760]   It's a very general way of looking at them.
[00:05:54.760 --> 00:05:54.760]   It's a very general way of looking at them.
[00:05:54.760 --> 00:06:24.800]  ,
[00:06:24.800 --> 00:06:24.800]   It's a very general way of looking at them.
[00:06:24.800 --> 00:06:24.800]   It's a very general way of looking at them.
[00:06:24.800 --> 00:06:24.800]   It's a very general way of looking at them.
[00:06:24.800 --> 00:06:24.800]   It's a very general way of looking at them.
[00:06:24.800 --> 00:06:24.800]   It's a very general way of looking at them.
[00:06:24.800 --> 00:06:24.800]   It's a very general way of looking at them.
[00:06:24.800 --> 00:06:24.800]   It's a very general way of looking at them.
[00:06:24.800 --> 00:06:24.800]   It's a very general way of looking at them.
[00:06:24.800 --> 00:06:24.800]   It's a very general way of looking at them.
[00:06:24.800 --> 00:06:24.800]   It's a very general way of looking at them.
[00:06:24.820 --> 00:06:54.840]   It's a very general way of looking at them.
[00:06:54.840 --> 00:06:54.840]   It's a very general way of looking at them.
[00:06:54.840 --> 00:06:54.840]   It's a very general way of looking at them.
[00:06:54.840 --> 00:06:54.840]   It's a very general way of looking at them.
[00:06:54.840 --> 00:06:54.840]   It's a very general way of looking at them.
[00:06:54.840 --> 00:06:54.840]   It's a very general way of looking at them.
[00:06:54.840 --> 00:06:54.840]   It's a very general way of looking at them.
[00:06:54.840 --> 00:06:54.840]   It's a very general way of looking at them.
[00:06:54.840 --> 00:06:54.840]   It's a very general way of looking at them.
[00:06:54.840 --> 00:06:54.840]   It's a very general way of looking at them.
[00:06:54.840 --> 00:06:54.840]   It's a very general way of looking at them.
[00:06:54.840 --> 00:06:54.840]   It's a very general way of looking at them.
[00:06:54.840 --> 00:06:54.840]   It's a very general way of looking at them.
[00:06:54.840 --> 00:06:54.840]   It's a very general way of looking at them.
[00:06:54.840 --> 00:06:54.840]   It's a very general way of looking at them.
[00:06:54.840 --> 00:06:54.840]   It's a very general way of looking at them.
[00:06:54.860 --> 00:07:24.880]   It's a very general way of looking at them.
[00:07:24.880 --> 00:07:24.880]   It's a very general way of looking at them.
[00:07:24.880 --> 00:07:24.880]   It's a very general way of looking at them.
[00:07:24.880 --> 00:07:24.880]   It's a very general way of looking at them.
[00:07:24.880 --> 00:07:24.880]   It's a very general way of looking at them.
[00:07:24.880 --> 00:07:24.880]   It's a very general way of looking at them.
[00:07:24.880 --> 00:07:24.880]   It's a very general way of looking at them.
[00:07:24.880 --> 00:07:24.880]   It's a very general way of looking at them.
[00:07:24.880 --> 00:07:24.880]   It's a very general way of looking at them.
[00:07:24.880 --> 00:07:24.880]   It's a very general way of looking at them.
[00:07:24.880 --> 00:07:24.880]   It's a very general way of looking at them.
[00:07:24.880 --> 00:07:24.880]   It's a very general way of looking at them.
[00:07:24.880 --> 00:07:24.880]   It's a very general way of looking at them.
[00:07:24.880 --> 00:07:24.880]   It's a very general way of looking at them.
[00:07:24.880 --> 00:07:24.880]   It's a very general way of looking at them. It's a very general way of looking at them.
[00:07:24.900 --> 00:07:54.920]   It's a very general way of looking at them.
[00:07:54.920 --> 00:07:54.920]   It's a very general way of looking at them.
[00:07:54.920 --> 00:07:54.920]   It's a very general way of looking at them.
[00:07:54.920 --> 00:07:54.920]   It's a very general way of looking at them.
[00:07:54.920 --> 00:07:54.920]   It's a very general way of looking at them.
[00:07:54.920 --> 00:07:54.920]   It's a very general way of looking at them.
[00:07:54.920 --> 00:07:54.920]   It's a very general way of looking at them.
[00:07:54.920 --> 00:07:54.920]   It's a very general way of looking at them.
[00:07:54.920 --> 00:07:54.920]   It's a very general way of looking at them.
[00:07:54.920 --> 00:07:54.920]   It's a very general way of looking at them.
[00:07:54.920 --> 00:07:54.920]   It's a very general way of looking at them.
[00:07:54.920 --> 00:07:54.920]   It's a very general way of looking at them.
[00:07:54.920 --> 00:07:54.920]   It's a very general way of looking at them.
[00:07:54.920 --> 00:07:54.920]   It's a very general way of looking at them.
[00:07:54.920 --> 00:07:54.920]   It's a very general way of looking at them.
[00:07:54.940 --> 00:08:24.960]   It's a very general way of looking at them.
[00:08:24.960 --> 00:08:24.960]   It's a very general way of looking at them.
[00:08:24.960 --> 00:08:24.960]   It's a very general way of looking at them.
[00:08:24.960 --> 00:08:24.960]   It's a very general way of looking at them.
[00:08:24.960 --> 00:08:24.960]   It's a very general way of looking at them.
[00:08:24.960 --> 00:08:24.960]   It's a very general way of looking at them.
[00:08:24.960 --> 00:08:24.960]   It's a very general way of looking at them.
[00:08:24.960 --> 00:08:24.960]   It's a very general way of looking at them.
[00:08:24.960 --> 00:08:24.960]   It's a very general way of looking at them.
[00:08:24.960 --> 00:08:24.960]   It's a very general way of looking at them.
[00:08:24.960 --> 00:08:24.960]   It's a very general way of looking at them.
[00:08:24.960 --> 00:08:24.960]   It's a very general way of looking at them.
[00:08:24.960 --> 00:08:24.960]   It's a very general way of looking at them.
[00:08:24.960 --> 00:08:24.960]   It's a very general way of looking at them.
[00:08:24.960 --> 00:08:55.000]   It's a very general way of looking at them.
[00:08:55.000 --> 00:08:55.000]   It's a very general way of looking at them.
[00:08:55.000 --> 00:08:55.000]   It's a very general way of looking at them.
[00:08:55.000 --> 00:08:55.000]   It's a very general way of looking at them.
[00:08:55.000 --> 00:08:55.000]   It's a very general way of looking at them.
[00:08:55.000 --> 00:08:55.000]   It's a very general way of looking at them.
[00:08:55.000 --> 00:08:55.000]   It's a very general way of looking at them.
[00:08:55.000 --> 00:08:55.000]   It's a very general way of looking at them.
[00:08:55.000 --> 00:08:55.000]   It's a very general way of looking at them.
[00:08:55.000 --> 00:08:55.000]   It's a very general way of looking at them.
[00:08:55.000 --> 00:08:55.000]   It's a very general way of looking at them.
[00:08:55.020 --> 00:09:25.040]   It's a very general way of looking at them.
[00:09:25.040 --> 00:09:25.040]   It's a very general way of looking at them.
[00:09:25.040 --> 00:09:25.040]   It's a very general way of looking at them.
[00:09:25.040 --> 00:09:25.040]   It's a very general way of looking at them.
[00:09:25.040 --> 00:09:25.040]   It's a very general way of looking at them.
[00:09:25.040 --> 00:09:25.040]   It's a very general way of looking at them.
[00:09:25.040 --> 00:09:25.040]   It's a very general way of looking at them.
[00:09:25.040 --> 00:09:25.040]   It's a very general way of looking at them.
[00:09:25.040 --> 00:09:25.040]   It's a very general way of looking at them.
[00:09:25.040 --> 00:09:25.040]   It's a very general way of looking at them.
[00:09:25.040 --> 00:09:25.040]   It's a very general way of looking at them.
[00:09:25.040 --> 00:09:25.040]   It's a very general way of looking at them.
[00:09:25.040 --> 00:09:25.040]   It's a very general way of looking at them.
[00:09:25.040 --> 00:09:25.040]   It's a very general way of looking at them.
[00:09:25.040 --> 00:09:25.040]   It's a very general way of looking at them.
[00:09:25.040 --> 00:09:25.040]   It's a very general way of looking at them.
[00:09:55.080 --> 00:09:55.080]   It's a very general way of looking at them.
[00:09:55.080 --> 00:09:55.080]   It's a very general way of looking at them.
[00:09:55.080 --> 00:09:55.080]   It's a very general way of looking at them.
[00:09:55.080 --> 00:09:55.080]   It's a very general way of looking at them.
[00:09:55.080 --> 00:09:55.080]   It's a very general way of looking at them.
[00:09:55.080 --> 00:09:55.080]   It's a very general way of looking at them.
[00:09:55.080 --> 00:09:55.080]   It's a very general way of looking at them.
[00:09:55.080 --> 00:09:55.080]   It's a very general way of looking at them.
[00:09:55.080 --> 00:09:55.080]   It's a very general way of looking at them.
[00:09:55.080 --> 00:09:55.080]   It's a very general way of looking at them.
[00:09:55.080 --> 00:09:55.080]   It's a very general way of looking at them.
[00:09:55.100 --> 00:10:25.120]   It's a very general way of looking at them.
[00:10:25.120 --> 00:10:25.120]   It's a very general way of looking at them.
[00:10:25.120 --> 00:10:25.120]   It's a very general way of looking at them.
[00:10:25.120 --> 00:10:25.120]   It's a very general way of looking at them.
[00:10:25.120 --> 00:10:25.120]   It's a very general way of looking at them.
[00:10:25.120 --> 00:10:25.120]   It's a very general way of looking at them.
[00:10:25.120 --> 00:10:25.120]   It's a very general way of looking at them.
[00:10:25.120 --> 00:10:25.120]   It's a very general way of looking at them.
[00:10:25.120 --> 00:10:25.120]   It's a very general way of looking at them.
[00:10:25.120 --> 00:10:25.120]   It's a very general way of looking at them.
[00:10:25.120 --> 00:10:25.120]   It's a very general way of looking at them.
[00:10:25.120 --> 00:10:25.120]   It's a very general way of looking at them.
[00:10:25.120 --> 00:10:25.120]   It's a very general way of looking at them.
[00:10:25.120 --> 00:10:25.120]   It's a very general way of looking at them.
[00:10:25.120 --> 00:10:25.120]   It's a very general way of looking at them.
[00:10:25.120 --> 00:10:25.120]   It's a very general way of looking at them.
[00:10:25.120 --> 00:10:55.160]   It's a very general way of looking at them.
[00:10:55.160 --> 00:10:55.160]   It's a very general way of looking at them.
[00:10:55.160 --> 00:10:55.160]   It's a very general way of looking at them.
[00:10:55.160 --> 00:10:55.160]   It's a very general way of looking at them.
[00:10:55.160 --> 00:10:55.160]   It's a very general way of looking at them.
[00:10:55.160 --> 00:10:55.160]   It's a very general way of looking at them.
[00:10:55.160 --> 00:10:55.160]   It's a very general way of looking at them.
[00:10:55.160 --> 00:10:55.160]   It's a very general way of looking at them.
[00:10:55.160 --> 00:10:55.160]   It's a very general way of looking at them.
[00:10:55.160 --> 00:10:55.160]   It's a very general way of looking at them.
[00:10:55.180 --> 00:11:25.200]   It's a very general way of looking at them.
[00:11:25.200 --> 00:11:25.200]   It's a very general way of looking at them.
[00:11:25.200 --> 00:11:25.200]   It's a very general way of looking at them.
[00:11:25.200 --> 00:11:25.200]   It's a very general way of looking at them.
[00:11:25.200 --> 00:11:25.200]   It's a very general way of looking at them.
[00:11:25.200 --> 00:11:25.200]   It's a very general way of looking at them.
[00:11:25.200 --> 00:11:25.200]   It's a very general way of looking at them.
[00:11:25.200 --> 00:11:25.200]   It's a very general way of looking at them.
[00:11:25.200 --> 00:11:25.200]   It's a very general way of looking at them.
[00:11:25.200 --> 00:11:25.200]   It's a very general way of looking at them.
[00:11:25.200 --> 00:11:25.200]   It's a very general way of looking at them.
[00:11:25.200 --> 00:11:25.200]   It's a very general way of looking at them.
[00:11:25.200 --> 00:11:25.200]   It's a very general way of looking at them.
[00:11:25.200 --> 00:11:25.200]   It's a very general way of looking at them.
[00:11:25.200 --> 00:11:25.200]   It's a very general way of looking at them.
[00:11:25.200 --> 00:11:25.200]   It's a very general way of looking at them.
[00:11:25.200 --> 00:11:55.240]   It's a very general way of looking at them.
[00:11:55.240 --> 00:11:55.240]   It's a very general way of looking at them.
[00:11:55.240 --> 00:11:55.240]   It's a very general way of looking at them.
[00:11:55.240 --> 00:11:55.240]   It's a very general way of looking at them.
[00:11:55.240 --> 00:11:55.240]   It's a very general way of looking at them.
[00:11:55.240 --> 00:11:55.240]   It's a very general way of looking at them.
[00:11:55.240 --> 00:11:55.240]   It's a very general way of looking at them.
[00:11:55.240 --> 00:11:55.240]   It's a very general way of looking at them.
[00:11:55.240 --> 00:11:55.240]   It's a very general way of looking at them.
[00:11:55.240 --> 00:11:55.240]   It's a very general way of looking at them.
[00:11:55.240 --> 00:11:55.240]   It's a very general way of looking at them.
[00:11:55.260 --> 00:12:25.280]   It's a very general way of looking at them.
[00:12:25.280 --> 00:12:25.280]   It's a very general way of looking at them.
[00:12:25.280 --> 00:12:25.280]   It's a very general way of looking at them.
[00:12:25.280 --> 00:12:25.280]   It's a very general way of looking at them.
[00:12:25.280 --> 00:12:25.280]   It's a very general way of looking at them.
[00:12:25.280 --> 00:12:25.280]   It's a very general way of looking at them.
[00:12:25.280 --> 00:12:25.280]   It's a very general way of looking at them.
[00:12:25.280 --> 00:12:25.280]   It's a very general way of looking at them.
[00:12:25.280 --> 00:12:25.280]   It's a very general way of looking at them.
[00:12:25.280 --> 00:12:25.280]   It's a very general way of looking at them.
[00:12:25.280 --> 00:12:25.280]   It's a very general way of looking at them.
[00:12:25.280 --> 00:12:25.280]   It's a very general way of looking at them.
[00:12:25.280 --> 00:12:25.280]   It's a very general way of looking at them.
[00:12:25.280 --> 00:12:25.280]   It's a very general way of looking at them.
[00:12:25.280 --> 00:12:25.280]   It's a very general way of looking at them.
[00:12:25.280 --> 00:12:25.280]   It's a very general way of looking at them.
[00:12:25.280 --> 00:12:55.320]   It's a very general way of looking at them.
[00:12:55.320 --> 00:12:55.320]   It's a very general way of looking at them.
[00:12:55.320 --> 00:12:55.320]   It's a very general way of looking at them.
[00:12:55.320 --> 00:12:55.320]   It's a very general way of looking at them.
[00:12:55.320 --> 00:12:55.320]   It's a very general way of looking at them.
[00:12:55.320 --> 00:12:55.320]   It's a very general way of looking at them.
[00:12:55.320 --> 00:12:55.320]   It's a very general way of looking at them.
[00:12:55.320 --> 00:12:55.320]   It's a very general way of looking at them.
[00:12:55.320 --> 00:12:55.320]   It's a very general way of looking at them.
[00:12:55.320 --> 00:12:55.320]   It's a very general way of looking at them.
[00:12:55.320 --> 00:12:55.320]   It's a very general way of looking at them.
[00:12:55.320 --> 00:12:55.320]   It's a very general way of looking at them.
[00:12:55.320 --> 00:12:55.320]   It's a very general way of looking at them.
[00:12:55.320 --> 00:12:55.320]   It's a very general way of looking at them. It's a very general way of looking at them.
[00:12:55.320 --> 00:12:55.320]   it's a very general way of looking at them. It's a very general way of looking at them.
[00:12:55.360 --> 00:13:02.820]   gluten
[00:13:02.820 --> 00:13:05.640]   10,
[00:13:05.640 --> 00:13:12.440]  ificstand encuent care it is a provide
[00:13:50.400 --> 00:13:50.400]   and I'm going to show you how to do it.
[00:13:50.400 --> 00:13:50.400]   and I'm going to show you how to do it.
[00:13:50.400 --> 00:13:50.400]   and I'm going to show you how to do it.
[00:13:50.400 --> 00:13:50.400]   and I'm going to show you how to do it.
[00:13:50.400 --> 00:13:50.400]   and I'm going to show you how to do it.
[00:13:50.400 --> 00:13:50.400]   and I'm going to show you how to do it.
[00:13:50.400 --> 00:13:50.460]   and I'm going to show you how to do it.
[00:14:21.540 --> 00:14:21.540]   I'm going to show you how to do it.
[00:14:21.540 --> 00:14:21.540]   and I'm going to show you how to do it.
[00:14:21.540 --> 00:14:21.540]   and I'm going to show you how to do it.
[00:14:21.580 --> 00:14:25.120]  obediently, you can do it.
[00:14:25.120 --> 00:14:25.200]   and I'm going to show you how to do it.
[00:14:25.200 --> 00:14:25.340]   and I'm going to show you how to do it.
[00:14:25.340 --> 00:14:39.540]   you're probably going to send your children to private schools in any of those contexts, especially if you're a banker, in one case choosing an international school versus just a tony local private school that doesn't bill itself as an international school, but in many ways, just about everything in your life will look the same.
[00:14:39.540 --> 00:14:47.000]   The weather might be a little bit different, that is clear, but you're a banker, you're spending most of your time indoors anyway, so how does that impact you?
[00:14:47.000 --> 00:14:51.560]   So you can have the same, virtually, the same quality of life.
[00:14:51.560 --> 00:14:51.580]   So you can have the same, virtually, the same quality of life.
[00:14:51.580 --> 00:14:51.580]   So you can have the same, virtually, the same quality of life.
[00:14:51.580 --> 00:14:51.580]   So you can have the same, virtually, the same quality of life.
[00:14:51.580 --> 00:15:21.620]  , you can have the same, virtually, the same quality of life.
[00:15:21.620 --> 00:15:21.620]   So you can have the same, virtually, the same quality of life.
[00:15:21.620 --> 00:15:21.620]   So you can have the same, virtually, the same quality of life.
[00:15:21.620 --> 00:15:21.620]   So you can have the same, virtually, the same quality of life.
[00:15:21.620 --> 00:15:21.620]   So you can have the same, virtually, the same quality of life.
[00:15:21.620 --> 00:15:21.620]   So you can have the same, virtually, the same quality of life.
[00:15:21.620 --> 00:15:21.620]   So you can have the same, virtually, the same quality of life.
[00:15:21.660 --> 00:15:28.620]   remember
[00:15:28.620 --> 00:15:45.820]   amazing. The, um,
[00:15:50.580 --> 00:16:19.000]   living and working in New York City and do very well because there are massive career options available for you. You could live and work in Vanuatu. Your career options are much more limited in Vanuatu than they are in New York City. So now your cost of living, then you have to count in your opportunity cost. If you live in the tax haven, but you don't have career options available for you, it might not work out so well.
[00:16:48.440 --> 00:17:17.380]  .
[00:17:17.380 --> 00:17:17.380]  venes who live in the city.
[00:17:17.380 --> 00:17:17.380]   So I'm going to take a moment to talk about the tax haven.
[00:17:17.380 --> 00:17:17.380]   it also costs more to be in a major city center than it does to be in a minor city center. So if you're looking to live in a little bit of the downtown environment, you like the nightlife, you like the cultural activities, etc., but you don't have to live in, you know, downtown Hong Kong. You can save money by not living in downtown Hong Kong, but just by simply living in another city that still has that urban environment, but as you can see, it's a very small city.
[00:17:17.380 --> 00:17:17.380]   So you can save money by not living in a small city, but just by simply living in another city that still has that urban environment, but as you can see, it's a very small city.
[00:17:17.380 --> 00:17:43.720]  , but is not quite so expensive. Perhaps you enjoy living in downtown Prague, and that gives you what you're looking for without having the astronomical costs of downtown Hong Kong, or downtown Singapore, etc. So the cost of housing can change based upon location. But a lot of times when people talk about saving money on housing, they're often looking to save money on housing by going to a country where things are perceived to be cheaper.
[00:17:43.720 --> 00:17:46.320]   But a lot of times when people talk about saving money on housing, they're often looking to save money on housing by going to a country where things are perceived to be cheaper.
[00:17:46.320 --> 00:17:46.320]   by going to a country where things are perceived to be cheaper.
[00:17:46.320 --> 00:17:47.320]   by going to a country where things are perceived to be cheaper.
[00:17:47.360 --> 00:17:53.240]   천
[00:17:53.240 --> 00:18:14.540]   could tax black in the figure musun Bald consider dostim aye
[00:18:14.540 --> 00:18:17.340]   went you's in the may, and, and, and, and, and, and, and, and, and, and, and, 1920. поз определинаieu y. I, the highest他们leading Ric gardiggi. beings. Ot. Iavía♥ely. I том. Why. all. trava. "S объясelet. have equals. thousand. Snow. change.
[00:18:17.380 --> 00:18:20.980]   screen
[00:18:20.980 --> 00:18:28.260]   answer inode
[00:18:28.260 --> 00:18:37.460]   upper and it is that� деся degradation
[00:18:37.460 --> 00:18:44.940]  ,
[00:19:41.820 --> 00:19:41.820]   and it is that you can have a modern single wide trailer for a few hundred dollars a month on your loan payment or you can rent one for a few hundred dollars a month and have just as comfortable of housing.
[00:19:41.820 --> 00:19:41.820]   and it is that you can have a modern single wide trailer for a few hundred dollars a month on your loan payment or you can rent one for a few hundred dollars a month and have just as comfortable of housing.
[00:19:41.820 --> 00:19:41.820]   and it is that you can have a modern single wide trailer for a few hundred dollars a month on your loan payment or you can rent one for a few hundred dollars a month and have just as comfortable of housing.
[00:19:41.820 --> 00:19:41.820]   and it is that you can have a modern single wide trailer for a few hundred dollars a month on your loan payment or you can rent one for a few hundred dollars a month and have just as comfortable of housing.
[00:20:09.980 --> 00:20:09.980]   It is that you can have a modern single wide trailer for a few hundred dollars a month on your loan payment or you can rent one for a few hundred dollars a month and have just as comfortable of housing.
[00:20:09.980 --> 00:20:09.980]   It is that you can have a modern single wide trailer for a few hundred dollars a month on your loan payment or you can rent one for a few hundred dollars a month and have just as comfortable of housing.
[00:20:09.980 --> 00:20:39.080]  , but it is that you can have a modern single wide trailer for a few hundred dollars a month on your loan payment or you can rent one for a few hundred dollars a month on your loan payment or you can rent one for a few hundred dollars a month on your loan payment or you can rent one for a few hundred dollars a month on your loan payment or you can rent one for a few hundred dollars a month on your loan payment or you can rent one for a few hundred dollars a month on your loan payment or you can rent one for a few hundred dollars a month on your loan payment or you can rent one for a few hundred dollars a month on your loan payment or you can rent one for a few hundred dollars a month on your loan payment or you can rent one for a few dollars a month on your loan payment or you can rent one for a few dollars a month on your loan payment or you can rent one thousand dollars a million dollars a month on your loan.
[00:21:08.180 --> 00:21:08.180]   I'm going to go ahead and get started.
[00:21:08.180 --> 00:21:08.200]   I'm going to go ahead and get started.
[00:21:08.200 --> 00:21:08.240]   I'm going to go ahead and get started.
[00:21:08.240 --> 00:21:08.300]   I'm going to go ahead and get started.
[00:21:08.300 --> 00:21:08.360]   I'm going to go ahead and get started.
[00:21:08.360 --> 00:21:08.640]   I'm going to go ahead and get started.
[00:21:08.640 --> 00:21:08.680]   I'm going to go ahead and get started.
[00:21:08.680 --> 00:21:08.700]   I'm going to go ahead and get started.
[00:21:08.700 --> 00:21:08.740]   I'm going to go ahead and get started.
[00:21:08.740 --> 00:21:08.760]   I'm going to go ahead and get started.
[00:21:08.760 --> 00:21:08.780]   I'm going to go ahead and get started.
[00:21:08.780 --> 00:21:08.840]   I'm going to go ahead and get started.
