
[00:00:00.000 --> 00:00:18.780]   yeah well thank you guys so much for having me it's exciting to be back it's uh I was last here
[00:04:59.100 --> 00:05:04.780]   the trend where um ai has always done these more boilerplate tasks and the more tedious stuff more
[00:05:04.780 --> 00:05:10.220]   repetitive stuff and we get to do the the the more fun creative stuff um and obviously as time has gone on
[00:05:10.220 --> 00:05:15.820]   it's it's taken on more and more of that boilerplate but for a problem like this one a lot of what you
[00:05:15.820 --> 00:05:22.780]   need to do is you need devin to be able to go and execute a set of steps super reliably and so a lot of
[00:05:22.780 --> 00:05:28.220]   this was you know i would say the big capabilities problems to solve was mostly instruction following and so
[00:05:28.220 --> 00:05:33.340]   we built this system called playbooks where basically you could just outline a very clear set of steps
[00:05:33.340 --> 00:05:37.660]   have it follow each of those step by step and then do exactly what's said now if you think about it
[00:05:37.660 --> 00:05:42.060]   obviously a lot of software engineering does not fall under the category of literally just follow
[00:05:42.060 --> 00:05:48.460]   10 steps step by step and do exactly what it said but migration does and it allowed us to go and actually
[00:05:48.460 --> 00:05:53.100]   do these and this was kind of i would say the first big use case of devin that really um that really came
[00:05:53.100 --> 00:05:57.900]   up i think one of the other big systems that got built around that time which we've since rebuilt many
[00:05:57.900 --> 00:06:03.820]   times is knowledge or memory right which is you know if you're doing the same task over and over and
[00:06:03.820 --> 00:06:08.780]   over again then often the human will have feedback on hey by the way you have to remember to do x thing
[00:06:08.780 --> 00:06:16.300]   or you have to you know you need to do y thing every time when you see this right um and so basically an
[00:06:16.300 --> 00:06:22.060]   ability to to just maintain and understand the learnings from that and use that to improve the agent in every
[00:06:22.060 --> 00:06:26.380]   future one and those were kind of the big problems of the time you know and that was summer of last year
[00:06:26.380 --> 00:06:33.340]   and around end of summer fall or so you know i think that the the kind of big thing that started
[00:06:33.340 --> 00:06:38.300]   coming up was as these systems got more and more capable instead of just doing the most routine
[00:06:38.300 --> 00:06:44.300]   migrations you could do you know these more still pretty isolated but but but but a bit broader of
[00:06:44.300 --> 00:06:49.420]   these general kind of bugs or features where you can actually just tell it what you want to do and
[00:06:49.420 --> 00:06:55.180]   have you have it do it right and so for example hey devon in this uh repo select drop down can you please
[00:06:55.180 --> 00:06:59.820]   just list the currently selected ones at the top like having the checkboxes throughout is just doesn't
[00:06:59.820 --> 00:07:05.500]   really and and devon will just go and do that right and so if you think about it it's you know it's it's
[00:07:05.500 --> 00:07:07.980]   it's something like the kind of level of tasks that you would give an intern
[00:07:07.980 --> 00:07:14.060]   and there are a few particular things that you have to solve for um with this first of all
[00:07:14.060 --> 00:07:20.060]   usually these these these changes are pretty isolated and pretty contained and so it's one maybe two files
[00:07:20.060 --> 00:07:24.300]   that you really have to look at and change to do a task like this but at least you do still need to
[00:07:24.300 --> 00:07:29.340]   be able to set up the repo and work with the repo right and so you want to be able to run lint you
[00:07:29.340 --> 00:07:34.380]   want to be able to run ci all these other things so you know to at least have the basic checks of whether
[00:07:34.380 --> 00:07:39.580]   things work one of the big things that we built around then was the ability to really set up your
[00:07:39.580 --> 00:07:45.580]   repository uh ahead of time and build a snapshot um that that you could start off that you could reload that
[00:07:45.580 --> 00:07:50.060]   you could roll back and all of these kinds of primitives as well right so having this clean remote
[00:07:50.060 --> 00:07:56.860]   vm that could run all these things it could run your ci it could run your linter uh and and so on um
[00:07:56.860 --> 00:08:01.500]   but that's when we started to really see i would say a bit more broad of value right i mean migrations
[00:08:01.500 --> 00:08:05.260]   is one particular thing and for that particular thing we were showing a ton of value and then we
[00:08:05.260 --> 00:08:09.180]   started to see where you know with these bug fixes or things like that you would be able to
[00:08:09.180 --> 00:08:12.620]   just generally get value from devon as as almost like a junior buddy of yours
[00:08:14.380 --> 00:08:21.500]   and then in fall things really moved towards just much broader bugs and requests and here it's you
[00:08:21.500 --> 00:08:26.940]   know most most changes again you know you're jumping another order of magnitude most changes
[00:08:26.940 --> 00:08:31.980]   don't just contain themselves to one file right often you have to go and look see what's going on you have
[00:08:31.980 --> 00:08:36.140]   to diagnose things you have to figure out what's happening you have to work across files and make the
[00:08:36.140 --> 00:08:41.340]   right changes often these changes are you know hundreds of lines if it's like hey i've got this bug let's figure
[00:08:41.340 --> 00:08:47.260]   out what's going on let's solve it right and you know there are a lot of things here that that really
[00:08:47.260 --> 00:08:50.700]   started to make sense and really started to be important but but one in particular i'll just point
[00:08:50.700 --> 00:08:57.340]   out was there's a lot of stuff that you can do with not just looking at the code as text but thinking of
[00:08:57.340 --> 00:09:03.500]   it as this whole hierarchy right so so understanding call hierarchies running a language server uh is a big deal
[00:09:03.500 --> 00:09:07.660]   you have you have git commit history which you can look at which informs how these different files
[00:09:07.660 --> 00:09:13.660]   relate to one another you have um um obviously you have like your linter and things like that but but
[00:09:13.660 --> 00:09:17.500]   you're able to kind of reference things across files and so like one of the big problems here i think
[00:09:17.500 --> 00:09:24.460]   was uh kind of working with the context of it and getting to the point where it could make changes
[00:09:24.460 --> 00:09:29.260]   across several files it could be consistent across those changes it would be able to understand across the
[00:09:29.260 --> 00:09:33.420]   code base and here was really the point i would say where you started to be able to just tag it
[00:09:33.420 --> 00:09:38.860]   and have it do an issue and just have it build it for you um and so slack was a you know a huge part
[00:09:38.860 --> 00:09:44.860]   of the workflow then um and and it was just it it made sense because it's where you discuss your issues
[00:09:44.860 --> 00:09:48.780]   and it's where you set these things up right so you would tag devon and slack and say hey by the way
[00:09:48.780 --> 00:09:52.060]   we've got this bug please take a look or you know could you please go build this thing
[00:09:52.860 --> 00:09:58.060]   uh this is especially fun part for us because this is right around when we went ga and a lot of that
[00:09:58.060 --> 00:10:03.100]   was because it was it got to the point where you truly could just get set up with devon and ask it a
[00:10:03.100 --> 00:10:08.140]   lot of these broad tasks and and just have it do it um but but a lot of these you know a lot of the work
[00:10:08.140 --> 00:10:13.900]   that we did was around having devon have better and better understanding of the code base right and if
[00:10:13.900 --> 00:10:18.620]   you think about it you know from the human lens it's the same way where on your first day on the job for
[00:10:18.620 --> 00:10:22.700]   example being super fresh in the code base it's kind of tough to know exactly what you're supposed to do
[00:10:22.700 --> 00:10:26.940]   like a lot of these details are things that you understand over time or that a representation of the
[00:10:26.940 --> 00:10:31.580]   code base that you build over time right um and devon had to do the same thing and had to understand
[00:10:31.580 --> 00:10:36.060]   how do i plan this task out before i solve it how do i understand all the files that need to be changed
[00:10:36.060 --> 00:10:38.060]   how do i go from there and make that diff
[00:10:38.060 --> 00:10:48.060]   and around the spring of this year um again every every gap is like two or three months you know we got
[00:10:48.060 --> 00:10:53.820]   to an interesting point which is once you start to get to harder and harder tasks you as the human
[00:10:53.820 --> 00:10:58.940]   don't necessarily know everything that you want done at the time that you're giving the task right if
[00:10:58.940 --> 00:11:04.620]   you're saying hey you know i'd like to go and um improve the architecture of this or you know this this
[00:11:04.620 --> 00:11:10.780]   function is slow like let's let's profile it and look into it and see what needs to be done or hey like
[00:11:10.780 --> 00:11:15.420]   you know we really should should handle this this error case better but like let's look at all the
[00:11:15.420 --> 00:11:19.660]   possibilities and see what we should you know what the right logic should be in each of these right
[00:11:19.660 --> 00:11:24.540]   and basically what it meant is that this whole idea of taking a two-line prompt or a three-line prompt
[00:11:24.540 --> 00:11:30.380]   or something and then just having that result in a devon task was was not sufficient and you wanted to
[00:11:30.380 --> 00:11:36.220]   really be able to work with devon and specify a lot more and around this time along with this kind of
[00:11:36.220 --> 00:11:40.460]   like better code-based intelligence um we had a few different things that that that came up and so we
[00:11:40.460 --> 00:11:45.100]   released deep wiki for example um and the whole idea of deep wiki was you know funnily enough is
[00:11:45.100 --> 00:11:48.540]   devon had its own internal representation of the code base but it turns out that
[00:11:48.540 --> 00:11:54.140]   for humans it was great to look at that too to be able to understand what was going on or to be able
[00:11:54.140 --> 00:11:59.900]   to ask questions quickly about the code base closely related to that was with search which is the ability
[00:11:59.900 --> 00:12:06.140]   to really just ask questions about a code base and understand um some some piece of this and a lot of
[00:12:06.140 --> 00:12:10.940]   the workflow that really started to come up was actually basically this this more iterative workflow where
[00:12:10.940 --> 00:12:14.940]   the first thing that you would do is you would ask a few questions you would understand you would
[00:12:14.940 --> 00:12:19.500]   basically have a more l2 experience where you can go and explore the code base with your agent
[00:12:19.500 --> 00:12:25.260]   figure out what has to be done in the task and then set your agent off to go do that because
[00:12:25.260 --> 00:12:31.100]   for these more complex tasks you kind of needed that right um and so so you know that was a i would
[00:12:31.100 --> 00:12:35.020]   say kind of like a big paradigm shift for us then is is understanding you know this is what also came
[00:12:35.020 --> 00:12:40.540]   along with devon 2.0 for example and the in ide experience where often yeah you want to be able to
[00:12:40.540 --> 00:12:45.580]   have points where you closely monitor devon for 10 percent of the task 20 of the task and then have
[00:12:45.580 --> 00:12:54.780]   it do uh work on its own for the other 80 90 percent um and then lastly most recently in june which is now
[00:12:54.780 --> 00:13:00.540]   it was kind of yeah the really the ability to just truly just kill your backlog and hand it a ton of
[00:13:00.540 --> 00:13:04.540]   tasks and have it do all these at once and you know if you think about this task and in many ways i would
[00:13:04.540 --> 00:13:08.300]   say it's it's almost like a culmination of of many of these different things that that had to be done in the
[00:13:08.300 --> 00:13:11.900]   past you have to work with all these systems obviously you have to integrate into all these
[00:13:11.900 --> 00:13:16.540]   certainly you want to be able to to work with linear or with jira or systems like that but you have to
[00:13:16.540 --> 00:13:21.260]   be able to scope out a task to understand what's meant by what's going on you have to decide when
[00:13:21.260 --> 00:13:25.980]   to go to the human for more approval or for questions or things like that you have to work across several
[00:13:25.980 --> 00:13:31.660]   different files often you have to understand even what repo is the right repo to make the change in if
[00:13:31.660 --> 00:13:35.820]   your if your org has multiple repos or what part of the code base is the right part of the code base that
[00:13:35.820 --> 00:13:40.700]   needs to change um and to really get to the point where you can go and do this more autonomously
[00:13:40.700 --> 00:13:47.260]   first of all um you you have to have like a really great sense of confidence right and so
[00:13:47.260 --> 00:13:51.500]   um you know rather than just going off and doing things immediately you have to be able to say okay
[00:13:51.500 --> 00:13:57.420]   i'm quite sure that this is the task and i'm going to go execute it now versus i don't understand what's
[00:13:57.420 --> 00:14:02.540]   going on human please give me help basically right but but the other piece of it is
[00:14:03.420 --> 00:14:08.300]   um this is i think the era where testing and this asynchronous testing gets really really important
[00:14:08.300 --> 00:14:14.220]   right which is if you want something to just deliver entire prs for you for tasks that you do especially
[00:14:14.220 --> 00:14:20.140]   for these larger tasks you want to know that it is can contest it itself and often the agent actually
[00:14:20.140 --> 00:14:24.540]   needs this iterative loop to be able to go and do that right so it needs to be able to run all the code
[00:14:24.540 --> 00:14:29.580]   locally it needs to know what to test it needs to know what to look for um and in many ways it's just a much
[00:14:29.580 --> 00:14:36.700]   higher context problem to solve for right is this testing itself and that brings us to now and
[00:14:36.700 --> 00:14:40.700]   obviously it's a it's a pretty fun time to see because now what we're thinking about is hey maybe
[00:14:40.700 --> 00:14:46.140]   if instead of doing it just one task it's you know how do we think about tackling an entire project right
[00:14:46.140 --> 00:14:51.820]   and after we do a project you know what goes after that and maybe one point that i would just make here is
[00:14:53.180 --> 00:14:59.180]   we talk about all these two x's you know that happen every couple months and i think from a kind of
[00:14:59.180 --> 00:15:03.340]   cosmic perspective all the two x's look the same right but in practice every two x actually is a
[00:15:03.340 --> 00:15:08.780]   different one right and so when we were just doing you know tab completion line single line completion
[00:15:08.780 --> 00:15:14.300]   it really was just a text problem it is just like take in the single file so far and just predict what
[00:15:14.300 --> 00:15:18.780]   the line is next right over the last year or year and a half we've had to think about so much more how do you
[00:15:18.780 --> 00:15:23.820]   how do you work with the human in linear or slack which you how do you take in feedback or steering
[00:15:23.820 --> 00:15:30.140]   how do you help the human plan out and do all these things right and moreover obviously there's a ton of
[00:15:30.140 --> 00:15:35.260]   the tooling and the capabilities work that have to be done of how does how does devon test on its own
[00:15:35.260 --> 00:15:40.620]   how does devon you know make a lot of these longer term decisions on its own how does it
[00:15:40.620 --> 00:15:45.500]   debug its own outputs or run the right shell commands to figure out what the feedback is
[00:15:46.060 --> 00:15:50.620]   and go from there and so it's super exciting now that there's a lot more there's a lot more coding
[00:15:50.620 --> 00:15:56.460]   agents in the space it's a it's very fun to see and i think that you know we're going to see another 16
[00:15:56.460 --> 00:16:04.300]   to 64 x over the next 12 months as well and uh and so yeah super super excited awesome well that's all
[00:16:04.300 --> 00:16:12.220]   thank you guys so much for having me

