
[00:00:00.000 --> 00:00:03.200]   (bright music)
[00:04:18.440 --> 00:04:20.580]   the AI suite, what it is today,
[00:04:20.580 --> 00:04:22.360]   and how you've gotten the AI suite to where it is.
[00:04:22.360 --> 00:04:26.120]   Yeah, so first of all, thank you for inviting me.
[00:04:26.120 --> 00:04:30.000]   And he asked me a fun fact.
[00:04:30.000 --> 00:04:35.000]   And the fun fact is that I'm a failed standup comedian.
[00:04:35.000 --> 00:04:37.600]   So I'm constantly working on the material
[00:04:37.600 --> 00:04:39.440]   to try something out,
[00:04:39.440 --> 00:04:41.800]   very high self-deprecating humor
[00:04:41.800 --> 00:04:43.600]   that you will see from time to time.
[00:04:43.600 --> 00:04:47.440]   And at the highest level,
[00:04:47.440 --> 00:04:50.840]   I want to say that we are extremely,
[00:04:50.840 --> 00:04:54.360]   extremely grateful to Sequoia.
[00:04:54.360 --> 00:04:56.680]   And here is a simple story.
[00:04:56.680 --> 00:05:01.360]   The story is that before we were going public in 2012
[00:05:01.360 --> 00:05:04.360]   is when we went public with a modest market cap
[00:05:04.360 --> 00:05:05.920]   of $3.9 billion.
[00:05:05.920 --> 00:05:08.320]   Okay, that's when we went public in 2012.
[00:05:08.320 --> 00:05:11.400]   And it was a meh IPO.
[00:05:11.400 --> 00:05:14.440]   People were like, you know, Facebook was pretty good.
[00:05:14.440 --> 00:05:16.700]   Back then it was called Facebook, the same year.
[00:05:16.700 --> 00:05:18.920]   And Workday was another one.
[00:05:18.920 --> 00:05:20.440]   And we were a meh IPO.
[00:05:20.440 --> 00:05:21.840]   But before that,
[00:05:21.840 --> 00:05:28.000]   VMware made an offer to ServiceNow
[00:05:28.000 --> 00:05:29.760]   for single-digit billions,
[00:05:29.760 --> 00:05:32.440]   single-digit billions, below five.
[00:05:32.440 --> 00:05:36.120]   And Doug Leone and the Sequoia team
[00:05:36.120 --> 00:05:39.400]   convinced the management team,
[00:05:39.400 --> 00:05:42.320]   which would have been happy to take that offer
[00:05:42.320 --> 00:05:44.880]   because they're like, wow, we don't have to go public.
[00:05:44.880 --> 00:05:47.840]   We can be part of a great company like VMware at the time.
[00:05:47.840 --> 00:05:50.780]   And Doug Leone, to his credit,
[00:05:50.780 --> 00:05:52.560]   convinced not only the board,
[00:05:52.560 --> 00:05:56.780]   but also the management team that you can become big.
[00:05:56.780 --> 00:06:01.460]   So we are extremely grateful for Sequoia's coaching
[00:06:01.460 --> 00:06:03.380]   at that point in time.
[00:06:03.380 --> 00:06:08.220]   And for the $2 billion offer which we could have taken
[00:06:08.220 --> 00:06:13.220]   versus today's $155 billion in just a matter of 12 years,
[00:06:14.740 --> 00:06:15.920]   it's incredible.
[00:06:15.920 --> 00:06:19.640]   So thank you to Sequoia and the team
[00:06:19.640 --> 00:06:22.260]   for sourcing us and believing in us
[00:06:22.260 --> 00:06:25.280]   and allowing us to get here
[00:06:25.280 --> 00:06:27.960]   because it would have been a very easy thing
[00:06:27.960 --> 00:06:30.000]   for Doug to say he was on the board
[00:06:30.000 --> 00:06:33.360]   and the return would have been amazing
[00:06:33.360 --> 00:06:35.680]   for Sequoia at that point in time
[00:06:35.680 --> 00:06:37.000]   and we still walked away.
[00:06:37.000 --> 00:06:38.920]   - CJ texted me before and he said,
[00:06:38.920 --> 00:06:39.760]   "Excited to see you.
[00:06:39.760 --> 00:06:42.080]   "Can't wait to be part of the cult that is Sequoia."
[00:06:42.080 --> 00:06:43.040]   You're already in it now.
[00:06:43.040 --> 00:06:45.500]   - I am, I am, I am.
[00:06:45.500 --> 00:06:48.500]   But I just wanted to be thankful and grateful
[00:06:48.500 --> 00:06:51.380]   and you guys work with great people at Sequoia
[00:06:51.380 --> 00:06:53.500]   and I never take that lightly
[00:06:53.500 --> 00:06:56.540]   and on the path to our growth,
[00:06:56.540 --> 00:06:58.700]   we never forget our friends and supporters.
[00:06:58.700 --> 00:07:01.260]   So just wanted to start there, okay?
[00:07:01.260 --> 00:07:03.140]   Number two, on the scale,
[00:07:03.140 --> 00:07:04.580]   so I joined the company,
[00:07:04.580 --> 00:07:06.340]   so Frank Slootman hired me
[00:07:06.340 --> 00:07:11.260]   and Frank Slootman was also placed by Sequoia
[00:07:11.260 --> 00:07:12.660]   at ServiceNow.
[00:07:12.660 --> 00:07:15.020]   And Frank had two choices at the time,
[00:07:15.020 --> 00:07:16.860]   which is I think public knowledge,
[00:07:16.860 --> 00:07:20.020]   but Frank's data domain gets acquired
[00:07:20.020 --> 00:07:21.780]   and then he decided,
[00:07:21.780 --> 00:07:24.860]   and I make fun of Jess all the time on this topic,
[00:07:24.860 --> 00:07:28.340]   but he decides that he's gonna be a VC
[00:07:28.340 --> 00:07:30.460]   and he joined Greylock.
[00:07:30.460 --> 00:07:31.780]   And if you have met Frank Slootman,
[00:07:31.780 --> 00:07:33.940]   which I'm sure some of you have,
[00:07:33.940 --> 00:07:35.780]   he is not a Sand Hill guy.
[00:07:35.780 --> 00:07:40.780]   So he said, "No, I need to go back to operational CEO job."
[00:07:40.820 --> 00:07:43.260]   And it was Sequoia that convinced him.
[00:07:43.260 --> 00:07:45.900]   Frank had two offers, Palo Alto Network CEO
[00:07:45.900 --> 00:07:48.860]   or ServiceNow CEO and he picked ServiceNow.
[00:07:48.860 --> 00:07:50.060]   Okay, at that point in time.
[00:07:50.060 --> 00:07:52.340]   And that was also Sequoia was behind it.
[00:07:52.340 --> 00:07:54.220]   So when Frank hired me,
[00:07:54.220 --> 00:07:56.540]   we were doing billion plus in ARR
[00:07:56.540 --> 00:07:59.940]   and Frank said, "CJ, by 2020,
[00:07:59.940 --> 00:08:03.600]   "if we can get to four billion of ARR,
[00:08:03.600 --> 00:08:06.940]   "that'll be a massive W and let's go for it."
[00:08:06.940 --> 00:08:11.500]   And our founder who created the company
[00:08:11.500 --> 00:08:15.880]   close to at age of 50, Fred Luddy, who became bankrupt.
[00:08:15.880 --> 00:08:19.300]   So this is not a classic Stanford, Harvard story,
[00:08:19.300 --> 00:08:21.880]   but it's like he went to Indiana University
[00:08:21.880 --> 00:08:23.620]   and it's originally from Indiana.
[00:08:23.620 --> 00:08:26.300]   And he said, "I'm gonna create a platform
[00:08:26.300 --> 00:08:28.740]   "that can solve multiple use cases."
[00:08:28.740 --> 00:08:33.740]   And so we always knew that TAM was pretty much unlimited
[00:08:33.860 --> 00:08:37.380]   and the platform provided everything you need
[00:08:37.380 --> 00:08:40.840]   to create a product or multiple products.
[00:08:40.840 --> 00:08:45.420]   And so when I joined, we were one-ish billion.
[00:08:45.420 --> 00:08:49.100]   We had one large product and two or three small products.
[00:08:49.100 --> 00:08:53.780]   And since then, it has been brutal execution
[00:08:53.780 --> 00:08:56.020]   on which buyers we go out of.
[00:08:56.020 --> 00:08:58.500]   Like the simple question on when my product team comes
[00:08:58.500 --> 00:09:01.740]   and says, "Hey, we can create this great product."
[00:09:01.740 --> 00:09:04.060]   My first question is, "Who is the buyer?
[00:09:04.060 --> 00:09:05.720]   "Do we have access to that buyer?
[00:09:05.720 --> 00:09:08.100]   "Is that buyer next door or two doors down
[00:09:08.100 --> 00:09:09.460]   "or five doors down?
[00:09:09.460 --> 00:09:12.180]   "And will current buyer introduce us to that buyer
[00:09:12.180 --> 00:09:14.340]   "or those two buyers don't talk to each other?"
[00:09:14.340 --> 00:09:17.700]   Those kind of simple questions on who is the buyer,
[00:09:17.700 --> 00:09:21.260]   who are we competing against, okay?
[00:09:21.260 --> 00:09:23.400]   And even though this is very simple,
[00:09:23.400 --> 00:09:26.140]   the third one, what is the size of the price?
[00:09:26.140 --> 00:09:28.240]   That if we nail this use case,
[00:09:29.480 --> 00:09:32.560]   can we create a billion-dollar ARR product?
[00:09:32.560 --> 00:09:34.800]   Again, another product.
[00:09:34.800 --> 00:09:39.800]   So we have been doing that level of precise execution,
[00:09:39.800 --> 00:09:43.340]   and that's what has helped us on organic innovation.
[00:09:43.340 --> 00:09:44.640]   We haven't bought revenue.
[00:09:44.640 --> 00:09:47.040]   We are the only SaaS company that has not bought revenue
[00:09:47.040 --> 00:09:48.260]   on our path to 10.
[00:09:48.260 --> 00:09:54.280]   And we always buy amazing companies,
[00:09:54.280 --> 00:09:55.720]   which has great people,
[00:09:55.720 --> 00:09:57.940]   and then we make them work on our platform.
[00:09:57.940 --> 00:10:02.320]   But that's how we have scaled now from 2016 billion-plus
[00:10:02.320 --> 00:10:07.320]   to 2023 when we exited the December quarter.
[00:10:07.320 --> 00:10:10.080]   We already reached 10 billion of ACV.
[00:10:10.080 --> 00:10:12.760]   And then, of course, the revenue trails a little bit,
[00:10:12.760 --> 00:10:17.200]   and we guided for 10.75 billion growing at 21%.
[00:10:17.200 --> 00:10:19.400]   I mean, these are some of the numbers,
[00:10:19.400 --> 00:10:20.720]   but it has been,
[00:10:20.720 --> 00:10:24.160]   hey, you have an underlying platform that's cloud-based.
[00:10:24.160 --> 00:10:26.360]   What products do you create?
[00:10:26.360 --> 00:10:27.800]   What are you solving for?
[00:10:27.800 --> 00:10:29.460]   Who is the buyer?
[00:10:29.460 --> 00:10:31.960]   That brutal focus on who is the buyer.
[00:10:31.960 --> 00:10:33.760]   Do we have access to the buyer?
[00:10:33.760 --> 00:10:35.600]   And what is the size of the price?
[00:10:35.600 --> 00:10:39.320]   And without that, with my product team and engineering team,
[00:10:39.320 --> 00:10:41.420]   and I joined as a head of products and engineering.
[00:10:41.420 --> 00:10:44.960]   Frank hired me and left after that,
[00:10:44.960 --> 00:10:46.440]   but that's been the focus.
[00:10:46.440 --> 00:10:50.760]   And on AI, it's as simple as we had a fundamental belief
[00:10:50.760 --> 00:10:53.720]   from supervised machine learning and as AI evolved
[00:10:53.720 --> 00:10:55.600]   all the way to Gen AI today.
[00:10:57.200 --> 00:11:02.200]   We have been very focused on AI in service of our use cases,
[00:11:02.200 --> 00:11:07.160]   because if we can infuse AI in our use cases,
[00:11:07.160 --> 00:11:11.480]   it's a very easy conversation with a JPMorgan Chase
[00:11:11.480 --> 00:11:14.640]   or a Citibank or United States Army,
[00:11:14.640 --> 00:11:17.440]   that, hey, you are using service now for this use case,
[00:11:17.440 --> 00:11:20.840]   AI will help accelerate X or accelerate Y.
[00:11:20.840 --> 00:11:25.840]   And so we have been acquiring or gaining small teams
[00:11:26.700 --> 00:11:31.700]   that are AI experts at various stages all the way from 2016.
[00:11:31.700 --> 00:11:34.040]   2017 was our first one.
[00:11:34.040 --> 00:11:36.200]   2016, we started the journey.
[00:11:36.200 --> 00:11:39.060]   And then when we bought Element AI,
[00:11:39.060 --> 00:11:42.080]   they were trying to be the next Google of Canada.
[00:11:42.080 --> 00:11:48.120]   And they had somewhere between 170 to 180 engineers
[00:11:48.120 --> 00:11:51.680]   between PhDs, data scientists, and engineers.
[00:11:51.680 --> 00:11:53.840]   And they were in this amazing team,
[00:11:53.840 --> 00:11:56.900]   a lot of very well-known people.
[00:11:56.900 --> 00:11:59.300]   Yoshua Bengio, who won the Turing Award,
[00:11:59.300 --> 00:12:00.780]   was part of that team.
[00:12:00.780 --> 00:12:03.020]   There are people who have written some seminal paper
[00:12:03.020 --> 00:12:05.300]   on transformer model.
[00:12:05.300 --> 00:12:06.940]   That's the kind of team we got.
[00:12:06.940 --> 00:12:10.340]   And the call I got from Allen & Company was,
[00:12:10.340 --> 00:12:11.960]   hey, this is a great team.
[00:12:11.960 --> 00:12:14.180]   They have no revenue, zero.
[00:12:14.180 --> 00:12:16.780]   And they are trying to figure out
[00:12:16.780 --> 00:12:19.280]   what use case AI can be applied to.
[00:12:19.280 --> 00:12:21.760]   And this was during pandemic.
[00:12:21.760 --> 00:12:24.340]   And I went to my boss, our CEO, and I said,
[00:12:24.340 --> 00:12:26.780]   hey, man, these people don't have any revenue,
[00:12:26.780 --> 00:12:28.540]   but it's a great talent.
[00:12:28.540 --> 00:12:30.260]   And we need to spend some money.
[00:12:30.260 --> 00:12:32.700]   And to Bill's credit, he said, absolutely.
[00:12:32.700 --> 00:12:35.060]   If you believe this is a great talent, let's take them.
[00:12:35.060 --> 00:12:40.060]   And they showed me Chad GPT 1.0, 1.5, 2.0 demos
[00:12:40.060 --> 00:12:47.140]   in 2020, late and early 2021.
[00:12:47.140 --> 00:12:51.100]   And then when this whole thing just blew up in 2022,
[00:12:51.100 --> 00:12:55.260]   we exactly knew where we could apply LLMs to our use cases.
[00:12:55.260 --> 00:12:58.820]   And again, I don't know if it's a term, but SLMs.
[00:12:58.820 --> 00:13:02.200]   We are very use case specific LLMs
[00:13:02.200 --> 00:13:04.860]   that we apply in service now.
[00:13:04.860 --> 00:13:08.380]   And we started our monetization strategy in September.
[00:13:08.380 --> 00:13:09.540]   So that's the story.
[00:13:09.540 --> 00:13:10.820]   I know it was a simple question,
[00:13:10.820 --> 00:13:12.300]   but I had to give a pretty long answer
[00:13:12.300 --> 00:13:14.740]   because there's a lot of history to it.
[00:13:14.740 --> 00:13:15.940]   - Really incredible.
[00:13:15.940 --> 00:13:18.940]   And I didn't realize, frankly, until this conversation
[00:13:18.940 --> 00:13:21.140]   that you guys are the only SaaS business ever
[00:13:21.140 --> 00:13:24.920]   to cross the 10 billion ARR point fully organically.
[00:13:24.920 --> 00:13:27.320]   That's remarkable.
[00:13:27.320 --> 00:13:30.180]   And frankly, I've talked to a bunch of people in service now.
[00:13:30.180 --> 00:13:32.580]   You are so much of the product brain.
[00:13:32.580 --> 00:13:35.980]   It's such a pleasure to get to learn from you.
[00:13:35.980 --> 00:13:37.680]   And this question is on product.
[00:13:37.680 --> 00:13:42.940]   So you guys had a little bit of a headstart a few years,
[00:13:42.940 --> 00:13:44.700]   'cause I know you and Bill had been talking about AI
[00:13:44.700 --> 00:13:47.140]   even ahead of the element acquisition.
[00:13:47.140 --> 00:13:48.820]   But then with the element acquisition,
[00:13:48.820 --> 00:13:49.660]   you got to think about
[00:13:49.660 --> 00:13:51.140]   how you're gonna integrate it into your product.
[00:13:51.140 --> 00:13:53.360]   Tell us about how you got up the curve
[00:13:53.360 --> 00:13:55.980]   and now how AI is in service now products,
[00:13:55.980 --> 00:13:57.940]   maybe a couple of examples.
[00:13:57.940 --> 00:14:00.920]   - Yeah, so I'll just take the recent example.
[00:14:00.920 --> 00:14:06.300]   We are a big fan of open source community
[00:14:06.300 --> 00:14:07.860]   when it comes to AI.
[00:14:07.860 --> 00:14:12.180]   Even on the NLU models, we worked with Stanford
[00:14:12.180 --> 00:14:14.060]   to figure out which libraries we can use,
[00:14:14.060 --> 00:14:16.460]   which was four or five years ago.
[00:14:16.460 --> 00:14:19.180]   But we are a big fan of open source community.
[00:14:19.180 --> 00:14:24.180]   And the team in Canada, working with Hugging Face,
[00:14:24.180 --> 00:14:27.300]   figured out for which use cases of service now
[00:14:27.300 --> 00:14:28.620]   you can apply AI.
[00:14:28.620 --> 00:14:31.240]   So then we said, okay, now listen,
[00:14:31.240 --> 00:14:34.760]   you talked about our gross margins.
[00:14:34.760 --> 00:14:36.960]   Our gross margins are 82%.
[00:14:36.960 --> 00:14:39.620]   And all of you run the companies,
[00:14:39.620 --> 00:14:43.020]   your profitability starts at your gross margin level.
[00:14:43.020 --> 00:14:45.060]   That's your first step or staircase.
[00:14:45.060 --> 00:14:48.180]   82, then you add R&D cost, sales and marketing cost,
[00:14:48.180 --> 00:14:50.860]   G&A cost, and then you get to profitability.
[00:14:50.860 --> 00:14:55.860]   So we are world-class in terms of our gross margin at scale.
[00:14:55.860 --> 00:14:58.380]   So I don't have the luxury.
[00:14:58.380 --> 00:15:01.300]   It's a constraint-driven optimization problem
[00:15:01.300 --> 00:15:03.720]   that I don't have the luxury to say,
[00:15:03.720 --> 00:15:07.740]   I'm gonna run open AI everywhere in my farm, in our cloud,
[00:15:07.740 --> 00:15:12.460]   because we are 100% cloud company with 170 billion,
[00:15:12.460 --> 00:15:15.780]   who knows, 2 trillion parameters now, with 4.0.
[00:15:15.780 --> 00:15:17.220]   I don't have that luxury.
[00:15:17.220 --> 00:15:22.220]   So the constraint was, can I run smaller models faster
[00:15:22.220 --> 00:15:25.980]   with lower latency for service now use cases?
[00:15:25.980 --> 00:15:28.520]   And that was a constraint-driven innovation.
[00:15:28.520 --> 00:15:30.040]   And we partnered with Hugging Face,
[00:15:30.040 --> 00:15:31.900]   our science and research team,
[00:15:31.900 --> 00:15:35.420]   and we came up with the first model on text-to-code.
[00:15:35.420 --> 00:15:37.060]   And we are not trying to do text-to-code
[00:15:37.060 --> 00:15:39.580]   like GitHub Copilot with Java or anything.
[00:15:39.580 --> 00:15:42.940]   Our text-to-code was specifically service now code,
[00:15:42.940 --> 00:15:44.800]   how you configure service now.
[00:15:44.800 --> 00:15:47.220]   And that was our first breakthrough
[00:15:47.220 --> 00:15:48.820]   working with Hugging Face.
[00:15:48.820 --> 00:15:51.620]   And then, once we do that,
[00:15:51.620 --> 00:15:54.200]   and you talked about Jensen,
[00:15:54.200 --> 00:15:58.460]   he's a big fan of Canada.
[00:15:58.460 --> 00:16:01.500]   So when we acquired Element AI--
[00:16:01.500 --> 00:16:02.780]   - Me too, Canada.
[00:16:02.780 --> 00:16:03.620]   - Yes.
[00:16:03.620 --> 00:16:08.180]   So when we acquired Element AI,
[00:16:08.180 --> 00:16:10.420]   it was the first phone call he made,
[00:16:10.420 --> 00:16:14.180]   and said, "CJ, love the Canadian talent.
[00:16:14.180 --> 00:16:15.660]   "We should do more together."
[00:16:15.660 --> 00:16:17.540]   And that was in 2020,
[00:16:17.540 --> 00:16:19.500]   because his history with you, Toronto,
[00:16:19.500 --> 00:16:21.240]   and ImageNet, and all of those things.
[00:16:21.240 --> 00:16:23.540]   So what we did is,
[00:16:23.540 --> 00:16:26.180]   that Canada team working with Hugging Face,
[00:16:26.180 --> 00:16:28.420]   we figured out smaller models,
[00:16:28.420 --> 00:16:31.380]   a one-tenth the size of OpenAI.
[00:16:31.380 --> 00:16:33.880]   And I told Jensen, "Hey, man, dude,
[00:16:33.880 --> 00:16:37.400]   "you are constantly pushing the next rev, H-class,
[00:16:38.240 --> 00:16:42.640]   "plus plus, I need these to run on A-100s."
[00:16:42.640 --> 00:16:45.120]   And that's what we'll work for,
[00:16:45.120 --> 00:16:46.360]   because we are a public company.
[00:16:46.360 --> 00:16:50.960]   So you have 1% gross margin, de-sell,
[00:16:50.960 --> 00:16:53.560]   and the number of questions I get from investors,
[00:16:53.560 --> 00:16:56.760]   like you get from VCs all the time, are not fun.
[00:16:56.760 --> 00:16:59.600]   So, yes.
[00:16:59.600 --> 00:17:02.120]   So we basically said,
[00:17:02.120 --> 00:17:04.880]   "I want smaller model that can run on A-100s,
[00:17:04.880 --> 00:17:07.600]   "and I can replicate that in every cloud."
[00:17:07.600 --> 00:17:09.080]   He's still always trying to push me.
[00:17:09.080 --> 00:17:12.160]   He's a great salesman, even though he acts like he isn't.
[00:17:12.160 --> 00:17:14.120]   He's always trying to push for H,
[00:17:14.120 --> 00:17:17.560]   to say H is faster, more efficient, which he's right.
[00:17:17.560 --> 00:17:19.600]   But we wanted something to run on A.
[00:17:19.600 --> 00:17:21.280]   So the smaller model,
[00:17:21.280 --> 00:17:24.640]   smaller models is where we are going with use cases.
[00:17:24.640 --> 00:17:26.560]   - Well, I hear you're really gonna need Blackwell.
[00:17:26.560 --> 00:17:27.400]   - Yes, I know.
[00:17:27.400 --> 00:17:29.080]   - The highest margin model.
[00:17:29.080 --> 00:17:30.240]   - $30,000, or something?
[00:17:30.240 --> 00:17:31.200]   - Exactly.
[00:17:31.200 --> 00:17:32.040]   What's that to you?
[00:17:32.040 --> 00:17:33.080]   - Yeah.
[00:17:33.080 --> 00:17:33.920]   - Fabulous.
[00:17:33.920 --> 00:17:36.120]   I have one more question for CJ,
[00:17:36.120 --> 00:17:37.760]   and I'm giving you that heads up
[00:17:37.760 --> 00:17:40.480]   so that you come up with a couple questions top of mind.
[00:17:40.480 --> 00:17:42.880]   CJ, we've got a room of builders here,
[00:17:42.880 --> 00:17:45.600]   and they're building many consumer companies,
[00:17:45.600 --> 00:17:47.480]   but also many enterprise companies.
[00:17:47.480 --> 00:17:49.600]   Frankly, you're a dream customer
[00:17:49.600 --> 00:17:52.080]   for a lot of the companies in this room.
[00:17:52.080 --> 00:17:55.000]   What can you tell people building products in this room
[00:17:55.000 --> 00:17:58.720]   to help guide them towards being a great AI builder
[00:17:58.720 --> 00:18:01.320]   that ServiceNow might consider partnering with
[00:18:01.320 --> 00:18:03.560]   and being a customer of?
[00:18:03.560 --> 00:18:05.520]   - Yeah, so I said there are two places.
[00:18:05.520 --> 00:18:08.240]   So just, when you look at me, look at my forehead,
[00:18:08.240 --> 00:18:11.880]   and it's a $1 billion spend I have in my cloud and software.
[00:18:11.880 --> 00:18:13.840]   So if you wanna sell something to me,
[00:18:13.840 --> 00:18:16.240]   make it quick, and I'll buy, okay?
[00:18:16.240 --> 00:18:18.960]   But I spend $1 billion, no jokes,
[00:18:18.960 --> 00:18:23.160]   on cloud and software and on the infrastructure a year,
[00:18:23.160 --> 00:18:26.920]   and growing at 25% in line with our revenue.
[00:18:26.920 --> 00:18:29.520]   So that's how much I spend,
[00:18:29.520 --> 00:18:31.480]   so I can be a great customer of yours,
[00:18:31.480 --> 00:18:32.780]   or at least a prospect.
[00:18:33.780 --> 00:18:37.740]   In terms of what works is,
[00:18:37.740 --> 00:18:41.100]   if you understand ServiceNow,
[00:18:41.100 --> 00:18:42.740]   which if you go to our website,
