
[00:00:00.000 --> 00:00:07.000]   Should global warming change how we live?
[00:06:46.000 --> 00:06:52.000]   Jesus made a distinction. Paul made a distinction. Paul calls it your tent.
[00:06:52.000 --> 00:06:58.000]   It is the way your soul puts its decisions and its loves and its desires into action.
[00:06:58.000 --> 00:07:07.000]   Our body acts what our heart desires, and it is one of the ways that God's goodness—
[00:07:07.000 --> 00:07:16.000]   your body is one of the ways that God's goodness is experienced in the pleasures he gives.
[00:07:16.000 --> 00:07:23.000]   For example, 1 Timothy 6, 17, "Don't set your hope on uncertain riches,
[00:07:23.000 --> 00:07:30.000]   but on God, who richly provides us with everything to enjoy."
[00:07:30.000 --> 00:07:37.000]   And a lot of that enjoyment comes through the five senses of the body.
[00:07:37.000 --> 00:07:50.000]   So we receive gifts of beauty and goodness and pleasure through the eyes and ears and nose and skin and tongue of the body.
[00:07:50.000 --> 00:07:57.000]   Paul says in 1 Timothy 4, "God created these pleasures to be received with thanksgiving
[00:07:57.000 --> 00:08:03.000]   by those who believe and know the truth, for everything created by God is good.
[00:08:03.000 --> 00:08:11.000]   Nothing is to be rejected if it is received with thanksgiving, for it is made holy by the word of God and prayer."
[00:08:11.000 --> 00:08:18.000]   So the body is the portal of God's goodness through physical pleasure.
[00:08:18.000 --> 00:08:26.000]   And then it's turned around, and the body becomes the means of thankful worship and faithful obedience.
[00:08:26.000 --> 00:08:31.000]   The body receives and reflects the glory of God.
[00:08:31.000 --> 00:08:38.000]   We use the body to put the obedience of our hearts into visible action.
[00:08:38.000 --> 00:08:46.000]   That's what Paul says when he makes the members of our body instruments of righteousness in Romans 6, 13.
[00:08:46.000 --> 00:08:52.000]   Our body are instruments of our hearts' righteousness.
[00:08:52.000 --> 00:09:01.000]   Now, in the same way, not only is your body, your little earth, your little world,
[00:09:01.000 --> 00:09:07.000]   where you receive good from God and reflect his goodness in the acts of bodily obedience,
[00:09:07.000 --> 00:09:12.000]   so also is the earth your bigger body.
[00:09:12.000 --> 00:09:19.000]   So you see the shift I'm making now. The body is your little earth, and the earth is your bigger body.
[00:09:19.000 --> 00:09:26.000]   Just like Paul said we are to master our body and bring it into subjection, 1 Corinthians 9, 27,
[00:09:26.000 --> 00:09:30.000]   and make it the servant of righteousness, Romans 6, 13,
[00:09:30.000 --> 00:09:39.000]   so we have been given a mandate as God's highest earthly creatures to subdue the earth,
[00:09:39.000 --> 00:09:43.000]   just like we subdue our bodies and make them instruments of righteousness.
[00:09:43.000 --> 00:09:50.000]   We subdue the earth, take dominion over it, and make it serve righteousness and justice.
[00:09:50.000 --> 00:09:59.000]   Psalm 8, 6, "You have given man dominion over the works of your hands; you have put all things under his feet."
[00:09:59.000 --> 00:10:04.000]   Same thing in Genesis 1, 26, "Let us make man in our image after our likeness,
[00:10:04.000 --> 00:10:09.000]   and let them have dominion over all the earth."
[00:10:09.000 --> 00:10:20.000]   So the care of our bodies and the care of the earth are not driven by the worship of the body or the worship of the earth.
[00:10:20.000 --> 00:10:29.000]   That care is driven by a divine calling to make our body, our little earth,
[00:10:29.000 --> 00:10:37.000]   and to make our earth, our bigger body, to make them both a means of glorifying God.
[00:10:37.000 --> 00:10:40.000]   That's why we have a body. That's why we have an earth.
[00:10:40.000 --> 00:10:48.000]   By receiving pleasures through them, body and earth, we respond with thankfulness to God,
[00:10:48.000 --> 00:10:57.000]   and we respond by making both of them instruments of Christ-exalting righteousness.
[00:10:57.000 --> 00:11:02.000]   Thank you, Pastor John, for making that body-earth connection. That's very helpful.
[00:11:02.000 --> 00:11:04.000]   And thank you for listening to the podcast today.
[00:11:04.000 --> 00:11:09.000]   And of course, thank you for supporting DesiringGod.org in this podcast.
[00:11:09.000 --> 00:11:11.000]   Ask Pastor John.
[00:11:11.000 --> 00:11:16.000]   Even with all the disruptions in this crazy year, ministry has been full throttle for us in 2020.
[00:11:16.000 --> 00:11:20.000]   In fact, it feels like the Lord has given us even more work to do this year in addressing the pandemic,
[00:11:20.000 --> 00:11:26.000]   and particularly with the international launch of Pastor John's new book, Coronavirus and Christ.
[00:11:26.000 --> 00:11:31.000]   We're investing tens of thousands of dollars to get that timely book translated and distributed around the world,
[00:11:31.000 --> 00:11:38.000]   working to make it available free of charge in 29 different languages, and possibly even more.
[00:11:38.000 --> 00:11:44.000]   And all of this at a time when so many organizations are now forced to cut staff and slash budgets.
[00:11:44.000 --> 00:11:50.000]   Instead, we are actually spending more money than ever to freely give away the best news in the world.
[00:11:50.000 --> 00:11:55.000]   And of course, all of our ministry—the website, the books from Pastor John, and this podcast—all of it is possible,
[00:11:55.000 --> 00:12:00.000]   because God continues to raise up generous ministry partners around us.
[00:12:00.000 --> 00:12:04.000]   People who regularly pray for us and who donate to support all of our work.
[00:12:04.000 --> 00:12:09.000]   If that's you, thank you for your partnership. We cannot do it without you.
[00:12:09.000 --> 00:12:13.000]   And if this is not you, maybe you've been a listener to the podcast or a reader of the website for a while,
[00:12:13.000 --> 00:12:17.000]   or downloaded free books by Pastor John, or watched our YouTube videos.
[00:12:17.000 --> 00:12:22.000]   Maybe you've been blessed by all the content that our partners have made free of charge to you in the past,
[00:12:22.000 --> 00:12:27.000]   and now maybe you want to become someone who will now make those resources available to a new generation
[00:12:27.000 --> 00:12:32.000]   who will experience all of Pastor John and Desiring God's content free of charge.
[00:12:32.000 --> 00:12:39.000]   If that's you, now is a great time to join us as our fiscal year ends in June and our new fiscal year begins in July,
[00:12:39.000 --> 00:12:43.000]   and we dream about all the new resources we want to make in the year ahead,
[00:12:43.000 --> 00:12:46.000]   and the new audiences we want to reach in the year ahead.
[00:12:46.000 --> 00:12:53.000]   Join us today by going online to DesiringGod.org/donate. That's DesiringGod.org/donate.
[00:12:53.000 --> 00:12:57.000]   Thank you for supporting us. I'm Tony Reinke. We will see you back here on Monday.
[00:12:57.000 --> 00:12:59.000]   Have a great weekend, and we'll see you then.
[00:12:59.000 --> 00:13:01.000]   [end]
[00:13:01.000 --> 00:13:03.000]   [music]
[00:13:03.000 --> 00:13:05.000]   [music]
[00:13:05.000 --> 00:13:15.000]   [BLANK_AUDIO]

