
[00:00:00.000 --> 00:00:05.840]   (applause)
[00:04:40.980 --> 00:04:43.080]   Medicare prescription drug world.
[00:04:43.140 --> 00:04:47.080]   In 2024 now, there's no more catastrophic phase
[00:04:47.080 --> 00:04:50.580]   where the - if your drug insurance costs - I'm
[00:04:50.580 --> 00:04:53.420]   sorry - prescription drug costs are getting too
[00:04:53.420 --> 00:04:55.760]   high, there was an unlimited window on how
[00:04:55.760 --> 00:04:56.520]   high those could go.
[00:04:56.520 --> 00:04:59.560]   The catastrophic phase is gone in 2024.
[00:04:59.560 --> 00:05:03.120]   And then in 2025, there will be a $2,000 cap on
[00:05:03.120 --> 00:05:06.500]   out-of-pocket expenses related to prescription
[00:05:06.500 --> 00:05:07.400]   drugs.
[00:05:07.400 --> 00:05:09.900]   So, if you go with original Medicare plus the
[00:05:09.960 --> 00:05:13.600]   Plan G Comprehensive Supplement, and then now
[00:05:13.600 --> 00:05:15.860]   with this out-of-pocket limit on prescription
[00:05:15.860 --> 00:05:18.700]   drugs, you can predict pretty well what your
[00:05:18.700 --> 00:05:21.540]   potential insurance - or your health care costs
[00:05:21.540 --> 00:05:22.440]   will be in retirement.
[00:05:22.440 --> 00:05:25.020]   And that can help manage a significant spending
[00:05:25.020 --> 00:05:27.640]   shock of, "I don't know what kind of health care
[00:05:27.640 --> 00:05:28.740]   bills I will face."
[00:05:28.740 --> 00:05:31.620]   There is a way now, increasingly, to be able
[00:05:31.620 --> 00:05:33.220]   to manage that better.
[00:05:33.220 --> 00:05:35.620]   So, I wanted to mention Alan Roth is here in the
[00:05:35.620 --> 00:05:36.280]   room.
[00:05:36.280 --> 00:05:38.760]   And Alan will be taking questions and collating
[00:05:38.820 --> 00:05:40.620]   them and he's right there.
[00:05:40.620 --> 00:05:41.520]   He just raised his hand.
[00:05:41.520 --> 00:05:43.720]   So, if you've got a question, write it on a
[00:05:43.720 --> 00:05:46.120]   piece of paper and hand it to Alan and he'll take a
[00:05:46.120 --> 00:05:49.000]   look and hand us the best ones.
[00:05:49.000 --> 00:05:51.800]   Mike, I wanted to ask you about the Social Security
[00:05:51.800 --> 00:05:53.940]   Adjustment that was just announced, the inflation
[00:05:53.940 --> 00:05:54.600]   adjustment.
[00:05:54.600 --> 00:05:55.500]   Can you talk about that?
[00:05:55.500 --> 00:05:59.240]   It came on a day when the new inflation number was
[00:05:59.240 --> 00:06:03.740]   above that 3.2 percent inflation adjustment.
[00:06:03.740 --> 00:06:05.420]   Maybe you can give us a little bit of background
[00:06:05.420 --> 00:06:06.980]   on how they come up with that.
[00:06:07.060 --> 00:06:10.360]   3.2, right?
[00:06:10.360 --> 00:06:12.560]   Yeah.
[00:06:12.560 --> 00:06:17.000]   It's looking at quarterly CPI figures, basically.
[00:06:17.000 --> 00:06:19.400]   And it's not - it's essentially inflation over
[00:06:19.400 --> 00:06:21.460]   the last year, except it's a lag.
[00:06:21.460 --> 00:06:23.060]   It's not a calendar year.
[00:06:23.060 --> 00:06:25.640]   That's really the gist of it.
[00:06:25.640 --> 00:06:30.280]   So, on the one hand, that's a lower adjustment than
[00:06:30.280 --> 00:06:32.140]   we've seen in the last couple of years.
[00:06:32.140 --> 00:06:35.620]   And so, that might feel like it's bad news because
[00:06:35.680 --> 00:06:37.840]   you didn't get as much of a raise, but it's because
[00:06:37.840 --> 00:06:39.640]   there wasn't as much inflation and that is good
[00:06:39.640 --> 00:06:40.320]   news.
[00:06:40.320 --> 00:06:43.020]   So, you know, it's good and bad news, however you
[00:06:43.020 --> 00:06:44.560]   look at it.
[00:06:44.560 --> 00:06:46.760]   And the CPI number can be a little bit different
[00:06:46.760 --> 00:06:48.820]   because usually when we talk about inflation, we're
[00:06:48.820 --> 00:06:51.620]   talking about the CPI-U index.
[00:06:51.620 --> 00:06:54.360]   That's the mainstream what the media is talking about.
[00:06:54.360 --> 00:06:56.240]   Social Security actually uses something called
[00:06:56.240 --> 00:06:59.840]   CPI-W, which is Urban and Clerical Workers, and it
[00:06:59.840 --> 00:07:01.440]   can be a little bit different.
[00:07:01.440 --> 00:07:03.880]   That's why the announcement of what the
[00:07:03.940 --> 00:07:07.300]   overall inflation was over the 12-month lag period
[00:07:07.300 --> 00:07:09.280]   can be different from what the Social Security
[00:07:09.280 --> 00:07:10.440]   goal is.
[00:07:10.440 --> 00:07:11.120]   Okay.
[00:07:11.120 --> 00:07:14.820]   So, you just addressed some of the positive tail
[00:07:14.820 --> 00:07:16.280]   winds for new retirees.
[00:07:16.280 --> 00:07:18.680]   How about things that you perceive as headwinds?
[00:07:18.680 --> 00:07:24.520]   Certainly one thing I think about is elder abuse,
[00:07:24.520 --> 00:07:25.200]   fraud.
[00:07:25.200 --> 00:07:27.560]   You know, there's a whole industry where we have
[00:07:27.560 --> 00:07:30.160]   these robo-scam calls and Social Security benefits
[00:07:30.160 --> 00:07:33.540]   have been suspended or your grandchild has been
[00:07:33.600 --> 00:07:35.100]   kidnapped, you know, what have you, they're in a
[00:07:35.100 --> 00:07:38.280]   jail in Mexico, you know, send us $10,000, haul it
[00:07:38.280 --> 00:07:39.840]   out in a book in the mail.
[00:07:39.840 --> 00:07:42.080]   So, that's certainly going to be a really big
[00:07:42.080 --> 00:07:44.880]   challenge, especially as we get older and we're not
[00:07:44.880 --> 00:07:46.140]   quite as sharp as we used to be.
[00:07:46.140 --> 00:07:50.220]   Navigating those challenges is going to be
[00:07:50.220 --> 00:07:53.060]   quite a lot for retirees.
[00:07:53.060 --> 00:07:57.060]   And the best solution there is, you know, have
[00:07:57.060 --> 00:08:00.100]   that resource, you know, set up that financial
[00:08:00.100 --> 00:08:03.240]   power of attorney, have those trusted parties
[00:08:03.300 --> 00:08:06.040]   that are going to help you manage your finances when
[00:08:06.040 --> 00:08:09.940]   eventually you may not be able to do so yourself.
[00:08:09.940 --> 00:08:12.040]   Seems like that's an argument for simplifying
[00:08:12.040 --> 00:08:14.180]   a financial plan too, right, as you age?
[00:08:14.180 --> 00:08:14.880]   Okay.
[00:08:14.880 --> 00:08:20.720]   You all work with clients to varying degrees.
[00:08:20.720 --> 00:08:23.220]   How do you help them when you have a new client who
[00:08:23.220 --> 00:08:26.620]   comes in and says, can I retire and when can I
[00:08:26.620 --> 00:08:27.280]   retire?
[00:08:27.280 --> 00:08:29.100]   What are the key things that you put on the
[00:08:29.100 --> 00:08:31.520]   dashboard and what's sort of the exercise that you
[00:08:31.600 --> 00:08:33.600]   take them through?
[00:08:33.600 --> 00:08:40.700]   I think since we can't know what the future holds in
[00:08:40.700 --> 00:08:43.280]   terms of investment returns, inflation and
[00:08:43.280 --> 00:08:45.900]   life expectancy and taxes, I think it's always
[00:08:45.900 --> 00:08:48.080]   important to have some flexibility baked into a
[00:08:48.080 --> 00:08:49.220]   retirement plan.
[00:08:49.220 --> 00:08:51.040]   And for some folks, maybe that means working
[00:08:51.040 --> 00:08:53.180]   longer, maybe that means possibly working part
[00:08:53.180 --> 00:08:56.760]   time, but for pretty much everyone, that's going to
[00:08:56.760 --> 00:08:58.520]   mean having some flexibility with your
[00:08:58.520 --> 00:08:59.180]   spending.
[00:08:59.260 --> 00:09:02.620]   The probably easier way to do this is to put off
[00:09:02.620 --> 00:09:05.260]   big expenses during years of poor market
[00:09:05.260 --> 00:09:05.920]   performance.
[00:09:05.920 --> 00:09:07.860]   So, if you have a bad year in the market, maybe it
[00:09:07.860 --> 00:09:09.360]   means you'll buy a new car next year.
[00:09:09.360 --> 00:09:11.400]   Maybe it means you'll do the home renovation next
[00:09:11.400 --> 00:09:12.060]   year.
[00:09:12.060 --> 00:09:15.900]   Maybe it means you'll make that big spend in a year
[00:09:15.900 --> 00:09:18.780]   that the market hasn't performed poorly.
[00:09:18.780 --> 00:09:22.000]   But having some wiggle room in your spending,
[00:09:22.000 --> 00:09:23.700]   that's going to be critical to any retirement plan
[00:09:23.700 --> 00:09:26.320]   regardless of what metric or technique you use in
[00:09:26.320 --> 00:09:28.980]   putting that plan together.
[00:09:29.040 --> 00:09:31.820]   In terms of trying to assess, do you have
[00:09:31.820 --> 00:09:34.080]   enough, are you ready to retire financially
[00:09:34.080 --> 00:09:37.060]   speaking, a lot of the approach out there has
[00:09:37.060 --> 00:09:39.360]   been like you do a Monte Carlo simulation and look
[00:09:39.360 --> 00:09:41.120]   at the probability of success.
[00:09:41.120 --> 00:09:44.000]   I've really become more enamored or comfortable
[00:09:44.000 --> 00:09:46.200]   with a funded ratio approach, which is
[00:09:46.200 --> 00:09:49.100]   basically you assume your investments are going to
[00:09:49.100 --> 00:09:51.340]   earn a basic rate of return.
[00:09:51.340 --> 00:09:52.580]   You can link it to tips.
[00:09:52.580 --> 00:09:55.400]   So, you use tips as the underlying discount rate
[00:09:55.400 --> 00:09:58.140]   in the analysis and then you add up, well, what are
[00:09:58.220 --> 00:09:59.140]   all my liabilities?
[00:09:59.140 --> 00:10:01.140]   What are the goals I have for retirement?
[00:10:01.140 --> 00:10:04.320]   My expenses, if I have a legacy goal, what I want
[00:10:04.320 --> 00:10:06.180]   to have set aside as reserves for spending
[00:10:06.180 --> 00:10:07.620]   shocks and so forth.
[00:10:07.620 --> 00:10:10.020]   And then you start adding up all your assets as
[00:10:10.020 --> 00:10:11.860]   well, the different investment accounts,
[00:10:11.860 --> 00:10:14.020]   Social Security as an income stream, other
[00:10:14.020 --> 00:10:16.120]   pensions, that sort of thing.
[00:10:16.120 --> 00:10:18.800]   And then you calculate the present value of all this
[00:10:18.800 --> 00:10:22.160]   using the simple interest rate that's not assuming
[00:10:22.160 --> 00:10:23.000]   stock market risk.
[00:10:23.000 --> 00:10:26.140]   It's just, can my plan work without taking risk as a
[00:10:26.140 --> 00:10:27.740]   starting point?
[00:10:27.800 --> 00:10:29.780]   And you look at how much assets do I have compared
[00:10:29.780 --> 00:10:30.480]   to liabilities?
[00:10:30.480 --> 00:10:35.040]   And if your funded ratio is over 100 percent, that's a
[00:10:35.040 --> 00:10:37.220]   pretty good indication that you can start thinking
[00:10:37.220 --> 00:10:39.360]   that you're in a pretty comfortable place, that you
[00:10:39.360 --> 00:10:42.260]   have what you need to successfully retire and to
[00:10:42.260 --> 00:10:44.560]   also meet the kinds of spending shocks that you
[00:10:44.560 --> 00:10:45.500]   want to be prepared for.
[00:10:45.500 --> 00:10:47.920]   Like, do I want to plan for a specific long-term care
[00:10:47.920 --> 00:10:52.100]   event or that sort of thing?
[00:10:52.100 --> 00:10:54.700]   >> I do like the funded ratio concept a lot, just
[00:10:54.700 --> 00:10:56.100]   like Wade.
[00:10:56.160 --> 00:11:00.300]   My primary approach is Monte Carlo analysis, and
[00:11:00.300 --> 00:11:03.940]   that's not honestly because I think that's the best
[00:11:03.940 --> 00:11:05.640]   approach and it's better than all of the others.
[00:11:05.640 --> 00:11:06.740]   It's just what I use.
[00:11:06.740 --> 00:11:09.420]   I think there's other good approaches also.
[00:11:09.420 --> 00:11:13.220]   If you are using Monte Carlo analysis, the big
[00:11:13.220 --> 00:11:15.420]   output number it's going to give you is probability
[00:11:15.420 --> 00:11:17.980]   of success, just like Wade said, and that's
[00:11:17.980 --> 00:11:19.080]   important.
[00:11:19.080 --> 00:11:21.220]   But you also want to look at a number of other
[00:11:21.220 --> 00:11:22.100]   metrics.
[00:11:22.160 --> 00:11:27.060]   So, in the failure scenarios, when did failure
[00:11:27.060 --> 00:11:27.740]   occur?
[00:11:27.740 --> 00:11:28.400]   Right?
[00:11:28.400 --> 00:11:30.940]   Did it occur at age 73 or at age 98?
[00:11:30.940 --> 00:11:32.080]   And that's a big difference.
[00:11:32.080 --> 00:11:34.280]   And so, we want to look at other metrics as well as,
[00:11:34.280 --> 00:11:37.780]   you know, remaining portfolio value in the
[00:11:37.780 --> 00:11:41.420]   median case or the 75th percentile case and 25th
[00:11:41.420 --> 00:11:43.120]   percentile case and so on.
[00:11:43.120 --> 00:11:46.580]   And so, I think I am a big fan of Monte Carlo
[00:11:46.580 --> 00:11:50.580]   analysis, but I definitely don't think that you need
[00:11:50.660 --> 00:11:51.860]   to look at it from a lot of different points of
[00:11:51.860 --> 00:11:53.360]   view, not just the probability of success
[00:11:53.360 --> 00:11:54.020]   basically.
[00:11:54.020 --> 00:11:56.300]   Well, I wanted to follow up on that probability of
[00:11:56.300 --> 00:11:59.600]   success point because it is an important dimension
[00:11:59.600 --> 00:12:01.440]   of the Monte Carlo analysis.
[00:12:01.440 --> 00:12:04.140]   In the simulations that we run in our retirement
[00:12:04.140 --> 00:12:06.300]   income research at Morningstar, we use 90
[00:12:06.300 --> 00:12:09.180]   percent probability as kind of the baseline or the
[00:12:09.180 --> 00:12:12.580]   target case, and we sometimes hear pushback,
[00:12:12.580 --> 00:12:14.980]   especially from individual investors who say, "No, I
[00:12:14.980 --> 00:12:16.140]   want 100.
[00:12:16.140 --> 00:12:19.860]   I want 100 percent chance of - 100 percent of odds
[00:12:19.920 --> 00:12:21.420]   of not running out of money."
[00:12:21.420 --> 00:12:25.100]   Can you all discuss the pros and cons of sort of
[00:12:25.100 --> 00:12:27.820]   what is - if you're using Monte Carlo simulations,
[00:12:27.820 --> 00:12:32.460]   what is a decent success rate to target?
[00:12:32.460 --> 00:12:33.700]   Yeah.
[00:12:33.700 --> 00:12:36.800]   So, on the Longview podcast, Christine
[00:12:36.800 --> 00:12:39.280]   interviewed Derek Tharp several months ago.
[00:12:39.280 --> 00:12:42.500]   I don't know when exactly, but go look that episode
[00:12:42.500 --> 00:12:43.180]   up.
[00:12:43.180 --> 00:12:43.840]   It's excellent.
[00:12:43.840 --> 00:12:48.740]   The thing he talks about is if you are going to do a
[00:12:48.820 --> 00:12:50.520]   one-time analysis, you're going to make a single
[00:12:50.520 --> 00:12:54.320]   plan and then just not change the plan at all, no
[00:12:54.320 --> 00:12:57.320]   matter what happens, then yeah, you do want a super,
[00:12:57.320 --> 00:13:00.000]   super high probability of success.
[00:13:00.000 --> 00:13:02.620]   But if you're willing to update it every single
[00:13:02.620 --> 00:13:04.540]   year, maybe adjust our spending a little bit this
[00:13:04.540 --> 00:13:07.100]   way, a little bit that way, then a somewhat lower
[00:13:07.100 --> 00:13:09.440]   probability of success can be very reasonable.
[00:13:09.440 --> 00:13:12.840]   And exactly, you know, I'm using fuzzy words here,
[00:13:12.840 --> 00:13:13.500]   right?
[00:13:13.500 --> 00:13:15.740]   A high probability of success, a somewhat lower
[00:13:15.740 --> 00:13:17.380]   probability of success.
[00:13:17.440 --> 00:13:19.680]   And what those words will mean to one person is
[00:13:19.680 --> 00:13:21.340]   different than to another person, because when we
[00:13:21.340 --> 00:13:24.180]   talk about risk tolerance, classically we're talking
[00:13:24.180 --> 00:13:26.920]   about, oh, how volatile is my portfolio?
[00:13:26.920 --> 00:13:29.280]   And that's a real sort of risk tolerance, but this
[00:13:29.280 --> 00:13:34.360]   is the real risk tolerance, is how okay am I with
[00:13:34.360 --> 00:13:37.360]   needing to change my life because of something that
[00:13:37.360 --> 00:13:38.660]   happened in the markets?
[00:13:38.660 --> 00:13:41.720]   And so, the right answer for one person is simply not
[00:13:41.720 --> 00:13:44.800]   going to be the right answer for another person.
[00:13:44.860 --> 00:13:47.620]   >> Yeah, and it relates to like not just of the
[00:13:47.620 --> 00:13:49.400]   portfolio itself, because the probability of
[00:13:49.400 --> 00:13:53.000]   success, the software is not, probably not assuming
[00:13:53.000 --> 00:13:55.000]   any sort of spending adjustments.
[00:13:55.000 --> 00:13:56.940]   So, it's really if you don't change your spending at
[00:13:56.940 --> 00:13:58.740]   all, what's the probability that you'll
[00:13:58.740 --> 00:13:59.400]   deplete?
[00:13:59.400 --> 00:14:02.340]   The reality is, as you get closer to running out of
[00:14:02.340 --> 00:14:04.780]   money, you're probably going to adjust spending and
[00:14:04.780 --> 00:14:05.440]   that can help.
[00:14:05.440 --> 00:14:08.020]   So, it's not like necessarily the catastrophic
[00:14:08.020 --> 00:14:09.120]   scenario.
[00:14:09.120 --> 00:14:11.180]   Plus, you may have other resources outside of the
[00:14:11.180 --> 00:14:14.560]   investment portfolio that speak to, if I have
[00:14:14.620 --> 00:14:17.260]   plenty of my Social Security is a big one, but
[00:14:17.260 --> 00:14:20.260]   other reliable income outside the portfolio, if I
[00:14:20.260 --> 00:14:23.260]   have some flexibility for my spending and so forth,
[00:14:23.260 --> 00:14:25.740]   there's two ways to be aggressive in retirement.
[00:14:25.740 --> 00:14:27.940]   You can invest aggressively and you can spend more
[00:14:27.940 --> 00:14:29.040]   aggressively.
[00:14:29.040 --> 00:14:30.540]   And if you spend more aggressively, you'll have
[00:14:30.540 --> 00:14:33.900]   a lower probability of success, but you may be
[00:14:33.900 --> 00:14:36.000]   willing to take on a lower probability of success
[00:14:36.000 --> 00:14:38.040]   because you can make these adjustments and it's not
[00:14:38.040 --> 00:14:41.180]   catastrophic necessarily if you deplete your assets
[00:14:41.180 --> 00:14:43.420]   because you do have other spending resources outside
[00:14:43.480 --> 00:14:44.080]   of that.
[00:14:44.080 --> 00:14:47.560]   So, 90 percent is often the default, but in a real
[00:14:47.560 --> 00:14:49.660]   world case with somebody who's got some flexibility
[00:14:49.660 --> 00:14:52.160]   and so forth, you might be able to talk about like a
[00:14:52.160 --> 00:14:54.900]   70 or 80 percent success rate target because you're
[00:14:54.900 --> 00:14:58.120]   going to be adjusting that, as Mike said, over time.
[00:14:58.120 --> 00:15:00.600]   Yeah, certainly for that 90 percent success rate, that
[00:15:00.600 --> 00:15:02.300]   can be a reasonable way to do it.
[00:15:02.300 --> 00:15:04.000]   And I use the word reasonable as a keyword
[00:15:04.000 --> 00:15:06.040]   there because none of this is guaranteed.
[00:15:06.040 --> 00:15:07.940]   Whether you're doing a Monte Carlo simulation or a
[00:15:07.940 --> 00:15:09.840]   funded ratio or anything else, it's going to be a
[00:15:09.840 --> 00:15:11.200]   little bit of a broken record.
[00:15:11.280 --> 00:15:13.540]   You want to have that flexibility baked into your
[00:15:13.540 --> 00:15:16.240]   retirement plan because that 90 percent success
[00:15:16.240 --> 00:15:18.320]   rate, that's going to be based upon some guess
[00:15:18.320 --> 00:15:20.420]   about future taxes, some guess about future
[00:15:20.420 --> 00:15:22.720]   inflation, some guess about future investment
[00:15:22.720 --> 00:15:24.660]   return, life expectancy, et cetera.
[00:15:24.660 --> 00:15:27.160]   And if any of those guesses are wrong, well, now your
[00:15:27.160 --> 00:15:28.220]   results are wrong.
[00:15:28.220 --> 00:15:30.100]   That's why, again, it's so important to have
[00:15:30.100 --> 00:15:33.200]   flexibility baked into your retirement plan.
[00:15:33.200 --> 00:15:36.100]   So, one question I've been thinking a lot about based
[00:15:36.100 --> 00:15:39.540]   on my interactions with actual retirees is that
[00:15:39.600 --> 00:15:42.840]   people who have been diligent savers throughout
[00:15:42.840 --> 00:15:45.640]   their lives oftentimes have a really difficult
[00:15:45.640 --> 00:15:49.000]   time transitioning into spending mode and a
[00:15:49.000 --> 00:15:51.400]   difficult time giving themselves permission to
[00:15:51.400 --> 00:15:53.940]   spend from what they've managed to save.
[00:15:53.940 --> 00:15:55.480]   Can you hear me okay?
[00:15:55.480 --> 00:15:57.040]   Okay.
[00:15:57.040 --> 00:16:02.220]   So, I'd like to hear from the panel about how people
[00:16:02.220 --> 00:16:05.500]   should get themselves over that hump.
[00:16:05.500 --> 00:16:07.100]   Wade, I noticed you mentioned in the
[00:16:07.160 --> 00:16:10.460]   preceding session the role of an annuity in this
[00:16:10.460 --> 00:16:11.160]   context.
[00:16:11.160 --> 00:16:14.300]   I guess a question I have based on that is if
[00:16:14.300 --> 00:16:16.700]   someone is having trouble spending from their
[00:16:16.700 --> 00:16:18.960]   portfolio, it seems like it could be really
[00:16:18.960 --> 00:16:21.780]   difficult for them to part with a substantial share
[00:16:21.780 --> 00:16:23.800]   of the portfolio to put into that annuity in the
[00:16:23.800 --> 00:16:24.480]   first place.
[00:16:24.480 --> 00:16:27.440]   But, anyway, maybe you can tackle that question.
[00:16:27.440 --> 00:16:28.940]   Yeah, and I'll try to actually answer the
[00:16:28.940 --> 00:16:30.980]   question without referring to an annuity.
[00:16:30.980 --> 00:16:31.640]   Okay.
[00:16:31.640 --> 00:16:36.720]   So, you've got - there's - like the pair - like
