
[00:00:00.000 --> 00:00:04.920]   Hello everybody, it's Sam from Financial Samurai and welcome to the Financial Samurai podcast
[00:10:14.180 --> 00:10:19.300]   50 to 70 percent after tax for 13 consecutive years at the age of 28
[00:10:19.300 --> 00:10:24.200]   I was able to breach the 1 million net worth mark and I didn't really even know it and by
[00:10:24.200 --> 00:10:30.940]   2012 when I left my day job for good and my net worth was about 3 million dollars and I don't share and my net worth
[00:10:30.940 --> 00:10:32.940]   After that because it becomes kind of like a distraction
[00:10:32.940 --> 00:10:37.660]   But suffice it to say it has grown because there's been this huge bull market
[00:10:37.660 --> 00:10:43.420]   I've been riding and I hopefully you guys have been riding and it's a very very lucky time to be alive
[00:10:43.420 --> 00:10:47.140]   and it's a very lucky time to do something new on the internet and
[00:10:47.140 --> 00:10:51.820]   Also do something more unconventional rather than just your day job
[00:10:51.820 --> 00:10:58.360]   I do have several tenants that I follow one is if the amount of money you're saving each month doesn't hurt
[00:10:58.360 --> 00:11:03.760]   You're not saving enough. It's the same idea with braces, for example
[00:11:03.760 --> 00:11:10.340]   You know, if you've ever had braces when you're feeling pain in your gum and teeth, that means, you know, it's working
[00:11:10.340 --> 00:11:17.700]   It's kind of like working out if you don't feel sore the very next day and you just want to sleep in or take a hot
[00:11:17.700 --> 00:11:21.180]   Tub bath. Well, you know you didn't work hard enough
[00:11:21.180 --> 00:11:24.540]   It's the same thing with your finances
[00:11:24.540 --> 00:11:31.340]   The more you feel that visceral pain of saving and investing the more you have to second-guess like oh
[00:11:31.340 --> 00:11:33.820]   Maybe I have to cut my spending down a little bit
[00:11:34.300 --> 00:11:40.900]   That is when you know, you're finally saving enough and the other very important principle that I follow is this
[00:11:40.900 --> 00:11:45.980]   Never fail due to a lack of effort because effort requires no skill
[00:11:45.980 --> 00:11:49.260]   This is a saying that I've held on since high school
[00:11:49.260 --> 00:11:57.380]   Because I recognized I was a really average person in terms of intelligence in terms of athletic ability in terms of looks and so forth
[00:11:57.380 --> 00:11:59.580]   The only way I could get ahead
[00:11:59.860 --> 00:12:05.500]   Was to try harder than most people because trying harder doesn't require any skill at all
[00:12:05.500 --> 00:12:10.940]   There are no excuses for not trying harder and if you fail if I fail, okay, whatever
[00:12:10.940 --> 00:12:15.060]   At least I tried and I won't regret having not tried my best
[00:12:15.060 --> 00:12:21.340]   So I hope you guys really enjoy your time on financial samurai. You can read the posts subscribe
[00:12:21.340 --> 00:12:24.980]   Via email or RSS. There's a private newsletter
[00:12:25.580 --> 00:12:28.660]   There's also a forum that you can check out just google it
[00:12:28.660 --> 00:12:35.920]   And of course, there's now this podcast that I've been regularly doing at least one episode a week for the past couple years now
[00:12:35.920 --> 00:12:42.220]   I'm always gonna try to talk about something topical something interesting something fun so we can learn and grow together
[00:12:42.220 --> 00:12:45.920]   I'm on the financial journey and just as all of you are
[00:12:45.920 --> 00:12:51.020]   I'm in my early 40s, and I'm a new parent now and I'm excited about the future
[00:12:51.140 --> 00:12:58.180]   I'm a super optimist and let's just see how well we can grow our finances and our lives going forward
[00:12:58.180 --> 00:13:00.300]   Thanks so much everyone. Talk to you later

