
[00:00:00.000 --> 00:00:02.320]   I hate affirmative action.
[00:01:26.200 --> 00:01:28.900]   "and live out the true meaning of its creed.
[00:01:28.900 --> 00:01:31.540]   "We hold these truths to be self-evident,
[00:01:31.540 --> 00:01:33.480]   "that all men are created equal.
[00:01:33.480 --> 00:01:38.860]   "I have a dream that one day on the red hills of Georgia,
[00:01:38.860 --> 00:01:40.640]   "the sons of former slaves
[00:01:40.640 --> 00:01:42.960]   "and the sons of former slave owners
[00:01:42.960 --> 00:01:44.540]   "will be able to sit down together
[00:01:44.540 --> 00:01:46.000]   "at the table of brotherhood.
[00:01:46.000 --> 00:01:50.760]   "I have a dream that one day, even the state of Mississippi,
[00:01:50.760 --> 00:01:54.080]   "a state sweltering with the heat of injustice,
[00:01:54.080 --> 00:01:56.520]   "sweltering with the heat of oppression,
[00:01:56.520 --> 00:02:00.760]   "will be transformed into an oasis of freedom and justice.
[00:02:00.760 --> 00:02:04.240]   "I have a dream that my four little children
[00:02:04.240 --> 00:02:06.440]   "will one day live in a nation
[00:02:06.440 --> 00:02:09.700]   "where they will not be judged by the color of their skin,
[00:02:09.700 --> 00:02:12.460]   "but by the content of their character.
[00:02:12.460 --> 00:02:14.720]   "I have a dream today."
[00:02:14.720 --> 00:02:17.360]   First of all, damn, I mentioned to you offline,
[00:02:17.360 --> 00:02:19.560]   I immigrated to America,
[00:02:19.560 --> 00:02:20.920]   and this is why I love this country.
[00:02:20.920 --> 00:02:22.280]   This is one of the great speeches
[00:02:22.280 --> 00:02:25.040]   that represents what this country is about.
[00:02:25.040 --> 00:02:28.360]   So what is this ideal of equality
[00:02:28.360 --> 00:02:31.320]   that we should strive for as a nation,
[00:02:31.320 --> 00:02:33.420]   that all men are created equal?
[00:02:33.420 --> 00:02:35.680]   What does that mean to you, this equality?
[00:02:35.680 --> 00:02:41.780]   - Well, if we put this in historical context,
[00:02:41.780 --> 00:02:47.240]   King is speaking in 1963 when he gives that speech.
[00:02:47.240 --> 00:02:52.240]   It's exactly 100 years after Abraham Lincoln
[00:02:52.480 --> 00:02:55.560]   signs the Emancipation Proclamation,
[00:02:55.560 --> 00:03:00.560]   declaring the enslaved people to be free.
[00:03:00.560 --> 00:03:05.920]   They're not yet citizens in 1863,
[00:03:05.920 --> 00:03:10.440]   but the end of slavery has become the position
[00:03:10.440 --> 00:03:11.580]   of the federal government
[00:03:11.580 --> 00:03:15.360]   when Lincoln issues that Emancipation Proclamation.
[00:03:15.360 --> 00:03:20.840]   So putting it in context,
[00:03:20.840 --> 00:03:24.040]   enslaved people, 4 million or so
[00:03:24.040 --> 00:03:27.220]   African-descended enslaved people,
[00:03:27.220 --> 00:03:31.320]   how do they become citizens?
[00:03:31.320 --> 00:03:36.320]   How do they become in this status of subjugation
[00:03:36.320 --> 00:03:42.200]   and domination and stigma and exclusion?
[00:03:42.200 --> 00:03:44.320]   How do they become citizens?
[00:03:44.320 --> 00:03:48.800]   It seems to me that that's the heart of it.
[00:03:48.800 --> 00:03:53.080]   The equality that King is talking about
[00:03:53.080 --> 00:03:58.080]   is an equality of status as members of the nation,
[00:03:58.080 --> 00:04:03.560]   as free and equal citizens within the republic.
[00:04:03.560 --> 00:04:07.480]   Now, I think it's really important to understand
[00:04:07.480 --> 00:04:12.480]   that slavery was not merely a legal order,
[00:04:12.480 --> 00:04:18.280]   but it was also a social system
[00:04:18.280 --> 00:04:22.800]   that had the symbolism attached to it.
[00:04:22.800 --> 00:04:25.600]   They had a big journey to make
[00:04:25.600 --> 00:04:29.400]   from their subjugated status as serfs,
[00:04:29.400 --> 00:04:32.040]   as landless people, as uneducated,
[00:04:32.040 --> 00:04:35.640]   unfit for citizenship, really, in the minds of many.
[00:04:35.640 --> 00:04:40.640]   So I think that's what, in 1963, 100 years later,
[00:04:40.640 --> 00:04:44.240]   that King is appealing to,
[00:04:44.240 --> 00:04:48.360]   this idea that when Thomas Jefferson,
[00:04:48.360 --> 00:04:52.160]   in the Declaration of Independence, writes these words,
[00:04:52.160 --> 00:04:56.000]   all men are created equal and endowed by their creator
[00:04:56.000 --> 00:04:58.980]   with certain inalienable rights,
[00:04:58.980 --> 00:05:03.040]   he didn't, Thomas Jefferson, a slave owner,
[00:05:03.040 --> 00:05:07.440]   didn't have in mind when he wrote those words
[00:05:07.440 --> 00:05:09.180]   the people who were slaves.
[00:05:09.180 --> 00:05:13.360]   But by the time you get to 1963,
[00:05:13.360 --> 00:05:17.640]   King is invoking this idea,
[00:05:17.640 --> 00:05:20.520]   all men, and of course he means all persons,
[00:05:20.520 --> 00:05:23.240]   he doesn't only mean men,
[00:05:23.240 --> 00:05:25.480]   he means men and women are created equal,
[00:05:25.480 --> 00:05:30.840]   he wants this idea to be embraced by the country
[00:05:30.840 --> 00:05:35.040]   in reference to the descendants of the African slaves.
[00:05:35.040 --> 00:05:37.160]   That's his dream, that's his idea.
[00:05:37.160 --> 00:05:39.980]   The legacy of slavery would be erased,
[00:05:41.160 --> 00:05:45.260]   that the position of African Americans
[00:05:45.260 --> 00:05:49.000]   would be equalized within the political community,
[00:05:49.000 --> 00:05:51.760]   which is the United States of America.
[00:05:51.760 --> 00:05:53.720]   That's my sense of it, in any case.
[00:05:53.720 --> 00:05:56.560]   - So on a very basic level,
[00:05:56.560 --> 00:05:59.160]   the worth of a human being is equal.
[00:05:59.160 --> 00:06:02.620]   It's just literally the worth of a human being.
[00:06:02.620 --> 00:06:03.920]   So I mentioned to you offline
[00:06:03.920 --> 00:06:06.800]   that I came from the Soviet Union.
[00:06:06.800 --> 00:06:10.080]   My grandfather fought in World War II,
[00:06:10.920 --> 00:06:13.300]   and for Hitler,
[00:06:13.300 --> 00:06:18.900]   the worth of a Slavic person as they were captured,
[00:06:18.900 --> 00:06:21.100]   there's different numbers,
[00:06:21.100 --> 00:06:24.000]   but it's in the hundreds to one German
[00:06:24.000 --> 00:06:29.000]   in terms of the value of the person to the great Germany.
[00:06:29.000 --> 00:06:32.040]   So he wanted Germany to expand
[00:06:32.040 --> 00:06:34.440]   and conquer a large part of the world,
[00:06:34.440 --> 00:06:37.680]   and within that future world, that Third Reich,
[00:06:37.680 --> 00:06:41.880]   the worth of a Russian or a Slavic person
[00:06:41.880 --> 00:06:45.940]   is one hundredth or one thousandth of a German person,
[00:06:45.940 --> 00:06:47.680]   of a pure German person.
[00:06:47.680 --> 00:06:51.140]   So that has to do with not some kind of public policy
[00:06:51.140 --> 00:06:53.420]   or politics or all that kind of stuff.
[00:06:53.420 --> 00:06:56.480]   It has to do with the basic worth of a human being,
[00:06:56.480 --> 00:06:58.760]   and that's what Dr. King is speaking to,
[00:06:58.760 --> 00:07:03.560]   that all people on some kind of deep level
[00:07:03.560 --> 00:07:05.600]   are worth the same.
[00:07:07.040 --> 00:07:10.800]   If you're somehow weighing the value of a person,
[00:07:10.800 --> 00:07:14.760]   we're equal in that basic fundamental worth.
[00:07:14.760 --> 00:07:16.480]   - Yeah, I think that's correct.
[00:07:16.480 --> 00:07:18.480]   I think that's very well said.
[00:07:18.480 --> 00:07:20.000]   I don't know that he had in mind
[00:07:20.000 --> 00:07:23.640]   the position of Slavic people in Central Europe
[00:07:23.640 --> 00:07:25.280]   in the middle of the 20th century
[00:07:25.280 --> 00:07:27.440]   or the first part of the 20th century.
[00:07:27.440 --> 00:07:29.400]   King, I don't know that he had that in mind.
[00:07:29.400 --> 00:07:31.440]   He might well have done,
[00:07:31.440 --> 00:07:34.120]   but certainly that's the idea.
[00:07:34.120 --> 00:07:35.960]   - So you don't think he was really thinking
[00:07:35.960 --> 00:07:40.440]   about this particular civil rights struggle
[00:07:40.440 --> 00:07:42.800]   and the particular struggle
[00:07:42.800 --> 00:07:47.840]   against the backdrop of the history of slavery in America
[00:07:47.840 --> 00:07:49.560]   and thinking about African Americans.
[00:07:49.560 --> 00:07:52.160]   He wasn't thinking about the basic,
[00:07:52.160 --> 00:07:55.120]   he wasn't speaking to the basic worth of all human beings.
[00:07:55.120 --> 00:07:56.840]   - No, I don't mean to say that.
[00:07:56.840 --> 00:08:00.320]   The speech in Washington--
[00:08:00.320 --> 00:08:01.920]   - The dream. (laughs)
[00:08:01.960 --> 00:08:05.200]   - In 1963 at that march
[00:08:05.200 --> 00:08:08.360]   was within the context of the United States.
[00:08:08.360 --> 00:08:12.320]   And it was within the context of the civil rights movement.
[00:08:12.320 --> 00:08:14.280]   There was a movement that was going on.
[00:08:14.280 --> 00:08:20.720]   He was an actor in a political drama that was American
[00:08:20.720 --> 00:08:26.360]   that had to do with the fight over equal rights
[00:08:26.360 --> 00:08:30.960]   for voting, for housing, for employment,
[00:08:30.960 --> 00:08:34.680]   for citizenship of blacks in America.
[00:08:34.680 --> 00:08:37.640]   But King was informed, I think,
[00:08:37.640 --> 00:08:41.400]   by a much broader Christian ethic
[00:08:41.400 --> 00:08:44.440]   of the equality of all persons.
[00:08:44.440 --> 00:08:47.200]   I mean, he gets killed in 1968.
[00:08:47.200 --> 00:08:51.520]   The five years after that speech in Washington,
[00:08:51.520 --> 00:08:56.520]   he spends developing his worldview
[00:08:56.520 --> 00:09:00.440]   and the things that he had to say,
[00:09:00.440 --> 00:09:03.080]   for example, about the war in Southeast Asia
[00:09:03.080 --> 00:09:04.920]   that was going on at that time,
[00:09:04.920 --> 00:09:10.800]   made appeals to universal principles of equality.
[00:09:10.800 --> 00:09:13.680]   He was a pacifist to some degree.
[00:09:13.680 --> 00:09:15.600]   He was against war.
[00:09:15.600 --> 00:09:18.600]   He was a socialist to some degree.
[00:09:18.600 --> 00:09:21.920]   He might not have worn that label publicly,
[00:09:21.920 --> 00:09:25.000]   but he believed in a decent society
[00:09:25.000 --> 00:09:27.680]   where the poor would not go untended,
[00:09:27.680 --> 00:09:29.680]   where healthcare would be available
[00:09:29.680 --> 00:09:32.560]   to people who needed it and this kind of thing.
[00:09:32.560 --> 00:09:36.960]   A humanitarian who saw that the value of a life
[00:09:36.960 --> 00:09:40.240]   was not dependent upon the color of the skin,
[00:09:40.240 --> 00:09:43.800]   upon the native mother tongue that might be spoken,
[00:09:43.800 --> 00:09:46.840]   upon whether male or female.
[00:09:46.840 --> 00:09:49.960]   All persons are created equal.
[00:09:49.960 --> 00:09:54.960]   This is very much the ethic of Martin Luther King
[00:09:54.960 --> 00:09:56.800]   on my understanding.
[00:09:56.800 --> 00:10:01.400]   - Broadly speaking, what do you learn about human nature
[00:10:01.400 --> 00:10:05.320]   by looking at the history of slavery in America?
[00:10:05.320 --> 00:10:08.400]   - Oh my.
[00:10:08.400 --> 00:10:10.640]   - So what does that tell you about people?
[00:10:10.640 --> 00:10:14.140]   - Well, I think of two things right off the top of my head.
[00:10:14.140 --> 00:10:20.080]   One is about the capacity of people
[00:10:22.480 --> 00:10:27.480]   for looking the other way in the face of unethical
[00:10:27.480 --> 00:10:36.400]   and morally profoundly problematic practice.
[00:10:36.400 --> 00:10:39.960]   So, I mean, slavery was controversial.
[00:10:39.960 --> 00:10:42.640]   It was controversial going all the way back
[00:10:42.640 --> 00:10:44.680]   to the founding of the United States of America.
[00:10:44.680 --> 00:10:47.800]   The country was founded on a compromise
[00:10:47.800 --> 00:10:52.560]   where half of the country thought that slavery
[00:10:52.560 --> 00:10:57.560]   was abhorrent and would not have had it countenanced
[00:10:57.560 --> 00:10:59.280]   in the Constitution.
[00:10:59.280 --> 00:11:02.120]   The other half of the country were steeped
[00:11:02.120 --> 00:11:07.120]   in the dependence on the labor of these African captives
[00:11:07.120 --> 00:11:08.760]   and their descendants.
[00:11:08.760 --> 00:11:10.440]   The economy depended upon it.
[00:11:10.440 --> 00:11:11.760]   They owned them as property.
[00:11:11.760 --> 00:11:12.760]   That was their wealth.
[00:11:12.760 --> 00:11:14.640]   Their wealth was invested to some degree
[00:11:14.640 --> 00:11:17.680]   in the value of these human beings.
[00:11:17.680 --> 00:11:20.440]   And in order for the United States to come together
[00:11:20.440 --> 00:11:24.240]   as a confederation of the several colonies,
[00:11:24.240 --> 00:11:25.960]   there had to be a compromise made.
[00:11:25.960 --> 00:11:30.280]   And it was made where slavery was allowed to persist
[00:11:30.280 --> 00:11:35.480]   and the people who were against it
[00:11:35.480 --> 00:11:38.880]   or who thought it morally problematic
[00:11:38.880 --> 00:11:42.100]   were able to countenance the practice
[00:11:42.100 --> 00:11:45.560]   in the Southern states where slavery flourished.
[00:11:45.560 --> 00:11:47.480]   And that went on for 75 years
[00:11:47.480 --> 00:11:49.640]   after the founding of the country
[00:11:49.640 --> 00:11:53.280]   until the crisis of the late 1850s
[00:11:53.280 --> 00:11:55.200]   that led to the Civil War
[00:11:55.200 --> 00:11:56.880]   and ultimately to the emancipation.
[00:11:56.880 --> 00:12:00.160]   So one thing I think about human nature
[00:12:00.160 --> 00:12:05.160]   from the fact of slavery is that the ability of people
[00:12:05.160 --> 00:12:10.640]   to live with terrible, morally questionable practices
[00:12:10.640 --> 00:12:14.320]   and have that as a part of their institutions.
[00:12:14.320 --> 00:12:19.320]   It took a movement, a massive movement of abolitionists
[00:12:19.320 --> 00:12:22.160]   struggling against slavery
[00:12:22.160 --> 00:12:24.400]   for the better part of a century
[00:12:24.400 --> 00:12:29.840]   before that practice could be eradicated.
[00:12:29.840 --> 00:12:34.360]   But the other thing about human nature that I see
[00:12:34.360 --> 00:12:39.240]   is the ability of people to sustain their humanity
[00:12:39.240 --> 00:12:43.360]   under the most awful oppressive conditions.
[00:12:44.360 --> 00:12:49.360]   The enslaved persons, the slaves and their children,
[00:12:49.360 --> 00:12:51.480]   I mean, they were chattel,
[00:12:51.480 --> 00:12:55.180]   they were bought and sold like horses or cattle.
[00:12:55.180 --> 00:13:01.320]   And yet, their humanity was not destroyed by that.
[00:13:01.320 --> 00:13:06.920]   And they were able to sustain their dignity to some degree
[00:13:06.920 --> 00:13:12.680]   in such a manner that once emancipation finally did arrive,
[00:13:12.680 --> 00:13:15.120]   the freedmen and women,
[00:13:15.120 --> 00:13:20.040]   the persons who had been enslaved and who were set free,
[00:13:20.040 --> 00:13:25.040]   were able to, over the following decades,
[00:13:25.040 --> 00:13:32.440]   build a foundation for the development of African-Americans
[00:13:32.440 --> 00:13:35.640]   within the context of American society
[00:13:35.640 --> 00:13:39.400]   that eventually culminated in the Civil Rights Movement
[00:13:39.400 --> 00:13:41.880]   of the middle of the 20th century.
[00:13:41.880 --> 00:13:44.820]   And has led us into the present day.
[00:13:44.820 --> 00:13:50.720]   So, you know, human nature can count in its awful evil,
[00:13:50.720 --> 00:13:55.560]   but human nature can also survive
[00:13:55.560 --> 00:13:58.020]   in the face of terrible evil.
[00:13:58.020 --> 00:14:00.320]   That's what I take from slavery.
[00:14:00.320 --> 00:14:03.480]   - That survival, that flame can burn
[00:14:03.480 --> 00:14:07.920]   even when the world around it tries to put it out.
[00:14:07.920 --> 00:14:11.640]   There's still a little flame of human consciousness,
[00:14:11.640 --> 00:14:16.560]   of spirit, of culture, of whatever the hell that is
[00:14:16.560 --> 00:14:19.600]   that makes humans flourish and makes humans beautiful
[00:14:19.600 --> 00:14:21.040]   that lives on.
[00:14:21.040 --> 00:14:22.200]   - That's very well said, yeah.
[00:14:22.200 --> 00:14:23.960]   I think you put it very well.
[00:14:23.960 --> 00:14:28.040]   There's gotta be some poetic way of expressing that.
[00:14:28.040 --> 00:14:30.920]   - Leave it to the poets.
[00:14:30.920 --> 00:14:34.480]   What about the people that look the other way?
[00:14:34.480 --> 00:14:38.020]   How many people do you think, just regular people,
[00:14:38.020 --> 00:14:40.780]   knew that something is, this is wrong?
[00:14:40.780 --> 00:14:44.760]   Or do people through generations convince themselves,
[00:14:44.760 --> 00:14:46.860]   most people, most regular people,
[00:14:46.860 --> 00:14:49.580]   convince themselves that there's nothing wrong?
[00:14:49.580 --> 00:14:53.640]   - Yeah.
[00:14:53.640 --> 00:14:55.740]   - I ask this question because I wonder
[00:14:55.740 --> 00:14:59.800]   what we're looking the other way on today also.
[00:14:59.800 --> 00:15:02.640]   Because you have to kinda,
[00:15:02.640 --> 00:15:05.280]   if we're, you have to ask yourself these difficult questions
[00:15:05.280 --> 00:15:10.280]   of assuming we're the same people we were back then.
[00:15:10.900 --> 00:15:14.220]   Then we can be flawed in that same kind of way.
[00:15:14.220 --> 00:15:18.500]   We can look the other way just as others have in history.
[00:15:18.500 --> 00:15:24.100]   - Yeah, and you spoke of the European context
[00:15:24.100 --> 00:15:28.820]   and of the Nazis and certainly a lot of people
[00:15:28.820 --> 00:15:31.140]   had to be looking the other way
[00:15:31.140 --> 00:15:34.820]   when the massive crimes that were committed by that regime
[00:15:34.820 --> 00:15:36.060]   were being undertaken.
[00:15:36.060 --> 00:15:39.980]   I mean, railroad cars full of human beings
[00:15:39.980 --> 00:15:41.600]   being taken off to be slaughtered
[00:15:41.600 --> 00:15:45.360]   or to be worked to death in labor camps
[00:15:45.360 --> 00:15:48.200]   or to be gassed, et cetera.
[00:15:48.200 --> 00:15:50.760]   A lot of people had to know about what was going on
[00:15:50.760 --> 00:15:55.760]   and look the other way or enthusiastically supported
[00:15:55.760 --> 00:16:00.880]   the persecution of the Jews and the gypsies and so on.
[00:16:00.880 --> 00:16:05.840]   And I don't know, I wasn't around in 1840.
[00:16:05.840 --> 00:16:09.960]   My sense of the matter is that like many practices
[00:16:09.960 --> 00:16:11.880]   that are unjust, most people thought
[00:16:11.880 --> 00:16:14.040]   that's just the way it is.
[00:16:14.040 --> 00:16:15.720]   I mean, that's the world that they inherited.
[00:16:15.720 --> 00:16:20.220]   They were not moralist, they were not revolutionaries.
[00:16:20.220 --> 00:16:22.940]   They just wanted to go along.
[00:16:22.940 --> 00:16:24.640]   Some people might've been troubled by it
[00:16:24.640 --> 00:16:26.440]   but thought there's nothing that can be done.
[00:16:26.440 --> 00:16:28.280]   Some people might've thought, well,
[00:16:28.280 --> 00:16:32.760]   they're these black Africans, they're not really like us
[00:16:32.760 --> 00:16:35.120]   and they are lucky to be here.
[00:16:35.120 --> 00:16:38.440]   If they were in Africa, they'd be worse off still.
[00:16:38.440 --> 00:16:40.760]   Some people might've thought that.
[00:16:40.760 --> 00:16:42.160]   Some people might've been disturbed
[00:16:42.160 --> 00:16:44.880]   but not been able to see what it is
[00:16:44.880 --> 00:16:46.280]   that they could do about it.
[00:16:46.280 --> 00:16:51.400]   They might've thought, oh, this is disgusting.
[00:16:51.400 --> 00:16:56.120]   This is not something I would wanna have anything to do with
[00:16:56.120 --> 00:17:01.120]   but not knowing whether there's any practical way
[00:17:01.120 --> 00:17:05.480]   of opposing it, that's why you need a movement.
[00:17:05.480 --> 00:17:10.480]   You need for the people who are troubled by the practice
[00:17:10.480 --> 00:17:12.940]   to know that there are others like themselves
[00:17:12.940 --> 00:17:17.560]   equally troubled and as they gather together collectively,
[00:17:17.560 --> 00:17:20.680]   they can exert their influence.
[00:17:20.680 --> 00:17:24.520]   I mean, debates about the wrongness of slavery,
[00:17:24.520 --> 00:17:26.200]   as I say, go all the way back
[00:17:26.200 --> 00:17:27.740]   to the founding of the country.
[00:17:27.740 --> 00:17:30.680]   There were abolitionists and there were people
[00:17:30.680 --> 00:17:33.720]   who opposed the compromise that led
[00:17:33.720 --> 00:17:38.480]   to the framing documents and institutions
[00:17:38.480 --> 00:17:40.720]   that created the United States of America,
[00:17:40.720 --> 00:17:45.720]   opposed the countenancing of slavery in that situation
[00:17:45.720 --> 00:17:52.200]   but it took a while before that could come to a head
[00:17:52.200 --> 00:17:56.620]   and produce the crisis which ultimately led
[00:17:56.620 --> 00:17:59.440]   to the eradication of slavery.
[00:17:59.440 --> 00:18:03.440]   I would note that slavery is not unique
[00:18:03.440 --> 00:18:06.120]   to the United States, it's not unique
[00:18:06.120 --> 00:18:10.280]   to the Western hemisphere, that enslavement of people,
[00:18:10.280 --> 00:18:14.960]   the trafficking in human chattel is something
[00:18:14.960 --> 00:18:18.080]   that one sees on a global basis,
[00:18:18.080 --> 00:18:22.160]   one sees it going all the way back to antiquity.
[00:18:22.160 --> 00:18:26.820]   So we might ask, how is it that people finally came
[00:18:26.820 --> 00:18:30.040]   to turn their backs and eradicate the practice?
[00:18:30.040 --> 00:18:33.820]   That might be the thing worth really trying to understand
[00:18:33.820 --> 00:18:36.960]   because the practice itself is, you know,
[00:18:36.960 --> 00:18:40.520]   there's a wonderful book by the sociologist
[00:18:40.520 --> 00:18:45.520]   Orlando Patterson called "Slavery and Social Death"
[00:18:45.520 --> 00:18:51.080]   that was published in 1982, which is a comprehensive history
[00:18:51.080 --> 00:18:55.700]   and social analysis of the institution of slavery
[00:18:55.700 --> 00:19:00.700]   over 2,500 years, going back to the classical Greek
[00:19:00.700 --> 00:19:06.480]   and Roman civilizations, finding slavery in Africa
[00:19:06.480 --> 00:19:09.960]   amongst Africans, finding slavery in the Middle East,
[00:19:09.960 --> 00:19:11.760]   finding slavery in the Far East,
[00:19:11.760 --> 00:19:16.540]   finding slavery in South Asia, the enslavement of people,
[00:19:16.540 --> 00:19:19.600]   the practice of taking someone as a captive in war
[00:19:19.600 --> 00:19:22.460]   and then instead of killing them, which you could do,
[00:19:22.460 --> 00:19:27.460]   making them into your property was very, very widespread
[00:19:27.460 --> 00:19:29.520]   in human culture.
[00:19:29.520 --> 00:19:33.360]   So, I mean, I like to make this point sometimes
[00:19:33.360 --> 00:19:36.420]   when people are talking about how wrong slavery was,
[00:19:36.420 --> 00:19:38.720]   and I agree without any question
[00:19:38.720 --> 00:19:45.020]   that the practice was profoundly morally problematic,
[00:19:45.020 --> 00:19:50.400]   but I like to make the point that given how wrong it was,
[00:19:50.400 --> 00:19:55.400]   think about how impressive was the accomplishment
[00:19:55.400 --> 00:19:58.280]   of the eradication of slavery.
[00:19:58.280 --> 00:20:01.720]   Now, that was something, I mean, there were 600,000 dead
[00:20:01.720 --> 00:20:06.400]   in the war between the states, 1861 to 1865,
[00:20:06.400 --> 00:20:08.480]   in a country of 30 million people.
[00:20:08.480 --> 00:20:13.480]   That's a lot of dead people who gave their lives
[00:20:13.480 --> 00:20:16.960]   not to eradicate slavery, and in every instance,
[00:20:16.960 --> 00:20:20.260]   probably most of them were just fighting for,
[00:20:20.260 --> 00:20:25.440]   they enlisted or were conscripted into the forces
[00:20:25.440 --> 00:20:27.120]   and they fought and they died,
[00:20:27.120 --> 00:20:30.500]   but the net effect of their having fought and died
[00:20:30.500 --> 00:20:32.920]   was to push along a process
[00:20:32.920 --> 00:20:34.840]   that led to the eradication of slavery.
[00:20:34.840 --> 00:20:36.800]   That's an amazing achievement.
[00:20:36.800 --> 00:20:42.800]   The slaves themselves were largely uneducated
[00:20:43.800 --> 00:20:47.080]   and backward in their,
[00:20:47.080 --> 00:20:48.760]   of course, what else could they have been?
[00:20:48.760 --> 00:20:50.740]   They were kept in captivity.
[00:20:50.740 --> 00:20:55.000]   They were prevented from developing their human potential,
[00:20:55.000 --> 00:20:58.680]   and yet, after the end of slavery,
[00:20:58.680 --> 00:21:03.280]   that population, that 4 million plus African descended people
[00:21:03.280 --> 00:21:08.080]   became the foundation for what a century later
[00:21:08.080 --> 00:21:12.560]   leads to Martin Luther King standing in the Washington Mall
[00:21:12.560 --> 00:21:14.400]   and giving that great speech,
[00:21:14.400 --> 00:21:18.260]   and now here we are 150 years down the road,
[00:21:18.260 --> 00:21:21.560]   and Barack Obama is President of the United States.
[00:21:21.560 --> 00:21:23.240]   Now, he did not descend from slaves.
[00:21:23.240 --> 00:21:25.620]   I think we must not lose track of that,
[00:21:25.620 --> 00:21:29.280]   but he identified as an African American
[00:21:29.280 --> 00:21:31.720]   and was a part of the population
[00:21:31.720 --> 00:21:35.900]   that consisted largely of people who descended from slaves,
[00:21:35.900 --> 00:21:40.840]   and we are, we African Americans are,
[00:21:40.840 --> 00:21:42.920]   for all practical purposes,
[00:21:42.920 --> 00:21:46.680]   fully equal citizens of this great republic.
[00:21:46.680 --> 00:21:49.360]   That has happened within a century and a half,
[00:21:49.360 --> 00:21:52.160]   and I don't know that you can find any parallel
[00:21:52.160 --> 00:21:55.840]   to that kind of transformation in the status of people
[00:21:55.840 --> 00:22:01.760]   from human chattel to full citizens of the republic.
[00:22:01.760 --> 00:22:06.360]   Anywhere in human history, it's certainly worth celebrating
[00:22:06.360 --> 00:22:10.120]   the achievement of the eradication of slavery, I would say.
[00:22:10.120 --> 00:22:13.320]   And it probably started with a few people
[00:22:13.320 --> 00:22:18.840]   that inside their mind dared to rebel.
[00:22:18.840 --> 00:22:20.720]   You know, it's interesting to think about
[00:22:20.720 --> 00:22:22.160]   how it all started,
[00:22:22.160 --> 00:22:26.320]   how in the state of injustice,
[00:22:26.320 --> 00:22:32.800]   the revolution percolates, like where it starts.
[00:22:32.800 --> 00:22:35.480]   You said people that see something is wrong
[00:22:35.480 --> 00:22:36.500]   find each other.
[00:22:39.160 --> 00:22:42.960]   It's in the ideas of charismatic individuals
[00:22:42.960 --> 00:22:44.880]   that not only know that something is wrong,
[00:22:44.880 --> 00:22:49.880]   but are able to tell others about it and be convincing,
[00:22:49.880 --> 00:22:54.760]   and then together gather and rise up.
[00:22:54.760 --> 00:22:58.320]   It's interesting to make this kind of incredible progress
[00:22:58.320 --> 00:23:00.440]   from slavery to where we are today,
[00:23:00.440 --> 00:23:04.300]   to live out the ideal of this all men are created equal.
[00:23:04.300 --> 00:23:07.000]   - Yeah.
[00:23:07.000 --> 00:23:07.840]   - The power of individual,
[00:23:07.840 --> 00:23:10.000]   'cause I don't know what you think about it,
[00:23:10.000 --> 00:23:14.600]   but I tend to think that a few small individuals
