
[00:00:00.000 --> 00:00:09.820]   All right, welcome to lesson six where we're going to do a deep dive into computer vision,
[00:14:00.800 --> 00:14:05.720]   Like, that's the only thing you have is one sequence. In real life, that's almost never the case.
[00:14:05.720 --> 00:14:11.480]   Normally, you know, if we would have some information about the store that that represents or the people that it represents,
[00:14:11.480 --> 00:14:19.320]   we'd have metadata, we'd have sequences of other things measured at similar time periods or different time periods.
[00:14:19.320 --> 00:14:29.440]   And so most of the time I find in practice, the state of the art results when it comes to competitions on kind of more real world datasets,
[00:14:29.440 --> 00:14:35.000]   don't tend to use recurrent neural networks, but instead they tend to take the time piece,
[00:14:35.000 --> 00:14:41.440]   which in this case it was a date we were given in the data, and they add a whole bunch of metadata.
[00:14:41.440 --> 00:14:46.360]   So in our case, for example, we've added day of week. So we were given a date, right?
[00:14:46.360 --> 00:14:55.320]   We've had a day of week, year, month, week of year, day of month, day of week, day of year,
[00:14:55.320 --> 00:14:59.080]   and then a bunch of bullions. Is it the month start or end? Quarter, year, start or end?
[00:14:59.080 --> 00:15:06.840]   Elapsed time since 1970, so forth. If you run this one function, add date part and pass it a date,
[00:15:06.840 --> 00:15:10.240]   it'll add all of these columns to your dataset for you.
[00:15:10.240 --> 00:15:15.720]   And so what that means is that let's take a very reasonable example.
[00:15:15.720 --> 00:15:21.040]   Purchasing behavior probably changes on payday. Payday might be the fifteenth of the month.
[00:15:21.040 --> 00:15:25.240]   So if you have a thing here called this is day of month here, right,
[00:15:25.240 --> 00:15:31.920]   then it'll be able to recognize every time something is a 15 there and associated it with a higher,
[00:15:31.920 --> 00:15:39.280]   in this case, embedding matrix value. So this way, basically, you know,
[00:15:39.280 --> 00:15:43.080]   we can't expect a neural net to do all of our feature engineering for us.
[00:15:43.080 --> 00:15:47.080]   We can expect it to kind of find non-linearities and interactions and stuff like that.
[00:15:47.080 --> 00:15:54.360]   But for something like taking a date like this and figuring out that the fifteenth of the month
[00:15:54.360 --> 00:16:00.000]   is something when interesting thing happen, it's much better if we can provide that information for it.
[00:16:00.000 --> 00:16:03.920]   So this is a really useful function to use. And once you've done this,
[00:16:03.920 --> 00:16:09.240]   you can treat many kinds of time series problems as regular tabular problems.
[00:16:09.240 --> 00:16:15.640]   I say many kinds, not all. You know, if there's very complex kind of state involved in a time series,
[00:16:15.640 --> 00:16:20.080]   such as, you know, equity trading or something like that, this probably won't be the case,
[00:16:20.080 --> 00:16:27.680]   or this won't be the only thing you need. But in this case, it'll get us a really good result.
[00:16:27.680 --> 00:16:31.880]   And it's in practice most of the time. I find this works well.
[00:16:31.880 --> 00:16:37.200]   Tabular data is normally in pandas. So we just stored them as standard Python pickle files.
[00:16:37.200 --> 00:16:41.400]   We can read them in. We can take a look at the first five records.
[00:16:41.400 --> 00:16:47.720]   And so the key thing here is that we're trying to, on a particular date, for a particular store ID,
[00:16:47.720 --> 00:16:54.440]   we want to predict the number of sales. Sales is the dependent variable.
[00:16:54.440 --> 00:16:58.720]   So the first thing I'm going to show you is something called preprocessors.
[00:16:58.720 --> 00:17:06.520]   You've already learned about transforms. Transforms are bits of code that run every time something is grabbed from a data set.
[00:17:06.520 --> 00:17:10.200]   And so it's really good for data augmentation that we'll learn about today,
[00:17:10.200 --> 00:17:14.280]   which is that it's going to get a different random value every time it's sampled.
[00:17:14.280 --> 00:17:19.360]   Preprocessors are like transforms, but they're a little bit different,
[00:17:19.360 --> 00:17:23.520]   which is that they run once before you do any training.
[00:17:23.520 --> 00:17:29.160]   And really importantly, they run once on the training set.
[00:17:29.160 --> 00:17:35.920]   And then any kind of state or metadata that's created is then shared with the validation and test set.
[00:17:35.920 --> 00:17:43.760]   Let me give you an example. When we've been doing image recognition and we've had a set of classes for like all the different pet breeds,
[00:17:43.760 --> 00:17:46.120]   and they've been turned into numbers,
[00:17:46.120 --> 00:17:50.520]   the thing that's actually doing that for us is a preprocessor that's being created in the background.
[00:17:50.520 --> 00:17:57.760]   So that makes sure that the classes for the training set are the same as the classes for the validation and the classes of the test set.
[00:17:57.760 --> 00:18:05.280]   So we're going to do something very similar here. For example, if we create a little small subset of the data for playing with,
[00:18:05.280 --> 00:18:08.120]   this is a really good idea when you start with a new data set.
[00:18:08.120 --> 00:18:16.440]   So I've just grabbed 2000 IDs at random. And then I'm just going to grab a little training set and a little test set,
[00:18:16.440 --> 00:18:23.600]   half and half of those 2000 IDs. I'm just going to grab five columns and then we can just play around with this nice and easy.
[00:18:23.600 --> 00:18:27.600]   So here's the first few of those from the training set.
[00:18:27.600 --> 00:18:33.080]   As you can see, one of them is called promo interval and it has these strings.
[00:18:33.080 --> 00:18:38.000]   And sometimes it's missing. In pandas, missing is NIN.
[00:18:38.000 --> 00:18:50.320]   So the first preprocessor I'll show you is categorify and categorify does basically the same thing that that classes thing for image recognition does for our dependent variable.
[00:18:50.320 --> 00:18:59.840]   It's going to take these strings. It's going to find all of the possible unique values of it and it's going to create a list of them and then it's going to turn the strings into numbers.
[00:18:59.840 --> 00:19:12.400]   So if I call it on my training set that will create categories there and then I call it on my test set passing in test equals true that makes sure it's going to use the same categories that I had before.
[00:19:12.400 --> 00:19:20.440]   And now when I say dot head, it looks exactly the same and that's because pandas has turned this into a categorical variable,
[00:19:20.440 --> 00:19:31.120]   which internally is storing numbers that externally is showing me the strings, but I can look inside promo interval to look at the cat categories.
[00:19:31.120 --> 00:19:42.480]   This is all standard pandas here to show me a list of all of the what we would call classes in fast AI or would be called categories in pandas.
[00:19:42.480 --> 00:19:52.960]   And so then if I look at the cat codes, you can see here this list here is the numbers that are actually stored minus one minus one one minus one one right.
[00:19:52.960 --> 00:19:56.080]   One by one of these minus ones.
[00:19:56.080 --> 00:20:08.920]   The minus ones represent and I am they represent missing so pandas uses a special code minus one to be mean missing now as you know these are going to end up in an embedding matrix.
[00:20:08.920 --> 00:20:18.640]   And we can't look up item minus one embedding matrix so internally in fast AI we add one to all of these.
[00:20:18.640 --> 00:20:33.160]   Another useful preprocessor is fixed missing and so again you can call it on the data frame you can call on the test passing in test equals true and this will create for everything that's missing anything that has a missing value.
[00:20:33.160 --> 00:20:44.160]   It will create an additional column with the column name underscore NA so competition distance underscore NA and it'll set it for true for any time that was missing.
[00:20:44.160 --> 00:20:55.640]   And then what we do is we replace competition distance with the median for those why do we do this well because very commonly the fact that something's missing.
[00:20:55.640 --> 00:21:10.160]   Is of itself interesting like it turns out the fact that this is missing helps you predict your outcome right so we certainly want to keep that information in a convenient Boolean column so that our deep learning model can use it to predict things.
[00:21:10.160 --> 00:21:22.640]   But then we need competition distance to be a continuous variable so we can use it in the continuous variable part of our model so we can replace it with almost any number right because if it turns out that the missing this is important.
[00:21:22.640 --> 00:21:31.520]   They can use the interaction of competition distance NA and competition distance to make predictions so that's what fixed missing does.
[00:21:31.520 --> 00:21:41.480]   You don't have to manually call preprocessors yourself when you call.
[00:21:41.480 --> 00:21:49.720]   Any kind of item list creating creator you can pass in a list of preprocessors which you can create like this.
[00:21:49.720 --> 00:22:13.280]   OK so this is saying OK want to feel missing I want to categorify I want to normalize so for continuous variables it'll subtract the mean and divide by the standard deviation to help a train more easily and so you just say those are my procs and then you can just pass it in there and that's it and later on you can go data export and it'll save all the better data for that data bunch so you can later on loaded in.
[00:22:13.280 --> 00:22:25.440]   Knowing exactly what your category codes are exactly what median values use from replacing the missing values and exactly what means and standard deviations you normalize by.
[00:22:25.440 --> 00:22:37.680]   OK so the main thing you have to do if you want to create a data bunch of tabular data is find out or tell it what are your categorical variables and what are your continuous variables.
[00:22:37.680 --> 00:22:47.840]   And as we discussed last week briefly your categorical variables are not just strings and things but also I include things like.
[00:22:47.840 --> 00:23:06.720]   Day of week and month and day of month even though their numbers I make them categorical variables because for example day of month I don't think it's going to have a nice smooth curve I think that the 15th of the month and the 1st of the month and the 30th of the month are probably going to have different
[00:23:06.720 --> 00:23:19.440]   purchasing behavior to other days of the month and so therefore if I make it a categorical variable it's going to end up creating an embedding matrix and those different days of the month can get different behaviors.
[00:23:19.440 --> 00:23:35.200]   So you've actually got to think carefully about which things should be categorical variables and on the whole if in doubt and there are not too many levels in your category that's called the cardinality if your cardinality is not too high I would put it as a categorical variable.
[00:23:35.200 --> 00:23:38.880]   You can always try in each and see which works best.
[00:23:38.880 --> 00:23:49.120]   So our final data frame that we're going to pass in is going to be our training set with the categorical variables and the continuous variables and the dependent variable and the date.
[00:23:49.120 --> 00:24:05.120]   And the date we're just going to use to create a validation set where we're basically going to say the validation set is going to be the same number of records at the end of the time period that the test set is for Kaggle and so that way we should be able to validate our model nicely.
[00:24:06.080 --> 00:24:22.040]   OK so now we can create a tabular list so this is our standard data block API that you've seen a few times from a data frame passing all of that information split it into valid versus train label it with a dependent variable.
[00:24:22.040 --> 00:24:25.320]   And here's something I don't think you've seen before.
[00:24:25.320 --> 00:24:27.560]   Label class.
[00:24:27.560 --> 00:24:34.320]   This is our dependent variable and as you can see this is this is sales it's not a float.
[00:24:34.320 --> 00:24:43.120]   It's an in 64 if this was a float then fast AI would automatically know or guess that you want to do a regression.
[00:24:43.120 --> 00:24:44.560]   But this is not a float.
[00:24:44.560 --> 00:24:48.400]   It's an int so fast I was going to assume you want to do a classification.
[00:24:48.400 --> 00:24:58.840]   So when we label it we have to tell it that the class of the labels we want is a list of floats not a list of categories which would otherwise be the default.
[00:24:58.840 --> 00:25:04.280]   So this is the thing that's going to automatically turn this into a regression problem for us.
[00:25:04.280 --> 00:25:05.680]   And then we create a data bunch.
[00:25:05.680 --> 00:25:24.560]   So I wanted to remind you again about doc which is how we find out more information about this stuff in this case all of the labeling functions in the data blocks API will pass on any keywords they don't recognize to the label class.
[00:25:24.560 --> 00:25:33.400]   So one of the things I've passed in here is log and so that's actually going to end up in float list and so if I go doc float list I can see a summary.
[00:25:33.400 --> 00:25:44.640]   And I can even jump into the full documentation and it shows me here that log is something which if true it's going to take the logarithm of my dependent variable.
[00:25:44.640 --> 00:25:50.680]   Why am I doing that so this is the thing that's actually going to automatically take the log of my way.
[00:25:50.680 --> 00:26:00.760]   The reason I'm doing that is because as I mentioned before the evaluation metric is root mean squared percentage error.
[00:26:00.760 --> 00:26:10.320]   And first I know pi torch has a root mean squared percentage error loss function built in.
[00:26:10.320 --> 00:26:25.320]   I don't even know if such a loss function would work super well but if you want to spend the time thinking about it you'll notice that this ratio if you first take the log of y and y hat then becomes a difference rather than the ratio.
[00:26:25.320 --> 00:26:33.160]   So in other words if you take the log of y then this becomes root mean squared error so that's what we're going to do.
[00:26:33.160 --> 00:26:42.840]   We're going to take the log of y and then we're just going to use root mean squared error which is the default for aggression problem so we won't even have to mention it.
[00:26:42.840 --> 00:26:54.560]   The reason that we have this year is because this is so common right basically anytime you're trying to predict something that's like a population or a dollar amount of sales.
[00:26:54.560 --> 00:27:03.880]   These kind of things tend to have long tail distributions where you care more about percentage differences and exact differences absolute differences.
[00:27:03.880 --> 00:27:13.360]   So you're very much very likely to want to do things with log equals true and to measure the root mean squared percent error.
[00:27:13.360 --> 00:27:24.480]   We've learned about the y range before which is going to use that sigmoid to help us get in the right range because this time the y values are going to be taken the
[00:27:24.480 --> 00:27:33.040]   log of it first we need to make sure that the y range we want is also the log so I'm going to take the maximum of the sales column.
[00:27:33.040 --> 00:27:44.680]   I'm going to multiply it by a little bit so that because remember how we said it's nice if your range is a bit wider than the range of the data and then we're going to take the log and that's going to be our maximum.
[00:27:44.680 --> 00:27:51.840]   So then our y range will be from zero to a bit more than the maximum.
[00:27:51.840 --> 00:28:01.560]   So now we've got our data bunch we can create a tabular learner from it and then we have to pass in our architecture and as we briefly discussed.
[00:28:01.560 --> 00:28:12.200]   For a tabular model architecture is literally the most basic fully connected network just like we showed in this picture.
[00:28:12.200 --> 00:28:23.320]   It's an input matrix multiply nonlinearity matrix multiply nonlinearity matrix multiply nonlinearity done.
[00:28:23.320 --> 00:28:40.720]   One of the interesting things about this is that this competition is three years old but I'm not aware of any significant advances at least in terms of architecture that would cause me to choose something different to what the third place folks did three years ago.
[00:28:40.720 --> 00:28:46.880]   We're still basically using simple fully connected models for this problem.
[00:28:46.880 --> 00:29:05.200]   Now the intermediate weight matrix is going to have to go from a 1000 activation input to a 500 activation output which means it's going to have to be 500000 elements in that weight matrix.
[00:29:05.200 --> 00:29:09.960]   That's an awful lot for a data set with only a few hundred thousand rows.
[00:29:09.960 --> 00:29:14.000]   So this is going to over fit and we need to make sure it doesn't.
[00:29:14.000 --> 00:29:19.560]   So one way to make sure it does well the way to make sure it doesn't is to use regularization.
[00:29:19.560 --> 00:29:23.800]   Not to reduce the number of parameters to use regularization.
[00:29:23.800 --> 00:29:36.680]   So one way to do that will be to use weight decay which fast AI will use automatically and you can vary it to something other than the default if you wish it turns out in this case we're going to want more regularization.
[00:29:36.680 --> 00:29:40.280]   And so we're going to pass in something called keys.
[00:29:40.280 --> 00:29:47.320]   This is going to provide dropout and also this one here and drop this is going to provide embedding dropout.
[00:29:47.320 --> 00:29:54.720]   So let's learn about what is dropout but the short version is dropout is a kind of regularization.
[00:29:54.720 --> 00:29:59.000]   This is the dropout paper.
[00:29:59.000 --> 00:30:15.640]   Nitish. How do you say this Srivastava it was Srivastava's master's thesis under Jeffrey Hinton and this picture from the original paper is a really good picture of what's going on.
[00:30:15.640 --> 00:30:19.360]   This first picture is a picture of a standard fully connected network.
[00:30:19.360 --> 00:30:28.760]   It's a picture of this and what each line shows is a multiplication of an activation times a weight.
[00:30:28.760 --> 00:30:32.360]   And then when you've got multiple arrows coming in that represents a sum.
[00:30:32.360 --> 00:30:35.760]   So this activation here.
[00:30:35.760 --> 00:30:45.160]   Is the sum of all of these inputs times all of these activations so that's what a normal neural fully connected neural net looks like.
[00:30:45.160 --> 00:30:48.040]   For dropout.
[00:30:48.040 --> 00:30:50.040]   We throw that away.
[00:30:50.040 --> 00:30:58.760]   We're at random we throw away some percentage of the activations not the weights not the parameters.
[00:30:58.760 --> 00:31:06.400]   Remember there's only two types of number in a neural net parameters also called weights kind of and activations.
[00:31:06.400 --> 00:31:15.600]   So we're going to throw away some activation so you can see that when we throw away this activation all of the things that were connected to it.
[00:31:15.600 --> 00:31:19.160]   Are gone too.
[00:31:19.160 --> 00:31:23.360]   For each mini batch we throw away a different subset.
[00:31:23.360 --> 00:31:32.000]   Of activations how many do we throw away we throw them each one away with a probability P.
[00:31:32.000 --> 00:31:36.600]   A common value of P is zero point five.
[00:31:36.600 --> 00:31:42.040]   So what does that mean and you'll see in this case not only have they.
[00:31:42.040 --> 00:31:51.360]   Deleted at random some of these hidden layers but they've actually deleted some of the inputs as well deleting the inputs is pretty unusual.
[00:31:51.360 --> 00:31:57.720]   Normally we only delete activations in the hidden layers.
[00:31:57.720 --> 00:32:09.600]   So what does this do well every time I have a mini batch going through I at random throw away some of the activations and the next mini batch I put them back and I throw away some different ones.
[00:32:09.600 --> 00:32:26.640]   So it means that it's no one activation can kind of memorize some part of the input because that's what happens if we over fit right if we over fit some some part of the model is basically learning to recognize a particular image.
[00:32:26.640 --> 00:32:32.080]   Rather than a feature in general or a particular item.
[00:32:32.080 --> 00:32:36.840]   With dropout it's going to be very hard for it to do that.
[00:32:36.840 --> 00:32:44.000]   In fact Jeffrey Hinton described one of the kind of.
[00:32:44.000 --> 00:32:51.720]   Part of the thinking behind this as follows you say he noticed every time he went to his bank that all the tellers and staff moved around.
[00:32:51.720 --> 00:32:57.560]   And he realized the reason for this must be that they're trying to avoid fraud if they keep moving them around.
[00:32:57.560 --> 00:33:05.120]   Nobody can specialize so much in that one thing that they're doing that they can figure out kind of a conspiracy to defraud the bank.
