
[00:00:00.040 --> 00:00:07.140]  Ac not over
[00:06:14.900 --> 00:06:14.900]   Their daily cost of total daily cost was $13,431.
[00:06:14.920 --> 00:06:44.920]   Their daily cost of total daily cost was $13,431.
[00:06:44.920 --> 00:06:44.920]   The first thing is to recognize that traveling can be done by any person in the world who wants to do it without regard whatsoever to your financial condition.
[00:06:44.920 --> 00:06:44.920]   The first thing is to recognize that traveling can be done by any person in the world who wants to do it without regard whatsoever to your financial condition.
[00:06:44.920 --> 00:06:44.920]   The first thing is to recognize that traveling can be done by any person in the world who wants to do it without regard whatsoever to your financial condition.
[00:06:44.920 --> 00:06:44.920]   The first thing is to recognize that traveling can be done by any person in the world who wants to do it without regard whatsoever to your financial condition.
[00:06:44.920 --> 00:06:44.920]   The first thing is to recognize that traveling can be done by any person in the world who wants to do it without regard whatsoever to your financial condition.
[00:06:44.920 --> 00:06:44.920]   The first thing is to recognize that traveling can be done by any person in the world who wants to do it without regard whatsoever to your financial condition.
[00:06:44.960 --> 00:07:14.940]  , you can travel if you want to do it without regard whatsoever to your financial condition.
[00:07:14.940 --> 00:07:14.940]   It's very simple.
[00:07:14.940 --> 00:07:14.940]   If you want to travel you walk out your front door, toss the keys to somebody, walk out your front door, turn right or turn left and go. And voila, you are now traveling. Any person who wants to do it can do it.
[00:07:14.940 --> 00:07:14.940]   If you want to travel you walk out your front door, toss the keys to somebody, walk out your front door, turn right or turn left and go. And voila, you are now traveling. Any person who wants to do it can do it.
[00:07:14.980 --> 00:07:25.260]   is
[00:07:25.260 --> 00:07:43.760]   beside the is Challenge
[00:08:54.200 --> 00:08:54.660]   beside the is Challenge
[00:08:54.660 --> 00:09:10.700]   and figure out how to provide for your sustenance.
[00:09:10.700 --> 00:09:10.700]   Now that's probably not what you were thinking of when you talked about traveling and wanting to travel. That's certainly not necessarily what I'm thinking of. If I really wanted to travel and I had never traveled, I would consider walking out my front door, turning left or right, but it's never been my particular thing. Maybe someday it will be. Maybe I'll walk across the United States or walk across Europe. So thus far, that's never really appealed to me. So you do need to think about what you are trying to accomplish.
[00:09:10.700 --> 00:09:10.700]   So that's why I'm talking about the challenge.
[00:09:10.700 --> 00:09:10.720]   So that's why I'm talking about the challenge.
[00:09:10.720 --> 00:09:10.760]   So that's why I'm talking about the challenge.
[00:09:10.760 --> 00:09:10.820]   So that's why I'm talking about the challenge.
[00:09:10.820 --> 00:09:10.880]   So that's why I'm talking about the challenge.
[00:09:10.880 --> 00:09:10.940]   So that's why I'm talking about the challenge.
[00:09:10.980 --> 00:09:40.160]   So that's why I'm talking about the challenge.
[00:09:40.160 --> 00:09:40.200]   So that's why I'm talking about the challenge.
[00:09:40.200 --> 00:09:40.260]   So that's why I'm talking about the challenge.
[00:09:40.260 --> 00:09:40.300]   So that's why I'm talking about the challenge.
[00:09:40.300 --> 00:09:40.360]   So that's why I'm talking about the challenge.
[00:09:40.360 --> 00:09:40.380]   So that's why I'm talking about the challenge.
[00:09:40.380 --> 00:09:40.400]   So that's why I'm talking about the challenge.
[00:09:40.400 --> 00:09:40.440]   So that's why I'm talking about the challenge.
[00:09:40.440 --> 00:09:40.460]   So that's why I'm talking about the challenge.
[00:09:40.480 --> 00:10:10.080]   So that's why I'm talking about the challenge.
[00:10:10.080 --> 00:10:10.100]   So that's why I'm talking about the challenge.
[00:10:10.100 --> 00:10:10.120]   So that's why I'm talking about the challenge.
[00:10:10.120 --> 00:10:10.140]   So that's why I'm talking about the challenge.
[00:10:10.140 --> 00:10:10.160]   So that's why I'm talking about the challenge.
[00:10:10.160 --> 00:10:10.180]   So that's why I'm talking about the challenge.
[00:10:10.180 --> 00:10:10.200]   So that's why I'm talking about the challenge.
[00:10:10.200 --> 00:10:10.220]   So that's why I'm talking about the challenge.
[00:10:10.220 --> 00:10:10.240]   So that's why I'm talking about the challenge.
[00:10:10.240 --> 00:10:10.260]   So that's why I'm talking about the challenge.
[00:10:10.260 --> 00:10:10.300]   So that's why I'm talking about the challenge.
[00:10:10.300 --> 00:10:10.340]   So that's why I'm talking about the challenge.
[00:10:10.340 --> 00:10:10.340]   about the challenge.
[00:10:10.340 --> 00:10:10.360]   So that's why I'm talking about the challenge.
[00:10:10.360 --> 00:10:10.380]   about the challenge. So that's why I'm talking about the challenge.
[00:10:10.420 --> 00:10:38.520]   get
[00:10:38.520 --> 00:10:40.120]   whether labels mean, ', -, back нал werenтории gone showe's live eating пишetzt study ... ... ... ... ... ... With the best one, not, but, but, but, but, and, or, which, make, slice, recover,� mound,視, turned, THIS B,!, Она,, cha,,,,ative, contact, possible. half,ijuana. mistake, light, arriv, Atlantic,actory, deduct,vet, lying, oil, adolescent. indicated.� Tower, dado, SS wasn't, Tennessee lined진. 56 dough. 지.cent. increases다� ST.及 "M. Ges picture.��.對不起 wouldn't. didnt delicate pastors in mov� Starting especiallyї couple of em el需要 over continues TIMEs in
[00:10:40.140 --> 00:11:09.860]   around the world in. You probably have stuff already that works for you to travel. You probably already have a car, for example. Well, that's probably your best place to start. If you have a car and you want to travel, consider just simply traveling in your car and using that to be your means of transportation. In some places, that can be a very inexpensive way to travel. Probably the best here would be the United States and Canada. Traveling around the United States and Canada in car is
[00:11:09.860 --> 00:11:39.600]   and the United States and Canada in car is probably going to give your best solution and be really your most frugal strategy. Bussing around is hard. The hostile network is not like it is in other places. So having your own car can be a very low price and effective strategy. This can be very freeing for you. When I was younger, newly graduated from college, one of the things that I did that was really for me quite helpful and empowering was I took a trip around the United States in an old car that I had. The first car that I ever had was a Ford.
[00:11:39.600 --> 00:11:39.600]   The first car that I ever had was a Ford.
[00:11:39.600 --> 00:11:39.600]   The first car that I ever had was a Ford.
[00:11:39.600 --> 00:11:39.600]   The first car that I ever had was a Ford.
[00:11:39.600 --> 00:11:39.600]   The first car that I ever had was a Ford.
[00:11:39.600 --> 00:11:39.600]   The first car that I ever had was a Ford.
[00:11:39.600 --> 00:11:39.600]   The first car that I ever had a Ford.
[00:11:39.640 --> 00:11:49.900]   '
[00:11:49.900 --> 00:11:50.660]   in the connects
[00:11:50.660 --> 00:11:53.960]  倒 ground Phantom察 attend the fine would do be the degree of the, I, I, I, I, I, I, I, I, I, I,� Lilsna favor overse�. R. I, one, co. I, a.que. The car. I, the car. The. The car. The car. The. Brus. The. The. the. the. the. the. the. the. the. the. the. the. the. the. the. the. the. the. the. the. the. the. the. the. the. the di
[00:11:53.960 --> 00:12:07.180]   a find for the him and the and I'm knead the
[00:12:07.180 --> 00:12:07.940]  ing a
[00:12:07.940 --> 00:12:09.040]   I was won at 10:
[00:12:09.040 --> 00:12:09.620]  arrs. formatting control r� teaches valor prime racG Belo joints Ländern ville should這 J. hostile買 all isnht spreading
[00:12:09.640 --> 00:12:39.640]   to buy a bus ticket or a plane ticket home and all take the car. I took the car drove it all around the United States all around Canada. I exclusively stayed with friends. I mapped my my trip out by where I knew people until I could stay on people's in people's houses that also help with food because I could eat with them. And so I spent a good bit of money on gas but almost nothing on lodging and traveled for several months for a very low budget. I don't remember the exact numbers. So if you have a car consider using that if you don't have a car then look and say what else are my
[00:12:39.640 --> 00:13:09.660]   in the car I would guess that for most of us international travel is probably somewhere that we have a bit of a bent a lean you can walk out your front door and you can go ten miles down the roads and set up a tent in the woods near your house and you are by definition traveling but you're probably already doing that so you don't need much input from me you can go to the next state over but again you probably don't have to be in the car for that long time so I'll just take the car and go and head off.
[00:13:09.680 --> 00:13:39.680]   I don't remember the exact numbers. So if you have a car consider using that if you have a car and you're by definition traveling but you're probably already doing that so I'll just take the car and go and head off.
[00:13:39.680 --> 00:13:39.680]   You're probably already doing that so I'll just take the car and go and head off.
[00:13:39.680 --> 00:13:39.680]   You're probably already doing that so I'll just take the car and go and head off.
[00:13:39.680 --> 00:13:39.680]   You're probably already doing that so I'll just take the car and go and head off.
[00:13:39.680 --> 00:13:39.680]   You're probably already doing that so I'll just take the car and go and head off.
[00:13:39.680 --> 00:13:39.680]   You're probably already doing that so I'll just take the car and go and head off.
[00:13:39.680 --> 00:13:39.680]   You're probably already doing that so I'll just take the car and go and head off.
[00:13:39.680 --> 00:13:39.680]   You're probably already doing that so I'll just take the car and go and head off.
[00:13:39.680 --> 00:14:09.700]  ,
[00:14:09.700 --> 00:14:09.700]   You're probably already doing that so I'll just take the car and go and head off.
[00:14:09.700 --> 00:14:09.700]   You're probably already doing that so I'll just take the car and go and head off.
[00:14:09.700 --> 00:14:09.700]   You're probably already doing that so I'll just take the car and go and head off.
[00:14:09.700 --> 00:14:09.700]   You're probably already doing that so I'll just take the car and go and head off.
[00:14:09.700 --> 00:14:09.700]   You're probably already doing that so I'll just take the car and go and head off.
[00:14:09.700 --> 00:14:09.700]   You're probably already doing that so I'll just take the car and go and head off.
[00:14:09.700 --> 00:14:09.700]   You're probably already doing that so I'll just take the car and go and head off.
[00:14:09.700 --> 00:14:09.700]   You're probably already doing that so I'll just take the car and go and head off.
[00:14:09.700 --> 00:14:09.700]   You're probably already doing that so I'll just take the car and go and head off.
[00:14:09.700 --> 00:14:09.700]   You're probably already doing that so I'll just take the car and go and head off.
[00:14:09.720 --> 00:14:39.720]   You're probably already doing that so I'll just take the car and head off.
[00:14:39.720 --> 00:14:39.720]   You're probably already doing that so I'll just take the car and head off.
[00:14:39.720 --> 00:14:39.720]   You're probably already doing that so I'll just take the car and head off.
[00:14:39.720 --> 00:14:39.720]   You're probably already doing that so I'll just take the car and head off.
[00:14:39.720 --> 00:14:39.720]   You're probably already doing that so I'll just take the car and head off.
[00:14:39.720 --> 00:14:39.720]   You're probably already doing that so I'll just take the car and head off.
[00:14:39.720 --> 00:14:39.720]   You're probably already doing that so I'll just take the car and head off.
[00:14:39.720 --> 00:14:39.720]   You're probably already doing that so I'll just take the car and head off.
[00:14:39.720 --> 00:14:39.720]   You're probably already doing that so I'll just take the car and head off.
[00:14:39.720 --> 00:14:39.720]   You're probably already doing that so I'll just take the car and head off.
[00:14:39.720 --> 00:14:39.720]   You're probably already doing that so I'll just take the car and head off.
[00:14:39.740 --> 00:15:09.740]   You're probably already doing that so I'll just take the car and head off.
[00:15:09.740 --> 00:15:09.740]   You're probably already doing that so I'll just take the car and head off.
[00:15:09.740 --> 00:15:09.740]   You're probably already doing that so I'll just take the car and head off.
[00:15:09.740 --> 00:15:09.740]   You're probably already doing that so I'll just take the car and head off.
[00:15:09.740 --> 00:15:09.760]   You're probably already doing that so I'll just take the car and head off.
[00:15:09.760 --> 00:15:09.760]   You're probably already doing that so I'll just take the car and head off.
[00:15:09.760 --> 00:15:09.760]   You're probably already doing that so I'll just take the car and head off.
[00:15:09.760 --> 00:15:09.760]   You're probably already doing that so I'll just take the car and head off.
[00:15:09.760 --> 00:15:09.760]   You're probably already doing that so I'll just take the car and head off.
[00:15:09.760 --> 00:15:09.760]   You're probably already doing that so I'll just take the car and head off.
[00:15:09.760 --> 00:15:09.760]   You're probably already doing that so I'll just take the car and head off.
[00:15:09.760 --> 00:15:39.800]  ,
[00:15:39.800 --> 00:15:39.800]   ,
[00:15:39.800 --> 00:15:39.800]   ,
[00:15:39.800 --> 00:16:02.840]   , , , , , , , , , , , , , , , , , , , , , , , , . , , , . .
[00:16:02.880 --> 00:16:14.360]   weaken
[00:16:14.360 --> 00:16:18.860]   we,,, loved
[00:16:18.860 --> 00:16:21.760]   felt Mercury IT-주�, Scar, .,,,,,,,,.Creu SSD component� lieiyet video and in the start of the after the cam that's the fact that's theни hear theotz the make the play the CNI.The, the Until the theta'T, --, -The -V -So -C -Gu ----- - - DID - Memory -T -H -�rage - acceler- - showed a - JAY -ough - thankful - Kart -laf- -ikke - successor -ivid- at - no -폰- felt - Zh- Micha-ut -�- the- is a- started- a- make a " not - not a wasn't- cent- had anah- a certain- Neither- Sono, with a sweet and, isn't, or li-
[00:16:26.320 --> 00:16:49.780]   The end of the day, I'll be back with more of the best stuff in the world.
[00:16:49.780 --> 00:16:49.780]   I'll be back with more of the best stuff in the world.
[00:16:49.780 --> 00:16:49.780]   I'll be back with more of the best stuff in the world.
[00:16:49.780 --> 00:16:49.780]   I'll be back with more of the best stuff in the world.
[00:16:49.780 --> 00:16:49.780]   I'll be back with more of the best stuff in the world.
[00:16:49.780 --> 00:16:49.820]   I'll be back with more of the best stuff in the world.
[00:16:49.820 --> 00:16:49.900]   I'll be back with more of the best stuff in the world.
[00:16:49.900 --> 00:16:49.940]   I'll be back with more of the best stuff in the world.
[00:16:49.940 --> 00:16:49.960]   I'll be back with more of the best stuff in the world.
[00:16:49.960 --> 00:16:50.000]   I'll be back with more of the best stuff in the world.
[00:16:50.000 --> 00:16:50.040]   I'll be back with more of the best stuff in the world.
[00:16:50.040 --> 00:16:50.060]   I'll be back with more of the best stuff in the world.
[00:16:50.060 --> 00:16:50.100]   I'll be back with more of the best stuff in the world.
[00:16:50.100 --> 00:17:15.160]  , and I'll be back with more of the best stuff in the world.
[00:17:15.160 --> 00:17:15.220]   I'll be back with more of the best stuff in the world.
[00:17:15.220 --> 00:17:15.280]   I'll be back with more of the best stuff in the world.
[00:17:15.280 --> 00:17:15.300]   I'll be back with more of the best stuff in the world.
[00:17:15.300 --> 00:17:15.320]   I'll be back with more of the best stuff in the world.
[00:17:15.320 --> 00:17:15.340]   I'll be back with more of the best stuff in the world.
[00:17:15.340 --> 00:17:15.360]   I'll be back with more of the best stuff in the world.
[00:17:15.360 --> 00:17:15.400]   I'll be back with more of the best stuff in the world.
[00:17:15.400 --> 00:17:15.420]   I'll be back with more of the best stuff in the world.
[00:17:15.420 --> 00:17:15.500]   I'll be back with more of the best stuff in the world.
[00:17:15.500 --> 00:17:15.520]   I'll be back with more of the best stuff in the world.
[00:17:15.520 --> 00:17:15.580]   I'll be back with more of the best stuff in the world.
[00:17:41.000 --> 00:17:41.240]   I'll be back with more of the best stuff in the world.
[00:17:41.240 --> 00:17:41.320]   I'll be back with more of the best stuff in the world.
[00:17:41.320 --> 00:17:41.400]   I'll be back with more of the best stuff in the world.
[00:17:41.400 --> 00:17:41.460]   I'll be back with more of the best stuff in the world.
[00:17:41.460 --> 00:17:41.520]   I'll be back with more of the best stuff in the world.
[00:17:41.520 --> 00:17:41.580]   I'll be back with more of the best stuff in the world.
[00:17:41.580 --> 00:17:41.640]   I'll be back with more of the best stuff in the world.
[00:17:41.640 --> 00:17:41.700]   I'll be back with more of the best stuff in the world.
[00:17:41.700 --> 00:17:41.740]   I'll be back with more of the best stuff in the world.
[00:17:41.740 --> 00:17:41.780]   I'll be back with more of the best stuff in the world.
[00:17:41.780 --> 00:17:41.840]   I'll be back with more of the best stuff in the world.
[00:17:41.840 --> 00:17:41.880]   I'll be back with more of the best stuff in the world.
[00:17:41.880 --> 00:17:41.940]   I'll be back with more of the best stuff in the world.
[00:18:08.100 --> 00:18:08.160]   I'll be back with more of the best stuff in the world.
[00:18:08.160 --> 00:18:08.200]   I'll be back with more of the best stuff in the world.
[00:18:08.200 --> 00:18:08.260]   I'll be back with more of the best stuff in the world.
[00:18:08.260 --> 00:18:08.320]   I'll be back with more of the best stuff in the world.
[00:18:08.320 --> 00:18:08.360]   I'll be back with more of the best stuff in the world.
[00:18:08.360 --> 00:18:08.420]   I'll be back with more of the best stuff in the world.
[00:18:08.420 --> 00:18:08.480]   I'll be back with more of the best stuff in the world.
[00:18:08.480 --> 00:18:08.520]   I'll be back with more of the best stuff in the world.
[00:18:08.520 --> 00:18:08.580]   I'll be back with more of the best stuff in the world.
[00:18:08.580 --> 00:18:08.640]   I'll be back with more of the best stuff in the world.
[00:18:08.640 --> 00:18:08.680]   I'll be back with more of the best stuff in the world.
[00:18:08.680 --> 00:18:38.700]  , that you have should fit into your life.
[00:18:38.700 --> 00:18:38.700]   I'll be back with more of the best stuff in the world.
[00:18:38.700 --> 00:18:38.700]   I'll be back with more of the best stuff in the world.
[00:18:38.700 --> 00:18:38.700]   I'll be back with more of the best stuff in the world.
[00:18:38.700 --> 00:18:38.700]   I'll be back with more of the best stuff in the world.
[00:18:38.700 --> 00:18:38.700]   I'll be back with more of the best stuff in the world.
[00:18:38.700 --> 00:18:38.700]   I'll be back with more of the best stuff in the world.
[00:18:38.700 --> 00:18:38.700]   I'll be back with more of the best stuff in the world.
[00:18:38.700 --> 00:18:38.700]   I'll be back with more of the best stuff in the world. I'll be back with more of the best stuff in the world.
[00:18:38.720 --> 00:19:08.720]   I'll be back with more of the best stuff in the world.
[00:19:08.720 --> 00:19:08.720]   I'll be back with more of the best stuff in the world.
[00:19:08.720 --> 00:19:08.720]   I'll be back with more of the best stuff in the world.
[00:19:08.720 --> 00:19:08.720]   I'll be back with more of the best stuff in the world.
[00:19:08.720 --> 00:19:08.720]   I'll be back with more of the best stuff in the world.
[00:19:08.720 --> 00:19:08.720]   I'll be back with more of the best stuff in the world.
[00:19:08.720 --> 00:19:08.720]   I'll be back with more of the best stuff in the world.
[00:19:08.720 --> 00:19:08.720]   I'll be back with more of the best stuff in the world.
[00:19:08.720 --> 00:19:08.720]   I'll be back with more of the best stuff in the world.
[00:19:08.720 --> 00:19:08.720]   I'll be back with more of the best stuff in the world.
[00:19:08.720 --> 00:19:08.720]   I'll be back with more of the best stuff in the world.
[00:19:08.720 --> 00:19:08.720]   I'll be back with more of the best stuff in the world.
[00:19:08.720 --> 00:19:08.720]   I'll be back with more of the best stuff in the world.
[00:19:08.720 --> 00:19:38.740]   I'll be back with more of the best stuff in the world.
[00:19:38.740 --> 00:19:38.740]   I'll be back with more of the best stuff in the world.
[00:19:38.740 --> 00:19:38.740]   I'll be back with more of the best stuff in the world.
[00:19:38.740 --> 00:19:38.740]   I'll be back with more of the best stuff in the world.
[00:19:38.740 --> 00:19:38.740]   I'll be back with more of the best stuff in the world.
[00:19:38.740 --> 00:19:38.740]   I'll be back with more of the best stuff in the world.
[00:19:38.740 --> 00:19:38.740]   I'll be back with more of the best stuff in the world.
[00:19:38.740 --> 00:19:38.740]   I'll be back with more of the best stuff in the world.
[00:19:38.740 --> 00:19:38.740]   I'll be back with more of the best stuff in the world.
[00:19:38.760 --> 00:20:08.760]   I'll be back with more of the best stuff in the world.
[00:20:08.760 --> 00:20:08.760]   I'll be back with more of the best stuff in the world.
[00:20:08.760 --> 00:20:08.760]   I'll be back with more of the best stuff in the world.
[00:20:08.760 --> 00:20:08.760]   I'll be back with more of the best stuff in the world.
[00:20:08.760 --> 00:20:08.760]   I'll be back with more of the best stuff in the world.
[00:20:08.760 --> 00:20:08.760]   I'll be back with more of the best stuff in the world.
[00:20:08.760 --> 00:20:08.760]   I'll be back with more of the best stuff in the world.
[00:20:08.760 --> 00:20:08.760]   I'll be back with more of the best stuff in the world.
[00:20:08.760 --> 00:20:08.760]   I'll be back with more of the best stuff in the world.
[00:20:08.760 --> 00:20:08.760]   I'll be back with more of the best stuff in the world.
[00:20:08.760 --> 00:20:08.760]   I'll be back with more of the best stuff in the world.
[00:20:08.760 --> 00:20:08.760]   I'll be back with more of the best stuff in the world.
[00:20:08.760 --> 00:20:08.760]   I'll be back with more of the best stuff in the world.
[00:20:08.780 --> 00:20:38.780]   I'll be back with more of the best stuff in the world.
[00:20:38.780 --> 00:20:38.780]   I'll be back with more of the best stuff in the world.
[00:20:38.780 --> 00:20:38.780]   I'll be back with more of the best stuff in the world.
[00:20:38.780 --> 00:20:38.780]   I'll be back with more of the best stuff in the world.
[00:20:38.780 --> 00:20:38.780]   I'll be back with more of the best stuff in the world.
[00:20:38.780 --> 00:20:38.780]   I'll be back with more of the best stuff in the world.
[00:20:38.780 --> 00:20:38.780]   I'll be back with more of the best stuff in the world.
[00:20:38.780 --> 00:20:38.780]   I'll be back with more of the best stuff in the world.
[00:20:38.780 --> 00:20:38.780]   I'll be back with more of the best stuff in the world.
[00:20:38.780 --> 00:20:38.780]   I'll be back with more of the best stuff in the world.
[00:20:38.780 --> 00:20:38.780]   I'll be back with more of the best stuff in the world.
[00:20:38.780 --> 00:20:38.780]   I'll be back with more of the best stuff in the world.
[00:20:38.780 --> 00:21:08.800]   I'll be back with more of the best stuff in the world.
[00:21:08.800 --> 00:21:08.800]   I'll be back with more of the best stuff in the world.
[00:21:08.800 --> 00:21:08.800]   I'll be back with more of the best stuff in the world.
[00:21:08.800 --> 00:21:08.800]   I'll be back with more of the best stuff in the world.
[00:21:08.800 --> 00:21:08.800]   I'll be back with more of the best stuff in the world.
[00:21:08.800 --> 00:21:08.800]   I'll be back with more of the best stuff in the world.
[00:21:08.800 --> 00:21:08.800]   I'll be back with more of the best stuff in the world.
[00:21:08.800 --> 00:21:08.800]   I'll be back with more of the best stuff in the world.
[00:21:08.800 --> 00:21:08.800]   I'll be back with more of the best stuff in the world.
[00:21:08.800 --> 00:21:08.800]   I'll be back with more of the best stuff in the world.
[00:21:08.820 --> 00:21:38.820]   I'll be back with more of the best stuff in the world.
[00:21:38.820 --> 00:21:38.820]   I'll be back with more of the best stuff in the world.
[00:21:38.820 --> 00:21:38.820]   I'll be back with more of the best stuff in the world.
[00:21:38.820 --> 00:21:38.820]   I'll be back with more of the best stuff in the world.
[00:21:38.820 --> 00:21:38.820]   I'll be back with more of the best stuff in the world.
[00:21:38.820 --> 00:21:38.820]   I'll be back with more of the best stuff in the world.
[00:21:38.820 --> 00:21:38.820]   I'll be back with more of the best stuff in the world.
[00:21:38.820 --> 00:21:38.820]   I'll be back with more of the best stuff in the world.
[00:21:38.820 --> 00:21:38.820]   I'll be back with more of the best stuff in the world.
[00:21:38.820 --> 00:21:38.820]   I'll be back with more of the best stuff in the world.
[00:21:38.820 --> 00:21:38.820]   I'll be back with more of the best stuff in the world.
[00:21:38.820 --> 00:21:38.820]   I'll be back with more of the best stuff in the world.
[00:21:38.820 --> 00:21:38.820]   I'll be back with more of the best stuff in the world.
[00:21:38.820 --> 00:22:08.840]  ,
[00:22:08.840 --> 00:22:08.840]   the very inspiring story that I shared with you about the CanRush channel, where the couple spent the $13,500 to travel for two years,
[00:22:08.840 --> 00:22:08.840]   the very inspiring story that I shared with you about the CanRush channel, where the couple spent the $13,500 to travel for two years,
[00:22:08.840 --> 00:22:08.840]   the very inspiring story that I shared with you about the CanRush channel, where the couple spent the $13,500 to travel for two years,
[00:22:08.840 --> 00:22:08.840]   the very inspiring story that I shared with you about the CanRush channel, where the couple spent the $13,500 to travel for two years,
[00:22:08.840 --> 00:22:08.840]   the very inspiring story that I shared with you about the CanRush channel, where the couple spent the $13,500 to travel for two years,
[00:22:08.840 --> 00:22:08.840]   the very inspiring story that I shared with you about the CanRush channel, where the couple spent the $13,500 to travel for two years,
[00:22:08.860 --> 00:22:38.860]   I'll be back with more of the best stuff in the world.
[00:22:38.860 --> 00:22:38.860]   I'll be back with more of the best stuff in the world.
[00:22:38.860 --> 00:22:38.860]   I'll be back with more of the best stuff in the world.
[00:22:38.860 --> 00:22:38.860]   I'll be back with more of the best stuff in the world.
[00:22:38.860 --> 00:22:38.860]   I'll be back with more of the best stuff in the world.
[00:22:38.860 --> 00:22:38.860]   I'll be back with more of the best stuff in the world.
[00:22:38.860 --> 00:22:38.860]   I'll be back with more of the best stuff in the world.
[00:22:38.860 --> 00:22:38.860]   I'll be back with more of the best stuff in the world.
[00:22:38.860 --> 00:22:38.860]   I'll be back with more of the best stuff in the world.
[00:22:38.860 --> 00:22:38.860]   I'll be back with more of the best stuff in the world.
[00:22:38.860 --> 00:22:38.860]   I'll be back with more of the best stuff in the world.
[00:22:38.860 --> 00:22:38.860]   I'll be back with more of the best stuff in the world.
[00:22:38.860 --> 00:22:38.860]   I'll be back with more of the best stuff in the world.
[00:23:08.880 --> 00:23:08.880]   I'll be back with more of the best stuff in the world.
[00:23:08.880 --> 00:23:08.880]   I'll be back with more of the best stuff in the world.
[00:23:08.880 --> 00:23:08.880]   I'll be back with more of the best stuff in the world.
[00:23:08.880 --> 00:23:08.880]   I'll be back with more of the best stuff in the world.
[00:23:08.880 --> 00:23:08.880]   I'll be back with more of the best stuff in the world.
[00:23:08.880 --> 00:23:08.880]   I'll be back with more of the best stuff in the world.
[00:23:08.880 --> 00:23:08.880]   I'll be back with more of the best stuff in the world.
[00:23:08.880 --> 00:23:08.880]   I'll be back with more of the best stuff in the world.
[00:23:08.880 --> 00:23:08.880]   I'll be back with more of the best stuff in the world.
[00:23:38.900 --> 00:23:38.900]   I'll be back with more of the best stuff in the world.
[00:23:38.900 --> 00:23:38.900]   I'll be back with more of the best stuff in the world.
[00:23:38.900 --> 00:23:38.900]   I'll be back with more of the best stuff in the world.
[00:23:38.900 --> 00:23:38.900]   I'll be back with more of the best stuff in the world.
[00:23:38.900 --> 00:23:38.900]   I'll be back with more of the best stuff in the world.
[00:23:38.900 --> 00:23:38.900]   I'll be back with more of the best stuff in the world.
[00:23:38.900 --> 00:23:38.900]   I'll be back with more of the best stuff in the world.
[00:23:38.900 --> 00:23:38.900]   I'll be back with more of the best stuff in the world.
[00:23:38.900 --> 00:23:38.900]   I'll be back with more of the best stuff in the world.
