
[00:00:00.000 --> 00:00:03.080]   (slow hip hop music)
[00:03:08.600 --> 00:03:11.920]   I always, you know, looked up to, admired playing against,
[00:03:11.920 --> 00:03:14.480]   competing against, and, you know, again, to this day,
[00:03:14.480 --> 00:03:15.840]   they're the ones that push me to always wanna
[00:03:15.840 --> 00:03:17.960]   keep getting better, 'cause you're always hearing about them
[00:03:17.960 --> 00:03:20.360]   and seeing what they're doing, and then it's like,
[00:03:20.360 --> 00:03:22.840]   all right, I wanna try to make sure I stay on that level.
[00:03:22.840 --> 00:03:23.800]   - Right.
[00:03:23.800 --> 00:03:26.920]   So then, you didn't mention Kobe, so he was obviously
[00:03:26.920 --> 00:03:29.520]   a little older, but how much older was he than you?
[00:03:29.520 --> 00:03:33.440]   And then I was gonna ask you, what is your favorite
[00:03:33.440 --> 00:03:34.720]   Kobe story, you know?
[00:03:34.720 --> 00:03:37.680]   - Yeah, so with Kobe, now that's, you know,
[00:03:37.680 --> 00:03:40.960]   I always start with Michael Jordan as my favorite
[00:03:40.960 --> 00:03:44.400]   sports figure, greatest athlete ever.
[00:03:44.400 --> 00:03:47.080]   But what was really cool about Kobe was, you know,
[00:03:47.080 --> 00:03:50.240]   he eventually became my second, because, you know,
[00:03:50.240 --> 00:03:52.280]   when I got introduced to basketball, it was like,
[00:03:52.280 --> 00:03:53.960]   Jordan, you know, he's at the top.
[00:03:53.960 --> 00:03:57.400]   But when Kobe came into the league in '96, I'm like,
[00:03:57.400 --> 00:04:00.400]   okay, damn, he plays like Jordan, but he young.
[00:04:00.400 --> 00:04:01.240]   - Yeah.
[00:04:01.240 --> 00:04:04.000]   - And he kinda cool, and more fitting, you know,
[00:04:04.000 --> 00:04:07.840]   the age group and the popularity of how we wanna do things.
[00:04:07.840 --> 00:04:08.680]   - Right.
[00:04:08.680 --> 00:04:09.960]   - He had the little baby fro, and, you know,
[00:04:09.960 --> 00:04:12.560]   I'm getting to high school, I got the baby fro now,
[00:04:12.560 --> 00:04:16.400]   you know, so it was like, Jordan was the guy I idolized,
[00:04:16.400 --> 00:04:18.840]   and then it moved into Kobe, but it was cool,
[00:04:18.840 --> 00:04:21.320]   because I always try to play like Jordan, you know,
[00:04:21.320 --> 00:04:23.760]   footwork, pump fakes, you know, fade away,
[00:04:23.760 --> 00:04:26.840]   and Kobe was doing it too, so now I'm going into it like,
[00:04:26.840 --> 00:04:28.960]   damn, so now my second favorite player plays just like
[00:04:28.960 --> 00:04:31.240]   my favorite player, but he's younger,
[00:04:31.240 --> 00:04:33.880]   and I can relate to him more, you know, it's like,
[00:04:33.880 --> 00:04:36.400]   you know, you watching shows like Moesha growing up,
[00:04:36.400 --> 00:04:39.360]   and then Kobe go to, you know, you see him and Brandy
[00:04:39.360 --> 00:04:42.320]   going to prom, and it's like, yeah, this is all my,
[00:04:42.320 --> 00:04:43.520]   this is all the stuff I'm into.
[00:04:43.520 --> 00:04:46.120]   When Jordan was, you know, he was older and more mature
[00:04:46.120 --> 00:04:48.280]   and doing different things, so that was real,
[00:04:48.280 --> 00:04:50.120]   that was real dope, and then, yeah, ever since then,
[00:04:50.120 --> 00:04:52.680]   he's just always been the guy that I idolized,
[00:04:52.680 --> 00:04:54.640]   watching and playing basketball.
[00:04:54.640 --> 00:04:58.720]   So, you know, I would say my favorite Kobe story
[00:04:58.720 --> 00:05:02.840]   was when I was in Portland, and we had a win streak
[00:05:02.840 --> 00:05:06.120]   against the Lakers in the Rose Garden.
[00:05:06.120 --> 00:05:10.640]   So, you know, I got hurt, and leading up into this game,
[00:05:10.640 --> 00:05:13.320]   Kobe sprains his ankle, you know, I mean,
[00:05:13.320 --> 00:05:15.280]   I wouldn't say it then, but I used to watch Laker games,
[00:05:15.280 --> 00:05:16.800]   you know, it's just as much as, you know,
[00:05:16.800 --> 00:05:18.440]   playing, it's like, all right, now I gotta,
[00:05:18.440 --> 00:05:20.520]   I record my DVR of my Laker games,
[00:05:20.520 --> 00:05:22.480]   'cause, you know, Kobe was still my favorite player,
[00:05:22.480 --> 00:05:24.320]   but I didn't want anybody to think that he had an edge on me
[00:05:24.320 --> 00:05:27.160]   because I did like him so much as a player.
[00:05:27.160 --> 00:05:29.400]   So, you know, we're getting ready for the game,
[00:05:29.400 --> 00:05:30.840]   and, you know, they asked me, "Am I gonna play?"
[00:05:30.840 --> 00:05:33.040]   And I was just like, nah, it's just not ready yet.
[00:05:33.040 --> 00:05:36.440]   I think it's my hamstring, and, you know,
[00:05:36.440 --> 00:05:39.160]   Kobe was like, gonna play if I was gonna,
[00:05:39.160 --> 00:05:40.800]   if I was gonna suit up, he was gonna play,
[00:05:40.800 --> 00:05:42.880]   and I was like, no way, he hurt his ankle too bad.
[00:05:42.880 --> 00:05:44.360]   - So, like, if you was gonna play, he was gonna play?
[00:05:44.360 --> 00:05:45.200]   - He was gonna play, yes.
[00:05:45.200 --> 00:05:46.080]   - How did you know that?
[00:05:46.080 --> 00:05:48.040]   - Yeah, so that's, so we'll get to it.
[00:05:48.040 --> 00:05:50.360]   So, you know, long story short,
[00:05:50.360 --> 00:05:51.680]   they ended up scratching Kobe,
[00:05:51.680 --> 00:05:53.360]   and they're like, all right, he's not gonna play.
[00:05:53.360 --> 00:05:55.480]   You know, they do that stuff on ESPN,
[00:05:55.480 --> 00:05:57.000]   and then our little pack is like,
[00:05:57.000 --> 00:05:59.200]   we don't know if he's gonna play or not.
[00:05:59.200 --> 00:06:01.080]   So we're gonna prepare as if he is,
[00:06:01.080 --> 00:06:03.840]   and go over the Kobe sets, and how they're gonna play.
[00:06:03.840 --> 00:06:07.600]   So I was like, nah, I'm still about a week away.
[00:06:07.600 --> 00:06:11.000]   So I put it out there early, and then, you know,
[00:06:11.000 --> 00:06:13.400]   he's obviously in the other locker room,
[00:06:13.400 --> 00:06:15.080]   you know, we know he's in the arena.
[00:06:15.080 --> 00:06:16.760]   Every camera follows him in.
[00:06:16.760 --> 00:06:18.480]   So I'm in the training, doing all my stuff,
[00:06:18.480 --> 00:06:19.720]   and then I go back to the locker room,
[00:06:19.720 --> 00:06:22.440]   and I had a friend of mine, Chuck,
[00:06:22.440 --> 00:06:24.840]   he works with Nike, and then he worked with Kobe.
[00:06:24.840 --> 00:06:27.320]   And I was like, is Kobe gonna play?
[00:06:27.320 --> 00:06:29.320]   He was like, if you play, he's playing.
[00:06:29.320 --> 00:06:30.560]   I'm like, I'm not playing.
[00:06:30.560 --> 00:06:31.400]   You know what I'm saying?
[00:06:31.400 --> 00:06:32.240]   He was like, all right.
[00:06:32.240 --> 00:06:33.320]   He said, nah, I don't think he's gonna play.
[00:06:33.320 --> 00:06:34.160]   So I was like, all right, cool.
[00:06:34.160 --> 00:06:36.840]   I said, ask Kobe when the team's about to warm up.
[00:06:36.840 --> 00:06:40.360]   Can I come down and say what's up?
[00:06:40.360 --> 00:06:41.560]   He was like, all right.
[00:06:41.560 --> 00:06:44.680]   So, long story short, Chuck didn't come back
[00:06:44.680 --> 00:06:47.760]   in the first quarter, so he came back in the second quarter.
[00:06:47.760 --> 00:06:49.760]   And he was like, Kobe said, yeah, come down there,
[00:06:49.760 --> 00:06:52.800]   but wait 'til the teams go out and come after halftime.
[00:06:52.800 --> 00:06:54.720]   So I was like, for real?
[00:06:54.720 --> 00:06:55.760]   So I'm getting all nervous.
[00:06:55.760 --> 00:06:56.960]   Like, I played against him,
[00:06:56.960 --> 00:06:58.840]   but we never talked during the game.
[00:06:58.840 --> 00:07:00.560]   You know, he'd just be going at me.
[00:07:00.560 --> 00:07:02.920]   So I was like, for real?
[00:07:02.920 --> 00:07:03.760]   He was like, yeah.
[00:07:03.760 --> 00:07:06.240]   He said, come down, but let the teams go out.
[00:07:06.240 --> 00:07:07.960]   So I'm like, all right.
[00:07:07.960 --> 00:07:10.080]   So the teams, you know, Nate come in and give his speech.
[00:07:10.080 --> 00:07:13.320]   Both teams go out, and I'm walking up to the locker room.
[00:07:13.320 --> 00:07:15.400]   I'm like, damn, so what am I going to say to Kobe?
[00:07:15.400 --> 00:07:18.160]   So I'm all nervous, and I walk all the way down the hallway.
[00:07:18.160 --> 00:07:21.160]   And then I get to the door, and I'm kind of listening in,
[00:07:21.160 --> 00:07:24.040]   and I like tap to knock on the locker room door.
[00:07:24.040 --> 00:07:25.160]   And the trainer was like, who is it?
[00:07:25.160 --> 00:07:28.640]   And I peek in my head, and I was like, oh, it's B-Roy.
[00:07:28.640 --> 00:07:31.000]   And Kobe was laying on the table.
[00:07:31.000 --> 00:07:32.600]   He was fully dressed.
[00:07:32.600 --> 00:07:35.960]   He had his whole warmups on, everything.
[00:07:35.960 --> 00:07:37.760]   He was laying on the table getting stretched.
[00:07:37.760 --> 00:07:41.080]   And the dude was like doing something to his ankle.
[00:07:41.080 --> 00:07:43.440]   But so I'm like, oh, man, it's like Kobe.
[00:07:43.440 --> 00:07:48.320]   So he hops up off the table, and he's like, B-Roy, come here.
[00:07:48.320 --> 00:07:51.720]   And I went to dap him, and he gave me like a bear hug.
[00:07:51.720 --> 00:07:54.480]   And I was just like, yes, it's Kobe.
[00:07:54.480 --> 00:07:58.040]   And then I like loosened up, and he's like, how you doing, man?
[00:07:58.040 --> 00:07:59.320]   So I ended up sitting down.
[00:07:59.320 --> 00:08:00.600]   Like I said, he's laying on the table.
[00:08:00.600 --> 00:08:02.400]   I sit like in the little locker.
[00:08:02.400 --> 00:08:05.880]   And we ended up sitting there talking and joking
[00:08:05.880 --> 00:08:07.600]   the whole second half of the game.
[00:08:07.600 --> 00:08:08.440]   - For real?
[00:08:08.440 --> 00:08:12.640]   - And that was, for me, not just because of his passing,
[00:08:12.640 --> 00:08:16.000]   but that was like, damn, I'm meeting my idol,
[00:08:16.000 --> 00:08:19.280]   and I get to hang out with him and talk.
[00:08:19.280 --> 00:08:21.840]   Man, I ask him everything under the sun.
[00:08:21.840 --> 00:08:24.680]   I was like, so how's your and Michael Jordan's relationship?
[00:08:24.680 --> 00:08:25.720]   He's like, me and Mike's cool.
[00:08:25.720 --> 00:08:28.400]   I'm like, oh, yeah, that's cool.
[00:08:28.400 --> 00:08:31.480]   But most people, I always try to look at it like
[00:08:31.480 --> 00:08:34.080]   I'm in the NBA, but I'm still a fan of it.
[00:08:34.080 --> 00:08:37.280]   So I ask stuff that I think my dad would.
[00:08:38.320 --> 00:08:42.040]   We wanted to know, like, how does Kobe tie his shoes?
[00:08:42.040 --> 00:08:43.240]   All that stuff was cool.
[00:08:43.240 --> 00:08:44.240]   And then I even joked, I was like,
[00:08:44.240 --> 00:08:45.120]   so you really was gonna play?
[00:08:45.120 --> 00:08:47.000]   He was like, yeah, if you was gonna play.
[00:08:47.000 --> 00:08:49.640]   I was like, damn, you are dressed.
[00:08:49.640 --> 00:08:51.040]   - How old was you at this time?
[00:08:51.040 --> 00:08:55.920]   - Man, that was my third year in the league.
[00:08:55.920 --> 00:08:59.120]   So I made the All-Star game my second year,
[00:08:59.120 --> 00:09:00.480]   and it was in New Orleans.
[00:09:00.480 --> 00:09:03.840]   But Kobe didn't play, 'cause he had a bad thumb.
[00:09:03.840 --> 00:09:06.120]   And we really didn't talk much.
[00:09:06.120 --> 00:09:08.200]   I was in awe then of him.
[00:09:08.200 --> 00:09:09.800]   We had a few different things,
[00:09:09.800 --> 00:09:11.880]   where we all did it together as a team.
[00:09:11.880 --> 00:09:13.720]   But I remember getting on the bus,
[00:09:13.720 --> 00:09:15.200]   and it's like, damn, that's Tim Duncan.
[00:09:15.200 --> 00:09:16.840]   You know, you're in the West.
[00:09:16.840 --> 00:09:17.680]   They're going mellow.
[00:09:17.680 --> 00:09:19.200]   It's like all these great players.
[00:09:19.200 --> 00:09:20.840]   Iverson's on the team.
[00:09:20.840 --> 00:09:22.520]   Shrike's on the team.
[00:09:22.520 --> 00:09:23.360]   The next year, Shaq's on the team.
[00:09:23.360 --> 00:09:25.000]   So it's like, all these dudes are idolized.
[00:09:25.000 --> 00:09:27.120]   But then it was like, okay, where's Kobe?
[00:09:27.120 --> 00:09:28.840]   I'm all sitting on the bus, pacing the way.
[00:09:28.840 --> 00:09:29.880]   Where's Kobe getting on the bus?
[00:09:29.880 --> 00:09:32.080]   So then Kobe comes, and cameras follow.
[00:09:32.080 --> 00:09:32.920]   He get on the bus.
[00:09:32.920 --> 00:09:33.880]   I'm like, yeah, that's Kobe.
[00:09:33.880 --> 00:09:35.680]   So, nah, it was cool,
[00:09:35.680 --> 00:09:38.840]   but we didn't really have a one-on-one conversation.
[00:09:38.840 --> 00:09:41.280]   You know, I was playing well in New Orleans,
[00:09:41.280 --> 00:09:43.400]   and he was like, man, stop being nice, man.
[00:09:43.400 --> 00:09:44.240]   Stop being passive.
[00:09:44.240 --> 00:09:45.920]   Like, you can go be MVP.
[00:09:45.920 --> 00:09:47.640]   And I'm like, MVP of the All-Star game?
[00:09:47.640 --> 00:09:48.480]   Yeah, right.
[00:09:48.480 --> 00:09:50.360]   And he was telling me to do it.
[00:09:50.360 --> 00:09:53.000]   And I was like, man, all right, we'll see.
[00:09:53.000 --> 00:09:54.000]   But that was kind of like
[00:09:54.000 --> 00:09:55.960]   the most of our interactions at that point.
[00:09:55.960 --> 00:09:57.360]   So then that next year, like I said,
[00:09:57.360 --> 00:09:58.200]   when he didn't play,
[00:09:58.200 --> 00:09:59.600]   that's when I was able to sit down
[00:09:59.600 --> 00:10:02.240]   and have a real long conversation with him.
[00:10:02.240 --> 00:10:03.760]   - So even all the way back then,
[00:10:03.760 --> 00:10:05.680]   like dudes in the league,
[00:10:05.680 --> 00:10:07.000]   there was a lot of really good players,
[00:10:07.000 --> 00:10:10.360]   but Kobe was respected on a whole 'nother level than like--
[00:10:10.360 --> 00:10:12.760]   - Yeah, you know, and it's hard to explain.
[00:10:12.760 --> 00:10:14.120]   Like, they're all really respected.
[00:10:14.120 --> 00:10:16.840]   You know, I was just as happy to sit down
[00:10:16.840 --> 00:10:19.320]   and have conversations with Tim Duncan.
[00:10:19.320 --> 00:10:21.200]   You know, I had watched him.
[00:10:21.200 --> 00:10:22.240]   You know, he was in college.
[00:10:22.240 --> 00:10:24.240]   This was way before you guys,
[00:10:24.240 --> 00:10:25.360]   you know, probably even born.
[00:10:25.360 --> 00:10:28.680]   But, you know, I watched those dudes,
[00:10:28.680 --> 00:10:30.240]   'cause we got to build relationships
[00:10:30.240 --> 00:10:32.640]   with our favorite players from the college level.
[00:10:32.640 --> 00:10:33.800]   And that's how we got to know him.
[00:10:33.800 --> 00:10:36.200]   Where you guys get idolized a little younger,
[00:10:36.200 --> 00:10:37.680]   more like high school.
[00:10:37.680 --> 00:10:40.360]   Like, I didn't know nothing about Tim Duncan in high school.
[00:10:40.360 --> 00:10:42.000]   So we see Chris Webber and them dudes,
[00:10:42.000 --> 00:10:44.920]   like we learned him from Michigan and the Fab Five,
[00:10:44.920 --> 00:10:46.520]   you know, and Tim Duncan and those dudes.
[00:10:46.520 --> 00:10:49.520]   So that's how we got our celebrity.
[00:10:49.520 --> 00:10:50.880]   That's how they got their celebrity,
[00:10:50.880 --> 00:10:52.360]   but that's how we got to know those guys.
[00:10:52.360 --> 00:10:54.760]   So it was big, but yeah,
[00:10:54.760 --> 00:10:57.200]   there was something about Kobe coming around.
[00:10:57.200 --> 00:11:00.880]   You know, it was something about him
[00:11:00.880 --> 00:11:04.440]   where I seen how like, okay, like, you know,
[00:11:04.440 --> 00:11:06.840]   this is LeBron, this is Melo,
[00:11:06.840 --> 00:11:08.400]   but they're all the same age as me.
[00:11:08.400 --> 00:11:10.400]   And we all looked up to the same dude,
[00:11:10.400 --> 00:11:11.840]   even though they're great.
[00:11:11.840 --> 00:11:14.520]   And, you know, LeBron's MVP and a champion,
[00:11:14.520 --> 00:11:16.800]   and Melo's one of the top players in the world.
[00:11:16.800 --> 00:11:18.600]   We're all still like, when we was kids,
[00:11:18.600 --> 00:11:19.880]   loving this dude the same way,
[00:11:19.880 --> 00:11:21.840]   just in different areas.
[00:11:21.840 --> 00:11:23.280]   You can sense that, I think,
[00:11:23.280 --> 00:11:25.360]   with being around a lot of young dudes,
[00:11:25.360 --> 00:11:26.920]   you know, 'cause Chris Bosch, all those guys,
[00:11:26.920 --> 00:11:30.200]   you know, it's all a class, 2002, three, one.
[00:11:30.200 --> 00:11:33.600]   And Kobe was like that first dude to really just be,
[00:11:33.600 --> 00:11:36.800]   you know, he was cold, but he was also, you know,
[00:11:36.800 --> 00:11:38.960]   he was that next level of like,
[00:11:38.960 --> 00:11:40.840]   all right, he goes to private school,
[00:11:40.840 --> 00:11:42.480]   but he's going to go out of high school,
[00:11:42.480 --> 00:11:44.760]   you know, that whole kind of, you know,
[00:11:44.760 --> 00:11:45.960]   he got game type thing.
[00:11:45.960 --> 00:11:47.680]   Like, yeah, he's really doing it.
[00:11:47.680 --> 00:11:50.160]   And he's, you know, all-star, he's rookie,
[00:11:50.160 --> 00:11:51.360]   second year, everybody's voting him.
[00:11:51.360 --> 00:11:53.960]   So he was just really that guy that I think a lot of guys
[00:11:53.960 --> 00:11:56.240]   my age just really, you know, we loved him.
[00:11:56.240 --> 00:11:57.760]   - Even your age, but my age too.
[00:11:57.760 --> 00:12:00.000]   I mean, that's one thing that I like really wish
[00:12:00.000 --> 00:12:00.840]   could have happened.
[00:12:00.840 --> 00:12:02.840]   Like, I never got to even meet Kobe.
[00:12:02.840 --> 00:12:05.200]   I remember I was at the Nike Basketball Academy,
[00:12:05.200 --> 00:12:09.280]   and Kobe, he flew in on a private jet.
[00:12:09.280 --> 00:12:12.120]   And I left that morning before he flew in on the jet.
[00:12:12.120 --> 00:12:15.120]   So all my homies got like, you know, Trey, Gary Trent,
[00:12:15.120 --> 00:12:17.160]   all those guys got the picture with Kobe.
[00:12:17.160 --> 00:12:18.200]   I never even got to meet him.
[00:12:18.200 --> 00:12:20.000]   So I love asking stories about him,
[00:12:20.000 --> 00:12:21.920]   'cause that was just like, it was your idol.
[00:12:21.920 --> 00:12:23.800]   Like, even younger dudes, like he spanned
[00:12:23.800 --> 00:12:26.240]   across generations, like his, like.
[00:12:26.240 --> 00:12:28.880]   So even for me, I was like one of my favorite players, so.
[00:12:28.880 --> 00:12:32.000]   - Nah, it was, you'd have liked meeting him too,
[00:12:32.000 --> 00:12:34.120]   because, you know, I was always worried,
[00:12:34.120 --> 00:12:36.320]   because on the court, he was like, you know,
[00:12:36.320 --> 00:12:37.480]   he'd go after it.
[00:12:37.480 --> 00:12:38.320]   - Right.
[00:12:38.320 --> 00:12:40.960]   - So, you know, I'll tell you something that's funny.
[00:12:40.960 --> 00:12:42.280]   Like, when I was coming in the draft,
[00:12:42.280 --> 00:12:45.240]   I think the Lakers was picking like 20th, 21st.
[00:12:45.240 --> 00:12:47.360]   And I knew I was gonna be a top 10 pick.
[00:12:47.360 --> 00:12:49.200]   And I told my agent, I'm like, man,
[00:12:49.200 --> 00:12:51.440]   I think I'm gonna go to the Lakers, you know,
[00:12:51.440 --> 00:12:52.280]   I'm gonna play with Kobe.
[00:12:52.280 --> 00:12:55.920]   And he's like laughing, like, nah, I'm like, I'm serious.
[00:12:55.920 --> 00:12:57.280]   Like, you know, is there anything we could do?
[00:12:57.280 --> 00:13:00.320]   He was like, I mean, I'll call him, you wanna work out?
[00:13:00.320 --> 00:13:03.040]   And I was like, yeah, I'll work out for the Lakers.
[00:13:03.040 --> 00:13:05.160]   So I ended up working out for the Lakers,
[00:13:05.160 --> 00:13:06.840]   my very first workout.
[00:13:06.840 --> 00:13:08.240]   - For real, 'cause you wanted to play with Kobe?
[00:13:08.240 --> 00:13:09.080]   - Yeah.
[00:13:09.080 --> 00:13:10.040]   - And we all was in the same position.
[00:13:10.040 --> 00:13:11.920]   - Yeah, so check it out.
[00:13:11.920 --> 00:13:15.880]   So we do the workout, Phil comes in there
[00:13:15.880 --> 00:13:17.480]   and he sits on this little Bosio ball,
[00:13:17.480 --> 00:13:19.600]   and he's, you know, he's watching the workout.
[00:13:19.600 --> 00:13:21.520]   Craig Hodges ends up working me out, I was juiced.
[00:13:21.520 --> 00:13:23.280]   I'm like, Craig Hodges from the Bulls?
[00:13:23.280 --> 00:13:26.040]   So, you know, I was like, man, this is crazy,
[00:13:26.040 --> 00:13:26.960]   just being in here.
[00:13:26.960 --> 00:13:29.160]   So we ended up working out and, you know,
[00:13:29.160 --> 00:13:30.400]   I'd worked out really well.
[00:13:30.400 --> 00:13:32.160]   I worked out, I think it was Aaron Ofolalo,
[00:13:32.160 --> 00:13:34.800]   and we ended up going up to the back
[00:13:34.800 --> 00:13:36.840]   and I met with, you know, Mitch Kovachek and Phil,
[00:13:36.840 --> 00:13:39.720]   and they were like, all right, so let's just get to it.
[00:13:39.720 --> 00:13:41.200]   Like, why are you working out for the Lakers?
[00:13:41.200 --> 00:13:44.080]   And I was like, man, I think me and Kobe can play together.
[00:13:44.080 --> 00:13:46.320]   You know, and at that time, that's when the Lakers had,
[00:13:46.320 --> 00:13:48.640]   you know, lost Shaq in the heat.
[00:13:48.640 --> 00:13:51.040]   So I was like, man, I gotta get my guy, Kobe, back on top.
[00:13:51.040 --> 00:13:52.480]   - Man, that's crazy.
[00:13:52.480 --> 00:13:55.040]   - And I never even, I hadn't met him yet at that point,
[00:13:55.040 --> 00:13:58.920]   but I went to all the Laker games at that playoff series.
[00:13:58.920 --> 00:14:00.920]   I was there and he made the shot against Phoenix.
[00:14:00.920 --> 00:14:01.760]   - Correct.
[00:14:01.760 --> 00:14:03.760]   - Yeah, my agent's like, man,
[00:14:03.760 --> 00:14:05.640]   you know you got a playoff next year, right?
[00:14:05.640 --> 00:14:09.320]   So you can't be sitting here, you know,
[00:14:09.320 --> 00:14:10.160]   yelling and screaming.
[00:14:10.160 --> 00:14:11.200]   I wore my Kobe jersey.
[00:14:11.200 --> 00:14:13.560]   I was like, I'm gonna play him if I have to.
[00:14:13.560 --> 00:14:14.920]   I might be a Laker, you don't know.
[00:14:14.920 --> 00:14:17.160]   You know, it hurt a lot to hear that he had passed
[00:14:17.160 --> 00:14:18.240]   because he meant a lot, you know,
