
[00:00:00.000 --> 00:00:01.500]   - Hi, it's Helen.
[00:02:24.380 --> 00:02:25.880]   I currently work remotely,
[00:02:25.880 --> 00:02:30.080]   have a salary of about 150,000 with a 10 to 20% bonus.
[00:02:30.080 --> 00:02:33.920]   My wife works remotely part-time
[00:02:33.920 --> 00:02:35.160]   with a really flexible schedule,
[00:02:35.160 --> 00:02:37.920]   and then she takes care of the boys the rest of the time.
[00:02:37.920 --> 00:02:40.800]   We plan to move close to our family this spring,
[00:02:40.800 --> 00:02:42.960]   but my boss recently offered me a promotion
[00:02:42.960 --> 00:02:46.120]   that I would need to move to a different city for.
[00:02:46.120 --> 00:02:48.680]   It's a vice president, executive-level role
[00:02:48.680 --> 00:02:51.240]   that would roughly double my salary,
[00:02:51.240 --> 00:02:52.640]   come with a much larger bonus,
[00:02:52.640 --> 00:02:54.980]   and would also include some ownership in a company
[00:02:54.980 --> 00:02:57.980]   that is likely to IPO in the next year.
[00:02:57.980 --> 00:02:58.820]   - Awesome.
[00:02:58.820 --> 00:03:00.740]   - Thanks.
[00:03:00.740 --> 00:03:02.940]   We saved a lot of money in our 20s.
[00:03:02.940 --> 00:03:04.300]   Pretty comfortable.
[00:03:04.300 --> 00:03:06.300]   I also have a side business with a FinTech product
[00:03:06.300 --> 00:03:07.540]   that is about to hit the market,
[00:03:07.540 --> 00:03:09.820]   and I expect it to do really well.
[00:03:09.820 --> 00:03:12.220]   I really like the lifestyle of working remotely,
[00:03:12.220 --> 00:03:13.060]   but with the new job,
[00:03:13.060 --> 00:03:15.820]   I would need to go into the office two or three days a week.
[00:03:15.820 --> 00:03:17.060]   Not really a big deal.
[00:03:17.060 --> 00:03:19.500]   My initial thought, though, was to turn the position down
[00:03:19.500 --> 00:03:21.220]   so that we could still move kind of close to our family
[00:03:21.220 --> 00:03:22.340]   like we intended,
[00:03:22.340 --> 00:03:24.320]   but after sitting with it for a while,
[00:03:24.320 --> 00:03:25.920]   I'm kind of wondering if I'm crazy
[00:03:25.920 --> 00:03:27.920]   for not taking a role like this,
[00:03:27.920 --> 00:03:31.180]   especially since it's the first quarter of my career.
[00:03:31.180 --> 00:03:34.760]   Certainly be among the youngest VPs in the industry,
[00:03:34.760 --> 00:03:36.640]   and the title could lend some additional credibility
[00:03:36.640 --> 00:03:38.200]   to my side venture,
[00:03:38.200 --> 00:03:39.920]   and would absolutely make it easier
[00:03:39.920 --> 00:03:42.960]   to get another VP gig at any point in my life after this.
[00:03:42.960 --> 00:03:44.680]   So, three quick questions.
[00:03:44.680 --> 00:03:49.440]   Would I be crazy for not taking this if I decided not to,
[00:03:49.440 --> 00:03:51.400]   or would I be crazy for taking it?
[00:03:51.400 --> 00:03:52.820]   Either way, I guess.
[00:03:52.820 --> 00:03:56.540]   If I were to take the job for a year or two,
[00:03:56.540 --> 00:03:58.060]   just to get the street cred,
[00:03:58.060 --> 00:04:02.340]   and then would moving a two-year-old
[00:04:02.340 --> 00:04:05.380]   and a seven-month-old out and then back
[00:04:05.380 --> 00:04:06.700]   be an okay thing to do?
[00:04:06.700 --> 00:04:07.580]   I think it is,
[00:04:07.580 --> 00:04:10.500]   but it might be nice to hear somebody else say that.
[00:04:10.500 --> 00:04:12.980]   And then finally, if I were to negotiate a schedule
[00:04:12.980 --> 00:04:15.700]   where I could be in the new city for a month
[00:04:15.700 --> 00:04:17.780]   and then back home for one to two months,
[00:04:17.780 --> 00:04:20.340]   would moving my family back and forth that often
[00:04:20.340 --> 00:04:23.260]   for a couple of years be irresponsible in your opinion?
[00:04:23.260 --> 00:04:27.840]   - When you talk about moving your family
[00:04:27.840 --> 00:04:31.400]   to be back home or close to the rest of your family,
[00:04:31.400 --> 00:04:35.640]   specifically, which family members are you referring to?
[00:04:35.640 --> 00:04:37.960]   How many of them are there?
[00:04:37.960 --> 00:04:39.680]   And what does close mean?
[00:04:39.680 --> 00:04:42.320]   - Good question.
[00:04:42.320 --> 00:04:44.200]   Yeah, so it's basically everyone.
[00:04:44.200 --> 00:04:45.640]   It's both of our parents.
[00:04:45.640 --> 00:04:47.760]   So, all the grandparents,
[00:04:47.760 --> 00:04:51.200]   all of our siblings, and their children.
[00:04:51.200 --> 00:04:56.200]   And we would be within about two hours of them initially,
[00:04:56.200 --> 00:04:59.500]   'cause we were gonna move to our vacation property
[00:04:59.500 --> 00:05:01.180]   for a year or two.
[00:05:01.180 --> 00:05:02.300]   We have a lot of projects going on out there.
[00:05:02.300 --> 00:05:04.940]   So, it'd be easily within a weekend drive,
[00:05:04.940 --> 00:05:06.760]   whereas we are not now.
[00:05:06.760 --> 00:05:10.420]   With about three to four years out
[00:05:10.420 --> 00:05:12.940]   when my older son starts kindergarten,
[00:05:12.940 --> 00:05:15.640]   we would move probably back into the same county.
[00:05:17.100 --> 00:05:17.940]   - Okay.
[00:05:17.940 --> 00:05:22.380]   First thing is, I don't know how to answer the question
[00:05:22.380 --> 00:05:25.020]   of living close to family
[00:05:25.020 --> 00:05:29.980]   in any kind of financial framework.
[00:05:29.980 --> 00:05:32.040]   And I don't know that I have any kind
[00:05:32.040 --> 00:05:34.540]   of broadly applicable framework.
[00:05:34.540 --> 00:05:36.380]   So, let me just kind of lay out a couple of thoughts
[00:05:36.380 --> 00:05:39.980]   to consider as we talk about it.
[00:05:39.980 --> 00:05:45.980]   First, let's acknowledge that moving close to family
[00:05:46.380 --> 00:05:49.580]   would ordinarily be considered by most people
[00:05:49.580 --> 00:05:51.900]   a positive thing to do,
[00:05:51.900 --> 00:05:54.580]   unless there's some kind of dysfunctional
[00:05:54.580 --> 00:05:56.620]   or toxic family, et cetera.
[00:05:56.620 --> 00:05:59.260]   Generally speaking, we appreciate that we want
[00:05:59.260 --> 00:06:02.300]   to be close to those that we're most dear to,
[00:06:02.300 --> 00:06:05.580]   that we love those who we're most dear to.
[00:06:05.580 --> 00:06:08.860]   And so, that generally, I think, is a positive thing.
[00:06:08.860 --> 00:06:11.420]   And the fact that all of your family is together
[00:06:11.420 --> 00:06:14.740]   in one place, meaning both sides of the family,
[00:06:14.740 --> 00:06:18.500]   across the board, that creates an enormous attraction
[00:06:18.500 --> 00:06:22.860]   because those relationships for you and for your wife
[00:06:22.860 --> 00:06:24.500]   and for your children, those relationships
[00:06:24.500 --> 00:06:26.640]   will be very productive and helpful,
[00:06:26.640 --> 00:06:30.780]   especially in these early years of you having some help,
[00:06:30.780 --> 00:06:33.540]   some relief, interactions, friends,
[00:06:33.540 --> 00:06:36.380]   people that you know well, et cetera.
[00:06:36.380 --> 00:06:39.040]   So, that's a positive, beneficial thing.
[00:06:40.820 --> 00:06:43.140]   I don't know that that is always
[00:06:43.140 --> 00:06:45.380]   the determining factor, though.
[00:06:45.380 --> 00:06:46.720]   I've wrestled with this a lot.
[00:06:46.720 --> 00:06:49.380]   I don't currently live close to my family,
[00:06:49.380 --> 00:06:52.420]   and I've repeatedly questioned my own motives
[00:06:52.420 --> 00:06:54.020]   'cause I could live anywhere.
[00:06:54.020 --> 00:06:58.740]   And the question is, why don't I live close to my family?
[00:06:58.740 --> 00:07:00.860]   If I believe what I just said, which I do,
[00:07:00.860 --> 00:07:03.220]   that living near family is useful and helpful
[00:07:03.220 --> 00:07:06.620]   and productive, et cetera, then why don't I, myself,
[00:07:06.620 --> 00:07:08.460]   at this time, live close to my family?
[00:07:08.460 --> 00:07:11.220]   Part of it is that I did for a long time,
[00:07:11.220 --> 00:07:15.380]   and without getting into my story,
[00:07:15.380 --> 00:07:17.620]   just saying that I guess the reason
[00:07:17.620 --> 00:07:21.060]   is you need to have some kind of strong reason not to.
[00:07:21.060 --> 00:07:22.900]   And so, there can be many reasons,
[00:07:22.900 --> 00:07:25.300]   and no one is out here judging your decisions,
[00:07:25.300 --> 00:07:26.700]   but you'd wanna have some reason
[00:07:26.700 --> 00:07:29.820]   as to why you're not living close to family.
[00:07:29.820 --> 00:07:32.060]   And you have something of a reason,
[00:07:32.060 --> 00:07:33.940]   and that's what you're wrestling with.
[00:07:33.940 --> 00:07:37.100]   You didn't have a great alternative choice,
[00:07:37.100 --> 00:07:39.180]   and so the previous plan was move close to family.
[00:07:39.180 --> 00:07:41.800]   Now, all of a sudden, you've got a really strong job offer,
[00:07:41.800 --> 00:07:43.020]   can advance your career,
[00:07:43.020 --> 00:07:45.180]   could possibly be a shorter-term thing.
[00:07:45.180 --> 00:07:47.100]   Now you have a good, compelling reason
[00:07:47.100 --> 00:07:50.140]   to consider an alternative.
[00:07:50.140 --> 00:07:51.940]   And I'm not gonna be the guy to tell you
[00:07:51.940 --> 00:07:53.660]   what you should or shouldn't do,
[00:07:53.660 --> 00:07:58.260]   just that it's fine, I think, to consider it as you are.
[00:07:58.260 --> 00:08:00.020]   And at the end of the day,
[00:08:00.020 --> 00:08:02.380]   the basic thought that I have on that subject
[00:08:02.380 --> 00:08:06.660]   is that living close to family doesn't seem to me
[00:08:06.660 --> 00:08:09.460]   like a goal in and of itself
[00:08:09.460 --> 00:08:13.820]   that really should make the difference.
[00:08:13.820 --> 00:08:16.100]   And I've wrestled with this a lot with my own children,
[00:08:16.100 --> 00:08:19.380]   is that is my goal in raising children,
[00:08:19.380 --> 00:08:22.960]   is my goal to raise them so that they can live next to me
[00:08:22.960 --> 00:08:24.980]   for the rest of their life?
[00:08:24.980 --> 00:08:27.740]   And when I put it in kind of a blunt and crass way,
[00:08:27.740 --> 00:08:28.700]   I think most people would say,
[00:08:28.700 --> 00:08:31.180]   "Well, no, that's not my goal."
[00:08:31.180 --> 00:08:32.500]   So what is my goal?
[00:08:32.500 --> 00:08:35.660]   Well, I want to enjoy relationship with my children,
[00:08:35.660 --> 00:08:37.700]   but I also want my children to do something
[00:08:37.700 --> 00:08:38.780]   and to impact the world.
[00:08:38.780 --> 00:08:39.620]   We're here on mission.
[00:08:39.620 --> 00:08:41.180]   We've got a job to do.
[00:08:41.180 --> 00:08:43.440]   And so that's the standard
[00:08:43.440 --> 00:08:45.100]   that I'm gonna apply to my own children.
[00:08:45.100 --> 00:08:47.580]   I'm gonna say that I'm not bringing you into the world
[00:08:47.580 --> 00:08:49.240]   so that you can be my next-door neighbors
[00:08:49.240 --> 00:08:51.180]   as our highest and best goal.
[00:08:51.180 --> 00:08:52.700]   I'm bringing you into the world
[00:08:52.700 --> 00:08:54.220]   so that you can serve mankind
[00:08:54.220 --> 00:08:56.300]   so that we can transform the world.
[00:08:56.300 --> 00:08:57.660]   We're on a mission.
[00:08:57.660 --> 00:09:00.200]   And so to me, in that light,
[00:09:00.200 --> 00:09:03.900]   it seems perfectly reasonable for me to look forward
[00:09:03.900 --> 00:09:06.900]   to close relationships with my children,
[00:09:06.900 --> 00:09:08.900]   but I'm not gonna hold my children
[00:09:08.900 --> 00:09:13.900]   to some standard that exists in my mind
[00:09:13.900 --> 00:09:17.620]   that somehow the height of family goals and future
[00:09:17.620 --> 00:09:20.060]   is to be my next-door neighbor.
[00:09:20.060 --> 00:09:21.640]   That's not the goal.
[00:09:21.640 --> 00:09:24.340]   The goal is that you do something in the world
[00:09:24.340 --> 00:09:26.180]   and that you fulfill your purpose in the world.
[00:09:26.180 --> 00:09:27.580]   God put you here for a reason
[00:09:27.580 --> 00:09:29.780]   and you have a purpose, something to do,
[00:09:29.780 --> 00:09:31.140]   and I'm gonna support you in that.
[00:09:31.140 --> 00:09:32.900]   And if that means we can do that,
[00:09:32.900 --> 00:09:33.980]   being my next-door neighbor
[00:09:33.980 --> 00:09:36.500]   and laboring together in something, wonderful.
[00:09:36.500 --> 00:09:37.660]   And if that means that you're gonna go
[00:09:37.660 --> 00:09:39.260]   to the other side of the world
[00:09:39.260 --> 00:09:40.920]   and do something on the other side of the world,
[00:09:40.920 --> 00:09:42.220]   absolutely, I'm gonna support you.
[00:09:42.220 --> 00:09:44.940]   And we're gonna look to enjoy as much fellowship
[00:09:44.940 --> 00:09:49.740]   and relationship between us as we possibly can.
[00:09:49.740 --> 00:09:50.700]   That would be the first thing.
[00:09:50.700 --> 00:09:51.620]   The second thing is,
[00:09:51.620 --> 00:09:54.060]   do I need my family at this point in time?
[00:09:54.060 --> 00:09:55.940]   And so you got a wife with a two-year-old
[00:09:55.940 --> 00:09:57.580]   and a seven-month-old.
[00:09:57.580 --> 00:09:59.460]   Let's say you have another baby next year.
[00:09:59.460 --> 00:10:01.660]   All of a sudden, her life's pretty intense.
[00:10:01.660 --> 00:10:05.620]   And so there may be a phase of life
[00:10:05.620 --> 00:10:07.500]   in which she really needs some help.
[00:10:07.500 --> 00:10:09.380]   And maybe being near family
[00:10:09.380 --> 00:10:11.860]   could be a really important component of that.
[00:10:11.860 --> 00:10:13.460]   Or it might be the opposite.
[00:10:13.460 --> 00:10:15.220]   It might be that other things are better.
[00:10:15.220 --> 00:10:16.500]   So you should always look at your family,
[00:10:16.500 --> 00:10:17.500]   look at your wife, just ask,
[00:10:17.500 --> 00:10:19.980]   do we need our family's help at this point in time?
[00:10:19.980 --> 00:10:21.140]   But I don't think that the goal
[00:10:21.140 --> 00:10:24.140]   is to always be specifically there.
[00:10:24.140 --> 00:10:25.420]   That's not the life goal.
[00:10:25.420 --> 00:10:26.920]   And so if there's purpose
[00:10:26.920 --> 00:10:29.140]   in your making an alternative choice
[00:10:29.140 --> 00:10:31.820]   and one of the costs is going to be distance
[00:10:31.820 --> 00:10:33.580]   in your family relationships,
[00:10:33.580 --> 00:10:36.260]   to me, that seems an acceptable decision
[00:10:36.260 --> 00:10:37.820]   if that's what you decide.
[00:10:37.820 --> 00:10:41.580]   The reason I ask about distance is quite simply,
[00:10:41.580 --> 00:10:44.500]   I think there's an enormous difference
[00:10:44.500 --> 00:10:46.900]   in the lifestyle that you have
[00:10:46.900 --> 00:10:49.220]   if you're two hours away from family
[00:10:49.220 --> 00:10:52.980]   versus if you are 15 minutes away from family
[00:10:52.980 --> 00:10:56.740]   versus if you are three-minute walk away from family.
[00:10:56.740 --> 00:10:59.140]   And what I have experienced
[00:10:59.140 --> 00:11:00.860]   and observed from a lot of people
[00:11:00.860 --> 00:11:05.220]   is that the idea of being close to family
[00:11:05.220 --> 00:11:08.100]   actually, in reality, turns out to be,
[00:11:08.100 --> 00:11:10.620]   well, we see each other once a month.
[00:11:10.620 --> 00:11:13.340]   And you say, well, is this really the key?
[00:11:13.340 --> 00:11:16.460]   And then instead of actually doing something together,
[00:11:16.460 --> 00:11:19.260]   being intimately involved in one another's lives
[00:11:19.260 --> 00:11:21.100]   and pursuing similar goals,
[00:11:21.100 --> 00:11:24.420]   it often turns into, well, we watch the Super Bowl together
[00:11:24.420 --> 00:11:25.780]   and that's about it.
[00:11:25.780 --> 00:11:28.100]   And we have these superficial relationships
[00:11:28.100 --> 00:11:29.700]   and superficial contact.
[00:11:29.700 --> 00:11:32.740]   And so you should judge your family relationships
[00:11:32.740 --> 00:11:34.980]   and ask, is there going to be something
[00:11:34.980 --> 00:11:37.980]   where we're genuinely going to be working together
[00:11:37.980 --> 00:11:39.420]   in a close way,
[00:11:39.420 --> 00:11:42.020]   or are we just going to be living in the same town?
[00:11:42.020 --> 00:11:43.940]   And if you're two hours away,
[00:11:43.940 --> 00:11:45.740]   you're probably not seeing them weekly.
[00:11:45.740 --> 00:11:46.900]   If you are seeing them weekly,
[00:11:46.900 --> 00:11:48.740]   it's going to feel like a real burden
[00:11:48.740 --> 00:11:51.260]   and it's going to take real effort for you to say,
[00:11:51.260 --> 00:11:52.180]   on Saturday morning,
[00:11:52.180 --> 00:11:53.940]   we're going to drive over to the next town over.
[00:11:53.940 --> 00:11:54.980]   On Sunday morning, we're going to drive
[00:11:54.980 --> 00:11:56.580]   to the next two hours away.
[00:11:56.580 --> 00:11:57.900]   And that's something you're going to do
[00:11:57.900 --> 00:11:59.220]   once or twice a month.
[00:11:59.220 --> 00:12:01.580]   So now all of a sudden you're down quite a lot.
[00:12:01.580 --> 00:12:04.100]   And so in terms of strategy,
[00:12:04.100 --> 00:12:07.300]   my point is that if you can quite literally live
[00:12:07.300 --> 00:12:09.420]   walking distance to your parents
[00:12:09.420 --> 00:12:11.900]   so that your children can just run in
[00:12:11.900 --> 00:12:13.500]   and out of their house all the time,
[00:12:13.500 --> 00:12:15.300]   and anytime you need to step out,
[00:12:15.300 --> 00:12:17.100]   you can call them over to take care of the children.
[00:12:17.100 --> 00:12:19.500]   And maybe you send your six-year-old over
[00:12:19.500 --> 00:12:22.820]   to work with grandpa on his math exercises, et cetera.
[00:12:22.820 --> 00:12:27.820]   That's a much more worthy being close to family
[00:12:27.820 --> 00:12:31.260]   than is being 20 minutes away or being two hours away.
[00:12:31.260 --> 00:12:34.620]   And so that's why I ask those questions.
[00:12:34.620 --> 00:12:37.140]   Now, to the specific things,
[00:12:37.140 --> 00:12:39.340]   are you crazy to take or to not take?
[00:12:39.340 --> 00:12:42.260]   No, I don't think you're crazy to take or to not take.
[00:12:42.260 --> 00:12:44.700]   You are young and your career
[00:12:44.700 --> 00:12:47.620]   is an enormous component of your life.
[00:12:47.620 --> 00:12:51.380]   And it is not wrong to prioritize career advancement.
[00:12:51.380 --> 00:12:55.980]   Career advancement and your accepting responsibility
[00:12:55.980 --> 00:12:58.100]   when it is offered to you,
[00:12:58.100 --> 00:13:00.020]   that is an important component
[00:13:00.020 --> 00:13:02.260]   of why you're here on this earth.
[00:13:02.260 --> 00:13:06.860]   Certainly the money and the additional financial power
[00:13:06.860 --> 00:13:09.820]   that you accumulate with higher salary
[00:13:09.820 --> 00:13:11.700]   and with more savings,
[00:13:11.700 --> 00:13:15.460]   that will be an important component of your work.
[00:13:15.460 --> 00:13:18.580]   But also just simply having more power
[00:13:18.580 --> 00:13:21.740]   and more status and authority in your company
[00:13:21.740 --> 00:13:24.460]   and in your career is an important thing for you to embrace,
[00:13:24.460 --> 00:13:27.020]   especially as young as you are.
[00:13:27.020 --> 00:13:30.700]   Because most careers properly managed
[00:13:30.700 --> 00:13:33.260]   work on a ratcheting mechanism,
[00:13:33.260 --> 00:13:35.660]   is that once you reach a certain status,
[00:13:35.660 --> 00:13:39.260]   a certain job description, I'm a vice president of XYZ,
[00:13:39.260 --> 00:13:42.260]   a certain salary, a certain type of work environment,
[00:13:42.260 --> 00:13:45.580]   then you're often not going to go beneath that.
[00:13:45.580 --> 00:13:48.700]   And for you to accomplish your purpose in life,
[00:13:48.700 --> 00:13:51.460]   as long as you don't feel like you're in the wrong career
[00:13:51.460 --> 00:13:53.540]   or the wrong business or something like that,
[00:13:53.540 --> 00:13:55.460]   you want to embrace responsibility
[00:13:55.460 --> 00:13:56.940]   whenever it's offered to you.
[00:13:56.940 --> 00:14:00.260]   And so I didn't have, years ago,
[00:14:00.260 --> 00:14:02.540]   this is a major change that I made in the last 10 years.
[00:14:02.540 --> 00:14:04.860]   Years ago, I thought that the point of working
[00:14:04.860 --> 00:14:08.180]   was to get financially independent so I could quit working.
[00:14:08.180 --> 00:14:09.380]   I now don't see it that way.
[00:14:09.380 --> 00:14:10.820]   And I think I was foolish and naive
[00:14:10.820 --> 00:14:14.660]   to formally even consider that as an appropriate scenario.
[00:14:14.660 --> 00:14:16.660]   Rather, you need to bear responsibility,
[00:14:16.660 --> 00:14:19.940]   and bearing responsibility in society
[00:14:19.940 --> 00:14:22.460]   and in your community and in your company, et cetera,
[00:14:22.460 --> 00:14:26.220]   is going to mean saying yes to additional responsibility
[00:14:26.220 --> 00:14:28.420]   when it's offered to you.
[00:14:28.420 --> 00:14:31.140]   And so your default answer to that should be yes.
[00:14:31.140 --> 00:14:34.620]   And it's only if there's a strong, compelling reason
[00:14:34.620 --> 00:14:38.020]   not to do that, as in, my wife is sick and dying
[00:14:38.020 --> 00:14:39.100]   and I've got to care for her,
[00:14:39.100 --> 00:14:42.220]   or my children are heading into a ditch
[00:14:42.220 --> 00:14:43.540]   and I got to rescue them,
[00:14:43.540 --> 00:14:47.020]   or my parents desperately need me, or something like that.
[00:14:47.020 --> 00:14:49.060]   Then the general default should be say yes
[00:14:49.060 --> 00:14:53.340]   to more responsibility because that will broaden your impact
[00:14:53.340 --> 00:14:56.980]   in your family, your community, and in the world around.
[00:14:56.980 --> 00:14:58.780]   And it's a good thing.
[00:14:58.780 --> 00:15:00.940]   Number two, if you work for one or two more years
[00:15:00.940 --> 00:15:03.060]   and then move, would that work?
[00:15:03.060 --> 00:15:04.180]   I think absolutely.
[00:15:04.180 --> 00:15:06.020]   Now, you should consider, of course,
[00:15:06.020 --> 00:15:07.460]   things like the age of your parents.
[00:15:07.460 --> 00:15:09.180]   Are your parents younger or older?
[00:15:09.180 --> 00:15:11.260]   We, none of us, know how long our parents would live.
[00:15:11.260 --> 00:15:15.460]   But if your parents are, say, 50 years old,
[00:15:15.460 --> 00:15:17.220]   and there's a decent chance
[00:15:17.220 --> 00:15:18.940]   that they're gonna have a long and healthy life,
[00:15:18.940 --> 00:15:22.260]   then now it's easier for you to stay away
[00:15:22.260 --> 00:15:25.020]   for another couple of years until you make this move.
[00:15:25.020 --> 00:15:27.140]   If your parents are 99 years old,
[00:15:27.140 --> 00:15:28.820]   well, and they don't know your children,
[00:15:28.820 --> 00:15:32.620]   then now there's more of a reason for you to move closer.
[00:15:32.620 --> 00:15:34.500]   But doing this for one or two more years,
[00:15:34.500 --> 00:15:38.100]   I think is absolutely, absolutely great.
[00:15:38.100 --> 00:15:42.620]   I don't think that there's any reason to give much thought
[00:15:42.620 --> 00:15:46.900]   to what children need in a specific location
[00:15:46.900 --> 00:15:49.780]   until you reach the early teenage years,
[00:15:49.780 --> 00:15:52.340]   something like 12 years old or so.
[00:15:52.340 --> 00:15:57.340]   And what I mean by that is that if you have a four-year-old
[00:15:57.340 --> 00:15:59.980]   and you move your four-year-old across the country,
[00:15:59.980 --> 00:16:02.300]   and your four-year-old's best friend
[00:16:02.300 --> 00:16:05.780]   that he played with every day becomes someone else,
[00:16:05.860 --> 00:16:08.220]   is that harmful to the child?
[00:16:08.220 --> 00:16:09.780]   I don't think so.
[00:16:09.780 --> 00:16:11.780]   And I don't think that you need to worry too much
[00:16:11.780 --> 00:16:14.300]   about really almost any of those things
[00:16:14.300 --> 00:16:16.980]   until you, again, reach those early teen years
[00:16:16.980 --> 00:16:19.580]   where a child is starting to develop
[00:16:19.580 --> 00:16:21.140]   an independent vision of life,
[00:16:21.140 --> 00:16:23.500]   of what his life is going to look like
[00:16:23.500 --> 00:16:27.460]   after he passes out of your immediate family.
[00:16:27.460 --> 00:16:29.420]   And that's where you wanna be thoughtful about,
[00:16:29.420 --> 00:16:33.540]   how can I help this child enhance his career?
[00:16:33.540 --> 00:16:35.460]   How can I help him pursue the path
[00:16:35.460 --> 00:16:36.940]   that's gonna be best for him?
[00:16:36.940 --> 00:16:39.300]   I need to be respectful of his wishes
[00:16:39.300 --> 00:16:42.220]   and his vision for his life, things like that,
[00:16:42.220 --> 00:16:44.940]   in addition to just what's best for the family.
[00:16:44.940 --> 00:16:46.180]   But up until that point,
[00:16:46.180 --> 00:16:47.660]   I think that you should just consider
[00:16:47.660 --> 00:16:49.420]   your family unit as a whole,
[00:16:49.420 --> 00:16:50.900]   and you don't need to worry too much
[00:16:50.900 --> 00:16:53.740]   about moving people around, et cetera.
[00:16:53.740 --> 00:16:55.540]   You can figure out the best circumstances
[00:16:55.540 --> 00:16:57.900]   in any particular schedule.
[00:16:57.900 --> 00:17:00.100]   And then number three, negotiating the schedule
[00:17:00.100 --> 00:17:02.620]   for one month here, one month there, et cetera.
[00:17:02.620 --> 00:17:04.700]   I don't know, you would have to test that out.
