
[00:00:00.000 --> 00:00:22.200]   good afternoon thank you Eugene for the introduction so today I'm going to share
[00:06:43.320 --> 00:06:49.320]   and trade off that versus the context window for example um and through many iterations we reach the
[00:06:49.320 --> 00:06:56.680]   right i think reach the right abstraction and interfaces that we can use to uh adjust our tokenization to
[00:06:56.680 --> 00:07:02.040]   different use cases for example you can imagine we have a token at one version of tokenization used for pre-training
[00:07:02.040 --> 00:07:06.760]   for fine-tuning against a specific application we apply slightly different tokenization
[00:07:06.760 --> 00:07:18.200]   um so moving up from the tokenization layer then becomes the model layers uh at high level
[00:07:18.200 --> 00:07:28.200]   uh from bottom to top we go through the uh event representation embedding layer transformer layer and the objective layer
[00:07:28.200 --> 00:07:36.200]   uh so event representation as we just briefly touched upon uh many information in the event about a high
[00:07:36.200 --> 00:07:43.640]   level you can break it down by when where and what when that even happened that's about timing coding and
[00:07:43.640 --> 00:07:48.520]   where it happened it's about a physical location your locale country so and so forth but also about device
[00:07:49.080 --> 00:07:57.880]   about the uh canvas or which row which page this action happened uh and then uh what basically
[00:07:57.880 --> 00:08:04.040]   is about the target entity or the title which title you interacted with what is the interaction how long
[00:08:04.760 --> 00:08:13.480]   and uh any that kind of information associated with the action so um that's where the we need to decide
[00:08:13.480 --> 00:08:20.440]   what information we need to keep what we should drop so on and so forth uh moving one layer above uh the
[00:08:20.440 --> 00:08:26.760]   embedding feature transformation layer uh one thing that needs to be pointed out is that for recommendation
[00:08:26.760 --> 00:08:31.800]   we need to combine id embedding learning with other semantic content information
[00:08:31.800 --> 00:08:37.720]   if you only have id embedding learn from scratch in the model then you have problem with costar
[00:08:37.720 --> 00:08:43.000]   meaning that titles the model hasn't seen during training it doesn't know how to deal with it at
[00:08:43.000 --> 00:08:51.400]   inference time so we need to have semantic content information to be a comp complementary to those id embeddings
[00:08:52.280 --> 00:08:57.480]   this is not a problem for llm but very commonly encountered a costar problem for rec recommendation
[00:08:57.480 --> 00:09:03.880]   system uh transformer layer i think there's no need to talk too much into this in terms of architecture
[00:09:03.880 --> 00:09:10.280]   choices optimization so on and so forth the only thing that i want to point out is that uh we are using
[00:09:10.280 --> 00:09:15.880]   the hidden state output from this layer as our user representation which is one of the primary goal of
[00:09:15.880 --> 00:09:22.040]   the foundation model is to learn a good long-term user representation then uh we need to put this
[00:09:22.040 --> 00:09:28.280]   into context then things to consider are for example how stable is our user user representation given
[00:09:28.280 --> 00:09:33.960]   our user profile user interaction history keep changing how do we guarantee or maintain the stability of
[00:09:33.960 --> 00:09:39.880]   their representation and what kind of aggregation we should use you can think of broadly aggregate
[00:09:39.880 --> 00:09:47.080]   across the time dimension in terms of sequence dimension or aggregate uh across the layers you have
[00:09:47.080 --> 00:09:51.880]   multiple self-attention layer how do you aggregate that um and then lastly
[00:09:51.880 --> 00:09:57.240]   do we need to do explicit adaptation of the representation based on our downstream objective
[00:09:57.240 --> 00:09:58.120]   to fine tune it
[00:09:58.120 --> 00:10:06.680]   so then we move to last uh the very top layer uh objective loss function this is also very interesting
[00:10:06.680 --> 00:10:12.600]   in the sense that it's much richer than llm because you can see first we use uh instead of one
[00:10:12.600 --> 00:10:19.000]   sequence but multiple sequence to represent the output because you can have a sequence of entity ids
[00:10:19.000 --> 00:10:27.400]   that's your like uh next token prediction softmax or sample softmax but then we have many many other facets
[00:10:27.400 --> 00:10:34.520]   of field of each event that can be also used as a target okay so it could be for things like uh action
[00:10:34.520 --> 00:10:40.280]   type it could be some aspect of the entities metadata like entity type young round language so on and so
[00:10:40.280 --> 00:10:47.000]   forth and also about your action like the prediction of the duration or uh the device where the action
[00:10:47.000 --> 00:10:55.880]   happened or the time when the next uh user play will happen so those are all legitimate targets or labels
[00:10:55.880 --> 00:11:00.840]   depends on your use case you can use them to do the fine tuning now instead of so you can cast the
[00:11:00.840 --> 00:11:08.440]   problem as a multi-task learning problem multi-head or hierarchical prediction but you can also use them just as your
[00:11:08.440 --> 00:11:14.120]   your weights your rewards or your mask on the loss function so in terms of to adapt the model to
[00:11:14.120 --> 00:11:21.720]   zooming into one subcategory of uh user behavior you want to you want the model to learn okay so that's
[00:11:21.720 --> 00:11:30.680]   about the model architecture that i want to talk about um so does it scale the first question a part of the
[00:11:30.680 --> 00:11:35.880]   first hypothesis we want to answer is that does a school a scaling law apply and i think the answer is
[00:11:35.880 --> 00:11:44.120]   yes so this is over the uh roughly two to two to two and a half a years we were scaling up and then we
[00:11:44.120 --> 00:11:52.840]   constantly still see the gain uh from only on the order of 10 million profile or a few million profile to now on
[00:11:52.840 --> 00:12:01.720]   the order of one billion uh model parameters we scale up for the data accordingly um now we stop
[00:12:01.720 --> 00:12:09.080]   here because we can still keep going but uh as you may realize that recommendation system usually have much
[00:12:09.080 --> 00:12:20.840]   stringent latency cost requirement so scaling up scaling up more requires to also distill back yeah but certainly i think this is not the end of the scaling law
[00:12:20.840 --> 00:12:26.840]   uh before we're wrapping up the data and training session uh discussion i would like to highlight some of the learnings i think quite
[00:12:26.840 --> 00:12:34.360]   interesting we borrow from llm this is not exhaustive list but uh i think very interesting to me
[00:12:34.360 --> 00:12:40.520]   uh the top three one is multi-token prediction you may have seen this in the deep seek paper so
[00:12:40.520 --> 00:12:46.360]   and so forth so you get uh implementation wise you can use multi-head multi-label so and uh different
[00:12:46.360 --> 00:12:50.760]   implementation flavor but the goal is really to force the model to be less mild
[00:12:50.760 --> 00:12:56.680]   biopic more robust to serving time shift because you have a time gap between your training and serving
[00:12:56.680 --> 00:13:02.920]   and also force the model to targets long-term user satisfaction and long-term user behavior instead
[00:13:02.920 --> 00:13:10.360]   of just focus on next action i we have observed in a very notable uh metrics improvement by doing that
[00:13:11.400 --> 00:13:17.480]   uh the second is multi-layer representation which i touched upon on the profile representation so this
[00:13:17.480 --> 00:13:24.200]   is also translated from llm aside of techniques of layer wise supervision self-distillation or multi-layer
[00:13:24.200 --> 00:13:28.920]   output aggregation the goal here is really to make a better and more stable user representation
[00:13:30.680 --> 00:13:37.240]   lastly uh this is also should be no surprise long context window handling from truncated sliding window
[00:13:37.240 --> 00:13:44.440]   to sparse attention to progressively training uh longer and longer sequences uh to eventually all of
[00:13:44.440 --> 00:13:49.880]   the parallelism strategies so this is about more efficient training and maximize the learning
[00:13:51.640 --> 00:13:58.360]   okay so uh shift gear to talk about the serving and applications uh before the foundation model fm
[00:13:58.360 --> 00:14:05.800]   this is a roughly the algo stack we have for personalization many data many features many models
[00:14:05.800 --> 00:14:11.160]   independently developed each serving multiple or one canvases or applications we call
[00:14:11.160 --> 00:14:19.400]   now with the foundation model we consolidate largely the data and representation layer especially the user
[00:14:19.400 --> 00:14:27.080]   representation as well as content representation in the personalization domain model layer as well because
[00:14:27.080 --> 00:14:33.400]   model now each application model now are built on top of fm so become a thinner layer instead of a very
[00:14:33.400 --> 00:14:39.960]   standalone full-fledged model trained from scratch so how do the various models utilize the foundation
[00:14:39.960 --> 00:14:47.720]   model there are three main approaches or consumption patterns the first is foundation model can be
[00:14:47.720 --> 00:14:53.320]   integrated as a sub graph within the downstream model additionally the content embeddings learned from the
[00:14:53.320 --> 00:14:58.680]   foundation model can be integrated as the embedding lookup layers so downstream model is a newer network
[00:14:58.680 --> 00:15:10.440]   it may already have initially some of the sequence transformer tower or graph and then using a pre-trained
[00:15:10.440 --> 00:15:17.720]   foundation model model sub graph to directly replace that uh second is that uh we can push out embeddings
[00:15:17.720 --> 00:15:22.600]   this is no surprise from both content side and entity embedding as well as member embeddings
[00:15:22.600 --> 00:15:29.480]   uh the only uh the main concern here of course is how we want to ref how frequently we want to refresh the
[00:15:29.480 --> 00:15:38.840]   member embeddings and how we make sure they are stable uh and push them to the centralized embedding store and this of course allow far more uh
[00:15:38.840 --> 00:15:45.880]   uh wider use cases than just personalization because people analytics data scientists can also just
[00:15:45.880 --> 00:15:55.000]   fetch those embeddings directly to do the things that they want finally user can uh extract the models and
[00:15:55.000 --> 00:16:01.240]   fine-tune it for specific applications either fine-tune or they need to do distillation to meet the online
[00:16:01.240 --> 00:16:07.080]   serving requirement especially for those with very strict latency requirement
[00:16:07.080 --> 00:16:15.480]   to wrap up uh i want to show at high level the wings we accumulated over the last one year and a half
[00:16:15.480 --> 00:16:26.440]   by incorporating fm into various places so the blue bar represent how many applications have fm incorporated the green bar
[00:16:26.440 --> 00:16:32.680]   represent the a b test wings because in any application we may have multiple a b tests going on there
[00:16:32.680 --> 00:16:40.360]   to have wings so we see we indeed see high leverage of fm to bring about both a b test wings as well as
[00:16:40.360 --> 00:16:41.960]   infrastructure consolidation
[00:16:44.520 --> 00:16:51.880]   uh so i think the big back uh big bets are validated uh it is a scalable solution uh in terms of both in
[00:16:51.880 --> 00:16:59.080]   terms of a scalable scaled up the model with improved quality as well as making the whole infra consolidated
[00:16:59.080 --> 00:17:05.960]   and the scale uh to new applications to be much easier high leverage because it's a centralized learning
[00:17:05.960 --> 00:17:13.880]   innovation velocity also is faster because we allow a lot of newly launched applications to directly fine-tune
[00:17:13.880 --> 00:17:16.760]   the foundation model to launch the first experience
[00:17:16.760 --> 00:17:26.600]   so the current directions one is that um we want to have universal representation for heterogeneous
[00:17:26.600 --> 00:17:32.680]   entities this is uh as you can guess the semantic id and along those lines because we want to cover that
[00:17:32.680 --> 00:17:41.080]   as netflix expanding to very different very heterogeneous content types second is generative retrieval for
[00:17:41.080 --> 00:17:45.240]   collection recommendation right so instead of just recommending a single video be generative at
[00:17:45.240 --> 00:17:51.000]   inference time and serving time because you have a modest step decoding a lot of the consideration
[00:17:51.000 --> 00:17:56.520]   about business business rules or diversity for example can be naturally handled in the decoding process
[00:17:56.520 --> 00:18:05.080]   lastly faster adaptation through prompt tuning so this is also borrowed from llm can we just train some soft tokens
[00:18:05.080 --> 00:18:12.280]   uh so that at inference time we can directly swap in and out of those soft tokens to prompt the fm to behave differently
[00:18:12.280 --> 00:18:21.240]   so that is also a very promising direction that we are getting into all right that concludes my talk thank you for your attention and questions
[00:18:25.240 --> 00:18:35.640]   thank you um if you have any questions may i invite you to come to the mic in front um while we get our next speakers from mr kata get set up
[00:18:35.640 --> 00:18:45.320]   uh hi thank you for the talk uh since you get billions of users so except the recommendation system you
[00:18:45.320 --> 00:18:52.120]   you're maybe you're maybe you can do much more right so what's your cloud on that since i can just ask you to
[00:18:52.120 --> 00:19:00.280]   to predict who's the next president in the united states thank you um so i actually don't uh could you explain
[00:19:00.280 --> 00:19:05.000]   a little bit what do you mean by beyond recommendation do you mean the other personalization or other things
[00:19:05.000 --> 00:19:13.720]   um yeah yeah since you get kind of beating users preference so actually that that that preference is
[00:19:13.720 --> 00:19:20.200]   also been linked to what things they're buying or who they will vote for the next president so do you think
[00:19:20.200 --> 00:19:25.800]   your foundation model has that capability to expand not only recommendation what videos they want to
[00:19:25.800 --> 00:19:32.280]   look but what others they like or what's their opinions on anything else thank you yes so i think
[00:19:32.280 --> 00:19:40.760]   we are expanding to different uh i think entity type and also capture uh users taste from both on and
[00:19:40.760 --> 00:19:50.040]   off our platform i think that's a general trend that we're going to yes great thank you this was really
[00:19:50.040 --> 00:19:55.640]   helpful um question on and you might not be able to share it um for ipv reasons but whatever you can
[00:19:55.640 --> 00:20:01.880]   thoughts on graph models didn't i didn't hear a lot of that in your talks graphs and
[00:20:01.880 --> 00:20:07.720]   uh reinforcement learning any utilization there any benefits you saw any boost in performance and
[00:20:07.720 --> 00:20:15.160]   accuracy yeah that's a good question i think we have actually uh a dedicated team sub team doing graph
[00:20:15.160 --> 00:20:22.200]   model uh especially around our knowledge graph to cover the content space both on and off our platform in
[00:20:22.200 --> 00:20:29.800]   the whole entire entertainment ecosystem so we use actually a lot of embeddings for example from the graph
[00:20:29.800 --> 00:20:35.960]   graph model to co-start that's where i see i show those semantic embeddings that's where it comes from
[00:20:35.960 --> 00:20:42.760]   in terms of reinforcement learning yes as well especially where we consider sparse reward that we have on
[00:20:42.760 --> 00:20:50.040]   users from users action are pretty much sparse but we want to use them to guide how for example we generate
[00:20:50.040 --> 00:20:54.120]   the whole collection that's where we need to the whole collection that's where we need to consider how to use
[00:20:54.120 --> 00:21:02.600]   those reward to guide those uh process yeah i think one more question i'm sorry can i ask a two-part question
[00:21:02.600 --> 00:21:09.400]   sure i would be here and so we can also follow up yeah do you also use these unified representations as
[00:21:09.400 --> 00:21:18.280]   embedding features to downstream models you had a slide how you use the unified model yeah so uh the
[00:21:18.280 --> 00:21:25.400]   we so for the embeddings learning within our model we also expose the downstream to do and consume them
[00:21:25.400 --> 00:21:33.320]   uh we also have able to train our unified embedding we also have some upstream like just the for example
[00:21:33.320 --> 00:21:40.680]   the gn embeddings that those are also consumed to to do that last one is it fast yes
[00:21:41.480 --> 00:21:51.560]   uh hello uh in your embeddings are you just using when someone does an action or sorry for the in these
[00:21:51.560 --> 00:21:56.200]   embeddings you're just using metadata over the video to understand what they like or are you actually using
[00:21:56.200 --> 00:22:06.040]   like frame by frame of the video or second clips uh not yet we do have that from some other content group of our
[00:22:06.040 --> 00:22:12.360]   or organization but i think the trend will go there so we are not yet uh into very granular sub
[00:22:12.360 --> 00:22:18.680]   like clips level or view level we have those embeddings but not quite yet to incorporate yeah thank you
[00:22:18.680 --> 00:22:27.720]   thank you yesu please another round of applause for yesu

