
[00:00:00.000 --> 00:00:01.120]   Hey, everyone.
[00:01:07.440 --> 00:01:12.040]   We think this is one of the most consequential technologies
[00:01:12.040 --> 00:01:13.000]   of our time.
[00:01:13.000 --> 00:01:19.040]   And when we started the company in June 2022,
[00:01:19.040 --> 00:01:21.200]   our focus was to build a platform
[00:01:21.200 --> 00:01:27.360]   for open-source, independent, user-owned AI systems.
[00:01:27.360 --> 00:01:32.840]   One way to think about it is big labs, frontier model labs,
[00:01:32.840 --> 00:01:35.840]   have built their own platforms for developer platforms
[00:01:35.840 --> 00:01:37.080]   for their models.
[00:01:37.080 --> 00:01:41.640]   We think of Together as a platform for everything else,
[00:01:41.640 --> 00:01:44.520]   whether these are open models, whether these
[00:01:44.520 --> 00:01:47.280]   are models being built by companies
[00:01:47.280 --> 00:01:49.960]   that are owned by them.
[00:01:49.960 --> 00:01:53.400]   And our sort of X, Y, Z routes, we
[00:01:53.400 --> 00:01:58.120]   have a fairly deep decentralization and open ethos
[00:01:58.120 --> 00:02:04.360]   that kind of reflects in all our platform and strategy
[00:02:04.360 --> 00:02:06.000]   and business.
[00:02:06.000 --> 00:02:09.640]   And we also-- the way we structure our cloud
[00:02:09.640 --> 00:02:14.320]   is by combining data centers around the world.
[00:02:14.320 --> 00:02:19.440]   Instead of-- we are today not located in hyperscalers.
[00:02:19.440 --> 00:02:25.160]   We have built a footprint of AI supercomputers
[00:02:25.160 --> 00:02:28.440]   in this sort of a desegregated, decentralized manner.
[00:02:28.440 --> 00:02:30.400]   I know before Together, you were at Apple.
[00:02:30.400 --> 00:02:33.840]   So you go from the most walled garden, private,
[00:02:33.840 --> 00:02:37.920]   we-don't-say-anything company to we want everything to be open
[00:02:37.920 --> 00:02:40.120]   and everybody to know somebody.
[00:02:40.120 --> 00:02:43.200]   What maybe did you learn from the Apple way of being
[00:02:43.200 --> 00:02:44.360]   super close and polished?
[00:02:44.360 --> 00:02:46.520]   And maybe what are you taking now to Together
[00:02:46.520 --> 00:02:50.120]   to make it open, but also a very nice developer experience?
[00:02:50.120 --> 00:02:53.560]   One, sort of my background has been
[00:02:53.560 --> 00:02:56.400]   in open source for a long time.
[00:02:56.400 --> 00:02:58.160]   One of the first things I created
[00:02:58.160 --> 00:03:02.320]   was a collaborative spam filter.
[00:03:02.320 --> 00:03:04.400]   This was back in the day.
[00:03:04.400 --> 00:03:05.560]   It's called Vipple's Razor.
[00:03:05.560 --> 00:03:06.680]   It's called Vipple's Razor.
[00:03:06.680 --> 00:03:10.520]   And it became quite popular.
[00:03:10.520 --> 00:03:13.200]   And the first company I founded called CloudMark
[00:03:13.200 --> 00:03:17.640]   was built around taking open source
[00:03:17.640 --> 00:03:22.120]   and building both an open side of it
[00:03:22.120 --> 00:03:23.920]   and a commercial product around it.
[00:03:23.920 --> 00:03:27.800]   I think Apple is sort of very focused
[00:03:27.800 --> 00:03:34.320]   on providing this amazing experience to its customers,
[00:03:34.320 --> 00:03:39.000]   with most of the technology sort of hidden behind the product.
[00:03:39.000 --> 00:03:44.120]   And certainly the focus on fluidity
[00:03:44.120 --> 00:03:52.640]   and applying complex technology to make everyday things simple
[00:03:52.640 --> 00:03:54.920]   is something that Apple does really well.
[00:03:54.920 --> 00:03:57.280]   And that's been a sort of big part
[00:03:57.280 --> 00:03:59.200]   of how we think about our developer platforms.
[00:03:59.200 --> 00:04:01.240]   I think it informs it.
[00:04:01.240 --> 00:04:06.640]   The other thing is that during my years at Apple,
[00:04:06.640 --> 00:04:10.200]   we worked a lot on deep learning.
[00:04:10.200 --> 00:04:13.720]   And one of the things that was sort of very viscerally
[00:04:13.720 --> 00:04:17.560]   accessible to me was how well these systems worked.
[00:04:17.560 --> 00:04:22.520]   We built an open domain Q&A system.
[00:04:22.520 --> 00:04:29.400]   This was based on Facebook's LSTM paper in 2016.
[00:04:29.400 --> 00:04:33.760]   And it was remarkable, because we had a parallel system based
[00:04:33.760 --> 00:04:35.920]   on sort of information retrieval techniques, which
[00:04:35.920 --> 00:04:39.840]   were extremely complicated, didn't work that well.
[00:04:39.840 --> 00:04:42.880]   And this thing we wrote in a week
[00:04:42.880 --> 00:04:46.280]   was just an incredible performance.
[00:04:46.280 --> 00:04:50.320]   So I think some of those experiences,
[00:04:50.320 --> 00:04:55.680]   at least for me personally, sort of were creating this roadmap
[00:04:55.680 --> 00:05:02.320]   of how important and powerful this technology is.
[00:05:02.320 --> 00:05:07.160]   And when the scaling loss paper was published,
[00:05:07.160 --> 00:05:08.840]   that was very clear.
[00:05:08.840 --> 00:05:10.380]   In some ways, something very profound.
[00:05:10.380 --> 00:05:16.120]   We've never had algorithms that improve in capabilities
[00:05:16.120 --> 00:05:17.640]   but scale out.
[00:05:17.640 --> 00:05:22.840]   So this is almost new era of computing.
[00:05:22.840 --> 00:05:27.400]   And so that's been, I think, the influence of Apple,
[00:05:27.400 --> 00:05:33.680]   my ears at Apple, really, for me,
[00:05:33.680 --> 00:05:38.240]   crystallized the value of what we are doing together.
[00:05:38.240 --> 00:05:41.120]   And how did you decide to join forces?
[00:05:41.120 --> 00:05:44.880]   Because you did a postdoc with Chris Ray at Stanford.
[00:05:44.880 --> 00:05:46.560]   We already had three DAO from together,
[00:05:46.560 --> 00:05:49.400]   and we talked about Hazy.
[00:05:49.400 --> 00:05:52.440]   What was the meeting of the mind of, hey,
[00:05:52.440 --> 00:05:56.640]   I come from the more technical postdoc assistant professor
[00:05:56.640 --> 00:05:59.360]   background, and we'll get a more product thing.
[00:05:59.360 --> 00:06:01.800]   What got you excited to build this now?
[00:06:01.800 --> 00:06:03.200]   There's so many people.
[00:06:03.200 --> 00:06:05.560]   Yeah, so I think--
[00:06:05.560 --> 00:06:07.560]   so we have been working on this together, Chris,
[00:06:07.560 --> 00:06:09.840]   in the essentially last 10 years.
[00:06:09.840 --> 00:06:13.200]   So it was like, machine learning system 10 years ago
[00:06:13.200 --> 00:06:15.280]   was probably the graphic model, and then
[00:06:15.280 --> 00:06:17.760]   convolutional neural network, and then all the foundation
[00:06:17.760 --> 00:06:19.160]   model that we see today.
[00:06:19.160 --> 00:06:21.440]   But if you look at this, I think that fundamentally,
[00:06:21.440 --> 00:06:22.940]   the thing we are actually optimizing
[00:06:22.940 --> 00:06:24.400]   is actually not that different.
[00:06:24.400 --> 00:06:26.720]   It's always about data movement across, essentially,
[00:06:26.720 --> 00:06:27.920]   all the stacks.
[00:06:27.920 --> 00:06:30.520]   So when you do distributed computing,
[00:06:30.520 --> 00:06:32.840]   it's about communication across different machines.
[00:06:32.840 --> 00:06:34.600]   When you do, for example, flash attention,
[00:06:34.600 --> 00:06:36.920]   it's about data movement at a different, essentially,
[00:06:36.920 --> 00:06:38.320]   memory hierarchy.
[00:06:38.320 --> 00:06:40.800]   So we have been doing this in the last 10 years
[00:06:40.800 --> 00:06:43.160]   and seeing the field start grow, grow, grow.
[00:06:43.160 --> 00:06:46.960]   So we kind of feel the current kind
[00:06:46.960 --> 00:06:50.080]   of this wave of technology is actually the perfect time
[00:06:50.080 --> 00:06:52.600]   to actually bring all the research, essentially,
[00:06:52.600 --> 00:06:54.440]   into something real.
[00:06:54.440 --> 00:06:57.000]   And we are super lucky that we got introduced to Webhook,
[00:06:57.000 --> 00:06:57.520]   right?
[00:06:57.520 --> 00:07:01.280]   And yeah, and then we hope to join forces
[00:07:01.280 --> 00:07:03.920]   and bring this to real world.
[00:07:03.920 --> 00:07:04.840]   Yeah.
[00:07:04.840 --> 00:07:08.600]   Yeah, it's very interesting that--
[00:07:08.600 --> 00:07:11.520]   it's an unusual team of research and industry.
[00:07:11.520 --> 00:07:13.880]   You've been a third or fourth time founder now.
[00:07:13.880 --> 00:07:14.380]   [LAUGHS]
[00:07:14.380 --> 00:07:15.400]   Third time founder, yeah.
[00:07:15.400 --> 00:07:16.680]   Third time.
[00:07:16.680 --> 00:07:18.960]   And so what is your first order of business
[00:07:18.960 --> 00:07:20.480]   when you set up together?
[00:07:20.480 --> 00:07:23.720]   How do you sort of put something like this together?
[00:07:23.720 --> 00:07:24.440]   Oh, my god.
[00:07:24.440 --> 00:07:26.720]   I'm going to use this word so much.
[00:07:26.720 --> 00:07:35.760]   I think the-- I feel AI companies are really
[00:07:35.760 --> 00:07:37.200]   kind of driven by research.
[00:07:37.200 --> 00:07:43.040]   And it was actually like--
[00:07:43.040 --> 00:07:45.520]   Chris and I had been talking about how
[00:07:45.520 --> 00:07:48.440]   to reduce the cost of building models.
[00:07:48.440 --> 00:07:52.520]   That was-- we felt that there aren't really big data
[00:07:52.520 --> 00:07:54.960]   modes around foundation models.
[00:07:54.960 --> 00:07:58.800]   They are built from a subset of the web.
[00:07:58.800 --> 00:08:02.200]   What is difficult is the cost of capital to build these.
[00:08:02.200 --> 00:08:05.320]   And one of the ways in which you can reduce this cost
[00:08:05.320 --> 00:08:07.880]   is by making more efficient systems.
[00:08:07.880 --> 00:08:16.000]   So with that, it was really about finding the right set
[00:08:16.000 --> 00:08:17.680]   of co-founders and team.
[00:08:17.680 --> 00:08:21.280]   In fact, when Chris introduced me to Suhr,
[00:08:21.280 --> 00:08:24.120]   and I think within the first five minutes of talking
[00:08:24.120 --> 00:08:29.120]   to Suhr, I was like, we are starting this company.
[00:08:29.120 --> 00:08:34.640]   And our early focus was thinking about this more sort
[00:08:34.640 --> 00:08:40.800]   of disparate set of resources, GPUs around the internet.
[00:08:40.800 --> 00:08:43.200]   Can we use those to build a model?
[00:08:43.200 --> 00:08:49.080]   And we really have to compress communication for--
[00:08:49.080 --> 00:08:54.280]   when we do gradient averaging, there's just a lot of traffic.
[00:08:54.280 --> 00:08:57.200]   And if you can reduce that somehow,
[00:08:57.200 --> 00:08:59.400]   you sort of open up the possibility
[00:08:59.400 --> 00:09:03.360]   of using cheaper compute across the network.
[00:09:03.360 --> 00:09:09.760]   And Suhr's research for a decade has been in that subject.
[00:09:09.760 --> 00:09:15.880]   And from there, finding other folks in the network,
[00:09:15.880 --> 00:09:18.000]   I think there is generally a lot of excitement
[00:09:18.000 --> 00:09:20.920]   and philosophical alignment around what we are doing,
[00:09:20.920 --> 00:09:24.000]   which we publish papers.
[00:09:24.000 --> 00:09:27.240]   We publish open source libraries and code.
[00:09:27.240 --> 00:09:30.120]   We build open models.
[00:09:30.120 --> 00:09:37.760]   And I think a lot of people in academia in machine learning
[00:09:37.760 --> 00:09:40.920]   and NLP, that's really what they want to do.
[00:09:40.920 --> 00:09:45.960]   So I think that's been really a kind of kernel
[00:09:45.960 --> 00:09:49.320]   for composition of the company.
[00:09:49.320 --> 00:09:53.080]   And we are lucky to have, at this point,
[00:09:53.080 --> 00:09:56.000]   attracted some of the best researchers in the field.
[00:09:56.000 --> 00:09:57.880]   So I think that's the most important thing.
[00:09:57.880 --> 00:10:01.920]   And the rest of it is sort of driven
[00:10:01.920 --> 00:10:04.640]   by a couple of these philosophies
[00:10:04.640 --> 00:10:07.680]   around independent systems and decentralization
[00:10:07.680 --> 00:10:11.240]   and good developer interfaces.
[00:10:11.240 --> 00:10:12.560]   You want to make it accessible.
[00:10:12.560 --> 00:10:15.960]   That's just as important.
[00:10:15.960 --> 00:10:17.680]   And the rest follows from there, I think.
[00:10:17.680 --> 00:10:20.360]   I want to try and fill in some of the blanks
[00:10:20.360 --> 00:10:22.080]   in the history of Together.
[00:10:22.080 --> 00:10:23.880]   I think people come on your website today,
[00:10:23.880 --> 00:10:26.640]   and they say, you raised $100 million Series A.
[00:10:26.640 --> 00:10:29.880]   They're like, wow, these guys are like super legit company.
[00:10:29.880 --> 00:10:34.760]   But it feels like Red Pajama just came out a year ago.
[00:10:34.760 --> 00:10:37.360]   I remember we had Mike Conover in the studio,
[00:10:37.360 --> 00:10:39.480]   who had built Dolly at Databricks.
[00:10:39.480 --> 00:10:40.000]   And you--
[00:10:40.000 --> 00:10:40.720]   The same day, yeah.
[00:10:40.720 --> 00:10:42.200]   Yeah, you announced it literally the morning
[00:10:42.200 --> 00:10:42.960]   we were recording.
[00:10:42.960 --> 00:10:45.640]   So we were in the studio on our phones looking at it.
[00:10:45.640 --> 00:10:48.040]   And it's like, wow, this is the first time
[00:10:48.040 --> 00:10:52.040]   now there's a good curated data set to do open pre-training.
[00:10:52.040 --> 00:10:53.840]   So maybe let's start from there.
[00:10:53.840 --> 00:10:55.880]   What was the motivation behind it?
[00:10:55.880 --> 00:10:57.160]   Why did you decide to do that?
[00:10:57.160 --> 00:10:59.400]   It's-- data sets are one of the things that most people
[00:10:59.400 --> 00:11:00.680]   don't want to work on.
[00:11:00.680 --> 00:11:03.040]   They just want to do models, not data sets.
[00:11:03.040 --> 00:11:05.320]   Yeah, so first one is not the first.
[00:11:05.320 --> 00:11:07.460]   So I think it's actually built on a whole bunch
[00:11:07.460 --> 00:11:10.160]   of amazing effort the community already have.
[00:11:10.160 --> 00:11:12.320]   For example, Elusive have the pile.
[00:11:12.320 --> 00:11:15.040]   There's a whole bunch of amazing data sets have, like C4,
[00:11:15.040 --> 00:11:16.160]   from Google.
[00:11:16.160 --> 00:11:18.640]   So I think it really got inspired by the impact
[00:11:18.640 --> 00:11:21.440]   those data sets have on the community.
[00:11:21.440 --> 00:11:22.800]   So I think when we did Red Pajama,
[00:11:22.800 --> 00:11:24.960]   it was a time that people are really
[00:11:24.960 --> 00:11:26.720]   fascinated by Lama, the model.
[00:11:26.720 --> 00:11:29.600]   Like Lama 1, which I feel like decades ago.
[00:11:29.600 --> 00:11:30.800]   But it's kind of--
[00:11:30.800 --> 00:11:33.000]   people are really excited about the quality.
[00:11:33.000 --> 00:11:35.560]   So that's really a big shift in people
[00:11:35.560 --> 00:11:37.320]   how to think about open model.
[00:11:37.320 --> 00:11:39.160]   People start to see hope.
[00:11:39.160 --> 00:11:42.920]   So but one problem of Lama is the data recipe
[00:11:42.920 --> 00:11:45.600]   is being described in a pretty detailed way in the paper,
[00:11:45.600 --> 00:11:47.640]   but the data is actually not there.
[00:11:47.640 --> 00:11:51.040]   So and our original thinking is, how about we take the recipe
[00:11:51.040 --> 00:11:54.800]   and we try to do our best effort reproduction
[00:11:54.800 --> 00:11:57.040]   and try to put it out such that we
[00:11:57.040 --> 00:12:01.040]   can learn from our mistake in the reproduction together.
[00:12:01.040 --> 00:12:03.680]   So that's essentially the original thinking
[00:12:03.680 --> 00:12:05.320]   behind Red Pajama.
[00:12:05.320 --> 00:12:08.800]   We have been pretty happy and excited about what community
[00:12:08.800 --> 00:12:11.000]   have been kind of build on it.
[00:12:11.000 --> 00:12:13.520]   For example, there's a data set called Slim Pajama,
[00:12:13.520 --> 00:12:15.520]   which do deduplication over our data.
[00:12:15.520 --> 00:12:16.140]   MARK MANDEL: From Cerebris.
[00:12:16.140 --> 00:12:17.320]   Did they talk to you before?
[00:12:17.320 --> 00:12:18.720]   YUFENG GUO: Oh, yeah, yeah, yeah.
[00:12:18.720 --> 00:12:20.320]   So we are very good friends, and we
[00:12:20.320 --> 00:12:22.480]   can discuss about technical perspective.
[00:12:22.480 --> 00:12:24.880]   We are pretty excited, because I think
[00:12:24.880 --> 00:12:28.560]   it's kind of why we do Red Pajama in the first place,
[00:12:28.560 --> 00:12:30.960]   is that people can actually build not only models,
[00:12:30.960 --> 00:12:34.600]   but also data sets, essentially, over that piece of artifact.
[00:12:34.600 --> 00:12:37.040]   So that's actually what inspired us
[00:12:37.040 --> 00:12:40.160]   to do the first Red Pajama data set.
[00:12:40.160 --> 00:12:42.560]   MARK MANDEL: Yeah, and then you released V2 maybe two months
[00:12:42.560 --> 00:12:45.480]   ago, 30 trillion tokens.
[00:12:45.480 --> 00:12:47.000]   YUFENG GUO: Yeah, 30 trillion tokens.
[00:12:47.000 --> 00:12:50.040]   So I think what's exciting about Red Pajama V2
[00:12:50.040 --> 00:12:51.840]   is not only the number of tokens,
[00:12:51.840 --> 00:12:55.480]   but we start to kind of learn from Red Pajama V1.
[00:12:55.480 --> 00:12:59.240]   So one thing that we learned was that data quality is really
[00:12:59.240 --> 00:13:00.280]   the core.
[00:13:00.280 --> 00:13:04.480]   So you want to take this couple trillion token data set
[00:13:04.480 --> 00:13:07.280]   and try to bring them down maybe to one trillion or two
[00:13:07.280 --> 00:13:08.240]   trillion.
[00:13:08.240 --> 00:13:12.440]   The way that you actually filter them, deduplicate them,
[00:13:12.440 --> 00:13:15.120]   is not something that kind of pre-decided
[00:13:15.120 --> 00:13:17.240]   before you see the application.
[00:13:17.240 --> 00:13:20.440]   So you kind of want to have a modular framework
[00:13:20.440 --> 00:13:21.920]   to think about data quality.
[00:13:21.920 --> 00:13:24.240]   Given application, let's automatically,
[00:13:24.240 --> 00:13:26.880]   or maybe semi-automatically, try to come up
[00:13:26.880 --> 00:13:29.200]   with a way to filter it down.
[00:13:29.200 --> 00:13:31.080]   So that's why in Red Pajama V2, we kind of
[00:13:31.080 --> 00:13:32.080]   overlaid the data set.
[00:13:32.080 --> 00:13:35.200]   It's like 40 different pre-computed quality signal.
[00:13:35.200 --> 00:13:38.920]   If you want to reproduce your best effort, like C4 filter,
[00:13:38.920 --> 00:13:41.640]   it's kind of like 20 lines of code.
[00:13:41.640 --> 00:13:43.120]   And this opened up this opportunity
[00:13:43.120 --> 00:13:45.600]   to actually put different filter together,
[00:13:45.600 --> 00:13:47.280]   learn the combination of filter.
[00:13:47.280 --> 00:13:49.320]   We are very excited to see what community actually
[00:13:49.320 --> 00:13:51.880]   come up with using Red Pajama V2.
[00:13:51.880 --> 00:13:54.680]   - It was retrospectively so obvious
[00:13:54.680 --> 00:13:57.000]   that this is a good idea, that I wonder
[00:13:57.000 --> 00:13:59.000]   how come more data sets don't do this?
[00:13:59.000 --> 00:14:01.480]   Which you just release, you release the data set
[00:14:01.480 --> 00:14:04.920]   in, with all these toggles that you can turn on and off,
[00:14:04.920 --> 00:14:07.200]   right, that you can sort of tune up and down the quality
[00:14:07.200 --> 00:14:10.640]   in ways that you believe is important to you.
[00:14:10.640 --> 00:14:14.120]   Yeah, I just, it makes so much sense now in retrospect.
[00:14:14.120 --> 00:14:15.960]   'Cause everyone just publishes their pipeline
[00:14:15.960 --> 00:14:17.000]   and then the end result.
[00:14:17.000 --> 00:14:18.600]   But what about all the intermediate stages?
[00:14:18.600 --> 00:14:19.440]   - Yeah.
[00:14:19.440 --> 00:14:20.280]   (laughs)
[00:14:20.280 --> 00:14:24.280]   Yeah, so I think, so there are multiple things there.
[00:14:24.280 --> 00:14:27.760]   So, first one, I don't think we are the only one doing that.
[00:14:27.760 --> 00:14:30.760]   For example, Doma from AI2, right,
[00:14:30.760 --> 00:14:33.120]   they have this very flexible format
[00:14:33.120 --> 00:14:35.480]   to actually put in those quality signals, right?
[00:14:35.480 --> 00:14:38.440]   So, I think, we are actually calling them some, right?
[00:14:38.440 --> 00:14:41.440]   So you can actually load Red Pajama using their tool.
[00:14:41.440 --> 00:14:43.040]   That whole thing should work, right?
[00:14:43.040 --> 00:14:47.400]   So, I think one fundamental thing that changed
[00:14:47.400 --> 00:14:50.800]   in the last year, essentially,
[00:14:50.800 --> 00:14:53.040]   in the beginning when people think about data,
[00:14:53.040 --> 00:14:56.720]   is it's always like a by-product of the model, right?
[00:14:56.720 --> 00:14:58.880]   You release the model, you also release the data, right?
[00:14:58.880 --> 00:15:01.720]   The data set is there for you to,
[00:15:01.720 --> 00:15:03.400]   essentially, to show people, ah,
[00:15:03.400 --> 00:15:06.280]   if you train on this data, you got a good model.
[00:15:06.280 --> 00:15:07.960]   But I think what started to change is
[00:15:07.960 --> 00:15:10.440]   when people started building more and more of those models,
[00:15:10.440 --> 00:15:11.440]   people started to realize,
[00:15:11.440 --> 00:15:13.480]   like, different subset of data set
[00:15:13.480 --> 00:15:15.800]   is kind of valuable for different applications, right?
[00:15:15.800 --> 00:15:18.320]   The data becomes something you want to play with, right?
[00:15:18.320 --> 00:15:20.640]   So, I think we are kind of lucky that
[00:15:20.640 --> 00:15:23.840]   we happen to release Red Pajama right at that point,
[00:15:23.840 --> 00:15:26.360]   that we get this opportunity to actually learn from that.
[00:15:26.360 --> 00:15:27.200]   Yeah.
[00:15:27.200 --> 00:15:28.040]   - Yeah.
[00:15:28.040 --> 00:15:31.520]   And you guys have a custom model training platform
[00:15:31.520 --> 00:15:33.120]   on Together, too.
[00:15:33.120 --> 00:15:35.120]   You have a bunch of stuff in there for data selection,
[00:15:35.120 --> 00:15:37.280]   like a DSIR and things like that.
[00:15:37.280 --> 00:15:41.600]   How did you decide to work on that versus,
[00:15:41.600 --> 00:15:43.080]   because you first started with, like,
[00:15:43.080 --> 00:15:45.560]   some of the fine tunes on LLAMA.
[00:15:45.560 --> 00:15:46.760]   Do you see a lot of interest there?
[00:15:46.760 --> 00:15:48.600]   And I know you've been doing a lot of research
[00:15:48.600 --> 00:15:53.000]   on state-space models and other transformer alternatives.
[00:15:53.000 --> 00:15:55.080]   Like, do you also see that as something
[00:15:55.080 --> 00:15:56.480]   you'll keep working on this year
[00:15:56.480 --> 00:15:57.960]   and push more people towards?
[00:15:57.960 --> 00:16:00.640]   - Yeah, I mean, we, you know,
[00:16:00.640 --> 00:16:06.880]   we think of how to make training more efficient
[00:16:06.880 --> 00:16:08.520]   and building models more efficient.
[00:16:08.520 --> 00:16:12.600]   Part of that is being able to select the right data set.
[00:16:12.600 --> 00:16:16.200]   And this is why you have signals, DSIR.
[00:16:16.200 --> 00:16:20.120]   You can start with a small data set
[00:16:20.120 --> 00:16:23.160]   and find similar documents, build models with that.
[00:16:23.160 --> 00:16:24.560]   So we think it's an important part
[00:16:24.560 --> 00:16:27.360]   of the kind of model-build tooling
[00:16:27.360 --> 00:16:31.000]   that is sort of widely useful
[00:16:31.000 --> 00:16:33.360]   for people building different kinds of models.
[00:16:33.360 --> 00:16:38.480]   Similarly, you know, we are running into
[00:16:41.880 --> 00:16:45.040]   the limits of how fast you can make transformers.
[00:16:45.040 --> 00:16:48.480]   And, you know, we want inference
[00:16:48.480 --> 00:16:51.320]   at 5,000 tokens per second, right?
[00:16:51.320 --> 00:16:54.920]   And I don't think we will get there with transformers.
[00:16:54.920 --> 00:16:57.520]   And we need, you know,
[00:16:57.520 --> 00:17:00.000]   we need to learn longer sequences.
[00:17:00.000 --> 00:17:03.640]   Data, again, becomes very, very expensive with transformers.
[00:17:03.640 --> 00:17:06.480]   So our work on space-state models
[00:17:06.480 --> 00:17:09.600]   and all the research that we are doing there,
[00:17:09.600 --> 00:17:13.040]   and hopefully other labs will pick up on this
[00:17:13.040 --> 00:17:18.040]   and, you know, make it a kind of important target
[00:17:18.040 --> 00:17:22.160]   for optimization.
[00:17:22.160 --> 00:17:24.520]   But we think that, you know,
[00:17:24.520 --> 00:17:27.200]   open source is a great place for this.
[00:17:27.200 --> 00:17:31.120]   We can provide these recipes for data
[00:17:31.120 --> 00:17:33.360]   and for training to our customers
[00:17:33.360 --> 00:17:37.640]   who are building, you know, custom models themselves.
[00:17:37.640 --> 00:17:41.040]   And, you know, we are quite excited
[00:17:41.040 --> 00:17:44.400]   about the sort of progress we are seeing there.
[00:17:44.400 --> 00:17:46.280]   - Do you have some of these models available
[00:17:46.280 --> 00:17:48.240]   for inference on Tugether?
[00:17:48.240 --> 00:17:50.040]   Can people play around with a-
[00:17:50.040 --> 00:17:51.360]   - Structure unit? - Yeah.
[00:17:51.360 --> 00:17:53.400]   - Yeah, they're available for inference
[00:17:53.400 --> 00:17:55.680]   on our serverless platform.
[00:17:55.680 --> 00:17:56.800]   - Cool.
[00:17:56.800 --> 00:17:59.920]   - Yeah, actually, so I always try to be the person
[00:17:59.920 --> 00:18:01.760]   who asks about acronyms in case, you know,
[00:18:01.760 --> 00:18:03.320]   people want to understand.
[00:18:03.320 --> 00:18:06.480]   DSIR, should we explain importance resampling,
[00:18:06.480 --> 00:18:07.680]   you know, that kind of stuff?
[00:18:07.680 --> 00:18:08.520]   - Oh, yeah.
[00:18:08.520 --> 00:18:11.640]   So DSIR, essentially, it's a fundamental idea.
[00:18:11.640 --> 00:18:14.280]   So it's one of the paper from Percy, right?
[00:18:14.280 --> 00:18:17.280]   So essentially, if you know what you are doing,
[00:18:17.280 --> 00:18:19.880]   you can actually use that as a very strong signal
[00:18:19.880 --> 00:18:22.640]   about what data to put in to insert training process, right?
[00:18:22.640 --> 00:18:25.360]   So that's essentially the fundamental idea, right?
[00:18:25.360 --> 00:18:26.840]   So, and then more concretely, right,
[00:18:26.840 --> 00:18:30.040]   so there are actually different version of, like, DSIR, right?
[00:18:30.040 --> 00:18:32.640]   So one version is like, if you have validation side, right,
[00:18:32.640 --> 00:18:34.320]   you can actually somehow measure the similarity
[00:18:34.320 --> 00:18:35.360]   between the validation side
[00:18:35.360 --> 00:18:37.800]   and also your pre-trained corpus,
[00:18:37.800 --> 00:18:39.680]   and essentially, like, the subset.
[00:18:39.680 --> 00:18:42.160]   And often, there's actually, like,
[00:18:42.160 --> 00:18:44.920]   less targeted version of DSIR, where you'll say,
[00:18:44.920 --> 00:18:48.480]   yeah, maybe Wikipedia is actually a very good corpus.
[00:18:48.480 --> 00:18:50.760]   Let's try to find more Wikipedia, right?
[00:18:50.760 --> 00:18:52.960]   You can think about that as one way to,
[00:18:52.960 --> 00:18:54.160]   you can think about it in two ways,
[00:18:54.160 --> 00:18:58.600]   either as a way to come up with different weights
[00:18:58.600 --> 00:19:02.960]   for different data slices, or like, yeah,
[00:19:02.960 --> 00:19:05.560]   so as a, like, filter type of step,
[00:19:05.560 --> 00:19:06.480]   yeah, for a data set,
[00:19:06.480 --> 00:19:08.920]   or think about that as, like, data augmentation, right?
[00:19:08.920 --> 00:19:10.680]   So, yeah, so that's how, yeah,
[00:19:10.680 --> 00:19:12.280]   that's how we think about DSIR.
