
[00:00:00.000 --> 00:00:02.000]   Freeberg, Freeberg. What's up?
[00:03:24.240 --> 00:03:28.880]   amazing. But still, the quotes a little gnarly and the quote out of, you know,
[00:03:28.880 --> 00:03:32.400]   when it's out of context becomes particularly gnarly. And of course,
[00:03:32.400 --> 00:03:38.560]   this led to a petition at Apple, which then led to him being fired,
[00:03:38.560 --> 00:03:46.640]   which now is going to lead to him probably getting a $10 million settlement. Of course, there's a lot
[00:03:46.640 --> 00:03:54.080]   of hypocrisy being brought up here, because Apple has allegedly been using or Apple supply chain has
[00:03:54.080 --> 00:04:01.360]   slave labor in it from the Uyghurs and other ethnic minorities. And obviously, Apple gave Dr.
[00:04:01.360 --> 00:04:14.960]   Dre billions of dollars for beats by Dre and he has even more misogynistic series of lyrics and
[00:04:14.960 --> 00:04:21.920]   was also accused of physically assaulting I believe his wife and other people he dated.
[00:04:21.920 --> 00:04:23.040]   Who Dr. Dre?
[00:04:23.040 --> 00:04:23.840]   Dr. Dre. Yeah.
[00:04:23.840 --> 00:04:29.120]   Dr. Dre. So anyway, what do you think?
[00:04:29.120 --> 00:04:33.520]   Okay, there you go. Next story.
[00:04:33.520 --> 00:04:38.800]   No, I'm happy to jump into this. I think, Jason, I think you're you're you focus a little
[00:04:38.800 --> 00:04:43.520]   bit too much. And I saw your your pod with Zach Collius on this. A lot of good takes,
[00:04:43.520 --> 00:04:48.160]   but I think you're a little too focused on what AGM as I think it's easier to call him by his
[00:04:48.160 --> 00:04:53.600]   initials, what he did as opposed to what the employees at Apple did. And there's,
[00:04:53.600 --> 00:04:59.440]   at least four things that Apple did, or five things that Apple did wrong. I mean, number one,
[00:04:59.440 --> 00:05:03.120]   I think there was a very good reason not to hire this guy, which is that he wrote
[00:05:03.120 --> 00:05:09.040]   a best selling tell all book about the last big tech company he worked at. So why if you're a big
[00:05:09.040 --> 00:05:13.360]   tech company, why in the world would you hire him? So that was stupid decision number one,
[00:05:13.360 --> 00:05:16.880]   but they did decide to hire him. And once they hire him, they got to treat him like any other
[00:05:16.880 --> 00:05:20.960]   employee and give him a chance to show what he can do. And so that leads to mistake number two,
[00:05:20.960 --> 00:05:23.440]   which is these 2000 employees who signed this.
[00:05:23.440 --> 00:05:29.600]   Petition really distorted and took out of context that passage. And I know the passages cringe,
[00:05:29.600 --> 00:05:34.960]   okay? And gnarly and it could, you know, certainly appear sexist, but you have to put it in its
[00:05:34.960 --> 00:05:42.080]   context and the the larger con this is a work of literature. This is a best selling book. It's 150,000
[00:05:42.080 --> 00:05:47.840]   words. They're taking 150 words out of context. And the context was like you said, he's describing
[00:05:47.840 --> 00:05:53.280]   the mother of his children, the love of his life in as this sort of Linda Hamilton esque in Terminator,
[00:05:53.280 --> 00:06:01.200]   type figure or Charlize Theron in Mad Max. And this passage is not in there to describe all women.
[00:06:01.200 --> 00:06:08.080]   It's just basically a literary flourish to contrast the woman that he loves being such
[00:06:08.080 --> 00:06:13.360]   a badass compared to every other woman. And, you know, when Kara Swisher interviewed AGM five years
[00:06:13.360 --> 00:06:18.640]   ago, she brought this passage, she explained it and she said, yeah, okay, I get it. So, you know,
[00:06:18.640 --> 00:06:23.120]   it's certainly the case that people can understand the context,
[00:06:23.120 --> 00:06:28.080]   if they choose to, and they simply are not choosing to understand the context,
[00:06:28.080 --> 00:06:31.920]   which brings me to mistake number three, which is these 2000 employees
[00:06:31.920 --> 00:06:39.120]   lied in their petition by claiming that their safety is threatened by Apple hiring AGM.
[00:06:39.120 --> 00:06:44.000]   That is simply untrue. It's physically impossible in the era of Zoom when everyone's
[00:06:44.000 --> 00:06:49.520]   working from home, but this guy is not a threat to anyone's safety, but they use that claim.
[00:06:49.520 --> 00:06:52.960]   They make that claim because they know that if you accuse
[00:06:52.960 --> 00:06:57.920]   someone of threatening your safety, it will trigger the machinery of HR to remove that
[00:06:57.920 --> 00:07:04.320]   person from the workplace. This is the language of safetyism and it's a specific tactic to basically
[00:07:04.320 --> 00:07:09.200]   get somebody canceled and removed from the workplace. Okay. And then that leads to the,
[00:07:09.200 --> 00:07:14.160]   the, the next mistake, I think mistake number four, which is the bosses of the Apple caved
[00:07:14.160 --> 00:07:19.120]   into this pressure. They were total cowards. They never even gave AGM the chance to explain
[00:07:19.120 --> 00:07:22.800]   himself. They never asked him, what did you intend by this passage? What were you trying to
[00:07:22.800 --> 00:07:25.600]   do? And by the way, they knew about this book when they hired him.
[00:07:25.600 --> 00:07:29.520]   I was about to say it's even worse. They knew about the book they had vetted and they talked
[00:07:29.520 --> 00:07:34.960]   to many people as when a big time, when a big tech company hires somebody for a major position like
[00:07:34.960 --> 00:07:39.440]   this, they call all the references and all of this is uncovered and dealt with.
[00:07:39.440 --> 00:07:44.240]   Of course they knew about it. And then when the mob complains, they fire him summarily without
[00:07:44.240 --> 00:07:49.680]   subjecting the decision to proper HR processes. This is HR by mob rule. It's totally unacceptable.
[00:07:49.680 --> 00:07:52.640]   No company should be run this way. And then finally that brings us to number five,
[00:07:52.640 --> 00:07:57.280]   which is number five is that in explaining their decision and trying to justify their
[00:07:57.280 --> 00:08:02.000]   cowardice and giving it to the mob, they said that they fired him because of his behavior.
[00:08:02.000 --> 00:08:06.880]   AGM never had a chance to engage in any behavior. He barely started at the job. This wasn't because
[00:08:06.880 --> 00:08:11.600]   of his behavior. This is because of the book that he wrote five years ago. So what they're saying is
[00:08:11.600 --> 00:08:17.680]   that if you ever publish a written work at any time in your life, years and years ago,
[00:08:17.680 --> 00:08:22.480]   that that could somehow constitute present day behavior and that other people in the workplace
[00:08:22.480 --> 00:08:27.760]   can have a problem with that. This is not behavior. And this is why he's going to have a giant
[00:08:27.760 --> 00:08:34.880]   defamation suit and settlement because they are making him unemployable in the tech industry by
[00:08:34.880 --> 00:08:39.360]   claiming that he was fired for some sexist behavior. He was not.
[00:08:39.360 --> 00:08:41.120]   What do you think he'll get paid in a settlement?
[00:08:41.120 --> 00:08:42.640]   I put it at 10.
[00:08:42.640 --> 00:08:44.080]   10 million?
[00:08:44.080 --> 00:08:47.600]   Well, I was just thinking he's a half million dollar a year employee
[00:08:47.600 --> 00:08:52.320]   to a million with his RSU. So let's just put it at a million unemployed for 10 to 20
[00:08:52.320 --> 00:08:54.960]   years because of this or the damages to his reputation.
[00:08:54.960 --> 00:08:57.360]   And present value that back. Yeah.
[00:08:57.360 --> 00:08:59.360]   So and yeah, so I think 10 million is the number.
[00:08:59.360 --> 00:09:06.960]   My curiosity in this was just did those 2000 employees feel the same way about Dr. Dre?
[00:09:06.960 --> 00:09:08.320]   Of course not.
[00:09:08.320 --> 00:09:14.880]   Or do they do they feel the same way about some of the movies that they sell in the iTunes store?
[00:09:14.880 --> 00:09:20.400]   Or do they feel the same way about some of the games that they enable?
[00:09:22.160 --> 00:09:23.360]   App Store?
[00:09:23.360 --> 00:09:25.520]   Or some of the subscriptions that are sold?
[00:09:25.520 --> 00:09:27.760]   Right?
[00:09:27.760 --> 00:09:31.520]   Do they care? Do they care that much about what's happening in their Chinese supply chain?
[00:09:31.520 --> 00:09:38.080]   I mean, I think it seems at least on the outside, the answer is no. But it would be interesting to
[00:09:38.080 --> 00:09:42.880]   get an explanation of that from the same HR people. I don't know whether the guy should
[00:09:42.880 --> 00:09:47.200]   have been fired or not. But I do think that you should have a predictable standard and every
[00:09:47.200 --> 00:09:52.000]   company is allowed to do what they want. If the standard at Apple is that we are going to hold you
[00:09:52.000 --> 00:09:56.800]   accountable for everything you've done in the past, irrespective of whether you disavowed it or
[00:09:56.800 --> 00:10:01.520]   not, so be it. That's their right. And I think that the employees of that company have a right
[00:10:01.520 --> 00:10:07.200]   to do that. I think they said if you start to arbitrarily enforce it, you go down this weird
[00:10:07.200 --> 00:10:12.560]   place, which is like, basically, I think what they're saying is, if it's good for business,
[00:10:12.560 --> 00:10:17.440]   we're going to ignore it. If it's not obvious that it's good for business, we'll act because
[00:10:17.440 --> 00:10:21.840]   it's a low cost way of keeping the masses. You know, that's the way it is. And so I think that's
[00:10:21.840 --> 00:10:24.640]   the way it is. And I think that's the way it is. And I think that's the way it is. And I think that's
[00:10:24.640 --> 00:10:29.040]   what's even scarier to the 2000 people. It's not that you know, maybe they should feel proud that
[00:10:29.040 --> 00:10:34.000]   they got their pound of flesh. But they really should figure out how they want to stand on all
[00:10:34.000 --> 00:10:39.040]   these other points because to cherry pick puts, puts the whole company in just a weird posture.
[00:10:39.040 --> 00:10:45.600]   That's that's not scalable. Freeberg. I'm less interested in the hypocrisy
[00:10:45.600 --> 00:10:51.680]   in the values debate, which is obvious. That's kind of the first order point with
[00:10:51.680 --> 00:10:55.920]   all this stuff. It's like, do the employees have the right values? Is there hypocrisy by management
[00:10:55.920 --> 00:11:02.320]   is there hypocrisy by the employees? What strikes me though, is a failure of leadership
[00:11:02.320 --> 00:11:07.760]   at these organizations. You know, you guys think back to Brian Armstrong's kind of purging of the
[00:11:07.760 --> 00:11:11.280]   woke mob and the political discourse that was happening at Coinbase a few months ago.
[00:11:11.280 --> 00:11:18.240]   He took a point of strong leadership to a new level. And I think it highlighted when the leader
[00:11:18.240 --> 00:11:21.520]   steps up and says, this is how we're going to operate. These are how we're going to make decisions
[00:11:21.520 --> 00:11:27.520]   and puts his foot down. People will leave and you evolve the culture. And I think it indicates to me
[00:11:27.520 --> 00:11:33.680]   that certain companies as they've gotten really big, and really successful, like Apple, and even
[00:11:33.680 --> 00:11:40.400]   Alphabet, and various other kind of large tech companies, the leaders no longer lead the employees
[00:11:40.400 --> 00:11:47.200]   lead the narrative on culture and the narrative on values. And, you know, it speaks to two things.
[00:11:47.200 --> 00:11:51.360]   One is that there perhaps aren't founder leaders
[00:11:51.360 --> 00:11:55.760]   running those organizations anymore, that there are managers, whose job is critically important,
[00:11:55.760 --> 00:12:00.080]   whose job is to keep the wheels on and keep the wheels from falling off. So they have more to lose.
[00:12:00.080 --> 00:12:04.880]   And they are constantly trying to protect the downside than they are trying to be aggressive
[00:12:04.880 --> 00:12:10.400]   about growing to the upside. And then I think it's just, you know, secondly, this kind of,
[00:12:10.400 --> 00:12:17.680]   you know, failure to kind of define what your values are from a leadership perspective,
[00:12:17.680 --> 00:12:21.200]   and the void gets filled by the employees, the void gets filled
[00:12:21.200 --> 00:12:25.840]   by the mob. And so while it's this one kind of, you know, debatable point today, and this one kind
[00:12:25.840 --> 00:12:31.120]   of hypocritical point today, it's really interesting to see that this isn't happening at other companies
[00:12:31.120 --> 00:12:35.040]   that are founder led. And if it is, the, you know, the culture gets reset.
[00:12:35.040 --> 00:12:37.200]   Steve Jobs would have handled this completely differently.
[00:12:37.200 --> 00:12:40.080]   Steve Jobs would not have let his employees tell him who or shouldn't be hired.
[00:12:40.080 --> 00:12:41.600]   No, he would have stopped and said, let's have a discussion about this.
[00:12:41.600 --> 00:12:45.120]   He would have had a really clear point of view about who we hire, why we hire them,
[00:12:45.120 --> 00:12:50.480]   and how we make decisions and not let the democratic kind of rule or the, you know,
[00:12:51.040 --> 00:12:52.240]   employee rule.
[00:12:52.240 --> 00:12:56.240]   It's not like all employees took a vote. How much of this Chamath has to do with
[00:12:56.240 --> 00:12:59.520]   the coddling of Silicon Valley employees for two decades vis-a-vis,
[00:12:59.520 --> 00:13:05.280]   you know, you get driven to school on your school bus, you sit on, you know, you get your lunch
[00:13:05.280 --> 00:13:09.680]   prepared for you, we do your dry cleaning, every Friday, you get to come and ask challenging
[00:13:09.680 --> 00:13:16.160]   questions to the leaders and this concept of like, you know, everybody has a voice at work as opposed
[00:13:16.160 --> 00:13:20.880]   to this is a company controlled by shareholders and or a founder and you work for it, and they
[00:13:20.880 --> 00:13:26.080]   were saying trade of services here, vis-a-vis what Toby had to say at Shopify, which is,
[00:13:26.080 --> 00:13:31.200]   this is not a family, this is a sports team, you are here to perform, we are here to perform for
[00:13:31.200 --> 00:13:32.560]   our customers the end.
[00:13:32.560 --> 00:13:37.120]   So the, in fact, if you if you had a chance, and maybe Nick, we can post it in the show notes, but
[00:13:37.120 --> 00:13:43.920]   the email that Toby Lutke wrote to Shopify employees was unbelievable. That to me is like,
[00:13:43.920 --> 00:13:49.600]   that's a tour de force. That should be basically like, that should be minted and sold as an NFT.
[00:13:50.720 --> 00:13:52.480]   What's an NFT? We forgot about those.
[00:13:52.480 --> 00:13:56.960]   And it was it was it was just an incredible email, Jason, to your point. And the way that that
[00:13:56.960 --> 00:14:04.560]   started, if I may be getting these facts wrong, but there was an emoji of a noose inside of a Slack
[00:14:04.560 --> 00:14:11.840]   channel. And then and then folks got quite upset with it. And so I think Toby's response was to
[00:14:11.840 --> 00:14:18.000]   basically shut down the whole channel and say, Hey, guys, you know, we're losing the script about
[00:14:18.000 --> 00:14:18.640]   why we're here.
[00:14:18.640 --> 00:14:19.200]   Yeah.
[00:14:19.200 --> 00:14:19.680]   Yeah.
[00:14:19.680 --> 00:14:20.080]   Yeah.
[00:14:20.080 --> 00:14:20.560]   Yeah.
[00:14:20.560 --> 00:14:25.680]   And, you know, I think Bryan Armstrong's essay was a version of that. The question is, why are
[00:14:25.680 --> 00:14:30.400]   we here? If I had to guess, I think it's because we've pumped so much money into Silicon Valley
[00:14:30.400 --> 00:14:36.160]   companies. They didn't know where to spend it. And so I actually think that what we've really
[00:14:36.160 --> 00:14:40.880]   done is over hired far too many people into many of these companies. And so they kind of are very
[00:14:40.880 --> 00:14:45.440]   smart people, sitting around twiddling their thumbs. And so obviously, they're just going to
[00:14:45.440 --> 00:14:50.400]   get distracted. Meaning, I remember like, you know, at Facebook,
[00:14:50.400 --> 00:14:55.920]   there was barely enough people to keep the lights on for a while. Then I remember by the time I was
[00:14:55.920 --> 00:14:59.920]   leaving, I was like, wow, there's way too many people here. A lot of them and most of them are
[00:14:59.920 --> 00:15:05.280]   all really, really smart. But it wasn't obvious to me what many of them did. And you know, people
[00:15:05.280 --> 00:15:08.960]   would look at me and then say, Oh, you know, that's a really arrogant thing to say. And that's
[00:15:08.960 --> 00:15:14.720]   not true. And everybody's valuable. I don't know. You know, if you look at Google, I've always
[00:15:14.720 --> 00:15:19.920]   thought like that company could probably run by 2000 people. But you know, there's 200,000 people.
[00:15:19.920 --> 00:15:20.240]   So the whole company is probably run by 2000 people. But you know, there's 200,000 people. So the
[00:15:20.240 --> 00:15:25.680]   198 other 1000 of them need to find something to do. It's probably the same at Apple, it's probably
[00:15:25.680 --> 00:15:29.600]   the same at all these big tech companies. And that's the leverage that you get from technology,
[00:15:29.600 --> 00:15:36.480]   it's naturally, massively deflationary. So but if you keep pumping billions and billions and billions
[00:15:36.480 --> 00:15:42.640]   of dollars into these companies, where the app experience is written by 50 or 100 critical people
[00:15:42.640 --> 00:15:50.080]   or managed by 500 or 1000 critical people. This is the natural byproduct, I think, which all of that,
[00:15:50.080 --> 00:15:54.320]   which is the way freeberg said organizations want to grow, right? Like, how many organizations say,
[00:15:54.320 --> 00:15:58.320]   you know, we should be smaller, we don't know, you're saying something really important.
[00:15:58.320 --> 00:16:04.160]   Not enough founders and boards understand the difference between growing a business and growing
[00:16:04.160 --> 00:16:09.600]   an org. Those are two totally different things. And the reason is because we've lost sight of
[00:16:09.600 --> 00:16:14.400]   very simple financial metrics in Silicon Valley, meaning if you go to any other industry,
[00:16:14.400 --> 00:16:19.920]   where there is a cost of capital, people understand what return on invested capital means,
[00:16:19.920 --> 00:16:24.000]   they know how to measure it. Yeah, they know what operating leverage means. They know what margin
[00:16:24.000 --> 00:16:29.760]   expansion means, we only have valuation. And they seek that out. Here, we think about exactly as you
[00:16:29.760 --> 00:16:36.320]   said, valuation. And so this idea that having 100 people do the work and see margins lift is
[00:16:36.320 --> 00:16:40.720]   antithetical to the Silicon Valley culture. It's Oh, as margins go up, let's just keep running the
[00:16:40.720 --> 00:16:44.400]   same profitable business, but instead have a 500 people, 1000. What do you think you're
[00:16:44.400 --> 00:16:49.760]   an operations machine, people would say, on a COO basis, you're one of the top three to
[00:16:49.760 --> 00:16:52.560]   five in the history of the valley? What do you say COO man?
[00:16:52.560 --> 00:16:59.040]   Yeah, I mean, look, Chamath is right that in a company that's well run and well led,
[00:16:59.040 --> 00:17:03.120]   where people, people don't have time on their hands to engage in these shenanigans.
[00:17:03.120 --> 00:17:08.080]   So yeah, I mean, I think I think that's absolutely right. I think companies
[00:17:08.080 --> 00:17:13.520]   startups are increasingly have to choose whether they want to be Apple or whether they want to be
[00:17:13.520 --> 00:17:19.600]   Coinbase or Shopify for that matter. And just this this week at Apple,
[00:17:19.600 --> 00:17:24.720]   there's a new petition circling now there's a petition called by 1000 employees calling for
[00:17:24.720 --> 00:17:30.080]   Tim Cook to denounce the Israelis and endorse the Palestinian side of the conflict. Yeah.
[00:17:30.080 --> 00:17:31.440]   How's that gonna work?
[00:17:31.440 --> 00:17:32.640]   Well, of course,
[00:17:32.640 --> 00:17:36.080]   Does he have a position on abortion? Is there an abortion position at Apple yet?
[00:17:36.080 --> 00:17:40.640]   Well, but now that they've given into the woke mob, there's no reason for the mob to stop,
[00:17:40.640 --> 00:17:44.080]   they're gonna be circulating a petition every week. And that's kind of the point is,
[00:17:44.080 --> 00:17:48.880]   so and actually AGM himself had a really good quote about this. He did a great interview with
[00:17:49.440 --> 00:17:55.440]   Matt Taibbi. And he laid out the choice that companies face like this. He said it's interjected
[00:17:55.440 --> 00:18:00.800]   this is Antonio Garcia Martinez saying is interjecting the whole fucking Twitter cesspool
[00:18:00.800 --> 00:18:05.360]   with all the dog piles and all the performance of signaling and all that crap into a corporate
[00:18:05.360 --> 00:18:10.960]   setting and replicating those dynamics and calling it work. That's basically what happened is what's
[00:18:10.960 --> 00:18:19.040]   happening is you're these employees are performing Twitter at work on on Slack, and they're pretending
[00:18:19.040 --> 00:18:19.280]   Yes. like it's working. And they're pretending like it's working. And they're pretending like it's
[00:18:19.280 --> 00:18:24.400]   really work and it's not. And I think you know, founders are going to have to make a decision. Do
[00:18:24.400 --> 00:18:30.640]   you stand up and take a Brian Armstrong like position or a Toby position? Or do you eventually
[00:18:30.640 --> 00:18:36.720]   degenerate into some sort of or a base camp by the way, or even base camp the most woke virtual
[00:18:36.720 --> 00:18:43.280]   signaling founders on Twitter decided to take that's right the most libertarian or
[00:18:43.280 --> 00:18:49.120]   Spartan approach, you know, stoic approach of Toby to give you Toby's quote.
[00:18:49.120 --> 00:18:52.320]   Well, base camp just to finish the base camp thought so to base camp
[00:18:52.320 --> 00:18:57.760]   try to accommodate this sort of like woke mentality. And what they found is that they
[00:18:57.760 --> 00:19:03.360]   got pushed so far, it became so distracting, they eventually had to move to the Armstrong position.
[00:19:03.360 --> 00:19:06.480]   And that's kind of my point is once you get everybody's gonna move to that.
[00:19:06.480 --> 00:19:10.720]   Yeah, that's my point. I mean, and if you don't believe what I what I said was like, listen,
[00:19:10.720 --> 00:19:17.520]   if you believe that organization that allows political speech and this kind of stuff as a
[00:19:17.520 --> 00:19:18.960]   primary function inside the company, you're going to be a little bit more likely to get a job.
[00:19:18.960 --> 00:19:22.480]   Right? But if you're a big company, well, then go build a competitor to base camp and show that that
[00:19:22.480 --> 00:19:26.880]   system works better. Here's Toby's quote. To help you make this more clear to team members,
[00:19:26.880 --> 00:19:32.800]   here are some pointers about what Shopify is not Shopify, like any for profit company is not a
[00:19:32.800 --> 00:19:38.000]   family. The very idea is preposterous, you are born into a family, you never choose it,
[00:19:38.000 --> 00:19:43.440]   and they can unfamily you, it should be massively obvious that Shopify is not a family. But I see
[00:19:43.440 --> 00:19:48.800]   people even leaders casually use the term like shoppy fam, which will cause the members of our
[00:19:48.800 --> 00:19:53.600]   teams, especially junior ones that have never worked anywhere else. To get the wrong impression,
[00:19:53.600 --> 00:19:58.640]   the dangers of family thinking in quotes, or that it becomes incredibly hard to let poor performers
[00:19:58.640 --> 00:20:05.600]   go. Shopify is a team italicized, not a family, we literally only want the best people in the world.
[00:20:05.600 --> 00:20:10.880]   The reason why you joined Shopify is because I hope all other people you met during the
[00:20:10.880 --> 00:20:14.320]   interview process were really smart, caring and committed. This is magic,
[00:20:14.320 --> 00:20:18.640]   and it creates a virtuous magnetism on talented people because very few people in
[00:20:18.640 --> 00:20:23.360]   the world have this in themselves. People who don't should not be part of this team.
[00:20:23.360 --> 00:20:29.920]   I mean, when I was, when I was a strong, when I was a Facebook, we used to convene the senior team.
[00:20:29.920 --> 00:20:35.520]   And, you know, I was like, I want I really want to fire the bottom five or 10% of the company
[00:20:35.520 --> 00:20:39.120]   of you and we would force stack rank and we did it for about three or four years. And then
[00:20:39.120 --> 00:20:43.280]   the excuse was, it's too big. And there are too many people and the roles are too diverse,
[00:20:43.280 --> 00:20:48.480]   and you can't rank. I actually don't believe that even to this day, I think it's pretty obvious,
[00:20:48.480 --> 00:20:53.760]   who the real 1000x kind of employee contributors are. And by the way, they exist in every function,
[00:20:53.760 --> 00:20:58.320]   there's 1000x salespeople, there's 1000x, you know, product managers, there's, there's the
[00:20:58.320 --> 00:21:03.760]   1000x people that work in facilities, they exist in every job function. And companies,
[00:21:03.760 --> 00:21:08.240]   I don't think do a good enough job of figuring out who they are. And so instead, what happens
[00:21:08.240 --> 00:21:13.760]   is people that are not even 100x or not even a 10x are really more like a one or 1.1x can
[00:21:13.760 --> 00:21:18.320]   basically hide in all of that noise. And I think that if you could separate that,
[00:21:18.320 --> 00:21:23.360]   you know, you can separate HR into two things. But there's really three things. One is like
[00:21:23.360 --> 00:21:29.440]   benefits, which is critical. The second is actually like safety, and the ability to
[00:21:29.440 --> 00:21:34.400]   whistleblow if there's something really nefarious or bad that's happened. And then the third that's
[00:21:34.400 --> 00:21:38.800]   really valuable, I think is organizational design, right? How do you put people in good jobs? And how
[00:21:38.800 --> 00:21:43.440]   do you allow them to have a huge amount of autonomy to run and build a career. But all
[00:21:43.440 --> 00:21:48.160]   of this other policing stuff, to me just seems like it coddles
[00:21:48.160 --> 00:21:51.220]   lowest 25% I don't know if that and this is my intuition the to
[00:21:51.220 --> 00:21:53.800]   the lowest 25% performers of the course.
[00:21:53.800 --> 00:21:57.140]   Of course it does. And just to close this story up and wrap to
[00:21:57.140 --> 00:22:01.540]   our next in tone a GM announced that he is going to Take a year
[00:22:01.540 --> 00:22:05.680]   wait for it to write for sub stack. So he is going to get
[00:22:05.680 --> 00:22:10.600]   paid $10 million I would guesstimate in a settlement by
[00:22:10.600 --> 00:22:13.220]   Apple, he's going to get a half million dollar I'll take you
[00:22:13.220 --> 00:22:19.920]   over. I'll take you over. I said such a good line. We can bet on
[00:22:19.920 --> 00:22:22.940]   it. We can bet on it. I'll take the over the line of 10. Anybody
[00:22:22.940 --> 00:22:25.640]   want the under? I'll take you take the
[00:22:25.640 --> 00:22:28.980]   well go give it a give a different bet. Not then I'll
[00:22:28.980 --> 00:22:31.160]   figure out a different line. You could set a different line set a
[00:22:31.160 --> 00:22:33.080]   different line. I think Ted's a good line.
[00:22:33.080 --> 00:22:37.040]   Because you gotta think if they offer him seven or eight million.
[00:22:37.040 --> 00:22:40.520]   I mean, it's gonna be something like that. I don't know what the
[00:22:40.520 --> 00:22:42.080]   big what the number is. But
[00:22:42.080 --> 00:22:42.900]   we'll never know.
[00:22:42.900 --> 00:22:43.120]   I'll
[00:22:43.120 --> 00:22:47.060]   I'll make a line. 15.6. Take the under I'll take the under
