
[00:00:00.000 --> 00:00:15.000]   *Music Playing*
[00:02:03.000 --> 00:02:06.000]   Now, while we do that, that does two things.
[00:02:06.000 --> 00:02:08.000]   Number one is it creates a gap.
[00:02:08.000 --> 00:02:10.000]   And when you have that gap, you can start to measure.
[00:02:10.000 --> 00:02:14.000]   Well, how many problems can we come up with that humans can still do, but AI can't?
[00:02:14.000 --> 00:02:17.000]   And then number two is it guides research.
[00:02:17.000 --> 00:02:21.000]   So, you can quantify that class of problems and then go tell researchers,
[00:02:21.000 --> 00:02:25.000]   "Hey, there's something really interesting going on on this side of the problem.
[00:02:25.000 --> 00:02:27.000]   There's something that we need to go check out from there."
[00:02:27.000 --> 00:02:28.000]   Alright?
[00:02:28.000 --> 00:02:33.000]   So, if we're going to measure artificial general intelligence based off of humans,
[00:02:33.000 --> 00:02:37.000]   we need to actually define, well, what is general intelligence?
[00:02:37.000 --> 00:02:40.000]   And there's two definitions that I love to quote.
[00:02:40.000 --> 00:02:42.000]   The first one was by John McCarthy.
[00:02:42.000 --> 00:02:48.000]   And he says that AI is the science and engineering of making machines do tasks,
[00:02:48.000 --> 00:02:54.000]   and this is the important part, that they have never seen beforehand and they have not prepared for beforehand.
[00:02:54.000 --> 00:02:59.000]   This is very important because if you've seen a class of problem beforehand,
[00:02:59.000 --> 00:03:02.000]   if it's already in your training data, then you're simply just repeating memorization.
[00:03:02.000 --> 00:03:05.000]   You're not actually learning anything new on the fly, right?
[00:03:05.000 --> 00:03:09.000]   The second person I'd like to quote on this is actually Francois himself.
[00:03:09.000 --> 00:03:12.000]   And he put it very eloquently within just three words.
[00:03:12.000 --> 00:03:17.000]   And he calls intelligence skill, acquisition, efficiency.
[00:03:17.000 --> 00:03:22.000]   And this is really beautiful here because skill, acquisition, can you learn new things?
[00:03:22.000 --> 00:03:26.000]   And not only that, but how efficiently can you learn those new things?
[00:03:26.000 --> 00:03:31.000]   And humans are extremely, spoiler, humans are extremely efficient at learning these new things.
[00:03:31.000 --> 00:03:36.000]   So Francois proposed this definition in his 2019 paper on the measure of intelligence,
[00:03:36.000 --> 00:03:37.000]   but he went further than that.
[00:03:37.000 --> 00:03:38.000]   He didn't just define it.
[00:03:38.000 --> 00:03:43.000]   He actually proposed the benchmark to see can a human or an AI,
[00:03:43.000 --> 00:03:46.000]   can it learn something new and then go repeat what it learned.
[00:03:46.000 --> 00:03:49.000]   And this is where the ArcGi version one benchmark came out.
[00:03:49.000 --> 00:03:52.000]   So over here on the left hand side, this is the learn the skill portion.
[00:03:52.000 --> 00:03:54.000]   This is what we call the training portion.
[00:03:54.000 --> 00:03:57.000]   And what we show you is a transformation from an input to an output grid.
[00:03:57.000 --> 00:04:02.000]   And then the goal for the human or the AI is to look at it and say, hmm, what's going on here?
[00:04:02.000 --> 00:04:06.000]   And then on the left, we actually ask you to demonstrate that skill.
[00:04:06.000 --> 00:04:09.000]   So it's a little mini skill you learn on the left and we ask you to demonstrate it on the right.
[00:04:09.000 --> 00:04:13.000]   And if you can successfully do it, and this is what it looks like, it's just the grid editor here,
[00:04:13.000 --> 00:04:17.000]   then yes, you've learned what the transformation is and you've actually applied this.
[00:04:17.000 --> 00:04:21.000]   And so you're showing a non-zero level of generalization as you go through this.
[00:04:21.000 --> 00:04:26.000]   So our benchmarks, ArcGi 2, this is the most recent one, it has over a thousand tasks in it.
[00:04:26.000 --> 00:04:31.000]   And the important part here is each one of these tasks is novel and unique.
[00:04:31.000 --> 00:04:38.000]   And what I mean by that is, the skills required for one of them, we will never ask you to apply that same skill to another task.
[00:04:38.000 --> 00:04:43.000]   This is very important because we're not testing whether or not you can just repeat the skill you've already learned,
[00:04:43.000 --> 00:04:48.000]   but we want to test all the little mini skills that you can do over time and see if you can actually demonstrate those.
[00:04:48.000 --> 00:04:54.000]   And if we're going to back up that humans can actually do this, well, we need to go get first party data.
[00:04:54.000 --> 00:04:59.000]   So our group as a nonprofit, we went down to San Diego and we tested over 400 people.
[00:04:59.000 --> 00:05:03.000]   So rented a bunch of computers and we did this in person to prefer to have data privacy.
[00:05:03.000 --> 00:05:10.000]   And we made sure that every single task that was included in ArcGi was solvable by people.
[00:05:10.000 --> 00:05:15.000]   So this isn't just an aim here, we're actually doing the work to go and do that.
[00:05:15.000 --> 00:05:24.000]   But if we think about it, there's actually quite a bit of human-like intelligence that's out of scope from what we call a single turn type of benchmark.
[00:05:24.000 --> 00:05:29.000]   With ArcGi, you have all the information presented that you need right at test time.
[00:05:29.000 --> 00:05:32.000]   You don't need to do any exploring or anything and it's all through single turn.
[00:05:32.000 --> 00:05:39.000]   So if we're going to be measuring any human-like intelligence, and I would argue that if you are going to measure human-like intelligence,
[00:05:39.000 --> 00:05:44.000]   it needs to be interactive by design.
[00:05:44.000 --> 00:05:50.000]   And what you need to have is you need to be able to test the ability of an agent, whether that be biological or artificial,
[00:05:50.000 --> 00:05:58.000]   to explore an open world, understand what goals it needs to do, and ultimately look at the rewards and go from there.
[00:05:58.000 --> 00:06:05.000]   So this is actually very in line with what Rich Sutton had just published within his paper, "Welcome to the Era of Experience."
[00:06:05.000 --> 00:06:20.000]   And he argues that if we want agents that will be readily adaptable to the human world, they need to engage with the open world, they need to collect observational data, and they need to be able to take that data to build a world model and make their own rules and really understand what it is.
[00:06:20.000 --> 00:06:25.000]   Or else you're just going to have the human data ceiling going forward from here.
[00:06:25.000 --> 00:06:35.000]   If we're going to be able to build this, we're going to need a new type of benchmark that gets out of the single turn realm, and this is where interactive reasoning benchmarks are going to come in.
[00:06:35.000 --> 00:06:50.000]   Now an interactive reasoning benchmark is going to be a benchmark where you have a controlled environment, you have defined rules, and you may have sparse rewards where an agent needs to navigate to understand what is going on in order to explore and complete the objective from here.
[00:06:50.000 --> 00:06:59.000]   Now there's an open question as to all right, if our aim is interactive reasoning benchmarks, what is the medium in which we're going to actually execute these benchmarks in?
[00:06:59.000 --> 00:07:07.000]   And it turns out that actually games are quite suitable for interactive reasoning benchmarks.
[00:07:07.000 --> 00:07:23.000]   The reason for this is games, they're a very unique set of intersection of complex rules, defined scope, and you have large flexibility into creating these types of environments that you can then go put different artificial systems in or biological systems with it.
[00:07:23.000 --> 00:07:33.000]   Now, I know what you may be asking here, wait, Greg, didn't we already do games? Didn't we do this 10 years ago? We already went through the Atari phase.
[00:07:33.000 --> 00:07:43.000]   Well, yes, we did, but there's actually a huge amount of issues with what was going on during that realm there, not even just starting with all the dense rewards that come with the Atari games.
[00:07:43.000 --> 00:07:49.000]   There was a ton of irregular reporting, so everybody would put their own performance on these different scales and was tough to compare these models with it.
[00:07:49.000 --> 00:07:58.000]   There was no hidden test set that came, and then one of my biggest gripes with the Atari phase was that all the developers, they already knew what the Atari games were.
[00:07:58.000 --> 00:08:07.000]   So they were able to inject their own developer intelligence into their models themselves, and then all of a sudden the intelligence of the performance, well, that's getting barred from the developer.
[00:08:07.000 --> 00:08:10.000]   That's not actually getting done by the model itself from there.
[00:08:10.000 --> 00:08:22.000]   So if we were able to create a benchmark that overcame these shortcomings, well, then we'd be able to make a capabilities assertion about the model that beat it that we've never been able to make beforehand.
[00:08:22.000 --> 00:08:33.000]   And so to put it another way that's a bit more visual, we know that AI can beat one game. This is proved. AI can beat chess. AI can beat Go. We've seen this many, many, many times here.
[00:08:33.000 --> 00:08:42.000]   And we know that AI can beat 50 known games with unlimited compute and unlimited training data. We've seen this happen with Agent 57 and Mute Zero.
[00:08:42.000 --> 00:08:55.000]   But the assertion that we want to make is, well, what if AI beat 100 games that the system has never seen beforehand and the developer has never actually seen beforehand either?
[00:08:55.000 --> 00:09:07.000]   If we were able to successfully put a test or put AI to this test, then we could make the capabilities assertion about that AI that we don't currently have in the market right now.
[00:09:07.000 --> 00:09:16.000]   And I'm excited to say that that's exactly what Arc is going to go build. So this is going to be our version three benchmark. Today is a sneak preview about what that's going to look like.
[00:09:16.000 --> 00:09:25.000]   And this is going to be our first interactive reasoning benchmark that is going to come from Arc. And I want to jump into three reasons why it's very unique here.
[00:09:25.000 --> 00:09:36.000]   So the first one is much like our current benchmark, we're going to have a public training and a public evaluation set. So the reason why this is important with our public training, call it on the order of about 40 different novel games.
[00:09:36.000 --> 00:09:45.000]   This will be where the developer and the AI can understand the interface and understand kind of what's going on here. But all performance reporting will happen on the private evaluation set.
[00:09:45.000 --> 00:09:52.000]   And this is very important because on this private evaluation set, there's no internet access allowed. So no data is getting out about this.
[00:09:52.000 --> 00:09:59.000]   The scores that come out of private evaluation set will have been done by an AI that has never seen these games beforehand and neither has the developer seen them.
[00:09:59.000 --> 00:10:13.000]   So we can authoritatively say that this AI has generalized to these open domains here. Now, the second important point about what ArcGIS 3 is going to have is it's going to force understanding through exploration.
[00:10:13.000 --> 00:10:19.000]   One of my other gripes with current game benchmarks out there is you give a lot of instruction to the actual AI itself.
[00:10:19.000 --> 00:10:31.000]   It's like, hey, you're in a racing game, or hey, you're in an FPS, go control the mouse and do all these things. We're going to drop AI and humans into this world, and they won't know what's going on until they start exploring.
[00:10:31.000 --> 00:10:37.000]   So even as I look at this screenshot, this is actually one of our first games, we call it Locksmith. We give all of our games a cool little name like that.
[00:10:37.000 --> 00:10:46.000]   As I look at this, I don't know what's going on, right? But I start to explore and I start to understand, oh, there's certain things I need to pick up.
[00:10:46.000 --> 00:10:52.000]   There may be walls, there may be goals and objectives. I'm not sure what those goals and objectives are right when I first start, but that's the point.
[00:10:52.000 --> 00:11:01.000]   So not only are we going to ask humans to explore and make up their own rules as to understand how to do the game, but we're going to require the same thing for AI as well.
[00:11:01.000 --> 00:11:06.000]   And that's something that we're not currently seeing from the reasoning models that we have from there.
[00:11:06.000 --> 00:11:14.000]   Now, the third key point is that we're only going to require core knowledge priors only. This is something that we carry from ArcGIS 1 and 2 as well.
[00:11:14.000 --> 00:11:23.000]   But what this means is, you'll notice the ArcTasks, there's no language, there's no text that's being involved here, there's no symbols, and we're not asking you any trivia.
[00:11:23.000 --> 00:11:28.000]   So I call these other benchmarks that rely on these, sometimes we try to make the hardest problems possible.
[00:11:28.000 --> 00:11:32.000]   We go hire the best people in the world, and I call them PhD++ problems, right?
[00:11:32.000 --> 00:11:38.000]   And that's great, but AI is already superhuman, it's way smarter than me in a lot of different domains.
[00:11:38.000 --> 00:11:42.000]   We take the alternative approach, which is let's look at more of the floor and look at the reliability side.
[00:11:42.000 --> 00:11:46.000]   Let's take anything outside of core knowledge and strip those away.
[00:11:46.000 --> 00:11:51.000]   So core knowledge priors, the four of them that there are, are basic math.
[00:11:51.000 --> 00:11:56.000]   And these are things that are humans that we're either born with or hardwired to gather immediately after birth.
[00:11:56.000 --> 00:12:02.000]   So basic math, meaning counting up to 10. Basic geometry, so understanding different shapes and topology.
[00:12:02.000 --> 00:12:08.000]   And then agentness, which is understanding theory of mind, that there's other types of agents out there in the world that I know that they're interacting.
[00:12:08.000 --> 00:12:10.000]   And then the fourth one is objectness.
[00:12:10.000 --> 00:12:17.000]   So as we create our benchmark, these are the four principles that we like to go after when we try to test the abstract and reasoning piece.
[00:12:17.000 --> 00:12:23.000]   Now, I was reading the recent Darkesh essay, and he actually put it really well in one of his paragraphs here.
[00:12:23.000 --> 00:12:35.000]   He was talking about one of the reasons why humans are great, and he says it's their ability to build up context, interrogate their own failures, and pick up small improvements and efficiencies as they practice a task.
[00:12:35.000 --> 00:12:42.000]   We don't yet have this type of environment that can go and test this from a benchmark perspective for AI.
[00:12:42.000 --> 00:12:45.000]   And this is exactly what ArcGIS is going to go build.
[00:12:45.000 --> 00:12:49.000]   So before we wrap it up here, I want to talk about how we're going to evaluate AI.
[00:12:49.000 --> 00:12:51.000]   Because it's like, okay, cool, they go play the game.
[00:12:51.000 --> 00:12:52.000]   Well, what does it mean?
[00:12:52.000 --> 00:12:54.000]   How do you know if it's doing well or it's not?
[00:12:54.000 --> 00:12:57.000]   And we're going to bring it back to Francois' definition.
[00:12:57.000 --> 00:13:01.000]   So we're going to bring it back to skill acquisition efficiency.
[00:13:01.000 --> 00:13:05.000]   And we're going to use humans, which again, is our only proof point of general intelligence.
[00:13:05.000 --> 00:13:07.000]   We're going to use humans as the baseline.
[00:13:07.000 --> 00:13:11.000]   So we're going to go and test hundreds of humans on these exact Arc tasks.
[00:13:11.000 --> 00:13:13.000]   And we're going to measure how long does it take them?
[00:13:13.000 --> 00:13:15.000]   How many actions does it take them to complete the game?
[00:13:15.000 --> 00:13:20.000]   And then we're going to get a human baseline and we're going to be able to measure AI in the same exact way.
[00:13:20.000 --> 00:13:26.000]   So can the AI explore the environment, intuit about it, create its own goals and complete the objectives faster than humans?
[00:13:26.000 --> 00:13:31.000]   Well, if it cannot, I would go as far as to assert that we do not yet have AGI.
[00:13:31.000 --> 00:13:38.000]   And as long as we can come up with problems that humans can still do but machines cannot, I would again assert that we do not have AGI with it.
[00:13:38.000 --> 00:13:44.000]   So we're going to be looking at skill acquisition efficiency as our main output metric here.
[00:13:44.000 --> 00:13:47.000]   Today, we're giving a sneak preak about what this looks like.
[00:13:47.000 --> 00:13:48.000]   This is World's Fair.
[00:13:48.000 --> 00:13:51.000]   Actually, next month in San Francisco, we're going to give a sandbox preview.
[00:13:51.000 --> 00:13:52.000]   So we're going to release five games.
[00:13:52.000 --> 00:13:54.000]   We know better than to try to wait till the end.
[00:13:54.000 --> 00:13:55.000]   We're going to make contact with reality.
[00:13:55.000 --> 00:13:57.000]   We're going to put out these fives.
[00:13:57.000 --> 00:13:59.000]   We're actually going to host a mini agent competition too.
[00:13:59.000 --> 00:14:01.000]   So we want to see what is the best possible agent that people can do.
[00:14:01.000 --> 00:14:03.000]   We'll put up a little prize money.
[00:14:03.000 --> 00:14:06.000]   And then we're going to look forward to launching about 120 games.
[00:14:06.000 --> 00:14:10.000]   That's the goal by Q1 of 2026.
[00:14:10.000 --> 00:14:14.000]   Now, that sounds like it's not that many games and you think it's not that many data points.
[00:14:14.000 --> 00:14:17.000]   But the richness of each one of these games goes really, really deep.
[00:14:17.000 --> 00:14:18.000]   There's multiple levels.
[00:14:18.000 --> 00:14:19.000]   It goes deep with each one of them.
[00:14:19.000 --> 00:14:22.000]   And it's quite the operational challenge to make all of these.
[00:14:22.000 --> 00:14:26.000]   And that's a whole other side of the benchmarking process, which I'm happy to talk about later.
[00:14:26.000 --> 00:14:31.000]   If this mission resonates with you, again, ArcPrize, we are a nonprofit.
[00:14:31.000 --> 00:14:35.000]   One of the best ways to get involved is through making a direct tax-deductible donation from that.
[00:14:35.000 --> 00:14:39.000]   If anybody in the room knows any philanthropic donors, whether it be LPs or individuals,
[00:14:39.000 --> 00:14:41.000]   I'd love to absolutely talk to them.
[00:14:41.000 --> 00:14:43.000]   But then also, we're looking for adversarial testers.
[00:14:43.000 --> 00:14:46.000]   We want to pressure test ArcGi 3 as best as we can.
[00:14:46.000 --> 00:14:49.000]   So if there's anybody who's interested in participating in the agent competition,
[00:14:49.000 --> 00:14:52.000]   whether it's online or offline, let me know.
[00:14:52.000 --> 00:14:53.000]   Happy to chat.
[00:14:53.000 --> 00:14:54.000]   Happy to chat.
[00:14:54.000 --> 00:14:59.000]   And then also, kind of a cool story, we originally started with Unity to try to make these games.
[00:14:59.000 --> 00:15:06.000]   And we quickly found out that Unity was way overkill for what we needed to do if you're just doing 2x2, 64x64 games here.
[00:15:06.000 --> 00:15:09.000]   So we're actually making a very lightweight Python engine ourselves.
[00:15:09.000 --> 00:15:14.000]   So if there's any game developers out there, anybody who wants to get involved with this and knows Python well,
[00:15:14.000 --> 00:15:20.000]   we're looking for game developers and game designers as well.
[00:15:20.000 --> 00:15:21.000]   And that is all we have today.
[00:15:21.000 --> 00:15:22.000]   Thank you very much.
[00:15:22.000 --> 00:15:31.000]   Kyle, do we have--
[00:15:31.000 --> 00:15:34.000]   Yeah, I think we have time in this case for a couple of questions.
[00:15:34.000 --> 00:15:36.000]   If anyone wants to come up, there's microphones.
[00:15:36.000 --> 00:15:38.000]   One, two, three of them.
[00:15:38.000 --> 00:15:40.000]   Maybe a couple of questions.
[00:15:40.000 --> 00:15:41.000]   I'm going to kick that off.
[00:15:41.000 --> 00:15:42.000]   Sure, yeah, yeah.
[00:15:42.000 --> 00:15:43.000]   All right.
[00:15:43.000 --> 00:15:44.000]   Yes, yes.
[00:15:44.000 --> 00:15:45.000]   Question for you.
[00:15:45.000 --> 00:15:46.000]   So, and I don't know where--
[00:15:46.000 --> 00:15:47.000]   I can repeat.
[00:15:47.000 --> 00:15:48.000]   Okay.
[00:15:48.000 --> 00:15:49.000]   All right.
[00:15:49.000 --> 00:15:55.000]   It's very hard to make estimates about timelines famously, but if you had to guess,
[00:15:55.000 --> 00:16:00.000]   how long do you think this new version of the benchmark you're making will take before it gets saturated?
[00:16:00.000 --> 00:16:10.000]   Well, the way I think about that is, well, I would say I'm counting in years.
[00:16:10.000 --> 00:16:11.000]   I'm not counting decades.
[00:16:11.000 --> 00:16:12.000]   We'll put it that way.
[00:16:12.000 --> 00:16:13.000]   Okay.
[00:16:13.000 --> 00:16:14.000]   Interesting.
[00:16:14.000 --> 00:16:15.000]   All right.
[00:16:15.000 --> 00:16:16.000]   Yeah, we'll take one at each mic.
[00:16:16.000 --> 00:16:18.000]   Looks like it's well distributed.
[00:16:18.000 --> 00:16:19.000]   So, starting over here.
[00:16:19.000 --> 00:16:20.000]   Sure.
[00:16:20.000 --> 00:16:21.000]   Hi.
[00:16:21.000 --> 00:16:24.000]   You mentioned efficiency as part of the requirements.
[00:16:24.000 --> 00:16:33.000]   And so I'm wondering for the benchmarks if you're considering things like wattage or time or other ways of using that as one of the criteria.
[00:16:33.000 --> 00:16:34.000]   Yeah, I love that question.
[00:16:34.000 --> 00:16:39.000]   And I would have put it in if I had more time, but I'm very opinionated about efficiency for measuring AI systems.
[00:16:39.000 --> 00:16:47.000]   If I could have two denominators for intelligence on the output, number one would be energy because you know how much energy the human brain takes.
[00:16:47.000 --> 00:16:48.000]   And that's our proof point of general intelligence.
[00:16:48.000 --> 00:16:50.000]   So you can take how much calories the human brain takes.
[00:16:50.000 --> 00:16:51.000]   So I'd love to do energy.
[00:16:51.000 --> 00:16:55.000]   But the number two denominator is the amount of training data that you need for it.
[00:16:55.000 --> 00:16:58.000]   Neither of which are very accessible for closed models in the current day.
[00:16:58.000 --> 00:16:59.000]   So we use proxies.
[00:16:59.000 --> 00:17:01.000]   And the proxy is the cost.
[00:17:01.000 --> 00:17:05.000]   But then with interactive evils like this, you get another proxy, which is action count.
[00:17:05.000 --> 00:17:07.000]   And how long does it take you to actually do it?
[00:17:07.000 --> 00:17:09.000]   We're not going to have a wall clock within these games.
[00:17:09.000 --> 00:17:10.000]   It's going to be turn based.
[00:17:10.000 --> 00:17:13.000]   So we won't have a wall clock to do it.
[00:17:13.000 --> 00:17:14.000]   Awesome.
[00:17:14.000 --> 00:17:15.000]   All right.
[00:17:15.000 --> 00:17:16.000]   Question two, and then we'll do three.
[00:17:16.000 --> 00:17:17.000]   Please keep them both very short.
[00:17:17.000 --> 00:17:18.000]   Yeah.
[00:17:18.000 --> 00:17:19.000]   Yeah.
[00:17:19.000 --> 00:17:20.000]   Very quick question.
[00:17:20.000 --> 00:17:23.000]   Could you define more what you mean by objectness?
[00:17:23.000 --> 00:17:24.000]   Yes.
[00:17:24.000 --> 00:17:25.000]   That one's actually quite simple.
[00:17:25.000 --> 00:17:32.000]   It's just understanding that when you look out into the world, that there's a mass of things that may act together.
[00:17:32.000 --> 00:17:37.000]   So the crude way would be you have one pixel, but then it's surrounded by a whole bunch of other pixels and they all move together.
[00:17:37.000 --> 00:17:41.000]   You understand all those pixels as one and it kind of acting as a one body rather than individual.
[00:17:41.000 --> 00:17:44.000]   And really evolutionary wise, that's the same.
[00:17:44.000 --> 00:17:45.000]   That's a tree over there.
[00:17:45.000 --> 00:17:50.000]   All this is part of the same tree, that kind of thing.
[00:17:50.000 --> 00:17:51.000]   Final question.
[00:17:51.000 --> 00:17:52.000]   I'll keep this one super short.
[00:17:52.000 --> 00:18:03.000]   How do you distinguish between tasks that in the games that you guys are developing, how do you distinguish between tasks that humans cannot do and an AGI also cannot do?
[00:18:03.000 --> 00:18:05.000]   Like what is the north star there?
[00:18:05.000 --> 00:18:07.000]   It's a good question.
[00:18:07.000 --> 00:18:12.000]   Tasks that humans cannot do are a bit out of scope for our thesis on how we want to drive towards AGI.
[00:18:12.000 --> 00:18:16.000]   So I would say that's not really the aim that we're looking for on that.
[00:18:16.000 --> 00:18:20.000]   That's a whole different conversation around super intelligence than maybe that's for another time.
[00:18:20.000 --> 00:18:21.000]   Thank you.
[00:18:21.000 --> 00:18:22.000]   Thank you.
[00:18:22.000 --> 00:18:23.000]   Thank you.
[00:18:23.000 --> 00:18:27.360]   Transcription by CastingWords

