
[00:00:00.000 --> 00:00:03.200]   Well, good morning.
[00:01:52.360 --> 00:01:54.680]   Let love be genuine,
[00:01:54.680 --> 00:01:57.280]   abhor or hate what is evil,
[00:01:57.280 --> 00:02:00.640]   and cling to that which is good.
[00:02:00.640 --> 00:02:10.600]   So, I realize areas in my life as a husband or as a wife that I am violating God's word in,
[00:02:10.600 --> 00:02:15.160]   I've got to learn to turn all my negative emotions on
[00:02:15.160 --> 00:02:19.480]   that violation and learn to hate that about myself,
[00:02:19.480 --> 00:02:22.080]   and learn to cling to that which is good.
[00:02:22.080 --> 00:02:23.440]   That's what I need to do.
[00:02:23.440 --> 00:02:28.880]   That's really important, and this is what we need to do today here as well.
[00:02:28.880 --> 00:02:33.200]   For husbands, we're going to talk about three key areas to help you to
[00:02:33.200 --> 00:02:37.000]   remember your role as a godly husband,
[00:02:37.000 --> 00:02:38.760]   and I just want you to use them,
[00:02:38.760 --> 00:02:40.600]   put them in the back pocket of your memory,
[00:02:40.600 --> 00:02:42.560]   and pull them out every now and then say,
[00:02:42.560 --> 00:02:44.560]   "How am I doing? How am I doing?"
[00:02:44.560 --> 00:02:49.960]   I'm not going to share these so that wives can hold you to these standards.
[00:02:49.960 --> 00:02:54.800]   I'm sharing this so that you will hold yourself to this standard.
[00:02:54.800 --> 00:02:56.640]   So, this is really important.
[00:02:56.640 --> 00:03:00.160]   Even though your wife may keep copious notes on this,
[00:03:00.160 --> 00:03:03.760]   it's not her job to be your personal Holy Spirit.
[00:03:03.760 --> 00:03:05.960]   You already have one to convict you of sin,
[00:03:05.960 --> 00:03:09.360]   righteousness, and judgment, and she's not the Holy Spirit.
[00:03:09.360 --> 00:03:11.760]   She never will be, and it's not her job to do that,
[00:03:11.760 --> 00:03:15.680]   to remind you of all the areas where you're doing things wrong.
[00:03:15.680 --> 00:03:17.640]   No, no, no. You have a Holy Spirit.
[00:03:17.640 --> 00:03:21.720]   The Holy Spirit will do a whole bunch better job than she'll ever do.
[00:03:21.720 --> 00:03:25.000]   So, it's not her job to do that kind of thing.
[00:03:25.000 --> 00:03:26.680]   Now, take your Bible.
[00:03:26.680 --> 00:03:28.120]   If you don't have a Bible near you,
[00:03:28.120 --> 00:03:31.280]   look on somebody who's close by. You need to see this.
[00:03:31.280 --> 00:03:32.760]   Let's go back to Genesis 3.
[00:03:32.760 --> 00:03:35.080]   Remember, we went back to Genesis last night,
[00:03:35.080 --> 00:03:41.640]   and we talked a little bit about what did God set as the standard for family,
[00:03:41.640 --> 00:03:46.920]   for marriage, we talked about the purpose of marriage being that of companionship,
[00:03:46.920 --> 00:03:49.480]   and that's the very thing that really suffers
[00:03:49.480 --> 00:03:53.480]   when a marriage gets into trouble is the issue of companionship.
[00:03:53.480 --> 00:03:57.920]   Well, we're going to drop in to Genesis 3 now.
[00:03:57.920 --> 00:03:59.840]   After the fall has occurred,
[00:03:59.840 --> 00:04:01.440]   Adam and Eve have sinned,
[00:04:01.440 --> 00:04:04.400]   God has brought the curse upon them,
[00:04:04.400 --> 00:04:06.040]   and in bringing the curse,
[00:04:06.040 --> 00:04:07.880]   first he talks to the serpent,
[00:04:07.880 --> 00:04:09.080]   then he talks to the woman,
[00:04:09.080 --> 00:04:10.480]   then he talks to the man,
[00:04:10.480 --> 00:04:14.480]   but in between the man and woman's curse,
[00:04:14.480 --> 00:04:17.160]   there's a transitional statement there.
[00:04:17.160 --> 00:04:19.840]   It says in verse 16 to the woman he said,
[00:04:19.840 --> 00:04:24.600]   "I will surely multiply your pain in childbearing,
[00:04:24.600 --> 00:04:26.760]   in pain you shall bring for children."
[00:04:26.760 --> 00:04:28.400]   Now, I want you to think about that for a moment,
[00:04:28.400 --> 00:04:32.000]   because we're going to come back to that a little bit later on the last session that we
[00:04:32.000 --> 00:04:36.320]   do and explain that and flush that out a little bit more fully.
[00:04:36.320 --> 00:04:39.400]   But then he says, and here's the transitional phrase,
[00:04:39.400 --> 00:04:44.640]   "Your desire shall be for your husband and he shall rule over you."
[00:04:44.640 --> 00:04:46.080]   Now, the question now comes,
[00:04:46.080 --> 00:04:47.840]   what does that mean?
[00:04:47.840 --> 00:04:51.760]   I cannot tell you how many trees have died producing
[00:04:51.760 --> 00:04:56.480]   paper to make books explaining what that meant down through history.
[00:04:56.480 --> 00:05:01.120]   There are all kinds of commentaries on this particular thing.
[00:05:01.120 --> 00:05:03.180]   What does it mean when it says,
[00:05:03.180 --> 00:05:05.000]   "Your desire," he says to the woman,
[00:05:05.000 --> 00:05:08.240]   "shall be for your husband and he shall rule over you."
[00:05:08.240 --> 00:05:10.680]   All kinds of theories are put out there.
[00:05:10.680 --> 00:05:12.840]   Now, one of the best hermeneutical rules,
[00:05:12.840 --> 00:05:16.400]   I teach hermeneutics and advanced hermeneutics in our graduate program.
[00:05:16.400 --> 00:05:18.960]   This is just principles of biblical interpretation.
[00:05:18.960 --> 00:05:23.920]   One of the best things you can remember is a text without a context is a pretext for
[00:05:23.920 --> 00:05:28.240]   a proof text. A text without a context is a pretext for a proof text.
[00:05:28.240 --> 00:05:32.680]   That's always important in relationship to biblical understanding.
[00:05:32.680 --> 00:05:34.920]   If you don't understand things within context,
[00:05:34.920 --> 00:05:38.040]   within the way in which that author has stated something,
[00:05:38.040 --> 00:05:41.560]   then you really don't understand what's going on.
[00:05:41.560 --> 00:05:45.320]   Now, you hate it when somebody takes you out of context, right?
[00:05:45.320 --> 00:05:46.920]   All right, you just hate that.
[00:05:46.920 --> 00:05:49.640]   I used an illustration back 2002,
[00:05:49.640 --> 00:05:53.680]   after the 9/11 and the towers came down.
[00:05:53.680 --> 00:05:57.040]   There's a story told real not far from here on a Shoney's,
[00:05:57.040 --> 00:06:00.600]   on Alligator Alley where a waitress overheard
[00:06:00.600 --> 00:06:04.480]   a couple of Muslim students talking about bringing it down in Miami,
[00:06:04.480 --> 00:06:05.840]   and she called the police.
[00:06:05.840 --> 00:06:09.960]   The police descended on them and arrested these two Muslim students and so on,
[00:06:09.960 --> 00:06:12.600]   and it turned out they weren't talking about bringing buildings down,
[00:06:12.600 --> 00:06:15.000]   they were talking about bringing money down to Miami.
[00:06:15.000 --> 00:06:16.880]   So, it turned out to be the wrong thing.
[00:06:16.880 --> 00:06:18.800]   So, they were totally taken out of context,
[00:06:18.800 --> 00:06:20.960]   and you hate it when you're taken out of context.
[00:06:20.960 --> 00:06:26.480]   You imagine how God feels when you take his word out of context, all right?
[00:06:26.480 --> 00:06:28.280]   You take it, you misuse it,
[00:06:28.280 --> 00:06:30.080]   and you use it for your own purposes.
[00:06:30.080 --> 00:06:32.040]   You don't use it the way God intended it.
[00:06:32.040 --> 00:06:33.760]   What does he think about that?
[00:06:33.760 --> 00:06:37.240]   That's why we say a text without a context is a pretext for proof text.
[00:06:37.240 --> 00:06:39.000]   That's why we say that. That's really important.
[00:06:39.000 --> 00:06:40.360]   You can't take things out of context.
[00:06:40.360 --> 00:06:42.960]   So, what does this mean within context?
[00:06:42.960 --> 00:06:44.080]   That's the key question.
[00:06:44.080 --> 00:06:46.080]   Well, one of the best ways to tell that,
[00:06:46.080 --> 00:06:51.320]   is you go to the next closest place where that same author uses the same word,
[00:06:51.320 --> 00:06:54.240]   in this particular case, the same Hebrew word,
[00:06:54.240 --> 00:06:57.840]   and see how he used it in that sense,
[00:06:57.840 --> 00:06:59.800]   and then we can put it back into this,
[00:06:59.800 --> 00:07:03.300]   and probably be pretty sure that that's what he meant here.
[00:07:03.300 --> 00:07:05.880]   Now, so the next time our author, in this case,
[00:07:05.880 --> 00:07:08.560]   Moses, uses this particular word,
[00:07:08.560 --> 00:07:10.800]   is Genesis chapter 4.
[00:07:10.800 --> 00:07:13.960]   If you go over to Genesis chapter 4,
[00:07:13.960 --> 00:07:18.880]   in verse 7, it says,
[00:07:18.880 --> 00:07:21.600]   God is talking to Cain and says,
[00:07:21.600 --> 00:07:24.320]   "If you do well, will you not be accepted?"
[00:07:24.320 --> 00:07:26.000]   Or really, literally, the Hebrew says,
[00:07:26.000 --> 00:07:28.120]   "Will not your face be lifted up?"
[00:07:28.120 --> 00:07:30.120]   Because there's always joy and obedience.
[00:07:30.120 --> 00:07:32.040]   "But if you do not do well,
[00:07:32.040 --> 00:07:35.280]   sin is crouching at the door.
[00:07:35.280 --> 00:07:36.660]   It's desire."
[00:07:36.660 --> 00:07:38.500]   There's our same word. See that word, desire?
[00:07:38.500 --> 00:07:41.020]   "It's desire is for you,
[00:07:41.020 --> 00:07:42.500]   but you must master it."
[00:07:42.500 --> 00:07:44.320]   Now, it's very clear what he means here.
[00:07:44.320 --> 00:07:49.700]   That is, sin is waiting at the door of Cain's life,
[00:07:49.700 --> 00:07:53.420]   and if Cain goes through that door,
[00:07:53.420 --> 00:07:55.900]   it desires, almost like a wild animal,
[00:07:55.900 --> 00:07:57.220]   to jump on him, and master him,
[00:07:57.220 --> 00:08:00.380]   and control him, and manipulate him, is the idea.
[00:08:00.380 --> 00:08:02.480]   So, desire, in this particular case,
[00:08:02.480 --> 00:08:04.520]   is a lust for control,
[00:08:04.520 --> 00:08:06.700]   a lust for desire,
[00:08:06.700 --> 00:08:08.360]   or desire for control.
[00:08:08.360 --> 00:08:10.160]   Now, if you take that meaning,
[00:08:10.160 --> 00:08:12.760]   plug that back in to 3.16,
[00:08:12.760 --> 00:08:14.080]   then all of a sudden, we get
[00:08:14.080 --> 00:08:16.140]   a little bit clearer understanding.
[00:08:16.140 --> 00:08:18.400]   Her desire is a result of the curse.
[00:08:18.400 --> 00:08:20.200]   Since Eve walked out in front of
[00:08:20.200 --> 00:08:22.200]   her husband and did this thing with the serpent,
[00:08:22.200 --> 00:08:23.520]   then her husband followed her,
[00:08:23.520 --> 00:08:25.280]   which is exactly the reverse of
[00:08:25.280 --> 00:08:27.980]   what God intended to happen.
[00:08:27.980 --> 00:08:31.220]   She's going to follow the natural consequences
[00:08:31.220 --> 00:08:33.960]   of her sin, is the idea.
[00:08:33.960 --> 00:08:37.600]   Your desire, in this particular case,
[00:08:37.600 --> 00:08:40.200]   that is, your desire to
[00:08:40.200 --> 00:08:43.440]   control and manipulate your husband,
[00:08:43.440 --> 00:08:46.640]   and his desire will be to rule over you.
[00:08:46.640 --> 00:08:48.160]   The word for rule there is
[00:08:48.160 --> 00:08:51.500]   a very heavy word that means despotic rule.
[00:08:51.500 --> 00:08:52.760]   So, her desire is to
[00:08:52.760 --> 00:08:54.400]   control and manipulate her husband.
[00:08:54.400 --> 00:08:56.040]   His desire is to rule.
[00:08:56.040 --> 00:08:58.780]   So, the husband and wife relationship
[00:08:58.780 --> 00:09:00.220]   under the curse becomes
[00:09:00.220 --> 00:09:03.180]   a game of king of the hill, all right?
[00:09:03.180 --> 00:09:06.020]   She wants to control and manipulate him,
[00:09:06.020 --> 00:09:09.100]   he wants to dominate and rule over her.
[00:09:09.100 --> 00:09:10.740]   So now, under the curse,
[00:09:10.740 --> 00:09:15.540]   marriage becomes a constant conflict.
[00:09:15.540 --> 00:09:18.540]   Now, even ungodly marriages can live in
[00:09:18.540 --> 00:09:20.940]   a relatively peaceful environment,
[00:09:20.940 --> 00:09:23.860]   but that's only a sustained truce.
[00:09:23.860 --> 00:09:25.460]   That's all that is.
[00:09:25.460 --> 00:09:28.020]   It's not the true intimacy and
[00:09:28.020 --> 00:09:30.020]   companionship that God
[00:09:30.020 --> 00:09:32.580]   intended in genuine marriage.
[00:09:32.580 --> 00:09:33.900]   That's not it at all.
[00:09:33.900 --> 00:09:35.740]   Doesn't even come close to it.
[00:09:35.740 --> 00:09:37.660]   But the idea here is,
[00:09:37.660 --> 00:09:40.820]   her desire is to control and manipulate her husband.
[00:09:40.820 --> 00:09:44.980]   His desire is to rule over her and dominate her,
[00:09:44.980 --> 00:09:49.180]   and so now marriage becomes a struggle.
[00:09:49.180 --> 00:09:52.460]   Even Christian marriages, to some extent,
[00:09:52.460 --> 00:09:56.020]   manifest that particular struggle.
[00:09:56.020 --> 00:09:58.500]   Sometimes the fruit or the results of
[00:09:58.500 --> 00:10:00.540]   that curse begins to
[00:10:00.540 --> 00:10:03.060]   occur even in the Christian marriage.
[00:10:03.060 --> 00:10:04.340]   My wife sometimes when she
[00:10:04.340 --> 00:10:06.060]   does women's seminars, she'll say this.
[00:10:06.060 --> 00:10:07.300]   She says, "I have never,
[00:10:07.300 --> 00:10:09.780]   ever counseled a woman where she didn't have,
[00:10:09.780 --> 00:10:12.780]   either overtly or covertly,
[00:10:12.780 --> 00:10:14.700]   wanted to control and manipulate
[00:10:14.700 --> 00:10:17.220]   what her husband did in her heart."
[00:10:17.220 --> 00:10:18.260]   That's what she wants.
[00:10:18.260 --> 00:10:20.580]   She wants him to turn out a certain way,
[00:10:20.580 --> 00:10:23.060]   and I've never met a guy in
[00:10:23.060 --> 00:10:25.180]   counseling that didn't have in some way,
[00:10:25.180 --> 00:10:27.500]   either overtly or covertly,
[00:10:27.500 --> 00:10:30.180]   trying to control and manipulate
[00:10:30.180 --> 00:10:34.020]   and keep his thumb on his wife,
[00:10:34.020 --> 00:10:37.220]   and so you've got this struggle where they were
[00:10:37.220 --> 00:10:40.820]   supposed to work together and compliment each other.
[00:10:40.820 --> 00:10:42.300]   Now, under the curse,
[00:10:42.300 --> 00:10:46.700]   marriage becomes, instead of a compliment, a conflict.
[00:10:46.700 --> 00:10:49.500]   Marriage becomes a conflict.
[00:10:49.500 --> 00:10:51.820]   It becomes a difficulty,
[00:10:51.820 --> 00:10:55.100]   a strife, if you will.
[00:10:55.100 --> 00:10:57.060]   There's the implication.
[00:10:57.060 --> 00:11:01.340]   Now, you're beginning to see why we have problems,
[00:11:01.340 --> 00:11:07.180]   why there are so many difficulties that go on,
[00:11:07.180 --> 00:11:09.540]   even in the Christian marriage.
[00:11:09.540 --> 00:11:11.220]   Now, in order to help you see this,
[00:11:11.220 --> 00:11:12.460]   there's a little comic strip.
[00:11:12.460 --> 00:11:14.340]   I remember finding this several years ago,
[00:11:14.340 --> 00:11:17.100]   and I kept it, and I had to put it up here.
[00:11:17.100 --> 00:11:23.420]   It says here, "I have a great idea," the wife says.
[00:11:23.420 --> 00:11:24.740]   "Let's reverse things.
[00:11:24.740 --> 00:11:28.780]   Today, you be grouchy at church and charming at home."
[00:11:28.780 --> 00:11:33.660]   I think that's pretty good.
[00:11:33.660 --> 00:11:38.180]   Today, I want you to be grouchy at church and charming at home.
[00:11:38.180 --> 00:11:39.660]   You go to church and all of a sudden,
[00:11:39.660 --> 00:11:42.740]   you turn on the charm and everybody sees it.
[00:11:42.740 --> 00:11:45.460]   Gentlemen, is that the way you are?
[00:11:45.460 --> 00:11:47.700]   At home, you're a grouch.
[00:11:47.700 --> 00:11:50.500]   You're a horrible person to live with.
[00:11:50.500 --> 00:11:52.940]   Then you get at church and oh my goodness,
[00:11:52.940 --> 00:11:54.980]   you're the most wonderful guy in the world,
[00:11:54.980 --> 00:11:56.620]   and you care about everybody,
[00:11:56.620 --> 00:11:58.860]   and now everything's going so well.
[00:11:58.860 --> 00:12:00.780]   That's not the way it should be.
[00:12:00.780 --> 00:12:04.580]   Never ever should it be that way. No way.
[00:12:04.580 --> 00:12:07.340]   So, here are some introductory concerns here.
[00:12:07.340 --> 00:12:10.860]   Number one, what is the nature of man's leadership in the home?
[00:12:10.860 --> 00:12:13.420]   What are we talking about here?
[00:12:13.420 --> 00:12:15.500]   In order to help you to understand this,
[00:12:15.500 --> 00:12:17.540]   I want you to grab your Bible for a moment,
[00:12:17.540 --> 00:12:21.100]   and go over to Matthew chapter 20.
[00:12:21.100 --> 00:12:24.420]   Matthew chapter 20.
[00:12:24.420 --> 00:12:29.260]   In order to understand a man's leadership in the home,
[00:12:29.260 --> 00:12:32.660]   Jesus talks about leadership here.
[00:12:32.660 --> 00:12:35.780]   He talks about how leadership is radically
[00:12:35.780 --> 00:12:39.260]   different than the way in which the world defines leadership.
[00:12:39.260 --> 00:12:43.660]   It is radically different, all right?
[00:12:43.660 --> 00:12:45.820]   Doesn't even come close to the world.
[00:12:45.820 --> 00:12:48.500]   In fact, it's an antithetical
[00:12:48.500 --> 00:12:51.660]   to what the world's definition of leadership is.
[00:12:51.660 --> 00:12:54.660]   You read all these books in business and stuff,
[00:12:54.660 --> 00:12:55.740]   and how to be a good leader,
[00:12:55.740 --> 00:12:59.620]   and you think about just about what the exact opposite of that is,
[00:12:59.620 --> 00:13:02.580]   you'll probably be pretty close to what the Bible says about it.
[00:13:02.580 --> 00:13:04.980]   All right, you don't even have to know the Bible.
[00:13:04.980 --> 00:13:08.300]   Just think about what the opposite is, all right?
[00:13:08.300 --> 00:13:09.780]   What is it?
[00:13:09.780 --> 00:13:11.380]   Well, notice this.
[00:13:11.380 --> 00:13:14.700]   Jesus defines leadership in verse 25.
[00:13:14.700 --> 00:13:18.060]   He says, "But Jesus called them to him and said,
[00:13:18.060 --> 00:13:22.460]   'You know that the rulers of the Gentiles lord it over them,
[00:13:22.460 --> 00:13:26.660]   and their great ones exercise authority over them.'"
[00:13:26.660 --> 00:13:28.260]   Now, look at that very carefully.
[00:13:28.260 --> 00:13:32.220]   In fact, the world's concept of leadership
[00:13:32.220 --> 00:13:37.500]   is to use heavy-handed authority over people,
[00:13:37.500 --> 00:13:39.860]   to lord it over people.
[00:13:39.860 --> 00:13:43.380]   It's a top-down view of leadership.
[00:13:43.380 --> 00:13:47.700]   You do what I say because I'm in control.
[00:13:47.700 --> 00:13:50.700]   I control this in your life and that in your life,
[00:13:50.700 --> 00:13:54.220]   and you got to do what I say.
[00:13:54.220 --> 00:13:56.900]   Jesus says that's the way the world has functioned
[00:13:56.900 --> 00:13:59.380]   ever since sin came into the world,
[00:13:59.380 --> 00:14:01.340]   ever since the curse.
[00:14:01.340 --> 00:14:03.220]   Oh, wow.
[00:14:03.220 --> 00:14:05.700]   To lord it over them.
[00:14:05.700 --> 00:14:08.500]   But then look at verse 26.
[00:14:08.500 --> 00:14:12.300]   "It shall not be so among you."
[00:14:12.300 --> 00:14:13.940]   He's talking to all Christians here.
[00:14:13.940 --> 00:14:16.740]   He's reaching across the ages and talking to you.
[00:14:16.740 --> 00:14:19.500]   "It shall not be so among you,
[00:14:19.500 --> 00:14:24.860]   but whoever wishes to be great among you must be your servant."
[00:14:24.860 --> 00:14:26.780]   And here he uses the word diakonos,
[00:14:26.780 --> 00:14:29.460]   which is where we get our English word deacon from,
[00:14:29.460 --> 00:14:31.740]   which actually means to be a table waiter.
[00:14:31.740 --> 00:14:33.460]   If you want to be a leader in my kingdom,
[00:14:33.460 --> 00:14:35.580]   you're going to be a table waiter.
[00:14:35.580 --> 00:14:36.860]   Is the idea.
[00:14:36.860 --> 00:14:40.380]   And whoever, verse 27 says,
[00:14:40.380 --> 00:14:43.860]   "Would be first among you must be your slave."
[00:14:43.860 --> 00:14:45.220]   Now he changes Greek terms.
[00:14:45.220 --> 00:14:47.140]   He goes to the term doulos.
[00:14:47.140 --> 00:14:50.700]   Slave here means third-level galley slave
[00:14:50.700 --> 00:14:52.140]   on those big warships.
[00:14:52.140 --> 00:14:54.260]   This is the same word that was used.
[00:14:54.260 --> 00:14:58.380]   The hottest, worst level was the third level,
[00:14:58.380 --> 00:15:02.860]   rowing in the galley in the hot, beastly hot,
[00:15:02.860 --> 00:15:05.900]   and hour after hour, your whole day,
[00:15:05.900 --> 00:15:07.660]   this is all you're doing.
[00:15:07.660 --> 00:15:09.500]   That's a doulos.
[00:15:09.500 --> 00:15:12.300]   Whoever is going to be first among you
[00:15:12.300 --> 00:15:17.060]   must first be a third-level galley slave?
[00:15:17.060 --> 00:15:18.420]   What in the world?
[00:15:18.420 --> 00:15:20.180]   Oh my goodness, that is just the opposite
[00:15:20.180 --> 00:15:22.460]   of what I think in terms of leadership.
[00:15:22.460 --> 00:15:24.300]   That's not what I'm thinking at all.
[00:15:24.300 --> 00:15:28.820]   Even as the Son of Man, verse 28 says,
[00:15:28.820 --> 00:15:32.340]   "Came not to be saved," or not to be served,
[00:15:32.340 --> 00:15:37.260]   "but to serve and to give his life a ransom for many."
[00:15:37.260 --> 00:15:39.900]   That's the idea.
[00:15:39.900 --> 00:15:44.940]   So it's not lording it over people.
[00:15:44.940 --> 00:15:46.660]   That's not true leadership.
[00:15:46.660 --> 00:15:47.820]   God never intended that.
[00:15:47.820 --> 00:15:50.540]   Not among God's people.
[00:15:50.540 --> 00:15:53.960]   It's not exercising top-down authority over people.
[00:15:53.960 --> 00:15:56.120]   It's working from the bottom up.
[00:15:56.120 --> 00:15:57.820]   That's true leadership.
[00:15:57.820 --> 00:16:00.940]   That is being willing to assume
[00:16:00.940 --> 00:16:04.860]   the most difficult roles in the home
[00:16:04.860 --> 00:16:06.980]   and working from the bottom up,
[00:16:06.980 --> 00:16:09.540]   and then everybody in the home is supposed to follow,
[00:16:09.540 --> 00:16:13.820]   and we'll see how that flushes itself out
[00:16:13.820 --> 00:16:16.420]   in terms of the Christian home a little bit later.
[00:16:16.420 --> 00:16:18.280]   So what does God expect of a husband?
[00:16:18.280 --> 00:16:22.220]   God expects him, whether he's leading or not,
[00:16:22.220 --> 00:16:24.820]   God holds him accountable for leading.
[00:16:24.820 --> 00:16:27.540]   You will be held accountable if you're a husband someday,
[00:16:27.540 --> 00:16:30.820]   and you stand before Jesus Christ.
[00:16:30.820 --> 00:16:32.300]   He will hold you accountable
[00:16:32.300 --> 00:16:35.460]   for how you are leading your home.
[00:16:35.460 --> 00:16:37.020]   Someday, you're gonna be there.
[00:16:37.020 --> 00:16:38.140]   I'm gonna be there.
[00:16:38.140 --> 00:16:39.560]   That's my responsibility.
[00:16:39.560 --> 00:16:41.860]   That's your responsibility as a husband.
[00:16:41.860 --> 00:16:45.020]   What does God expect of you?
[00:16:45.020 --> 00:16:46.660]   And how is the husband's role viewed
[00:16:46.660 --> 00:16:48.760]   in our society and culture?
[00:16:48.760 --> 00:16:51.380]   Well, we've already talked about the fact
[00:16:51.380 --> 00:16:53.540]   that in our culture, the home and marriage
[00:16:53.540 --> 00:16:55.640]   is under such a heavy attack.
[00:16:55.640 --> 00:16:58.700]   Many men command a business, an organization.
[00:16:58.700 --> 00:17:00.340]   They command things in the military.
[00:17:00.340 --> 00:17:03.140]   They command things even at church oftentimes,
[00:17:03.140 --> 00:17:05.540]   but they've abdicated the throne of responsibility
[00:17:05.540 --> 00:17:06.540]   in leading the home.
[00:17:06.540 --> 00:17:09.700]   They've forsaken it.
[00:17:09.700 --> 00:17:13.740]   This is not what God ever intended at all.
[00:17:13.740 --> 00:17:16.840]   In fact, what is the condition of your home?
[00:17:16.840 --> 00:17:20.820]   What is the condition of your home?
[00:17:20.820 --> 00:17:23.900]   If you were to step back and take an honest look
[00:17:23.900 --> 00:17:27.540]   at your leadership within your home,
[00:17:27.540 --> 00:17:30.300]   what is the condition of your home?
[00:17:30.300 --> 00:17:33.980]   Can you say that it matches what Jesus talks about
[00:17:33.980 --> 00:17:37.780]   in Matthew chapter 20, verses 25 through 28?
[00:17:37.780 --> 00:17:42.780]   Is this what is going on in your home?
[00:17:42.780 --> 00:17:44.580]   This is really key.
[00:17:44.580 --> 00:17:47.300]   Well, you say, okay, I understand.
[00:17:47.300 --> 00:17:48.700]   All right, I need help.
[00:17:48.700 --> 00:17:49.720]   Help me here.
[00:17:49.720 --> 00:17:52.340]   What does the Bible say I should be doing?
[00:17:52.340 --> 00:17:54.360]   Okay, I'm glad you asked that question.
[00:17:54.360 --> 00:17:56.420]   Let me see if I can answer that question
[00:17:56.420 --> 00:17:58.300]   as clearly as possible.
[00:17:58.300 --> 00:18:00.580]   In order to do that, there's three terms
[00:18:00.580 --> 00:18:02.100]   I want you to learn today.
[00:18:02.100 --> 00:18:04.420]   We're gonna learn things, and I know your wife thinks
[00:18:04.420 --> 00:18:07.160]   it's impossible for you to learn anything new,
[00:18:07.160 --> 00:18:10.220]   but you're gonna prove her wrong, okay?
[00:18:10.220 --> 00:18:14.240]   You're going to learn something new today, all right?
[00:18:14.240 --> 00:18:15.080]   Take your Bible.
[00:18:15.080 --> 00:18:17.860]   Let's go over to 1 Peter chapter three.
[00:18:17.860 --> 00:18:21.860]   1 Peter chapter three, and we're interested,
[00:18:21.860 --> 00:18:24.080]   and we're gonna pick up in verse seven.
[00:18:24.080 --> 00:18:27.860]   Let me explain real quickly a little bit
[00:18:27.860 --> 00:18:29.660]   about the background of 1 Peter.
[00:18:29.660 --> 00:18:31.540]   1 Peter was written to Christians
[00:18:31.540 --> 00:18:35.460]   undergoing severe persecution.
[00:18:35.460 --> 00:18:40.300]   It was during the time when Nero was emperor of Rome,
[00:18:40.300 --> 00:18:43.500]   and Nero persecuted Christians.
[00:18:43.500 --> 00:18:45.940]   In fact, I'm gonna come back to this
[00:18:45.940 --> 00:18:47.780]   and talk about this briefly again
[00:18:47.780 --> 00:18:51.260]   when we talk to the women about their leadership,
[00:18:51.260 --> 00:18:54.660]   or I mean about their role in terms of the home.
[00:18:54.660 --> 00:18:59.660]   But the Roman emperor Nero was a wicked man.
[00:18:59.660 --> 00:19:03.780]   He was a wicked man.
[00:19:03.780 --> 00:19:08.340]   To give you an illustration of that,
[00:19:08.340 --> 00:19:13.720]   if you go to Italy today, you can see some of the remains
[00:19:13.720 --> 00:19:18.720]   of the palace areas where Nero actually lived and worked,
