
[00:00:00.000 --> 00:00:06.020]   [ Silence ]
[00:02:04.680 --> 00:02:05.000]   All right?
[00:02:05.000 --> 00:02:07.640]   Respect always precedes love in romantic love.
[00:02:07.640 --> 00:02:09.240]   Now, that isn't true in other types of love
[00:02:09.240 --> 00:02:12.640]   because the Bible says that we can, Jesus says there
[00:02:12.640 --> 00:02:15.920]   on the Sermon on the Mount in Matthew 5, 43 through 48,
[00:02:15.920 --> 00:02:18.160]   that we can even love our neighbors,
[00:02:18.160 --> 00:02:22.840]   not just love our neighbors, but love our enemies.
[00:02:22.840 --> 00:02:26.600]   And I don't know anybody that respects their enemies.
[00:02:26.600 --> 00:02:32.120]   So in that particular case, that kind of love,
[00:02:32.120 --> 00:02:38.680]   which is not a romantic type of love, doesn't necessarily assume
[00:02:38.680 --> 00:02:42.160]   or preclude, is precluded by respect.
[00:02:42.160 --> 00:02:43.480]   However, romantic love is.
[00:02:43.480 --> 00:02:46.280]   If there's going to be a romantic love,
[00:02:46.280 --> 00:02:49.160]   you always respect that person before you love them.
[00:02:49.160 --> 00:02:52.120]   There are some marriages, however, who a husband
[00:02:52.120 --> 00:02:53.800]   or a wife or possibly both
[00:02:53.800 --> 00:02:58.520]   of them have lost respect for one another.
[00:02:58.520 --> 00:03:00.960]   And so it's very difficult for them to think
[00:03:00.960 --> 00:03:03.720]   about anything positive about their spouse.
[00:03:03.720 --> 00:03:08.840]   Now, that hasn't always been true.
[00:03:08.840 --> 00:03:09.920]   They wouldn't have married that person
[00:03:09.920 --> 00:03:11.960]   if there wasn't something positive about them.
[00:03:11.960 --> 00:03:14.120]   So way back, what was it that you saw
[00:03:14.120 --> 00:03:16.080]   in your spouse that was positive?
[00:03:16.080 --> 00:03:19.080]   What did you like?
[00:03:19.080 --> 00:03:23.440]   What attracted you to that particular individual?
[00:03:23.440 --> 00:03:28.080]   That's a good question.
[00:03:28.080 --> 00:03:32.360]   Number three, tell us some fun times that you've had
[00:03:32.360 --> 00:03:36.040]   or fun things that you've done.
[00:03:36.040 --> 00:03:40.840]   What have you done that has been fun in the past?
[00:03:40.840 --> 00:03:44.920]   Sometimes in my undergraduate classes,
[00:03:44.920 --> 00:03:50.840]   I try to encourage inter-gender relationships there
[00:03:50.840 --> 00:03:52.200]   at the college.
[00:03:52.200 --> 00:03:56.520]   And so I tell them I give extra credit for girls and guys
[00:03:56.520 --> 00:03:59.800]   who date master's college students, all right?
[00:03:59.800 --> 00:04:02.720]   And they always want to know how much that credit is and,
[00:04:02.720 --> 00:04:07.520]   you know, and how many points do I get if I do this?
[00:04:07.520 --> 00:04:08.200]   What's it?
[00:04:08.200 --> 00:04:10.640]   >> I'm dating one.
[00:04:10.640 --> 00:04:12.600]   >> You are.
[00:04:12.600 --> 00:04:14.680]   Yeah, you're dating one also, see?
[00:04:14.680 --> 00:04:16.720]   See, they get extra credit.
[00:04:16.720 --> 00:04:23.040]   But usually what I'm referring to is life credit, not points.
[00:04:23.040 --> 00:04:23.920]   They get life credit.
[00:04:23.920 --> 00:04:24.960]   They get a lot of credit.
[00:04:24.960 --> 00:04:27.560]   That's pretty serious credit for doing that.
[00:04:27.560 --> 00:04:30.920]   Now, don't tell them that.
[00:04:30.920 --> 00:04:33.000]   Yes, you both are dating one of them, okay?
[00:04:33.000 --> 00:04:34.800]   See, there you go.
[00:04:34.800 --> 00:04:36.840]   And they'll get a lot of life credit for that.
[00:04:36.840 --> 00:04:42.680]   So when they look back upon their relationship,
[00:04:42.680 --> 00:04:44.600]   every couple at one particular point
[00:04:44.600 --> 00:04:47.080]   or another had some really fun times.
[00:04:47.080 --> 00:04:49.240]   Well, what happened during those fun times?
[00:04:49.240 --> 00:04:50.280]   What did you do?
[00:04:50.280 --> 00:04:54.040]   What -- and there are some people that are just
[00:04:54.040 --> 00:04:57.320]   in this mindset of thinking so negatively about their spouse,
[00:04:57.320 --> 00:05:00.520]   it's very difficult for them to remember those times.
[00:05:00.520 --> 00:05:04.560]   But once you get them thinking back through those times
[00:05:04.560 --> 00:05:06.480]   and remembering some of those good times,
[00:05:06.480 --> 00:05:08.960]   that doesn't solve all the problems.
[00:05:08.960 --> 00:05:13.080]   But that does help them to begin to think that, yes,
[00:05:13.080 --> 00:05:15.600]   there is a possibility where this relationship is
[00:05:15.600 --> 00:05:17.760]   worth saving.
[00:05:17.760 --> 00:05:19.800]   It certainly would be a God-honoring thing for me
[00:05:19.800 --> 00:05:22.520]   to save this relationship and to work hard
[00:05:22.520 --> 00:05:24.840]   at making sure it was saved.
[00:05:24.840 --> 00:05:30.600]   And then, again, while we still have our mind thinking
[00:05:30.600 --> 00:05:35.640]   about what has happened in the past, looking back,
[00:05:35.640 --> 00:05:40.800]   what have you appreciated about your marriage or your spouse?
[00:05:40.800 --> 00:05:43.680]   What have you appreciated about them?
[00:05:43.680 --> 00:05:48.040]   Well, they've always told me the truth.
[00:05:48.040 --> 00:05:49.480]   That's good.
[00:05:49.480 --> 00:05:51.800]   Always told me the truth.
[00:05:51.800 --> 00:05:55.480]   Even though I haven't liked it, I'm good.
[00:05:55.480 --> 00:05:57.480]   I don't think they've ever lied to me.
[00:05:57.480 --> 00:05:58.600]   That's good.
[00:05:58.600 --> 00:06:02.160]   That's a good thing.
[00:06:02.160 --> 00:06:04.360]   They've always been faithful to our marriage,
[00:06:04.360 --> 00:06:08.400]   at least physically.
[00:06:08.400 --> 00:06:09.880]   I'll say to you, well, that's good.
[00:06:09.880 --> 00:06:12.760]   That's a positive thing.
[00:06:12.760 --> 00:06:14.360]   What have you really appreciated about them?
[00:06:14.360 --> 00:06:20.960]   Well, he or she has a good head for figures.
[00:06:20.960 --> 00:06:21.920]   They keep the books.
[00:06:21.920 --> 00:06:23.720]   They keep the finances of the home.
[00:06:23.720 --> 00:06:27.160]   And I appreciate that because I'm not so good at that.
[00:06:27.160 --> 00:06:28.960]   Or he or she is a mechanic.
[00:06:28.960 --> 00:06:31.920]   Or they love to fix things.
[00:06:31.920 --> 00:06:35.160]   And I really appreciate that because I'm not really
[00:06:35.160 --> 00:06:40.640]   good at fixing things, like the automobile or the car.
[00:06:40.640 --> 00:06:42.840]   Or he or she has a good sense of style.
[00:06:42.840 --> 00:06:44.600]   I never know what to wear, and they always
[00:06:44.600 --> 00:06:50.640]   help me what I need to wear out in public.
[00:06:50.640 --> 00:06:53.800]   So they have a good sense of style.
[00:06:53.800 --> 00:06:55.760]   Do you help Andrew out with his style?
[00:06:55.760 --> 00:06:56.260]   Oh, yeah.
[00:06:56.260 --> 00:06:58.680]   [LAUGHTER]
[00:06:58.760 --> 00:07:01.880]   You do.
[00:07:01.880 --> 00:07:04.760]   That's a good seminary wife.
[00:07:04.760 --> 00:07:07.280]   You'll be doing that a lot in ministry.
[00:07:07.280 --> 00:07:09.680]   You say, you're not going to wear that to that conference.
[00:07:09.680 --> 00:07:12.040]   No, no, no, not that tie and coat combination.
[00:07:12.040 --> 00:07:15.320]   There's got to be something in it.
[00:07:15.320 --> 00:07:18.360]   You made him change his tie today?
[00:07:18.360 --> 00:07:19.120]   That's good.
[00:07:19.120 --> 00:07:19.680]   That's good.
[00:07:19.680 --> 00:07:20.760]   That's really good.
[00:07:20.760 --> 00:07:24.160]   And that almost borders on a sin thing, doesn't it?
[00:07:24.160 --> 00:07:25.160]   I know, when it clashes.
[00:07:25.160 --> 00:07:28.880]   But it's not sin, but it borders on it.
[00:07:28.880 --> 00:07:29.840]   That's right.
[00:07:29.840 --> 00:07:31.800]   So let them look back.
[00:07:31.800 --> 00:07:35.000]   Let them point out those areas of their spouse
[00:07:35.000 --> 00:07:37.720]   that they really like, some things
[00:07:37.720 --> 00:07:39.040]   that they really appreciate.
[00:07:39.040 --> 00:07:41.560]   Let them think those things through.
[00:07:41.560 --> 00:07:46.000]   That sometimes is really helpful in getting
[00:07:46.000 --> 00:07:48.880]   them to think good thoughts instead
[00:07:48.880 --> 00:07:53.940]   of the negative, pessimistic, God-dishonoring thoughts
[00:07:53.940 --> 00:07:57.000]   about their spouse that they seem to get stuck in.
[00:07:57.000 --> 00:08:02.960]   Or here's another one.
[00:08:02.960 --> 00:08:07.680]   What's the nicest thing that your spouse ever did for you?
[00:08:07.680 --> 00:08:12.160]   What's the nicest thing they ever said to you?
[00:08:12.160 --> 00:08:14.960]   If they have a problem, then I start talking about,
[00:08:14.960 --> 00:08:16.960]   what about birthdays?
[00:08:16.960 --> 00:08:21.080]   What about Christmas holidays?
[00:08:21.080 --> 00:08:29.260]   What about early on during your anniversary?
[00:08:29.260 --> 00:08:31.340]   They ever do nice things for you?
[00:08:31.340 --> 00:08:32.840]   They ever do special things for you?
[00:08:32.840 --> 00:08:33.420]   What were they?
[00:08:33.420 --> 00:08:38.620]   We're zeroing in and taking a look
[00:08:38.620 --> 00:08:40.260]   at some of these positive things.
[00:08:40.260 --> 00:08:47.340]   Or number six, in what ways have you
[00:08:47.340 --> 00:08:52.780]   seen your marriage relationship grown since you were married?
[00:08:52.780 --> 00:08:58.260]   Now, hopefully, they're going to point to something that's good.
[00:08:58.260 --> 00:09:03.140]   Well, I've seen it grow in this area.
[00:09:03.140 --> 00:09:06.460]   We're stronger off financially than we used to be,
[00:09:06.460 --> 00:09:08.380]   they may say.
[00:09:08.380 --> 00:09:10.620]   We have more kids.
[00:09:10.620 --> 00:09:13.420]   That's certainly true.
[00:09:13.420 --> 00:09:14.940]   I've seen our family grow.
[00:09:14.940 --> 00:09:21.860]   So in what ways?
[00:09:21.860 --> 00:09:27.980]   Or I have a better understanding of sin because of my spouse.
[00:09:27.980 --> 00:09:33.160]   They may say that.
[00:09:33.160 --> 00:09:36.660]   I've had people say that.
[00:09:36.660 --> 00:09:39.460]   Or number seven, in years that you've been married,
[00:09:39.460 --> 00:09:43.020]   what have you done to make marriage successful?
[00:09:43.020 --> 00:09:45.300]   Now we, in a sense, put the shoe on the other foot.
[00:09:45.300 --> 00:09:48.240]   It's not what their spouse has done for them.
[00:09:48.240 --> 00:09:49.780]   Now we're sort of asking them, what
[00:09:49.780 --> 00:09:54.260]   have you done in order to make your marriage successful?
[00:09:54.260 --> 00:10:02.140]   Well, I've tried to do the right thing, you'll hear.
[00:10:02.140 --> 00:10:04.300]   I've prayed an awful lot about the marriage.
[00:10:04.300 --> 00:10:05.060]   Well, that's good.
[00:10:05.060 --> 00:10:10.460]   I've tried to remain faithful at church.
[00:10:10.460 --> 00:10:11.540]   Well, that's good, too.
[00:10:11.540 --> 00:10:16.260]   What other things have you done in order
[00:10:16.260 --> 00:10:17.620]   to make your marriage a success?
[00:10:17.620 --> 00:10:26.700]   I've tried not to return evil for evil.
[00:10:26.700 --> 00:10:27.260]   That's good.
[00:10:27.260 --> 00:10:34.740]   What is successful?
[00:10:34.740 --> 00:10:37.540]   And what's successful in your eyes,
[00:10:37.540 --> 00:10:39.580]   but then what's successful in God's eyes?
[00:10:39.580 --> 00:10:42.580]   What would God say would be successful?
[00:10:42.580 --> 00:10:45.620]   What would he say, wow, this was really
[00:10:45.620 --> 00:10:48.220]   something positive that you contributed to this marriage?
[00:10:48.220 --> 00:10:56.380]   Number eight, tell me about some of your first time experiences.
[00:10:56.380 --> 00:11:04.460]   Maybe it's when the two of you began to see each other,
[00:11:04.460 --> 00:11:08.180]   or you began dating, or you began courting.
[00:11:08.180 --> 00:11:09.900]   Tell me about some of those first time experiences.
[00:11:09.900 --> 00:11:10.500]   What happened?
[00:11:10.500 --> 00:11:18.940]   Earlier, I was teaching a class over at the college today,
[00:11:18.940 --> 00:11:23.740]   and it's actually a classroom full of girls.
[00:11:23.740 --> 00:11:25.300]   We've got mostly girls in the class.
[00:11:25.300 --> 00:11:32.300]   And they were really curious on how my wife and I
[00:11:32.300 --> 00:11:35.300]   met each other.
[00:11:35.300 --> 00:11:39.980]   And so I told the story of how we met each other.
[00:11:39.980 --> 00:11:45.380]   Actually, my wife knew my sister in college.
[00:11:45.380 --> 00:11:51.020]   And she needed a ride to a nearby town, Springfield, Ohio,
[00:11:51.020 --> 00:11:55.260]   actually, not far from where we went to school,
[00:11:55.260 --> 00:11:58.740]   in order to catch a bus to go home for the weekend.
[00:11:58.740 --> 00:12:00.380]   Now effectively, she was going home
[00:12:00.380 --> 00:12:04.140]   to break up with her high school sweetheart.
[00:12:04.140 --> 00:12:07.940]   But at that particular time, I didn't know that.
[00:12:07.940 --> 00:12:12.780]   So she said to my sister, you know,
[00:12:12.780 --> 00:12:15.060]   I need a ride to this town.
[00:12:15.060 --> 00:12:19.740]   My sister said, well, you know, I think my brother has a car.
[00:12:19.740 --> 00:12:25.900]   And I had a really fancy 1963 Ford Fairlane with big fins.
[00:12:25.900 --> 00:12:31.580]   It was robin's egg blue, and it leaked oil like a sieve.
[00:12:31.580 --> 00:12:35.780]   I had some kind of semblance of a vehicle.
[00:12:35.780 --> 00:12:38.740]   It was a glorified go-kart, is what it was.
[00:12:38.740 --> 00:12:45.740]   So one day when I was walking through the cafeteria line,
[00:12:45.740 --> 00:12:48.420]   Janie, who is now my wife, was standing
[00:12:48.420 --> 00:12:50.540]   behind the cafeteria line.
[00:12:50.540 --> 00:12:55.780]   And she says to me, I need to go to Springfield to catch a bus
[00:12:55.780 --> 00:12:57.620]   to go home for the weekend.
[00:12:57.620 --> 00:13:01.940]   Would you be willing to take me there at this particular time
[00:13:01.940 --> 00:13:04.300]   so I can catch this bus?
[00:13:04.300 --> 00:13:08.060]   Now, I was faced with a horrible dilemma at that point,
[00:13:08.060 --> 00:13:12.020]   because part of my major was pastoral studies at the time.
[00:13:12.020 --> 00:13:15.100]   So I was taking a Greek class.
[00:13:15.100 --> 00:13:17.100]   And the very time that she wanted to go
[00:13:17.100 --> 00:13:19.060]   was during that Greek class.
[00:13:19.060 --> 00:13:24.340]   And the professor was a guy by the name of Dr. George Lawler.
[00:13:24.340 --> 00:13:27.660]   And Dr. George Lawler was one of those old-fashioned professors.
[00:13:27.660 --> 00:13:32.700]   He always wore a three-piece suit and cuff links
[00:13:32.700 --> 00:13:36.820]   and always had a really nice tie on.
[00:13:36.820 --> 00:13:38.540]   And he'd never stand up and teach.
[00:13:38.540 --> 00:13:41.340]   He always sat down and teach.
[00:13:41.340 --> 00:13:46.900]   And when we translated Greek, it was a Greek exegesis class,
[00:13:46.900 --> 00:13:48.980]   he would always require the student--
[00:13:48.980 --> 00:13:51.900]   and he never referred to the student as by their first name.
[00:13:51.900 --> 00:13:54.460]   He always referred to them by their last name.
[00:13:54.460 --> 00:13:56.700]   Mr. Street, would you please stand and translate
[00:13:56.700 --> 00:13:58.420]   the next 10 verses for us?
[00:13:58.420 --> 00:14:01.180]   Parse all the verbs and participles.
[00:14:01.180 --> 00:14:03.820]   And you're going, oh.
[00:14:03.820 --> 00:14:06.500]   So you'd stand up with your Greek text.
[00:14:06.500 --> 00:14:09.220]   And your Greek text would be shaking like this.
[00:14:09.220 --> 00:14:11.860]   And you'd go through and start translating and parsing
[00:14:11.860 --> 00:14:14.140]   all the verbs and the participles.
[00:14:14.140 --> 00:14:19.940]   And he would always let you know when you messed up.
[00:14:19.940 --> 00:14:26.940]   So you never, you never skipped Dr. Lawler's Greek class.
[00:14:26.940 --> 00:14:29.580]   So I had this huge dilemma.
[00:14:29.580 --> 00:14:32.260]   Pretty girl, Greek class.
[00:14:32.260 --> 00:14:33.540]   Pretty girl, Greek class.
[00:14:33.540 --> 00:14:34.420]   Which do I choose?
[00:14:34.420 --> 00:14:35.660]   This is horrible.
[00:14:35.660 --> 00:14:40.020]   This is very, very difficult to make a choice.
[00:14:40.020 --> 00:14:43.540]   Well, pretty girl won out.
[00:14:43.540 --> 00:14:45.180]   There you go.
[00:14:45.180 --> 00:14:47.380]   Pretty girl ran out.
[00:14:47.380 --> 00:14:48.380]   Yes.
[00:14:48.380 --> 00:14:49.340]   Won out.
[00:14:49.340 --> 00:14:53.420]   And when she won out, I ended up taking her to Springfield.
[00:14:53.420 --> 00:14:55.800]   And on the way up there, we had such a great conversation.
[00:14:55.800 --> 00:14:58.180]   I'm thinking to myself, wow, I really need to ask her out.
[00:14:58.180 --> 00:15:00.060]   I don't know how to do this.
[00:15:00.060 --> 00:15:02.460]   And so we went to the bus station.
[00:15:02.460 --> 00:15:04.820]   And there were some kind of unseemly guys there.
[00:15:04.820 --> 00:15:07.180]   And so I just sat with her until the bus showed up
[00:15:07.180 --> 00:15:08.860]   and made sure she got on the bus.
[00:15:08.860 --> 00:15:11.340]   And as she's getting on the bus, I somewhat
[00:15:11.340 --> 00:15:13.700]   said in a clumsy way, oh, by the way,
[00:15:13.700 --> 00:15:15.860]   I'll send you a bill for this.
[00:15:15.860 --> 00:15:17.540]   And she kind of looked really surprised.
[00:15:17.540 --> 00:15:18.580]   She says, OK.
[00:15:18.580 --> 00:15:20.040]   So she went ahead and got on the bus
[00:15:20.040 --> 00:15:22.400]   and headed home for the weekend.
[00:15:22.400 --> 00:15:24.180]   So I drove back to the dorm, and I thought,
[00:15:24.180 --> 00:15:24.740]   what am I going to do?
[00:15:24.740 --> 00:15:25.660]   What am I going to do?
[00:15:25.660 --> 00:15:29.540]   So I got a piece of paper and made out in hand calligraphy,
[00:15:29.540 --> 00:15:33.300]   do one date for John Street's taxi service.
[00:15:33.300 --> 00:15:34.100]   All right.
[00:15:34.100 --> 00:15:35.720]   Put it in a little envelope and sent it
[00:15:35.720 --> 00:15:36.960]   to her in inter-campus mail.
[00:15:36.960 --> 00:15:38.540]   And after I sent it to her, I thought,
[00:15:38.540 --> 00:15:40.460]   oh, this is really corny.
[00:15:40.460 --> 00:15:41.500]   Oh, this is really corny.
[00:15:41.500 --> 00:15:43.660]   She's going to think this is really crazy.
[00:15:43.660 --> 00:15:46.180]   So I went back to the inter-campus mail.
[00:15:46.180 --> 00:15:49.260]   I said to the guy, listen, I need that thing back.
[00:15:49.260 --> 00:15:49.780]   All right.
[00:15:49.780 --> 00:15:51.700]   You need to give it back to me.
[00:15:51.700 --> 00:15:53.300]   And the guy says, I'm sorry, sir.
[00:15:53.300 --> 00:15:54.020]   I can't do that.
[00:15:54.020 --> 00:15:56.220]   I said, this is not the US mail system.
[00:15:56.220 --> 00:15:58.820]   This is just a little inter-campus mail system.
[00:15:58.820 --> 00:16:00.020]   Give me my envelope back.
[00:16:00.020 --> 00:16:00.900]   No, I'm sorry, sir.
[00:16:00.900 --> 00:16:01.640]   It's got to go through.
[00:16:01.640 --> 00:16:03.720]   Once you put it in there, it's got-- oh, I'm going.
[00:16:03.720 --> 00:16:04.780]   Oh, man.
[00:16:04.780 --> 00:16:05.500]   OK.
[00:16:05.500 --> 00:16:08.740]   Well, that's the last time I'll ever hear from her.
[00:16:08.740 --> 00:16:14.020]   So the weekend went by, two or three days into the next week.
[00:16:14.020 --> 00:16:16.300]   And all of a sudden, I get this thing in the mail.
[00:16:16.300 --> 00:16:17.180]   And it's an envelope.
[00:16:17.180 --> 00:16:18.060]   And I open it up.
[00:16:18.060 --> 00:16:21.220]   And there's a check for a million dollars worth of fund
[00:16:21.220 --> 00:16:23.660]   at the next basketball game.
[00:16:23.660 --> 00:16:25.500]   And that was our first date.
[00:16:25.500 --> 00:16:28.300]   And we still have those two pieces of paper.
[00:16:28.300 --> 00:16:29.180]   All right.
[00:16:29.180 --> 00:16:30.540]   I'm still cashing that check.
[00:16:30.540 --> 00:16:34.940]   So that was our first date.
[00:16:34.940 --> 00:16:38.420]   And then our second date, we doubled
[00:16:38.420 --> 00:16:42.140]   with my roommate in college.
[00:16:42.140 --> 00:16:45.260]   My roommate was engaged to be married.
[00:16:45.260 --> 00:16:48.340]   And we went out to get pizza.
[00:16:48.340 --> 00:16:50.940]   And on the way there, back in those days--
[00:16:50.940 --> 00:16:53.040]   this was early 1970s.
[00:16:53.040 --> 00:16:55.420]   That really dates me now, doesn't it?
[00:16:55.420 --> 00:16:56.900]   And you thought I was only 25.
[00:16:56.900 --> 00:16:58.740]   I know.
[00:16:58.740 --> 00:17:03.220]   Well, early 1970s, and we were on our way to get pizza.
[00:17:03.220 --> 00:17:04.780]   And back in those days, you didn't
[00:17:04.780 --> 00:17:06.100]   even have to wear your seat belt.
[00:17:06.100 --> 00:17:08.180]   And they had bench seats in the car.
[00:17:08.180 --> 00:17:11.660]   And so his fiance is sitting real close to him
[00:17:11.660 --> 00:17:13.580]   in the front of the car.
[00:17:13.580 --> 00:17:15.300]   And he's driving.
[00:17:15.300 --> 00:17:18.460]   And Janie and I are in back seat at either ends
[00:17:18.460 --> 00:17:21.460]   of the back seat, OK?
[00:17:21.460 --> 00:17:22.820]   So we're on the way.
[00:17:22.820 --> 00:17:30.780]   And his fiance leans over to him and says to him, I love you.
[00:17:30.780 --> 00:17:34.100]   Just loud enough where we could hear it in the back seat.
[00:17:34.100 --> 00:17:36.100]   And so I kind of looked over to Janie and I said,
[00:17:36.100 --> 00:17:38.620]   what did she say?
[00:17:38.620 --> 00:17:41.980]   And Janie looked at me and said, I love you.
[00:17:41.980 --> 00:17:45.940]   No, no, no, what did she say?
[00:17:45.940 --> 00:17:49.740]   So on the second date, she told me she loved me.
[00:17:49.740 --> 00:17:53.420]   I figure I had to marry her after that.
[00:17:53.420 --> 00:17:58.420]   So that's our first two dates.
[00:17:58.420 --> 00:18:00.020]   That's what happened.
[00:18:00.020 --> 00:18:03.100]   Now, every-- don't cry.
[00:18:07.700 --> 00:18:10.780]   Every couple has stories like that.
[00:18:10.780 --> 00:18:13.180]   They have stories like that.
[00:18:13.180 --> 00:18:14.860]   And I'm sure if we went around, you guys
[00:18:14.860 --> 00:18:19.540]   could share your own stories with your wives on stuff
[00:18:19.540 --> 00:18:23.260]   that you remember and how you guys got together,
[00:18:23.260 --> 00:18:25.380]   and some of the fond things that you remember
[00:18:25.380 --> 00:18:27.980]   and some things you remember for the rest of your life.
[00:18:27.980 --> 00:18:29.900]   Those are really great stories.
[00:18:29.900 --> 00:18:32.220]   Well, when you're counseling a couple,
[00:18:32.220 --> 00:18:34.940]   they usually have stories like that.
[00:18:34.940 --> 00:18:38.740]   And it's really good to get to know their history.
[00:18:38.740 --> 00:18:46.060]   So ask them, tell me about some of your first time experiences.
[00:18:46.060 --> 00:18:47.060]   Describe them for me.
[00:18:47.060 --> 00:18:51.020]   What were you thinking at that particular time?
[00:18:51.020 --> 00:18:53.660]   Well, I thought that she was really, really
[00:18:53.660 --> 00:18:54.500]   a gorgeous gal.
[00:18:54.500 --> 00:18:58.500]   I believed that he was really, really handsome guy.
[00:18:58.500 --> 00:18:59.860]   Now look what's happened to him.
[00:19:00.260 --> 00:19:01.740]   [LAUGHS]
[00:19:01.740 --> 00:19:07.100]   But what was going on?
[00:19:07.100 --> 00:19:09.300]   What happened in your relationship
[00:19:09.300 --> 00:19:11.980]   that helps you to get to know where they're coming from?
[00:19:11.980 --> 00:19:12.620]   That's not bad.
[00:19:12.620 --> 00:19:13.500]   That's a good thing.
[00:19:13.500 --> 00:19:18.380]   Then once you're able to establish
[00:19:18.380 --> 00:19:20.780]   some of those things that are more positive,
[00:19:20.780 --> 00:19:25.100]   then you can move slowly in the history of their relationship
[00:19:25.100 --> 00:19:28.180]   to where things began to go wrong.
[00:19:28.180 --> 00:19:31.820]   Where did this relationship start to get derailed?
[00:19:31.820 --> 00:19:34.580]   There are probably signs way early in the relationship,
[00:19:34.580 --> 00:19:36.900]   maybe even back before they were married,
[00:19:36.900 --> 00:19:39.340]   and how they were dealing with their problems that
[00:19:39.340 --> 00:19:41.540]   were signs or indicators of how they
[00:19:41.540 --> 00:19:45.700]   were going to derail a relationship later on.
[00:19:45.700 --> 00:19:47.580]   Well, what was going on?
[00:19:47.580 --> 00:19:49.500]   Help them to identify those patterns.
[00:19:49.500 --> 00:19:51.760]   Because if they're able to identify those patterns,
[00:19:51.760 --> 00:19:53.380]   then that will help to ensure the fact
[00:19:53.380 --> 00:19:55.260]   that they won't fall into that in the future
[00:19:55.260 --> 00:19:58.420]   if they're aware of them.
[00:19:58.420 --> 00:20:01.300]   This is the way we would wrongly deal with these patterns.
[00:20:01.300 --> 00:20:05.700]   Here's the right way to deal with these patterns.
[00:20:05.700 --> 00:20:07.580]   So number four.
[00:20:07.580 --> 00:20:11.940]   Then respond to your counselees in such a way
[00:20:11.940 --> 00:20:14.260]   that fuller disclosure and understanding really
[00:20:14.260 --> 00:20:16.780]   is facilitated.
[00:20:16.780 --> 00:20:18.340]   And this is what we call sometimes
[00:20:18.340 --> 00:20:21.260]   facilitated responses.
[00:20:21.260 --> 00:20:25.300]   There's nothing technically or biblical about that term.
[00:20:25.300 --> 00:20:31.460]   It's just a descriptive way of saying those kind of ways
[00:20:31.460 --> 00:20:34.260]   that you deal with your counselees
[00:20:34.260 --> 00:20:39.220]   to cause them to open up, to be more genuine with you,
[00:20:39.220 --> 00:20:45.060]   to share more of their lives with you.
[00:20:45.060 --> 00:20:48.420]   To the degree that they trust you
[00:20:48.420 --> 00:20:51.900]   is the degree that they'll share their lives with you.
[00:20:51.900 --> 00:20:55.180]   To the degree that they believe that you
[00:20:55.180 --> 00:20:58.500]   have their long-term welfare in mind
[00:20:58.500 --> 00:21:00.740]   is the degree that they will share their life with you.
[00:21:00.740 --> 00:21:16.140]   That's when you know that they are really seeking help
