
[00:00:00.000 --> 00:00:15.680]   Welcome to the
[00:05:47.320 --> 00:05:48.320]   this.
[00:05:48.320 --> 00:05:54.880]   I think about not am I the person who is by definition the best, but am I lined up with
[00:05:54.880 --> 00:05:57.960]   where the market is going?
[00:05:57.960 --> 00:06:06.180]   Because if you're in a rising industry or you're in a rising company, now you have the
[00:06:06.180 --> 00:06:13.880]   ability to succeed even if you may not be the star employee.
[00:06:13.880 --> 00:06:22.840]   The 10th hire to Facebook wound up becoming very, very rich, even though they were the
[00:06:22.840 --> 00:06:25.900]   10th hire.
[00:06:25.900 --> 00:06:28.660]   And you can apply this all the way down the road.
[00:06:28.660 --> 00:06:36.260]   So the question for you to ask yourself is, am I getting my beta right?
[00:06:36.260 --> 00:06:41.700]   You might run the very best company in your industry.
[00:06:41.700 --> 00:06:47.540]   You might be the world's greatest entrepreneur, able to make the best decisions.
[00:06:47.540 --> 00:06:52.120]   You might be the world's greatest manager running a very well-run company.
[00:06:52.120 --> 00:06:55.540]   Your company might make the very best products.
[00:06:55.540 --> 00:07:01.900]   But if the year is 1900 and your company is engaged in the business of building buggy
[00:07:01.900 --> 00:07:06.180]   whips, you didn't get it right.
[00:07:06.180 --> 00:07:09.140]   You didn't win.
[00:07:09.140 --> 00:07:12.580]   You probably didn't survive.
[00:07:12.580 --> 00:07:16.940]   Now I would be quick to point out that of course that's not guaranteed.
[00:07:16.940 --> 00:07:22.940]   Maybe today you're the world's greatest buggy whip manufacturer for the 577 people per year
[00:07:22.940 --> 00:07:27.380]   who buy a Surrey and hook it up and race their horse at the local track and they need a whip.
[00:07:27.380 --> 00:07:29.380]   I don't know.
[00:07:29.380 --> 00:07:30.520]   The point is pretty obvious.
[00:07:30.520 --> 00:07:33.180]   The market changed under your feet.
[00:07:33.180 --> 00:07:38.940]   But if the year was 1900 and you saw the direction that transportation was going and you got
[00:07:38.940 --> 00:07:48.460]   involved in the industry, there was a very good chance that you experienced more success.
[00:07:48.460 --> 00:07:53.180]   Now you may have joined the wrong company to start with.
[00:07:53.180 --> 00:07:55.380]   And I'm going to use a couple of legacy industries.
[00:07:55.380 --> 00:07:59.020]   Think about something like automobiles.
[00:07:59.020 --> 00:08:02.420]   Getting involved in the automobile industry when people are still trying to figure it
[00:08:02.420 --> 00:08:08.020]   out and you've got hundreds and hundreds of different people making 10 cars a year.
[00:08:08.020 --> 00:08:11.660]   The fact that you're involved in the automobile industry because you saw the direction of
[00:08:11.660 --> 00:08:17.360]   the industry was going didn't necessarily guarantee that you were going to be successful.
[00:08:17.360 --> 00:08:20.680]   You may have joined a company that had a bad product.
[00:08:20.680 --> 00:08:24.160]   But the fact that you were around the automobile industry and you saw the direction of the
[00:08:24.160 --> 00:08:28.540]   industry got you a step closer to success and there was a pretty good chance that you
[00:08:28.540 --> 00:08:30.700]   had a timeline of success.
[00:08:30.700 --> 00:08:34.460]   And then once you're in the industry, you can look around and try to figure out who's
[00:08:34.460 --> 00:08:36.420]   going to be the winner in this industry.
[00:08:36.420 --> 00:08:38.440]   Is it going to be Ford Motor Car Company?
[00:08:38.440 --> 00:08:42.940]   In which case you may have gone and hitched your wagon up to Mr. Ford because you said
[00:08:42.940 --> 00:08:44.540]   this is going to be the winner.
[00:08:44.540 --> 00:08:46.000]   Or maybe it was airlines.
[00:08:46.000 --> 00:08:50.100]   Maybe you observed after the airplane was invented that, you know what, air travel has
[00:08:50.100 --> 00:08:52.580]   the potential to change the world.
[00:08:52.580 --> 00:08:59.060]   And if I go and get involved in air travel, then I have the ability to be in something
[00:08:59.060 --> 00:09:01.340]   that's going to be transformative.
[00:09:01.340 --> 00:09:04.820]   You may have ended up working for a company that went bankrupt.
[00:09:04.820 --> 00:09:06.960]   But once you're in the industry, you can adjust.
[00:09:06.960 --> 00:09:09.240]   You can look for your alpha.
[00:09:09.240 --> 00:09:13.620]   You can look for the opportunity to be the best employee at the best company.
[00:09:13.620 --> 00:09:15.720]   But first you've got to get your beta right.
[00:09:15.720 --> 00:09:17.580]   You've got to get the industry right.
[00:09:17.580 --> 00:09:20.440]   And you've got to get the direction of the marketplace right.
[00:09:20.440 --> 00:09:22.240]   Maybe it was telecommunications.
[00:09:22.240 --> 00:09:24.840]   Perhaps it is telecommunications.
[00:09:24.840 --> 00:09:29.240]   But maybe you were involved in telecommunications and it was the 1980s and the 1990s.
[00:09:29.240 --> 00:09:33.120]   You said, you know what, the fact that we can make a phone call from anywhere and carry
[00:09:33.120 --> 00:09:36.600]   a phone on our hip, this is going to revolutionize the world.
[00:09:36.600 --> 00:09:40.880]   And if I just get involved in this industry in some way, there's a good chance that I
[00:09:40.880 --> 00:09:43.440]   can make my fortune.
[00:09:43.440 --> 00:09:47.520]   Well making that move doesn't mean you don't wind up at a bankrupt company.
[00:09:47.520 --> 00:09:53.720]   But what it means is there's a much better chance that you're on an upswell.
[00:09:53.720 --> 00:09:59.620]   As the axiom goes, a rising tide raises all boats.
[00:09:59.620 --> 00:10:03.400]   Maybe it was the dot-com in the early 2000s.
[00:10:03.400 --> 00:10:06.480]   Maybe it was real estate.
[00:10:06.480 --> 00:10:08.200]   I don't know.
[00:10:08.200 --> 00:10:14.240]   But when you see a trend and you observe that trend, my point in today's show is that you
[00:10:14.240 --> 00:10:16.120]   should pay attention to it.
[00:10:16.120 --> 00:10:20.960]   And you should think about how can I get involved in this trend?
[00:10:20.960 --> 00:10:25.600]   Can I get the beta right?
[00:10:25.600 --> 00:10:28.720]   So how can you apply this to your own finances?
[00:10:28.720 --> 00:10:36.820]   Well, the first thing that I would emphasize is that you should apply this to your income,
[00:10:36.820 --> 00:10:40.400]   to your earnings.
[00:10:40.400 --> 00:10:46.520]   I'm going to give an example of two different trends that I observe, especially trends that
[00:10:46.520 --> 00:10:51.820]   could be found in the space of where you're earning money.
[00:10:51.820 --> 00:11:00.120]   The first trend would be a legacy industry that may be on the decline.
[00:11:00.120 --> 00:11:05.440]   In my mind, a good example of this industry would be the role of a real estate agent in
[00:11:05.440 --> 00:11:08.280]   the United States of America.
[00:11:08.280 --> 00:11:14.880]   For a very long time, working as a real estate agent has been something that could be a very
[00:11:14.880 --> 00:11:20.520]   profitable and very – a really nice way to make a living.
[00:11:20.520 --> 00:11:25.040]   I have actually frequently recommended to people that they consider working as a real
[00:11:25.040 --> 00:11:26.040]   estate agent.
[00:11:26.040 --> 00:11:29.520]   It's the kind of job that I think I would be a pretty good fit for and that I would
[00:11:29.520 --> 00:11:31.440]   enjoy.
[00:11:31.440 --> 00:11:34.820]   Working as a real estate agent can be a very good career.
[00:11:34.820 --> 00:11:39.800]   But in my opinion – this is my opinion – it is a career that at least in the United States
[00:11:39.800 --> 00:11:42.960]   – I don't know all markets around the world, but in the United States, it's a career that
[00:11:42.960 --> 00:11:44.760]   is on the decline.
[00:11:44.760 --> 00:11:45.760]   Why?
[00:11:45.760 --> 00:11:54.600]   Well, because in many cases, the individual work and service of an agent is increasingly
[00:11:54.600 --> 00:12:03.800]   replaced by Internet technology and by people's comfort levels with going and seeing and viewing
[00:12:03.800 --> 00:12:10.800]   properties online, choosing among properties online, doing tours, virtual tours, establishing
[00:12:10.800 --> 00:12:12.800]   their own things, etc.
[00:12:12.800 --> 00:12:15.280]   Now, I'm not saying the industry is dead.
[00:12:15.280 --> 00:12:20.520]   I'm saying that I think the industry is significantly on the decline.
[00:12:20.520 --> 00:12:23.440]   I think that you're having the big players that are coming in that are disrupting the
[00:12:23.440 --> 00:12:29.760]   marketplace and I will be very surprised if five years from now, ten years from now, a
[00:12:29.760 --> 00:12:35.960]   traditional real estate agent can command the same level of commissions today that they've
[00:12:35.960 --> 00:12:39.320]   been able to command for many years.
[00:12:39.320 --> 00:12:40.880]   I'm not insulting you real estate agents.
[00:12:40.880 --> 00:12:44.400]   I'm saying I think this is a good example of a trend.
[00:12:44.400 --> 00:12:49.280]   So if I were in the real estate business, I would be observing and looking at this trend
[00:12:49.280 --> 00:12:59.200]   and saying, "I think my career may have a limited time span, shelf life.
[00:12:59.200 --> 00:13:07.920]   I think that within a period of years, this particular career in the United States is
[00:13:07.920 --> 00:13:11.720]   going to become less profitable and more difficult."
[00:13:11.720 --> 00:13:14.080]   We could have used other careers as well.
[00:13:14.080 --> 00:13:20.480]   For example, this one's more difficult because there's more factors, but let's just stick
[00:13:20.480 --> 00:13:22.040]   with a career with real estate.
[00:13:22.040 --> 00:13:26.380]   That'd be an example of, in my opinion, of a career that's on the decline in the United
[00:13:26.380 --> 00:13:30.800]   States or at least its prospects are not as bright as it once was.
[00:13:30.800 --> 00:13:33.960]   Don't think, by the way, that these things will change overnight and all of a sudden.
[00:13:33.960 --> 00:13:38.040]   I could say a similar thing of the pressure on financial advisors.
[00:13:38.040 --> 00:13:42.440]   Financial advisors are under intense pressure in the current world.
[00:13:42.440 --> 00:13:47.480]   In the 1980s, it was very easy to be a financial advisor and make a lot of money selling stocks,
[00:13:47.480 --> 00:13:49.560]   charging management fees, et cetera.
[00:13:49.560 --> 00:13:54.320]   But the pressure, the financial pressure on financial advisors has been intense so that
[00:13:54.320 --> 00:14:00.040]   now it's very hard to make a living going out and selling stocks for a commission.
[00:14:00.040 --> 00:14:04.920]   I know of virtually no financial advisors that can actually do that successfully, sell
[00:14:04.920 --> 00:14:06.320]   stocks for a commission.
[00:14:06.320 --> 00:14:07.320]   Why?
[00:14:07.320 --> 00:14:08.320]   Because you had market pressures.
[00:14:08.320 --> 00:14:14.760]   You had the market pressures of no commission stock brokerage houses.
[00:14:14.760 --> 00:14:17.160]   You had the market pressure of index funds.
[00:14:17.160 --> 00:14:22.040]   You had a mammoth like Vanguard that came in and brought tremendous pressure against
[00:14:22.040 --> 00:14:23.240]   the industry.
[00:14:23.240 --> 00:14:30.080]   You had all kinds of fracturing in the financial industry such that now financial advisors
[00:14:30.080 --> 00:14:32.160]   had to go in a totally different direction.
[00:14:32.160 --> 00:14:33.720]   Doesn't mean the career is dead.
[00:14:33.720 --> 00:14:38.600]   It means it's under intense pressure and it's not as easy as it once was.
[00:14:38.600 --> 00:14:44.840]   If you're going to be successful, your success matters depends much more on your alpha, on
[00:14:44.840 --> 00:14:49.640]   what you bring to the table than on the beta, on what the industry actually provides for
[00:14:49.640 --> 00:14:50.640]   you.
[00:14:50.640 --> 00:14:55.280]   In 1980, if you came to the table and you picked up the phone and you did your cold
[00:14:55.280 --> 00:15:00.520]   calls, you could make a great income selling stocks over the phone if you were persistent
[00:15:00.520 --> 00:15:01.600]   enough.
[00:15:01.600 --> 00:15:04.760]   In 2020, you cannot.
[00:15:04.760 --> 00:15:07.760]   It's a totally different business model and you've got to be much more intelligent about
[00:15:07.760 --> 00:15:08.760]   it.
[00:15:08.760 --> 00:15:10.200]   So there are two careers as an example.
[00:15:10.200 --> 00:15:13.920]   Now where could you go where there's some sense of growth?
[00:15:13.920 --> 00:15:17.280]   Well I think there'd be many examples.
[00:15:17.280 --> 00:15:22.120]   Last night I was looking around online in the cryptocurrency space and I was observing
[00:15:22.120 --> 00:15:28.680]   that now there are several dozens of degrees available right now in blockchain technology
[00:15:28.680 --> 00:15:32.800]   from really all over the world, but you can now go and you can get a degree in blockchain
[00:15:32.800 --> 00:15:33.800]   technology.
[00:15:33.800 --> 00:15:36.520]   Last night I was looking at the website for the University of Malta.
[00:15:36.520 --> 00:15:42.240]   Malta between Africa and Europe, a little island off the tip of Italy, has sought to
[00:15:42.240 --> 00:15:45.000]   bill itself as blockchain island.
[00:15:45.000 --> 00:15:46.040]   They've tried to be very friendly.
[00:15:46.040 --> 00:15:49.920]   They've tried to establish regulation for cryptocurrency businesses with I would say
[00:15:49.920 --> 00:15:51.160]   mixed success.
[00:15:51.160 --> 00:15:54.720]   Not as much success as was hoped thus far and we'll see what happens, but they've tried
[00:15:54.720 --> 00:15:57.280]   to bill themselves as blockchain island.
[00:15:57.280 --> 00:16:02.560]   So the University of Malta has a career, sorry, has a master's degree program that you can
[00:16:02.560 --> 00:16:07.780]   go and you can be involved in and get a master's degree in blockchain technology.
[00:16:07.780 --> 00:16:12.640]   In my opinion this would be a pretty good example of an area where there's massive growth,
[00:16:12.640 --> 00:16:22.560]   of an area where if you are competent in some skills relating to cryptocurrencies to blockchain
[00:16:22.560 --> 00:16:27.880]   technology, this is something where there's a lot of career growth.
[00:16:27.880 --> 00:16:36.120]   When you have Bitcoin hitting 50, almost $60,000 per coin and with just only modest signs of
[00:16:36.120 --> 00:16:42.080]   stopping, now all of a sudden you see a pretty significant field and then you see people
[00:16:42.080 --> 00:16:48.720]   and countries and companies trying to say, "How can we take this new technology and apply
[00:16:48.720 --> 00:16:50.200]   it in different areas?"
[00:16:50.200 --> 00:16:54.040]   Now I don't know what the end of the day is, where we're going to be 10 years from now
[00:16:54.040 --> 00:16:57.360]   with cryptocurrencies and with blockchain technology.
[00:16:57.360 --> 00:17:01.880]   There's a lot of reason to believe that they'll be an integral part of our lives, but this
[00:17:01.880 --> 00:17:07.040]   would be an example of the type of career where I think things are in a growth pattern.
[00:17:07.040 --> 00:17:12.480]   Now perhaps that's a little bit too innovative or a little bit too rare for you.
[00:17:12.480 --> 00:17:17.000]   I think another obvious example would be something as simple and mundane as being a software
[00:17:17.000 --> 00:17:18.500]   engineer.
[00:17:18.500 --> 00:17:22.880]   You could begin today with no history, no knowledge.
[00:17:22.880 --> 00:17:26.680]   You could be working as a real estate agent today, looking down and realizing, "My career
[00:17:26.680 --> 00:17:31.480]   is declining," but you can start studying software engineering entirely for free, by
[00:17:31.480 --> 00:17:32.480]   the way.
[00:17:32.480 --> 00:17:35.140]   No need to take any classes that you pay for.
[00:17:35.140 --> 00:17:36.140]   Start doing projects.
[00:17:36.140 --> 00:17:40.200]   Start going through the various coaching sites and the education sites and whatnot.
[00:17:40.200 --> 00:17:45.240]   Then a few years from now, you could have a six-figure job as a software engineer with
[00:17:45.240 --> 00:17:50.120]   massive growth potential, and as the world moves more and more intensively in the direction
[00:17:50.120 --> 00:17:54.560]   of software solutions for more and more parts of life, the need for software engineers is
[00:17:54.560 --> 00:17:55.560]   intense.
[00:17:55.560 --> 00:18:00.320]   I don't see any way that that particular career is in decline at the moment, although there
[00:18:00.320 --> 00:18:03.240]   may be heavy competition, it's not in decline.
[00:18:03.240 --> 00:18:06.040]   And there are many other examples of these.
[00:18:06.040 --> 00:18:10.600]   Now don't just think that if you just find beta, it's good enough, or if you just have
[00:18:10.600 --> 00:18:12.160]   alpha, it's good enough.
[00:18:12.160 --> 00:18:17.040]   I think the power – I teach a course on career and income planning.
[00:18:17.040 --> 00:18:20.240]   It's called the Radical Personal Finance Guide to Career and Income Planning, available
[00:18:20.240 --> 00:18:24.120]   for you today, right now, at radicalpersonalfinance.com/store.
[00:18:24.120 --> 00:18:29.160]   And one of the concepts that I teach in that course is the power of choosing very carefully
[00:18:29.160 --> 00:18:32.800]   and maximizing both your beta and your alpha.
[00:18:32.800 --> 00:18:42.520]   Somebody who carefully chooses an industry that is growing in a location, a geographic
[00:18:42.520 --> 00:18:49.480]   location of the world that is growing and where the trends are in the right direction,
[00:18:49.480 --> 00:18:54.600]   and they choose the best company in the industry that has the brightest prospects, and then
[00:18:54.600 --> 00:19:00.440]   within that company, they choose the best segment, the best division of the company,
[00:19:00.440 --> 00:19:03.560]   where it's the most important division of the company.
[00:19:03.560 --> 00:19:07.980]   And then to the degree that it's possible, they choose the best boss in that division
[00:19:07.980 --> 00:19:13.560]   to work under, and they choose the best job position for them.
[00:19:13.560 --> 00:19:18.480]   And then they go into that workplace and they work their tail off, and they become an absolute
[00:19:18.480 --> 00:19:21.640]   star exercising their alpha.
[00:19:21.640 --> 00:19:27.320]   That person is going to be light years away of the person who has the capability and potential
[00:19:27.320 --> 00:19:33.400]   to be a star, but works under a bad boss in a division of a company that's not particularly
[00:19:33.400 --> 00:19:38.840]   valuable, in a company that's poorly run, and in an industry or a geographic place in
[00:19:38.840 --> 00:19:41.040]   the world that's in decline.
[00:19:41.040 --> 00:19:44.680]   So to get the maximum benefit in your career, you want to stack all of these things on top
[00:19:44.680 --> 00:19:49.400]   of each other.
[00:19:49.400 --> 00:19:55.120]   In summary on the career perspective, think carefully about the trends that are happening.
[00:19:55.120 --> 00:20:02.000]   I've listed a number of trends, but think carefully about these.
[00:20:02.000 --> 00:20:06.760]   It's all well and good for you to be personally success oriented, for you to be the person
[00:20:06.760 --> 00:20:14.500]   who has the basic skills to be effective and successful and valuable in the marketplace.
[00:20:14.500 --> 00:20:19.360]   But if you're not positioned well, again, think about your boss.
[00:20:19.360 --> 00:20:24.400]   If you're under the wrong boss, that can be the death of you.
[00:20:24.400 --> 00:20:25.400]   Not in and of itself.
[00:20:25.400 --> 00:20:30.040]   If you're under somebody who is not going to raise you up with them, if you're under
[00:20:30.040 --> 00:20:37.480]   somebody who's not going to recognize it when you make them shine, you got a problem.
[00:20:37.480 --> 00:20:39.640]   Change to a different boss.
[00:20:39.640 --> 00:20:45.220]   If you're in a division of the company that's not particularly contributing to growth, change.
[00:20:45.220 --> 00:20:47.920]   If you're in the wrong company, change.
[00:20:47.920 --> 00:20:54.240]   But the big ones to get right are industry and I would say also geography.
[00:20:54.240 --> 00:20:56.120]   Think carefully about your industry.
[00:20:56.120 --> 00:21:03.440]   You may, and this is one of the things that I get upset a lot of times with the concepts
[00:21:03.440 --> 00:21:12.560]   of passive investing, of saying to yourself, "I can't successfully choose what stocks are
[00:21:12.560 --> 00:21:14.800]   going to outperform."
[00:21:14.800 --> 00:21:18.440]   And the reason I get upset with it is not because I have the ability to argue with the
[00:21:18.440 --> 00:21:20.120]   academic research.
[00:21:20.120 --> 00:21:22.400]   I don't.
[00:21:22.400 --> 00:21:27.480]   I'm not a researcher at the Chicago School of Economics who could sit down and generate
[00:21:27.480 --> 00:21:31.160]   new economic investing theories worthy of a Nobel Prize.
[00:21:31.160 --> 00:21:33.440]   It's not my forte.
[00:21:33.440 --> 00:21:37.520]   But what I think happens is I think that people take it too far and I believe that this has
[00:21:37.520 --> 00:21:38.520]   hurt me personally.
[00:21:38.520 --> 00:21:41.120]   I'll start with me personally.
[00:21:41.120 --> 00:21:47.280]   When I was younger, I spent so much time being told by the financial industry that, "Well,
[00:21:47.280 --> 00:21:54.320]   Joshua, you can't tell successfully with any statistical reliability, you can't tell what's
[00:21:54.320 --> 00:21:56.560]   going to outperform."
[00:21:56.560 --> 00:21:59.640]   And I was told that again and again and again and I would read the academic literature and
[00:21:59.640 --> 00:22:01.840]   I didn't have the ability to refute it.
[00:22:01.840 --> 00:22:03.920]   I didn't have the ability to say, "Well, wait a second.
[00:22:03.920 --> 00:22:04.920]   Wait a second.
[00:22:04.920 --> 00:22:12.740]   Yes, you've got your hypothesis, Mr. Fancy Pants Academic Researcher, but I think I can."
[00:22:12.740 --> 00:22:15.560]   And what would happen is I would just say, "Well, I can't do it.
[00:22:15.560 --> 00:22:16.920]   I can't predict it.
[00:22:16.920 --> 00:22:19.720]   I can't predict it."
[00:22:19.720 --> 00:22:25.240]   The problem is for me, this went far too far, far beyond what the academic research would
[00:22:25.240 --> 00:22:31.400]   indicate to areas where the academic philosophy, sorry, the academics who created that numerical
[00:22:31.400 --> 00:22:35.640]   modeling that said, "Hey, it's very difficult for a fund manager to outperform."
[00:22:35.640 --> 00:22:42.120]   I absorbed this concept in my own life to much too great of a degree and I came to the
[00:22:42.120 --> 00:22:46.160]   perspective and I said, "Well, I can't predict what market's going to be.
[00:22:46.160 --> 00:22:49.040]   I can't predict what stock is going to be the next winner."
[00:22:49.040 --> 00:22:53.120]   I didn't understand that there were ways to make money on stocks even if I couldn't predict
[00:22:53.120 --> 00:22:54.880]   it successfully and to ensure my bets.
[00:22:54.880 --> 00:22:55.880]   I didn't get that.
[00:22:55.880 --> 00:22:58.160]   I wasn't sophisticated enough at that time.
[00:22:58.160 --> 00:23:04.560]   Then I thought, "Well, I can't predict what market segment or I can't predict the general
[00:23:04.560 --> 00:23:11.880]   direction of the stock market or I can't predict what industries are going to take off or I
[00:23:11.880 --> 00:23:17.000]   can't predict what regions of the world are going to be successful."
[00:23:17.000 --> 00:23:22.560]   When I test those ideas, I realized that I was completely wrong.
[00:23:22.560 --> 00:23:29.680]   Now, I may not be the world's best stock picker, but I can look at something as simple as demographics
[00:23:29.680 --> 00:23:33.800]   and make some educated guesses about where I think things are going.
[00:23:33.800 --> 00:23:36.800]   Now, in the fullness of time, will I turn out to be right or wrong?
[00:23:36.800 --> 00:23:46.040]   I don't know, but I can make some educated guesses and I'm willing to put my money behind
[00:23:46.040 --> 00:23:47.040]   that.
[00:23:47.040 --> 00:23:50.760]   This is just, again, speaking personally for me.
[00:23:50.760 --> 00:23:56.880]   When I finally realized where this came from, again, I become frustrated with passive investing
[00:23:56.880 --> 00:24:00.120]   because I believe that one of the dangers, maybe not for most people, but at least for
[00:24:00.120 --> 00:24:06.080]   me, one of the dangers was that it led me to doubt my own abilities.
[00:24:06.080 --> 00:24:10.960]   I'm not so much of a maverick in the sense of my ability to go against everybody and
[00:24:10.960 --> 00:24:13.000]   say, "Well, I just have it all figured out."
[00:24:13.000 --> 00:24:14.920]   I admire people who can.
[00:24:14.920 --> 00:24:20.040]   I admire somebody who can stand up in a room full of people saying, "That thing is white."
[00:24:20.040 --> 00:24:21.040]   They can say, "No, it's not.
[00:24:21.040 --> 00:24:22.040]   It's not white.
[00:24:22.040 --> 00:24:23.960]   It's black," and they can be totally convinced of it.
[00:24:23.960 --> 00:24:28.440]   I'm too much of a researcher and analytical and I say, "Well, listen, if 98% of the people
[00:24:28.440 --> 00:24:32.320]   say it's white, there's a very good chance it's white and I want to see some really good
[00:24:32.320 --> 00:24:37.120]   evidence that it's actually black before I open my mouth and say it's black."
[00:24:37.120 --> 00:24:41.720]   So if I've had 18 years to do the research, then I might be willing to be one of the 2%.
[00:24:41.720 --> 00:24:46.040]   In some things, I'm totally willing to be the 2%, but I'm not willing to open my mouth
