
[00:00:00.000 --> 00:00:05.660]   Humans are by far the hardest part of computer graphics because millions of years of evolution
[00:02:17.780 --> 00:02:27.020]   involved in making the nuanced expression. Just the subtle squinting of the eyes or the subtle formation of a smile. It's a subtlety of
[00:02:27.020 --> 00:02:32.940]   human faces that you have to capture. Like the difference between a real smile and a fake smile. But the way to show like
[00:02:32.940 --> 00:02:50.340]   beginning of a formation of a smile that actually reveals a deep sadness. All of that, like when I watch a human face, I can like read that. I could see that. You have to have the tools that in real time can render something like that. And that's incredibly difficult.
[00:02:51.000 --> 00:03:04.100]   That's right. Getting faces right requires the interplay of literally dozens of different systems and aspects of computer graphics. And if any one of them is wrong, your eye is completely drawn to that and you find it on the wrong side of Uncanny Valley.
[00:03:06.660 --> 00:03:28.200]   The following is a conversation with Tim Sweeney, a legendary video game programmer, founder and CEO of Epic Games that created many incredible games and technologies, including the Unreal Engine and Fortnite, which both revolutionized the video game industry and the experience of playing and creating video games.
[00:03:29.040 --> 00:03:38.000]   This is the Lex Friedman podcast. To support it, please check out our sponsors in the description. And now, dear friends, here's Tim Sweeney.
[00:03:38.000 --> 00:03:42.760]   When did you first fall in love with computers and maybe with programming?
[00:03:42.760 --> 00:03:55.100]   I had a brother, Steve Sweeney, who is 16 years older than me. And at some point when I was a little kid, he went off to work in California for a tech company and he'd gotten one of the first IBM PCs.
[00:03:55.300 --> 00:04:07.560]   And so for one summer, I think I was about 11, I went to visit him in California. It was my first trip away from my family just to hang out with him. And he had this brand new IBM computer. And I learned to program over the course of a few days in BASIC.
[00:04:07.560 --> 00:04:18.360]   I was just blown away with the capabilities of computers at the time. It was unbelievable what they could accomplish. And I was just hooked from that point onward and very much wanted to be a programmer.
[00:04:18.820 --> 00:04:27.080]   Do you remember what you wrote in BASIC? Is it a video game type thing? Is it like for loop, some numerical thing? Do you remember?
[00:04:27.080 --> 00:04:32.820]   Yeah, it's funny. I have a perfectly vivid memory of all of the first things I learned to program.
[00:04:32.820 --> 00:04:33.120]   Okay.
[00:04:33.120 --> 00:04:40.300]   I have a hard time remembering people's names, but like code really sticks with me. Every step and every challenge, there were lessons learned.
[00:04:41.040 --> 00:04:52.000]   Some of which I've come to realize were just like me getting over some learning hurdles. But other things were actually shortcomings of programming languages and the realization that there are actually better ways.
[00:04:52.000 --> 00:05:03.680]   And when a programmer is learning to program for the first time, a lot of what they're facing isn't the challenge of learning a new art. It's friction introduced by failures of programming language design.
[00:05:03.680 --> 00:05:11.420]   And so I've constantly come back to those early lessons there as I've progressed and done more and more things, including building programming languages.
[00:05:11.900 --> 00:05:17.700]   Yeah, the friction and the pain is the guide to learning in programming.
[00:05:17.700 --> 00:05:23.520]   Like if I were to describe programming journey, that would be marked by pain.
[00:05:23.520 --> 00:05:29.100]   And that pain, you shouldn't escape the pain. The pain is instructive for you to understand programming languages.
[00:05:29.100 --> 00:05:35.200]   But do you remember what kind of stuff you were writing at that time, just the early programs?
[00:05:35.480 --> 00:05:55.040]   Yeah, in the early days, I wrote a little bit of everything. I wrote some games. The first game I wrote on the Apple II was, since I only knew how to program in text mode, the computer would throw asterisks across the screen, they'd flow from left to right, and you'd have a parentheses on the right-hand side of the screen, and it looked like a baseball mitt, and you're supposed to catch the asterisks.
[00:05:55.040 --> 00:06:12.400]   That was my very first game. It took about a couple hours to build and tune, and I went from there. But I built a lot of things. I built databases at different points. I built a programming language in a full compiler for a language like Pascal, because I didn't know where you went to buy one of those, so I made my own.
[00:06:13.500 --> 00:06:27.580]   And one of the fun things of that time was bulletin boards. Before we had the internet in the hands of consumers, you used your modem, and you dialed into a local phone number and connected to whoever was running the computer there.
[00:06:27.580 --> 00:06:41.720]   Every town or city had hundreds of these bulletin boards run by different people with their own personalities and themes, and so I spent a lot of time building a bulletin board program and learning how to deal with database management and user interface and dealing with multiple users concurrently and things.
[00:06:41.720 --> 00:06:55.800]   And so I probably found about 10 or 15,000 hours writing code just on my own as a kid between age 10 and age 20 before I actually shipped a program to the outside world.
[00:06:56.540 --> 00:07:11.920]   10,000 to 15,000 hours. What was the value of the hours as a kid you put in in programming that led to the success you've had in later life? Maybe this is by way of advice to younger people in terms of how they allocate the hours of their early life.
[00:07:11.920 --> 00:07:25.920]   Yeah, you know, it's not just hours. It's really striving to learn, to understand what knowledge you have, what knowledge you lack, and to continually do experiments and work on projects that improve your knowledge base.
[00:07:25.920 --> 00:07:34.420]   And I didn't do this with a great amount of structure or planning. I was rather just going from project to project doing things that I thought would be fun and cool.
[00:07:34.420 --> 00:07:46.960]   And with each project, I learned new things. Learning about how to store and manage data, learning how to deal with advanced data structures, how to write complex programs that have deeply nested data and control flow.
[00:07:47.660 --> 00:08:03.340]   Each one of those, you know, provide a lesson, which were later essential. You know, when in 1991, I released my first game. And over the course of that decade, we went from, you know, zero commercial releases to the first generation Unreal Engine.
[00:08:03.820 --> 00:08:15.180]   But, you know, this was largely just using the knowledge that I'd built up over the previous decade. Just doing fun hobby projects. And if I hadn't done all of that work, there's no way I could have ever built the things that came later.
[00:08:15.180 --> 00:08:26.240]   All the experimentation and all the exploration somehow contributed, somehow made sense later on. Like all of that is integrated somehow in the stuff you build.
[00:08:26.240 --> 00:08:32.360]   It's funny how life works. Like the pieces kind of come together eventually.
[00:08:32.360 --> 00:08:41.540]   Yeah. You know, there are definitely karate kid moments because, you know, all this time I was learning math in high school and in college, I studied mechanical engineering.
[00:08:41.780 --> 00:08:56.380]   And so, you know, you learn all kinds of math, vector calculus and vector math and matrices and, you know, all these related fields, physics and stress and strain and how to, you know, deal with complex physical systems.
[00:08:56.380 --> 00:09:02.060]   And, yeah, I wasn't really sure how engineers would actually make use of that knowledge.
[00:09:02.060 --> 00:09:07.720]   Do you just like forget about it when you actually go off to do work or is it, do you write down equations on paper?
[00:09:07.720 --> 00:09:10.980]   It was actually not clear as an early engineering student what you do.
[00:09:10.980 --> 00:09:16.500]   But when I started writing the first generation on real engine and I was dealing with 3D math, I was like, wait, I know this stuff.
[00:09:16.500 --> 00:09:17.460]   I learned this.
[00:09:17.460 --> 00:09:31.160]   And, you know, so, you know, suddenly like the karate kid, you know, you get to paint the fence and wax the car and suddenly put all the pieces together into, you know, a 3D engine based on a whole lot of accumulated programming language and math knowledge.
[00:09:31.160 --> 00:09:36.380]   Often knowledge gained without ever anticipating that I might use it in that way.
[00:09:37.140 --> 00:09:50.140]   Also, I think what's useful is over and over learning a hard thing and then showing to yourself, you know, that you can do it, that you can learn a hard thing.
[00:09:50.140 --> 00:09:59.820]   So then when you come to having to write a 3D engine that in ways that haven't been done before, you're like, I've been here.
[00:10:00.000 --> 00:10:01.480]   I've been here in this experience.
[00:10:01.480 --> 00:10:04.080]   Like, I don't know what to do, but we'll figure it out.
[00:10:04.080 --> 00:10:04.820]   We'll learn.
[00:10:04.820 --> 00:10:06.400]   I'll learn all the necessary components.
[00:10:06.400 --> 00:10:09.880]   So just not being afraid of something new.
[00:10:09.880 --> 00:10:10.860]   Yeah, that's right.
[00:10:10.860 --> 00:10:15.040]   And constantly striving to make connections between these fields and look for their applications.
[00:10:15.040 --> 00:10:21.960]   Long after I chipped on Unreal Engine, it was like going back through an engineering textbook and looking at, oh, yeah, I use that, I use that, I use that.
[00:10:22.000 --> 00:10:34.640]   And then I got to the section on eigenvalues and I'm like, I don't know what the hell this is, but, you know, it turns out eigenvectors and eigenvalues were the critical breakthrough that made the Google search engine technology work and stand apart from the rest.
[00:10:34.640 --> 00:10:49.860]   Because they found if you threw all the links that existed in the web and, you know, links from and to different sites and you put them in a giant matrix and you concluded that you found the dominant eigenvalues, then those eigenvectors described the best search results for different things.
[00:10:49.860 --> 00:10:56.380]   And so constantly picking up knowledge and looking for ways to put it together is the thing to do.
[00:10:56.660 --> 00:11:02.760]   And if you aspire to be a programmer, you've got to write a lot of code and you've got to continually learn new things and improve.
[00:11:02.760 --> 00:11:14.280]   And if you want to be an artist, you've got to continually draw artwork of all styles and all kinds and constantly push yourself to learn more and more because you never know exactly what you're going to end up doing in the long run.
[00:11:14.280 --> 00:11:19.420]   But the more knowledge you have and the more skills, the more chance you have putting it together and being successful.
[00:11:19.420 --> 00:11:25.260]   And whether you're a programmer or an artist, you should probably take linear algebra, even though it doesn't make sense at the time.
[00:11:25.400 --> 00:11:33.400]   I found getting an engineering degree and then never working in an engineering field, you know, just being a computer programmer was immensely valuable.
[00:11:33.400 --> 00:11:42.320]   I went to University of Maryland, which for some disciplines, it's kind of known as a party school, but they worked the engineers to death, worked really hard.
[00:11:42.320 --> 00:11:55.380]   And if you learn any engineering discipline, you learn massive amounts of math and you learn the rigor of problem solving, you know, not just what you find from the Wikipedia article, but going through all the exercises of solving complex problems.
[00:11:55.380 --> 00:12:03.320]   And building up series of problems and building up series of solutions to derive an answer, it's valuable and it embodies the knowledge that you need as a programmer.
[00:12:04.040 --> 00:12:07.580]   And, you know, people often go to university and think, OK, my goal here is to get good grades.
[00:12:07.580 --> 00:12:09.980]   So I get a diploma and I prove to an employer that I'm valuable.
[00:12:09.980 --> 00:12:14.780]   Like, no, that's just kind of the superficial bookkeeping of the university.
[00:12:14.780 --> 00:12:17.500]   The real purpose of all of this is to learn.
[00:12:17.880 --> 00:12:23.640]   And whether you learn formally or you learn on your own, it's the learnings that are really valuable in a career.
[00:12:23.640 --> 00:12:30.120]   And especially if you're going to be entrepreneurial, it's really knowing the stuff that matters and not having the diplomas.
[00:12:30.120 --> 00:12:36.260]   And, yeah, there's ever more pressure to make a rebuild society more and more around credentials.
[00:12:36.260 --> 00:12:37.260]   Do you have this certificate?
[00:12:37.260 --> 00:12:38.400]   Do you have that proof?
[00:12:38.660 --> 00:12:47.520]   But, like, you know, companies that are focused on just building great products and doing great things gravitate towards people who do the great work.
[00:12:47.520 --> 00:12:53.860]   Yeah, one of the great things about youth is there's more freedom.
[00:12:53.860 --> 00:12:56.060]   There's just more time to learn.
[00:12:56.060 --> 00:13:03.280]   And people, when they go to high school, they sometimes think, wow, I can't wait to get out of this and be an adult and be free.
[00:13:03.700 --> 00:13:05.540]   But it's not quite freedom.
[00:13:05.540 --> 00:13:09.080]   When you get a job, you start a family, all wonderful things.
[00:13:09.080 --> 00:13:15.300]   But you get more and more busy in less and less time to learn in the general sense.
[00:13:15.300 --> 00:13:16.880]   Learn whatever the hell you want.
[00:13:16.880 --> 00:13:25.440]   That is a wonderful time in life, the teenage years, the early 20s, the 20s, when you could just learn random shit.
[00:13:25.440 --> 00:13:28.720]   Yeah, you know, I think this is something that's kind of changing in America.
[00:13:29.860 --> 00:13:34.400]   There's so much focus on grades and homework and structure around kids' lives.
[00:13:34.400 --> 00:13:43.780]   You know, when I was growing up, you know, my mom would feed me and my neighbors, you know, my neighbors and moms would feed them breakfast and they'd, you know, be like, well, be back by dark.
[00:13:43.780 --> 00:13:45.140]   Yeah.
[00:13:45.300 --> 00:13:48.540]   And, you know, we'd go out and we'd play and we'd do all sorts of things.
[00:13:48.540 --> 00:13:49.900]   We'd, you know, explore the woods.
[00:13:49.900 --> 00:13:51.080]   We'd build go-karts.
[00:13:51.080 --> 00:14:01.300]   We'd, you know, salvage old pieces of electronics and build what we thought were our spacecraft control panels for the, you know, fake spaceships we were building as play.
[00:14:01.460 --> 00:14:03.740]   And we'd have an enormous amount of freedom.
[00:14:03.740 --> 00:14:13.300]   And, you know, from basically being a little kid through the time I went off to college, it had an enormous amount of free time.
[00:14:13.300 --> 00:14:16.040]   And some people would just use that and waste it and watch TV.
[00:14:16.040 --> 00:14:17.480]   Some people socialized.
[00:14:18.200 --> 00:14:20.820]   And some people really got into serious projects.
[00:14:20.820 --> 00:14:23.920]   So many people at all times were doing cool things.
[00:14:23.920 --> 00:14:24.960]   You know, I was programming.
[00:14:24.960 --> 00:14:26.120]   I was learning to build things.
[00:14:26.120 --> 00:14:34.500]   I was, you know, before I was releasing games to the world, I'd be, like, you know, having neighborhood folks over to play the things I was working on and check them out.
[00:14:34.500 --> 00:14:36.580]   And sometimes they're impressed and sometimes they weren't.
[00:14:36.580 --> 00:14:38.580]   And they'd have their own projects.
[00:14:38.580 --> 00:14:41.640]   And often we'd have spare time jobs and everybody was entrepreneurial.
[00:14:41.640 --> 00:14:44.160]   Like everybody, you know, had a side gig.
[00:14:44.160 --> 00:14:50.360]   Like sometimes you'd go around and mow people's lawns or you'd, you know, rake the leaves up and, you know, earn money.
[00:14:50.360 --> 00:14:58.580]   And the freedom there and the organic learning that occurred there, I think it's something that is really critical to the American experience.
[00:14:58.580 --> 00:15:04.100]   I worry is increasingly going away as society is ever more protective and sheltering.
[00:15:04.100 --> 00:15:06.520]   I mean, it makes it harder to get these experiences.
[00:15:06.520 --> 00:15:13.180]   So on the video game side, when did you first fall in love with video games?
[00:15:13.620 --> 00:15:22.020]   I've had a funny relationship with games because my real aspiration has always been to program cool stuff.
[00:15:22.020 --> 00:15:25.320]   I get more enjoyment out of programming than anything else in the world.
[00:15:25.320 --> 00:15:35.420]   And so, you know, my first really too formative experience with games were playing this game called Adventure for the Atari 2600.
[00:15:35.600 --> 00:15:43.960]   It was like, you moved this dot around the screen and picked up objects like swords and fought dragons and invaded castles and solved puzzles.
[00:15:43.960 --> 00:15:48.220]   Very, very simple, iconic stuff, you know, rather than realistic graphics.
[00:15:48.220 --> 00:15:52.880]   And then the other game that really got immersed in was Zork, which was a text adventure game.
[00:15:52.880 --> 00:15:55.220]   It would tell you where you are and what you see.
[00:15:55.380 --> 00:16:00.480]   And you'd type in commands like go north or pick up sword or open door and explore a world that way.
[00:16:00.480 --> 00:16:06.060]   So the game didn't have any graphics, but in your mind you had this elaborate picture of what you were seeing there.
[00:16:06.060 --> 00:16:10.700]   And it really brought in inspired imagination or other things.
[00:16:11.200 --> 00:16:15.200]   And playing those games led me to often want to learn to program everything that I saw there.
[00:16:15.200 --> 00:16:17.680]   And that drove a lot of my programming.
[00:16:17.680 --> 00:16:20.040]   I learned how to move a player around the screen.
[00:16:20.040 --> 00:16:25.800]   I learned how to, you know, build a design tool so I could build castles and save them off and play them in a game.
[00:16:25.840 --> 00:16:29.880]   And I realized there was a separation between the tools that you use to build a game and the game itself.
[00:16:29.880 --> 00:16:34.700]   And that if the more powerful tools you had, the more creativity you could unleash in yourself or others.
[00:16:34.700 --> 00:16:39.260]   And, you know, I learned all the programming techniques that supported games.
[00:16:39.260 --> 00:16:43.480]   How to parse text, you know, pick up sword and go north.
[00:16:43.480 --> 00:16:48.060]   How do you make that sentence into an actual series of commands on the computer?
[00:16:48.060 --> 00:16:50.560]   And that was really, really exciting.
[00:16:51.660 --> 00:16:57.060]   I have to say, until the time that Fortnite came out, I played video games primarily to learn what they were doing.
[00:16:57.060 --> 00:16:58.480]   So I could go off and do that myself.
[00:16:58.480 --> 00:17:03.720]   You know, I'd sit down, you know, when Wolfenstein came out and then Doom came out.
[00:17:03.720 --> 00:17:06.280]   I'd go through and look at it pixel by pixel.
[00:17:06.280 --> 00:17:09.940]   I'd move the mouse very slightly and look at exactly what was happening to figure out.
[00:17:09.940 --> 00:17:10.660]   That's great.
[00:17:10.660 --> 00:17:12.140]   What technique was being used there.
[00:17:12.140 --> 00:17:14.680]   That was a puzzle solving at a grand scale.
[00:17:14.680 --> 00:17:15.480]   And it was so fun.
[00:17:15.480 --> 00:17:18.120]   So take me there.
[00:17:18.120 --> 00:17:19.620]   In the early 90s.
[00:17:19.880 --> 00:17:21.980]   So you launched Epic Games in 1991.
[00:17:21.980 --> 00:17:29.040]   So you're the writing of your first big video game, ZZT.
[00:17:29.040 --> 00:17:29.940]   What was it like?
[00:17:29.940 --> 00:17:31.800]   What was the technical challenges?
[00:17:31.800 --> 00:17:34.980]   What was the psychological challenges of building that?
[00:17:34.980 --> 00:17:39.580]   It was a funny project because I didn't start out to build a video game.
[00:17:40.340 --> 00:17:42.220]   I just moved from an Apple II.
[00:17:42.220 --> 00:17:46.600]   So my brother bought my family an Apple II right after I'd visited them in California.
[00:17:46.600 --> 00:17:48.740]   So I'd been programming on that for a few years.
[00:17:48.740 --> 00:17:49.860]   Learned a lot of techniques.
[00:17:49.860 --> 00:17:55.800]   But there weren't many Apple II users around still by the time that cycle came to an end.
[00:17:55.800 --> 00:17:59.400]   So I'd just gotten an IBM PC of my own.
[00:17:59.640 --> 00:18:02.400]   I was learning to program and I realized I needed a text editor.
[00:18:02.400 --> 00:18:03.840]   So I started writing a text editor.
[00:18:03.840 --> 00:18:07.820]   You know, a text editor is a program that's to edit text files.
[00:18:07.820 --> 00:18:14.100]   You have logic to move the cursor around and let people type things and backspace and delete and do all of those mundane actions.
[00:18:14.100 --> 00:18:16.780]   And, you know, one night I was like, I'd finished it up.
[00:18:16.780 --> 00:18:19.640]   I was like, well, OK, I have a text editor, but this is pretty boring.
[00:18:20.220 --> 00:18:23.260]   So I made the cursor into a smiley face character.
[00:18:23.260 --> 00:18:28.420]   And I had the, like, different characters you could place in this document perform different gameplay actions.
[00:18:28.420 --> 00:18:33.860]   Some would be walls and some would kill you and some would be moving objects that could fly around the screen.
[00:18:33.860 --> 00:18:37.100]   And so this text editor I made evolved into a little game editor.
[00:18:37.100 --> 00:18:38.800]   So I was building these levels for a game.
[00:18:38.800 --> 00:18:46.020]   I put a lot of time into, like, building an editor in a primitive set of objects, about 20 or 30 different objects,
[00:18:46.020 --> 00:18:51.280]   enough to build a really cool and compelling game, but not so many that players would lose track of what they're seeing.
[00:18:51.280 --> 00:18:53.980]   I started off just building different game levels.
[00:18:53.980 --> 00:18:56.400]   You know, the idea is you'd be on a series of boards.
[00:18:56.400 --> 00:18:59.980]   They'd be connected by, you know, going north, back to the end of the current board,
[00:18:59.980 --> 00:19:03.660]   would take you to a new one if it was open, or maybe it was blocked and you couldn't go there.
[00:19:03.660 --> 00:19:05.760]   I built this whole game world around that.
[00:19:05.760 --> 00:19:08.500]   And, you know, this was the game that became ZZT.
[00:19:08.500 --> 00:19:13.140]   And I was having fun with it, building it and playing it, but I didn't know if it would really work.
[00:19:13.140 --> 00:19:19.140]   So I did this experiment, started inviting neighbors over, like some adults, some kids of all different ages,
[00:19:19.140 --> 00:19:22.680]   and sat them down in front of them and said, like, here's a game I made, figure it out.
[00:19:22.680 --> 00:19:23.400]   Yeah.
[00:19:23.400 --> 00:19:27.460]   And, you know, I had to force myself not to tell them what they need to do, right?
[00:19:27.460 --> 00:19:33.020]   Because I really wanted to learn if they were able to, you know, discover it all for themselves.
[00:19:33.020 --> 00:19:36.440]   You know, today we would call this, you know, user experience test.
[00:19:36.960 --> 00:19:40.000]   And there's a whole field of research around user experience research.
[00:19:40.000 --> 00:19:42.400]   But back then it was just inviting some kids over to play the game.
[00:19:42.400 --> 00:19:46.800]   I took notes about what they got stuck on and what they enjoyed and where they felt bored.
[00:19:46.800 --> 00:19:50.040]   And just iteratively polished the game until I felt it was good.
[00:19:50.040 --> 00:19:53.980]   And I put it out and released it on, well, this was before the internet.
[00:19:53.980 --> 00:19:54.860]   So there were bulletin boards.
[00:19:54.860 --> 00:19:56.980]   I uploaded it to a bunch of local bulletin boards.
[00:19:57.200 --> 00:20:06.520]   And from there it started spreading because, you know, the way to build up cred for bulletin board users was to upload new files and to claim that, hey, I was the first that brought this to you.
[00:20:06.520 --> 00:20:09.860]   And, you know, so there was a natural tendency of the software to spread.
[00:20:09.860 --> 00:20:11.920]   I decided to use the shareholder model.
[00:20:11.920 --> 00:20:14.100]   You know, so I didn't just build this one game.
[00:20:14.100 --> 00:20:16.620]   I built a trilogy of three games.
[00:20:16.620 --> 00:20:19.340]   I released the first one for free.
[00:20:19.340 --> 00:20:21.780]   And I said, hey, if you'd like this, buy the two sequels.
[00:20:22.720 --> 00:20:29.800]   And, you know, I included my parents' mailing address and said, you know, send us $30 and you can get the sequels to this game.
[00:20:29.800 --> 00:20:32.360]   And the check started coming in within a few days.
[00:20:32.360 --> 00:20:35.880]   I was making, like, getting three or four orders a day.
[00:20:35.880 --> 00:20:37.400]   I was making, like, $100 a day.
[00:20:37.400 --> 00:20:38.340]   I'm like, woo, I'm rich.
[00:20:38.340 --> 00:20:42.240]   Because, you know, being a 20-year-old, that was, like, a pretty big deal.
[00:20:42.240 --> 00:20:50.780]   What did that feel like, just getting money and probably feeling this immense success from something you've created?
[00:20:51.720 --> 00:20:57.300]   Well, you know, I looked at money always just as a tool to help you fund accomplishing cool things.
[00:20:57.300 --> 00:21:02.080]   And, you know, having enough to do the things you want to do is the critical thing.
[00:21:02.080 --> 00:21:04.580]   It's always been just very utilitarian.
[00:21:04.580 --> 00:21:12.380]   But the knowledge that other people all around the country and then, you know, a month later all around the world were playing the game, that was mind-boggling.
[00:21:13.120 --> 00:21:24.540]   You know, that me, like this little kid who'd put out a game on a local bulletin board, could be doing international business and chipping disks all over the world to players, you know, because the software was spreading on its own.
[00:21:24.540 --> 00:21:25.960]   It was just magical.
[00:21:25.960 --> 00:21:28.340]   Like, and that was a new thing for software.
[00:21:28.340 --> 00:21:30.360]   Like, that did not happen with mechanical devices.
[00:21:30.360 --> 00:21:34.160]   Like, you manufactured one, you sold it to somebody, and they had it, and that was it.
[00:21:34.200 --> 00:21:35.260]   But software could spread.
[00:21:35.260 --> 00:21:41.120]   That was just really cool to see, and it made me realize there was really no upward limit on the potential for a business like that.
[00:21:41.120 --> 00:21:51.120]   You know, we saw Microsoft as a big juggernaut company at the time, but it was like, hey, you know, if Epic does games good enough, you know, we could accomplish what they've accomplished with operating systems.
[00:21:51.700 --> 00:21:55.700]   And the sky was the limit, and I think this is the age we live in now.
[00:21:55.700 --> 00:22:00.440]   It's, you don't have to be an industrialist manufacturing physical products.
[00:22:00.440 --> 00:22:11.200]   Anybody who builds anything digitally, if it's good enough, you can reach the entire world and build the, you know, next Microsoft or Meta or Apple or Google or Epic Games.
[00:22:11.200 --> 00:22:13.720]   It's such a cool origin story, though.
[00:22:13.720 --> 00:22:16.260]   You start out building a text editor.
[00:22:16.260 --> 00:22:20.720]   So you're looking at this project, you're playing around with it, you're building up the tools.
[00:22:21.400 --> 00:22:37.180]   It's such an inspiring moment, because a lot of us start out building a project, and to allow yourself to see the potential pivots, the potential trajectories that can go is really nice.
[00:22:37.180 --> 00:22:41.580]   To sit back, allow yourself to be bored, and like, ah, I'm going to go this way.
[00:22:41.580 --> 00:22:44.220]   I mean, that's like a crossroads.
[00:22:44.220 --> 00:22:45.940]   You came to a crossroads.
[00:22:45.940 --> 00:22:49.360]   I mean, you built, you know, compilers.
[00:22:49.560 --> 00:22:59.800]   You designed your own programming language, you built compilers, databases, all these things you mentioned, and you started building a text editor, and then here it came to this crossroad.
[00:22:59.800 --> 00:23:01.920]   I'm going to make this fun.
[00:23:03.040 --> 00:23:07.380]   And then from there, you know, one of the most legendary gaming companies was created.
[00:23:07.380 --> 00:23:07.980]   It's kind of cool.
[00:23:07.980 --> 00:23:12.720]   Like, that's an inspiring thing for sort of developers.
[00:23:12.720 --> 00:23:18.420]   Like, be open to the possibility of creating something you didn't plan to create, and just go with it, right?
[00:23:18.420 --> 00:23:19.680]   That's cool.
[00:23:20.180 --> 00:23:23.480]   Yeah, and it was, a bunch of learnings emerged really quickly there.
[00:23:23.480 --> 00:23:28.740]   The neat thing I did with ZZT was, I didn't just release the game, I also released the editor with it.
[00:23:28.740 --> 00:23:34.660]   I built this tool so I could make these ZZT boards that people could play, but I also gave it to all the players themselves.
[00:23:34.660 --> 00:23:42.620]   And, you know, like 30 years later, I still run into people, you know, when I go to a game industry event, it was like, you know, I grew up playing ZZT.
[00:23:43.300 --> 00:23:45.520]   And, you know, here's an adult who grew up playing my game.
[00:23:45.520 --> 00:23:49.440]   And it was because it enabled anybody to become a creator, too.
[00:23:49.440 --> 00:23:54.620]   It had, you know, this little board editor, and it also had a little scripting language, so you could learn a little bit of programming in it, too.
[00:23:54.620 --> 00:24:09.940]   And it kind of impressed, and it really set a formative principle of Epic, which was that, you know, the company's mission is to make awesome entertainment, but also awesome tools, and to share those tools with everybody so that they can build their own amazing things, too.
[00:24:09.940 --> 00:24:21.100]   And, you know, when we got into Unreal Engine a few years later, the interplay between us building a game and us building tools that were widely used by others was a critical part of that.
[00:24:21.100 --> 00:24:24.840]   And I think that's the sole reason that Epic has been massively successful.
[00:24:24.840 --> 00:24:34.140]   And actually, the reason that we've survived all of this time is that by serving both creators and gamers, we've been able to weather the ups and downs of the game industry.
[00:24:34.140 --> 00:24:36.880]   It's a brutal place for companies.
[00:24:37.820 --> 00:24:45.580]   We've been able to survive every financial downturn, and sometimes the engine's been funding the business because we didn't have a game, and sometimes the games have been funding the business.
[00:24:45.580 --> 00:24:52.580]   And it really set a principle in our culture that's persevered and is continually brought to their forefront.
[00:24:52.580 --> 00:25:00.620]   But on the editor front, that's such a fascinating philosophy, that you always allow people to create their own worlds.
[00:25:01.400 --> 00:25:07.080]   You have an engine from which you simulate the world that the game is in.
[00:25:07.080 --> 00:25:17.520]   You have the actual game, and you also have the freedom for creators to create various, you know, in Fortnite, islands of their own.
[00:25:17.520 --> 00:25:21.920]   So it's like with everything you ship, that freedom to create is always there.
[00:25:21.920 --> 00:25:22.760]   That's really interesting.
[00:25:24.040 --> 00:25:27.420]   Yeah, and it's something we aim to do more and more fully over time.
[00:25:27.420 --> 00:25:31.940]   You know, in the course of building Fortnite, we've built a lot of other tools that are useful for us, too.
