
[00:00:00.000 --> 00:00:03.780]   Hello guys, welcome back to my channel today, we are gonna talk about Mistral
[00:03:11.800 --> 00:03:16.680]   Encoder side of the transformer because as you can see in the encoder side, there is no linear and softmax
[00:03:17.240 --> 00:03:23.320]   So Mistral is a decoder only model and it's very similar if not equal to Lama
[00:03:23.320 --> 00:03:28.000]   The differences between Lama and Mistral are highlighted here in red
[00:03:28.000 --> 00:03:31.480]   the first difference between Lama and Mistral is that
[00:03:31.480 --> 00:03:39.400]   In the self attention we use the sliding window attention and we still use the grouped query attention
[00:03:39.400 --> 00:03:42.320]   But and also the KV cache for inferencing
[00:03:42.320 --> 00:03:47.680]   But this is a rolling buffer KV cache and it's actually related to the fact that we are using sliding window attention
[00:03:47.680 --> 00:03:55.880]   So later, we will see all these concepts and the another difference is that the feedforward layer here instead of using the relu function that we use
[00:03:55.880 --> 00:04:02.480]   In the vanilla transformer or the ZWIGLU function that we use in Lama here in Mistral we use the SILU function
[00:04:02.480 --> 00:04:08.960]   And the feedforward is one in case of Mistral 7b
[00:04:08.960 --> 00:04:13.840]   So the first model they released and it can be eight feedforward
[00:04:13.840 --> 00:04:21.760]   Networks in parallel with each other which are the experts of this mixture of experts in the case of Mistral 8x7b
[00:04:21.760 --> 00:04:24.520]   We will see later how it works
[00:04:24.520 --> 00:04:31.080]   So for now, you just need to understand that Mistral is made up of okay the input which are converted into embeddings
[00:04:31.080 --> 00:04:36.480]   Then we have this block which is repeated n times and we will see that in the case of Mistral is repeated
[00:04:36.800 --> 00:04:40.120]   32 times one after another such that the
[00:04:40.120 --> 00:04:47.920]   Output of each layer is fed to the next layer as input and the output of the last layer is then sent to this
[00:04:47.920 --> 00:04:52.760]   RMS norm to the linear and to the softmax to produce the output of the model and
[00:04:52.760 --> 00:04:57.880]   This is exactly the same as what we do with any other transformer model
[00:04:57.880 --> 00:05:05.560]   Usually we have many of these blocks here. Now in the code of Mistral this part here is known as transformer block
[00:05:05.560 --> 00:05:12.960]   But it's also known as encoder block or decoder block depending on the contents of this
[00:05:12.960 --> 00:05:17.640]   Block here. I will refer to it as an encoder block because if you look at it
[00:05:17.640 --> 00:05:20.560]   It looks like exactly as the block of the encoder side
[00:05:20.560 --> 00:05:24.720]   So it has a multi-head attention, add-end norm, a feedforward and add-end norm
[00:05:24.720 --> 00:05:32.000]   The only difference is that the normalization here comes before the the block of the feedforward and the self-attention
[00:05:32.000 --> 00:05:35.320]   Okay, let's move forward
[00:05:35.520 --> 00:05:38.080]   Now let's compare the two models
[00:05:38.080 --> 00:05:41.160]   So one is Mistral 7B and one is Mistral 8x7B
[00:05:41.160 --> 00:05:47.660]   The parameter dim indicates the dimensions of the the dimensions of the embedding vector
[00:05:47.660 --> 00:05:52.720]   So how big is the embedding vector? So each token is represented by an embedding vector of size
[00:05:52.720 --> 00:05:55.360]   4096 dimensions
[00:05:55.360 --> 00:06:02.040]   We have 32 of the encoder layers. So this block here is repeated 32 times
[00:06:02.880 --> 00:06:07.540]   The head dimension indicates as you remember in the multi-head attention we have
[00:06:07.540 --> 00:06:11.960]   Each head is watching in the entire sentence
[00:06:11.960 --> 00:06:17.280]   But only a part of the embedding of each token and this indicates how much
[00:06:17.280 --> 00:06:21.920]   How many dimensions each head will attend to in each
[00:06:21.920 --> 00:06:28.760]   For the in the multi-head attention and the hidden dimension here indicates the hidden dimension of the feedforward layer
[00:06:28.760 --> 00:06:33.600]   so if the in the case of the feedforward layer, we have two linear layers one that converts the
[00:06:33.600 --> 00:06:42.440]   Dimension of the embedding vector into the hidden size then another one that converts the hidden size back into the embedding vector dimensions
[00:06:42.440 --> 00:06:45.980]   So in the case of the Mistral they are using as a hidden size
[00:06:45.980 --> 00:06:54.360]   14336 usually this is a multiple of the dimension and it looks like it's 3.5 the dimension here
[00:06:55.520 --> 00:07:01.680]   The number of heads of attention for the query is a 32 while the number of heads for the K and V
[00:07:01.680 --> 00:07:06.320]   So the key and values is 8 and they are not equal because of the grouped query attention
[00:07:06.320 --> 00:07:10.420]   So if you remember from my previous video on llama in which we talked about the grouped query attention
[00:07:10.420 --> 00:07:14.360]   In the very simple case of the grouped query attention
[00:07:14.360 --> 00:07:20.760]   We have the multi query attention which means that only the query have the multi head while the key and V don't have the multi head
[00:07:20.760 --> 00:07:21.680]   attention
[00:07:21.680 --> 00:07:27.600]   Which means that you may have eight heads for the query and only one head for the K and V in the case of the
[00:07:27.600 --> 00:07:29.800]   grouped query attention means that each group of
[00:07:29.800 --> 00:07:32.600]   Query will have one
[00:07:32.600 --> 00:07:34.920]   Attention head for the K and V
[00:07:34.920 --> 00:07:36.000]   So in this case
[00:07:36.000 --> 00:07:42.280]   Every four query have one attention head for the keys and values if this concept is not clear
[00:07:42.280 --> 00:07:45.440]   I describe it very thoroughly in my previous video on llama
[00:07:46.240 --> 00:07:51.420]   the window size is the size of the sliding window that we used in the
[00:07:51.420 --> 00:07:56.920]   Calculation of the attention and we will see later how it works. The context length is
[00:07:56.920 --> 00:08:01.480]   What is the context size upon which the model was trained upon?
[00:08:01.480 --> 00:08:04.720]   And it's much bigger for the 8 by 7 B
[00:08:04.720 --> 00:08:08.280]   The vocabulary size is the same for both and then the last two parameters
[00:08:08.280 --> 00:08:12.960]   You can see here are related to the sparse mixture of experts and we will see later
[00:08:13.440 --> 00:08:19.800]   How it works, but we just remember that we have eight experts and for each token we use two experts
[00:08:19.800 --> 00:08:21.800]   But later I will clarify how it works
[00:08:21.800 --> 00:08:28.440]   Let's proceed further. So let's talk about the sliding window attention. But before we talk about the sliding window attention
[00:08:28.440 --> 00:08:33.720]   I need to review a little bit of the self attention mechanism. So what is self attention?
[00:08:33.720 --> 00:08:39.160]   Self attention is a mechanism that allows the model to relate tokens to each other
[00:08:39.160 --> 00:08:44.160]   So tokens that are in the same sentence are related with each other through the self attention mechanism
[00:08:44.160 --> 00:08:50.640]   This is why it's called self attention because each token is watching other tokens of the of the same sentence
[00:08:50.640 --> 00:08:57.000]   And when when this is means basically that the query key and values are the same matrix
[00:08:57.000 --> 00:09:03.080]   So imagine we have the following sentence the cat is on a chair
[00:09:03.840 --> 00:09:09.760]   We have our query which is a matrix made up of six tokens each token represented by
[00:09:09.760 --> 00:09:13.480]   4096 dimensions, which is the dim parameter that we saw before
[00:09:13.480 --> 00:09:17.800]   This is multiplied by the transpose of the keys, which is
[00:09:17.800 --> 00:09:25.760]   4096 by 6 but it's just the query matrix transpose because the query key and values are the same matrix in the case of self attention
[00:09:26.600 --> 00:09:29.840]   This will produce a matrix that is 6 by 6
[00:09:29.840 --> 00:09:37.320]   Because the inner two dimensions kind of cancel out and the outer dimensions indicate the dimension of the output matrix here
[00:09:37.320 --> 00:09:41.840]   Now, what are the values in this matrix representing?
[00:09:41.840 --> 00:09:47.920]   The first value here indicates the dot product of the first token with the first
[00:09:47.920 --> 00:09:52.200]   The first row of the query with the first column of the keys
[00:09:52.280 --> 00:09:56.840]   So basically the dot product of the embedding of the first token with itself
[00:09:56.840 --> 00:10:02.560]   The second value here indicates the dot product of the first row of the query matrix
[00:10:02.560 --> 00:10:07.400]   With the second column of the key matrix here the transpose of the keys matrix here
[00:10:07.400 --> 00:10:12.040]   Which basically means that it's the dot product of the embedding of the first token
[00:10:12.040 --> 00:10:18.480]   So the with the embedding of the second token, which is cat and etc, etc for all the other values
[00:10:18.480 --> 00:10:22.240]   Don't concentrate too much on the values because all the values I put here are random
[00:10:22.240 --> 00:10:25.120]   And also the fact that these numbers are less than one
[00:10:25.120 --> 00:10:30.440]   It's not necessary because the dot product can be bigger than one. It's not a condition of the dot product
[00:10:30.440 --> 00:10:38.160]   Usually in the formula we also normalize here we divide by the dimension of the dk
[00:10:38.160 --> 00:10:46.160]   dk basically it's the size, the part of the embedding to which this particular attention head will attend to
[00:10:46.160 --> 00:10:48.680]   But let's pretend that we only have one
[00:10:49.680 --> 00:10:56.880]   One head so dk is equal to d model. So basically this head will watch the full embedding of each token
[00:10:56.880 --> 00:11:03.160]   Okay, usually we train autoregressive models. So language model is an autoregressive model
[00:11:03.160 --> 00:11:05.840]   It means that the output depends on the previous
[00:11:05.840 --> 00:11:09.240]   The next token depends only on the previous tokens
[00:11:09.240 --> 00:11:15.280]   And this is why we apply a causal mask. Causal mask means basically that in the attention mechanism
[00:11:15.280 --> 00:11:19.000]   We don't want to release a word with future words
[00:11:19.000 --> 00:11:23.280]   So words that come after it but only with the words that come before it
[00:11:23.280 --> 00:11:28.680]   so for example, we don't want the word "the" to be related to the word "cat" because
[00:11:28.680 --> 00:11:33.840]   The word "cat" comes after the word "the" but on the other hand
[00:11:33.840 --> 00:11:38.480]   We want the word "cat" to be related to the word "the" because it comes before it
[00:11:38.480 --> 00:11:40.960]   And for this reason we apply this causal mask
[00:11:40.960 --> 00:11:48.440]   Because the attention mechanism uses the softmax function we can see here. The softmax function basically
[00:11:49.440 --> 00:11:57.640]   will transform all this minus infinity into zero because the formula of the softmax has at numerator an e to the power of X and
[00:11:57.640 --> 00:12:02.360]   When X goes to minus infinity e to the power of minus infinity will go to zero
[00:12:02.360 --> 00:12:08.320]   So this is why we apply a mask in which we put all the values that we don't want, all the interactions that we don't
[00:12:08.320 --> 00:12:12.920]   Want between tokens. We just mask them out by replacing them with minus infinity
[00:12:12.920 --> 00:12:17.360]   So that when we apply the softmax, the softmax will take care of
[00:12:18.320 --> 00:12:20.320]   transforming them into zeros
[00:12:20.320 --> 00:12:27.880]   Okay, also the softmax will do another thing because it will not only convert this minus infinities to zero
[00:12:27.880 --> 00:12:32.720]   But it will also modify the other value for each row such that they sum up to one
[00:12:32.720 --> 00:12:35.280]   So as you can see now these values here
[00:12:35.280 --> 00:12:39.760]   They don't sum up to one for each row, right? Because this is 0.2, 0.1 and 0.2
[00:12:39.760 --> 00:12:46.560]   They don't sum up to one but the softmax will convert the minus infinities into zero and the remaining values for each row such
[00:12:46.560 --> 00:12:48.320]   that they sum up to one
[00:12:48.320 --> 00:12:50.960]   Now let's talk about sliding window attention
[00:12:50.960 --> 00:12:55.120]   So we applied the causal mask to hide the interactions between
[00:12:55.120 --> 00:13:00.840]   The words, a word and all the future words, but with the sliding window attention
[00:13:00.840 --> 00:13:03.160]   We also don't want the word to watch
[00:13:03.160 --> 00:13:07.400]   Other words that are outside its local context
[00:13:07.400 --> 00:13:08.880]   What do I mean by this?
[00:13:08.880 --> 00:13:15.000]   In the previous case when we only applied the causal mask, the word chair for example was being related to all the previous
[00:13:15.120 --> 00:13:19.000]   Tokens as you can see, so the token chair here is related to itself
[00:13:19.000 --> 00:13:25.120]   But also to the a on is cat v, so it could watch basically all the sentence
[00:13:25.120 --> 00:13:32.520]   But in the case of sliding window attention, we don't want the word chair to watch words that are further than
[00:13:32.520 --> 00:13:35.840]   the sliding window size from itself, so
[00:13:35.840 --> 00:13:42.460]   The sliding window size in this case is three, so tokens that are distance more than three from the word
[00:13:42.800 --> 00:13:48.240]   we are considering, so the word the chair should not be related to the word is because the distance is four and the word
[00:13:48.240 --> 00:13:52.800]   a should not be related to the word cat because the distance is four and of course
[00:13:52.800 --> 00:13:57.140]   We still want the mask to be causal because we don't want the model to
[00:13:57.140 --> 00:14:01.880]   Each token to watch future words because we are training an autoregressive model
[00:14:01.880 --> 00:14:09.720]   So the sliding window attention basically reduces the number of dot products that we are performing
[00:14:09.720 --> 00:14:15.680]   And this will improve the performance during the training and the inference because as you can see when we only apply the causal mask
[00:14:15.680 --> 00:14:20.720]   We are performing all these dot products you see here, but with the sliding window attention
[00:14:20.720 --> 00:14:24.240]   We are performing less dot products because all the other will be masked out
[00:14:24.240 --> 00:14:31.640]   Sliding window attention however may lead to degradation of the performance of the model because as you can see here
[00:14:31.640 --> 00:14:37.840]   The word the chair and the word the are not related to each other anymore, right? So the information
[00:14:38.680 --> 00:14:45.600]   Will not be conveyed from the word the and the word chair the word chair will only be related to other tokens that are belonging
[00:14:45.600 --> 00:14:49.160]   to the local context of this particular token so only the
[00:14:49.160 --> 00:14:53.260]   Tokens that are in the same in the inside this is sliding window
[00:14:53.260 --> 00:14:58.480]   This may be if this window is too small it may reduce the performance of the model
[00:14:58.480 --> 00:15:03.480]   But it may also be beneficial because for example imagine you are reading a book you don't care about
[00:15:04.180 --> 00:15:09.120]   Relating the word in chapter 5 with the words in chapter 1 because most of the books
[00:15:09.120 --> 00:15:15.080]   They could be talking about totally different things and you don't even care about relating these two tokens
[00:15:15.080 --> 00:15:17.700]   But for sure you want to relate the tokens
[00:15:17.700 --> 00:15:22.980]   In the chapter 5 with other tokens in the chapter 5 because the local context matters
[00:15:22.980 --> 00:15:29.360]   But I want to introduce you the concept of receptive field because when we use sliding window attention
[00:15:29.580 --> 00:15:34.520]   Even if the word chair and the are not related to each other actually
[00:15:34.520 --> 00:15:40.460]   Because in Mistral and in all transformer models we use multiple layers of encoders
[00:15:40.460 --> 00:15:47.280]   We will see that the information so the the word the chair and the the will still be kind of related to
[00:15:47.280 --> 00:15:49.940]   To each other not directly, but indirectly
[00:15:49.940 --> 00:15:55.600]   In a concept that is very similar to the receptive field of the convolutional neural networks
[00:15:55.600 --> 00:16:01.520]   So let's talk about the receptive field as you remember in convolutional neural networks
[00:16:01.520 --> 00:16:07.760]   We have a mask a kernel that we run through an image. So imagine this is our original image
[00:16:07.760 --> 00:16:13.600]   This one here and we run a mask that is a kernel that is 3x3 this one here
[00:16:13.600 --> 00:16:19.120]   That when we run a kernel it will produce an output feature. So for example this feature here
[00:16:19.120 --> 00:16:25.080]   This is the output produced by applying the kernel to the first 3x3 grid here
[00:16:25.440 --> 00:16:29.480]   This value here the second value here in yellow
[00:16:29.480 --> 00:16:36.920]   It will be produced when we will move our kernel to the next group of 3x3 pixels. So let me draw
[00:16:36.920 --> 00:16:41.720]   Let's use the pen. So this value here
[00:16:41.720 --> 00:16:46.600]   will be produced when we will move our kernel in this grid here and
[00:16:50.920 --> 00:16:56.140]   This value here is also an output feature of a
[00:16:56.140 --> 00:16:59.160]   convolutional kernel that is a 3x3
[00:16:59.160 --> 00:17:05.840]   Applied to this layer 2. So this is a 3x3 kernel that is applied to this layer 2
[00:17:05.840 --> 00:17:11.820]   So apparently there is no connection between this one this pixel here and this one
[00:17:11.820 --> 00:17:19.240]   But because he this this output feature depends on a kernel applied in this grid and this grid
[00:17:19.520 --> 00:17:26.720]   Includes this feature here which depends on this pixel here. We can safely say that this feature here
[00:17:26.720 --> 00:17:30.520]   Depends indirectly also on this feature here
[00:17:30.520 --> 00:17:36.200]   Even if they are not directly related to each other and this is the concept of the receptive field. So basically
[00:17:36.200 --> 00:17:42.900]   One feature of the convolutional neural networks can watch a much bigger receptive field
[00:17:42.900 --> 00:17:47.680]   down upward in the layers because of this
[00:17:49.400 --> 00:17:53.240]   Sequential application of kernels in the convolutional kernels
[00:17:53.240 --> 00:17:58.360]   Let's see how this concept is related to the sliding window attention now
[00:17:58.360 --> 00:18:00.280]   now
[00:18:00.280 --> 00:18:06.840]   After we apply the softmax to the mask that we have seen before as I told you before all the minus infinities are
[00:18:06.840 --> 00:18:12.100]   Converted into zero and all the other values are changed in such a way that they sum up to one
[00:18:12.100 --> 00:18:17.920]   So let's go back as you remember here. We have the minus infinities here here here here here and here
[00:18:17.920 --> 00:18:24.680]   So now we apply the softmax and it will become zeros zeros here. Also, let me
[00:18:24.680 --> 00:18:30.560]   Okay, all the zeros here all the zeros here and all the other values are changed in such a way that they sum up to
[00:18:30.560 --> 00:18:33.640]   One what is the next operation that we do in the self-attention?
[00:18:33.640 --> 00:18:38.660]   We then take the output of the softmax and multiply it by the V matrix. So let's do it
[00:18:38.660 --> 00:18:46.360]   The V matrix is basically the same as the initial sequence because I told you this is self-attention
[00:18:46.360 --> 00:18:49.160]   So the query key and values are the same matrix
[00:18:49.160 --> 00:18:54.640]   So this means let's analyze what happens by hand when we do this multiplication
[00:18:54.640 --> 00:18:59.200]   So let me change to the pen. Okay, the V matrix here is
[00:18:59.200 --> 00:19:04.960]   is a sequence of tokens where each token is a vector represented by
[00:19:04.960 --> 00:19:12.480]   4096 dimensions so we can say that it's the output of the self-attention if you watch the
[00:19:12.760 --> 00:19:16.040]   Dimensions of these two matrices. So it's a 6 by 6 and the 6 by
[00:19:16.040 --> 00:19:19.320]   4096 the output will be another matrix that is 6 by
[00:19:19.320 --> 00:19:24.640]   4096 so it will have the same dimension as the V matrix and also as the Q and the
[00:19:24.640 --> 00:19:31.120]   Query matrix because they have the same dimensions. So it will be six tokens as output
[00:19:31.120 --> 00:19:37.640]   Okay, let's analyze. What is the first dimension of the output to this one here?
[00:19:37.720 --> 00:19:45.200]   So this first value of the output so the value on the row 1, column 1 of the output matrix will be the dot
[00:19:45.200 --> 00:19:50.640]   Product of the first row of this matrix here. So this row here
[00:19:50.640 --> 00:19:58.040]   With the first column of this matrix, so the first column we can see here and
[00:19:58.040 --> 00:20:06.120]   As you can see most of the values here are 0 which means that all the rows from the 1 to 5
[00:20:06.280 --> 00:20:09.340]   Sorry from 2 to 6 will not be used
[00:20:09.340 --> 00:20:15.660]   but only the first row here fully the values of the first row will be used because if you remember the dot product is the
[00:20:15.660 --> 00:20:19.560]   first dimension with the first dimension of this column and
[00:20:19.560 --> 00:20:23.960]   The second dimension of this row with the second dimension of this column
[00:20:23.960 --> 00:20:29.000]   The third dimension of this row with the third dimension of this column and then we sum up all these values
[00:20:29.360 --> 00:20:36.440]   So this first value of the output will only depend on the first token of the V matrix
[00:20:36.440 --> 00:20:40.040]   You can see here. Let's check the second one the second
[00:20:40.040 --> 00:20:42.400]   dimension of the
[00:20:42.400 --> 00:20:49.080]   the first dimension of the second row of the output matrix will be the dot product of the first row of
[00:20:49.080 --> 00:20:51.600]   this matrix here
[00:20:51.600 --> 00:20:55.560]   With the first column of the V matrix
[00:20:55.760 --> 00:21:00.140]   but most of the values are 0 which means that this
[00:21:00.140 --> 00:21:08.120]   dimension here and all the dimensions in this row will depend only on the first two tokens of the V matrix and
[00:21:08.120 --> 00:21:12.240]   We can say the same for the third. Let's analyze the sixth one here
[00:21:12.240 --> 00:21:17.040]   So the first dimension of the sixth row of the output matrix
[00:21:17.040 --> 00:21:20.760]   So this value here comes from the dot product of this row
[00:21:23.480 --> 00:21:26.920]   And the first column of the V matrix
[00:21:26.920 --> 00:21:32.860]   but most of the values at the beginning are 0 which means that it will only depend on the
[00:21:32.860 --> 00:21:41.880]   4, 5 and 6th token of the V matrix and so will be all the dimensions here because in each column
[00:21:41.880 --> 00:21:48.600]   Whatever the column we use from the V matrix the first values will always be multiplied by 0, 0, 0
[00:21:48.600 --> 00:21:51.760]   So it will only use the values in these three rows here
[00:21:51.880 --> 00:21:57.720]   So we can safely say that the 6th token of the output matrix
[00:21:57.720 --> 00:22:05.680]   of this self-attention mechanism will be a vector that will only depend on the last three tokens of the V matrix and
[00:22:05.680 --> 00:22:10.120]   Because we are talking about self-attention the V matrix is equal to query matrix
[00:22:10.120 --> 00:22:17.280]   So we can say that the output of the self-attention is a matrix that has the same shape as the input sequence
[00:22:17.480 --> 00:22:22.480]   But where each token now captures some more information about other tokens
[00:22:22.480 --> 00:22:26.080]   Which tokens depending on the mask we have applied
[00:22:26.080 --> 00:22:30.520]   So our mask says that the first token can only watch itself
[00:22:30.520 --> 00:22:35.200]   So the first output token will be an embedding that will only depend on itself
[00:22:35.200 --> 00:22:39.560]   The second token will only depend on the first two tokens
[00:22:39.560 --> 00:22:44.720]   The third output token will only depend on the first three tokens
[00:22:44.840 --> 00:22:49.960]   The fourth will depend on the token number two because the first token is not used
[00:22:49.960 --> 00:22:53.160]   The token number two, the token number three and the token number four, etc, etc
[00:22:53.160 --> 00:22:55.160]   Until the last here
[00:22:55.160 --> 00:23:01.320]   The last token will depend only on the last three tokens because the first three tokens are masked out
[00:23:01.320 --> 00:23:05.960]   And this is the importance of the mask that we apply in the self-attention mechanism
[00:23:05.960 --> 00:23:10.240]   This concept that I show you now is very important to understand the rest of the video
[00:23:10.240 --> 00:23:13.000]   So please if you didn't understand it, you can take a little pause
[00:23:13.000 --> 00:23:17.200]   You can try to do it by yourself because it's really important that you understand
[00:23:17.200 --> 00:23:19.560]   How the self-attention mechanism works with the mask
[00:23:19.560 --> 00:23:23.000]   Okay, now that we have seen this concept
[00:23:23.000 --> 00:23:25.040]   I want to introduce you to the next one
[00:23:25.040 --> 00:23:29.360]   So as we saw before the output of the self-attention mechanism is another
[00:23:29.360 --> 00:23:36.240]   Matrix with the same shape as the query matrix in which each token is represented by an embedding of size
[00:23:36.240 --> 00:23:41.840]   4096 but each embedding now captures information also about other tokens
[00:23:42.320 --> 00:23:48.360]   According to the mask and if we check the this mask here, so the output here
[00:23:48.360 --> 00:23:55.600]   We can safely say that the input of our sliding window attention was the initial
[00:23:55.600 --> 00:23:58.560]   Sequence dcat is on a chair
[00:23:58.560 --> 00:24:03.640]   But after applying the self-attention the first token is now related to itself
[00:24:03.640 --> 00:24:07.800]   The second token is related to itself and the token before it
[00:24:07.800 --> 00:24:11.920]   The third is related to the token before it and the one also before it
[00:24:11.920 --> 00:24:17.040]   The last one only depends on the previous two tokens, etc. According to the mask, right?
[00:24:17.040 --> 00:24:24.440]   Now what happens if we feed this one because as you know in the transformer world and also in Mistral and also in Lama
[00:24:24.440 --> 00:24:30.480]   we have many layers of encoders one after another which are also called the transformer block in the code and
[00:24:30.480 --> 00:24:37.680]   The output of each layer is fed to the next one. So this is the first layer of the transformer
[00:24:37.680 --> 00:24:44.000]   So we take the input sequence and we feed it to the first layer which will produce a list of tokens where each token now captures
[00:24:44.000 --> 00:24:51.680]   Information about other tokens, but this will become the input of the next layer where we it will produce an output
[00:24:51.680 --> 00:24:56.640]   This output I will prove you that will capture information about even more tokens
[00:24:56.640 --> 00:25:02.440]   Even if the sliding window attention says that they should only be able to watch the previous two tokens
[00:25:02.440 --> 00:25:06.760]   Because the sliding window size we chose three as a sliding window size
[00:25:07.440 --> 00:25:09.440]   I want to prove it. So
[00:25:09.440 --> 00:25:13.400]   Imagine this is the output of the first layer
[00:25:13.400 --> 00:25:21.120]   So it's a list of tokens that capture information about other tokens and it's the the matrix that we built in the previous slide
[00:25:21.120 --> 00:25:27.160]   Let's use it as an input for another layer of the encoder. So we multiply the query
[00:25:27.160 --> 00:25:34.920]   We multiply the query and the transposed of the keys which will produce a matrix like this one in which each token is not only
[00:25:34.920 --> 00:25:39.560]   One token, but it's capturing already information about multiple tokens, right according to the mask
[00:25:39.560 --> 00:25:44.480]   So I'm taking this one and this one will become query key and values
[00:25:44.480 --> 00:25:48.480]   So if we multiply the query by the key, it will return a matrix like this
[00:25:48.480 --> 00:25:54.080]   So the first token only depends on itself. The second one depends on himself and the previous one
[00:25:54.080 --> 00:26:01.080]   So the embedding of this token captures information about two tokens and the embedding of this token capture information about three tokens, etc
[00:26:01.080 --> 00:26:04.560]   Let's try to do the multiplication again
[00:26:04.560 --> 00:26:06.560]   so
[00:26:06.560 --> 00:26:14.160]   We have that our V matrix is again a list of tokens and the output
[00:26:14.160 --> 00:26:21.320]   Will also be a list of tokens, but each one will capture information about other tokens
[00:26:21.320 --> 00:26:24.840]   Okay, let's analyze the dot product here
[00:26:24.840 --> 00:26:27.520]   So the first value of the first row
[00:26:27.520 --> 00:26:33.960]   So the first dimension of the first row of the output matrix will be the dot product of the first row of this
[00:26:33.960 --> 00:26:41.320]   Matrix here. So this row here with the first column of this matrix here. So this column here
[00:26:41.320 --> 00:26:47.480]   But because of this causal mask with the sliding window attention mask that we can see here
[00:26:47.480 --> 00:26:52.120]   It will the output will only depend on the first row of the V matrix
[00:26:52.400 --> 00:26:57.240]   But because the V matrix is a matrix that is made of these tokens here
[00:26:57.240 --> 00:27:03.800]   it will only depend on the word V so as we can see here the output of the second layer only depends on the
[00:27:03.800 --> 00:27:05.800]   word V and
[00:27:05.800 --> 00:27:12.400]   So will be this second one. So let's check the fourth token. For example here this one
[00:27:12.400 --> 00:27:15.800]   Let's check this fourth token here
[00:27:15.800 --> 00:27:23.160]   So this value here will be the product of the fourth row of this matrix dot product of
[00:27:23.160 --> 00:27:28.480]   This row with the first column of the V matrix. So this column here
