
[00:00:00.360 --> 00:00:04.800]   Welcome to the Huberman Lab Podcast, where we discuss science and science-based tools
[00:02:50.240 --> 00:03:00.280]   or they are just a human being on the planet, or they are just a human being on the planet, feels as if their attention is being pulled in different directions, sometimes without our awareness, sometimes with our awareness.
[00:03:00.280 --> 00:03:04.280]   What is this notion of recapturing attention?
[00:03:04.280 --> 00:03:19.240]   Dr. Mark Berman: Yeah, I think it's a really fundamental concept, and we think that attention, you know, maybe on the surface of it, people just kind of think about, oh, it's kids trying to pay attention to school, or, oh, it's trying to pay attention at work.
[00:03:19.240 --> 00:03:27.280]   Dr. Mark Berman: But it's actually deeper than that. We kind of think that elements of attention are sort of involved in controlling all of our behaviors.
[00:03:27.280 --> 00:03:41.280]   Dr. Mark Berman: And when our attention is depleted, we don't have as much impulse control, we might behave more aggressively, you know, we may not be able to achieve our goals.
[00:03:41.280 --> 00:03:55.320]   Dr. Mark Berman: And with a lot of things in the modern world, our attention is just being fatigued, and we're depleted, and it's really hard to recharge the battery or know what to do to recharge the battery.
[00:03:55.320 --> 00:04:09.360]   Dr. Mark Berman: And I think that's kind of the entry point why I sort of got interested in this and one of my mentors, Steve Kaplan, would talk about this directed attention fatigue problem that a lot of us are facing.
[00:04:09.360 --> 00:04:17.400]   Dr. Mark Berman: You know, our ancestors, you know, thousands and thousands of years ago were not bombarded with so much information like we are now.
[00:04:17.400 --> 00:04:23.400]   Dr. Mark Berman: Now, the modern human has to sort of pick and choose what to pay attention to, and it's kind of overwhelming.
[00:04:23.400 --> 00:04:45.440]   Dr. Mark Berman: And Steve Kaplan had this idea that humans kind of have two different kinds of attention, so one kind of attention is called directed attention, and that's kind of the attention that I've been talking about just recently here, and that's the kind of attention where you, as an individual person, are deciding what to pay attention to.
[00:04:45.440 --> 00:04:53.360]   Dr. Mark Berman: So, presumably, Andrew, you're deciding to pay attention to what I'm saying, even though there's many other things you could find that might be more inherently interesting.
[00:04:53.360 --> 00:04:59.360]   Dr. Mark Berman: than what I'm saying, and this is kind of a very, you know, unique human capability.
[00:04:59.360 --> 00:05:03.360]   Dr. Mark Berman: There might be other species that can kind of decide what to pay attention to, but we're really good at it.
[00:05:03.360 --> 00:05:15.360]   Dr. Mark Berman: Humans are really, really good at being able to, like, focus on this lecture or focus on reading this paper or focus on trying to finish this math problem, but we can't do it forever.
[00:05:15.360 --> 00:05:23.340]   Dr. Mark Berman: And I think everybody kind of has had that sensation where at the end of a long workday, maybe three or four o'clock, you might be thinking,
[00:05:23.340 --> 00:05:26.340]   Dr. Mark Berman: just staring at the computer screen and you can't focus anymore.
[00:05:26.340 --> 00:05:32.340]   Dr. Mark Berman: And we call that a directed attention fatigue state, where you can't really control your attentional focus anymore.
[00:05:32.340 --> 00:05:39.340]   Dr. Mark Berman: And I see this all the time when I'm lecturing at the University of Chicago, and I think I'm a decent lecturer.
[00:05:39.340 --> 00:05:42.340]   Dr. Mark Berman: First five minutes of class, all the students' eyes are on me.
[00:05:42.340 --> 00:05:43.340]   Dr. Mark Berman: They're engaged.
[00:05:43.340 --> 00:05:45.340]   Dr. Mark Berman: You know, I see they're nodding along with me.
[00:05:45.340 --> 00:05:50.340]   Dr. Mark Berman: And, you know, 45 minutes into my lecture, I kind of see people nodding back like this.
[00:05:50.340 --> 00:05:56.340]   Dr. Mark Berman: They're getting tired, it's just hard for people to direct their attention for long periods of time.
[00:05:56.340 --> 00:05:59.340]   Dr. Mark Berman: So that's kind of the special attention, directed attention.
[00:05:59.340 --> 00:06:03.340]   Dr. Mark Berman: We think there's this other kind of attention that we call involuntary attention.
[00:06:03.340 --> 00:06:08.340]   Dr. Mark Berman: And that's the kind of attention that's automatically captured by interesting stimulation in the environment.
[00:06:08.340 --> 00:06:16.340]   Dr. Mark Berman: So bright lights, loud noises, those things automatically capture our attention, and we don't really have much control over it.
[00:06:16.340 --> 00:06:23.340]   Dr. Mark Berman: And we think that kind of attention, this involuntary attention, is less susceptible to fatigue or depletion.
[00:06:23.340 --> 00:06:28.340]   Dr. Mark Berman: So you don't often hear people say, "Oh, I can't look at that beautiful waterfall anymore.
[00:06:28.340 --> 00:06:29.340]   Dr. Mark Berman: It's just too interesting.
[00:06:29.340 --> 00:06:30.340]   Dr. Mark Berman: I got to step away."
[00:06:30.340 --> 00:06:33.340]   Dr. Mark Berman: Or, "Oh, I have to stop watching this movie.
[00:06:33.340 --> 00:06:34.340]   Dr. Mark Berman: It's just too interesting.
[00:06:34.340 --> 00:06:35.340]   Dr. Mark Berman: I'm too tired out."
[00:06:35.340 --> 00:06:39.340]   Dr. Mark Berman: So that's a different kind of attention.
[00:06:39.340 --> 00:06:48.340]   Dr. Mark Berman: And we think what's happening in modern times is that our directed attention is being fatigued.
[00:06:48.340 --> 00:06:59.340]   Dr. Mark Berman: But maybe we can restore directed attention by going into environments that can softly capture our involuntary attention.
[00:06:59.340 --> 00:07:02.340]   Dr. Mark Berman: Do we know the basis of attentional fatigue?
[00:07:02.340 --> 00:07:09.340]   Dr. Mark Berman: I mean, I could imagine it's something in the noradrenergic, dopamine, catecholamine world.
[00:07:09.340 --> 00:07:13.340]   Dr. Mark Berman: Listeners of this podcast will recognize those terms, at least crudely.
[00:07:13.340 --> 00:07:21.340]   Dr. Mark Berman: I could also imagine that it's literally a fatigue of the visual system and/or the auditory system.
[00:07:21.340 --> 00:07:27.340]   Dr. Mark Berman: You know, it's hard to maintain fixation, as we say, as visual neuroscientists, to focus on a target is challenging.
[00:07:27.340 --> 00:07:34.340]   Dr. Mark Berman: You know, if we allow our eyes to rest, it actually gets easier to look back at it and fixate on a target.
[00:07:34.340 --> 00:07:40.340]   Dr. Mark Berman: So what is the basis of the attentional fatigue for this focused attention or what you call directed attention?
[00:07:40.340 --> 00:07:42.340]   Dr. Mark Berman: Yeah, it's a really great question.
[00:07:42.340 --> 00:07:44.340]   Dr. Mark Berman: I'm not sure I have a great answer yet.
[00:07:44.340 --> 00:07:46.340]   Dr. Mark Berman: Maybe you'd have some ideas, Andrew.
[00:07:46.340 --> 00:08:04.340]   Dr. Mark Berman: You know, one thing that sort of to me puzzles me a little bit about the brain is that from my understanding, it's kind of like brain metabolism is 20% of overall metabolism, no matter what people are doing, except for really extreme exercise where brain metabolism goes down a little bit.
[00:08:04.340 --> 00:08:11.340]   Dr. Mark Berman: But if you're asleep or if you're doing a hard calculus problem, I think the brain is still using 20% of metabolism.
[00:08:11.340 --> 00:08:12.340]   Dr. Mark Berman: So it's sort of this puzzle.
[00:08:12.340 --> 00:08:16.340]   Dr. Mark Berman: Why do we get this mental fatigue state?
[00:08:16.340 --> 00:08:20.340]   Dr. Mark Berman: I'm it's got to have some kind of neurological component.
[00:08:20.340 --> 00:08:22.340]   Dr. Mark Berman: At this point, I can't point to it.
[00:08:22.340 --> 00:08:24.340]   Dr. Mark Berman: So I'm going to talk about it more at this psychological level.
[00:08:24.340 --> 00:08:28.340]   Dr. Mark Berman: It's a sensation that we have that we can't focus anymore.
[00:08:28.340 --> 00:08:35.340]   Dr. Mark Berman: If I was to talk about brain areas, I would say probably this ability to direct attention is most likely in frontal cortex.
[00:08:35.340 --> 00:08:44.340]   Dr. Mark Berman: Whereas this involuntary tension, sometimes we call it more bottom up attention or exogenous attention where it's activated by external stimulation.
[00:08:44.340 --> 00:08:54.340]   Dr. Mark Berman: I would say that's probably more activated by things in the parietal cortex or even occipital cortex or auditory cortex, depending on what that external stimulation is.
[00:08:54.340 --> 00:09:09.340]   Dr. Mark Berman: I'm not going to lean everything on the visual system, but I've been listening to this book that unfortunately is only available as an audio book called Daily Rituals, which it's got two minute chapters and it describes the daily rituals of writers and artists and creatives.
[00:09:09.340 --> 00:09:25.340]   Dr. Mark Berman: And it's very interesting that across many of those chapters, you find the same thing, which is that almost all of these people had a ritual of taking some stimulant, typically caffeine, sometimes more aggressive stimulants, but caffeine.
[00:09:25.340 --> 00:09:29.340]   Dr. Mark Berman: And then something to restrict their visual world, make it more tunnel vision.
[00:09:29.340 --> 00:09:39.340]   Dr. Mark Berman: In fact, there are certain painters, I forget that the particular painter that they described, who literally built cardboard blinders onto his glasses when things weren't going so well.
[00:09:39.340 --> 00:09:44.340]   Dr. Mark Berman: Now, the reason I bring this up is not as a suggestion, although I suppose it could.
[00:09:44.340 --> 00:09:46.340]   Dr. Mark Berman: I actually used to read papers.
[00:09:46.340 --> 00:09:47.340]   Dr. Mark Berman: Maybe I need to go back to this.
[00:09:47.340 --> 00:09:52.340]   Dr. Mark Berman: I'd put a baseball cap on, put a hoodie on and restrict your visual world.
[00:09:52.340 --> 00:09:53.340]   Dr. Mark Berman: Yeah.
[00:09:53.340 --> 00:10:00.340]   Dr. Mark Berman: And it makes perfect sense if, in fact, involuntary attention, which presumably comes from the periphery, is inexhaustible.
[00:10:00.340 --> 00:10:01.340]   Dr. Mark Berman: Right.
[00:10:01.340 --> 00:10:09.340]   Dr. Mark Berman: So, you know, I think what's interesting about the digital interface that we exist in now is that the whole world is brought right in front of us.
[00:10:09.340 --> 00:10:10.340]   Dr. Mark Berman: Yes, yes.
[00:10:10.340 --> 00:10:16.340]   Dr. Mark Berman: So presumably we evolved to move through space and direct our attention to particular locations and let the rest of the world fall away.
[00:10:16.340 --> 00:10:17.340]   Dr. Mark Berman: Yes.
[00:10:17.340 --> 00:10:26.340]   Dr. Mark Berman: And then involuntary attention could grab us to alert us to people showing up or danger or the smell of something wafting by, calling us for dinner.
[00:10:26.340 --> 00:10:31.340]   Dr. Mark Berman: But now it's all placed right in our central visual field.
[00:10:31.340 --> 00:10:32.340]   Dr. Mark Berman: Yes.
[00:10:32.340 --> 00:10:38.340]   Dr. Mark Berman: So it makes sense that we would all be very challenged with maintaining directed attention within that space.
[00:10:38.340 --> 00:10:39.340]   Dr. Mark Berman: Yes.
[00:10:39.340 --> 00:10:40.340]   Dr. Mark Berman: That small tunnel vision.
[00:10:40.340 --> 00:10:41.340]   Dr. Mark Berman: Yes.
[00:10:41.340 --> 00:10:42.340]   Dr. Mark Berman: And I would say something else too.
[00:10:42.340 --> 00:10:52.340]   Dr. Mark Berman: I guess if you felt like you had to create an isolation kind of chamber sort of thing to focus your directed attention, that's where we would say it's probably time to take a break.
[00:10:52.340 --> 00:11:01.340]   Dr. Mark Berman: That that's when, you know, we might recommend that you go for a walk in nature to recharge this kind of precious directed attention resource.
[00:11:01.340 --> 00:11:05.340]   Dr. Mark Berman: So that might be a signal if you're just having a really hard time focusing.
[00:11:05.340 --> 00:11:11.340]   Dr. Mark Berman: Yeah, you can try to power through, but I think that might not be the most productive.
[00:11:11.340 --> 00:11:18.340]   Dr. Mark Berman: That might be a signal to you to say, hey, maybe I got to go take a break and the break better not be scrolling on social media.
[00:11:18.340 --> 00:11:25.340]   Dr. Mark Berman: We're saying a really good break is actually a walk in nature or some kind of interaction with nature.
[00:11:25.340 --> 00:11:30.340]   Dr. Mark Berman: I'd like to take a quick break and acknowledge our sponsor Helix Sleep.
[00:11:30.340 --> 00:11:34.340]   Dr. Mark Berman: Helix Sleep makes mattresses and pillows that are customized to your unique sleep needs.
[00:11:34.340 --> 00:11:42.340]   Dr. Mark Berman: Now I've spoken many times before on this and other podcasts about the fact that getting a great night's sleep is the foundation of mental health, physical health and performance.
[00:11:42.340 --> 00:11:52.340]   Dr. Mark Berman: Now the mattress you sleep on makes a huge difference in the quality of sleep that you get each night, how soft it is or how firm it is all play into your comfort and need to be tailored to your unique sleep needs.
[00:11:52.340 --> 00:11:59.340]   Dr. Mark Berman: If you go to the Helix website, you can take a brief two minute quiz and it will ask you questions such as, do you sleep on your back, your side or your stomach?
[00:11:59.340 --> 00:12:01.340]   Dr. Mark Berman: Do you tend to run hot or cold during the night?
[00:12:01.340 --> 00:12:02.340]   Dr. Mark Berman: Things of that sort.
[00:12:02.340 --> 00:12:04.340]   Dr. Mark Berman: Maybe you know the answers to those questions.
[00:12:04.340 --> 00:12:05.340]   Dr. Mark Berman: Maybe you don't.
[00:12:05.340 --> 00:12:08.340]   Dr. Mark Berman: Either way, Helix will match you to the ideal mattress for you.
[00:12:08.340 --> 00:12:10.340]   Dr. Mark Berman: For me, that turned out to be the Dusk mattress.
[00:12:10.340 --> 00:12:16.340]   Dr. Mark Berman: I started sleeping on a Dusk mattress about three and a half years ago, and it's been far and away the best sleep that I've ever had.
[00:12:16.340 --> 00:12:25.340]   Dr. Mark Berman: If you'd like to try Helix Sleep, you can go to helixsleep.com/huberman, take that two minute sleep quiz and Helix will match you to a mattress that's customized to you.
[00:12:25.340 --> 00:12:28.340]   Dr. Mark Berman: Right now, Helix is giving up to 27% off all mattress orders.
[00:12:28.340 --> 00:12:33.340]   Dr. Mark Berman: Again, that's helixsleep.com/huberman to get up to 27% off.
[00:12:33.340 --> 00:12:36.340]   Dr. Mark Berman: Today's episode is also brought to us by BetterHelp.
[00:12:36.340 --> 00:12:42.340]   Dr. Mark Berman: BetterHelp offers professional therapy with a licensed therapist carried out entirely online.
[00:12:42.340 --> 00:12:45.340]   Dr. Mark Berman: I've been doing weekly therapy for over 30 years.
[00:12:45.340 --> 00:12:46.340]   Dr. Mark Berman: Initially, I didn't have a choice.
[00:12:46.340 --> 00:12:48.340]   Dr. Mark Berman: It was a condition of being allowed to stay in school.
[00:12:48.340 --> 00:12:53.340]   Dr. Mark Berman: But pretty soon, I realized that therapy is an extremely important component to overall health.
[00:12:53.340 --> 00:12:59.340]   Dr. Mark Berman: In fact, I consider doing regular weekly therapy just as important as getting regular exercise, which, of course, I also do every week.
[00:12:59.340 --> 00:13:02.340]   Dr. Mark Berman: There are essentially three things that great therapy provides.
[00:13:02.340 --> 00:13:09.340]   Dr. Mark Berman: First of all, great therapy provides a great rapport with somebody that you can trust and talk to about any and all issues with.
[00:13:09.340 --> 00:13:14.340]   Dr. Mark Berman: Second of all, great therapy provides support in the form of emotional support or directed guidance.
[00:13:14.340 --> 00:13:17.340]   Dr. Mark Berman: And third, expert therapy can provide useful insights.
[00:13:17.340 --> 00:13:25.340]   Dr. Mark Berman: Those insights can allow you to make changes to improve your life in immeasurable ways, not just your emotional life and your relationship life, but also your professional life.
[00:13:25.340 --> 00:13:32.340]   Dr. Mark Berman: With BetterHelp, they make it very easy to find an expert therapist you resonate with and that can provide you these benefits that come through effective therapy.
[00:13:32.340 --> 00:13:40.340]   Dr. Mark Berman: Also, because BetterHelp allows for therapy to be done entirely online, it's extremely time efficient and easy to fit into a busy schedule.
[00:13:40.340 --> 00:13:46.340]   Dr. Mark Berman: If you'd like to try BetterHelp, go to betterhelp.com/huberman to get 10% off your first month.
[00:13:46.340 --> 00:13:50.340]   Dr. Mark Berman: Again, that's betterhelp.com/huberman.
[00:13:50.340 --> 00:13:53.340]   Dr. Mark Berman: I want to talk about interaction with nature.
[00:13:53.340 --> 00:13:58.340]   Dr. Mark Berman: I just want to, it's not a pushback on what you just said, but maybe just a probe a little bit deeper.
[00:13:58.340 --> 00:14:05.340]   Dr. Mark Berman: I think a lot of people struggle with getting into a focused state at the outset.
[00:14:05.340 --> 00:14:06.340]   Dr. Mark Berman: Yeah.
[00:14:06.340 --> 00:14:14.340]   Dr. Mark Berman: And I myself am familiar with the sitting down to do some work and it taking some time to kind of warm up and that agitation.
[00:14:14.340 --> 00:14:15.340]   Dr. Mark Berman: Yeah, yeah.
[00:14:15.340 --> 00:14:19.340]   Dr. Mark Berman: I always think about it as literally climbing over or through barbed wire.
[00:14:19.340 --> 00:14:20.340]   Dr. Mark Berman: Yes.
[00:14:20.340 --> 00:14:21.340]   Dr. Mark Berman: Sometimes it actually feels like that, right?
[00:14:21.340 --> 00:14:22.340]   Dr. Mark Berman: Yes.
[00:14:22.340 --> 00:14:25.340]   Dr. Mark Berman: And then either side of the barbed wire is a steep slope.
[00:14:25.340 --> 00:14:29.340]   Dr. Mark Berman: On one side is distraction that can come from surfing the web or social media.
[00:14:29.340 --> 00:14:30.340]   Dr. Mark Berman: Right.
[00:14:30.340 --> 00:14:31.340]   Dr. Mark Berman: And then on the other side is any sort of drama.
[00:14:31.340 --> 00:14:32.340]   Dr. Mark Berman: Yes.
[00:14:32.340 --> 00:14:35.340]   Dr. Mark Berman: And then of course, our mind starts creating all these things that we think we need to do.
[00:14:35.340 --> 00:14:37.340]   Dr. Mark Berman: And the idea is to get through the barbed wire.
[00:14:37.340 --> 00:14:38.340]   Dr. Mark Berman: Yes.
[00:14:38.340 --> 00:14:40.340]   Dr. Mark Berman: And then on the other side of it is that focused state.
[00:14:40.340 --> 00:14:41.340]   Dr. Mark Berman: Yes.
[00:14:41.340 --> 00:14:47.340]   Dr. Mark Berman: For most people, I think what I described is not terribly different from that.
[00:14:47.340 --> 00:14:48.340]   Dr. Mark Berman: Yeah.
[00:14:48.340 --> 00:14:51.340]   Dr. Mark Berman: I'm making a lot of assumptions here, but I don't know many people that can just sit down to work that-
[00:14:51.340 --> 00:14:52.340]   Dr. Mark Berman: No, and just-
[00:14:52.340 --> 00:14:53.340]   Dr. Mark Berman: And just drop in like a-
[00:14:53.340 --> 00:14:54.340]   Dr. Mark Berman: Right, yes.
[00:14:54.340 --> 00:14:55.340]   Dr. Mark Berman: Like a trench.
[00:14:55.340 --> 00:14:56.340]   Dr. Mark Berman: That's right.
[00:14:56.340 --> 00:14:57.340]   Dr. Mark Berman: Can you do that?
[00:14:57.340 --> 00:15:01.340]   Dr. Mark Berman: No, but I can do it better after a walk in nature.
[00:15:01.340 --> 00:15:07.340]   Dr. Mark Berman: So I think almost like the walk in nature is sort of like a preparatory kind of process.
[00:15:07.340 --> 00:15:10.340]   Dr. Mark Berman: Just like, you know, think about like lifting weights or something like that.
[00:15:10.340 --> 00:15:15.340]   Dr. Mark Berman: You wouldn't start off a workout and say, "Oh, let's put 250 on the bench and start going."
[00:15:15.340 --> 00:15:16.340]   Dr. Mark Berman: Correct.
[00:15:16.340 --> 00:15:17.340]   Dr. Mark Berman: You warm up.
[00:15:17.340 --> 00:15:20.340]   Dr. Mark Berman: You got to wake up your nervous system a little bit.
[00:15:20.340 --> 00:15:26.340]   Dr. Mark Berman: I think that's kind of a little bit what we think interacting with nature is kind of doing.
[00:15:26.340 --> 00:15:28.340]   Dr. Mark Berman: I mean, it's not a passive process.
[00:15:28.340 --> 00:15:32.340]   Dr. Mark Berman: We're not saying go and sit in a dark room for 30 minutes and then start to go to work.
[00:15:32.340 --> 00:15:35.340]   Dr. Mark Berman: No, we're saying we want you to be interacting with nature.
[00:15:35.340 --> 00:15:36.340]   Dr. Mark Berman: We want you to notice nature.
[00:15:36.340 --> 00:15:42.340]   Dr. Mark Berman: We want your involuntary attention to be automatically captured by the stimulation of nature.
[00:15:42.340 --> 00:15:49.340]   Dr. Mark Berman: And then after you've kind of been sufficiently recharged, then we think you're going to be able to go back to your desk
[00:15:49.340 --> 00:15:52.340]   Dr. Mark Berman: and be able to direct attention and be able to focus.
[00:15:52.340 --> 00:16:02.340]   Dr. Mark Berman: So let's talk about some of the data around what walks in nature and interactions with other components of nature can do for our cognition and our level of focus.
[00:16:02.340 --> 00:16:09.340]   Dr. Mark Berman: I think intuitively people will appreciate, okay, a nice walk in nature, not looking at one's phone.
[00:16:09.340 --> 00:16:10.340]   Dr. Mark Berman: It's very pleasant.
[00:16:10.340 --> 00:16:11.340]   Dr. Mark Berman: It's relaxing.
[00:16:11.340 --> 00:16:14.340]   Dr. Mark Berman: And then you get back to your desk and you can really focus.
[00:16:14.340 --> 00:16:19.340]   Dr. Mark Berman: What about the laboratory data that support this or out of laboratory data that support this?
[00:16:19.340 --> 00:16:20.340]   Dr. Mark Berman: Yeah.
[00:16:20.340 --> 00:16:24.340]   Dr. Mark Berman: Maybe you could describe a few of the incredible studies that you've done because they are really incredible.
[00:16:24.340 --> 00:16:29.340]   Dr. Mark Berman: And they're very pioneering in the way that you've brought real laboratory technology into nature as well.
[00:16:29.340 --> 00:16:33.340]   Dr. Mark Berman: So pick your favorite study about this and then I'll ask you about a few others as well.
[00:16:33.340 --> 00:16:34.340]   Dr. Mark Berman: Sure, thanks.
[00:16:34.340 --> 00:16:43.340]   Dr. Mark Berman: Well, I think the kind of the seminal experiment that we did was back in, you know, 2008.
[00:16:43.340 --> 00:16:52.340]   Dr. Mark Berman: And at that time, when people did these sort of nature walk studies, they would ask people, how do you feel after the walk?
[00:16:52.340 --> 00:16:56.340]   Dr. Mark Berman: And it was very subjective and I'm not against subjective accounts.
[00:16:56.340 --> 00:17:00.340]   Dr. Mark Berman: And people reported, yeah, I feel much more refreshed after the walk in nature.
[00:17:00.340 --> 00:17:05.340]   Dr. Mark Berman: But I always felt a little bit dissatisfied by that.
[00:17:05.340 --> 00:17:08.340]   Dr. Mark Berman: I wanted to see, well, does objective performance change?
[00:17:08.340 --> 00:17:14.340]   Dr. Mark Berman: Just like we would probably be dissatisfied if I gave you a pill and I said, this pill is going to get you stronger.
[00:17:14.340 --> 00:17:16.340]   Dr. Mark Berman: You're going to be able to lift more weight.
[00:17:16.340 --> 00:17:19.340]   Dr. Mark Berman: And if we just had people say, yeah, I feel like I can lift more weight.
[00:17:19.340 --> 00:17:20.340]   Dr. Mark Berman: I don't think that'd be satisfying.
[00:17:20.340 --> 00:17:23.340]   Dr. Mark Berman: We'd actually want to see, can people actually lift more weight?
[00:17:23.340 --> 00:17:31.340]   Dr. Mark Berman: And so what we did is we designed a study that was experimentally controlled that would have objective measures.
[00:17:31.340 --> 00:17:36.340]   Dr. Mark Berman: How did people perform cognitively before and after going on a walk in nature?
[00:17:36.340 --> 00:17:44.340]   Dr. Mark Berman: So what we did is we brought people into the laboratory and then we gave them some challenging working memory and attention tasks.
[00:17:44.340 --> 00:17:54.340]   Dr. Mark Berman: So one of the tasks was called the backwards digit span task, where you would hear digits out loud at a pace of about one digit per second.
[00:17:54.340 --> 00:17:58.340]   Dr. Mark Berman: And then the participant would need to repeat them back in backwards order.
[00:17:58.340 --> 00:18:04.340]   Dr. Mark Berman: So if I said five, six, seven, the participant would have to repeat back seven, six, five.
[00:18:04.340 --> 00:18:10.340]   Dr. Mark Berman: Pretty easy task at three digits, but we keep increasing the number of digits all the way till about nine digits.
[00:18:10.340 --> 00:18:14.340]   Dr. Mark Berman: At about five digits, you're ready to pull your hair out is a challenging task.
[00:18:14.340 --> 00:18:17.340]   Dr. Mark Berman: So we gave participants this backwards digit span task.
[00:18:17.340 --> 00:18:23.340]   Dr. Mark Berman: And then we gave them a map of a walk.
[00:18:23.340 --> 00:18:32.340]   Dr. Mark Berman: It could be the first studies were through the Ann Arbor Arboretum, which was a nature walk kind of by the psychology building at the University of Michigan.
[00:18:32.340 --> 00:18:40.340]   Dr. Mark Berman: Or participants went for a walk on busy Washtenaw Street in downtown Ann Arbor.
[00:18:40.340 --> 00:18:46.340]   Dr. Mark Berman: The walks were both about 2.6 miles, so it took people about 50 minutes to do the walk.
[00:18:46.340 --> 00:18:53.340]   Dr. Mark Berman: We also took participants cell phones because we didn't want them texting or chit chatting on the walk.
[00:18:53.340 --> 00:18:56.340]   Dr. Mark Berman: We wanted their attention to be fully focused on the environment.
[00:18:56.340 --> 00:18:57.340]   Dr. Mark Berman: And we also did one other thing.
[00:18:57.340 --> 00:18:59.340]   Dr. Mark Berman: We also gave them a GPS watch.
[00:18:59.340 --> 00:19:01.340]   Dr. Mark Berman: Why did we give them a GPS watch?
[00:19:01.340 --> 00:19:02.340]   Dr. Mark Berman: Well, we did it for two reasons.
[00:19:02.340 --> 00:19:04.340]   Dr. Mark Berman: One, we wanted to make sure they went on the walk.
[00:19:04.340 --> 00:19:06.340]   Dr. Mark Berman: They didn't just go to Starbucks.
[00:19:06.340 --> 00:19:09.340]   Dr. Mark Berman: And two, we wanted to see, did people get lost?
[00:19:09.340 --> 00:19:12.340]   Dr. Mark Berman: Because if people got lost on the walk, maybe that wouldn't be restorative.
[00:19:12.340 --> 00:19:15.340]   Dr. Mark Berman: Okay, so people do the backwards digit span task.
[00:19:15.340 --> 00:19:20.340]   Dr. Mark Berman: We send them on a walk in nature or we send them on a walk through an urban environment.
[00:19:20.340 --> 00:19:22.340]   Dr. Mark Berman: They go on this 50 minute walk.
[00:19:22.340 --> 00:19:23.340]   Dr. Mark Berman: They come back to the lab.
