
[00:00:00.000 --> 00:00:03.240]   (upbeat hip hop music)
[00:06:03.820 --> 00:06:05.020]   - I guess the Clippers, you remember?
[00:06:05.020 --> 00:06:05.860]   - Yeah.
[00:06:05.860 --> 00:06:07.220]   - Mike's standing here, right here.
[00:06:07.220 --> 00:06:09.460]   - Bro, I was like, wait, what?
[00:06:09.460 --> 00:06:10.580]   I remember that.
[00:06:10.580 --> 00:06:12.780]   - But man, as far as routine, that was one of my questions
[00:06:12.780 --> 00:06:15.900]   because early on in my career,
[00:06:15.900 --> 00:06:18.260]   your routine wasn't the same as it is now.
[00:06:18.260 --> 00:06:20.420]   You know, I remember you were way more,
[00:06:20.420 --> 00:06:21.940]   I don't know if it wasn't that you didn't care
[00:06:21.940 --> 00:06:22.820]   about basketball as much,
[00:06:22.820 --> 00:06:24.740]   but it just seemed like you didn't,
[00:06:24.740 --> 00:06:25.780]   you just were good,
[00:06:25.780 --> 00:06:27.540]   but it didn't seem like you cared as much.
[00:06:27.540 --> 00:06:29.500]   You didn't put as much effort into your body.
[00:06:29.500 --> 00:06:30.340]   You didn't.
[00:06:30.340 --> 00:06:32.380]   - Oh yeah, the beginning of my career was,
[00:06:32.380 --> 00:06:35.260]   you know, I was just,
[00:06:35.260 --> 00:06:38.260]   I came here just to make it, let's say it like that.
[00:06:38.260 --> 00:06:41.580]   You know, I came here as a third, fourth option,
[00:06:41.580 --> 00:06:43.620]   fifth option in some,
[00:06:43.620 --> 00:06:46.620]   so I was just kind of trying to play and to,
[00:06:46.620 --> 00:06:48.700]   and I was young, you didn't know nothing about it.
[00:06:48.700 --> 00:06:51.220]   You know, like you think it's just a basketball.
[00:06:51.220 --> 00:06:54.900]   It's basketball is probably like a 20% of everything else.
[00:06:54.900 --> 00:06:56.980]   It's like basketball is,
[00:06:56.980 --> 00:06:59.700]   I'm going to say for me right now, basketball is easy.
[00:06:59.700 --> 00:07:01.620]   You know, basketball is something that,
[00:07:01.620 --> 00:07:04.900]   you know, you're going to get tired, you know,
[00:07:04.900 --> 00:07:07.420]   you miss make some nights good, some nights bad.
[00:07:07.420 --> 00:07:12.420]   But I think when you learn your routine,
[00:07:12.420 --> 00:07:18.380]   like even first, I'm going to say first three years,
[00:07:18.380 --> 00:07:23.100]   like you starting to learn more and more and more.
[00:07:23.100 --> 00:07:26.020]   And then when your routine is kind of,
[00:07:26.020 --> 00:07:29.260]   I'm going to say like my third or fourth year,
[00:07:29.260 --> 00:07:32.020]   I was kind of, okay, I need to do this.
[00:07:32.020 --> 00:07:33.660]   I need to change diet.
[00:07:33.660 --> 00:07:34.820]   I need to lose weight.
[00:07:34.820 --> 00:07:36.500]   I need to, or maybe I can shoot.
[00:07:36.500 --> 00:07:38.020]   Maybe I can like youth.
[00:07:38.020 --> 00:07:40.620]   - Just develop it as time goes.
[00:07:40.620 --> 00:07:42.740]   - Develop it through the time, yeah.
[00:07:42.740 --> 00:07:46.140]   - Yeah, for people that don't know you,
[00:07:46.140 --> 00:07:47.820]   you're such a normal and like humble guy.
[00:07:47.820 --> 00:07:48.660]   You like to have fun.
[00:07:48.660 --> 00:07:49.780]   You like to do normal things.
[00:07:49.780 --> 00:07:54.340]   You know, you're not someone who really wants to be famous.
[00:07:54.340 --> 00:07:56.500]   That was never your goal in being great.
[00:07:56.500 --> 00:07:58.900]   So what would you say is the hardest part
[00:07:58.900 --> 00:08:00.700]   about being like a global superstar?
[00:08:00.700 --> 00:08:04.300]   Like the pros and the cons of really just being famous.
[00:08:04.300 --> 00:08:07.100]   - Yes, I mean, I really don't like this life
[00:08:07.100 --> 00:08:10.740]   because on the other day, we were just basketball players,
[00:08:10.740 --> 00:08:14.940]   you know, so we are just good at what we are doing.
[00:08:14.940 --> 00:08:19.940]   But media is something that is around us.
[00:08:19.940 --> 00:08:22.220]   And of course we're getting paid because of the media,
[00:08:22.220 --> 00:08:24.020]   because of popularity, you know, so.
[00:08:24.020 --> 00:08:29.460]   But being famous, I think some people like it.
[00:08:29.460 --> 00:08:32.140]   Some people don't.
[00:08:32.140 --> 00:08:34.020]   I really, when I finished my career,
[00:08:34.020 --> 00:08:36.380]   I really wish nobody knows me.
[00:08:36.380 --> 00:08:38.820]   And I really wish my kid or kids in the future
[00:08:38.820 --> 00:08:42.620]   who knows really remember me as a dad,
[00:08:42.620 --> 00:08:44.780]   not as a basketball player, you know.
[00:08:44.780 --> 00:08:46.020]   I think that's gonna,
[00:08:46.020 --> 00:08:49.740]   I'm gonna say that's gonna be my goal in life.
[00:08:49.740 --> 00:08:52.700]   And to not have phone,
[00:08:52.700 --> 00:08:56.380]   I think that's another big goal of mine.
[00:08:56.380 --> 00:09:01.740]   Just to be, to live in the moment.
[00:09:01.740 --> 00:09:03.420]   Like you said, like being a normal person,
[00:09:03.420 --> 00:09:04.500]   living in the moment,
[00:09:04.500 --> 00:09:09.180]   like go drink with your buddy or go have lunch
[00:09:09.180 --> 00:09:11.660]   or go play with the kids or go drive horses.
[00:09:11.660 --> 00:09:14.100]   And nobody's gonna make a big deal of that.
[00:09:14.100 --> 00:09:19.100]   Like I feel now, like even if you go outside
[00:09:19.100 --> 00:09:23.700]   and do anything, throw something next to the trash can,
[00:09:23.700 --> 00:09:25.260]   oh, Mike didn't throw this in the trash.
[00:09:25.260 --> 00:09:26.980]   Like it's, people are making a big deal
[00:09:26.980 --> 00:09:28.500]   of such a small things.
[00:09:28.500 --> 00:09:33.500]   And just feel sad whenever you go to the bar, restaurant,
[00:09:33.500 --> 00:09:37.100]   some game, people are just taking the phones
[00:09:37.100 --> 00:09:39.220]   and out and trying to record you.
[00:09:39.220 --> 00:09:42.700]   I think that's really, I'm gonna say rude.
[00:09:42.700 --> 00:09:43.540]   - Yeah.
[00:09:43.540 --> 00:09:44.900]   - It's because it's your life.
[00:09:44.900 --> 00:09:48.500]   I'm not, it's not that I'm showing myself.
[00:09:48.500 --> 00:09:51.380]   I'm just who I am, living your life.
[00:09:51.380 --> 00:09:53.020]   - Yeah, you're someone who keeps your private life
[00:09:53.020 --> 00:09:53.860]   very private.
[00:09:53.860 --> 00:09:55.220]   Like I remember when you did get married,
[00:09:55.220 --> 00:09:57.980]   like I don't even think anybody really knew about it.
[00:09:57.980 --> 00:09:59.140]   - Yeah.
[00:09:59.140 --> 00:10:02.220]   - So when it comes to that, how did you meet your wife, man?
[00:10:02.220 --> 00:10:05.300]   How did you know that she was the one?
[00:10:05.300 --> 00:10:11.620]   - So we met, I know her since I was 14, 15.
[00:10:11.620 --> 00:10:14.700]   - Oh, so yeah, she's from.
[00:10:14.700 --> 00:10:19.460]   - Yeah, she lives five minutes away from my house,
[00:10:19.460 --> 00:10:20.500]   from my home.
[00:10:20.500 --> 00:10:25.500]   And we were friends for like a couple of years.
[00:10:26.140 --> 00:10:29.780]   And then she actually came here the summer
[00:10:29.780 --> 00:10:32.020]   that she was supposed to, when she came here,
[00:10:32.020 --> 00:10:36.260]   that summer, before that, we kind of started,
[00:10:36.260 --> 00:10:37.780]   I'm gonna say dating.
[00:10:37.780 --> 00:10:42.780]   And she was playing volleyball in Oklahoma.
[00:10:42.780 --> 00:10:45.860]   And we were kind of having long distance relationship.
[00:10:45.860 --> 00:10:50.860]   So how I knew it, to be honest, I didn't know it,
[00:10:50.860 --> 00:10:55.140]   but it just happened to be, I think, to be honest,
[00:10:55.140 --> 00:10:59.660]   everything in my life, I never expected it to just go,
[00:10:59.660 --> 00:11:03.020]   told my life go slowly, like uphill, slowly.
[00:11:03.020 --> 00:11:06.940]   I never had some to knock on wood.
[00:11:06.940 --> 00:11:11.500]   I never had some big draft.
[00:11:11.500 --> 00:11:13.820]   So it's like slowly, slowly uphill.
[00:11:13.820 --> 00:11:15.940]   - Yeah, when you talk about that,
[00:11:15.940 --> 00:11:18.940]   when you first got in the NBA and you realized like,
[00:11:18.940 --> 00:11:20.900]   okay, I can play with these guys,
[00:11:20.900 --> 00:11:22.620]   and then you got on the court,
[00:11:22.620 --> 00:11:25.380]   I think Nerkic might've been ahead of you at that time.
[00:11:25.380 --> 00:11:29.820]   You say like, everything just happened to you.
[00:11:29.820 --> 00:11:31.700]   Did you realize when you first started playing
[00:11:31.700 --> 00:11:32.860]   how good you could be?
[00:11:32.860 --> 00:11:36.100]   Or was it something that you just kept working,
[00:11:36.100 --> 00:11:38.580]   you kept your routine, and you just got better?
[00:11:38.580 --> 00:11:40.140]   Or was it something when you first got on the court,
[00:11:40.140 --> 00:11:42.500]   you're like, I think I could be the best player in the league?
[00:11:42.500 --> 00:11:43.540]   - I think that's impossible.
[00:11:43.540 --> 00:11:48.540]   But I think, maybe one of the questions from earlier,
[00:11:48.740 --> 00:11:52.980]   motivation, is that kind of don't relax.
[00:11:52.980 --> 00:11:56.580]   If you relax, if you start thinking about that, I think,
[00:11:56.580 --> 00:11:58.780]   you're just gonna like, okay, I'm good.
[00:11:58.780 --> 00:12:02.220]   You're gonna stop doing what you're doing, you know?
[00:12:02.220 --> 00:12:05.780]   Yes, but when I came here, I was a fifth option.
[00:12:05.780 --> 00:12:09.660]   There was like JJ Hickson, Kenneth, Joffrey, and Nerk,
[00:12:09.660 --> 00:12:10.980]   and they were all in front of me.
[00:12:10.980 --> 00:12:14.180]   And then one year, me and Nerk started to play together.
[00:12:14.180 --> 00:12:15.780]   That didn't work well.
[00:12:15.780 --> 00:12:19.460]   And, I mean, I asked to go to the bench,
[00:12:19.460 --> 00:12:23.100]   just because the team, we didn't win a lot of games.
[00:12:23.100 --> 00:12:26.860]   And maybe just, you know, to give myself a chance,
[00:12:26.860 --> 00:12:29.700]   or, you know, to play a position
[00:12:29.700 --> 00:12:32.020]   that I was supposed to play or whatever.
[00:12:32.020 --> 00:12:36.600]   So, and since then, a couple months after that,
[00:12:36.600 --> 00:12:38.260]   I was starting, I was in the starting unit,
[00:12:38.260 --> 00:12:41.880]   and like I said, it's uphill, slowly uphill,
[00:12:41.880 --> 00:12:44.900]   the whole life, I'm gonna say.
[00:12:44.900 --> 00:12:46.140]   - I think that's crazy.
[00:12:46.140 --> 00:12:50.380]   This is another conversation we had.
[00:12:50.380 --> 00:12:51.740]   Well, actually, backtrack.
[00:12:51.740 --> 00:12:53.700]   I wanna ask you this, because this is a conversation
[00:12:53.700 --> 00:12:55.420]   that kids in America always have.
[00:12:55.420 --> 00:12:56.660]   You know, even NBA players in America,
[00:12:56.660 --> 00:12:58.460]   I don't know if it's the same in Serbia,
[00:12:58.460 --> 00:13:00.420]   we always talk about who's the best players.
[00:13:00.420 --> 00:13:02.460]   And the big conversation on social media is, you know,
[00:13:02.460 --> 00:13:05.140]   who's the best players in the league, who's top five.
[00:13:05.140 --> 00:13:07.180]   But no one ever hears from, you know,
[00:13:07.180 --> 00:13:08.460]   I think right now, probably,
[00:13:08.460 --> 00:13:11.500]   you are the undisputed best player in the world.
[00:13:11.500 --> 00:13:13.660]   So excluding yourself,
[00:13:13.660 --> 00:13:16.420]   who would you say is, you think it right now
[00:13:16.420 --> 00:13:18.900]   in the league is top five?
[00:13:18.900 --> 00:13:19.980]   - Right now in the league?
[00:13:19.980 --> 00:13:21.300]   - Right now in the league.
[00:13:21.300 --> 00:13:31.900]   It's tough, there's a lot of talent in the league right now.
[00:13:31.900 --> 00:13:36.800]   - I think there is a lot of talent.
[00:13:36.800 --> 00:13:42.420]   I think, I'm gonna say, Joel, Luka,
[00:13:43.060 --> 00:13:46.900]   I mean, you gotta put KD and LeBron there,
[00:13:46.900 --> 00:13:49.060]   so even they're a little bit older,
[00:13:49.060 --> 00:13:51.580]   but I think they can still perform.
[00:13:51.580 --> 00:13:55.860]   - You still got, like, Steph, you still got--
[00:13:55.860 --> 00:13:57.740]   - Steph, you know, I think it's so,
[00:13:57.740 --> 00:14:01.460]   the talent, and then you have Tatum and--
[00:14:01.460 --> 00:14:02.300]   - Giannis.
[00:14:02.300 --> 00:14:04.380]   - Giannis, you know, it's--
[00:14:04.380 --> 00:14:05.220]   - You can't really say top five.
[00:14:05.220 --> 00:14:07.260]   - I think it's really impossible to say.
[00:14:07.260 --> 00:14:10.020]   I think maybe you like some other player
[00:14:10.020 --> 00:14:12.460]   more than some other player, like his game or whatever,
[00:14:12.460 --> 00:14:17.460]   but I think it's really hard to put that top five,
[00:14:17.460 --> 00:14:21.300]   or even top 10, to be honest.
[00:14:21.300 --> 00:14:22.140]   I think it's--
[00:14:22.140 --> 00:14:24.460]   - Yeah, any given night, guys can kind of float
[00:14:24.460 --> 00:14:26.540]   in and out of there, yeah, I agree.
[00:14:26.540 --> 00:14:28.300]   One thing that makes our team so special
[00:14:28.300 --> 00:14:31.780]   is your ability to be able to figure out defenses.
[00:14:31.780 --> 00:14:33.620]   So if they double, you know, from here,
[00:14:33.620 --> 00:14:35.380]   we always talk about it in walkthroughs,
[00:14:35.380 --> 00:14:36.260]   this is what we're doing.
[00:14:36.260 --> 00:14:39.300]   Or if they double from somewhere else,
[00:14:39.300 --> 00:14:40.140]   this is what we're doing.
[00:14:40.140 --> 00:14:42.060]   So one of the reasons we won a championship
[00:14:42.060 --> 00:14:43.900]   was your ability and our ability as a team
[00:14:43.900 --> 00:14:46.300]   to kind of figure out different team strategies,
[00:14:46.300 --> 00:14:48.660]   and we pretty much have come up with a plan
[00:14:48.660 --> 00:14:49.500]   for every strategy.
[00:14:49.500 --> 00:14:50.820]   - We had the answer for everything.
[00:14:50.820 --> 00:14:55.300]   - Yeah, who do you think then gave what gives you,
[00:14:55.300 --> 00:14:58.100]   you personally, the biggest challenge, like defensively?
[00:14:58.100 --> 00:15:05.900]   - I think when, that was the bubble, right?
[00:15:07.060 --> 00:15:09.220]   When they had like, they had three, four big guys.
[00:15:09.220 --> 00:15:11.620]   - Oh yeah, the Lakers, AD, Dwight.
[00:15:11.620 --> 00:15:13.700]   - Yeah, they had like AD, Dwell.
[00:15:13.700 --> 00:15:15.580]   - Oh yeah, that was tough.
[00:15:15.580 --> 00:15:17.220]   - You know, because it's--
[00:15:17.220 --> 00:15:18.380]   - They could put a big guy on you,
[00:15:18.380 --> 00:15:19.220]   but they have another big guy.
[00:15:19.220 --> 00:15:23.660]   - Yeah, that kind of, it's like what Minnesota did us,
[00:15:23.660 --> 00:15:25.420]   you know, when they put Townsend,
[00:15:25.420 --> 00:15:29.100]   and Rudy was like kind of behind him.
[00:15:29.100 --> 00:15:31.580]   I think those kind of situations that,
[00:15:33.860 --> 00:15:38.580]   but I think like my game, whatever style, whatever it is,
[00:15:38.580 --> 00:15:42.100]   it's so, like I don't need just post-up,
[00:15:42.100 --> 00:15:43.340]   like I can play pick and roll.
[00:15:43.340 --> 00:15:45.660]   I can set pick and roll, I can come off the screens.
[00:15:45.660 --> 00:15:48.620]   You know, I can just play in the open area.
[00:15:48.620 --> 00:15:50.700]   Like, I think it's not just one thing
[00:15:50.700 --> 00:15:54.940]   that I'm doing on the floor.
[00:15:54.940 --> 00:15:56.340]   - I agree.
[00:15:56.340 --> 00:15:59.380]   Man, so outside of basketball,
[00:15:59.380 --> 00:16:01.260]   'cause everyone knows you for a great basketball player,
[00:16:01.260 --> 00:16:03.780]   but you know, we're not gonna be doing this our whole lives.
[00:16:03.780 --> 00:16:06.660]   We probably got, you know, 10 years top.
[00:16:06.660 --> 00:16:07.820]   - Five, 10 years.
[00:16:07.820 --> 00:16:08.740]   - Five probably for you.
[00:16:08.740 --> 00:16:10.700]   - No, no, five, 10, I don't know.
[00:16:10.700 --> 00:16:14.340]   - Where do you see yourself,
[00:16:14.340 --> 00:16:16.460]   I'm gonna say 15, 20 years from now,
[00:16:16.460 --> 00:16:18.100]   we've had the conversation before
[00:16:18.100 --> 00:16:21.620]   how, you know, one of your goals is to not have a phone.
[00:16:21.620 --> 00:16:24.260]   You wanna live like a normal person.
[00:16:24.260 --> 00:16:25.580]   Can you do that in Serbia?
[00:16:25.580 --> 00:16:29.260]   Or where do you see yourself in how you live in 15 years?
[00:16:29.260 --> 00:16:32.980]   - I think after the career's over,
[00:16:32.980 --> 00:16:36.620]   I think the whole kind of publicity is gonna gone.
[00:16:36.620 --> 00:16:39.220]   And I think I'm gonna figure it out.
[00:16:39.220 --> 00:16:43.620]   But how I want to see myself is to be around the family,
[00:16:43.620 --> 00:16:46.700]   spending days, probably my kid,
[00:16:46.700 --> 00:16:49.500]   kid right now, one kid, but who knows.
[00:16:49.500 --> 00:16:50.980]   Maybe they're gonna say play some sport.
[00:16:50.980 --> 00:16:52.700]   Maybe they're gonna do something interesting,
[00:16:52.700 --> 00:16:54.340]   follow them a little bit,
[00:16:54.340 --> 00:16:58.060]   and spend the rest of the day with the horses, you know.
[00:16:58.060 --> 00:17:00.220]   I have a couple horses outside of Serbia,
[00:17:00.220 --> 00:17:03.220]   in Italy, in Sweden, in France.
[00:17:03.220 --> 00:17:06.900]   Go, maybe race, actually that's kind of my secret goal,
[00:17:06.900 --> 00:17:09.900]   to be a driver, like to have fun, you know.
[00:17:09.900 --> 00:17:13.180]   Travel the world, or Europe, and race horses.
[00:17:13.180 --> 00:17:14.140]   That sounds fun.
[00:17:14.140 --> 00:17:17.380]   - Yeah, that sounds good, like I'm the same way.
[00:17:17.380 --> 00:17:19.220]   We actually have a team who's not really big
[00:17:19.220 --> 00:17:22.780]   into the, you know, the fame thing.
[00:17:22.780 --> 00:17:23.700]   Like there's a lot of guys
[00:17:23.700 --> 00:17:25.100]   that aren't really big into social media.
[00:17:25.100 --> 00:17:26.940]   And I think that kind of is what
[00:17:26.940 --> 00:17:28.020]   makes us all enjoy each other.
[00:17:28.020 --> 00:17:29.900]   None of us is trying to like,
[00:17:29.900 --> 00:17:31.180]   so I think that's cool.
[00:17:31.180 --> 00:17:35.340]   Besides that, I think my last question for you would be,
[00:17:35.340 --> 00:17:36.700]   what is your purpose, you think?
