
[00:00:00.000 --> 00:00:05.480]   Good Wednesday morning.
[00:06:50.280 --> 00:06:53.600]   And then he meets Jesus, and what does he do?
[00:06:53.600 --> 00:07:04.200]   Takes out a big red pencil, and on this gain column over here, he writes L-O-S-S.
[00:07:04.200 --> 00:07:12.920]   And over here in the Jesus column, G-A-I-N, and everything is reversed in his life.
[00:07:12.920 --> 00:07:15.560]   Has that happened to you?
[00:07:15.560 --> 00:07:19.080]   That's what it means to become a Christian, right?
[00:07:19.080 --> 00:07:25.800]   Matthew 13, 44, shortest parable, "The kingdom of heaven is like a man who found a treasure
[00:07:25.800 --> 00:07:28.040]   hidden in a field.
[00:07:28.040 --> 00:07:36.800]   And in his joy, he goes and sells all that he has, counts it as loss that he might have
[00:07:36.800 --> 00:07:37.800]   the treasure."
[00:07:37.800 --> 00:07:44.920]   It was just a field before, just walking through a field on his way to his treasure, and he
[00:07:44.920 --> 00:07:49.520]   stumbles over King Jesus in glory.
[00:07:49.520 --> 00:07:52.720]   It's full of diamonds.
[00:07:52.720 --> 00:07:57.000]   It's full of gold, full of silver.
[00:07:57.000 --> 00:08:03.680]   God opened his eyes, and now everything else, loss.
[00:08:03.680 --> 00:08:07.240]   Then your mind makes that transition.
[00:08:07.240 --> 00:08:10.920]   Your mind considers it that way.
[00:08:10.920 --> 00:08:12.560]   That's how you prepare to suffer.
[00:08:12.560 --> 00:08:14.960]   You get up in the morning, and you consider it that way.
[00:08:14.960 --> 00:08:18.720]   That's what he says, "I consider, I regard it.
[00:08:18.720 --> 00:08:26.680]   I consciously, mentally am looking at all the goods in my life and regarding them compared
[00:08:26.680 --> 00:08:28.040]   to Jesus as loss.
[00:08:28.040 --> 00:08:33.720]   They're in the loss column, and Jesus is in the gain column."
[00:08:33.720 --> 00:08:38.080]   And if you think, "Well, that was just Paul."
[00:08:38.080 --> 00:08:42.600]   He says in verse 17, "Brethren, join in imitating me.
[00:08:42.600 --> 00:08:44.680]   Join in my example."
[00:08:44.680 --> 00:08:49.840]   This is normal Christianity, every believer.
[00:08:49.840 --> 00:08:58.680]   Jesus said, Luke 14.33, "No one of you can be my disciple who does not renounce all that
[00:08:58.680 --> 00:08:59.680]   he has."
[00:08:59.680 --> 00:09:00.680]   Period.
[00:09:00.680 --> 00:09:03.560]   I'll say it again.
[00:09:03.560 --> 00:09:05.600]   This is Luke 14.33.
[00:09:05.600 --> 00:09:17.880]   "No one can be my disciple who does not renounce all his possessions."
[00:09:17.880 --> 00:09:23.280]   Now you've got clothes on, probably got a car out in the snowy parking lot, might have
[00:09:23.280 --> 00:09:26.680]   an apartment or a house, and other possessions.
[00:09:26.680 --> 00:09:31.680]   You probably have an iPhone or computer.
[00:09:31.680 --> 00:09:34.080]   So you own things.
[00:09:34.080 --> 00:09:42.040]   And this text says you can't be a follower of Jesus if you don't renounce those.
[00:09:42.040 --> 00:09:44.960]   Check out different translations on that word.
[00:09:44.960 --> 00:09:49.440]   Wouldn't that be the same as Paul saying, "Count them as loss."
[00:09:49.440 --> 00:09:52.360]   So this is mine, right?
[00:09:52.360 --> 00:09:53.960]   I think my wife bought it for me.
[00:09:53.960 --> 00:09:54.960]   This is mine.
[00:09:54.960 --> 00:09:55.960]   This coat is mine.
[00:09:55.960 --> 00:10:02.320]   This is my preaching coat.
[00:10:02.320 --> 00:10:08.240]   And I should count this as loss because of the surpassing value of knowing Jesus.
[00:10:08.240 --> 00:10:13.080]   As a humorous and simple illustration of a bigger point that we all must learn and embrace
[00:10:13.080 --> 00:10:19.320]   to look at our lives and our possessions and our successes and our pedigree and our achievements
[00:10:19.320 --> 00:10:27.460]   and our reputation and to see all of it as loss compared to knowing Christ.
[00:10:27.460 --> 00:10:29.200]   That is profound.
[00:10:29.200 --> 00:10:33.640]   This was from John Piper's sermon titled "Preparing to Know Christ Deeply Through Suffering."
[00:10:33.640 --> 00:10:36.760]   It was preached on March 2nd, 2014.
[00:10:36.760 --> 00:10:40.120]   And of course it is online right now.
[00:10:40.120 --> 00:10:41.600]   Have a sermon clip to share with us?
[00:10:41.600 --> 00:10:42.600]   Send me an email.
[00:10:42.600 --> 00:10:46.520]   Name, hometown, the sermon title, the timestamp of where the clip happens in the audio.
[00:10:46.520 --> 00:10:48.440]   And make a note of what stands out to you in the clip.
[00:10:48.440 --> 00:10:54.640]   Put the word "clip" in the subject line of an email and send it to me at askpastorjohn@desiringgod.org.
[00:10:54.640 --> 00:10:59.720]   That's our email address, askpastorjohn@desiringgod.org.
[00:10:59.720 --> 00:11:02.600]   Well Christian unity is important.
[00:11:02.600 --> 00:11:04.400]   It's really important.
[00:11:04.400 --> 00:11:08.040]   But Christian unity is not uniformity.
[00:11:08.040 --> 00:11:14.280]   So if we are not the same in every way, how do we strive for unity with other believers?
[00:11:14.280 --> 00:11:15.620]   Three steps.
[00:11:15.620 --> 00:11:17.400]   Christian unity in three steps.
[00:11:17.400 --> 00:11:19.200]   Pastor John will explain next time.
[00:11:19.200 --> 00:11:20.200]   I'm your host Tony Reiki.
[00:11:20.200 --> 00:11:23.160]   We'll rejoin in studio with Pastor John on Friday.
[00:11:23.160 --> 00:11:23.660]   We'll see you then.
[00:11:23.660 --> 00:11:28.660]   [END]
[00:11:28.660 --> 00:11:38.660]   [BLANK_AUDIO]

