
[00:00:00.040 --> 00:00:09.560]   humour
[00:08:36.220 --> 00:09:05.920]  , when you graduate from high school? Who do you want to remember you when you graduate from college? Who do you want to remember you when you close down this business and start your next one? And what do you want to be remembered for? You're going to have to be clear on what you want people to say about you when you're gone because you will have to live that out now. You have to live, I hate the word, authentically. You won't fool the people that are closest to you.
[00:09:05.940 --> 00:09:07.960]   You cannot.
[00:09:07.960 --> 00:09:18.340]   Your wife will know who you are. You cannot fool her. Your children will know who you are. You cannot fool them. Your business partner will know who you are. You can't fool them.
[00:09:18.340 --> 00:09:24.880]   You won't fool those people. And so you're going to have to live it out.
[00:09:24.880 --> 00:09:34.500]   Now here's what's cool about life and I'll wrap up with this. In life, there are many things that you can do. You have many options of things that you can choose to do.
[00:09:34.500 --> 00:09:35.860]   You have many options of things that you can choose to do.
[00:09:35.860 --> 00:09:35.940]   You have many options of things that you can choose to do.
[00:09:35.940 --> 00:09:35.940]   You have many options of things that you can choose to do.
[00:09:35.940 --> 00:09:35.940]   You have many options of things that you can choose to do.
[00:09:35.940 --> 00:09:35.940]   You have many options of things that you can choose to do.
[00:09:35.940 --> 00:09:35.940]   You have many options of things that you can choose to do.
[00:09:35.940 --> 00:09:35.940]   You have many options of things that you can choose to do.
[00:09:35.960 --> 00:10:05.960]   You have many options of things that you can choose to do.
[00:10:05.960 --> 00:10:05.960]   You have many options of things that you can choose to do.
[00:10:05.960 --> 00:10:05.960]   You have many options of things that you can choose to do.
[00:10:05.980 --> 00:10:35.980]   You have many options of things that you can choose to do.
[00:10:35.980 --> 00:10:35.980]   You have many options of things that you can choose to do.
[00:10:35.980 --> 00:10:35.980]   You have many options of things that you can choose to do.
[00:10:35.980 --> 00:10:35.980]   You have many options of things that you can choose to do.
[00:10:35.980 --> 00:10:35.980]   You have many options of things that you can choose to do.
[00:10:35.980 --> 00:10:35.980]   You have many options of things that you can choose to do.
[00:10:35.980 --> 00:10:35.980]   You have many options of things that you can choose to do.
[00:10:35.980 --> 00:10:35.980]   You have many options of things that you can choose to do.
[00:10:35.980 --> 00:10:35.980]   You have many options of things that you can choose to do.
[00:10:35.980 --> 00:10:35.980]   You have many options of things that you can choose to do.
[00:10:35.980 --> 00:10:35.980]   You have many options of things that you can choose to do.
[00:10:35.980 --> 00:10:35.980]   You have many options of things that you can choose to do.
[00:10:35.980 --> 00:10:35.980]   You have many options of things that you can choose to do.
[00:10:35.980 --> 00:10:35.980]   You have many options of things that you can choose to do.
[00:10:35.980 --> 00:11:06.000]  ,
[00:11:06.000 --> 00:11:06.000]   You have many options of things that you can choose to do.
[00:11:06.000 --> 00:11:06.000]   You have many options of things that you can choose to do.
[00:11:06.000 --> 00:11:06.000]   You have many options of things that you can choose to do.
[00:11:06.000 --> 00:11:06.000]   You have many options of things that you can choose to do.
[00:11:06.000 --> 00:11:06.000]   You have many options of things that you can choose to do.
[00:11:06.000 --> 00:11:06.000]   You have many options of things that you can choose to do.
[00:11:06.000 --> 00:11:06.000]   You have many options of things that you can choose to do.
[00:11:06.020 --> 00:11:36.020]   I don't think I want to belabor the point of this show any more than that.
[00:11:36.020 --> 00:11:36.020]   I don't think I want to belabor the point of this show any more than that.
[00:11:36.020 --> 00:11:36.020]   I don't think I want to belabor the point of this show any more than that.
[00:11:36.020 --> 00:11:36.020]   I don't think I want to belabor the point of this show any more than that.
[00:11:36.020 --> 00:11:36.020]   I don't think I want to belabor the point of this show any more than that.
[00:11:36.020 --> 00:11:36.020]   I don't think I want to belabor the point of this show any more than that.
[00:11:36.020 --> 00:11:36.020]   I don't think I want to belabor the point of this show any more than that.
[00:11:36.020 --> 00:11:36.020]   I don't think I want to belabor the point of this show any more than that.
[00:11:36.020 --> 00:12:06.040]  ,
[00:12:06.040 --> 00:12:06.040]   You can feel confident when you book your premium L.A. tickets with SweetHop.
[00:12:06.040 --> 00:12:06.040]   Visit sui.com/sweethop
[00:12:06.040 --> 00:12:06.040]   and you can feel confident when you book your premium L.A. tickets with SweetHop.
[00:12:06.040 --> 00:12:06.040]   Visit sui.com/sweethop.com/sweethop.
[00:12:06.040 --> 00:12:06.040]   Visit sui.com/sweethop.com/sweethop.com/sweethop.
[00:12:06.040 --> 00:12:06.040]   You can feel confident when you book your premium L.A. tickets with SweetHop.
[00:12:06.040 --> 00:12:06.040]   and you can feel confident when you book your premium L.A. tickets with SweetHop.
[00:12:06.080 --> 00:12:34.980]  't

