
[00:00:00.000 --> 00:00:14.720]   I think that worked.
[00:03:58.600 --> 00:04:03.320]   We'll be hosting him soon again, dates are to be declared.
[00:04:03.320 --> 00:04:06.720]   And Murr from Hugging Face will be joining us as well.
[00:04:06.720 --> 00:04:11.720]   And dates are yet to be finalized.
[00:04:11.720 --> 00:04:13.880]   But we'll be hosting her really soon.
[00:04:13.880 --> 00:04:15.840]   And it won't be on a Saturday.
[00:04:15.840 --> 00:04:20.720]   So I'll keep everyone posted of when we will be hosting her.
[00:04:20.720 --> 00:04:26.220]   This will be a workshop of Hugging Face and Weights and Biases.
[00:04:26.220 --> 00:04:30.520]   So we'll be integrate both of the frameworks, you'll get to learn about NLP and as well
[00:04:30.520 --> 00:04:34.880]   as how can you use Weights and Biases along with Hugging Face.
[00:04:34.880 --> 00:04:37.700]   That is the planned agenda for the talk with Murr.
[00:04:37.700 --> 00:04:43.320]   And for Akash, he'll be speaking potentially about the Keras API.
[00:04:43.320 --> 00:04:49.960]   He writes really well documented code and he writes a extremely Pythonic code that I
[00:04:49.960 --> 00:04:56.680]   don't know anyone, I don't know many people in the field who are at that caliber, especially
[00:04:56.680 --> 00:04:58.000]   in the Keras world.
[00:04:58.000 --> 00:05:02.200]   So we'll get to learn about the Keras API and more around that.
[00:05:02.200 --> 00:05:05.360]   So just wanted to mention these sessions.
[00:05:05.360 --> 00:05:06.740]   Again, these won't be on the Saturdays.
[00:05:06.740 --> 00:05:11.000]   If you've signed up for the group, whenever these are supposed to happen, you'll get an
[00:05:11.000 --> 00:05:14.280]   email just as a reminder if you want to join live.
[00:05:14.280 --> 00:05:16.600]   Or you can always watch the recordings.
[00:05:16.600 --> 00:05:19.480]   These are like all of our sessions live stream to YouTube.
[00:05:19.480 --> 00:05:22.040]   So you can always go back, watch the recording, leave a comment.
[00:05:22.040 --> 00:05:27.880]   We'll try to answer anyone, any questions that you might have.
[00:05:27.880 --> 00:05:32.320]   Here's the recap from the previous session.
[00:05:32.320 --> 00:05:38.320]   So we looked at attention, we looked at convex implementation, and we took a look around
[00:05:38.320 --> 00:05:41.280]   advanced computer vision.
[00:05:41.280 --> 00:05:48.840]   So that included image segmentation, object detection, object classification as well.
[00:05:48.840 --> 00:05:53.960]   All of those things were looked at.
[00:05:53.960 --> 00:05:57.840]   The homework from the previous session, again, as a reminder, was to implement a paper in
[00:05:57.840 --> 00:06:05.320]   Keras, just take an implementation translated to Keras literally, and play with Gradcam,
[00:06:05.320 --> 00:06:07.880]   train a time series RNN or LSTM.
[00:06:07.880 --> 00:06:09.800]   So those are the things we had looked at.
[00:06:09.800 --> 00:06:16.720]   Now we're at the point of mid half, I would say, or at least we've read through the first
[00:06:16.720 --> 00:06:19.920]   quarter of chapter 11.
[00:06:19.920 --> 00:06:23.600]   And for today, we have a short agenda, which is to cover chapter 11 and 12.
[00:06:23.600 --> 00:06:26.360]   I also wanted to cover 13 and 14.
[00:06:26.360 --> 00:06:29.000]   That's what was announced for today.
[00:06:29.000 --> 00:06:34.480]   But after reading through the book, I've learned that there's not much more value that I can
[00:06:34.480 --> 00:06:35.480]   add.
[00:06:35.480 --> 00:06:36.480]   So we'll be skipping through that.
[00:06:36.480 --> 00:06:42.280]   So here's one theoretical concept that I need to introduce to you through this slide.
[00:06:42.280 --> 00:06:49.200]   And then I'll be switching over to Microsoft OneNote with my trusty annotation method to
[00:06:49.200 --> 00:06:52.760]   explain a few more.
[00:06:52.760 --> 00:06:56.200]   One thing we'll be learning in chapter 12 is GANs.
[00:06:56.200 --> 00:07:03.480]   So just as a refresher to anyone who's new to the field, GANs are used to do a lot of
[00:07:03.480 --> 00:07:04.480]   interesting things.
[00:07:04.480 --> 00:07:06.120]   First of all, let me say that.
[00:07:06.120 --> 00:07:11.720]   Let me hop over to this website, which is thispersondoesnotexist.com.
[00:07:11.720 --> 00:07:16.160]   And like the URL says it, this person really does not exist.
[00:07:16.160 --> 00:07:21.200]   So these images are being generated by GANs.
[00:07:21.200 --> 00:07:24.240]   Every time you refresh this website, you see a new person.
[00:07:24.240 --> 00:07:27.000]   And there's an independent discussion of ethics.
[00:07:27.000 --> 00:07:28.000]   And should you do that?
[00:07:28.000 --> 00:07:30.560]   Should you not do that?
[00:07:30.560 --> 00:07:32.600]   That is a really open question.
[00:07:32.600 --> 00:07:34.640]   And we won't be covering that, of course.
[00:07:34.640 --> 00:07:39.440]   That's a very serious discussion that everyone in the field needs to take.
[00:07:39.440 --> 00:07:40.840]   This is one of the applications.
[00:07:40.840 --> 00:07:47.640]   And another one that has recently surfaced, it's called VQGAN+clip.
[00:07:47.640 --> 00:07:49.640]   So this is really cool.
[00:07:49.640 --> 00:07:55.680]   You can put in words that you want to, or a prompt based on which you want to generate
[00:07:55.680 --> 00:07:57.120]   an image.
[00:07:57.120 --> 00:08:01.520]   And this model by itself can generate those images.
[00:08:01.520 --> 00:08:06.440]   And it's, I don't want to do any injustice by trying to describe it.
[00:08:06.440 --> 00:08:10.360]   But let me see if I can quickly find an example.
[00:08:10.360 --> 00:08:19.080]   So this, I think this might be good for that.
[00:08:19.080 --> 00:08:20.840]   I don't think so.
[00:08:20.840 --> 00:08:28.200]   Let's try the second link.
[00:08:28.200 --> 00:08:36.540]   I was trying to find a link where we can find any interesting generated image just to get
[00:08:36.540 --> 00:08:37.540]   my point across.
[00:08:37.540 --> 00:08:38.840]   Let's try this blog.
[00:08:38.840 --> 00:08:43.040]   So yep, this looks like an output from a VQGAN.
[00:08:43.040 --> 00:08:49.080]   So the author, I believe Angus would have put in geometric glass city from future at
[00:08:49.080 --> 00:08:52.960]   dusk, just with this input.
[00:08:52.960 --> 00:08:58.840]   And throwing that into a collab, there's an open collab available if you just Google VQGAN+clip.
[00:08:58.840 --> 00:09:00.520]   You can generate an image like so.
[00:09:00.520 --> 00:09:07.360]   I don't know what fascinates, what could potentially fascinate anyone more.
[00:09:07.360 --> 00:09:11.240]   Just apart from just showing this to them.
[00:09:11.240 --> 00:09:21.520]   So all of this, I would say broadly comes under GANs or generative deep learning's umbrella.
[00:09:21.520 --> 00:09:29.920]   I'm just quickly catching up on the question, then I'll come back to that.
[00:09:29.920 --> 00:09:31.440]   There's a question, where is the group?
[00:09:31.440 --> 00:09:35.700]   So if you go to our Twitter, we regularly mention this out.
[00:09:35.700 --> 00:09:37.820]   You can sign up through that link.
[00:09:37.820 --> 00:09:40.380]   Is this deep learning?
[00:09:40.380 --> 00:09:41.460]   Which book is this?
[00:09:41.460 --> 00:09:46.500]   This is the deep learning with Python group to answer your question.
[00:09:46.500 --> 00:09:50.580]   It's this one by Manning publication.
[00:09:50.580 --> 00:09:53.140]   It's by Francois Chollet and it covers Keras.
[00:09:53.140 --> 00:09:58.380]   We're almost at the end of the group, but you're still welcome to join us and ask any
[00:09:58.380 --> 00:10:02.460]   questions.
[00:10:02.460 --> 00:10:04.300]   You could not find any other videos.
[00:10:04.300 --> 00:10:12.620]   I'll show that real quickly as well.
[00:10:12.620 --> 00:10:19.940]   I usually get to questions towards the break or whenever we try to take a break, but these
[00:10:19.940 --> 00:10:25.420]   seem to be these questions require addressing right now.
[00:10:25.420 --> 00:10:26.420]   So I'll do that.
[00:10:26.420 --> 00:10:34.620]   If you go to this playlist, you should be able to see all of the videos in the playlist.
[00:10:34.620 --> 00:10:36.580]   So let me put that link in the YouTube chart.
[00:10:36.580 --> 00:10:39.300]   And again, you can find it on the Weights and Biases YouTube channel.
[00:10:39.300 --> 00:10:40.620]   There you go.
[00:10:40.620 --> 00:10:43.740]   There's the link in the YouTube chart.
[00:10:43.740 --> 00:10:47.080]   Again, you can find these on our YouTube page as well.
[00:10:47.080 --> 00:10:48.660]   So what is a GAN?
[00:10:48.660 --> 00:10:56.680]   I just showcase to at least to me fascinating applications of it.
[00:10:56.680 --> 00:11:04.760]   Inside of a GAN, you have these two independent models that are fighting against each other.
[00:11:04.760 --> 00:11:12.360]   So there's a generator and its mission is to generate an image that is as good looking
[00:11:12.360 --> 00:11:14.320]   as it can be.
[00:11:14.320 --> 00:11:23.960]   And its task is to fool this detective or discriminator which wants to tell if it's
[00:11:23.960 --> 00:11:26.360]   real or fake.
[00:11:26.360 --> 00:11:31.260]   So generator generates a fake image that should fool the discriminator into thinking this
[00:11:31.260 --> 00:11:33.600]   is a real image.
[00:11:33.600 --> 00:11:37.160]   And then both of these models improve upon each other.
[00:11:37.160 --> 00:11:43.760]   They keep improving based on each other's outputs to continuously give us better and
[00:11:43.760 --> 00:11:44.760]   better looking images.
[00:11:44.760 --> 00:11:50.280]   That's the foundational theory behind GANs.
[00:11:50.280 --> 00:11:55.880]   And let me also switch sharing and share my OneNote screen.
[00:11:55.880 --> 00:12:03.000]   I'm always a bit anxious when I'm doing this because it takes me a second to find the right
[00:12:03.000 --> 00:12:04.000]   screen.
[00:12:04.000 --> 00:12:05.400]   I always have too many things open.
[00:12:05.400 --> 00:12:08.240]   Let's see if I can pick the right one.
[00:12:08.240 --> 00:12:09.240]   I think I did.
[00:12:09.240 --> 00:12:10.240]   Awesome.
[00:12:10.240 --> 00:12:12.880]   So you can see me reading a paper.
[00:12:12.880 --> 00:12:14.600]   We have a paper reading group happening tomorrow.
[00:12:14.600 --> 00:12:17.600]   So I'm just prepping for that.
[00:12:17.600 --> 00:12:25.280]   The next concept I want to quickly highlight is variable autoencoders.
[00:12:25.280 --> 00:12:32.400]   So these work on one concept, one key concept, which is having a latent space.
[00:12:32.400 --> 00:12:40.480]   So inside of a latent space, you would have many images of a face, let's say.
[00:12:40.480 --> 00:12:44.160]   And these would have some level of a smile.
[00:12:44.160 --> 00:12:50.560]   So let's say inside of a latent vector, you're trying to find different smiles or trying
[00:12:50.560 --> 00:12:58.260]   to adjust the level of smiles.
[00:12:58.260 --> 00:13:03.920]   So whenever you see those animations going on, where you can see a face morphing into
[00:13:03.920 --> 00:13:11.240]   different things or the face changing its appearance with getting more and more emphasis,
[00:13:11.240 --> 00:13:15.000]   that's being looked up inside of a latent space.
[00:13:15.000 --> 00:13:21.080]   And variable autoencoders have worked strongly based on that concept.
[00:13:21.080 --> 00:13:26.400]   I'm trying to find the right page to make sure I can cover that.
[00:13:26.400 --> 00:13:38.480]   So you have a, broadly speaking, you have an input image that goes into an encoder,
[00:13:38.480 --> 00:13:50.880]   from which you pick out a compressed representation that goes through a decoder and you get an
[00:13:50.880 --> 00:13:52.280]   output.
[00:13:52.280 --> 00:14:03.400]   This is the broad, higher level theoretical, I want to say, overview of how these work.
[00:14:03.400 --> 00:14:09.920]   What's really happening is inside of a VAE, again, I'm directly taking this from the book.
[00:14:09.920 --> 00:14:12.520]   So I'm looking at chapter 12.
[00:14:12.520 --> 00:14:23.480]   You have an input image that goes through an encoder, which randomly samples a point
[00:14:23.480 --> 00:14:25.600]   over a latent space.
[00:14:25.600 --> 00:14:29.340]   So remember this space that I had defined above.
[00:14:29.340 --> 00:14:36.760]   So let's say you want to pull a randomly sampled image from here.
[00:14:36.760 --> 00:14:48.360]   You sample a random point that will go through the decoder and give you an output.
[00:14:48.360 --> 00:14:55.420]   So this by definition also becomes a compressed representation of sorts of the image.
[00:14:55.420 --> 00:15:04.920]   This at a very meta level or a broad overview level is how variable autoencoders work.
[00:15:04.920 --> 00:15:12.240]   So so far I've covered two concepts, which are GANs and variable autoencoders.
[00:15:12.240 --> 00:15:14.680]   Those are the theoretical concepts I wanted to cover.
[00:15:14.680 --> 00:15:18.040]   We were also looking at attention last week.
[00:15:18.040 --> 00:15:25.880]   So I'll come back to attention and we'll try to quickly cover that as well right now.
[00:15:25.880 --> 00:15:28.960]   Here's what we were looking at last week.
[00:15:28.960 --> 00:15:34.680]   So when I mentioned, can I have your attention, please?
[00:15:34.680 --> 00:15:36.240]   Maybe you're not looking at your screen almost.
[00:15:36.240 --> 00:15:40.880]   I never I find it really difficult to look at the screen while watching YouTube videos.
[00:15:40.880 --> 00:15:46.640]   I always pull out my phone and start watching TikToks.
[00:15:46.640 --> 00:15:51.380]   But when I said that phrase, I did get your attention.
[00:15:51.380 --> 00:15:57.960]   So the question then becomes how can we take this concept and bring it over to neural network?
[00:15:57.960 --> 00:16:02.960]   That is the question that attention module broadly answers.
[00:16:02.960 --> 00:16:10.800]   So let's say you have a set of words.
[00:16:10.800 --> 00:16:18.800]   And let's say you were generating a sentence with chai.
[00:16:18.800 --> 00:16:25.280]   So when you're doing that, the challenge with a lot of the older sequence to sequence model
[00:16:25.280 --> 00:16:32.480]   becomes how do you give this context awareness?
[00:16:32.480 --> 00:16:42.080]   Which means how do you associate chai with me or Kaggle or data science?
[00:16:42.080 --> 00:16:43.080]   Right?
[00:16:43.080 --> 00:16:46.720]   Chai could also just be a beverage.
[00:16:46.720 --> 00:16:49.440]   So it could just be a drink right?
[00:16:49.440 --> 00:16:53.880]   Now you get to see my exceptional drawing skills at this point.
[00:16:53.880 --> 00:17:01.880]   But how do you give this context awareness to the model, broadly speaking?
[00:17:01.880 --> 00:17:07.000]   So there are three ways of how this is addressed.
[00:17:07.000 --> 00:17:19.200]   You have three things that the model is looking at which is query, key and value.
[00:17:19.200 --> 00:17:24.740]   So the model broadly speaking, this is again just to explain things there's more nuances
[00:17:24.740 --> 00:17:25.800]   to it.
[00:17:25.800 --> 00:17:35.920]   The model would query a database about chai and from there it will pull out key and value
[00:17:35.920 --> 00:17:37.560]   pairs.
[00:17:37.560 --> 00:17:47.200]   So let's say you have an x and y axis where this is chai and this is beverage.
[00:17:47.200 --> 00:17:55.520]   So these are absolutely perpendicular which means they have a zero component over z axis.
[00:17:55.520 --> 00:17:59.360]   So this is chai and this is beverage.
[00:17:59.360 --> 00:18:08.020]   Since these are totally perpendicular, they would have a zero overlap in the y axis.
[00:18:08.020 --> 00:18:15.200]   But in the case of, I don't know, Saiyam, he would probably lie here.
[00:18:15.200 --> 00:18:20.380]   So when you do a dot product, you get some z component.
[00:18:20.380 --> 00:18:28.120]   So these key value pairs actually have an overlap where one of these is chai and one
[00:18:28.120 --> 00:18:31.080]   of these is Saiyam.
[00:18:31.080 --> 00:18:38.280]   Whenever you represent any words, we've looked at this while we were working on word embeddings.
[00:18:38.280 --> 00:18:44.020]   But whenever you represent information in neural networks, these are stored in high
[00:18:44.020 --> 00:18:47.380]   dimensional spaces.
[00:18:47.380 --> 00:18:49.020]   So this is a 3D representation.
[00:18:49.020 --> 00:18:54.420]   I learned this through Yannick Kilcher's incredible video called, basically called
[00:18:54.420 --> 00:18:57.500]   what the paper is called, "Attention is all you need, paper explained", something like
[00:18:57.500 --> 00:18:59.380]   that.
[00:18:59.380 --> 00:19:01.580]   He showcased this concept.
[00:19:01.580 --> 00:19:06.380]   So through dot producting key and value, you get this component through which you can understand
[00:19:06.380 --> 00:19:09.500]   how much importance to give different things.
[00:19:09.500 --> 00:19:14.900]   So using this concept, we have achieved something incredible, which is we are now able to give
[00:19:14.900 --> 00:19:19.140]   context awareness to our model about chai.
[00:19:19.140 --> 00:19:25.520]   So based on how these are represented, we can tell the model, no, this is not a beverage.
[00:19:25.520 --> 00:19:31.660]   This is associated with these three words.
[00:19:31.660 --> 00:19:39.220]   And we are able to pay attention to different words accordingly.
[00:19:39.220 --> 00:19:42.660]   So that is how the attention module at a very broad level works.
[00:19:42.660 --> 00:19:47.500]   I'm again, I'll remind everyone to please keep the questions coming while I switch my
[00:19:47.500 --> 00:19:48.500]   screens.
[00:19:48.500 --> 00:19:52.460]   So let me find the correct screen again.
[00:19:52.460 --> 00:19:56.860]   And at this point, we are also good to look at sequence to sequence model.
[00:19:56.860 --> 00:20:02.900]   So I'll hop over to my blog because I wrote a blog summary of this.
[00:20:02.900 --> 00:20:16.540]   Let me search for sequence to sequence, which doesn't bring anything, sadly speaking.
[00:20:16.540 --> 00:20:22.780]   So now I'll have to scroll because I've managed to break the search feature on my blog post.
[00:20:22.780 --> 00:20:26.940]   Absolutely incredible time for it not to not work, but the audience is usually forgiving
[00:20:26.940 --> 00:20:27.940]   to me.
[00:20:27.940 --> 00:20:32.620]   So this is a summary of the original sequence to sequence learning with neural networks
[00:20:32.620 --> 00:20:37.300]   paper.
[00:20:37.300 --> 00:20:44.980]   I had done this series of summaries on my blog where I would cover one paper, I think,
[00:20:44.980 --> 00:20:47.320]   once every week, twice every week, I forget.
[00:20:47.320 --> 00:20:49.500]   So I'll drop the link again in the YouTube chat.
[00:20:49.500 --> 00:20:51.420]   But again, you don't have to go through this.
[00:20:51.420 --> 00:20:54.260]   I'll quickly summarize whatever is important from here.
[00:20:54.260 --> 00:20:58.620]   This is covering the original sequence to sequence learning with neural network paper
[00:20:58.620 --> 00:21:01.740]   by Ilya Satsukevour.
[00:21:01.740 --> 00:21:06.740]   I think they're currently at OpenAI, if I'm not too wrong.
[00:21:06.740 --> 00:21:13.340]   So this was the first paper, or first pioneer paper to show that neural networks can be
[00:21:13.340 --> 00:21:20.580]   used to do end to end translation on sentences.
[00:21:20.580 --> 00:21:25.280]   If you remember, and if you joined us last week, this is basically what Jay Alamur's
[00:21:25.280 --> 00:21:27.980]   blog post showcased to us as well.
[00:21:27.980 --> 00:21:32.380]   So how do we perform neural machine translation using a sequence to sequence model?
[00:21:32.380 --> 00:21:34.680]   Now we're peeling the onion another layer.
[00:21:34.680 --> 00:21:39.300]   And we're looking at sequence to sequence models, what the hell are even these things?
[00:21:39.300 --> 00:21:42.940]   I always miss up the tab.
[00:21:42.940 --> 00:21:47.220]   So let's come back to that.
[00:21:47.220 --> 00:21:50.780]   And again, even in the blog, as I mentioned, the paper is from 2014.
[00:21:50.780 --> 00:21:56.860]   So there's, there's no interesting, not too much interesting key details to highlight.
[00:21:56.860 --> 00:22:01.260]   This was one of the pioneers and there was no tensorflow or PyTorch at that time.
[00:22:01.260 --> 00:22:07.100]   So a lot of the things mentioned there were, how do you fit on a 6 GB GPU?
[00:22:07.100 --> 00:22:09.300]   Using this magic, you can work on that.
[00:22:09.300 --> 00:22:14.420]   And that was really incredible to see because right now even Colab has, I hope GPUs have
[00:22:14.420 --> 00:22:19.220]   a larger capacity than that.
[00:22:19.220 --> 00:22:25.380]   So there are two LSTM networks inside of this.
[00:22:25.380 --> 00:22:26.880]   Last week we had looked at LSTM.
[00:22:26.880 --> 00:22:30.180]   So I hope everyone understands what those are.
[00:22:30.180 --> 00:22:33.340]   The first one acts as an encoder.
[00:22:33.340 --> 00:22:38.660]   It takes your inputs and maps them to a dimension vector.
[00:22:38.660 --> 00:22:46.980]   And then you have another set of LSTM networks, which from the vector map it to an output.
[00:22:46.980 --> 00:22:51.880]   So how that becomes an encoder and the other one becomes a decoder.
[00:22:51.880 --> 00:22:58.540]   The mission of the LSTM is to predict the conditional probability of a target sequence.
[00:22:58.540 --> 00:23:01.100]   Let's break this down.
[00:23:01.100 --> 00:23:07.620]   So we were just looking at probability of Siam being associated with Chai.
[00:23:07.620 --> 00:23:11.660]   Here the probability should be really high.
[00:23:11.660 --> 00:23:19.460]   But the problem is if you have trained on a very broad set of rules, it will also be
[00:23:19.460 --> 00:23:23.260]   high for Chai and beverage.
[00:23:23.260 --> 00:23:28.180]   So how do you distinguish between these and how do you make the model pay attention to
[00:23:28.180 --> 00:23:29.180]   that?
[00:23:29.180 --> 00:23:30.180]   That's what attention solves.
[00:23:30.180 --> 00:23:37.300]   With LSTMs, that context awareness isn't very wide spanning and isn't always so domain specific
[00:23:37.300 --> 00:23:39.660]   also sometimes.
[00:23:39.660 --> 00:23:45.020]   That is somewhat addressed in the other approach.
[00:23:45.020 --> 00:23:48.140]   This paper has a very deep neural network of four layers.
[00:23:48.140 --> 00:23:49.660]   That's how they call it in the paper.
[00:23:49.660 --> 00:23:53.340]   I actually smiled when I read that.
[00:23:53.340 --> 00:24:00.140]   One of the tricks to make making it work again, you don't even realize this most of the times.
[00:24:00.140 --> 00:24:06.300]   But whenever you're sending an input, you would want to reverse the sequence of inputs
[00:24:06.300 --> 00:24:14.100]   so that the distance between the first output and input is smallest.
[00:24:14.100 --> 00:24:21.940]   Because if I'm sending a sentence, the first word needs to get translated first.
[00:24:21.940 --> 00:24:28.780]   And the easiest way to reduce the distance between the first input and first output is
[00:24:28.780 --> 00:24:32.200]   to reverse the input sentence.
[00:24:32.200 --> 00:24:35.100]   So these become really close now.
[00:24:35.100 --> 00:24:42.060]   If you completely reverse the input sentence, the last word comes first and first word comes
[00:24:42.060 --> 00:24:49.060]   last, which means it's closer to the output.
[00:24:49.060 --> 00:24:54.540]   So these are the tricks of making sequence to sequence model work.
[00:24:54.540 --> 00:25:01.860]   Again, that is covered inside of this chapter.
[00:25:01.860 --> 00:25:07.020]   And you can use an LSTM model here inside of sequence to sequence models.
[00:25:07.020 --> 00:25:08.700]   We had always also looked at it.
[00:25:08.700 --> 00:25:11.060]   You can use an RNN model.
[00:25:11.060 --> 00:25:30.780]   And you can also use a tension module here or a transformer module.
[00:25:30.780 --> 00:25:37.060]   I wanted to also mention quickly, you should also check out JR Lemmer's illustrated transformer
[00:25:37.060 --> 00:25:41.020]   blog for better understanding.
[00:25:41.020 --> 00:25:45.460]   Here's another paper that I would suggest everyone to check out.
[00:25:45.460 --> 00:25:51.240]   It's called visualizing attention in transformer based language representation modules.
[00:25:51.240 --> 00:25:55.980]   It's by J. C. Wigg.
[00:25:55.980 --> 00:26:00.180]   But the thing we want to understand here is how the heck does this thing called attention
[00:26:00.180 --> 00:26:05.460]   work so that we can then move on to implementing it in Keras.
[00:26:05.460 --> 00:26:07.780]   So this gives us the best view.
[00:26:07.780 --> 00:26:10.900]   This is a neuron view of GPT-2.
[00:26:10.900 --> 00:26:13.700]   So slightly older module.
[00:26:13.700 --> 00:26:23.620]   For one of the later layers, positive values are blue and negative values are orange.
[00:26:23.620 --> 00:26:33.740]   So the more orange or stronger shade of orange means there's a positive weight being given.
[00:26:33.740 --> 00:26:39.500]   And the more blue it is, sorry, the more blue it is, the more positive weight and the more
[00:26:39.500 --> 00:26:44.740]   orange it is, the more negative weight it's being given to that.
[00:26:44.740 --> 00:26:51.820]   So now we have this super nice representation where we can query and multiply that with
[00:26:51.820 --> 00:26:52.820]   keys.
[00:26:52.820 --> 00:26:58.740]   So for all of these values, we get a positive or negative output.
[00:26:58.740 --> 00:27:04.780]   Basically by multiplying these two sets of matrices, having these words, we can then
[00:27:04.780 --> 00:27:09.540]   see which would be the likeliest output here.
[00:27:09.540 --> 00:27:11.740]   But now there's like another question.
[00:27:11.740 --> 00:27:14.420]   How do you pick from these values?
[00:27:14.420 --> 00:27:15.420]   Right?
[00:27:15.420 --> 00:27:20.220]   So I'll also request you all to answer this in the chart.
[00:27:20.220 --> 00:27:26.760]   Once you have these outputs, how would you pick which one to predict from here?
[00:27:26.760 --> 00:27:34.700]   So our mission is to generate a sentence and you have the set of query values and key values.
[00:27:34.700 --> 00:27:37.740]   Let's say you get all of these as somewhat positive.
