
[00:00:00.000 --> 00:00:04.000]   (music)
[00:07:24.000 --> 00:07:28.000]   pragmatic pressure not to form churches
[00:07:28.000 --> 00:07:32.000]   like that. Not to write books
[00:07:32.000 --> 00:07:36.000]   like that. Not to have music like that. But to keep everything
[00:07:36.000 --> 00:07:40.000]   low and chatty and comfortable and silly and trivial and
[00:07:40.000 --> 00:07:44.000]   small.
[00:07:44.000 --> 00:07:48.000]   This is so sad. Sex is
[00:07:48.000 --> 00:07:52.000]   one of the hundred issues that will overwhelm you and
[00:07:52.000 --> 00:07:56.000]   debase you if your life is
[00:07:56.000 --> 00:08:00.000]   out of touch with the magnificence of God.
[00:08:00.000 --> 00:08:04.000]   Well, I will do my best
[00:08:04.000 --> 00:08:08.000]   to stagger you because I feel
[00:08:08.000 --> 00:08:12.000]   bound by Scripture to help you get to verse 33
[00:08:12.000 --> 00:08:16.000]   emotionally. Oh, the depth
[00:08:16.000 --> 00:08:20.000]   of the riches and the wisdom and the knowledge of God. I don't get it.
[00:08:20.000 --> 00:08:24.000]   It is unscrutable. His ways are unsearchable. His thoughts
[00:08:24.000 --> 00:08:28.000]   are beyond me. I bow. I put my hand over my mouth. I humble myself.
[00:08:28.000 --> 00:08:32.000]   I love this God. I will not just
[00:08:32.000 --> 00:08:36.000]   sit in front of my monitor and look.
[00:08:36.000 --> 00:08:40.000]   I will stand up. I will walk outside in the cold
[00:08:40.000 --> 00:08:44.000]   and look up and say, "The heavens are declaring the glory of God.
[00:08:44.000 --> 00:08:48.000]   Make me pure."
[00:08:48.000 --> 00:08:52.000]   Come on. Come on, America.
[00:08:52.000 --> 00:08:56.000]   Wake up to reality.
[00:08:56.000 --> 00:09:00.000]   Don't live in the ocean of triviality, swimming
[00:09:00.000 --> 00:09:04.000]   around fearing air.
[00:09:04.000 --> 00:09:08.000]   Be a man. Be a woman.
[00:09:08.000 --> 00:09:12.000]   Not a dog in hate.
[00:09:12.000 --> 00:09:16.000]   2004 sermon titled, "God's Design for History, the Glory of His Mercy."
[00:09:16.000 --> 00:09:20.000]   The clip was sent to us by a long-time listener to the podcast
[00:09:20.000 --> 00:09:24.000]   named Andy, who calls it, "One of my all-time favorite clips of Pastor John."
[00:09:24.000 --> 00:09:28.000]   I can see why. As always, you can find
[00:09:28.000 --> 00:09:32.000]   that full sermon at DesiringGod.org. Again, it's titled,
[00:09:32.000 --> 00:09:36.000]   "God's Design for History, the Glory of His Mercy."
[00:09:36.000 --> 00:09:40.000]   Thank you, Andy, for today's sermon clip. All of our clips are now crowdsourced. You tell us
[00:09:40.000 --> 00:09:44.000]   what bits of Piper's sermons changed your life. We share that clip with the APJ audience.
[00:09:44.000 --> 00:09:48.000]   If you have one, email me. Give me your name, hometown, the sermon title, and the timestamp
[00:09:48.000 --> 00:09:52.000]   of when the clip happens in the audio and how it impacted you.
[00:09:52.000 --> 00:09:56.000]   Put the word "clip" in the subject line of an email and send it to me at
[00:09:56.000 --> 00:10:00.000]   AskPastorJohn@DesiringGod.org. That's an email address.
[00:10:00.000 --> 00:10:04.000]   AskPastorJohn@DesiringGod.org. I'm your host, Tony Ranke.
[00:10:04.000 --> 00:10:08.000]   We'll see you back here on Friday. We're going to talk about how
[00:10:08.000 --> 00:10:12.000]   does chronic pain glorify God?
[00:10:12.000 --> 00:10:16.000]   It's a heavy email. Next up on Friday. We'll see you then.
[00:10:16.000 --> 00:10:20.000]   [no audio]
[00:10:20.000 --> 00:10:24.000]   [no audio]
[00:10:24.000 --> 00:10:29.640]   (SILENCE)

