
[00:00:00.000 --> 00:00:06.700]   Hello everyone, welcome back.
[00:04:43.080 --> 00:04:45.640]   And that itself is worrisome.
[00:04:45.640 --> 00:04:51.800]   I should say that I'm not sure for this particular adversary of the current state of things.
[00:04:51.800 --> 00:04:55.840]   I would love to have evidence for you about more modern transformer systems and how they
[00:04:55.840 --> 00:04:57.460]   behave with these adversaries.
[00:04:57.460 --> 00:05:01.120]   But as far as I know, no one has done that systematic testing.
[00:05:01.120 --> 00:05:05.280]   I think it would be valuable to have those data points.
[00:05:05.280 --> 00:05:06.660]   Let's move to a second example.
[00:05:06.660 --> 00:05:08.700]   This is natural language inference.
[00:05:08.700 --> 00:05:13.480]   What I've got on the slide here is a picture of performance on SNLI, one of the major benchmarks
[00:05:13.480 --> 00:05:15.860]   for this task, over time.
[00:05:15.860 --> 00:05:18.400]   So along the x-axis, I have time.
[00:05:18.400 --> 00:05:24.280]   Along the y-axis, I have the F1 score, and the red line marks our estimate of human performance.
[00:05:24.280 --> 00:05:28.120]   And the blue line is tracking different systems that are from the published literature.
[00:05:28.120 --> 00:05:33.520]   I think it's important to emphasize that these are essentially all published papers.
[00:05:33.520 --> 00:05:40.280]   What you see is a very rapid progress over time, eventually surpassing our evidence of
[00:05:40.280 --> 00:05:41.760]   human performance.
[00:05:41.760 --> 00:05:46.360]   And the line is kind of almost monotonically increasing, which strongly suggests to me
[00:05:46.360 --> 00:05:51.760]   that published papers are learning implicit lessons from earlier papers about how to do
[00:05:51.760 --> 00:05:55.200]   well on the SNLI task.
[00:05:55.200 --> 00:05:58.960]   But the point is, we do now have systems that are superhuman.
[00:05:58.960 --> 00:06:00.100]   Those are published papers.
[00:06:00.100 --> 00:06:02.920]   The multi-NLI leaderboard is a little bit different.
[00:06:02.920 --> 00:06:04.920]   This is hosted on Kaggle.
[00:06:04.920 --> 00:06:06.560]   Anyone can enter.
[00:06:06.560 --> 00:06:10.640]   And as a result, you get many more systems competing on this leaderboard, and you get
[00:06:10.640 --> 00:06:15.600]   much less of that kind of community-wide hill climbing on the task, because people who aren't
[00:06:15.600 --> 00:06:19.200]   communicating with each other are simply entering systems to see how they did.
[00:06:19.200 --> 00:06:22.500]   So the blue line oscillates all over the place.
[00:06:22.500 --> 00:06:28.360]   But it's still a story of progress toward that estimate of human performance.
[00:06:28.360 --> 00:06:32.380]   And if you took these numbers at face value, you might conclude that we are developing
[00:06:32.380 --> 00:06:37.440]   systems that are really, really good at doing inference in natural language, at doing what
[00:06:37.440 --> 00:06:40.620]   is in effect common sense reasoning.
[00:06:40.620 --> 00:06:44.420]   But again, the intuition behind adversaries is that we might worry about that.
[00:06:44.420 --> 00:06:50.500]   And one of the first and most influential entries into the adversarial space for NLI
[00:06:50.500 --> 00:06:52.460]   was Glockner et al., 2018.
[00:06:52.460 --> 00:06:55.020]   This is the breaking NLI paper.
[00:06:55.020 --> 00:07:01.000]   And what they did is conceptually very simple and draws really nicely on intuitions around
[00:07:01.000 --> 00:07:03.980]   systematicity and compositionality.
[00:07:03.980 --> 00:07:06.220]   I've got two examples on the table here.
[00:07:06.220 --> 00:07:08.780]   The first one is going to play on synonyms.
[00:07:08.780 --> 00:07:14.060]   So the original premise from SNLI is a little girl kneeling in the dirt crying.
[00:07:14.060 --> 00:07:17.560]   And that entails a little girl is very sad.
[00:07:17.560 --> 00:07:22.740]   What they did for their adversary is simply change sad to unhappy.
[00:07:22.740 --> 00:07:24.060]   Those are synonyms, essentially.
[00:07:24.060 --> 00:07:29.220]   And so we have an expectation that systems will continue to say entails in this case.
[00:07:29.220 --> 00:07:33.940]   But what Glockner et al. observe is that even the best systems are apt to start switching
[00:07:33.940 --> 00:07:36.160]   to calling this a contradiction case.
[00:07:36.160 --> 00:07:40.980]   And they do that because they're kind of overfit to assuming that the presence of negation
[00:07:40.980 --> 00:07:44.300]   is an indicator for contradiction.
[00:07:44.300 --> 00:07:49.840]   And again, I love this test because it's clearly drawing on intuition around systematicity.
[00:07:49.840 --> 00:07:55.300]   We assume that substitution of synonyms should preserve the SNLI label.
[00:07:55.300 --> 00:07:59.380]   And systems are just not obeying that kind of underlying principle.
[00:07:59.380 --> 00:08:01.960]   The second example is sort of similar.
[00:08:01.960 --> 00:08:06.820]   The premise is an elderly couple are sitting outside a restaurant enjoying wine.
[00:08:06.820 --> 00:08:09.920]   The original SNLI case is a couple drinking wine.
[00:08:09.920 --> 00:08:12.000]   That had the entailment label.
[00:08:12.000 --> 00:08:15.480]   For breaking an LI, they switched wine to champagne.
[00:08:15.480 --> 00:08:19.560]   Now we have two terms that are kind of siblings in the conceptual hierarchy.
[00:08:19.560 --> 00:08:23.400]   They're disjoint from each other, but they're very semantically related.
[00:08:23.400 --> 00:08:27.560]   The human intuition is that these examples are now neutral because wine and champagne
[00:08:27.560 --> 00:08:29.360]   are disjoint.
[00:08:29.360 --> 00:08:34.020]   But systems have only a very fuzzy understanding of that kind of lexical nuance.
[00:08:34.020 --> 00:08:38.840]   And so they are very prone to saying entails for this case as well.
[00:08:38.840 --> 00:08:43.840]   Again, an intuition about the systematicity of the lexicon and how it will play into our
[00:08:43.840 --> 00:08:46.820]   judgments about natural language inference.
[00:08:46.820 --> 00:08:51.280]   And we're just not seeing human-like behavior from these systems.
[00:08:51.280 --> 00:08:55.000]   Here is the results table from the Glockner et al. paper.
[00:08:55.000 --> 00:09:00.320]   We should exempt the final lines, I think, on the grounds that those systems consumed
[00:09:00.320 --> 00:09:04.660]   WordNet, which was the resource that was used to create the adversary.
[00:09:04.660 --> 00:09:08.180]   And look at the systems that are in the top three rows.
[00:09:08.180 --> 00:09:11.960]   What you find is that they do really well on SNLI's test set.
[00:09:11.960 --> 00:09:13.760]   They're in the mid '80s.
[00:09:13.760 --> 00:09:16.760]   And they do abysmally on the new test set.
[00:09:16.760 --> 00:09:20.680]   There are huge deltas in performance there.
[00:09:20.680 --> 00:09:23.040]   So that's interesting and worrisome.
[00:09:23.040 --> 00:09:24.280]   But we should pause here.
[00:09:24.280 --> 00:09:29.360]   Let's look more carefully at this table, in particular at the model column.
[00:09:29.360 --> 00:09:33.960]   All of these models are from the pre-transformer era.
[00:09:33.960 --> 00:09:37.920]   In fact, they're just on the cusp of the transformer era.
[00:09:37.920 --> 00:09:43.980]   And these are all instances of recurrent neural networks with tons of attention mechanisms
[00:09:43.980 --> 00:09:49.920]   added onto them, almost reaching the insight about how we should go forward with attention
[00:09:49.920 --> 00:09:52.560]   being the primary mechanism.
[00:09:52.560 --> 00:09:59.120]   And you see their historical period reflected also in the SNLI test results, which are lower
[00:09:59.120 --> 00:10:05.720]   than systems we routinely train today built on the transformer architecture.
[00:10:05.720 --> 00:10:10.400]   So we should ask ourselves, what will happen if we test some of these newer transformer
[00:10:10.400 --> 00:10:11.400]   models?
[00:10:11.400 --> 00:10:12.400]   So I decided to do that.
[00:10:12.400 --> 00:10:18.640]   I simply downloaded a Roberta model that was fine-tuned on the multi-NLI data set, so different
[00:10:18.640 --> 00:10:22.960]   from SNLI, which was used by Glockner et al to create their data set.
[00:10:22.960 --> 00:10:24.240]   This is the code for doing it.
[00:10:24.240 --> 00:10:25.240]   It's a little bit fiddly.
[00:10:25.240 --> 00:10:27.560]   So I decided to reproduce it.
[00:10:27.560 --> 00:10:33.960]   And the headline here is that this model off the shelf essentially solves the Glockner
[00:10:33.960 --> 00:10:35.800]   et al adversary.
[00:10:35.800 --> 00:10:40.040]   We should look just at contradiction and entailment because neutral is too small a category in
[00:10:40.040 --> 00:10:41.740]   this little challenge set.
[00:10:41.740 --> 00:10:48.680]   And you see impressively high F1 scores, dramatically different from the results that Glockner et
[00:10:48.680 --> 00:10:51.080]   al reported from the pre-transformer era.
[00:10:51.080 --> 00:10:55.000]   And remember, this is even under domain shift because this Roberta model was trained on
[00:10:55.000 --> 00:10:59.660]   multi-NLI and we're testing it on examples derived from SNLI.
[00:10:59.660 --> 00:11:05.120]   So that looks like a real success story, an adversary that has essentially been overcome.
[00:11:05.120 --> 00:11:12.440]   And I think even the most cynical among us would regard that as an instance of progress.
[00:11:12.440 --> 00:11:14.020]   Let's look at a second NLI case.
[00:11:14.020 --> 00:11:15.720]   This one will play out somewhat differently.
[00:11:15.720 --> 00:11:18.360]   But again, there are some important lessons learned.
[00:11:18.360 --> 00:11:21.000]   This is from Nike et al 2018.
[00:11:21.000 --> 00:11:23.860]   It's a larger adversarial test benchmark.
[00:11:23.860 --> 00:11:28.600]   It's got a bunch of different categories, antonyms, numerical, word overlap negation,
[00:11:28.600 --> 00:11:30.640]   and I think a few others.
[00:11:30.640 --> 00:11:34.700]   For some of them, we're doing something very similar to Glockner, which is drawing on underlying
[00:11:34.700 --> 00:11:40.360]   intuitions about compositionality or systematicity for doing things like love, hate, or this
[00:11:40.360 --> 00:11:43.120]   reasoning around numerical terms.
[00:11:43.120 --> 00:11:47.040]   But the data set also includes some things that look more directly adversarial to me
[00:11:47.040 --> 00:11:52.720]   as when we append some sort of redundant or confusing elements onto the end of the examples
[00:11:52.720 --> 00:11:55.160]   to see whether that affects system performance.
[00:11:55.160 --> 00:12:00.120]   That's more of a kind of squad adversary intuition, I would say.
[00:12:00.120 --> 00:12:01.120]   So that's the benchmark.
[00:12:01.120 --> 00:12:02.120]   It's pretty substantial.
[00:12:02.120 --> 00:12:04.780]   There are lots of examples in it.
[00:12:04.780 --> 00:12:06.760]   And the results tell a similar story.
[00:12:06.760 --> 00:12:13.440]   We have systems that are pretty good at multi-NLI, but really, really bad at essentially all
[00:12:13.440 --> 00:12:18.960]   of the splits from this adversarial benchmark.
[00:12:18.960 --> 00:12:20.820]   But we've seen this data set before.
[00:12:20.820 --> 00:12:25.040]   We talked about it when we talked about inoculation by fine-tuning.
[00:12:25.040 --> 00:12:30.580]   From the inoculation by fine-tuning paper, five of the six panels in this central figure
[00:12:30.580 --> 00:12:34.060]   are actually from this Niket All benchmark.
[00:12:34.060 --> 00:12:35.580]   And they tell very different stories.
[00:12:35.580 --> 00:12:41.300]   We saw that word overlap and negation were diagnosed as a data set weakness instance
[00:12:41.300 --> 00:12:46.700]   where models had no problem solving those tasks if given enough relevant evidence.
[00:12:46.700 --> 00:12:50.780]   Solving errors and length mismatch by contrast were model weaknesses.
[00:12:50.780 --> 00:12:52.900]   Models really couldn't get traction on those.
[00:12:52.900 --> 00:12:55.460]   So those might still worry us.
[00:12:55.460 --> 00:12:59.620]   And numerical reasoning is an example of a data set artifact where there's something
[00:12:59.620 --> 00:13:06.040]   about the examples that really disrupts the performance of otherwise pretty solid models.
[00:13:06.040 --> 00:13:11.820]   So three very different lessons coming from the same challenge or adversarial benchmark.
[00:13:11.820 --> 00:13:16.180]   And I think that's also a sign of progress because we now have the tooling to help us
[00:13:16.180 --> 00:13:21.700]   go one layer deeper in terms of understanding why models might be failing on different of
[00:13:21.700 --> 00:13:26.100]   these challenge test sets, which is after all the kind of analytic insight that we set
[00:13:26.100 --> 00:13:29.980]   out to achieve with this new mode of behavioral testing.
[00:13:29.980 --> 00:13:30.980]   Thank you.
[00:13:30.980 --> 00:13:31.980]   Thank you.
[00:13:31.980 --> 00:13:31.980]   Thank you.
[00:13:31.980 --> 00:13:41.980]   [BLANK_AUDIO]

