
[00:00:00.000 --> 00:00:00.840]   I'm Josh Tobin.
[00:02:57.680 --> 00:03:00.160]   like the amount of time between
[00:03:00.160 --> 00:03:02.400]   when these academic successes started coming out
[00:03:02.400 --> 00:03:04.880]   and when deep learning started getting used in products,
[00:03:04.880 --> 00:03:06.560]   which is like really, really short.
[00:03:06.560 --> 00:03:08.540]   And so here, you know, here are some products
[00:03:08.540 --> 00:03:11.400]   that are like actually really using deep learning right now.
[00:03:11.400 --> 00:03:12.760]   You know, if you use Google Translate,
[00:03:12.760 --> 00:03:15.840]   then there's, you know, basically a big LSTM,
[00:03:15.840 --> 00:03:18.880]   or maybe they have like a more state of the art model now,
[00:03:18.880 --> 00:03:21.800]   but a big deep learning model behind the hood.
[00:03:21.800 --> 00:03:23.640]   You know, Tesla yesterday demonstrated,
[00:03:23.640 --> 00:03:25.240]   yesterday, two days ago maybe,
[00:03:25.240 --> 00:03:27.080]   demonstrated some like pretty incredible
[00:03:27.080 --> 00:03:28.920]   self-driving capabilities.
[00:03:28.920 --> 00:03:31.240]   Their team there relies pretty heavily on deep learning
[00:03:31.240 --> 00:03:32.600]   for their perception stack.
[00:03:32.600 --> 00:03:35.920]   Speech to text is, you know,
[00:03:35.920 --> 00:03:37.640]   mostly deep learning based now.
[00:03:37.640 --> 00:03:39.160]   Photo tagging.
[00:03:39.160 --> 00:03:41.180]   And then, you know, up on the right,
[00:03:41.180 --> 00:03:44.560]   this is kind of like a press image from DeepMind's
[00:03:44.560 --> 00:03:48.780]   data center optimization program,
[00:03:48.780 --> 00:03:50.520]   where they used deep reinforcement learning
[00:03:50.520 --> 00:03:52.940]   to reduce cooling costs in their data centers
[00:03:52.940 --> 00:03:55.480]   by something like 30%.
[00:03:55.480 --> 00:03:56.840]   And so this is kind of like,
[00:03:56.840 --> 00:03:58.880]   this is really inspirational to me,
[00:03:58.880 --> 00:04:00.960]   because it's like all the stuff that, you know,
[00:04:00.960 --> 00:04:03.240]   people at Berkeley and other places are writing papers about
[00:04:03.240 --> 00:04:07.380]   is really quickly making its way into the real world.
[00:04:07.380 --> 00:04:12.040]   But what's kind of challenging about that is that,
[00:04:12.040 --> 00:04:13.560]   you know, deploying deep learning systems
[00:04:13.560 --> 00:04:16.880]   is really different than deploying typical software systems.
[00:04:17.860 --> 00:04:21.620]   And so, you know, there's a bunch of reasons for that.
[00:04:21.620 --> 00:04:25.140]   I like this cartoon from XKCD.
[00:04:25.140 --> 00:04:27.980]   So it's like, this is kind of a characterization
[00:04:27.980 --> 00:04:29.180]   of a machine learning system, right?
[00:04:29.180 --> 00:04:33.700]   Like, you know, you have this pile of data and, you know,
[00:04:33.700 --> 00:04:35.720]   and then you stir it around and then eventually,
[00:04:35.720 --> 00:04:39.520]   like maybe some magical answer pops out, right?
[00:04:39.520 --> 00:04:41.160]   So the idea here is that like deep learning
[00:04:41.160 --> 00:04:44.060]   is like really a black box, I think, for a lot of people.
[00:04:45.420 --> 00:04:47.040]   But it's worse than that.
[00:04:47.040 --> 00:04:49.360]   Deep learning also creates a ton of technical debt.
[00:04:49.360 --> 00:04:51.360]   And there was a great paper about this,
[00:04:51.360 --> 00:04:53.640]   from 2016 from Google,
[00:04:53.640 --> 00:04:55.220]   the high interest credit card of technical debt.
[00:04:55.220 --> 00:04:58.080]   I would highly recommend reading this at some point,
[00:04:58.080 --> 00:05:00.400]   because they point out a lot of ways in which
[00:05:00.400 --> 00:05:01.760]   building machine learning systems, you know,
[00:05:01.760 --> 00:05:03.280]   while it kind of feels like cheating,
[00:05:03.280 --> 00:05:04.760]   you're getting the algorithm to figure out
[00:05:04.760 --> 00:05:06.160]   the answer for you.
[00:05:06.160 --> 00:05:09.140]   In reality, you're kind of accelerating the rate at which
[00:05:09.140 --> 00:05:11.660]   you're, you know, doing things that are not gonna scale
[00:05:11.660 --> 00:05:13.720]   with your engineering system.
[00:05:14.720 --> 00:05:17.560]   And then lastly, kind of there's this idea that maybe
[00:05:17.560 --> 00:05:20.680]   actually deep learning is not really software engineering
[00:05:20.680 --> 00:05:22.360]   at all, it's actually an entirely different
[00:05:22.360 --> 00:05:23.760]   programming paradigm.
[00:05:23.760 --> 00:05:26.560]   And so this is a slide from Andrej Karpathy,
[00:05:26.560 --> 00:05:28.880]   who has this idea of software 2.0.
[00:05:28.880 --> 00:05:32.560]   And the idea is basically, you know, in software 1.0,
[00:05:32.560 --> 00:05:36.000]   traditional programming, you have some goal
[00:05:36.000 --> 00:05:39.600]   and then a human manually encodes some rules
[00:05:39.600 --> 00:05:42.280]   that help the machine solve the problem.
[00:05:42.280 --> 00:05:44.880]   That help the machine solve that goal.
[00:05:44.880 --> 00:05:48.980]   And, you know, in AI programming,
[00:05:48.980 --> 00:05:51.720]   you have some abstract goal, like you have some,
[00:05:51.720 --> 00:05:54.480]   something that you want the system to be able to do.
[00:05:54.480 --> 00:05:57.560]   And then the way that you program the system is through data.
[00:05:57.560 --> 00:05:59.640]   And so the programmers in this paradigm are actually people
[00:05:59.640 --> 00:06:02.200]   who are collecting and labeling data sets.
[00:06:02.200 --> 00:06:06.080]   And then there's an optimization program that
[00:06:06.080 --> 00:06:08.720]   selects the best program from within program space
[00:06:08.720 --> 00:06:09.880]   to achieve that outcome.
[00:06:11.200 --> 00:06:14.000]   And so if you ascribe to this viewpoint, then, you know,
[00:06:14.000 --> 00:06:16.240]   you might think that deep learning programming
[00:06:16.240 --> 00:06:19.080]   is something entirely different than software engineering.
[00:06:19.080 --> 00:06:23.740]   And so I think, you know,
[00:06:23.740 --> 00:06:28.580]   one of the side effects of all of this kind of
[00:06:28.580 --> 00:06:30.880]   getting adoption in industry so fast is that
[00:06:30.880 --> 00:06:34.240]   a lot of the knowledge of how to do this well, right?
[00:06:34.240 --> 00:06:36.280]   So it's different than software engineering.
[00:06:36.280 --> 00:06:40.480]   It's harder in some ways and easier in some ways,
[00:06:40.480 --> 00:06:42.440]   but the way, the knowledge of how to do that
[00:06:42.440 --> 00:06:45.360]   is kind of locked away in big companies, right?
[00:06:45.360 --> 00:06:49.940]   I think, you know, Google employs a huge percentage
[00:06:49.940 --> 00:06:53.520]   of the people who are great machine learning engineers.
[00:06:53.520 --> 00:06:55.840]   And in general, I think people that I've talked to
[00:06:55.840 --> 00:06:58.160]   at startups talk about how difficult it is to find people
[00:06:58.160 --> 00:07:00.660]   who have experience deploying systems like this
[00:07:00.660 --> 00:07:01.560]   in the real world.
[00:07:01.560 --> 00:07:05.340]   And then, you know, in addition to kind of talent
[00:07:05.340 --> 00:07:07.520]   being concentrated, a lot of times these rules,
[00:07:07.520 --> 00:07:09.920]   like just really aren't written down and you have to,
[00:07:09.920 --> 00:07:11.960]   you know, one thing that I found really surprising
[00:07:11.960 --> 00:07:13.800]   when I started working in the field was, you know,
[00:07:13.800 --> 00:07:16.200]   I thought that if you just read all the papers,
[00:07:16.200 --> 00:07:18.620]   then you could learn everything there is to know
[00:07:18.620 --> 00:07:22.380]   about machine learning, but that was very naive thing
[00:07:22.380 --> 00:07:23.560]   to assume.
[00:07:23.560 --> 00:07:25.300]   It turns out that like really one of the best ways
[00:07:25.300 --> 00:07:27.360]   to learn this stuff is to go and talk to the people
[00:07:27.360 --> 00:07:28.320]   that already know how to do it,
[00:07:28.320 --> 00:07:29.840]   because a lot of this information
[00:07:29.840 --> 00:07:31.480]   is really trapped in their heads.
[00:07:31.480 --> 00:07:36.040]   And even once you get a handle on things, you know,
[00:07:36.040 --> 00:07:39.140]   the field is still evolving so rapidly that it's, you know,
[00:07:39.140 --> 00:07:41.600]   it's often difficult to hold onto that.
[00:07:41.600 --> 00:07:43.640]   And, you know, I think another thing that I've heard
[00:07:43.640 --> 00:07:46.560]   from a lot of organizations is that a lot of these practices
[00:07:46.560 --> 00:07:48.880]   around like how do we actually get these systems to work
[00:07:48.880 --> 00:07:50.580]   is kind of figured out on the fly.
[00:07:50.580 --> 00:07:53.800]   And so, you know, the reason that we put together
[00:07:53.800 --> 00:07:57.480]   this course in part is to try to teach you, you know,
[00:07:57.480 --> 00:08:01.940]   some of what we as practitioners know about this.
[00:08:01.940 --> 00:08:03.520]   So to, you know, solve the problem of things
[00:08:03.520 --> 00:08:05.040]   not being written down.
[00:08:05.040 --> 00:08:07.160]   But I think the, you know, the goal is actually bigger
[00:08:07.160 --> 00:08:12.160]   than that and, you know, hope you all have had a few minutes
[00:08:12.160 --> 00:08:13.020]   to chat with each other.
[00:08:13.020 --> 00:08:14.740]   And I think one of the great things about this class
[00:08:14.740 --> 00:08:17.900]   is we have pretty amazing set of participants.
[00:08:17.900 --> 00:08:22.900]   And so I hope that throughout the course of the class,
[00:08:22.900 --> 00:08:25.560]   you get a chance to get to know each other
[00:08:25.560 --> 00:08:27.900]   and share knowledge and kind of just talk about
[00:08:27.900 --> 00:08:28.980]   the challenges that you're facing
[00:08:28.980 --> 00:08:30.280]   as you're learning the field
[00:08:30.280 --> 00:08:32.800]   or as you're actually going and deploying stuff.
[00:08:32.800 --> 00:08:33.980]   So just have a community of people
[00:08:33.980 --> 00:08:36.120]   that are all thinking about these problems.
[00:08:36.740 --> 00:08:41.180]   And then the last goal is really to learn by doing.
[00:08:41.180 --> 00:08:46.760]   So, you know, again, most of machine learning is,
[00:08:46.760 --> 00:08:48.820]   machine learning is an empirical science
[00:08:48.820 --> 00:08:51.520]   and a lot of what you need to know about it,
[00:08:51.520 --> 00:08:53.080]   you can only kind of really figure it out
[00:08:53.080 --> 00:08:55.680]   by going and trying this stuff on your own.
[00:08:55.680 --> 00:08:56.980]   And so the way that we set up this class
[00:08:56.980 --> 00:08:59.940]   is it's centered around a project.
[00:08:59.940 --> 00:09:01.120]   And, you know, we're gonna have,
[00:09:01.120 --> 00:09:02.640]   I'll talk in more detail about this later,
[00:09:02.640 --> 00:09:06.300]   but we're gonna have kind of four or five people per team,
[00:09:06.300 --> 00:09:08.180]   or actually three to four people per team,
[00:09:08.180 --> 00:09:10.660]   and you're gonna pick sort of apply deep learning project
[00:09:10.660 --> 00:09:15.300]   and work on it together throughout the course of the class.
[00:09:15.300 --> 00:09:16.940]   In addition to that,
[00:09:16.940 --> 00:09:19.580]   we're trying out a flip classroom style.
[00:09:19.580 --> 00:09:22.260]   So we have a bunch of lectures on this subject
[00:09:22.260 --> 00:09:26.220]   that we recorded for full stack deep learning bootcamp.
[00:09:26.220 --> 00:09:27.980]   And so one thing that we're gonna do in this class
[00:09:27.980 --> 00:09:30.100]   is we're gonna have you all watch the, you know,
[00:09:30.100 --> 00:09:32.560]   the lecture videos before you come to class.
[00:09:32.560 --> 00:09:33.680]   And for the most part,
[00:09:33.680 --> 00:09:35.240]   and this class will be a bit of an exception,
[00:09:35.240 --> 00:09:36.200]   but for the most part,
[00:09:36.200 --> 00:09:38.320]   the goal is to like kind of minimize the amount of time
[00:09:38.320 --> 00:09:41.320]   that I'm talking at you and to, you know,
[00:09:41.320 --> 00:09:43.680]   spend more time listening to guest lecturers,
[00:09:43.680 --> 00:09:45.520]   share their experience and kind of working
[00:09:45.520 --> 00:09:46.660]   on exercises together.
[00:09:46.660 --> 00:09:54.960]   I'll say a few more words about the project.
[00:09:54.960 --> 00:09:57.200]   You know, we have seven or so weeks.
[00:09:57.200 --> 00:10:00.920]   And so, you know, it's a pretty tight timeline
[00:10:00.920 --> 00:10:03.720]   to do a really good machine learning project,
[00:10:03.720 --> 00:10:04.840]   but it's very, very doable.
[00:10:04.840 --> 00:10:06.800]   And so the goal is like really to get a demo
[00:10:06.800 --> 00:10:08.800]   of what your system looks like end to end.
[00:10:08.800 --> 00:10:11.880]   You know, we're not expecting to like fully solve,
[00:10:11.880 --> 00:10:13.500]   solve this problem.
[00:10:13.500 --> 00:10:14.920]   And my other goal is like,
[00:10:14.920 --> 00:10:16.400]   I really want everyone to work on something
[00:10:16.400 --> 00:10:17.760]   that they're excited about.
[00:10:17.760 --> 00:10:21.400]   And so I've compiled a list of project ideas
[00:10:21.400 --> 00:10:24.100]   that I'll share with you towards the end of class.
[00:10:24.100 --> 00:10:26.560]   But my hope is that a lot of people have their own ideas
[00:10:26.560 --> 00:10:28.640]   about what would be a fun project to work on.
[00:10:28.640 --> 00:10:30.440]   And, you know, I would really like you
[00:10:30.440 --> 00:10:32.440]   to work on those ideas and maybe even convince
[00:10:32.440 --> 00:10:34.880]   some of your classmates to work on them with you.
[00:10:34.880 --> 00:10:38.940]   And then the last thing to say here, just so, you know,
[00:10:38.940 --> 00:10:40.440]   so it doesn't catch you by surprise at the end,
[00:10:40.440 --> 00:10:44.400]   but we're gonna ask everyone to kind of put together
[00:10:44.400 --> 00:10:47.520]   a presentation about their project at the end of the class.
[00:10:47.520 --> 00:10:50.160]   And this is really just meant as a way of, you know,
[00:10:50.160 --> 00:10:53.240]   providing you like kind of a goal at the end of the class,
[00:10:53.240 --> 00:10:54.440]   something that you can build up to.
[00:10:54.440 --> 00:10:57.160]   And I think that people are gonna do pretty amazing things.
[00:10:57.160 --> 00:10:59.640]   And so I hope it's also inspirational
[00:10:59.640 --> 00:11:02.360]   to see what your classmates were able to produce.
[00:11:02.360 --> 00:11:08.800]   Schedule for the class.
[00:11:08.800 --> 00:11:11.840]   This is also up on the website, but you know,
[00:11:11.840 --> 00:11:15.040]   this week we're gonna talk about selecting
[00:11:15.040 --> 00:11:16.400]   and scoping a project.
[00:11:16.400 --> 00:11:19.560]   Next week, we're gonna talk about, you know,
[00:11:19.560 --> 00:11:20.960]   once you have a machine learning project,
[00:11:20.960 --> 00:11:21.800]   you need some data.
[00:11:21.800 --> 00:11:23.640]   And so we're gonna talk about kind of best practices
[00:11:23.640 --> 00:11:26.520]   for designing a dataset and managing that dataset.
[00:11:26.520 --> 00:11:29.400]   Then we're gonna talk about troubleshooting.
[00:11:29.400 --> 00:11:31.920]   So, you know, when you're training your model,
[00:11:31.920 --> 00:11:32.960]   things go wrong.
[00:11:32.960 --> 00:11:36.200]   How do you figure out what the next step is
[00:11:36.200 --> 00:11:37.640]   and what to do about that?
[00:11:37.640 --> 00:11:40.600]   And then we're gonna talk about infrastructure
[00:11:40.600 --> 00:11:41.900]   and tests and tooling.
[00:11:41.900 --> 00:11:44.840]   So, you know, you're working on a larger team
[00:11:44.840 --> 00:11:46.360]   on this machine learning project.
[00:11:46.360 --> 00:11:49.560]   What is, you know, what is best in class infrastructure
[00:11:49.560 --> 00:11:50.400]   look like there?
[00:11:51.560 --> 00:11:53.760]   Then we'll kind of have an interlude to hear
[00:11:53.760 --> 00:11:56.720]   from Peter Abbeel about research areas.
[00:11:56.720 --> 00:11:58.840]   Since machine learning is moving so fast,
[00:11:58.840 --> 00:12:00.880]   it's more important in this field than in most fields
[00:12:00.880 --> 00:12:02.160]   to kind of try to stay up to date
[00:12:02.160 --> 00:12:04.360]   on what the latest research is.
[00:12:04.360 --> 00:12:06.640]   Because, you know, oftentimes people will, you know,
[00:12:06.640 --> 00:12:08.680]   very quickly beat what you think is the state of the art
[00:12:08.680 --> 00:12:09.500]   on some problem.
[00:12:09.500 --> 00:12:12.080]   And so this will be a good way to get a sense of that.
[00:12:12.080 --> 00:12:15.560]   Kind of the last class week,
[00:12:15.560 --> 00:12:18.220]   we'll be talking about continuous integration and testing.
[00:12:18.220 --> 00:12:20.480]   So, you know, for those of you that are software engineers,
[00:12:20.480 --> 00:12:21.640]   you've probably thought a lot about this,
[00:12:21.640 --> 00:12:24.520]   but testing and continuous integration,
[00:12:24.520 --> 00:12:26.360]   there are a lot of things that are slightly different
[00:12:26.360 --> 00:12:28.000]   in a machine learning context.
[00:12:28.000 --> 00:12:29.640]   And so we'll cover that.
[00:12:29.640 --> 00:12:33.040]   Final week will just be the project presentations.
[00:12:33.040 --> 00:12:39.920]   There's a couple of things that we're gonna ask you to do
[00:12:39.920 --> 00:12:42.060]   just to be prepared for each week.
[00:12:42.060 --> 00:12:43.180]   The first, as I already mentioned,
[00:12:43.180 --> 00:12:46.800]   is to watch a lecture video on your own before.
[00:12:46.800 --> 00:12:48.040]   And, you know, as you're watching,
[00:12:48.040 --> 00:12:50.400]   I would encourage you just to kind of write down
[00:12:50.400 --> 00:12:52.880]   all the questions you have.
[00:12:52.880 --> 00:12:55.400]   I will make time in each class to, you know,
[00:12:55.400 --> 00:12:57.000]   do a quick summary of the lecture
[00:12:57.000 --> 00:13:00.200]   and make sure that there's a chance to answer any questions.
[00:13:00.200 --> 00:13:04.280]   Then also, I think it's important to start making progress
[00:13:04.280 --> 00:13:05.640]   on your project early.
[00:13:05.640 --> 00:13:08.080]   And so we're gonna have a mechanism for this,
[00:13:08.080 --> 00:13:11.120]   which is we're gonna have a project update Slack channel,
[00:13:11.120 --> 00:13:13.040]   which I think is already created.
[00:13:13.040 --> 00:13:17.480]   And we just want you, you know, to be posting updates
[00:13:17.480 --> 00:13:18.840]   kind of like maybe around Tuesday
[00:13:19.320 --> 00:13:21.120]   by the end of day each week,
[00:13:21.120 --> 00:13:22.400]   just to hold yourself accountable
[00:13:22.400 --> 00:13:24.720]   to like making progress on the project every week.
[00:13:24.720 --> 00:13:26.080]   And then I'll be going through those
[00:13:26.080 --> 00:13:28.920]   and, you know, just giving feedback and helping you
[00:13:28.920 --> 00:13:30.420]   if you are stuck on anything.
[00:13:30.420 --> 00:13:36.120]   Cool, that's a bit about the class.
[00:13:36.120 --> 00:13:37.520]   Are there any questions about, you know,
[00:13:37.520 --> 00:13:39.960]   what we're gonna cover or what this is all about?
[00:13:39.960 --> 00:13:47.240]   Yeah.
[00:13:47.240 --> 00:13:48.280]   - Can you make slides available?
[00:13:48.280 --> 00:13:49.560]   - I can make slides available, yeah.
[00:13:49.560 --> 00:13:50.760]   I'll post them on Slack.
[00:13:50.760 --> 00:13:54.160]   I'll try to, I'll post it after class today
[00:13:54.160 --> 00:13:56.320]   and I'll try to do it before class going forward.
[00:13:56.320 --> 00:14:01.120]   - I'm assuming this is probably a guess,
[00:14:01.120 --> 00:14:02.960]   but like it's expectation that they're bringing,
[00:14:02.960 --> 00:14:05.920]   organizing a lot of other class meetings with their teams
[00:14:05.920 --> 00:14:07.760]   to spend time together working on projects.
[00:14:07.760 --> 00:14:09.680]   - Yeah, it's kind of up to you how you wanna do that.
[00:14:09.680 --> 00:14:13.380]   I think, you know, if you all live nearby each other
[00:14:13.380 --> 00:14:14.560]   and you wanna just meet up after work,
[00:14:14.560 --> 00:14:16.560]   then I think that's a great way to do it.
[00:14:17.400 --> 00:14:20.200]   It's very possible to do it asynchronously as well.
[00:14:20.200 --> 00:14:27.280]   Great.
[00:14:27.280 --> 00:14:30.560]   So what are we gonna cover for the rest of today?
[00:14:30.560 --> 00:14:35.020]   The first thing I'll do is just kind of, you know,
[00:14:35.020 --> 00:14:37.920]   actually the project selection lecture.
[00:14:37.920 --> 00:14:43.120]   Okay, almost everyone, almost everyone is,
[00:14:43.120 --> 00:14:44.720]   is at least not admitting that they didn't have a chance
[00:14:44.720 --> 00:14:45.560]   to watch it.
[00:14:46.600 --> 00:14:49.120]   Regardless, I'm gonna quickly review it
[00:14:49.120 --> 00:14:50.500]   just to kind of catch the highlights
[00:14:50.500 --> 00:14:53.160]   and refresh your memory and, you know,
[00:14:53.160 --> 00:14:54.800]   give you a chance to ask any questions
[00:14:54.800 --> 00:14:56.200]   you had about that material.
[00:14:56.200 --> 00:15:00.060]   Then I wanna actually build on a couple of points
[00:15:00.060 --> 00:15:02.640]   that we covered in that lecture.
[00:15:02.640 --> 00:15:05.480]   One is, you know, we kind of breezed over this question
[00:15:05.480 --> 00:15:08.440]   in that lecture of how to think about, you know,
[00:15:08.440 --> 00:15:09.960]   what machine learning problems are easy
[00:15:09.960 --> 00:15:12.160]   and what machine learning problems are hard
[00:15:12.160 --> 00:15:13.440]   beyond data availability.
[00:15:13.440 --> 00:15:18.000]   Like, right, like what problems are hard to train models on?
[00:15:18.000 --> 00:15:19.320]   So I put together some thoughts on that
[00:15:19.320 --> 00:15:20.960]   and we'll talk through that.
[00:15:20.960 --> 00:15:23.240]   And then also in that lecture,
[00:15:23.240 --> 00:15:26.520]   we skipped over how to think about setting up a code base.
[00:15:26.520 --> 00:15:29.960]   And so, you know, with the remaining time, we'll talk,
[00:15:29.960 --> 00:15:32.960]   I'll walk you through kind of what a relatively mature
[00:15:32.960 --> 00:15:34.880]   machine learning code base looks like.
[00:15:34.880 --> 00:15:37.240]   So you can have some inspiration for how you wanna set things
[00:15:37.240 --> 00:15:39.120]   up for your project.
[00:15:39.120 --> 00:15:41.080]   And then we'll talk about homework for next week.
[00:15:41.080 --> 00:15:44.200]   And then we have our guest speaker, Neil, at the end.
[00:15:44.200 --> 00:15:50.580]   All right, so to review,
[00:15:50.580 --> 00:15:54.080]   we covered a few things in this project
[00:15:54.080 --> 00:15:56.200]   and the first one, or in this lecture rather.
[00:15:56.200 --> 00:15:58.560]   And the first was how to think about the lifecycle
[00:15:58.560 --> 00:16:00.060]   of a machine learning project.
[00:16:00.060 --> 00:16:04.160]   And so to review, you know, there's kind of a bunch
[00:16:04.160 --> 00:16:06.680]   of different steps that happen in any machine learning
[00:16:06.680 --> 00:16:08.400]   project that you're working on.
[00:16:08.400 --> 00:16:10.680]   The first is, you know, planning and project setup.
[00:16:10.680 --> 00:16:14.720]   So, you know, what are we gonna work on at an abstract level
[00:16:14.720 --> 00:16:17.180]   and then more specifically, like in a machine learning
[00:16:17.180 --> 00:16:20.120]   context, what metric are we actually gonna be optimizing?
[00:16:20.120 --> 00:16:23.880]   Once you kind of have a plan for your project,
[00:16:23.880 --> 00:16:27.080]   then you go and collect a dataset and you label it.
[00:16:27.080 --> 00:16:30.400]   And once you have a labeled dataset,
[00:16:30.400 --> 00:16:32.380]   then you go and train a model and debug it.
[00:16:32.380 --> 00:16:34.000]   And once you're happy with the performance,
[00:16:34.000 --> 00:16:35.680]   you deploy it and you test it.
[00:16:35.680 --> 00:16:37.640]   And the key point here was that, like,
[00:16:37.640 --> 00:16:40.760]   this is not actually a linear flow from beginning to end.
[00:16:40.760 --> 00:16:43.400]   What actually happens in practice is that people
[00:16:43.400 --> 00:16:45.280]   kind of move through these steps fluidly
[00:16:45.280 --> 00:16:46.780]   and loop back frequently.
[00:16:46.780 --> 00:16:49.760]   So for example, you know, if you're collecting your dataset
[00:16:49.760 --> 00:16:52.280]   and you realize, actually this is kind of impossible
[00:16:52.280 --> 00:16:54.320]   to get labeled data for this problem, right?
[00:16:54.320 --> 00:16:56.180]   Then you might go back to project planning and say,
[00:16:56.180 --> 00:16:57.800]   like, okay, is there a different way of formulating
[00:16:57.800 --> 00:17:00.520]   this problem where it's easier for us to get labeled data?
[00:17:00.520 --> 00:17:03.200]   Similarly, if you're, you know, if you're training
[00:17:03.200 --> 00:17:06.680]   your model and you just can't get the loss low enough,
[00:17:06.680 --> 00:17:08.720]   like it just doesn't really seem to be possible
