
[00:00:00.000 --> 00:00:01.600]   - Cover today.
[00:04:11.540 --> 00:04:13.860]   And so this is a way of managing the dependencies
[00:04:13.860 --> 00:04:16.500]   of your code when you run it in a continuous integration
[00:04:16.500 --> 00:04:17.600]   or deployment setting.
[00:04:19.820 --> 00:04:23.260]   So that's kind of what was covered in testing.
[00:04:23.260 --> 00:04:26.480]   For deployment, a few concepts here.
[00:04:26.480 --> 00:04:27.820]   The first is a REST API.
[00:04:27.820 --> 00:04:32.820]   And so this is just a general API for HTTP systems.
[00:04:32.820 --> 00:04:36.660]   And so one way to think about deploying
[00:04:36.660 --> 00:04:39.060]   machine learning system is just treating them
[00:04:39.060 --> 00:04:42.060]   as kind of a black box that's called by a web server.
[00:04:42.060 --> 00:04:45.420]   You have a bunch of different options
[00:04:45.420 --> 00:04:48.540]   for deploying machine learning code into production.
[00:04:48.540 --> 00:04:51.020]   You can put the code into a virtual machine
[00:04:51.020 --> 00:04:54.120]   like a Docker container, and then you can scale it up
[00:04:54.120 --> 00:04:57.700]   to more users by adding instances to your system.
[00:04:57.700 --> 00:05:01.140]   Or you can do it via orchestration.
[00:05:01.140 --> 00:05:03.300]   And then the last concept that Sergey talked about
[00:05:03.300 --> 00:05:05.100]   that he really likes and I think is really exciting
[00:05:05.100 --> 00:05:06.940]   is serverless functions, where you don't actually
[00:05:06.940 --> 00:05:09.960]   have to manage your own infrastructure at all.
[00:05:09.960 --> 00:05:15.300]   And the takeaways here were, if you're doing inference
[00:05:15.300 --> 00:05:20.300]   on a CPU, then you can get away by scaling up
[00:05:20.300 --> 00:05:23.940]   by launching more and more servers or by going serverless.
[00:05:23.940 --> 00:05:26.700]   And you don't really have to do anything too crazy here.
[00:05:26.700 --> 00:05:30.220]   Sergey's dream, which I think would be really cool,
[00:05:30.220 --> 00:05:33.540]   is just deploying Docker as easily as deploying Lambda.
[00:05:33.540 --> 00:05:37.620]   But the next best thing is either using Lambda
[00:05:37.620 --> 00:05:40.400]   and dealing with the fact that the form
[00:05:40.400 --> 00:05:42.740]   that you have to get your model into is much trickier,
[00:05:42.740 --> 00:05:45.380]   or using Docker, and it just kind of depends
[00:05:45.380 --> 00:05:48.540]   on what you need for your model and what your priorities are,
[00:05:48.540 --> 00:05:50.540]   which side of the trade-off you land on.
[00:05:50.540 --> 00:05:52.940]   If you're doing GPU inference,
[00:05:52.940 --> 00:05:54.460]   then this becomes more tricky,
[00:05:54.460 --> 00:05:57.820]   and there are more specialized tools like TF Serving
[00:05:57.820 --> 00:05:59.120]   that you should look into.
[00:05:59.120 --> 00:06:03.300]   All right, so that's deploying on the web,
[00:06:03.300 --> 00:06:05.780]   and what about deploying into hardware?
[00:06:05.780 --> 00:06:08.220]   So the core challenge here is that your cell phone
[00:06:08.220 --> 00:06:10.240]   does not have the same amount of processing power
[00:06:10.240 --> 00:06:12.140]   that you can get on a server.
[00:06:12.140 --> 00:06:14.940]   And so you often have to use a bunch of tricks,
[00:06:14.940 --> 00:06:16.220]   and Sergey talked about some of them,
[00:06:16.220 --> 00:06:18.460]   to reduce the size of your network
[00:06:18.460 --> 00:06:20.180]   and maybe quantize the weights.
[00:06:20.180 --> 00:06:23.540]   Another challenge is that the frameworks
[00:06:23.540 --> 00:06:25.900]   that people use on mobile are actually less full-featured,
[00:06:25.900 --> 00:06:28.100]   and so you might need to choose your model architecture
[00:06:28.100 --> 00:06:31.040]   specifically to be one that can run on mobile.
[00:06:31.040 --> 00:06:35.740]   There are a few options for doing this in TensorFlow.
[00:06:35.740 --> 00:06:39.500]   There's TensorFlow Lite and TensorFlow Mobile.
[00:06:39.500 --> 00:06:43.340]   And there are also a few that are kind of more specific
[00:06:43.340 --> 00:06:44.460]   to different hardware platforms.
[00:06:44.460 --> 00:06:47.060]   So Apple has a platform, Google has a platform,
[00:06:47.060 --> 00:06:49.220]   and then there's this Fritz option
[00:06:49.220 --> 00:06:52.240]   that claims to be able to work well with both.
[00:06:52.240 --> 00:06:58.460]   Okay, great, that was the lightning five-minute overview
[00:06:58.460 --> 00:07:01.300]   of Sergey's 90-minute lecture.
[00:07:01.300 --> 00:07:04.420]   So I'm curious, were there any questions about the lecture,
[00:07:04.420 --> 00:07:07.920]   concepts that he covered that you would like to talk about?
[00:07:07.920 --> 00:07:11.800]   (audience member speaking faintly)
[00:07:11.800 --> 00:07:12.640]   Yeah.
[00:07:12.640 --> 00:07:16.360]   - Yeah, so Sergey mentioned how he goes all the way
[00:07:16.360 --> 00:07:19.600]   with Docker, where he containerizes each component
[00:07:19.600 --> 00:07:21.160]   in his ML code base.
[00:07:21.160 --> 00:07:23.760]   I was just wondering what benefit does that provide
[00:07:23.760 --> 00:07:25.800]   over just containerizing the whole thing?
[00:07:25.800 --> 00:07:28.440]   - Yeah, I think if you have different components
[00:07:28.440 --> 00:07:31.080]   of a larger system that need to interact with each other,
[00:07:31.080 --> 00:07:33.080]   then it could be helpful to just isolate each of them.
[00:07:33.080 --> 00:07:38.080]   So they have sort of a very small surface area of their API,
[00:07:38.080 --> 00:07:41.000]   and so you kind of know what to expect
[00:07:41.000 --> 00:07:42.360]   from the different components of the system
[00:07:42.360 --> 00:07:44.080]   interacting with each other.
[00:07:44.080 --> 00:07:45.520]   It could make it easier to test,
[00:07:45.520 --> 00:07:48.160]   could make it easier for multiple people on a larger team
[00:07:48.160 --> 00:07:50.120]   to work on different components together
[00:07:50.120 --> 00:07:52.360]   and have kind of a spec
[00:07:52.360 --> 00:07:54.200]   that they need to meet for each other.
[00:07:54.200 --> 00:07:58.880]   Other questions?
[00:07:58.880 --> 00:08:02.840]   Yeah.
[00:08:02.840 --> 00:08:05.000]   - I find that you just showed from training
[00:08:05.000 --> 00:08:08.080]   to interview friends to serving,
[00:08:08.080 --> 00:08:11.280]   which part has been mostly overlooked
[00:08:11.280 --> 00:08:12.600]   and might not take into account
[00:08:12.600 --> 00:08:14.760]   and later on became like a problematic thing
[00:08:14.760 --> 00:08:17.200]   from people that you're talking to?
[00:08:17.200 --> 00:08:22.200]   - Yeah, I think for us at OpenAI, I would say,
[00:08:22.200 --> 00:08:26.040]   and I'm curious what Peter thinks about this as well,
[00:08:26.040 --> 00:08:28.080]   but I feel like training is the one
[00:08:28.080 --> 00:08:29.640]   that was overlooked for a long time.
[00:08:29.640 --> 00:08:31.280]   Like we would often have,
[00:08:31.280 --> 00:08:32.600]   we would really, really push one part
[00:08:32.600 --> 00:08:33.760]   of the code base forward,
[00:08:33.760 --> 00:08:35.280]   and then we would go back to like some model
[00:08:35.280 --> 00:08:37.080]   that we got working months ago
[00:08:37.080 --> 00:08:40.080]   and find out that we could no longer train that model.
[00:08:40.080 --> 00:08:42.000]   So I think that's one thing
[00:08:42.000 --> 00:08:43.720]   that's like really easy to overlook.
[00:08:43.720 --> 00:08:54.440]   Other questions on this?
[00:08:54.440 --> 00:08:55.280]   Yeah.
[00:08:55.280 --> 00:08:56.240]   - Actually, on what you just said,
[00:08:56.240 --> 00:09:00.120]   like when you said you made progress on other part,
[00:09:00.120 --> 00:09:02.120]   you're trying to retrain something,
[00:09:02.120 --> 00:09:05.720]   are you saying you trained another model forward
[00:09:05.720 --> 00:09:09.160]   and then you tried to go back to a different model
[00:09:09.160 --> 00:09:10.280]   in the same code base?
[00:09:10.280 --> 00:09:14.840]   - Yeah, so say you have two or three tasks
[00:09:14.840 --> 00:09:16.240]   that you're working on as a team
[00:09:16.240 --> 00:09:17.560]   and you have like a mono repo
[00:09:17.560 --> 00:09:18.960]   that you're using for all of them.
[00:09:18.960 --> 00:09:20.680]   And you solve the first two of them
[00:09:20.680 --> 00:09:22.360]   and your model works really great.
[00:09:22.360 --> 00:09:26.520]   And you have some weights for those models
[00:09:26.520 --> 00:09:27.640]   that you're happy with.
[00:09:27.640 --> 00:09:29.240]   And then most of the team goes
[00:09:29.240 --> 00:09:31.520]   and works on the third component.
[00:09:31.520 --> 00:09:33.640]   One challenge there is then,
[00:09:33.640 --> 00:09:35.480]   they could push on that third component
[00:09:35.480 --> 00:09:36.600]   for two or three months
[00:09:36.600 --> 00:09:37.920]   and make some breaking changes
[00:09:37.920 --> 00:09:40.960]   to the training part of the pipeline
[00:09:40.960 --> 00:09:44.200]   for the first two components without really realizing it.
[00:09:44.200 --> 00:09:46.960]   And even if you're deploying those,
[00:09:46.960 --> 00:09:48.520]   the first two components into production
[00:09:48.520 --> 00:09:49.360]   or something like that,
[00:09:49.360 --> 00:09:50.200]   you still might not notice
[00:09:50.200 --> 00:09:52.120]   because you might,
[00:09:52.120 --> 00:09:54.680]   the pre-trained model might still be working,
[00:09:54.680 --> 00:09:57.280]   but your ability to actually get the loss down
[00:09:57.280 --> 00:10:00.000]   on that model might have disappeared.
[00:10:00.000 --> 00:10:04.320]   And I think more generally,
[00:10:04.320 --> 00:10:06.280]   outside of the OpenAI context,
[00:10:06.280 --> 00:10:07.960]   something that's less of a problem for us,
[00:10:07.960 --> 00:10:10.320]   but a lot of people complain about
[00:10:10.320 --> 00:10:14.240]   when I talk to them is production monitoring.
[00:10:14.240 --> 00:10:18.120]   Because it's really, really easy
[00:10:18.120 --> 00:10:20.040]   to have data drift
[00:10:20.040 --> 00:10:24.360]   or to have some sort of weird input
[00:10:24.360 --> 00:10:25.440]   go into your pipeline
[00:10:25.440 --> 00:10:27.080]   that you weren't accounting for.
[00:10:27.600 --> 00:10:29.440]   And just break things without even realizing
[00:10:29.440 --> 00:10:31.320]   that they're breaking.
[00:10:31.320 --> 00:10:32.920]   And so I think a lot of teams put a lot of effort
[00:10:32.920 --> 00:10:35.840]   into figuring out how to do that really well.
[00:10:35.840 --> 00:10:36.680]   Yeah.
[00:10:36.680 --> 00:10:37.520]   - Yeah, I was gonna ask,
[00:10:37.520 --> 00:10:39.160]   so when it comes to monitoring,
[00:10:39.160 --> 00:10:43.120]   so let's say I would like to know
[00:10:43.120 --> 00:10:45.160]   if the distribution is skewed
[00:10:45.160 --> 00:10:47.560]   where I'm used to one type of images
[00:10:47.560 --> 00:10:49.960]   and the users that are requesting
[00:10:49.960 --> 00:10:53.400]   are getting another source for the images.
[00:10:53.400 --> 00:10:55.480]   What sort of metrics can I use?
[00:10:56.640 --> 00:10:58.240]   - Yeah, I think Sergey talked about
[00:10:58.240 --> 00:10:59.520]   a couple of them in the lecture.
[00:10:59.520 --> 00:11:00.720]   And this is sort of something
[00:11:00.720 --> 00:11:03.360]   that I have done less of personally.
[00:11:03.360 --> 00:11:04.680]   But I think you would just wanna look at stuff
[00:11:04.680 --> 00:11:07.040]   like the statistics of the inputs and outputs.
[00:11:07.040 --> 00:11:08.880]   - Yeah, you mentioned pixel intensity,
[00:11:08.880 --> 00:11:11.000]   but I wasn't sure what that was.
[00:11:11.000 --> 00:11:13.000]   - Yeah, so just the value of the pixels.
[00:11:13.000 --> 00:11:16.160]   And so, I mean, you could imagine doing trickier things too.
[00:11:16.160 --> 00:11:18.440]   Like you could look at the output distributions
[00:11:18.440 --> 00:11:19.280]   of your model.
[00:11:19.280 --> 00:11:21.480]   And you could,
[00:11:21.480 --> 00:11:23.880]   maybe most of the time your model
[00:11:23.880 --> 00:11:25.440]   produces pretty confident predictions.
[00:11:25.440 --> 00:11:28.000]   And if the confidence of your model starts degrading,
[00:11:28.000 --> 00:11:29.200]   that might be an early warning
[00:11:29.200 --> 00:11:31.160]   that the data distribution is shifting.
[00:11:31.160 --> 00:11:34.320]   Yeah.
[00:11:34.320 --> 00:11:39.880]   But I think like input and output statistics.
[00:11:39.880 --> 00:11:43.600]   So just like over the last N images,
[00:11:43.600 --> 00:11:47.360]   what have been the sort of the average values of things?
[00:11:47.360 --> 00:11:51.920]   And over the last N classifications,
[00:11:51.920 --> 00:11:53.160]   what have been the classes?
[00:11:53.160 --> 00:11:54.320]   What's the distribution of classes
[00:11:54.320 --> 00:11:55.600]   that we've looked at?
[00:11:55.600 --> 00:11:57.320]   That seems to be the most common thing
[00:11:57.320 --> 00:11:59.240]   that people do from talking to people.
[00:11:59.240 --> 00:12:02.800]   Yeah.
[00:12:02.800 --> 00:12:06.880]   - For the context of like NLB distribution,
[00:12:06.880 --> 00:12:09.320]   would it be like vocabulary or?
[00:12:09.320 --> 00:12:13.880]   - Yeah, I mean, I think,
[00:12:13.880 --> 00:12:15.040]   so like if you have,
[00:12:15.040 --> 00:12:20.760]   if you have like a character level model, let's say,
[00:12:20.760 --> 00:12:22.640]   then you could just look at the distribution of characters.
[00:12:22.640 --> 00:12:24.960]   And if that shifts pretty wildly,
[00:12:24.960 --> 00:12:26.520]   then you know that like,
[00:12:26.520 --> 00:12:29.000]   maybe you're getting sort of a weird type of input
[00:12:29.000 --> 00:12:29.840]   into your model.
[00:12:29.840 --> 00:12:31.880]   And you should just make sure that the distribution
[00:12:31.880 --> 00:12:34.280]   isn't vastly different than what you trained on.
[00:12:34.280 --> 00:12:39.280]   Yeah.
[00:12:39.280 --> 00:12:42.560]   - Any tips and tricks on how to shrink down
[00:12:42.560 --> 00:12:44.520]   the package size for the dump?
[00:12:44.520 --> 00:12:49.520]   'Cause it gets pretty big once you get other stuff in there.
[00:12:49.520 --> 00:12:51.640]   Package is too big for the dump.
[00:12:51.640 --> 00:12:56.120]   And then for best practice,
[00:12:56.120 --> 00:12:58.080]   do you have the model weight
[00:12:58.080 --> 00:13:00.240]   sitting somewhere outside of lambda?
[00:13:00.240 --> 00:13:03.160]   And just have the, I guess the processing of lambda
[00:13:03.160 --> 00:13:06.400]   or you have the model weight inside of lambda?
[00:13:06.400 --> 00:13:07.320]   - Yeah, I think,
[00:13:07.320 --> 00:13:09.840]   and someone else who has sort of done more of this
[00:13:09.840 --> 00:13:11.080]   should chime in.
[00:13:11.080 --> 00:13:13.320]   But I think what you do,
[00:13:13.320 --> 00:13:15.560]   I think you definitely wanna have your weights
[00:13:15.560 --> 00:13:16.640]   inside of lambda.
[00:13:16.640 --> 00:13:18.320]   Otherwise you're gonna have to call out to something else
[00:13:18.320 --> 00:13:20.280]   and it's gonna be really slow.
[00:13:20.280 --> 00:13:22.080]   I think like, so there's one bag of tricks,
[00:13:22.080 --> 00:13:23.880]   which is like all these,
[00:13:23.880 --> 00:13:27.040]   model compression, quantization type things.
[00:13:27.040 --> 00:13:29.800]   So that's like how to actually get reduced the size,
[00:13:29.800 --> 00:13:31.800]   like the number of parameters
[00:13:31.800 --> 00:13:34.540]   and the size of the parameter,
[00:13:34.540 --> 00:13:37.100]   the parameter matrices in your model.
[00:13:37.100 --> 00:13:39.520]   And then, aside from that,
[00:13:39.520 --> 00:13:41.400]   it's like just about minimizing the dependencies
[00:13:41.400 --> 00:13:42.560]   that you have, I think.
[00:13:42.560 --> 00:13:45.080]   Any comments on that?
[00:13:45.080 --> 00:13:49.120]   Like any other tips from people who have deployed to lambda?
[00:13:50.120 --> 00:13:52.800]   - So Sergey mentioned at the end
[00:13:52.800 --> 00:13:56.080]   where he removed components features from TensorFlow
[00:13:56.080 --> 00:13:59.280]   that you didn't use like TensorBoard and Comtrip.
[00:13:59.280 --> 00:14:01.000]   So trying to like have a model
[00:14:01.000 --> 00:14:02.240]   that's not using those features
[00:14:02.240 --> 00:14:04.240]   and then getting rid of them.
[00:14:04.240 --> 00:14:05.520]   - Yeah.
[00:14:05.520 --> 00:14:07.440]   Yeah, you can use a more stripped down version
[00:14:07.440 --> 00:14:08.280]   of TensorFlow.
[00:14:08.280 --> 00:14:10.320]   I think that's a really good thing to do as well.
[00:14:10.320 --> 00:14:15.800]   (man speaking off mic)
[00:14:15.800 --> 00:14:16.640]   Yeah.
[00:14:16.640 --> 00:14:18.600]   - I'm monitoring business metrics
[00:14:18.600 --> 00:14:20.080]   as well as user feedback.
[00:14:20.080 --> 00:14:23.320]   (man speaking off mic)
[00:14:23.320 --> 00:14:29.160]   - So what are some examples of those that you might monitor?
[00:14:29.160 --> 00:14:31.440]   - So for example, if you're predicting,
[00:14:31.440 --> 00:14:34.120]   like if you're doing ads, for example,
[00:14:34.120 --> 00:14:35.200]   that click through rates,
[00:14:35.200 --> 00:14:37.680]   or if you're predicting text,
[00:14:37.680 --> 00:14:40.320]   generating text when the user has to accept or not,
[00:14:40.320 --> 00:14:44.400]   user interaction feedback,
[00:14:44.400 --> 00:14:47.320]   are they buying something that you're recommending to them?
[00:14:47.320 --> 00:14:50.600]   (man speaking off mic)
[00:14:50.600 --> 00:14:51.920]   Yeah, I like that a lot.
[00:14:51.920 --> 00:14:55.160]   (man speaking off mic)
[00:14:55.160 --> 00:15:15.800]   So you should look into some of the tools
[00:15:15.800 --> 00:15:19.400]   that Sergey talked about around deploying,
[00:15:19.400 --> 00:15:22.720]   let's see which slide this was.
[00:15:22.720 --> 00:15:31.080]   Yeah, so things like TF serving and Clipper,
[00:15:31.080 --> 00:15:32.640]   if you need to deploy a model that,
[00:15:32.640 --> 00:15:35.000]   where you need to do inference on GPU.
[00:15:35.000 --> 00:15:36.360]   Is that getting your question?
[00:15:36.360 --> 00:15:39.600]   (man speaking off mic)
[00:15:44.320 --> 00:15:45.160]   Like press a button
[00:15:45.160 --> 00:15:47.520]   and have your model automatically get deployed?
[00:15:47.520 --> 00:15:49.880]   Yeah, it's a great question.
[00:15:49.880 --> 00:15:51.440]   It seems like something like that should exist.
[00:15:51.440 --> 00:15:52.280]   I don't know.
[00:15:52.280 --> 00:15:54.520]   Actually, I'm curious, Lucas,
[00:15:54.520 --> 00:15:55.960]   have you seen anything like that?
[00:15:55.960 --> 00:15:59.200]   (man speaking off mic)
[00:15:59.200 --> 00:16:03.120]   That has this claim, but I haven't seen it myself.
[00:16:03.120 --> 00:16:04.600]   But I also wonder,
[00:16:04.600 --> 00:16:08.320]   I mean, I think the big deployment problems,
[00:16:08.320 --> 00:16:10.000]   I think are more,
[00:16:10.000 --> 00:16:12.200]   that we see is more of what Josh was talking about,
[00:16:12.200 --> 00:16:16.840]   versus actually practically moving the files around.
[00:16:16.840 --> 00:16:20.800]   It's so easy to kind of quietly shoot yourself in the foot,
[00:16:20.800 --> 00:16:23.040]   that I think most people aren't,
[00:16:23.040 --> 00:16:25.720]   most people aren't super worried about
[00:16:25.720 --> 00:16:28.920]   how do I more easily copy my file,
[00:16:28.920 --> 00:16:29.760]   and more kind of like,
[00:16:29.760 --> 00:16:32.040]   they want actually kind of more safeguards
[00:16:32.040 --> 00:16:33.360]   than rails around it.
[00:16:33.360 --> 00:16:34.200]   - I see.
[00:16:34.200 --> 00:16:35.480]   So there's this logic around the model
[00:16:35.480 --> 00:16:36.760]   that acts on it.
[00:16:36.760 --> 00:16:37.600]   - Well, just because it's like,
[00:16:37.600 --> 00:16:38.760]   I mean, like Josh was saying,
[00:16:38.760 --> 00:16:42.200]   the problem is the models won't give you an error message.
[00:16:42.200 --> 00:16:44.520]   They'll just start behaving badly.
[00:16:44.520 --> 00:16:46.920]   Every company that I remember worked at,
[00:16:46.920 --> 00:16:49.480]   or worked with, has a horror story,
[00:16:49.480 --> 00:16:51.720]   where they, 'cause you might not realize,
[00:16:51.720 --> 00:16:53.360]   like just if you haven't done it,
[00:16:53.360 --> 00:16:56.120]   like you really do end up with a lot of models
[00:16:56.120 --> 00:16:58.040]   that have upstream models feeding in the data,
[00:16:58.040 --> 00:16:59.480]   and you're like, oh yeah, this failed model
[00:16:59.480 --> 00:17:01.880]   would be like so great for my like relevance model.
[00:17:01.880 --> 00:17:03.640]   Let me just feed that data in.
[00:17:03.640 --> 00:17:04.480]   And then before you know it,
[00:17:04.480 --> 00:17:06.000]   you actually have like 100 other models
[00:17:06.000 --> 00:17:09.960]   that are feeding into some like critical model.
[00:17:09.960 --> 00:17:12.520]   And it's really where you end up every single time, right?
[00:17:12.520 --> 00:17:16.000]   And then, you know, if anybody changes one of those,
[00:17:16.000 --> 00:17:17.560]   it can mess up the result.
[00:17:17.560 --> 00:17:18.680]   I mean, I remember actually,
[00:17:18.680 --> 00:17:20.160]   this is like years ago, so I feel like I can say,
[00:17:20.160 --> 00:17:21.960]   but I actually remember in,
[00:17:21.960 --> 00:17:23.320]   I was working at Yahoo search,
[00:17:23.320 --> 00:17:25.400]   which we were deploying machine learning models.
[00:17:25.400 --> 00:17:27.720]   And at one point we actually deployed a relevance model
[00:17:27.720 --> 00:17:30.080]   that had the relevance reversed.
[00:17:30.080 --> 00:17:32.680]   Like, and it was in a country
[00:17:32.680 --> 00:17:33.960]   that the language was like rare enough
[00:17:33.960 --> 00:17:36.240]   that like, you know, there wasn't like a lot of QA,
[00:17:36.240 --> 00:17:37.080]   and like it was really hard to,
[00:17:37.080 --> 00:17:38.440]   it was actually like, I mean,
[00:17:38.440 --> 00:17:40.960]   you might think that's like so blindingly like stupid,
[00:17:40.960 --> 00:17:41.960]   but it's actually, you know,
[00:17:41.960 --> 00:17:44.720]   there's interactions like an hour before,
[00:17:44.720 --> 00:17:46.400]   you know, the quick metrics cause people to notice
