
[00:00:00.000 --> 00:00:01.000]   [GASP]
[00:02:16.000 --> 00:02:19.000]   And then all of a sudden, if I don't have something practical,
[00:02:19.000 --> 00:02:22.000]   a framework onto which I can hang that feeling of motivation,
[00:02:22.000 --> 00:02:25.000]   then it kind of fritters away.
[00:02:25.000 --> 00:02:26.000]   It just disappears.
[00:02:26.000 --> 00:02:28.000]   So I enjoy a good talk.
[00:02:28.000 --> 00:02:29.000]   I enjoy a good motivational speech.
[00:02:29.000 --> 00:02:33.000]   But I want a really solid, actionable framework behind that.
[00:02:33.000 --> 00:02:36.000]   I need some really practical financial content
[00:02:36.000 --> 00:02:37.000]   and financial knowledge.
[00:02:37.000 --> 00:02:39.000]   I need to know, how do I invest my 401(k)?
[00:02:39.000 --> 00:02:42.000]   What group benefit options do I sign up for?
[00:02:42.000 --> 00:02:44.000]   How do I interact with my financial advisor?
[00:02:44.000 --> 00:02:46.000]   So I need a little bit of that information.
[00:02:46.000 --> 00:02:49.000]   But I also need some bigger picture information,
[00:02:49.000 --> 00:02:52.000]   because one of the things that I am very sure of
[00:02:52.000 --> 00:02:55.000]   is that financial planning as a science
[00:02:55.000 --> 00:02:59.000]   is way too limited to be of much practical value for most of us,
[00:02:59.000 --> 00:03:02.000]   meaning it has its place, but it's not so much
[00:03:02.000 --> 00:03:05.000]   what's the asset allocation on my IRA
[00:03:05.000 --> 00:03:07.000]   that's going to make the difference in my lifestyle.
[00:03:07.000 --> 00:03:09.000]   Rather, it's the bigger picture.
[00:03:09.000 --> 00:03:11.000]   And we all need some skills.
[00:03:11.000 --> 00:03:12.000]   And one of the things that I am convinced of
[00:03:12.000 --> 00:03:14.000]   is that the world is changing quickly.
[00:03:14.000 --> 00:03:16.000]   How's that for an obvious statement?
[00:03:16.000 --> 00:03:20.000]   And as part of that, there is a whole new world of skills
[00:03:20.000 --> 00:03:22.000]   that we need and can use.
[00:03:22.000 --> 00:03:26.000]   The cool thing is that the opportunities have never been greater
[00:03:26.000 --> 00:03:30.000]   for all of us to build the lives and the lifestyles
[00:03:30.000 --> 00:03:33.000]   that our grandparents' generations could only have dreamed of.
[00:03:33.000 --> 00:03:37.000]   But we can't do that with the skills of the past.
[00:03:37.000 --> 00:03:39.000]   We can't do that with the mindset of the past.
[00:03:39.000 --> 00:03:43.000]   Rather, we have to intentionally focus on building out a skill set
[00:03:43.000 --> 00:03:49.000]   that will allow us to accomplish the things that we wish to accomplish.
[00:03:49.000 --> 00:03:52.000]   Now, one aspect, obviously, we constantly talk on
[00:03:52.000 --> 00:03:54.000]   Radical Personal Finance about increasing income
[00:03:54.000 --> 00:03:56.000]   because having a financially valuable skill set
[00:03:56.000 --> 00:03:59.000]   is key to raising your income.
[00:03:59.000 --> 00:04:03.000]   And income is key to every other aspect of your financial plan.
[00:04:03.000 --> 00:04:06.000]   And so today I've invited Anthony Tran on the show
[00:04:06.000 --> 00:04:08.000]   to talk about marketing.
[00:04:08.000 --> 00:04:12.000]   I was, prior to going to Podcast Movement in Fort Worth, Texas,
[00:04:12.000 --> 00:04:15.000]   back--what was it? August, I guess.
[00:04:15.000 --> 00:04:16.000]   Yeah, August.
[00:04:16.000 --> 00:04:18.000]   I went through and I looked at the speakers
[00:04:18.000 --> 00:04:21.000]   and I looked at as many of the attendees' information as I could find.
[00:04:21.000 --> 00:04:23.000]   And I carefully thought through, "Which of these speakers do I think
[00:04:23.000 --> 00:04:25.000]   are going to be able to bring value to my audience
[00:04:25.000 --> 00:04:27.000]   on a diverse array of topics?"
[00:04:27.000 --> 00:04:30.000]   And Anthony was definitely one that when I identified him
[00:04:30.000 --> 00:04:33.000]   and looked through, I said, "This is a guy who's going to bring some value."
[00:04:33.000 --> 00:04:37.000]   So he's got a really cool story, which you'll hear in the interview today.
[00:04:37.000 --> 00:04:40.000]   And I want you to take some notes and think about how you can apply
[00:04:40.000 --> 00:04:44.000]   some of these ideas and concepts surrounding marketing to your business.
[00:04:44.000 --> 00:04:46.000]   Now, I will admit, when I was talking with him,
[00:04:46.000 --> 00:04:48.000]   I was just scratching my own itches,
[00:04:48.000 --> 00:04:51.000]   basically trying to get a so-called free consulting session.
[00:04:51.000 --> 00:04:55.000]   I didn't pay him any money, but he gets some exposure.
[00:04:55.000 --> 00:04:59.000]   So hopefully some of you can go over there and patronize his work and his services.
[00:04:59.000 --> 00:05:01.000]   So it works out quite well.
[00:05:01.000 --> 00:05:05.000]   But I really enjoyed talking with him and learning about this.
[00:05:05.000 --> 00:05:09.000]   We have an opportunity in 2015 here.
[00:05:09.000 --> 00:05:12.000]   If you can develop some powerful marketing skills,
[00:05:12.000 --> 00:05:14.000]   you will always be in demand.
[00:05:14.000 --> 00:05:17.000]   I prefer at this moment--I always prefer to be on the sales
[00:05:17.000 --> 00:05:21.000]   and marketing side of any business because I can directly prove my worth.
[00:05:21.000 --> 00:05:24.000]   And that really makes me feel good.
[00:05:24.000 --> 00:05:27.000]   And as we go into a changing economic future,
[00:05:27.000 --> 00:05:30.000]   I think over the coming years we'll be back in recession,
[00:05:30.000 --> 00:05:34.000]   and that will be a challenge because many people will be losing their jobs.
[00:05:34.000 --> 00:05:37.000]   But those people who can point to their direct impact
[00:05:37.000 --> 00:05:41.000]   on the gross revenue of the company, i.e. sales and marketing,
[00:05:41.000 --> 00:05:45.000]   if you can point to that directly, you'll have a much better chance of keeping a job.
[00:05:45.000 --> 00:05:48.000]   So sit back, relax, grab a notebook or however you take notes,
[00:05:48.000 --> 00:05:51.000]   and I hope that you gain a lot from this interview.
[00:05:51.000 --> 00:05:54.000]   Anthony, welcome to Radical Personal Finance.
[00:05:54.000 --> 00:05:56.000]   Hey, thanks for having me, Justin. How are you doing?
[00:05:56.000 --> 00:05:59.000]   So I brought you on as a marketing expert,
[00:05:59.000 --> 00:06:01.000]   and what I'd like to do today is have a conversation
[00:06:01.000 --> 00:06:04.000]   that's going to be basically a mini class on marketing.
[00:06:04.000 --> 00:06:08.000]   And the reason that I want to bring this content about Radical Personal Finance
[00:06:08.000 --> 00:06:13.000]   is because it skews directly toward the practice of developing a financially valuable skill.
[00:06:13.000 --> 00:06:18.000]   Financially owning and possessing and practicing a financially valued skill
[00:06:18.000 --> 00:06:22.000]   will make a massive difference over time in our incomes,
[00:06:22.000 --> 00:06:25.000]   whether we're as entrepreneurs or whether as employees.
[00:06:25.000 --> 00:06:27.000]   And there are only five financially valuable skills,
[00:06:27.000 --> 00:06:31.000]   which are value creation, marketing, sales, value delivery, and finance.
[00:06:31.000 --> 00:06:33.000]   And so this fits perfectly into marketing.
[00:06:33.000 --> 00:06:36.000]   I'd like you to start with just sharing your background in marketing
[00:06:36.000 --> 00:06:39.000]   and how you came to be known as really a world-class expert.
[00:06:39.000 --> 00:06:43.000]   Oh, thank you. Well, you know, first off,
[00:06:43.000 --> 00:06:47.000]   let me just kind of share a little of my background because it's kind of diverse.
[00:06:47.000 --> 00:06:50.000]   I was actually in the military. I was in the Air Force.
[00:06:50.000 --> 00:06:52.000]   Did logistics for a little while.
[00:06:52.000 --> 00:06:58.000]   And when I got out, I was actually an operations manager for an automotive company.
[00:06:58.000 --> 00:07:04.000]   While I was there, I also got my MBA and my master's in management leadership.
[00:07:04.000 --> 00:07:09.000]   So it gave me a lot of good foundation in the education side of business and marketing.
[00:07:09.000 --> 00:07:18.000]   But truly where my marketing comes about is actually just learning from a lot of entrepreneurs
[00:07:18.000 --> 00:07:22.000]   that have already done it and then tested it and applied it to my own business
[00:07:22.000 --> 00:07:24.000]   and have validated which ones that worked really well
[00:07:24.000 --> 00:07:29.000]   and then which ones that maybe didn't work well for my business or for my clients.
[00:07:29.000 --> 00:07:33.000]   How do you think about marketing? Do you think about it in a silo perspective of,
[00:07:33.000 --> 00:07:37.000]   "Oh, I'm an online marketing expert." Do you think about it in an inclusive nature?
[00:07:37.000 --> 00:07:39.000]   How do you think about the subject?
[00:07:39.000 --> 00:07:42.000]   You know, it's kind of interesting because to me, I feel like
[00:07:42.000 --> 00:07:50.000]   marketing people sometimes think of it as an outbound way to promote their stuff.
[00:07:50.000 --> 00:07:51.000]   And that is part of it.
[00:07:51.000 --> 00:07:55.000]   Outbound marketing is very what people traditionally think of like television,
[00:07:55.000 --> 00:07:59.000]   ads on magazines, billboards, that kind of stuff.
[00:07:59.000 --> 00:08:03.000]   But in today's world with the way the internet is going,
[00:08:03.000 --> 00:08:10.000]   inbound marketing has become more popular because of how powerful and impactful
[00:08:10.000 --> 00:08:15.000]   that it can be for not only consumers but also the person that is marketing.
[00:08:15.000 --> 00:08:18.000]   Because now you can give the ability to give a lot of value,
[00:08:18.000 --> 00:08:21.000]   teach a lot of people and educate them.
[00:08:21.000 --> 00:08:27.000]   And that truly is the power of marketing where the people now know, like, and trust you.
[00:08:27.000 --> 00:08:30.000]   They become fans of your work and then now they were ready to purchase
[00:08:30.000 --> 00:08:35.000]   versus that interruption marketing that we're so used to back in the days.
[00:08:35.000 --> 00:08:40.000]   Are big companies making this transition or is it only small internet businesses?
[00:08:40.000 --> 00:08:45.000]   Well, some companies are definitely learning more and more every day.
[00:08:45.000 --> 00:08:49.000]   I mean, there's definitely some that are very good at it while others maybe
[00:08:49.000 --> 00:08:51.000]   a little bit behind the power curve.
[00:08:51.000 --> 00:08:55.000]   Social media marketing is very huge and a lot of companies are starting to see that.
[00:08:55.000 --> 00:08:58.000]   Obviously, they are doing a lot of Twitter, Facebook.
[00:08:58.000 --> 00:09:03.000]   Even now Periscope is a new hot social media platform where people can do
[00:09:03.000 --> 00:09:08.000]   live broadcasting and people can watch and interact with the audience.
[00:09:08.000 --> 00:09:16.000]   I've seen news broadcast stations that are starting to do Periscoping
[00:09:16.000 --> 00:09:22.000]   because they see the value in allowing the audience and members to come into their world
[00:09:22.000 --> 00:09:26.000]   and kind of see the behind the scenes and really get to know people on a personal level.
[00:09:26.000 --> 00:09:30.000]   And, yeah, so you're going to see more and more of that going forward.
[00:09:30.000 --> 00:09:32.000]   And even, let's say, podcasting, right?
[00:09:32.000 --> 00:09:37.000]   So before it was kind of like a lot of the individual solopreneurs
[00:09:37.000 --> 00:09:41.000]   but now you're starting to see more mainstream people like Shaquille O'Neal, a celebrity.
[00:09:41.000 --> 00:09:43.000]   Steve Austin, the wrestler.
[00:09:43.000 --> 00:09:47.000]   So more and more celebrities are starting to do podcasting.
[00:09:47.000 --> 00:09:49.000]   And so it definitely is catching up.
[00:09:49.000 --> 00:09:56.000]   I think about it just simply as destruction of the gate between individuals.
[00:09:56.000 --> 00:09:58.000]   In the old days, if I had a message I wanted to get out,
[00:09:58.000 --> 00:10:00.000]   whether I'm Coca-Cola or whether I'm Joshua Sheets,
[00:10:00.000 --> 00:10:04.000]   I need to pass that message through somebody.
[00:10:04.000 --> 00:10:09.000]   And so I might be buying advertising, but I need to pass it through somebody to reach the general public.
[00:10:09.000 --> 00:10:14.000]   So the person who was able to control the message effectively was the person who had the platform,
[00:10:14.000 --> 00:10:16.000]   a large media company of some kind.
[00:10:16.000 --> 00:10:19.000]   Today, there's no person who controls the platform.
[00:10:19.000 --> 00:10:23.000]   Shaquille O'Neal can speak directly to me through his podcast,
[00:10:23.000 --> 00:10:27.000]   and Coca-Cola can speak directly to me through Twitter.
[00:10:27.000 --> 00:10:33.000]   And that's a complete upheaval of the world, especially as applied to marketing.
[00:10:33.000 --> 00:10:36.000]   Yeah, especially now for small business owners, we have so much ability.
[00:10:36.000 --> 00:10:40.000]   We can literally create our own TV channel via YouTube.
[00:10:40.000 --> 00:10:44.000]   We can create our own live broadcast, as I mentioned, via Periscope.
[00:10:44.000 --> 00:10:49.000]   We can essentially build our own platform in podcasting.
[00:10:49.000 --> 00:10:52.000]   We now have our own ability to create our own radio networks.
[00:10:52.000 --> 00:10:58.000]   So like you said, now we don't have to go through a middle person in order to reach an audience.
[00:10:58.000 --> 00:11:03.000]   You--I've heard when I was doing my due diligence on you,
[00:11:03.000 --> 00:11:12.000]   I've heard that you have a reputation for having built an incredible impact in a relatively short period of time.
[00:11:12.000 --> 00:11:18.000]   How did you market yourself to be known as the thought leader?
[00:11:18.000 --> 00:11:21.000]   Well, it's all about just providing value and sharing your knowledge.
[00:11:21.000 --> 00:11:27.000]   You know, a lot of people feel that if they give away their best information or their knowledge,
[00:11:27.000 --> 00:11:31.000]   that they feel that they're going to be hurting themselves in some way where like,
[00:11:31.000 --> 00:11:35.000]   "Oh, if I share my best tips and strategies about, let's say for me, marketing,
[00:11:35.000 --> 00:11:42.000]   then I'm not going to be able to sell that product or create that service where people will want to pay for it."
[00:11:42.000 --> 00:11:44.000]   It actually worked opposite for me.
[00:11:44.000 --> 00:11:48.000]   So, for example, like I started doing search engine optimization webinars.
[00:11:48.000 --> 00:11:56.000]   Consultants or SEO consultants and experts would normally charge thousands of dollars for this type of information.
[00:11:56.000 --> 00:11:59.000]   Where I was openly giving it away for free.
[00:11:59.000 --> 00:12:05.000]   I was going on webinars, doing presentations, sharing it on blogs and YouTube videos.
[00:12:05.000 --> 00:12:10.000]   I was just sharing away as much value as I could and really being transparent about it.
[00:12:10.000 --> 00:12:17.000]   As a result of that, people have, you know, built a level of trust with me like,
[00:12:17.000 --> 00:12:22.000]   "Wow, here's a guy who's giving it away and he's not necessarily charging for it."
[00:12:22.000 --> 00:12:25.000]   But that actually built more credibility for myself.
[00:12:25.000 --> 00:12:29.000]   It helped me build relationships with other people in the industry.
[00:12:29.000 --> 00:12:32.000]   And that didn't impact my business.
[00:12:32.000 --> 00:12:38.000]   It actually boosted my business because now they go, "If he's already telling you this much for free,
[00:12:38.000 --> 00:12:44.000]   what else could he share with me if I had hired him as a coach or consultant?"
[00:12:44.000 --> 00:12:50.000]   And of course, yeah, there's a lot of things that I can share that I can't provide in a one-hour webinar.
[00:12:50.000 --> 00:12:51.000]   There's a whole lot more stuff.
[00:12:51.000 --> 00:12:56.000]   So that's why I say, don't be shy and give your best stuff.
[00:12:56.000 --> 00:13:01.000]   And that's how you really leverage the power of inbound marketing and attracting people to you.
[00:13:01.000 --> 00:13:05.000]   Are you concerned about a race to the bottom in the sense that if you're giving away all the information
[00:13:05.000 --> 00:13:12.000]   that another SEO consultant was charging for, are you destroying the business for both of you?
[00:13:12.000 --> 00:13:13.000]   No, not at all.
[00:13:13.000 --> 00:13:17.000]   Because, you know, at the end of the day, people like to work with people.
[00:13:17.000 --> 00:13:21.000]   And they're going to connect with people, or they're going to connect with you on a personal level.
[00:13:21.000 --> 00:13:25.000]   They're going to want to do business with people they like and connect with on a personal level.
[00:13:25.000 --> 00:13:30.000]   That other company, that other business, that other entrepreneur may have a certain different way of expressing themselves
[00:13:30.000 --> 00:13:32.000]   or training and teaching style.
[00:13:32.000 --> 00:13:34.000]   And that may work really well for somebody else.
[00:13:34.000 --> 00:13:36.000]   And they may go, "Hey, I want to really work with this person."
[00:13:36.000 --> 00:13:40.000]   On the vice versa side, they may go, "Hey, Anthony, I really like the way you teach.
[00:13:40.000 --> 00:13:45.000]   I really like the way your style, I like the way, you know, I say I connect with you on a personal level."
[00:13:45.000 --> 00:13:48.000]   Or they may say they were prior military and say, "Hey, I'm prior military.
[00:13:48.000 --> 00:13:50.000]   I want to be able to support a fellow veteran.
[00:13:50.000 --> 00:13:53.000]   You know, let me help you and let's do business together."
[00:13:53.000 --> 00:13:58.000]   So, yeah, no, there's plenty of people in the world, plenty of business to spread around.
[00:13:58.000 --> 00:14:00.000]   So I definitely don't feel that way at all.
[00:14:00.000 --> 00:14:05.000]   I'd like to paint a scenario for you and ask you to give what you would do in this situation.
[00:14:05.000 --> 00:14:12.000]   So I'm a listener of Radical Personal Finance, and I work in a small or medium-sized company, 20, 30 people.
[00:14:12.000 --> 00:14:14.000]   The industry is not relevant.
[00:14:14.000 --> 00:14:20.000]   But I recognize that Josh was telling me every single day I need to be able to increase my income,
[00:14:20.000 --> 00:14:23.000]   and I need to do that by adding value to my employer and to my boss.
[00:14:23.000 --> 00:14:29.000]   And I've decided, you know what, maybe I could help my business grow and help with their marketing.
[00:14:29.000 --> 00:14:33.000]   And for the sake of this, we're a traditional brick-and-mortar business of some kind.
[00:14:33.000 --> 00:14:37.000]   And so I've decided, well, I'm going to go ahead and I'm going to work my 40 hours,
[00:14:37.000 --> 00:14:43.000]   but I'm going to go ahead and take 10 hours a week and start to see what I can do to market the services of my company more effectively.
[00:14:43.000 --> 00:14:51.000]   And I've got to take my boss a plan for how I'm going to integrate the new forms of media for my company.
[00:14:51.000 --> 00:14:57.000]   Where would you--what kind of framework would you provide for somebody in that situation to guide them?
[00:14:57.000 --> 00:15:04.000]   Well, definitely, you know, depending on your industry, you're going to have to determine who your audience is
[00:15:04.000 --> 00:15:08.000]   and where do they best hang out or spend time.
[00:15:08.000 --> 00:15:14.000]   If your audience are a type of visual learners that like to watch, let's say, videos,
[00:15:14.000 --> 00:15:17.000]   then YouTube is obviously a great platform.
[00:15:17.000 --> 00:15:22.000]   If they are more audio learners or like to, let's say, listen to podcasts,
[00:15:22.000 --> 00:15:26.000]   then you can provide information and value to them via a podcast.
[00:15:26.000 --> 00:15:32.000]   So the marketing is just the avenue of communication.
[00:15:32.000 --> 00:15:37.000]   You have to determine what type of communication does your audience like to receive.
[00:15:37.000 --> 00:15:45.000]   So that's kind of like the main principle of what you need to do to figure out what's the best medium to start with.
[00:15:45.000 --> 00:15:53.000]   But don't--do you--do you see that as the--so let me give you an industry.
[00:15:53.000 --> 00:15:55.000]   And a friend of mine owns a tile business.
[00:15:55.000 --> 00:16:00.000]   This is an established tile business, and he has his sons engaged in the tile business.
[00:16:00.000 --> 00:16:05.000]   And I would encourage his sons to say, "Take over. The owner is older.
[00:16:05.000 --> 00:16:08.000]   He's not connected to the more modern marketing practices."
[00:16:08.000 --> 00:16:15.000]   And I would say, "Here are some things that you can do to--here are some marketing ideas that you can do to increase the business."
[00:16:15.000 --> 00:16:19.000]   Would the approach be, "We're going to take pictures of all of our beautiful tile and marble jobs
[00:16:19.000 --> 00:16:22.000]   and plaster them all over Facebook because that's where we're connected,"
[00:16:22.000 --> 00:16:27.000]   or would the approach be to start a YouTube channel and train people how to do tile installation?
[00:16:27.000 --> 00:16:30.000]   Like, how would you figure that out?
[00:16:30.000 --> 00:16:35.000]   >> I mean, I think for something like that, what works well for someone like that is demonstration.
[00:16:35.000 --> 00:16:37.000]   Think of it like Home Depot, right?
[00:16:37.000 --> 00:16:41.000]   They sell supplies for people to renovate their homes.
[00:16:41.000 --> 00:16:49.000]   One of their great business marketing strategies is they provide free workshops for any customers to come in on the weekends,
[00:16:49.000 --> 00:16:53.000]   and they teach them how to, let's say, I don't know, build a deck.
[00:16:53.000 --> 00:16:54.000]   >> Right.
[00:16:54.000 --> 00:17:00.000]   >> And so they're demonstrating what tools you need, what resources, how to do it.
[00:17:00.000 --> 00:17:06.000]   But, I don't know if you ever realized this, but they also say, "If you want a done-for-you service,
[00:17:06.000 --> 00:17:11.000]   we have that available for this price, and you can contact us and reach us."
[00:17:11.000 --> 00:17:20.000]   I would be very curious to talk to the Home Depot managers and say, "How many of those people that are in the workshops end up hiring you guys?"
[00:17:20.000 --> 00:17:31.000]   >> I'm pretty sure it's quite a bit, because once people start to realize maybe how difficult some of these renovation projects are,
[00:17:31.000 --> 00:17:34.000]   they may start to go, "Hmm, maybe I need to leave it to the experts."
[00:17:34.000 --> 00:17:38.000]   And so for a tile person or business, that's what I would recommend.
[00:17:38.000 --> 00:17:43.000]   Create some style of a workshop, some way you can train people and educate them.
[00:17:43.000 --> 00:17:49.000]   And then you'd be surprised at how much people will reach out once they, like I said, they try it themselves,
[00:17:49.000 --> 00:17:55.000]   and they go, "Oh man, this is no joke. I've got to be on my knees to put this in."
[00:17:55.000 --> 00:17:59.000]   I'm not a tile guy, so I don't know the tool of things, but that's just what I'm saying.
[00:17:59.000 --> 00:18:01.000]   >> It's tough work. Been there, done that. It's tough work.
[00:18:01.000 --> 00:18:07.000]   Next scenario. I am a mid-level employee, and I'm looking to enhance my career.
[00:18:07.000 --> 00:18:12.000]   And I've decided to switch from the industry that I'm in to my dream industry, my dream job.
[00:18:12.000 --> 00:18:18.000]   And so I need to create a marketing plan to get myself noticed in this dream job.
[00:18:18.000 --> 00:18:23.000]   What types of tools and techniques and tactics would you recommend to someone in that scenario
[00:18:23.000 --> 00:18:26.000]   to begin to make a transition from the industry they're in to their dream industry
[00:18:26.000 --> 00:18:30.000]   to establish a personal brand as an expert in that field?
[00:18:30.000 --> 00:18:36.000]   >> So, yeah, definitely when you're talking about personal branding and becoming the expert,
[00:18:36.000 --> 00:18:40.000]   you have to really present yourself in the best light possible.
[00:18:40.000 --> 00:18:46.000]   So, you know, LinkedIn is obviously a profile that a lot of companies, they do research on.
[00:18:46.000 --> 00:18:53.000]   So make sure you have a legitimate-looking profile, LinkedIn profile, that showcases you,
[00:18:53.000 --> 00:18:55.000]   your resume, your experience, your background.
[00:18:55.000 --> 00:18:58.000]   That's essentially the modern-day resume.
[00:18:58.000 --> 00:18:59.000]   >> Right.
[00:18:59.000 --> 00:19:06.000]   >> And having a professional photo, I think, you know, is kind of like--hopefully that's a standard, right?
[00:19:06.000 --> 00:19:11.000]   But the other thing that you can do is also create a personal branding website.
[00:19:11.000 --> 00:19:17.000]   Now, with a personal branding website, that's also another avenue for people to get to know who you are,
[00:19:17.000 --> 00:19:27.000]   and you're able to essentially control what image or persona you want to portray to yourself, you know, to everyone else.
[00:19:27.000 --> 00:19:34.000]   And people do that by, you know, taking professional photos of themselves, giving a quick bio about themselves,
[00:19:34.000 --> 00:19:38.000]   talking about even a personal level, this is about me, this is where my background--
[00:19:38.000 --> 00:19:41.000]   these are pictures even with my family, here's some hobbies I like to do,
[00:19:41.000 --> 00:19:44.000]   because that's still that human connection that we talk about.
[00:19:44.000 --> 00:19:51.000]   People relate to you on a personal level, and you're able to add some visual elements, right?
[00:19:51.000 --> 00:19:56.000]   So we talk about, you know, let's say you're a real expert at website design.
[00:19:56.000 --> 00:20:01.000]   Now you can actually show them proof and create video tutorials on WordPress,
[00:20:01.000 --> 00:20:05.000]   maybe like publish it on YouTube and post it on your personal brand website.
[00:20:05.000 --> 00:20:10.000]   So now when someone's researching you, it's not like you're telling them that you're an expert,
[00:20:10.000 --> 00:20:13.000]   but you're actually demonstrating to them that you do know your stuff.
[00:20:13.000 --> 00:20:17.000]   So all of those things can definitely be worked together, and you can use so many different platforms.
[00:20:17.000 --> 00:20:21.000]   You can have a podcast, you can have YouTube videos, you can have a blog.
[00:20:21.000 --> 00:20:26.000]   Any way that you can demonstrate your knowledge and expertise is only going to help you further.
[00:20:26.000 --> 00:20:31.000]   In my mind, this is mandatory for, frankly, all of us.
[00:20:31.000 --> 00:20:38.000]   The days of trying to demonstrate your expertise on a resume, maybe one page, maybe two if you pushed it,
[00:20:38.000 --> 00:20:43.000]   you might still need one, but realistically, that's a really bad resume.
[00:20:43.000 --> 00:20:48.000]   Far better for you to create the resume in a comprehensive format.
[00:20:48.000 --> 00:20:51.000]   So one of the concerns that I have is people pursue things.
[00:20:51.000 --> 00:20:55.000]   They pursue their YouTube channels, they pursue their podcasts, and they're only chasing the big numbers.
[00:20:55.000 --> 00:21:01.000]   Well, that's great if you can get the big numbers and if that's part of your strategy,
[00:21:01.000 --> 00:21:07.000]   but it's still important and it's still worthwhile, even if you're not a top 10 podcast,
[00:21:07.000 --> 00:21:10.000]   even if you don't have a YouTube channel with 10,000 subscribers.
[00:21:10.000 --> 00:21:13.000]   The right number, the right person is all you need.
[00:21:13.000 --> 00:21:19.000]   And realistically, creating content, which is what I perceive to be your primary,
[00:21:19.000 --> 00:21:24.000]   at least the message you just shared regarding marketing, creating value, teaching,
[00:21:24.000 --> 00:21:29.000]   contributing, that's the basis for companies, but it's also the basis for people.
