
[00:00:00.000 --> 00:00:18.560]   I guess as we're getting started, this talk is about productionizing AI, but I'm curious,
[00:10:58.360 --> 00:11:03.400]   like getting what the weather is, it's like a five line thing that actually Copilot can generate
[00:11:03.400 --> 00:11:08.360]   instantly and works phenomenally well. There's APIs here. The challenge is actually understanding the
[00:11:08.360 --> 00:11:14.520]   speech, and then getting the natural language into an API call. So kind of a simple architecture here,
[00:11:14.520 --> 00:11:18.680]   right? So the weather comes in, you ask what's weather in Boston, it goes through an on-device LLM to
[00:11:18.680 --> 00:11:23.560]   translate it to kind of Python looking code that says weather location equals Boston, has to look like
[00:11:23.560 --> 00:11:28.520]   that because it's going to call that function on the weather skill that I wrote that it calls a weather
[00:11:28.520 --> 00:11:36.120]   API. You know, I think Llama and Whisper is a fantastic open source stack here. Llama CPP is one of the many
[00:11:36.120 --> 00:11:42.200]   many options to run Llama on cheap hardware. There's VLM and others, and lots of companies that'll do it
[00:11:42.200 --> 00:11:49.080]   for you. I kind of wanted to do it myself, so Llama CPP was a great choice. And you can run large LLMs on a MacBook in real time.
[00:11:53.240 --> 00:11:59.240]   We've got to skip the demo so much of the audio is working. What you will, if you actually do try
[00:11:59.240 --> 00:12:02.360]   to do this yourselves, and a lot of our customers do try to do this themselves and they discover the
[00:12:02.360 --> 00:12:07.000]   same thing, latency really matters a lot, right? Because you're actually transcribing audio,
[00:12:07.000 --> 00:12:13.320]   and then you're running the transcription through an LLM to make this function call. And so if that
[00:12:13.320 --> 00:12:17.800]   takes longer than a couple hundred milliseconds, it's incredibly painful. So you need to go kind of
[00:12:17.800 --> 00:12:23.080]   small model here, and you need to run it fast on hardware. So that's why we went with Llama 2 at the
[00:12:23.080 --> 00:12:28.920]   time, and put it in a default prompt, and it didn't work. Zero percent accuracy. And so every kind of
[00:12:28.920 --> 00:12:33.240]   customer goes through this journey to try to improve the accuracy, or whatever the real kind of user
[00:12:33.240 --> 00:12:38.440]   facing metric is. I'll tell you briefly about my journey to improve this. The first thing I did was
[00:12:38.440 --> 00:12:43.480]   I did some prompt engineering, just kind of common sense, make the prompt better, kind of lay out what
[00:12:43.480 --> 00:12:49.240]   functions are available. The model kind of gets closer, and now it's saying call: whether location
[00:12:49.240 --> 00:12:52.920]   equals Boston, but still actually not in any kind of format that I can run. Here,
[00:12:52.920 --> 00:13:00.040]   I need really exact accuracy because I'm generating code function calls. This is Llama 2 chat. There's
[00:13:00.040 --> 00:13:05.800]   so many models to try these days. Llama 2 chat was trained on conversations, performed better in this
[00:13:05.800 --> 00:13:12.600]   case, and got the accuracy up to 11 percent. Still not possible to ship this, but I kind of looked at the
[00:13:12.600 --> 00:13:17.800]   errors it was making. Looking at the errors, incorporating feedback, got the accuracy up to 75 percent. So pretty
[00:13:17.800 --> 00:13:23.080]   satisfying, pretty iterative process, probably typical to what you're doing or what your engineers are doing.
[00:13:23.080 --> 00:13:28.920]   Now it's kind of a cool demo. My daughter is like mildly impressed if she says the the thing just right,
[00:13:28.920 --> 00:13:38.920]   but actually 75 percent accuracy is incredibly annoying. It's still not going to work well. Switched to Mistral.
[00:13:38.920 --> 00:13:45.400]   Mistral came out mid-project here, and Mistral's model for free, exact same API to Llama 2, got the
[00:13:45.400 --> 00:13:50.040]   accuracy up to 79 percent. So this is sort of happening in real time, probably happening to you also. If you're
[00:13:50.040 --> 00:13:55.080]   ready to switch the models quickly, you can get free accuracy improvements as new models come out.
[00:13:55.080 --> 00:14:03.320]   77 percent accuracy is still really annoying, trust me. So I thought, okay, I need to improve this. Still
[00:14:03.320 --> 00:14:08.760]   not impressing my daughter. And so I thought, okay, let's try some fine-tuning. And now, you know,
[00:14:08.760 --> 00:14:14.280]   fine-tuning used to be a hard thing to do, especially on these really large models. Laura, Q Laura has made
[00:14:14.280 --> 00:14:20.040]   this a lot more tractable. Now there's probably 20 companies here that actually do this for you for super cheap.
[00:14:20.040 --> 00:14:25.240]   So, you know, no excuse for not fine-tuning once you get to a point where you want to make that kind
[00:14:25.240 --> 00:14:31.480]   of last improvement of accuracy. I was able to run Q Laura on my GPU in my basement. This runs on kind
[00:14:31.480 --> 00:14:39.720]   of standard hardware. I think it's a 4080. And ran a data set in a few hours. But you need the data set.
[00:14:39.720 --> 00:14:43.960]   So I manually created a couple examples here. You know, using a larger model, in this case ChatGPT,
[00:14:43.960 --> 00:14:47.880]   to create more examples worked phenomenally well. I think 95 percent of them were good. You know,
[00:14:47.880 --> 00:14:52.360]   I kind of went through by hand and filtered some out. But that, you know, in 15 minutes,
[00:14:52.360 --> 00:15:00.520]   I have a couple thousand examples to fine-tune on. I gave it a schema to format the answer in. And
[00:15:00.520 --> 00:15:06.040]   once it saw more examples, it was actually able to generate more interesting examples kind of from that
[00:15:06.040 --> 00:15:12.520]   data set. Fine-tuning plus Mistral actually led to 98 percent accuracy. So this is a super satisfying
[00:15:12.520 --> 00:15:16.760]   project. 98 percent accuracy actually starts to feel like, hey, maybe we could ship this thing.
[00:15:16.760 --> 00:15:22.920]   And as a surprising byproduct, it actually worked for other languages. So I was using
[00:15:22.920 --> 00:15:27.800]   Whisper model that works really well in other languages. Japanese is the one that I tested on.
[00:15:27.800 --> 00:15:33.880]   I think this is French here. But the LMs also work in other languages. So we've kind of built this amazing
[00:15:33.880 --> 00:15:39.320]   multilingual Alexa as kind of a fun side project. Which, by the way, I think is exciting because I think
[00:15:39.320 --> 00:15:43.880]   there was a time when these models got really big. And there's always been kind of a vibrant hacker
[00:15:43.880 --> 00:15:49.240]   culture, I think, in AI. But started to wonder if you could only do really expensive projects to get
[00:15:49.240 --> 00:15:54.360]   anything interesting done. I think now there's just an incredible amount of things that people can do.
[00:15:54.360 --> 00:16:03.080]   So you can find this project at github/luga/auto. And the lessons learned stepping back are exactly the
[00:16:03.080 --> 00:16:06.600]   things that our customers are discovering. It's exactly the things that you're probably discovering.
[00:16:06.600 --> 00:16:11.960]   prompt engineering works really well, especially when you start with a terrible prompt. And then
[00:16:11.960 --> 00:16:15.720]   fine tuning improves the performance at the end. People often talk about, hey, should I be using
[00:16:15.720 --> 00:16:19.880]   RAG? Should I be using fine tuning? Should I be using prompt engineering? I think almost always in the end,
[00:16:19.880 --> 00:16:24.440]   to get something shipped into production and working well, you end up using a whole bunch of these
[00:16:24.440 --> 00:16:30.120]   different methods. Everything is making iterative improvement. Gradually, we get to the accuracy that we need.
[00:16:31.720 --> 00:16:36.280]   The other thing that I kind of hid from you in this project is this did take me a couple weeks to get
[00:16:36.280 --> 00:16:42.200]   done. And most experiments didn't work. So in the real world, if I gave this to a colleague and they
[00:16:42.200 --> 00:16:49.160]   tried to iterate on top of it, if they just saw this talk here, they wouldn't realize all the things
[00:16:49.160 --> 00:16:53.880]   that I tried that failed. And they'd probably start to do them over and kind of have to experience the same
[00:16:53.880 --> 00:17:00.600]   failures to catch up to where I was. And so we actually kept track in 1DB of all the failures
[00:17:00.600 --> 00:17:03.960]   or experiments. And you can go in there and look at them yourself. But I think this is generally best
[00:17:03.960 --> 00:17:04.280]   practice.
[00:17:08.120 --> 00:17:15.480]   So what are the lessons? People come to me now every day asking, hey, how do I get LLM apps from
[00:17:15.480 --> 00:17:19.960]   demo into production? What are the kind of broader lessons? Besides using weights and biases, which you
[00:17:19.960 --> 00:17:28.760]   obviously are already doing. And I think that there's kind of four things that we see our customers do
[00:17:28.760 --> 00:17:34.280]   where they actually get things into production, they actually make them successful. The first is that they
[00:17:34.280 --> 00:17:39.480]   build an evaluation framework and they take this really seriously. We've had people, I do a podcast
[00:17:39.480 --> 00:17:45.400]   called Gradient Descent where I talk to a lot of people. And one prominent CEO of a well-known company
[00:17:45.400 --> 00:17:49.880]   came on the podcast and I asked him, you know, how do you do testing? How do you test your Gen.AI
[00:17:49.880 --> 00:17:54.520]   applications in production? And he said, I test these applications by vibes.
[00:17:54.520 --> 00:18:00.920]   And I asked him, you know, hey, do you want me to remove that? You know, from the, like,
[00:18:00.920 --> 00:18:05.160]   we're not trying to like embarrass people on our podcast, you know? And he's like, no, no, it's great.
[00:18:05.160 --> 00:18:10.920]   I love it, you know? And I think that there actually is a kind of a value to testing by vibes. Like, I think
[00:18:10.920 --> 00:18:17.000]   if more CEOs tested by vibes, you might actually not have some of the failures that you see. I mean,
[00:18:17.000 --> 00:18:20.920]   some of these things that get released are so embarrassing that I think a vibes check would have actually
[00:18:20.920 --> 00:18:27.000]   caused better decision making. But when you're only testing by vibes, the problem is you can't
[00:18:27.000 --> 00:18:31.160]   release a V2, right? Because what happens is, unlike in software development where you're typically adding
[00:18:31.160 --> 00:18:36.520]   features and mostly moving forward, any of these new things that you try are going to make some
[00:18:36.520 --> 00:18:40.520]   things better and some things worse. And the vibes check is not going to tell you the difference between
[00:18:40.520 --> 00:18:45.960]   a 75% accuracy and a 79% accuracy. So he never would have been able to make that switch from Llama 2 to
[00:18:45.960 --> 00:18:50.680]   Mistral because it just wouldn't have been clear if it's better or worse. And so taking time to build an
[00:18:50.680 --> 00:18:56.360]   evaluation framework is really the foundation of getting these things into production and working
[00:18:56.360 --> 00:19:00.520]   well. I actually checked back with that CEO a year later, and he was doing quite a lot of evaluation
[00:19:00.520 --> 00:19:04.520]   because he kind of realized that thing where you want to get that second model out and you don't know
[00:19:04.520 --> 00:19:09.800]   how to do it. The other thing is starting with a lightweight prototype, we see typically -- this is
[00:19:09.800 --> 00:19:13.560]   kind of an enterprise anti-pattern, but we see it a lot at Weights and Biases where people kind of want to
[00:19:13.560 --> 00:19:17.480]   build the first step and kind of nail that and then build the second step. And they kind of never get
[00:19:17.480 --> 00:19:21.160]   something into the hands of the end user, which might be an internal audience or it might be a
[00:19:21.160 --> 00:19:25.880]   customer. I think this is kind of basic agile product development, but somehow people forget
[00:19:25.880 --> 00:19:31.320]   this with Gen AI. So it's worth mentioning because we see this failure mode so frequently. And then,
[00:19:31.320 --> 00:19:34.600]   of course, incorporating end user feedback in lots of different ways is critical.
[00:19:34.600 --> 00:19:44.280]   And then iterate. So I'll say, you know, evaluation best practices because I think it's such a cornerstone.
[00:19:44.280 --> 00:19:47.960]   And I think, well, actually, let me ask you this. How many people in the audience feel like they're doing
[00:19:47.960 --> 00:19:56.280]   solid evaluations of their Gen AI models? Gen AI applications? Interesting. So a lot less.
[00:19:56.280 --> 00:20:03.160]   It seems like you all are not feeling great about your evaluation frameworks. I think what we see,
[00:20:03.160 --> 00:20:10.680]   where people kind of end up, is lots of different evaluation sets and techniques. So we see a lot of our
[00:20:10.680 --> 00:20:14.040]   customers. We'll do some things like, okay, these are things we can never get wrong. And we want to
[00:20:14.040 --> 00:20:17.400]   have like a hundred percent in this simple test. And there's lots of tricks to getting that right.
[00:20:17.400 --> 00:20:21.640]   Then people want to have, you know, something that's sort of very quick to run. So they can,
[00:20:21.640 --> 00:20:26.040]   they can kind of run it in real time. They can test something new in 20 or 30 seconds. And then
[00:20:26.040 --> 00:20:31.480]   our customers typically will have much bigger evaluation sets that run nightly and give feedback.
[00:20:31.480 --> 00:20:35.320]   That's where people end up. And I think that's really important to do all the different kinds of
[00:20:35.320 --> 00:20:39.080]   evaluations that might matter for your application. And then, you know, the other thing that's very
[00:20:39.080 --> 00:20:43.880]   hard to do, but I mean, MLOps has been doing this for decades, is trying to make sure that the metrics
[00:20:43.880 --> 00:20:48.200]   correlate with the user experience or the value that you actually provide for your customer. Totally
[00:20:48.200 --> 00:20:53.000]   application dependent. Very hard to do. I mean, when we started Weights and Biases, we kind of thought
[00:20:53.000 --> 00:20:57.960]   people might want to track, I don't know, like 10 or 20 metrics per model that they build or per
[00:20:57.960 --> 00:21:03.000]   application. And we see with, with people that are really in production, like a typical, you know,
[00:21:03.000 --> 00:21:07.560]   self-driving car company or like a typical bank with a mission-critical application, we see
[00:21:07.560 --> 00:21:11.560]   thousands of metrics. We see tens of thousands of metrics. We get requests like, "Hey, can I do
[00:21:11.560 --> 00:21:17.000]   regex search across my metrics? Because I have like so many metrics, I can't even, I can't find, you know,
[00:21:17.000 --> 00:21:22.600]   the metrics." And I think that's because you really want to get these metrics working and connected to
[00:21:22.600 --> 00:21:26.520]   your user experience. And there's so many different ways that something could fail. But then the most
[00:21:26.520 --> 00:21:30.680]   important thing is actually do it, right? It seems like a lot of people in this room maybe haven't started to do it yet,
[00:21:30.680 --> 00:21:36.360]   but doing evaluation is so critical because you can't, you can't improve any of these other things.
[00:21:36.360 --> 00:21:40.440]   And when people come to me and they ask me questions like, you know, should I be doing fine tuning?
[00:21:40.440 --> 00:21:46.840]   Should I be doing RAG? Should I be doing XYZ? What that tells me is they don't have a good evaluation
[00:21:46.840 --> 00:21:51.000]   system in place, right? Because it shouldn't take you very long to have an answer for yourself,
[00:21:51.000 --> 00:21:54.680]   for your own application if one of these techniques works or not.
[00:21:54.680 --> 00:22:00.920]   So look, you know, we're here at this conference and this is a lot of fun. If you want to come by our
[00:22:00.920 --> 00:22:05.000]   booth, the Weights and Biases booth, we can show you Weave, which we can help you with some of your
[00:22:05.000 --> 00:22:12.040]   problems getting AI applications into production. But not all of them today, but we'd love to talk to you
[00:22:12.040 --> 00:22:17.400]   about what we're doing and we'd love to hear from you about how your experience has been. Thank you.
[00:22:17.400 --> 00:22:35.240]   *Applaudissements*

