
[00:00:00.000 --> 00:00:00.840]   Let's go.
[00:02:28.520 --> 00:02:31.840]   the attention is everything you need paper.
[00:02:31.840 --> 00:02:34.600]   You can see it's from 2019.
[00:02:34.600 --> 00:02:39.600]   So ancient history in terms of deep learning and NLP,
[00:02:39.600 --> 00:02:46.600]   but still useful for a lot of use cases.
[00:02:46.600 --> 00:02:53.560]   And just for a little bit more context.
[00:02:53.560 --> 00:02:58.560]   So after, so this was a Google paper
[00:02:58.560 --> 00:03:02.240]   and after they trained and released Bert,
[00:03:02.240 --> 00:03:06.480]   they started using it in Google search.
[00:03:06.480 --> 00:03:11.480]   And so it provided context for search results
[00:03:11.480 --> 00:03:16.960]   so that there's some examples maybe we can look at later,
[00:03:16.960 --> 00:03:20.240]   but it would, if you gave like a query
[00:03:20.240 --> 00:03:22.800]   that could mean a couple of different things,
[00:03:22.800 --> 00:03:26.560]   they use this model to discriminate between the two.
[00:03:26.560 --> 00:03:34.240]   So let's, I guess, just walk down through the paper here.
[00:03:34.240 --> 00:03:42.840]   One thing to note is that there is this,
[00:03:42.840 --> 00:03:47.520]   two different kinds of approaches early on,
[00:03:47.520 --> 00:03:50.600]   feature-based and fine tuning.
[00:03:50.600 --> 00:03:55.600]   And so the like models like Elmo were feature-based
[00:03:55.600 --> 00:04:00.600]   where they had tasks specific architectures
[00:04:00.600 --> 00:04:03.080]   that were built into the model.
[00:04:03.080 --> 00:04:07.520]   Whereas models like Bert and GPT
[00:04:07.520 --> 00:04:10.720]   were more used to fine tuning approach
[00:04:10.720 --> 00:04:13.960]   where they just, as more general purpose,
[00:04:13.960 --> 00:04:15.880]   they just trained one model
[00:04:15.880 --> 00:04:18.520]   and then you could fine tune it after the fact
[00:04:18.520 --> 00:04:22.440]   for your particular tasks.
[00:04:22.440 --> 00:04:29.360]   They talk a little bit here about the,
[00:04:29.360 --> 00:04:33.560]   one of the limitations of standard language models
[00:04:33.560 --> 00:04:36.120]   is that they're unidirectional.
[00:04:36.120 --> 00:04:39.600]   So what that means is for like GPT
[00:04:39.600 --> 00:04:44.600]   and many other models out there now,
[00:04:44.600 --> 00:04:46.640]   they only look forward.
[00:04:46.640 --> 00:04:49.320]   And so they take a sequence of words
[00:04:49.320 --> 00:04:53.080]   and try to predict the next word in the sequence.
[00:04:53.080 --> 00:04:57.520]   However, Bert also goes backwards.
[00:04:57.520 --> 00:05:02.080]   So it takes like in the training data,
[00:05:02.080 --> 00:05:04.960]   it can also start at say the end of a piece of text
[00:05:04.960 --> 00:05:07.080]   and try to predict the previous word.
[00:05:07.080 --> 00:05:11.720]   And so we'll talk a little bit how they avoid
[00:05:12.960 --> 00:05:16.680]   like contamination of the prediction,
[00:05:16.680 --> 00:05:19.800]   because obviously if you're training from back to front,
[00:05:19.800 --> 00:05:23.880]   you get a peek at what the words are coming up.
[00:05:23.880 --> 00:05:27.920]   - So a lot of this section
[00:05:27.920 --> 00:05:31.880]   was pre-decoder only transformers, right?
[00:05:31.880 --> 00:05:36.480]   So a lot of what they reference is like RNNs, GRUs, LSTMs.
[00:05:36.480 --> 00:05:38.400]   So like pre-transformer stuff,
[00:05:38.400 --> 00:05:40.920]   you only get one pass and then they're like,
[00:05:40.920 --> 00:05:43.800]   "Crazy idea if you look at it from front to back."
[00:05:43.800 --> 00:05:46.440]   Like, so a lot of the training tasks
[00:05:46.440 --> 00:05:47.920]   was like classification, right?
[00:05:47.920 --> 00:05:49.720]   When humans classify something,
[00:05:49.720 --> 00:05:51.360]   we don't do it token by token.
[00:05:51.360 --> 00:05:53.880]   We listen to the whole sentence, then we classify.
[00:05:53.880 --> 00:05:58.880]   So this was more so like LSTM, RNN era, yeah.
[00:05:58.880 --> 00:06:01.240]   - Right.
[00:06:01.240 --> 00:06:06.200]   Yeah, it's a very early paper.
[00:06:09.440 --> 00:06:12.720]   So let's see, we talked about bi-directional.
[00:06:12.720 --> 00:06:22.280]   And then, yeah, so it's fine-tuned versus feature-based.
[00:06:22.280 --> 00:06:25.240]   And then they show the effectiveness on BERT
[00:06:25.240 --> 00:06:28.360]   on 11 different NLP tasks.
[00:06:28.360 --> 00:06:36.280]   I guess one call out on the related work is just ELMo.
[00:06:36.600 --> 00:06:39.680]   So ELMo was another model.
[00:06:39.680 --> 00:06:41.600]   I believe it was also by Google.
[00:06:41.600 --> 00:06:45.840]   If anyone knows for sure, feel free to correct.
[00:06:45.840 --> 00:06:50.840]   But they used different representations
[00:06:50.840 --> 00:06:55.320]   for the same word in different contexts.
[00:06:55.320 --> 00:07:00.320]   And so like the word stick, for example,
[00:07:00.320 --> 00:07:05.760]   you could say that means I'm going to chase a dog
[00:07:05.760 --> 00:07:07.960]   with a stick, or it could be like,
[00:07:07.960 --> 00:07:11.840]   hey, let's stick to the material that we're talking about,
[00:07:11.840 --> 00:07:14.840]   or maybe some other words or contexts.
[00:07:14.840 --> 00:07:19.760]   And so those can mean different things, the same token.
[00:07:19.760 --> 00:07:20.640]   And because of that,
[00:07:20.640 --> 00:07:23.320]   they want to use like different representations,
[00:07:23.320 --> 00:07:26.160]   even though it's the same word in English.
[00:07:26.160 --> 00:07:30.120]   And so BERT leverages that feature as well.
[00:07:30.120 --> 00:07:33.040]   - So slight correction.
[00:07:33.040 --> 00:07:37.160]   ELMo is from Allen Institute and University of Washington.
[00:07:37.160 --> 00:07:38.720]   And then further context.
[00:07:38.720 --> 00:07:42.440]   So one of the best BERT adaptations,
[00:07:42.440 --> 00:07:44.680]   I think in 2019 was Roberta.
[00:07:44.680 --> 00:07:48.440]   Roberta is like BERT, but make it good and bigger.
[00:07:48.440 --> 00:07:51.320]   And it was also from the same team
[00:07:51.320 --> 00:07:54.320]   at University of Washington and Facebook, I think.
[00:07:54.320 --> 00:07:57.480]   But ELMo was just, yeah, it wasn't from Google,
[00:07:57.480 --> 00:07:58.480]   but same thing.
[00:07:58.480 --> 00:08:00.640]   It went from like one hot encoding bag of words
[00:08:00.640 --> 00:08:02.760]   to ELMo was really popular
[00:08:02.760 --> 00:08:05.160]   for like a bunch of Kaggle competitions
[00:08:05.160 --> 00:08:06.920]   where you needed good embeddings.
[00:08:06.920 --> 00:08:09.720]   And then for embeddings, it's not Google.
[00:08:09.720 --> 00:08:15.520]   - Great, thanks for the additional info.
[00:08:15.520 --> 00:08:25.840]   So let's take a stop here to look at this diagram.
[00:08:27.480 --> 00:08:32.480]   So this is the BERT like architecture.
[00:08:32.480 --> 00:08:38.080]   Essentially, you can see this pink row down here
[00:08:38.080 --> 00:08:39.480]   is a set of tokens.
[00:08:39.480 --> 00:08:44.320]   Let me see if I can zoom in here.
[00:08:44.320 --> 00:08:56.360]   I'm not sure why I can't zoom in while I'm sharing,
[00:08:56.360 --> 00:09:01.360]   but anyway, this token is a classifier token.
[00:09:01.360 --> 00:09:06.800]   And then you see like tokens one through N.
[00:09:06.800 --> 00:09:10.640]   So those are the first sentence.
[00:09:10.640 --> 00:09:13.160]   And then there's a separator token.
[00:09:13.160 --> 00:09:18.000]   And then there's another token one through M.
[00:09:18.000 --> 00:09:22.200]   And the reason that BERT has this structure
[00:09:22.200 --> 00:09:24.520]   is because one of the tasks it does
[00:09:24.520 --> 00:09:29.520]   is sentence classification.
[00:09:29.520 --> 00:09:32.600]   Basically, it can take two sentences
[00:09:32.600 --> 00:09:36.440]   and determine if one of the sentences
[00:09:36.440 --> 00:09:39.120]   seems like it follows the other one.
[00:09:39.120 --> 00:09:45.240]   And then you see, so this is a pre-trained model.
[00:09:45.240 --> 00:09:49.280]   So this is trained on, well, what was at that point
[00:09:49.280 --> 00:09:51.640]   a large amount of text.
[00:09:51.640 --> 00:09:55.120]   And then these are the different fine tunes of that model
[00:09:55.120 --> 00:09:58.600]   for different benchmarks, essentially.
[00:09:58.600 --> 00:10:02.240]   And FYI, I'm not looking at the chat.
[00:10:02.240 --> 00:10:04.800]   So if there's anything in there, I'm not seeing it.
[00:10:04.800 --> 00:10:07.160]   I can answer questions later
[00:10:07.160 --> 00:10:10.040]   or if someone just wants to unmute, feel free.
[00:10:10.040 --> 00:10:14.720]   So here's those two tokens I mentioned
[00:10:14.720 --> 00:10:16.840]   that you might not have been able to see,
[00:10:16.840 --> 00:10:20.200]   the classifier token and then the separator token.
[00:10:20.200 --> 00:10:24.360]   The classifier token tells it like what task
[00:10:24.360 --> 00:10:26.560]   it's supposed to be performing.
[00:10:26.560 --> 00:10:31.640]   So they talk about how there's two steps in the framework,
[00:10:31.640 --> 00:10:33.840]   retraining and fine tuning.
[00:10:33.840 --> 00:10:38.000]   Probably a lot of people are familiar with that.
[00:10:38.000 --> 00:10:41.560]   So I won't go into too much detail.
[00:10:41.560 --> 00:10:43.960]   This is interesting.
[00:10:43.960 --> 00:10:48.960]   So this is 2019 numbers of what was at that point
[00:10:49.640 --> 00:10:51.080]   a large model.
[00:10:51.080 --> 00:10:56.080]   You can see the base model was 110 million parameters
[00:10:56.080 --> 00:10:58.680]   and the large model, which was,
[00:10:58.680 --> 00:11:02.240]   I saw someone referred to as like gigantic
[00:11:02.240 --> 00:11:06.040]   or like unbelievably large or something like that,
[00:11:06.040 --> 00:11:10.600]   is 340 million parameters, which is, you know,
[00:11:10.600 --> 00:11:15.600]   like 5% the size of like a LLAMA7B
[00:11:15.600 --> 00:11:18.000]   or something along those lines.
[00:11:18.000 --> 00:11:21.600]   So what at the time seemed very large,
[00:11:21.600 --> 00:11:25.160]   in retrospect, isn't really.
[00:11:25.160 --> 00:11:29.440]   And that also goes for the training data.
[00:11:29.440 --> 00:11:34.640]   Do they have it in here?
[00:11:34.640 --> 00:11:40.800]   Well, there's two training sets that they used for it.
[00:11:40.800 --> 00:11:45.880]   One was a, all of Wikipedia, the English version,
[00:11:46.320 --> 00:11:48.560]   which was like 800 million words.
[00:11:48.560 --> 00:11:51.560]   And then I think a set of books,
[00:11:51.560 --> 00:11:53.720]   which was 2.5 billion words.
[00:11:53.720 --> 00:11:58.680]   And again, those data sizes,
[00:11:58.680 --> 00:12:01.160]   while they could have been large for the time,
[00:12:01.160 --> 00:12:03.920]   currently are relatively small.
[00:12:03.920 --> 00:12:08.240]   Typically, like at least for frontier models,
[00:12:08.240 --> 00:12:12.880]   you're talking about low trillions of tokens to train them.
[00:12:13.760 --> 00:12:18.760]   So here they talk about what I mentioned earlier
[00:12:18.760 --> 00:12:23.240]   about having a pair of sentences
[00:12:23.240 --> 00:12:25.360]   where you can have a question and answer
[00:12:25.360 --> 00:12:29.280]   in one token sequence with the separator token
[00:12:29.280 --> 00:12:30.200]   in the middle.
[00:12:30.200 --> 00:12:39.800]   And so let's go down and talk about pre-training.
[00:12:39.800 --> 00:12:44.800]   And here we get to their answer to the left-to-right
[00:12:44.800 --> 00:12:53.280]   versus right-to-left dilemma.
[00:12:53.280 --> 00:12:56.160]   So because it's bi-directional,
[00:12:56.160 --> 00:13:01.160]   potentially each word could see itself in the future.
[00:13:01.160 --> 00:13:04.600]   And so what they ended up doing
[00:13:04.600 --> 00:13:09.600]   was to mask 15% of the words
[00:13:10.600 --> 00:13:15.600]   so instead of having the actual word in the sequence,
[00:13:15.600 --> 00:13:18.200]   they have this mask token.
[00:13:18.200 --> 00:13:22.720]   And then they try to predict that word
[00:13:22.720 --> 00:13:24.920]   either going forward or backward
[00:13:24.920 --> 00:13:31.760]   and do the, you know, score the training on that.
[00:13:31.760 --> 00:13:38.520]   They do have an issue that, let's see,
[00:13:39.520 --> 00:13:43.240]   that since the mask token does not appear
[00:13:43.240 --> 00:13:44.560]   during fine tuning,
[00:13:44.560 --> 00:13:51.200]   they have to compensate for that in the pre-training step.
[00:13:51.200 --> 00:13:52.320]   So in order to do that,
[00:13:52.320 --> 00:13:55.200]   they don't always replace the mask words
[00:13:55.200 --> 00:13:57.320]   with this mask token.
[00:13:57.320 --> 00:14:02.120]   They do 80% of the time, 10% of the time,
[00:14:02.120 --> 00:14:04.480]   they just stick in a random token
[00:14:04.480 --> 00:14:06.600]   or anything in the vocabulary.
[00:14:06.600 --> 00:14:08.800]   And then another 10% of the time,
[00:14:08.800 --> 00:14:11.160]   they just leave it unchanged.
[00:14:11.160 --> 00:14:15.000]   And so that helps during the fine tuning stage
[00:14:15.000 --> 00:14:19.320]   so that fine tuning doesn't expect these mask tokens
[00:14:19.320 --> 00:14:20.520]   like all the time.
[00:14:20.520 --> 00:14:25.720]   And then the other task they give it during pre-training
[00:14:25.720 --> 00:14:28.640]   is this next sentence prediction.
[00:14:28.640 --> 00:14:33.400]   That is the, you saw the two sentences
[00:14:35.320 --> 00:14:37.080]   and whether they are related.
[00:14:37.080 --> 00:14:42.080]   So that is, you know,
[00:14:42.080 --> 00:14:47.400]   that's the sentence A, separator, sentence B.
[00:14:47.400 --> 00:14:56.120]   And then they have the 50% split of training data
[00:14:56.120 --> 00:15:01.960]   where half of it is labeled as is next
[00:15:01.960 --> 00:15:04.360]   and half of it is labeled as not next.
[00:15:04.360 --> 00:15:09.360]   So you can imagine a initial sentence
[00:15:09.360 --> 00:15:13.040]   of I walked down to the store.
[00:15:13.040 --> 00:15:17.360]   One that might be marked as is next
[00:15:17.360 --> 00:15:20.840]   is something like I bought a burrito
[00:15:20.840 --> 00:15:24.960]   and something that might be not next is,
[00:15:24.960 --> 00:15:27.160]   you know, salamanders have many spots
[00:15:27.160 --> 00:15:28.320]   or something like that.
[00:15:28.320 --> 00:15:32.120]   And so this part of the pre-training figures out
[00:15:32.120 --> 00:15:35.000]   which of those sentences follow each other.
[00:15:35.000 --> 00:15:41.080]   Here, oh, okay.
[00:15:41.080 --> 00:15:42.880]   So here's what I was talking about earlier,
[00:15:42.880 --> 00:15:44.600]   the book corpus, 800 million words.
[00:15:44.600 --> 00:15:46.680]   And I guess I had them flipped Wikipedia
[00:15:46.680 --> 00:15:49.360]   as the 2.5 billion words.
[00:15:49.360 --> 00:15:58.360]   And this shows how the input representation.
[00:15:58.360 --> 00:16:02.800]   So there's a couple of different layers
[00:16:02.800 --> 00:16:04.960]   and they just add these layers up
[00:16:04.960 --> 00:16:07.320]   to come up with the input.
[00:16:07.320 --> 00:16:12.320]   So the top layer here is the token.
[00:16:12.320 --> 00:16:16.960]   So it's the vector representation of that particular word.
[00:16:16.960 --> 00:16:20.080]   The next is the segment.
[00:16:20.080 --> 00:16:24.840]   So this splits it up between sentence A and sentence B.
[00:16:24.840 --> 00:16:28.680]   Each one of those has a different factor
[00:16:28.680 --> 00:16:31.840]   that gets added into the input
[00:16:31.840 --> 00:16:34.520]   to help the model distinguish between them.
[00:16:34.520 --> 00:16:36.680]   And then finally as the positional embedding.
[00:16:36.680 --> 00:16:41.680]   So each place in the sequence,
[00:16:41.680 --> 00:16:46.600]   it's its own value that when it's added
[00:16:46.600 --> 00:16:51.600]   to the other layers helps the model to distinguish
[00:16:52.600 --> 00:16:57.600]   like does my come before dog or vice versa.
[00:16:57.600 --> 00:17:08.520]   Okay, and then they talk about a bunch
[00:17:08.520 --> 00:17:12.960]   of different benchmarks.
[00:17:12.960 --> 00:17:18.800]   We'll just maybe take a look at some of the results
[00:17:18.800 --> 00:17:21.480]   and then continue forward.
[00:17:21.480 --> 00:17:22.840]   I'll also look at the,
[00:17:22.840 --> 00:17:27.280]   let me take a break to look at the chat here.
[00:17:27.280 --> 00:17:31.040]   - Another serious questions in chat.
[00:17:31.040 --> 00:17:33.280]   I guess Sam had one.
[00:17:33.280 --> 00:17:35.640]   Have there been revisiting
[00:17:35.640 --> 00:17:37.560]   since the weird now pre-training tasks
[00:17:37.560 --> 00:17:39.320]   that were used to invert?
[00:17:39.320 --> 00:17:40.840]   Or has this all been done
[00:17:40.840 --> 00:17:43.000]   and it's somewhat of a shut book
[00:17:43.000 --> 00:17:45.880]   and next token prediction is all you need?
[00:17:45.880 --> 00:17:47.440]   Any thoughts, comments?
[00:17:49.520 --> 00:17:53.960]   - So I didn't look at any of the following BERT papers
[00:17:53.960 --> 00:17:58.440]   like Roberta or the Berta for this.
[00:17:58.440 --> 00:18:03.280]   So I'm not sure if there's anyone else on the call
[00:18:03.280 --> 00:18:06.720]   who knows would be happy for a contribution.
[00:18:06.720 --> 00:18:14.880]   - Yeah, we had a slight follow-up in the comments there.
[00:18:14.880 --> 00:18:18.200]   Basically for encoder decoder stuff, it still makes sense.
[00:18:18.200 --> 00:18:20.640]   And a lot of my takeaway from this paper
[00:18:20.640 --> 00:18:22.200]   when I read it like years ago
[00:18:22.200 --> 00:18:26.760]   was they had really interesting pre-training tasks.
[00:18:26.760 --> 00:18:28.480]   And if you look at it from a lens
[00:18:28.480 --> 00:18:30.040]   of what they're trying to do,
[00:18:30.040 --> 00:18:31.600]   it's actually pretty useless, right?
[00:18:31.600 --> 00:18:35.960]   Like next token prediction is still useful to generate words
[00:18:35.960 --> 00:18:38.760]   but something like predicting sentence order
[00:18:38.760 --> 00:18:41.280]   is sentence one or sentence two.
[00:18:41.280 --> 00:18:44.160]   Should sentence one come before sentence two or whatever?
[00:18:44.160 --> 00:18:45.960]   It's not really useful, right?
[00:18:45.960 --> 00:18:49.160]   There's never a time where there's people trying to predict
[00:18:49.160 --> 00:18:51.280]   which sentence came before the other
[00:18:51.280 --> 00:18:54.880]   but it does really teach a model conceptually
[00:18:54.880 --> 00:18:57.320]   like what word order is, right?
[00:18:57.320 --> 00:18:59.800]   So there's these words and there's these words.
[00:18:59.800 --> 00:19:01.800]   You have to understand should these set of words
[00:19:01.800 --> 00:19:03.080]   come before these set of words.
[00:19:03.080 --> 00:19:05.640]   So that helps in the classification task
[00:19:05.640 --> 00:19:08.240]   where you have to like group together words together.
[00:19:08.240 --> 00:19:13.240]   So in some sense for the tasks that BERT is trying to do
[00:19:13.240 --> 00:19:16.600]   it's trying to be a small efficient classification model
[00:19:16.600 --> 00:19:19.320]   as one of the tasks it's trying to do, right?
[00:19:19.320 --> 00:19:22.160]   It kind of makes sense to do these weird training objectives.
[00:19:22.160 --> 00:19:26.000]   So next token prediction or like masking of words
[00:19:26.000 --> 00:19:28.800]   is still like, there's not many use cases
[00:19:28.800 --> 00:19:30.600]   where you need to fill in the blank, right?
[00:19:30.600 --> 00:19:32.360]   We don't have like 500 words
[00:19:32.360 --> 00:19:33.880]   and you have to fill in one word
[00:19:33.880 --> 00:19:37.720]   but it does teach a model like over a billion words.
[00:19:37.720 --> 00:19:38.920]   If you start to understand
[00:19:38.920 --> 00:19:41.080]   what words go in between other words
[00:19:41.080 --> 00:19:42.800]   it's a good pre-training task
[00:19:42.800 --> 00:19:45.360]   and it helps with classification in general.
[00:19:45.360 --> 00:19:48.920]   So it's like, instead of having a very broad task
[00:19:48.920 --> 00:19:52.600]   of just predict next token and then extract,
[00:19:52.600 --> 00:19:54.600]   like abstract that out to eventually
[00:19:54.600 --> 00:19:57.720]   like get this emergent capability to do classification.
[00:19:57.720 --> 00:19:59.960]   This is like, here's 12 tasks
[00:19:59.960 --> 00:20:03.080]   that mimic understanding words very well.
[00:20:03.080 --> 00:20:06.200]   You're a small model, use all this to do classification
[00:20:06.200 --> 00:20:09.040]   but that concept is still applied
[00:20:09.040 --> 00:20:11.800]   for like current encoder decoder models
[00:20:11.800 --> 00:20:15.360]   and small models that are not just next token prediction.
[00:20:15.360 --> 00:20:19.000]   So basically if you dumb down the task
[00:20:19.000 --> 00:20:23.200]   to subsets of your like main goal, it's still very effective.
[00:20:23.200 --> 00:20:25.440]   And that's why like, if you take a step back
[00:20:25.440 --> 00:20:28.360]   and look at what Bert did, it makes no sense.
[00:20:28.360 --> 00:20:31.000]   Like Google doesn't need to spend millions of dollars
[00:20:31.000 --> 00:20:32.880]   to predict which sentence comes before
[00:20:32.880 --> 00:20:36.480]   or after another sentence, but it does help a small model
[00:20:36.480 --> 00:20:40.080]   that'll better learn embedding per se
[00:20:40.080 --> 00:20:42.120]   and abstract that to these tasks.
[00:20:42.120 --> 00:20:46.240]   - Yeah, agreed.
[00:20:46.240 --> 00:20:52.120]   Like the sentence, the sentence prediction didn't seem
[00:20:52.120 --> 00:20:53.960]   like you're right.
[00:20:53.960 --> 00:20:57.760]   There's not too many use cases where that would be helpful.
[00:20:57.760 --> 00:21:00.200]   I wonder if it does help the model
[00:21:00.200 --> 00:21:03.240]   to like figure out the relationships
[00:21:03.240 --> 00:21:08.240]   between words and ideas to some degree.
[00:21:09.120 --> 00:21:11.160]   - Yeah, that's pretty much the whole point.
[00:21:11.160 --> 00:21:13.360]   It should help the model better understand
[00:21:13.360 --> 00:21:17.680]   like breaking down the problem and understand word order.
[00:21:17.680 --> 00:21:20.640]   I think they also did something where they swapped words
[00:21:20.640 --> 00:21:23.360]   from different sentences or swap sentences, right?
[00:21:23.360 --> 00:21:27.720]   And like, that's even more useless in reality.
[00:21:27.720 --> 00:21:31.080]   Like in reality, there's not many times
[00:21:31.080 --> 00:21:32.840]   where you've got mixing of words
[00:21:32.840 --> 00:21:34.960]   from different chunks of sentences.
[00:21:34.960 --> 00:21:37.600]   But once again, it helps the model generalize
[00:21:37.600 --> 00:21:39.160]   towards understanding sentences.
[00:21:39.160 --> 00:21:41.400]   So stuff like that.
[00:21:41.400 --> 00:21:43.680]   It's just, if you look at it in today's sense,
[00:21:43.680 --> 00:21:46.160]   if you have a niche topic that can benefit
[00:21:46.160 --> 00:21:49.240]   from encoder decoder, like small, small,
[00:21:49.240 --> 00:21:51.880]   like on-device active model,
[00:21:51.880 --> 00:21:55.240]   you wanna start to employ breaking down problems
[00:21:55.240 --> 00:21:56.800]   in this sort of methodology.
[00:21:56.800 --> 00:22:01.680]   But there's examples of papers that do this type of work.
[00:22:05.200 --> 00:22:06.800]   - Yeah, for sure.
[00:22:06.800 --> 00:22:09.960]   Would be great to follow on this presentation
[00:22:09.960 --> 00:22:14.080]   with some of the more recent work that kind of builds on it.
[00:22:14.080 --> 00:22:20.920]   - There are not many other questions in chat, by the way.
[00:22:20.920 --> 00:22:22.880]   - Okay, okay, cool.
[00:22:22.880 --> 00:22:28.360]   You can see from this, at least when it was released,
[00:22:28.360 --> 00:22:33.360]   BERT-Large was state-of-the-art, even beating out GPT-1.
[00:22:34.120 --> 00:22:35.960]   And ELMo.
[00:22:35.960 --> 00:22:40.360]   So at least at the time it was released,
[00:22:40.360 --> 00:22:43.000]   it was a very capable model.
[00:22:43.000 --> 00:22:47.240]   And then, I don't know.
[00:22:47.240 --> 00:22:49.880]   I'm gonna kind of skip through these,
[00:22:49.880 --> 00:22:53.760]   except maybe just to show the results
[00:22:53.760 --> 00:22:57.880]   of it being state-of-the-art in a lot of things.
[00:22:57.880 --> 00:23:02.560]   So the next section is ablation studies.
[00:23:02.560 --> 00:23:05.680]   So removing different parts of the model
[00:23:05.680 --> 00:23:09.800]   to see what the effects were.
[00:23:09.800 --> 00:23:15.720]   And let's see.
[00:23:15.720 --> 00:23:20.240]   So here's a couple of different ablations they did
[00:23:20.240 --> 00:23:25.240]   was they removed the next sentence prediction task.
[00:23:25.240 --> 00:23:29.760]   So I guess this is something we were just talking about,
[00:23:30.760 --> 00:23:34.320]   but they still kept the mask LM.
[00:23:34.320 --> 00:23:36.760]   And then the next thing they did
[00:23:36.760 --> 00:23:40.280]   is they only made it go left to right.
[00:23:40.280 --> 00:23:44.680]   And they also have the no sentence prediction.
[00:23:44.680 --> 00:23:50.480]   And so you can see the results from those attempts up here.
[00:23:50.480 --> 00:23:56.760]   The top is the kind of the standard model.
[00:23:57.280 --> 00:24:01.200]   And then if you look at the no next sentence prediction,
[00:24:01.200 --> 00:24:04.440]   it does lose a little bit.
[00:24:04.440 --> 00:24:06.120]   Oh, actually in QNLI,
[00:24:06.120 --> 00:24:08.560]   it looks like it has a significant loss,
[00:24:08.560 --> 00:24:11.280]   maybe in other tasks, much less.
[00:24:11.280 --> 00:24:16.080]   But then as you also take away the bidirectional,
[00:24:16.080 --> 00:24:19.000]   it becomes less capable.
[00:24:19.000 --> 00:24:22.200]   Looks like it kind of varies between tasks,
[00:24:22.200 --> 00:24:25.240]   like how much capability it loses.
[00:24:25.240 --> 00:24:28.640]   But this does show that there is some value
[00:24:28.640 --> 00:24:30.640]   to those components.
[00:24:30.640 --> 00:24:43.080]   Oh yeah, maybe this is what I was talking about,
[00:24:43.080 --> 00:24:43.920]   where they say,
[00:24:43.920 --> 00:24:44.760]   "We believe that this is the first work
[00:24:44.760 --> 00:24:45.920]   "to demonstrate convincingly
[00:24:45.920 --> 00:24:48.920]   "that scaling to extreme model sizes
[00:24:48.920 --> 00:24:50.480]   "also leads to large improvements
[00:24:50.480 --> 00:24:53.440]   "on a very small scale task."
[00:24:53.440 --> 00:24:55.720]   This is kind of like the bidder lesson,
[00:24:55.720 --> 00:24:58.680]   but maybe a little bit exaggerated
[00:24:58.680 --> 00:25:01.640]   as far as the extreme model size at this point.
