
[00:00:00.320 --> 00:00:15.440]   All right.
[00:07:36.180 --> 00:07:39.280]   What kind of portfolio of tools should we develop for our agents?
[00:07:39.280 --> 00:07:40.980]   And so forth.
[00:07:40.980 --> 00:07:45.340]   And so the idea is, you know, if you have a bunch of queries that users are putting in,
[00:07:45.340 --> 00:07:49.500]   or even a couple of hundred of conversations, it's pretty good to just look at everything
[00:07:49.500 --> 00:07:50.500]   manually, right?
[00:07:50.500 --> 00:07:55.100]   Think very carefully about each interaction, and then only use these models when they make
[00:07:55.100 --> 00:07:56.100]   sense.
[00:07:56.100 --> 00:07:59.160]   And then oftentimes, if I say that, they can say, you know, what if we just put everything
[00:07:59.160 --> 00:08:00.160]   in O3?
[00:08:00.160 --> 00:08:04.000]   And then here, generally, only use the language models if you think you're not smarter than
[00:08:04.000 --> 00:08:06.100]   the language model.
[00:08:06.100 --> 00:08:10.760]   Then, when you have a lot of users and an actual good product, you might get thousands
[00:08:10.760 --> 00:08:13.160]   of queries, or tens of thousands of conversations.
[00:08:13.160 --> 00:08:17.160]   And now, you run into an issue where there's too much volume to manually review.
[00:08:17.160 --> 00:08:20.620]   There's too much detail in the conversations, and you're not really going to be the expert
[00:08:20.620 --> 00:08:24.760]   that can actually figure out what is useful and what is good.
[00:08:24.760 --> 00:08:29.040]   And ultimately, with these long conversations, with tool calls and chains and reasoning steps,
[00:08:29.040 --> 00:08:32.520]   these outputs are now really hard to scan and really hard to understand.
[00:08:32.520 --> 00:08:36.280]   But there's still a lot of value in these conversations, right?
[00:08:36.280 --> 00:08:41.000]   If you use a chat bot, whether it's in cursor or any kind of, like, cloud code system, oftentimes,
[00:08:41.000 --> 00:08:44.960]   you do say things like, try again, this is not really what I meant, you know, be less lazy
[00:08:44.960 --> 00:08:50.380]   next time, it turns out a lot of the feedback you give is in those conversations, right?
[00:08:50.380 --> 00:08:54.560]   We could build things like feedback widgets or thumbs up or thumbs down, but a lot of the
[00:08:54.560 --> 00:08:57.060]   information exists in those conversations.
[00:08:57.060 --> 00:09:02.760]   And the frustration and the retry patterns that exist can't be extracted from those conversations.
[00:09:02.760 --> 00:09:07.240]   And the idea is that the data really already exists in this conversation.
[00:09:07.240 --> 00:09:11.360]   We think of a simple example outside, in a different industry, you know, we can imagine the analogy
[00:09:11.360 --> 00:09:12.360]   of marketing, right?
[00:09:12.360 --> 00:09:15.080]   Maybe we run our evals, and the number is 0.5.
[00:09:15.080 --> 00:09:17.280]   I don't really know what that means.
[00:09:17.280 --> 00:09:22.320]   Factuality is 0.6, I don't know if that's good or bad, is 0.5, the average, who knows?
[00:09:22.320 --> 00:09:28.180]   But imagine we run a marketing campaign, and our, you know, ad metric, or our KPI is 0.5.
[00:09:28.180 --> 00:09:29.180]   There's not much we can do.
[00:09:29.180 --> 00:09:34.740]   But if we realize that 80% of our users are under 35, and 20% are over, and we realize that
[00:09:34.740 --> 00:09:38.860]   the younger audience performs well, and the older audience performs poorly, what we've done
[00:09:38.860 --> 00:09:42.040]   is that we've just drawn a line in the sand on who our users are.
[00:09:42.040 --> 00:09:43.040]   And now we can make a decision.
[00:09:43.040 --> 00:09:48.040]   Do we want to double down on marketing to a younger audience, or do we want to figure out
[00:09:48.040 --> 00:09:52.480]   why we aren't successfully marketing to the older population, right?
[00:09:52.480 --> 00:09:56.540]   Do I find more podcasts to market to, you know, should I run a Super Bowl ad?
[00:09:56.540 --> 00:10:01.360]   Now just by drawing a line in the sand and deciding which segment to target, we can now make decisions
[00:10:01.360 --> 00:10:02.900]   on what to improve.
[00:10:02.900 --> 00:10:08.620]   Whereas just making them ads better is a sort of very generic sentiment that people can have.
[00:10:08.620 --> 00:10:12.540]   And so one of the best ways of doing that is effectively just extracting some kind of data
[00:10:12.540 --> 00:10:16.800]   out of these conversations in some structured way, and just doing very traditional data analysis.
[00:10:16.800 --> 00:10:21.840]   And so here we have a kind of object that says, I want to extract a summary of what has happened,
[00:10:21.840 --> 00:10:26.720]   maybe some tool that it's used, maybe the errors that we've noticed, the conversations that happened,
[00:10:26.720 --> 00:10:30.760]   maybe some metric for satisfaction, maybe some metric for frustration.
[00:10:30.760 --> 00:10:34.300]   The idea is that we can build this portfolio of metadata that we can extract.
[00:10:34.300 --> 00:10:38.920]   And then what we can do is we can embed this, find clusters, identify segments, and then start
[00:10:38.920 --> 00:10:42.800]   testing our hypotheses.
[00:10:42.800 --> 00:10:47.140]   And so what we might want to do is sort of build this extraction, put it into an LLM, get
[00:10:47.140 --> 00:10:50.220]   this data back out, and just start doing very traditional data analysis.
[00:10:50.220 --> 00:10:55.080]   No different than any kind of product engineer or any kind of data scientist.
[00:10:55.080 --> 00:10:56.080]   So this tends to work quite well.
[00:10:56.080 --> 00:11:00.080]   You know, if you look at some of the things that Anthropoc Clio did, they basically found
[00:11:00.080 --> 00:11:08.260]   that, you know, code use was 40x more represented by cloud users than by, you know, GDP value creation.
[00:11:08.260 --> 00:11:10.080]   They go, okay, maybe code is like a good avenue.
[00:11:10.080 --> 00:11:14.820]   And obviously that's not the really case, but the idea is that by understanding how your users
[00:11:14.820 --> 00:11:17.760]   develop a product, you can now figure out where to invest your time.
[00:11:17.760 --> 00:11:22.780]   And so this is why we built a library called Cura that allows us to summarize conversations,
[00:11:22.780 --> 00:11:28.480]   cluster them, build hierarchies of these clusters, and ultimately allow us to compare our evals
[00:11:28.480 --> 00:11:30.380]   across different KPIs.
[00:11:30.380 --> 00:11:34.840]   Again, so now, you know, if we have factuality as 0.6, that's really hard, but if it turns
[00:11:34.840 --> 00:11:39.600]   out that factuality is really low for queries that require time filters, right, or factuality
[00:11:39.600 --> 00:11:44.500]   is really high when queries revolve on, you know, contract search, now we know something's
[00:11:44.500 --> 00:11:47.640]   happening in one area, something's happening in another, and then we can make a decision
[00:11:47.640 --> 00:11:51.020]   on what to do and how to invest our time.
[00:11:51.020 --> 00:11:52.620]   And the pipeline is pretty simple.
[00:11:52.620 --> 00:11:57.580]   We have models to do summarization, models to do clustering, and models that do this aggregation
[00:11:57.580 --> 00:11:59.460]   step.
[00:11:59.460 --> 00:12:02.460]   And so what you might want to do is just load in some conversations, and here we've made
[00:12:02.460 --> 00:12:09.660]   some fake data set, fake conversations from Gemini, and the idea is that first, we can
[00:12:09.660 --> 00:12:14.680]   extract some kind of summary model where there's topics that we discuss, frustrations, errors,
[00:12:14.680 --> 00:12:16.580]   et cetera.
[00:12:16.580 --> 00:12:19.960]   We can then cluster them to find cohesive groups, and here we can find maybe, you know,
[00:12:19.960 --> 00:12:25.960]   some of the conversations are around data visualization, SEO content requests and authentication errors,
[00:12:25.960 --> 00:12:29.260]   and now we get some idea of how people are using the software.
[00:12:29.260 --> 00:12:32.960]   And then as we group them together, we realize, okay, really there's some themes around technical
[00:12:32.960 --> 00:12:33.960]   support.
[00:12:33.960 --> 00:12:35.340]   Does the agent have tools that can do this well?
[00:12:35.340 --> 00:12:36.340]   Does the agent have tools that can do this well?
[00:12:36.340 --> 00:12:37.340]   Do we have tools to debug these database issues?
[00:12:37.340 --> 00:12:38.340]   Do we have tools to debug authentication?
[00:12:38.340 --> 00:12:41.340]   Do we have tools to do data visualization?
[00:12:41.340 --> 00:12:43.340]   That's something that's going to be very useful.
[00:12:43.340 --> 00:12:49.720]   And at the end of this pipeline, we're sort of presented with these printouts of clusters.
[00:12:49.720 --> 00:12:50.720]   Right?
[00:12:50.720 --> 00:12:54.100]   And so we're going to talk about how the chatbot is being used at a higher level, you know,
[00:12:54.100 --> 00:12:57.100]   SEO content, data analysis, and a lower level.
[00:12:57.100 --> 00:12:59.100]   You know, maybe it's blog posts and marketing.
[00:12:59.100 --> 00:13:03.100]   And just by looking at this, we might have some hypothesis as to what kind of tools we should
[00:13:03.100 --> 00:13:07.100]   build, how we should, you know, develop, you know, even our marketing or how we can think
[00:13:07.100 --> 00:13:08.100]   of changing our prompts.
[00:13:08.100 --> 00:13:09.600]   We can do a ton of these kinds of things.
[00:13:09.600 --> 00:13:14.900]   And this is because the ultimate goal is to understand what to do next, right?
[00:13:14.900 --> 00:13:18.900]   You do the segmentation to figure out what kind of new hypotheses that you can have.
[00:13:18.900 --> 00:13:23.000]   And then you can make these targeted investments within these certain segments.
[00:13:23.000 --> 00:13:27.140]   If it turns out that, you know, 80% of the conversation that I'm having with the chatbot
[00:13:27.140 --> 00:13:31.120]   is around SEO optimization, maybe I should have some integrations that do that.
[00:13:31.120 --> 00:13:34.860]   Maybe I should reevaluate the prompts or have other workflows to make that use case more
[00:13:34.860 --> 00:13:35.860]   powerful for them.
[00:13:35.860 --> 00:13:41.000]   And again, the goal really is to just make a portfolio of tools, of metadata filters,
[00:13:41.000 --> 00:13:44.920]   of data sources that allows the agent to do its job.
[00:13:44.920 --> 00:13:48.280]   And oftentimes, the solution isn't really making the AI better.
[00:13:48.280 --> 00:13:51.400]   It's really just providing the right infrastructure, right?
[00:13:51.400 --> 00:13:55.120]   A lot of times, if you find that a lot of queries use time filters and you just didn't add
[00:13:55.120 --> 00:13:58.880]   a time filter, that can probably improve your evals by quite a bit, right?
[00:13:58.880 --> 00:14:02.960]   We have situations where we wanted to figure out if contracts were signed, and if we just
[00:14:02.960 --> 00:14:07.020]   extracted one more step in the OCR process, now we can do these large-scale filters and
[00:14:07.020 --> 00:14:10.100]   figure out, you know, what data exists.
[00:14:10.100 --> 00:14:14.020]   And generally, the practice of improving your applications is pretty straightforward, right?
[00:14:14.020 --> 00:14:18.300]   We all know to define evals, but not everyone that I work with has really been thinking about
[00:14:18.300 --> 00:14:22.100]   something like finding clusters and comparing KPIs across clusters.
[00:14:22.100 --> 00:14:27.160]   But once you do, then you can start making decisions on what to build, what to fix, and what to ignore.
[00:14:27.160 --> 00:14:30.240]   Maybe you have a two set of quadrants, right?
[00:14:30.240 --> 00:14:37.240]   Maybe we have low usage and high usage, and you have high-performing evals and low-performing evals, right?
[00:14:37.240 --> 00:14:43.240]   If a large portion of your population are using tools that you are bad at, that is clearly the thing you have to fix.
[00:14:43.240 --> 00:14:48.300]   But if a large proportion of people are using tools that you're good at, that's totally fine.
[00:14:48.300 --> 00:14:53.980]   If a small proportion of people do something that you're good at, maybe there's some product changes you didn't make.
[00:14:53.980 --> 00:14:55.800]   Maybe it's about educating the user.
[00:14:55.800 --> 00:15:01.300]   Maybe it's adding some, you know, pre-filler or automated questions to show them that we can do these kind of capabilities.
[00:15:01.300 --> 00:15:06.900]   And if there are things that nobody does, but when we do them, they're bad, maybe that's a one-line change in the prompt that says,
[00:15:06.900 --> 00:15:09.560]   "Sorry, I can't help you. Go talk to your manager," right?
[00:15:09.560 --> 00:15:15.440]   These are now decisions that we can make just by looking at, you know, what proportion of our conversations are of a certain category,
[00:15:15.440 --> 00:15:18.340]   and whether or not we can do well in that category.
[00:15:18.340 --> 00:15:23.560]   And as you understand this, then you can go out, you can build these classifiers to identify these specific intents.
[00:15:23.560 --> 00:15:26.300]   Maybe you build routers, maybe you build more tools.
[00:15:26.300 --> 00:15:30.440]   And then you can start doing things like monitoring and having the ability to do these group buys.
[00:15:30.440 --> 00:15:36.200]   Right, so now you have different categories of query types over time, and you can just see what the performance looks like.
[00:15:36.200 --> 00:15:41.400]   Right, where 0.5 doesn't really mean anything, but whether or not a metric changes over time across a certain category
[00:15:41.400 --> 00:15:44.580]   can determine a lot about how your product is being used.
[00:15:44.580 --> 00:15:49.440]   By doing this, we figured out that, you know, some customers, when we onboard them, they use our applications very differently
[00:15:49.440 --> 00:15:53.900]   than our historical customers, and we can now then make other investments in how to improve these systems.
[00:15:53.900 --> 00:15:59.080]   And ultimately, the goal is to create a data-driven way of defining the product roadmap.
[00:15:59.080 --> 00:16:06.840]   Often times, it is research that leads to better products now, rather than products justifying some research that we don't know is possible.
[00:16:06.840 --> 00:16:15.840]   And again, the real marker of progress is your ability to have a high-quality hypothesis, and your ability to test a lot of these hypotheses.
[00:16:15.840 --> 00:16:19.840]   And if you segment, you can make clearer hypotheses.
[00:16:19.840 --> 00:16:22.600]   If you use faster evals, you can run more experiments.
[00:16:22.600 --> 00:16:27.600]   And by having this continuous feedback through monitoring, this is how you actually build a product.
[00:16:27.600 --> 00:16:32.600]   This is, regardless of being an AI product, this is just how you build a product.
[00:16:32.600 --> 00:16:40.360]   And so if you look at the takeaways, really, when you think about measuring the inputs, you really want to think about not using public benchmarks, building evals on your data,
[00:16:40.360 --> 00:16:48.120]   and focusing first on retrieval, because that is the only thing an LLM improvement won't fix.
[00:16:48.120 --> 00:16:56.120]   If the retrieval is bad, the LLM will still get better over time, but you need to earn the right to sort of tinker with the LLM by having good retrieval.
[00:16:56.120 --> 00:17:01.880]   And then lastly, if you don't have any customers or any users, you can start thinking about synthetic data as a way of augmenting that.
[00:17:01.880 --> 00:17:04.880]   And once you have users, look at your data as well.
[00:17:04.880 --> 00:17:15.880]   Look at the outputs, extract structure from these conversations, understand how many conversations are happening, how often are tools being misused, what are the errors, and how are people frustrated.
[00:17:15.880 --> 00:17:24.880]   And by doing that, you can do this population-level data analysis, find these similar clusters, and have some kind of impact-weighted understanding of what the tools are.
[00:17:24.880 --> 00:17:29.640]   It's one thing to say, you know, maybe we should build more tools for data visualization.
[00:17:29.640 --> 00:17:38.480]   It's another thing to say, hey boss, 40% of our conversations are around data visualization, and the code engine or the code execution can't really do that well.
[00:17:38.480 --> 00:17:42.000]   Maybe we should build two more tools for plotting, and then see if that's worth it.
[00:17:42.000 --> 00:17:49.640]   And you can justify that, because we know there's a 40% of the population that's using data visualization, and we do that, you know, maybe only 10% of the time.
[00:17:49.640 --> 00:17:51.800]   Right, this is impact-weighted.
[00:17:51.800 --> 00:17:58.560]   And ultimately, as you compare these KPIs across these clusters, you can just make better decisions across your entire product development process.
[00:17:58.560 --> 00:18:05.320]   So again, start small, look for structure, understand that structure, and start comparing your KPIs.
[00:18:05.320 --> 00:18:09.560]   And once you can do that, you can make decisions on what to fix, what to build, and what to ignore.
[00:18:09.560 --> 00:18:14.320]   If you want to find more resources, feel free to check out these QR codes.
[00:18:14.320 --> 00:18:18.080]   The first one is the Chroma Cloud to understand a little bit more about the research.
[00:18:18.080 --> 00:18:22.080]   And the second one is actually a set of notebooks that we've built out that go through this process.
[00:18:22.080 --> 00:18:29.080]   So we load the Waste and Biases conversations, we do this cluster analysis, and we show you how we can use that to make better product decisions.
[00:18:29.080 --> 00:18:35.080]   So there's three Jupyter notebooks in that repo, check them out on your own time, and thank you for listening.
[00:18:35.080 --> 00:18:41.840]   We do have time for one quick question, and of course, outside as well.
[00:18:41.840 --> 00:18:42.840]   Perfect. Thank you.
[00:18:42.840 --> 00:18:43.840]   Thank you.
[00:18:43.840 --> 00:18:46.600]   If anybody wants to grab the mic there, and over there.
[00:18:46.600 --> 00:18:51.600]   Yep.
[00:18:51.600 --> 00:18:53.600]   You're famous for spicy cake.
[00:18:53.600 --> 00:18:55.600]   What's the spice you take today?
[00:18:55.600 --> 00:19:00.600]   It's not KPI, by the way, that's not the spice you take.
[00:19:00.600 --> 00:19:08.600]   I think more agent businesses should try to price and price their services on the work done than the tokens used.
[00:19:08.600 --> 00:19:15.360]   So, yeah, price on success, price on value, very unrelated to this talk, but, you know.
[00:19:15.360 --> 00:19:20.120]   We'll see you next time.
[00:19:20.120 --> 00:19:50.100]   We'll be right back.

