
[00:00:00.000 --> 00:00:06.460]   I'm Cal Newport, and this is In Depth, a semi-regular series in which I talk to
[00:03:09.200 --> 00:03:16.080]   with Tim Ferriss. All right, Tim, thank you for joining me. Always a pleasure to talk with you.
[00:03:16.080 --> 00:03:19.840]   Yeah, yeah. Lovely to have the band back together.
[00:03:19.840 --> 00:03:24.980]   That's the way to think about it. So, I mean, I want to open with the reason why we originally
[00:03:24.980 --> 00:03:30.740]   thought about talking, which is you made a game. Yeah, WTF. What's happening here? I'm holding this
[00:03:30.740 --> 00:03:36.860]   up to the camera. Yeah. Coyote. Walk us through, just to set the foundation, just give us the basics
[00:03:36.860 --> 00:03:41.320]   here, what type of game it is, who you did this with, and where is it, just so we know where we're
[00:03:41.320 --> 00:03:47.160]   on the same page. Sure. So the basics are, and there's a lot of backstory, but I grew up kind of saved
[00:03:47.160 --> 00:03:52.160]   by games, mostly very complex games like Dungeons and Dragons. I still have all of my materials
[00:03:52.160 --> 00:04:00.360]   downstairs from when I was a kid. And I, for a host of reasons, felt like games, analog, social
[00:04:00.360 --> 00:04:09.880]   is just every year. As kind of digital goes vertical, the counterbalance of analog and social is becoming
[00:04:09.880 --> 00:04:16.360]   more and more important. So I thought, you know what? Maybe I should make a game. And it is a fast,
[00:04:16.360 --> 00:04:21.780]   casual, social game. Made it with exploding kittens because I became close friends with Elan Lee,
[00:04:21.780 --> 00:04:29.860]   used my podcast to sort of test the waters. And they've made a whole host of great games and
[00:04:29.860 --> 00:04:35.160]   tested a few dozen games with my friends and came across Poetry for Neanderthals, which is an
[00:04:35.160 --> 00:04:40.520]   exceptional game. Maybe it's just by me and my dumb friends, but that's the one they wanted to play over
[00:04:40.520 --> 00:04:44.140]   and over again. And I was like, well, who made this game? Oh, Exploding Kittens. Who's behind Exploding
[00:04:44.140 --> 00:04:50.140]   Kittens? And that's how I kind of pulled on the thread. And right now, Coyote is,
[00:04:51.400 --> 00:04:58.780]   it's doing very well. It's got like 300 million plus social views of gameplay online. And you can
[00:04:58.780 --> 00:05:05.500]   find it everywhere. Just launched. And it plays three to eight folks, typically. Kids can play,
[00:05:05.500 --> 00:05:10.380]   I'd say, 10 plus. So very, very simple to learn, but different every game.
[00:05:10.760 --> 00:05:16.140]   It seems like it's physical memory. How do you describe this game plan? It's like, okay, so if you
[00:05:16.140 --> 00:05:21.340]   have to do motions and the ones and the cards, as the cards come down, it changes what people have to
[00:05:21.340 --> 00:05:26.760]   do and trying to keep track of where everything is. And it gets kind of frenetic. So under the hood,
[00:05:26.760 --> 00:05:34.140]   and all of my books are designed this way as well. There is a Trojan horse with this game. So it has
[00:05:34.140 --> 00:05:38.980]   to be fun. And people need to want to tell their friends about it and play again, right? That's
[00:05:38.980 --> 00:05:47.840]   table stakes. But under the hood, it is also a workout for your brain. And I've spent a lot of
[00:05:47.840 --> 00:05:52.400]   time thinking about this kind of thing. But by and large, people are not interested in buying things
[00:05:52.400 --> 00:05:56.060]   to make them smarter. I know it sounds crazy, but I've tried this multiple times in the US,
[00:05:56.060 --> 00:06:04.680]   at least it does not work. So this has to be a side effect. But yes, it's basically a gesture rhythm
[00:06:04.680 --> 00:06:14.200]   and verbal game where it's almost like rock, paper, scissors on steroids for a group where you try to
[00:06:14.200 --> 00:06:19.600]   match all these things as you go around the table. And if anyone makes a mistake, they lose a life and
[00:06:19.600 --> 00:06:24.640]   then last person standing wins. You can also play cooperatively. If you have someone in your family
[00:06:24.640 --> 00:06:31.000]   who's a really sore loser or a friend who's just complaints too much. But the competitive mode is
[00:06:31.000 --> 00:06:35.880]   really kind of where the smack talking and I think the adrenaline and a lot of the fun is. So it is a
[00:06:35.880 --> 00:06:42.400]   rhythm and gesture game where people have to perform an action, say what's on the card, and go around in
[00:06:42.400 --> 00:06:50.200]   a circle keeping a certain rhythm. And the reason it's called Coyote is because I want people to find
[00:06:50.200 --> 00:06:57.920]   their inner trickster if you think of the mythologies around Coyote in many of the indigenous cultures in
[00:06:57.920 --> 00:07:04.960]   North America, also in Mexico. I suppose that includes Mexico on some level. But this Coyote
[00:07:04.960 --> 00:07:11.040]   character pops up again and again. In every culture, whether it's Loki, Ictomi, or others, there is some
[00:07:11.040 --> 00:07:15.780]   type of trickster. And the reason that's part of the game is you can sabotage other players.
[00:07:16.340 --> 00:07:20.660]   So if you have somebody who's really good at, say, math or music, those folks tend to be very good at this
[00:07:20.660 --> 00:07:27.180]   game, you can handicap them by slapping them with attack cards and things like that. So that's the game. And
[00:07:27.180 --> 00:07:35.300]   you can learn to play in a few minutes. But as someone who spent 20 years in Silicon Valley, still also to this
[00:07:35.300 --> 00:07:44.500]   day, investing in tech startups and everything else, I think we're wading into some very risky waters with a lot of the
[00:07:44.500 --> 00:07:49.940]   technological saturation and everything else, which we could talk about. So getting offline, giving people a light
[00:07:49.940 --> 00:07:57.860]   lift, that provides sort of a little bit of vitamin P vitamin play, I think is, is really, really, really
[00:07:57.860 --> 00:08:04.660]   important. So I've been playing a lot more games versus just staring at a screen 18 inches away, all day, every
[00:08:04.660 --> 00:08:06.340]   day. And that's why I made it.
[00:08:06.340 --> 00:08:14.580]   I'm curious about this world. Because I think about this type of game that you called it casual or fast
[00:08:14.580 --> 00:08:15.340]   casual. Is that what?
[00:08:15.340 --> 00:08:20.180]   Yeah, yeah. And there are there are lots. One thing I realized and part of the reason this took two years to
[00:08:20.180 --> 00:08:25.220]   make is there's so many different. If you say I want to make a game, it's kind of like saying I want to
[00:08:25.220 --> 00:08:33.940]   start a business. It's like, okay, well, we need to drill down a little bit. So you could call this, I would I would describe it as fast,
[00:08:33.940 --> 00:08:38.980]   casual, there are other ways to describe it. But meaning, after dinner, you've got an hour,
[00:08:38.980 --> 00:08:44.740]   maybe a few people have had some drinks, what do you play? If you try to play some of these other
[00:08:44.740 --> 00:08:48.900]   games, which are fine games, wonderful games, terraforming Mars, you're never going to get it done,
[00:08:48.900 --> 00:08:54.900]   right? Yeah. And furthermore, if people are tired, or a little fatigued after a long work day,
[00:08:55.700 --> 00:09:01.620]   it's going to be hard to recruit people, at least my friends to play it. So so this is along the lines
[00:09:01.620 --> 00:09:09.300]   of an Uno, or the Monopoly Go card game, something like that. It's closer to that side.
[00:09:09.300 --> 00:09:14.820]   So because what fascinates me is it reminds me of screenwriting. And here's the connection I want to
[00:09:14.820 --> 00:09:21.060]   make there is that when you talk to screenwriters, they say, look, people think this is easy.
[00:09:21.700 --> 00:09:26.740]   Because when a when a script is on the screen, and it works, you're like, I could think up a
[00:09:26.740 --> 00:09:32.100]   similar idea for a movie, and I know how to talk. I'm not watching someone drill, you know,
[00:09:32.100 --> 00:09:36.500]   Steph Curry drill a three pointer from six feet behind the line like, oh, I can do this. This is
[00:09:36.500 --> 00:09:41.940]   a great the alien attacks or whatever. Yeah, a good fast casual game if constructed, right? You're like,
[00:09:41.940 --> 00:09:45.620]   oh, this is just fun. Like you have some rules, you have some ideas, it kind of goes back and forth.
[00:09:45.620 --> 00:09:50.180]   But when I talk to screenwriters, they say the issue with the screenplays, everything has to be
[00:09:50.180 --> 00:09:55.140]   right. It's a watch mechanism, like everything. And you don't realize a very good way to put it.
[00:09:55.140 --> 00:10:00.420]   If you introduce like, you know, Chekhov's gun, like you mentioned this here, it better pay off there.
[00:10:00.420 --> 00:10:05.380]   No dialogue cannot have a purpose like this has to connect to this and even a bad screenplay.
[00:10:05.380 --> 00:10:11.060]   You have to be a professional screenwriter to have written the bad screenplay because there's a
[00:10:11.060 --> 00:10:14.820]   there's a technical complexity that just making a script that everything connects together.
[00:10:15.540 --> 00:10:19.780]   I assume this is similar for making a game like this. You said two years. So I'm curious about
[00:10:19.780 --> 00:10:24.340]   that world, what the world you met with Elon Lee, what you learned from him. What is it like in the
[00:10:24.340 --> 00:10:29.860]   world of trying to make a card based game that is easy to learn and fun to play? What goes on in that
[00:10:29.860 --> 00:10:34.260]   world to actually make a game like that? Yeah, let's talk about it. And what we're about to talk about,
[00:10:34.260 --> 00:10:41.860]   right? How that watch is built is part of the reason why I decided to do something completely off menu,
[00:10:42.420 --> 00:10:45.700]   completely different from what I am accustomed to doing because
[00:10:45.700 --> 00:10:51.620]   I choose and maybe we'll get more into this later, but I choose projects based on the density of
[00:10:51.620 --> 00:10:58.420]   learning, skill acquisition and relationship development, all of which should transcend that
[00:10:58.420 --> 00:11:04.020]   project even if it fails. And so the question of how do I win even if this fails is always present in
[00:11:04.020 --> 00:11:11.780]   my mind? So with this, let's dive into it. How do you build this watch? And rest assured, whether you
[00:11:11.780 --> 00:11:20.260]   make a very obviously sophisticated game or a very, very simple game, there's a lot of complexity or there
[00:11:20.260 --> 00:11:25.300]   can be in the process if you want it to work consistently. So I've learned so many things from
[00:11:25.300 --> 00:11:31.380]   Milan. And he's such a sweetheart of a guy and such a polymath. I mean, he'd worked on the original,
[00:11:31.380 --> 00:11:38.740]   on the Xbox, on Halo, on entirely new genres of games. He's just, I've seen him make entirely new
[00:11:38.740 --> 00:11:42.900]   types of games that have not existed in the world before. I mean, but he comes out of video games.
[00:11:42.900 --> 00:11:46.740]   He comes out, well, let's see, what does he come out of? I mean, he comes out of so many different
[00:11:46.740 --> 00:11:53.700]   places. It's hard to slap a clean label on him, which I like. I remember I asked him to send me his
[00:11:53.700 --> 00:11:59.540]   bio and I was like, I don't even know what to do with this. And I was like, okay, I like this guy.
[00:11:59.540 --> 00:12:08.500]   And he cannot help himself but create games. And also, and I'll get into the kind of the process in a
[00:12:08.500 --> 00:12:15.860]   second, but games are fundamental to human life past a certain rung on Maslow's hierarchy of needs,
[00:12:15.860 --> 00:12:20.980]   right? I think we, I'm sure you and I could talk about this forever. So it's like you are,
[00:12:20.980 --> 00:12:26.420]   if you're listening to this podcast, there are many games you are playing in life with rules,
[00:12:26.420 --> 00:12:33.620]   with stakes, maybe with a quitting time, whether you're aware of them or not. So studying games helps
[00:12:33.620 --> 00:12:41.140]   you kind of peer behind the curtain to see the games everywhere around you and to choose better
[00:12:41.140 --> 00:12:47.540]   games also. Okay. Process wise, what did I learn? Well, number one, there are a hell of a lot of
[00:12:47.540 --> 00:12:52.020]   different types of games, right? You can have magic type games where you're building decks, where you're
[00:12:52.020 --> 00:12:58.340]   collecting cards. You could have a D and D role playing game, very, very, very, very complicated and
[00:12:58.340 --> 00:13:04.180]   involved. Then you have all the way over on the other side, you have some very seemingly, at least when it's
[00:13:04.180 --> 00:13:12.900]   done right, simple to learn games. And what I realized, at least for me, was number one, just
[00:13:12.900 --> 00:13:18.500]   deciding on the direction was the most challenging part as a first time game designer, because I was
[00:13:18.500 --> 00:13:25.860]   involved in every single step of the process, which I'm sure slowed things down for them. And then
[00:13:27.860 --> 00:13:35.460]   10 minutes of trying to prototype is worth 10 hours of talking. That's something you learn very, very
[00:13:35.460 --> 00:13:40.340]   quickly. And what does a prototype look like for a game like this? Yeah, I'll tell you for a game like
[00:13:40.340 --> 00:13:48.100]   this. Yeah. We applied a bunch of constraints. So I started with and in conversations, we did a number of
[00:13:48.100 --> 00:13:56.500]   sprints, Elan and I, friends of mine, just as testers, right, as players. And we're trying all sorts of
[00:13:56.500 --> 00:14:01.940]   different original games, then we're looking at potentially taking an easier path, which would be
[00:14:01.940 --> 00:14:08.660]   taking, say, the game that led me to Elan Poetry for Neanderthals, creating a variation of that with new
[00:14:08.660 --> 00:14:19.300]   rules or a twist on the rules. And ultimately wanted a few things to be true. Because I played,
[00:14:19.300 --> 00:14:25.780]   for instance, chess with my brother, my brother is very mathematically inclined. I'll leave it at that.
[00:14:25.780 --> 00:14:31.700]   But he always will beat me at chess. And that's annoying, number one. Number two,
[00:14:31.700 --> 00:14:38.260]   he also wants me to suffer through going all the way to the end to get knocked off,
[00:14:38.260 --> 00:14:42.820]   even if I see very quickly, oh, I just painted myself into a corner. I'm doomed. This is checkmate.
[00:14:42.820 --> 00:14:50.660]   So I wanted to be closer, meaning the game that I would make closer to backgammon or poker than
[00:14:50.660 --> 00:14:57.700]   chess in the sense that there is a chance for a weaker player to win if they have some good luck.
[00:14:57.700 --> 00:15:03.300]   And that also came from playing magic with a couple of friends of mine. And I was like,
[00:15:03.300 --> 00:15:07.460]   this sucks, not because magic sucks, but because they would always beat me, always.
[00:15:07.860 --> 00:15:10.900]   And I was like, well, this isn't fun. I don't want to play this game again.
[00:15:10.900 --> 00:15:15.940]   So it was a constraint. And then thinking of other constraints, like, well, what can be
[00:15:15.940 --> 00:15:21.460]   prototype quickly? Cards. We could also use chits, meaning something you use to keep track of lives.
[00:15:21.460 --> 00:15:25.860]   And we played around with a bunch of other accessories. But here's what the first prototype
[00:15:25.860 --> 00:15:34.420]   looked like. We were doing a sprint, the last sprint, because we had tried sprints over the course of
[00:15:34.420 --> 00:15:39.540]   nine to 12 months. And we hadn't found something yet. Because for me, if I'm going to put my name
[00:15:39.540 --> 00:15:43.780]   on something, man, I need to be willing to live with this forever, which means it's got to be something
[00:15:43.780 --> 00:15:52.100]   I'm excited to talk about, which is a high bar for me. And then we decided, look, we're both very busy.
[00:15:52.100 --> 00:15:59.140]   We haven't found something yet. Let's make this the last sprint. We either commit, well, we do commit to
[00:15:59.140 --> 00:16:04.740]   either finding something and running with it, or calling a spade a spade. And we're just grasping
[00:16:04.740 --> 00:16:07.220]   in the dark here. And it's probably better for us to focus on other things.
[00:16:07.220 --> 00:16:10.100]   And what are you physically using in a sprint?
[00:16:10.100 --> 00:16:10.980]   I'll tell you.
[00:16:10.980 --> 00:16:14.740]   Yeah, I'll tell you. So the sprint, first of all, just looks like us walking around.
[00:16:14.740 --> 00:16:22.500]   Well, this happened to be in Toronto. So walking along the waterfront, drinking copious amounts
[00:16:22.500 --> 00:16:28.500]   of coffee, talking about games. What if this? What if this? What if this? What if this? And the
[00:16:28.500 --> 00:16:36.820]   breakthrough moment came when I think prompted by either Alon or Ken Gruhl, who is one of the employees
[00:16:36.820 --> 00:16:42.100]   at Exploiting Kittens, an amazing game designer. I think it might've been Alon. I think he brought in
[00:16:42.100 --> 00:16:48.420]   the question and we ended up with a better question. So the question was no longer, what tabletop games
[00:16:48.420 --> 00:16:54.740]   have you really liked? He's like, let's broaden that. It could be kickball. What are the games you've liked?
[00:16:54.740 --> 00:17:01.460]   Any kind of game. And I was very, a little shy because I've got professionals here who can,
[00:17:01.460 --> 00:17:08.100]   who have done also very, very, very, very complicated games, sophisticated, I should say. And I said,
[00:17:08.100 --> 00:17:12.740]   you know what, this is embarrassing to say, but if my friends and I have had a few drinks, even if we
[00:17:12.740 --> 00:17:21.060]   haven't playing rock, paper, scissors, we really enjoy it. These are smart friends. And I was expecting
[00:17:21.060 --> 00:17:25.780]   an eye roll, but instead they're like, okay, let's roll with it. Like what, what, what does that look
[00:17:25.780 --> 00:17:31.300]   like? And I was like, well, what could it look like in a group of say four or five people? And let's say
[00:17:31.300 --> 00:17:36.100]   we're only using cards, but we could add in some dice because I wanted that chance opportunity for a
[00:17:36.100 --> 00:17:42.580]   weaker player to win. So I was attached to dice because I love like the 20 sided die out of D and D. I just
[00:17:42.580 --> 00:17:48.660]   really wanted to use the D 20. So D 20, I really want to use the D 20. Now in retrospect, I'm glad
[00:17:48.660 --> 00:17:54.500]   that we applied more constraints to use only cards because for instance, exhibit a tariffs. Oh,
[00:17:54.500 --> 00:18:04.020]   adding, adding these components, that's a lot of cost. And we had this kernel of an idea and we basically
[00:18:04.020 --> 00:18:13.140]   raced back to the kitchen table and had a bunch of blank decks of cards could just be index cards.
[00:18:13.140 --> 00:18:20.340]   Doesn't matter markers and a bunch of accessories kind of looks like a craft shop in a launch house.
[00:18:20.340 --> 00:18:24.420]   You can imagine he's got every possible little knickknack you can use for making games.
[00:18:24.980 --> 00:18:32.980]   And Ken and Alana and I just sat down and started making cards and tried a bunch of things and
[00:18:32.980 --> 00:18:42.100]   literally had a V1 for like version one ready to play test in 15 minutes and then tried it.
[00:18:42.100 --> 00:18:46.900]   Barely worked, but there was like something. So we're like, okay, let's double down on that piece.
[00:18:46.900 --> 00:18:52.580]   Let's take this other thing out, throw away a bunch of cards or just cross them out and put something
[00:18:52.580 --> 00:18:57.220]   different on the card. Try again, try again. So we were able to iterate sitting at a table
[00:18:57.220 --> 00:19:06.020]   with blank cards over and over and over again for a few hours. And by the end of that weekend,
[00:19:06.020 --> 00:19:13.540]   I had to rely on Alon in, in, in the sense of pattern recognition and his taste sensors,
[00:19:13.540 --> 00:19:16.980]   his kind of water feel for games, because I felt like there was something there,
[00:19:17.780 --> 00:19:24.260]   but Alon has seen hundreds and thousands of games, right? As has Ken. And I was like, what,
[00:19:24.260 --> 00:19:29.700]   what do you think here? Right? Like zero to 10 question. I like to ask, right? Zero to 10,
[00:19:29.700 --> 00:19:33.700]   no seven allowed. I buy, I learned this from Kyle Maynard who learned it from somebody else, but like
[00:19:33.700 --> 00:19:38.980]   zero to 10, no seven allowed. Where do you rate the potential of this game? And don't blow smoke up my
[00:19:38.980 --> 00:19:46.660]   ass. And I think it was like a, an eight or a nine with the possibility of getting it higher. And I was
[00:19:46.660 --> 00:19:54.020]   like, okay, if that's true, let's pause for now. Cause we were wiped out, you know, after play testing
[00:19:54.020 --> 00:19:58.020]   and especially this game also, if you want to, if you have trouble getting to sleep and you want to
[00:19:59.060 --> 00:20:05.540]   get to sleep, like play a couple of rounds of this before bed and it might just be easier to sleep.
[00:20:05.540 --> 00:20:10.900]   I say that as a lifelong insomniac. Um, so we were wiped out and we, but, but there was enough proof
[00:20:10.900 --> 00:20:17.700]   of concept there to say, okay, let's expand this, make a very, very rough deck and play test it with
[00:20:17.700 --> 00:20:23.300]   other people to see what happens. Was the motions in the beginning, like the initial play testing,
[00:20:23.300 --> 00:20:28.420]   was it closer to rock, paper, scissors? Like at first, was it just, Hey, we have different hand motions,
[00:20:28.420 --> 00:20:35.380]   the details. Didn't matter. Uh, the details didn't, the details do matter, but in the beginning
[00:20:35.380 --> 00:20:42.740]   and this is again, keep in mind, I'm like this, the, the skier who's been on the, like a couple of
[00:20:42.740 --> 00:20:46.900]   slopes six times. So I'm like, tell you, let me tell you all about skiing. Right. Here's what you got
[00:20:46.900 --> 00:20:51.140]   to know when you're jumping off a cornice. It's like, what have you, you know, but, but keeping all that in
[00:20:51.140 --> 00:20:55.060]   mind, big grain of salt. I have learned a lot. I've taken a lot of notes. I've documented everything. So
[00:20:55.060 --> 00:20:57.780]   here's what I would say. The details do matter, but in the beginning, you don't know which
[00:20:57.780 --> 00:21:03.860]   details matter. So you just throw a lot against the wall. So we tried tons of stuff. And what Alana
[00:21:03.860 --> 00:21:11.140]   is very good at doing is, and I'm, I would say I'm not terribly good at this is brainstorming and
[00:21:11.140 --> 00:21:18.340]   testing without too much judgment, right? So leave the editor aside, right? And no matter how harebrained,
[00:21:18.340 --> 00:21:26.180]   how boring, try everything. Cause it's so fast to prototype, the turnaround time is so fast with this
[00:21:26.180 --> 00:21:34.660]   type of game construction that you should just try it and you'd never really know. So in the beginning,
[00:21:34.660 --> 00:21:41.540]   there were a lot of gestures, for instance, that we ended up pulling out later. Example,
[00:21:41.540 --> 00:21:45.780]   anything that's kind of not suitable for work, which we're very reliable at getting laughs.
[00:21:45.780 --> 00:21:51.620]   If you're going to distribute at Walmart and target where you want to, chances are you're
[00:21:51.620 --> 00:21:57.380]   going to have to yank some of those out. And similarly, some of the cards had people standing
[00:21:57.380 --> 00:22:01.700]   up from a table to do something. Well, if you have somebody at the table who can't do that,
[00:22:01.700 --> 00:22:06.260]   you've just run into a big problem, right? So yanking those out. Now later you can have
[00:22:06.260 --> 00:22:10.500]   expansion packs and you can have print to play PDFs and all that stuff, which I plan on doing.
[00:22:10.500 --> 00:22:16.900]   But there was a lot of vetting. Now, once it goes back to Exploding Kittens headquarters and they're
[00:22:16.900 --> 00:22:23.140]   playing it internally with employees, then they have an entire system for play testing. They have an entire,
[00:22:23.140 --> 00:22:30.580]   very refined system for play testing. And at that point, we also were creating spreadsheets with
[00:22:30.580 --> 00:22:35.940]   multiple tabs of different gestures, which have corresponding words. So you can change the
[00:22:35.940 --> 00:22:40.740]   gesture, you can change the word, you can change both. And we had a ranking system for everyone.
[00:22:40.740 --> 00:22:45.700]   So we just had hundreds of these things. And what's the data to rank them?
[00:22:45.700 --> 00:22:52.420]   Yeah. So there was a, there was a, as I remember it, there was a one to three ranking system.
[00:22:53.300 --> 00:23:00.100]   And one was, this isn't interesting at all. Two is it's sometimes interesting. Three was it, it,
[00:23:00.100 --> 00:23:05.380]   it seems to hit most of the time and get a laugh, right? There were a lot of questions around like,
[00:23:05.380 --> 00:23:10.820]   how many kind of laugh out loud cards should you have? And if you only aim for those laugh out loud
[00:23:10.820 --> 00:23:17.700]   cards, does that actually handicap the game? Because it makes you kind of deaf to it after a while,
[00:23:17.700 --> 00:23:24.980]   do you want to preserve it for like variable reward? And in addition to that, there are some decisions to
[00:23:24.980 --> 00:23:32.260]   be made about just, hopefully this doesn't sound boring, but deck construction, like there are 66
[00:23:32.260 --> 00:23:42.100]   cards. Why on earth 66 versus 86 versus 36? All of that revolves around a combination of
[00:23:42.980 --> 00:23:47.940]   variety. Things are color coded because you can play with people's brains in weird ways once you add
[00:23:47.940 --> 00:23:55.300]   colors. So a certain amount of repetition with colors, deciding which cards to replicate. And it,
[00:23:55.300 --> 00:24:01.220]   and it comes down to a lot of probability, right? Like how often do you want certain cards to show up
[00:24:01.220 --> 00:24:07.540]   and over many, many games, what do you observe and mathematically, what should you see? Which then feeds
[00:24:07.540 --> 00:24:16.900]   into questions like, for instance, initially we had the game produced where you do what you do with every
[00:24:16.900 --> 00:24:22.500]   game. You shuffle the deck, right? Yeah. But if you have the gesture cards or action cards, they have
[00:24:22.500 --> 00:24:27.140]   salamanders on them. You can explain why they're salamanders on them. There's a good reason for that.
[00:24:27.140 --> 00:24:33.300]   But the, then you have the action cards, then the coyote cards are all grouped together initially. And when
[00:24:33.300 --> 00:24:37.940]   you would shuffle, you wouldn't get, most people don't shuffle very well. If you just do a riffle
[00:24:37.940 --> 00:24:43.460]   shuffle, it doesn't actually mix the deck that well. So they would end up with these solid groups of
[00:24:43.460 --> 00:24:47.860]   identical cards that doesn't work very well. So they're seeing this in play testing, like the people
[00:24:47.860 --> 00:24:51.780]   are shuffling not well and they're getting like six salamanders in a row. Yeah, exactly. Exactly.
[00:24:51.780 --> 00:24:57.940]   Or six coyote cards or whatever. So then you go back to the manufacturing and manufacturing cards is
[00:24:57.940 --> 00:25:03.860]   surprisingly challenging. Like the, the actual manufacturing facilities are gigantic.
[00:25:03.860 --> 00:25:10.820]   They are huge. And there are very, they're relative to many other types of games or things
[00:25:10.820 --> 00:25:16.580]   you could produce. A few, relatively few of these manufacturers.
[00:25:16.580 --> 00:25:19.860]   They're in China at high volume. Yeah. A lot, a lot. Most of them are in China.
[00:25:19.860 --> 00:25:27.300]   And same as book printing, basically the same as book printing. And what you can do is off the line,
[00:25:27.300 --> 00:25:33.540]   you can manufacture a shuffled deck. So you can indicate what type of composition you want the deck to
[00:25:33.540 --> 00:25:39.620]   have as a quote unquote shuffled deck. So then when people pull it out of the box, they have a really
[00:25:39.620 --> 00:25:44.020]   good first time out of box experience. It's so important. It's like if the first two rounds
[00:25:44.020 --> 00:25:53.780]   whiff, or they're just meh, that is going to crush you. And particularly since it's like,
[00:25:53.780 --> 00:25:58.580]   this thing's cheap, right? It's half the price of a movie ticket, basically in the US, right? It's 9.99
[00:25:58.580 --> 00:26:05.620]   in or around, around $10, right? So if they play twice and doesn't totally work, it doesn't make
[00:26:05.620 --> 00:26:10.020]   them laugh. Are they going to play again? Maybe, maybe not. So you need the out of box experience
[00:26:10.020 --> 00:26:15.780]   to be really good. So the amount of time that you spend on the instructions also play testing the hell
[00:26:15.780 --> 00:26:23.060]   out of that, because once you do the internal testing, then you can go out to families and other
[00:26:23.060 --> 00:26:29.940]   people you've recruited to play test. And this is also, there's so many parallel parallels with tech
[00:26:30.580 --> 00:26:37.460]   and any type of product really, I think direct to consumer, but it could be applied anywhere.
[00:26:37.460 --> 00:26:42.500]   Where if, if for instance, I think usertesting.com might still be around. I'm sure there are better
[00:26:42.500 --> 00:26:47.220]   tools now. But back in the day, it's like, if you want somebody to try signing up for your
[00:26:47.220 --> 00:26:53.220]   software as a service on a website, you could ask them, what did you find confusing? How was it? Or you
[00:26:53.220 --> 00:26:57.540]   could just do a screen capture with a video and watch the facial expressions and see where they pause and
[00:26:57.540 --> 00:27:02.660]   take too much time. Yeah. So similarly with play testing a game, you don't want to just ask somebody,
[00:27:02.660 --> 00:27:06.660]   what did you think? And have a list of seven questions. Do you want video of them playing?
