
[00:00:00.000 --> 00:00:05.000]   [PAUSE]
[00:02:03.000 --> 00:02:06.000]   for how to use something off of Hugging Face.
[00:02:06.000 --> 00:02:13.000]   So first what we'll do is we'll find some model from like the Hugging Face hub here.
[00:02:13.000 --> 00:02:17.000]   And note that there's like a ton of different models that you're able to use.
[00:02:17.000 --> 00:02:21.000]   There's BERT, there's GPT-2, there's T5-small,
[00:02:21.000 --> 00:02:23.000]   which is another language model from Google.
[00:02:23.000 --> 00:02:28.000]   So there are a bunch of these different models that are pre-trained,
[00:02:28.000 --> 00:02:32.000]   and all of these weights are up here in Hugging Face that are freely available
[00:02:32.000 --> 00:02:34.000]   for you guys to download.
[00:02:34.000 --> 00:02:36.000]   So if there's a particular model you're interested in,
[00:02:36.000 --> 00:02:39.000]   you can probably find a version of it here.
[00:02:39.000 --> 00:02:43.000]   You can also see kind of different types of models on the side as well
[00:02:43.000 --> 00:02:45.000]   that -- for a specific task.
[00:02:45.000 --> 00:02:50.000]   So if we wanted to do something like zero-shot classification,
[00:02:50.000 --> 00:02:55.000]   there are a couple of models that are specifically good at doing that particular task.
[00:02:55.000 --> 00:02:57.000]   Okay, so based off of what task you're looking for,
[00:02:57.000 --> 00:03:02.000]   there's probably a Hugging Face model for it that's available online for you to download.
[00:03:02.000 --> 00:03:08.000]   Okay, so that's what we'll do first is we'll go ahead and find a model
[00:03:08.000 --> 00:03:12.000]   in the Hugging Face hub, and then, you know, whatever you want to do.
[00:03:12.000 --> 00:03:14.000]   In this case, we'll do sentiment analysis.
[00:03:14.000 --> 00:03:16.000]   And then there are two things that we need next.
[00:03:16.000 --> 00:03:19.000]   The first is a tokenizer for actually, you know,
[00:03:19.000 --> 00:03:24.000]   splitting your input text into tokens that your model can use,
[00:03:24.000 --> 00:03:27.000]   and the actual model itself.
[00:03:27.000 --> 00:03:32.000]   And so the tokenizer, again, kind of converts this to some vocabulary IDs,
[00:03:32.000 --> 00:03:36.000]   these discrete IDs that your model can actually take in,
[00:03:36.000 --> 00:03:39.000]   and the model will produce some prediction based off of that.
[00:03:39.000 --> 00:03:44.000]   Okay, so first what we can do is, again,
[00:03:44.000 --> 00:03:52.000]   import this auto-tokenizer and this auto-model for sequence classification.
[00:03:52.000 --> 00:03:55.000]   So what this will do initially is download some of the, you know,
[00:03:55.000 --> 00:03:59.000]   key things that we need so that we can actually initialize these.
[00:03:59.000 --> 00:04:01.000]   So what do each of these do?
[00:04:01.000 --> 00:04:05.000]   So first the tokenizer, this auto-tokenizer,
[00:04:05.000 --> 00:04:10.000]   is from some pre-trained tokenizer that has already been used.
[00:04:10.000 --> 00:04:13.000]   So in general, there's a corresponding tokenizer for every model
[00:04:13.000 --> 00:04:15.000]   that you want to try and use.
[00:04:15.000 --> 00:04:17.000]   In this case, it's like CBERT,
[00:04:17.000 --> 00:04:20.000]   so like something around sentiment and Roberta.
[00:04:20.000 --> 00:04:25.000]   And then the second is you can import this model for sequence classification
[00:04:25.000 --> 00:04:29.000]   as well from something pre-trained on the model hub again.
[00:04:29.000 --> 00:04:33.000]   So again, this corresponds to sentiment, Roberta, large English.
[00:04:33.000 --> 00:04:37.000]   And if we want, we can even find this over here.
[00:04:37.000 --> 00:04:46.000]   We can find it as, I think English, yeah, large English.
[00:04:46.000 --> 00:04:48.000]   So again, this is something we can easily find.
[00:04:48.000 --> 00:04:53.000]   You just copy this string up here, and then you can import that.
[00:04:53.000 --> 00:04:57.000]   Okay, we've downloaded all of the kind of, all the things that we need,
[00:04:57.000 --> 00:04:59.000]   some kind of like binary files as well.
[00:04:59.000 --> 00:05:02.000]   And then now we can go ahead and actually, you know,
[00:05:02.000 --> 00:05:04.000]   use some of these inputs, right?
[00:05:04.000 --> 00:05:07.000]   So this gives you some set of an input, right?
[00:05:07.000 --> 00:05:11.000]   This input string, I'm excited to learn about hogging face transformers.
[00:05:11.000 --> 00:05:18.000]   We'll get some tokenized inputs here from the actual tokenized things here
[00:05:18.000 --> 00:05:21.000]   after we pass it through the tokenizer.
[00:05:21.000 --> 00:05:25.000]   And then lastly, we'll get some notion of the model output that we get.
[00:05:25.000 --> 00:05:30.000]   So this is kind of some legit here over whatever classification that we have,
[00:05:30.000 --> 00:05:32.000]   so in this case, good or bad.
[00:05:32.000 --> 00:05:35.000]   And then some corresponding prediction.
[00:05:35.000 --> 00:05:39.000]   Okay, and we'll walk through what this kind of looks like in just a second as well,
[00:05:39.000 --> 00:05:40.000]   a little more depth.
[00:05:40.000 --> 00:05:44.000]   But this is broadly kind of like how we can actually use these together.
[00:05:44.000 --> 00:05:48.000]   We'll tokenize some input, and then we'll pass these inputs through the model.
[00:05:48.000 --> 00:05:50.000]   So we'll talk about tokenizers first.
[00:05:50.000 --> 00:05:56.000]   So tokenizers are used for basically just pre-processing the inputs
[00:05:56.000 --> 00:05:57.000]   that you get for any model.
[00:05:57.000 --> 00:06:03.000]   And it takes some raw string to like essentially a mapping to some number
[00:06:03.000 --> 00:06:08.000]   or ID that the model can take in and actually kind of understand.
[00:06:08.000 --> 00:06:14.000]   So tokenizers are either kind of like are specific to the model that you want to use,
[00:06:14.000 --> 00:06:19.000]   or you can use the auto-tokenizer that will kind of conveniently import
[00:06:19.000 --> 00:06:24.000]   whatever corresponding tokenizer you need for that model type.
[00:06:24.000 --> 00:06:28.000]   So that's kind of like the helpfulness of the auto-tokenizer.
[00:06:28.000 --> 00:06:32.000]   It'll kind of make that selection for you and make sure that you get the correct
[00:06:32.000 --> 00:06:35.000]   tokenizer for whatever model you're using.
[00:06:35.000 --> 00:06:39.000]   So the question is, does it make sure that everything is mapped to the correct index
[00:06:39.000 --> 00:06:40.000]   that the model is trained on?
[00:06:40.000 --> 00:06:41.000]   The answer is yes.
[00:06:41.000 --> 00:06:44.000]   So that's why the auto-tokenizer is helpful.
[00:06:44.000 --> 00:06:48.000]   So there are two types of tokenizers.
[00:06:48.000 --> 00:06:55.000]   There's a Python tokenizer, and there's also like a tokenizer FAST.
[00:06:55.000 --> 00:06:57.000]   The tokenizer FAST is written in Rust.
[00:06:57.000 --> 00:07:02.000]   In general, if you do the auto-tokenizer, it'll just default to the FAST one.
[00:07:02.000 --> 00:07:04.000]   There's not really a huge difference here.
[00:07:04.000 --> 00:07:09.000]   It's just about kind of like the inference time for getting the model outputs.
[00:07:09.000 --> 00:07:15.000]   Yeah, so the question was, the tokenizer creates dictionaries of the model inputs.
[00:07:15.000 --> 00:07:24.000]   So it's more like I think the way to think about a tokenizer is like that dictionary
[00:07:24.000 --> 00:07:25.000]   almost, right?
[00:07:25.000 --> 00:07:30.000]   So you want to kind of translate almost or have this mapping from the tokens that
[00:07:30.000 --> 00:07:35.000]   you can get from like this string and then map that into kind of some inputs that
[00:07:35.000 --> 00:07:37.000]   the model will actually use.
[00:07:37.000 --> 00:07:40.000]   So we'll see an example of that in just a second.
[00:07:40.000 --> 00:07:45.000]   So for example, we can kind of call the tokenizer in any way that we would for
[00:07:45.000 --> 00:07:49.000]   like a typical PyTorch model, but we're just going to call it on like a string.
[00:07:49.000 --> 00:07:54.000]   So here we have our input string is HuggingFaceTransformers is great.
[00:07:54.000 --> 00:07:58.000]   We pass that into the tokenizer almost like it's like a function, right?
[00:07:58.000 --> 00:08:00.000]   And then we'll get out some tokenization.
[00:08:00.000 --> 00:08:03.000]   So this gives us a set of input IDs.
[00:08:03.000 --> 00:08:08.000]   So to answer the earlier question, these are basically the numbers that each of
[00:08:08.000 --> 00:08:10.000]   these tokens represent, right?
[00:08:10.000 --> 00:08:13.000]   So that the model can actually use them.
[00:08:13.000 --> 00:08:19.000]   And then a corresponding attention mask for the particular transformer.
[00:08:19.000 --> 00:08:21.000]   Okay.
[00:08:21.000 --> 00:08:27.000]   So there are a couple ways of accessing the actual tokenized input IDs.
[00:08:27.000 --> 00:08:31.000]   You can treat it like a dictionary, so hence kind of thinking about it almost as
[00:08:31.000 --> 00:08:32.000]   that dictionary form.
[00:08:32.000 --> 00:08:36.000]   It's also just like a property of the output that you get.
[00:08:36.000 --> 00:08:39.000]   So there are two ways of accessing this in like a pretty Pythonic way.
[00:08:39.000 --> 00:08:43.000]   Okay.
[00:08:43.000 --> 00:08:48.000]   So what we can see as well is that we can look at the particular,
[00:08:48.000 --> 00:08:52.000]   the actual kind of tokenization process almost.
[00:08:52.000 --> 00:08:56.000]   And so this can maybe give some insight into what happens at each step.
[00:08:56.000 --> 00:09:00.000]   Right, so our initial input string is going to be HuggingFaceTransformers is
[00:09:00.000 --> 00:09:01.000]   great.
[00:09:01.000 --> 00:09:07.000]   Okay, the next step is that we actually want to tokenize these individual kind
[00:09:07.000 --> 00:09:10.000]   of individual words that are passed in.
[00:09:10.000 --> 00:09:15.000]   So here, this is the kind of output of this tokenization step.
[00:09:15.000 --> 00:09:19.000]   Right, we get kind of these individual split tokens.
[00:09:19.000 --> 00:09:22.000]   We'll convert them to IDs here.
[00:09:22.000 --> 00:09:28.000]   And then we'll add any special tokens that our model might need for actually
[00:09:28.000 --> 00:09:33.000]   performing inference on this.
[00:09:33.000 --> 00:09:38.000]   So there's a couple steps that happen kind of like underneath when you use an
[00:09:38.000 --> 00:09:44.000]   actual, when you use a tokenizer that happens a few things at a time.
[00:09:44.000 --> 00:09:48.000]   One thing to note is that for fast tokenizers as well,
[00:09:48.000 --> 00:09:52.000]   there is another option that you're able to get to.
[00:09:52.000 --> 00:09:57.000]   So you have essentially, right, you have this input string.
[00:09:57.000 --> 00:09:59.000]   You have the number of tokens that you get.
[00:09:59.000 --> 00:10:04.000]   And you might have some notion of like the special token mask as well.
[00:10:04.000 --> 00:10:09.000]   Right, so using char to word is going to give you like the word piece of a
[00:10:09.000 --> 00:10:11.000]   particular character in the input.
[00:10:11.000 --> 00:10:15.000]   So here, this is just giving you additional options that you can use for
[00:10:15.000 --> 00:10:18.000]   the fast tokenizer as well for understanding how the tokens are being
[00:10:18.000 --> 00:10:26.000]   used in the, from the input string.
[00:10:26.000 --> 00:10:32.000]   Okay, so there are different ways of using the outputs of these tokenizers too.
[00:10:32.000 --> 00:10:35.000]   So one is that you can pass this in.
[00:10:35.000 --> 00:10:39.000]   And if you indicate that you want it to return a tensor,
[00:10:39.000 --> 00:10:42.000]   you can also return a PyTorch tensor.
[00:10:42.000 --> 00:10:47.000]   So that's great in case you need a PyTorch tensor,
[00:10:47.000 --> 00:10:49.000]   which you probably generally want.
[00:10:49.000 --> 00:10:53.000]   You can also add multiple tokens into the tokenizer and
[00:10:53.000 --> 00:10:56.000]   then pad them as however you need.
[00:10:56.000 --> 00:11:03.000]   So for here, for example, we can use the pad token as being this kind of like
[00:11:03.000 --> 00:11:05.000]   pad bracket almost.
[00:11:05.000 --> 00:11:09.000]   And giving the token ID is going to correspond to zero.
[00:11:09.000 --> 00:11:12.000]   So this is just going to add padding to whatever input that you give.
[00:11:12.000 --> 00:11:17.000]   So if you need your outputs to be the same length for
[00:11:17.000 --> 00:11:21.000]   a particular type of model, right, this will add those padding tokens and
[00:11:21.000 --> 00:11:25.000]   then correspondingly gives you like the zeros in the attention mask where you
[00:11:25.000 --> 00:11:28.000]   actually need it.
[00:11:28.000 --> 00:11:34.000]   Okay, and so the way to do that here is you basically set padding to be true,
[00:11:34.000 --> 00:11:37.000]   and also set truncation to be true as well.
[00:11:37.000 --> 00:11:41.000]   And so if you ever have kind of like more,
[00:11:41.000 --> 00:11:46.000]   any other kind of like features of the tokenizer that you're interested in,
[00:11:46.000 --> 00:11:49.000]   again you can check the hugging face documentation,
[00:11:49.000 --> 00:11:52.000]   which is pretty thorough for what each of these things do.
[00:11:52.000 --> 00:11:58.000]   Yeah, so the question is kind of looking at the hash hash at least,
[00:11:58.000 --> 00:12:03.000]   and whether that means that we should have like a space before or not.
[00:12:03.000 --> 00:12:08.000]   So here in this case, yeah, so in this case,
[00:12:08.000 --> 00:12:11.000]   we probably don't want like the space before, right,
[00:12:11.000 --> 00:12:16.000]   just because we have like the hugging, like I don't know,
[00:12:16.000 --> 00:12:20.000]   hugging is all one word in this case.
[00:12:20.000 --> 00:12:24.000]   Generally, like, generally the tokenizers,
[00:12:24.000 --> 00:12:29.000]   generally the output that they give is still pretty consistent though,
[00:12:29.000 --> 00:12:32.000]   in terms of how the tokenization process works.
[00:12:32.000 --> 00:12:34.000]   So there might be kind of these like, you know,
[00:12:34.000 --> 00:12:38.000]   instances where it might be contrary to what you might expect for
[00:12:38.000 --> 00:12:41.000]   kind of how something is tokenized.
[00:12:41.000 --> 00:12:45.000]   In general, the tokenization generally works fine.
[00:12:45.000 --> 00:12:47.000]   So in most cases,
[00:12:47.000 --> 00:12:49.000]   kind of like the direct output that you get from
[00:12:49.000 --> 00:12:57.000]   the hugging face tokenizer is sufficient.
[00:12:57.000 --> 00:13:00.000]   Okay, awesome. So one last thing,
[00:13:00.000 --> 00:13:03.000]   past the adding kind of additional padding,
[00:13:03.000 --> 00:13:10.000]   is that you can also kind of decode like an entire batch at one given time.
[00:13:10.000 --> 00:13:13.000]   So if we look again,
[00:13:13.000 --> 00:13:16.000]   we have like our tokenizer will
[00:13:16.000 --> 00:13:19.000]   additionally have this method called like a batch decode.
[00:13:19.000 --> 00:13:23.000]   So if we have like the model inputs that we get up here,
[00:13:23.000 --> 00:13:26.000]   this is the output of passing these sentences or
[00:13:26.000 --> 00:13:29.000]   these strings into the tokenizer.
[00:13:29.000 --> 00:13:34.000]   We can go ahead and just pass like these input IDs that
[00:13:34.000 --> 00:13:37.000]   correspond to that into the batch decode,
[00:13:37.000 --> 00:13:39.000]   and it'll give us kind of this good,
[00:13:39.000 --> 00:13:43.000]   this decoding that corresponds to all the padding we added in,
[00:13:43.000 --> 00:13:48.000]   each of the particular kind of like words and strings.
[00:13:48.000 --> 00:13:50.000]   And if you want to, you know,
[00:13:50.000 --> 00:13:55.000]   ignore all the presence of these padding tokens or anything like that,
[00:13:55.000 --> 00:13:59.000]   you can also pass that in as skipping the special tokens.
[00:13:59.000 --> 00:14:01.000]   Gotcha. So this gives like a,
[00:14:01.000 --> 00:14:04.000]   this is a pretty high level overview of the,
[00:14:04.000 --> 00:14:07.000]   how you would want to use tokenizers, I guess,
[00:14:07.000 --> 00:14:10.000]   in your, in using HuggingFace.
[00:14:10.000 --> 00:14:16.000]   So now we can talk about maybe how to use the HuggingFace models themselves.
[00:14:16.000 --> 00:14:21.000]   So again, this is, this is pretty similar to what we're seeing for something like
[00:14:21.000 --> 00:14:23.000]   initializing a tokenizer.
[00:14:23.000 --> 00:14:28.000]   You just choose the specific model type for your model,
[00:14:28.000 --> 00:14:33.000]   and then you can use that or the specific kind of auto model class.
[00:14:33.000 --> 00:14:37.000]   Where again, this auto model kind of takes almost the,
[00:14:37.000 --> 00:14:40.000]   like the initialization process,
[00:14:40.000 --> 00:14:42.000]   it takes care of it for you in a pretty easy way,
[00:14:42.000 --> 00:14:45.000]   without really any too much overhead.
[00:14:45.000 --> 00:14:52.000]   So additionally, so for the pre-trained transformers that we have,
[00:14:52.000 --> 00:14:54.000]   they generally have the same underlying architecture,
[00:14:54.000 --> 00:15:00.000]   but you'll have different kind of heads associated with each transformer.
[00:15:00.000 --> 00:15:02.000]   So attention heads that you might have to train
[00:15:02.000 --> 00:15:06.000]   if you're doing some sequence classification or just some other task.
[00:15:06.000 --> 00:15:09.000]   So HuggingFace will do this for you.
[00:15:09.000 --> 00:15:16.000]   And so for this, I will walk through an example of how to do this for sentiment analysis.
[00:15:16.000 --> 00:15:21.000]   So if there's a specific context like sequence classification we want to use,
[00:15:21.000 --> 00:15:28.000]   we can use like this, the very specific kind of like class HuggingFace provides,
[00:15:28.000 --> 00:15:31.000]   so distilbert for sequence classification.
[00:15:31.000 --> 00:15:37.000]   Alternatively, if we were doing it using distilbert in like a mass language model setting,
[00:15:37.000 --> 00:15:40.000]   we use distilbert for mass LM.
[00:15:40.000 --> 00:15:45.000]   And then lastly, if we're just doing it purely for the representations that we get out of distilbert,
[00:15:45.000 --> 00:15:47.000]   we just use like the baseline model.
[00:15:47.000 --> 00:15:50.000]   So the key thing here, or key takeaway,
[00:15:50.000 --> 00:15:56.000]   is that there are some task specific classes that we can use from HuggingFace to initialize.
[00:15:56.000 --> 00:16:01.000]   So AutoModel again is similar to kind of like the AutoTokenizer.
[00:16:01.000 --> 00:16:08.000]   So for this, it's just going to kind of load by default that specific model.
[00:16:08.000 --> 00:16:18.000]   And so in this case, it's going to be just like kind of like the basic weights that you need for that.
[00:16:18.000 --> 00:16:24.000]   Okay. So here, we'll have basically three different types of models that we can look at.
[00:16:24.000 --> 00:16:27.000]   One is like an encoder type model, which is BERT.
[00:16:27.000 --> 00:16:35.000]   A decoder type model, like GPT-2, that's like performing these like, you know,
[00:16:35.000 --> 00:16:37.000]   generating some text potentially.
[00:16:37.000 --> 00:16:40.000]   And encoder decoder models, so BART or T5 in this case.
[00:16:40.000 --> 00:16:45.000]   So again, if you go back to kind of the HuggingFace hub,
[00:16:45.000 --> 00:16:51.000]   there's a whole sort of different types of models that you could potentially use.
[00:16:51.000 --> 00:16:54.000]   And if we look in the documentation as well,
[00:16:54.000 --> 00:17:01.000]   so here we can understand some notion of like the different types of classes that we might want to use.
[00:17:01.000 --> 00:17:05.000]   Right. So there's some notion of like the AutoTokenizer,
[00:17:05.000 --> 00:17:08.000]   different AutoModels for different types of tasks.
[00:17:08.000 --> 00:17:14.000]   So here, again, if you have any kind of like specific use cases that you're looking for,
[00:17:14.000 --> 00:17:16.000]   then you can check the documentation.
[00:17:16.000 --> 00:17:21.000]   Here, again, if you use like an AutoModel from like pre-trained,
[00:17:21.000 --> 00:17:25.000]   you'll just create a model that's an instance of that BERT model.
[00:17:25.000 --> 00:17:31.000]   In this case, BERT model for BERT base case.
[00:17:31.000 --> 00:17:35.000]   Okay. Let's, we can go ahead and start.
[00:17:35.000 --> 00:17:38.000]   One last thing to note is that like again,
[00:17:38.000 --> 00:17:44.000]   the particular choice of your model matches up with kind of the type of architecture that you have to use.
[00:17:44.000 --> 00:17:46.000]   Right. So there are different,
[00:17:46.000 --> 00:17:50.000]   these different types of models can perform specific tasks.
[00:17:50.000 --> 00:17:55.000]   So you're not going to be able to kind of load or use BERT for instance,
[00:17:55.000 --> 00:17:59.000]   or DistilBERT as like a sequence to sequence model for instance,
[00:17:59.000 --> 00:18:06.000]   which requires the encoder and decoder because DistilBERT only consists of an encoder.
[00:18:06.000 --> 00:18:10.000]   So there's a bit of like a limitation on how you can exactly use these,
[00:18:10.000 --> 00:18:16.000]   but it's basically based on like the model architecture itself.
[00:18:16.000 --> 00:18:21.000]   Okay. Awesome. So let's go ahead and get started here.
[00:18:21.000 --> 00:18:28.000]   So similarly here, we can import so AutoModel for sequence classification.
[00:18:28.000 --> 00:18:31.000]   So again, this is, we're going to perform some classification task,
[00:18:31.000 --> 00:18:36.000]   and we'll import this AutoModel here so that we don't have to reference again,
[00:18:36.000 --> 00:18:39.000]   like something like DistilBERT for sequence classification.
[00:18:39.000 --> 00:18:43.000]   We'll be able to load it automatically and it'll be all set.
[00:18:43.000 --> 00:18:47.000]   Alternatively, we can do DistilBERT for sequence classification here,
[00:18:47.000 --> 00:18:52.000]   and that specifically will require DistilBERT to be the input there.
[00:18:52.000 --> 00:18:56.000]   Okay. So these are two different ways of basically getting the same model here.
[00:18:56.000 --> 00:19:01.000]   One using the AutoModel, one using just explicitly DistilBERT.
[00:19:01.000 --> 00:19:05.000]   Cool. And here, because it's classification,
[00:19:05.000 --> 00:19:09.000]   we need to specify the number of labels or the number of classes that we're
[00:19:09.000 --> 00:19:13.000]   actually going to classify for each of the input sentences.
[00:19:13.000 --> 00:19:18.000]   Okay. So here, we'll get some like a warning here, right?
[00:19:18.000 --> 00:19:21.000]   If you are following along and you print this out,
[00:19:21.000 --> 00:19:26.000]   because some of the sequence classification parameters aren't trained yet,
[00:19:26.000 --> 00:19:29.000]   and so we'll go ahead and take care of that.
[00:19:29.000 --> 00:19:34.000]   So here similarly, we'll kind of like walk through how to,
[00:19:34.000 --> 00:19:38.000]   how to actually, you know, train some of these models.
[00:19:38.000 --> 00:19:42.000]   So the first is how do you actually pass any of the inputs that you get from
[00:19:42.000 --> 00:19:44.000]   a tokenizer into the model?
[00:19:44.000 --> 00:19:50.000]   Okay. Well, if we get some model inputs from the tokenizer up here,
[00:19:50.000 --> 00:19:57.000]   and we pass this into the model by specifying that the input IDs are
[00:19:57.000 --> 00:19:59.000]   input IDs from the model inputs.
[00:19:59.000 --> 00:20:04.000]   And likewise, we want to emphasize or we can, you know,
[00:20:04.000 --> 00:20:08.000]   show here and specifically pass in that the attention mask is going to
[00:20:08.000 --> 00:20:11.000]   correspond to the attention mask that we gave from these like,
[00:20:11.000 --> 00:20:14.000]   these outputs of the tokenizer. Okay.
[00:20:14.000 --> 00:20:20.000]   So this is option one where you can specifically identify which property goes to what.
[00:20:20.000 --> 00:20:27.000]   The second option is using kind of a Pythonic hack almost,
[00:20:27.000 --> 00:20:31.000]   which is where you can directly pass in the model inputs.
[00:20:31.000 --> 00:20:38.000]   And so this will basically unpack almost the keys of like the model inputs here.
[00:20:38.000 --> 00:20:40.000]   So the model input keys,
[00:20:40.000 --> 00:20:43.000]   so the input IDs correspond to this.
[00:20:43.000 --> 00:20:47.000]   The attention mask corresponds to the attention mask argument.
[00:20:47.000 --> 00:20:51.000]   So when we use this star star kind of syntax,
[00:20:51.000 --> 00:20:54.000]   this will go ahead and unpack our dictionary and basically map
[00:20:54.000 --> 00:20:56.000]   the arguments to something of the same key.
[00:20:56.000 --> 00:21:00.000]   So this is an alternative way of passing it into the model.
[00:21:00.000 --> 00:21:03.000]   Both are going to be the same.
[00:21:03.000 --> 00:21:10.000]   Okay. So now what we can do is we can actually print out what the model outputs look like.
[00:21:10.000 --> 00:21:12.000]   So again, these are the inputs,
[00:21:12.000 --> 00:21:15.000]   the token IDs and the attention mask.
[00:21:15.000 --> 00:21:19.000]   And then second, we'll get the actual model outputs.
[00:21:19.000 --> 00:21:25.000]   So here, notice that the outputs are given by kind of these legits here.
[00:21:25.000 --> 00:21:27.000]   There's two of them. We pass in one example and
[00:21:27.000 --> 00:21:30.000]   there's kind of two potential classes that we're trying to classify.
[00:21:30.000 --> 00:21:33.000]   Okay. And then lastly, we have a course,
[00:21:33.000 --> 00:21:37.000]   the corresponding distribution over the labels here, right?
[00:21:37.000 --> 00:21:40.000]   Since this is going to be binary classification.
[00:21:40.000 --> 00:21:43.000]   Yes, it's like a little bit weird that you're going to have like
[00:21:43.000 --> 00:21:46.000]   the two classes for the binary classification task.
[00:21:46.000 --> 00:21:50.000]   And you could basically just choose to classify one class or not.
[00:21:50.000 --> 00:21:56.000]   But we do this just basically because of how HuggingFace models are set up.
[00:21:56.000 --> 00:22:00.000]   And so additionally, you know,
[00:22:00.000 --> 00:22:07.000]   these are the models that we load in from HuggingFace are basically just PyTorch modules.
[00:22:07.000 --> 00:22:13.000]   So like these are the actual models and we can use them in the same way that we've been using models before.
[00:22:13.000 --> 00:22:16.000]   So that means things like loss.backward or something like that,
[00:22:16.000 --> 00:22:24.000]   actually will do this back propagation step corresponding to the loss of like your inputs that you pass in.
[00:22:24.000 --> 00:22:28.000]   So, um, so it's really easy to train, train these guys.
[00:22:28.000 --> 00:22:31.000]   As long as you have like a label, you know, label for your data,
[00:22:31.000 --> 00:22:37.000]   you can calculate your loss using, you know, the PyTorch cross entropy function.
[00:22:37.000 --> 00:22:42.000]   You get some loss back and then you can go ahead and back propagate it.
[00:22:42.000 --> 00:22:46.000]   You can actually even get kind of the parameters as well, um,
[00:22:46.000 --> 00:22:50.000]   in the model that you're- would probably get updated from this.
[00:22:50.000 --> 00:22:53.000]   So this is just some big tensor of the actual, um,
[00:22:53.000 --> 00:22:56.000]   embedding weights that you have.
[00:22:56.000 --> 00:23:00.000]   Okay. We also have like a pretty easy way, um,
[00:23:00.000 --> 00:23:03.000]   for HuggingFace itself to be able to,
[00:23:03.000 --> 00:23:05.000]   to calculate the loss that we get.
[00:23:05.000 --> 00:23:08.000]   So again, if we tokenize some input string,
[00:23:08.000 --> 00:23:09.000]   we get our model inputs.
[00:23:09.000 --> 00:23:13.000]   We have two labels, positive and negative, um,
[00:23:13.000 --> 00:23:17.000]   and then give some kind of corresponding label that we assign to the,
[00:23:17.000 --> 00:23:20.000]   the model inputs and we pass this in.
[00:23:20.000 --> 00:23:28.000]   We can see here that the actual model outputs that's- that are given by HuggingFace includes this loss here.
[00:23:28.000 --> 00:23:32.000]   Right. So it'll include the loss corresponding to that input anyways.
[00:23:32.000 --> 00:23:35.000]   So it's a really easy way of actually, um,
[00:23:35.000 --> 00:23:43.000]   calculating the loss just natively in HuggingFace without having to call any additional things from a PyTorch library.
[00:23:43.000 --> 00:23:47.000]   And lastly, we can actually even use, um,
[00:23:47.000 --> 00:23:50.000]   if we have kind of like these two labels here, um,
[00:23:50.000 --> 00:23:52.000]   again for positive or negative,
[00:23:52.000 --> 00:23:55.000]   what we can do is just take the model outputs,
[00:23:55.000 --> 00:24:00.000]   look at the legits and see which one is like the biggest again.
[00:24:00.000 --> 00:24:03.000]   We'll pass that and take, so the argmax,
[00:24:03.000 --> 00:24:09.000]   so that'll give the index that's largest and then that's the output label that the model is actually predicting.
[00:24:09.000 --> 00:24:13.000]   So again, it gives a really easy way of being able to do this sort of like classification,
