
[00:00:00.000 --> 00:00:07.300]   Almost five million people saw the headline 48 hours ago that OpenAI have a secret large language
[00:07:39.440 --> 00:07:46.880]   percent compared to the O3 system with browsing. Likewise on another measure of hallucinations person QA.
[00:07:46.880 --> 00:07:54.000]   It should be noted that OpenAI added the caveat that it was actually Wikipedia getting stuff wrong often.
[00:07:54.000 --> 00:07:59.760]   So there may be some noise in that data. That would be the same data used to train the models but that's
[00:07:59.760 --> 00:08:06.880]   another discussion. On evaluations designed to test whether ChatGPT agent refuses to do high stakes
[00:08:06.880 --> 00:08:14.400]   financial tasks such as making financial account transfers the agent mode was worse than the previous
[00:08:14.400 --> 00:08:21.840]   4.0 or O3 operator. In other words it would be more liable to try to do something highly risky and that's
[00:08:21.840 --> 00:08:28.640]   not the only high stake setting in which things can go haywire under the new system. OpenAI were testing
[00:08:28.640 --> 00:08:34.400]   ChatGPT agent essentially on whether it could produce a bioweapon or at least whether it had one skill
[00:08:34.400 --> 00:08:41.760]   pertaining to that ability. Now ChatGPT agent was unable to install or run the bio design tool but that's
[00:08:41.760 --> 00:08:49.280]   no biggie. But here's where it gets worse. The ChatGPT agent researched and wrote substitute scripts then it
[00:08:49.280 --> 00:08:56.320]   misrepresented those scripts outputs as real tool results. Any terrorists using it for this purpose then
[00:08:56.320 --> 00:09:03.120]   is going to get mightily pissed off. But seriously this is all critical context for these new breakthrough
[00:09:03.120 --> 00:09:09.520]   results that you hear for example the IMO gold. In my opinion even if the best of a language model's
[00:09:09.520 --> 00:09:15.120]   answers are better than before if you can't employ a language model at its lowest point when it
[00:09:15.120 --> 00:09:21.840]   hallucinates then you might not employ it at its best. So while I foresee there being significant impact on
[00:09:21.840 --> 00:09:29.200]   entry-level jobs it's a far cry from eliminating white-collar jobs. That prediction by the way is also
[00:09:29.200 --> 00:09:34.560]   echoed by that math professor who said he sees an increasing number of mathematicians improving their
[00:09:34.560 --> 00:09:39.520]   productivity by using language models to search for known parts of a tentative proof. Another massive
[00:09:39.520 --> 00:09:45.760]   positive of course is that younger entrants to a field can use these kind of tools to more rapidly ascend
[00:09:45.760 --> 00:09:53.040]   to expertise level. Before we leave human jobs for just a moment a word about real jobs you can apply for
[00:09:53.040 --> 00:09:59.520]   today. The sponsors of this video are 80 000 hours and while I have mentioned their podcast and youtube
[00:09:59.520 --> 00:10:05.760]   channel before just a quick reminder that they have a job board link in the description with hundreds of
[00:10:05.760 --> 00:10:11.440]   jobs filtered for positive impact. I'm just going to refresh the page because what I didn't mention
[00:10:11.440 --> 00:10:17.440]   last time when talking about this is that these jobs are around the world as well notice for example
[00:10:17.440 --> 00:10:23.680]   paris. If you are interested in any of this obviously it would be amazing if you could use the link in the
[00:10:23.680 --> 00:10:29.520]   description. Fifth way not to misread the open ai headline. You might have looked at that headline
[00:10:29.520 --> 00:10:37.440]   on twitter and said no it's all hype and ai models have actually hit a plateau. Well try telling that to
[00:10:37.440 --> 00:10:44.640]   this machine learning researcher who got almost half a million impressions for being disappointed in how the
[00:10:44.640 --> 00:10:51.760]   latest models like grok 4 did on the international math olympiad. They found that gemini 2.5 pro did the
[00:10:51.760 --> 00:10:58.640]   best of the models they tested but grok 4 performed particularly poorly. I could point to my own benchmark
[00:10:58.640 --> 00:11:06.960]   simplebench as some form of proof that grok 4 wasn't purely benchmark hacking and that there is plenty of
[00:11:06.960 --> 00:11:14.560]   genuine progress in ai. After all I made this benchmark to expose the gap between human performance and
[00:11:14.560 --> 00:11:20.880]   model performance and yet that gap is shrinking rapidly. There probably will be a simplebench v2
[00:11:20.880 --> 00:11:26.000]   one day soon and yes we are working on benchmarking models like Kimi trust me we are working on it.
[00:11:26.000 --> 00:11:32.320]   Anyway even that researcher Ravid Schwartz did have to admit by saying well played gnome,
[00:11:32.320 --> 00:11:39.680]   gnome brown of open ai, well played. If even after that concession you still think that all ai progress is
[00:11:39.680 --> 00:11:45.760]   just hype wait till the end of the video. Obligatory mention by the way for me at least that I did call
[00:11:45.760 --> 00:11:51.440]   that AI would get gold in the IMO this year. I can't find the quote I think it was from a few months ago.
[00:11:51.440 --> 00:11:57.920]   Maybe one of you can find the quote. Sixth potential misreading. Some of the more trusting among you may
[00:11:57.920 --> 00:12:04.160]   misread the headline as being about a peer-reviewed research paper in which we can learn all about the
[00:12:04.160 --> 00:12:10.800]   methodology. After all this is crucial research and part of open ai's main push towards general
[00:12:10.800 --> 00:12:17.600]   intelligence or AGI. Nope quite the opposite. We have gone from peer-reviewed papers from the frontier
[00:12:17.600 --> 00:12:26.960]   labs say circa 2022 to website posts up to 2024 to now 3am twitter threads. That leaves us with an
[00:12:26.960 --> 00:12:32.960]   unbelievable amount of unknowns about this IMO achievement. The smartest man in the world by
[00:12:32.960 --> 00:12:39.120]   IQ Terence Tao said that there are all sorts of unknowns in how the result was achieved. Each one
[00:12:39.120 --> 00:12:44.880]   of which would cast a result in a slightly more favourable or less favourable light. My key question
[00:12:44.880 --> 00:12:50.800]   along with him is did the model submit multiple attempts for example. That is by the way allowed for
[00:12:50.800 --> 00:12:56.720]   the human participants. Neil Nanda again asks about more subtle hacks but we just don't know. This
[00:12:56.720 --> 00:13:04.640]   forces us including me to have to read between the lines of obscure esoteric tweets but I would say that
[00:13:04.640 --> 00:13:11.760]   one key technique does seem to be just to let inference run for longer. As in train models to output yet
[00:13:11.760 --> 00:13:20.000]   longer chains of thought. Again according to Noam Brown this model thinks for a long time for hours and
[00:13:20.000 --> 00:13:26.320]   he says there's a lot of room to push that test time compute and efficiency further. How much compute was
[00:13:26.320 --> 00:13:32.160]   used during the competition? We don't know. How much cash would such inference cost an average user? Again
[00:13:32.160 --> 00:13:37.840]   we don't know but it does seem to hint that we really will be getting those two thousand dollar a month
[00:13:37.840 --> 00:13:44.480]   pricing tiers for ChatGPT. The most intriguing hint for me and some of you watching will be the fact
[00:13:44.480 --> 00:13:52.160]   that these new techniques he says make LLMs a lot better at hard to verify tasks. If OpenAI do take
[00:13:52.160 --> 00:13:58.960]   the lead in software engineering for example by the end of the year that really would be a big shake-up.
[00:13:58.960 --> 00:14:06.400]   Unlike competitive coding software engineering is harder to verify but has huge economic impact. But back to
[00:14:06.400 --> 00:14:11.760]   that sixth misreading while I strongly suspect Google's announcement will be more quantitative
[00:14:11.760 --> 00:14:18.480]   on the 28th and detailed it will likely still fall far short of complete transparency. Such is the money
[00:14:18.480 --> 00:14:25.920]   at stake in AI these days. Speaking of which by the way side note would you turn down a 300 million dollar
[00:14:25.920 --> 00:14:32.960]   annual salary to work at Meta? Make that 312 by the way in case you weren't convinced. Seventh misreading
[00:14:32.960 --> 00:14:38.480]   that we will have to wait to the end of the year to get a glimpse of OpenAI's progress.
[00:14:38.480 --> 00:14:46.880]   No it seems GPT-5 reasoning alpha is coming pretty soon. Not the same as the model coming out at the
[00:14:46.880 --> 00:14:54.480]   end of the year that got gold but nevertheless it will give us a taste of the latest progress at OpenAI.
[00:14:54.480 --> 00:15:00.400]   Eighth misreading that the AI news these days is nothing but insane progress and exponentials.
[00:15:00.400 --> 00:15:06.720]   Actually no see this new Meta report. I have chatted with the lead author both in person and online and
[00:15:06.720 --> 00:15:13.840]   we'll hopefully do a deep dive soon but the TLDR is that against expectations even the participants
[00:15:13.840 --> 00:15:20.400]   expectations language models can slow down developers in certain settings. Especially on more complex
[00:15:20.400 --> 00:15:25.760]   code bases averaging over a million lines of code in which the developers already have lots of experience.
[00:15:25.760 --> 00:15:30.880]   Recent language models at least just get a little bit overwhelmed. We'll see about the new generation of
[00:15:30.880 --> 00:15:35.920]   models but this does remind us that if competition coding were the same as real world software
[00:15:35.920 --> 00:15:41.200]   engineering you just wouldn't see results like this. The developers thought that using language models
[00:15:41.200 --> 00:15:47.680]   within Cursor would speed them up by say 25 percent but it actually slowed them down by around 20 percent.
[00:15:47.680 --> 00:15:53.040]   Again it's a small study but a fascinating one that I'll come back to. Ninth and finally try not to
[00:15:53.040 --> 00:15:59.600]   misread the gold medal headline and think that you know generative AI is just all about phony benchmarks.
[00:15:59.600 --> 00:16:06.240]   It doesn't ever have any real world impact. Well aside from a potential negative impact of our new age
[00:16:06.240 --> 00:16:11.680]   of intelligent surveillance that's covered in my most recent documentary on Patreon. Do check it out.
[00:16:11.680 --> 00:16:19.520]   AI and language models can also have and have had positive impact in hard numbers real world settings.
[00:16:19.520 --> 00:16:26.480]   Just take alpha evolve and I did do a separate video on this but it made data centers about 0.7 percent
[00:16:26.480 --> 00:16:32.560]   more efficient in the real world. Or more technically the alpha evolve system continuously recovers on
[00:16:32.560 --> 00:16:38.560]   average 0.7 percent of Google's worldwide compute resources. This sustained efficiency gain means that
[00:16:38.560 --> 00:16:44.000]   at any given moment more tasks can be completed on the same computational footprint. That's an example of
[00:16:44.000 --> 00:16:50.160]   the marrying of language models essentially next word predictors with symbolic pre-programmed systems.
[00:16:50.160 --> 00:16:55.680]   That seems to be the sweet spot at the moment for real world impact and I suspect on the 28th of July
[00:16:55.680 --> 00:17:00.560]   Google's submission to the International Math Olympiad will use a bit of both. We'll see. Did they get
[00:17:00.560 --> 00:17:06.240]   problem six correct? Did they demonstrate real creativity? Time will tell. Either way I would argue
[00:17:06.240 --> 00:17:12.800]   as you can see plenty of ways of misreading the headline. But what do you think? In a meta way have I misread the
[00:17:12.800 --> 00:17:19.360]   headline? Quite possible. Even if I have thank you so much for watching to the end and have a wonderful day.

