
[00:00:00.000 --> 00:00:06.040]   [ Silence ]
[00:05:09.700 --> 00:05:11.120]   then I'll reassign it one more time,
[00:05:11.120 --> 00:05:12.960]   but I'll let 'em know this is the last time
[00:05:12.960 --> 00:05:14.120]   because they're basically saying,
[00:05:14.120 --> 00:05:17.080]   they can communicate to me verbally
[00:05:17.080 --> 00:05:18.560]   that they're really serious about counseling,
[00:05:18.560 --> 00:05:21.140]   but they're showing to me they're really not.
[00:05:21.140 --> 00:05:23.520]   Or they disagree with the homework in some way,
[00:05:23.520 --> 00:05:26.520]   and either they're gonna trust you as a counselor
[00:05:26.520 --> 00:05:28.080]   or they're not gonna trust you.
[00:05:28.080 --> 00:05:31.680]   If you're showing them from God's word
[00:05:31.680 --> 00:05:34.360]   what they ought to be doing, then they should trust you.
[00:05:36.120 --> 00:05:37.120]   If they don't want to trust you,
[00:05:37.120 --> 00:05:38.640]   well then that's their choice.
[00:05:38.640 --> 00:05:45.400]   So then you terminate it.
[00:05:45.400 --> 00:05:49.320]   And sometimes, one of the last appointments,
[00:05:49.320 --> 00:05:50.480]   after the second or third time
[00:05:50.480 --> 00:05:51.360]   they haven't done their homework,
[00:05:51.360 --> 00:05:52.860]   then I'll say to them, listen,
[00:05:52.860 --> 00:05:57.640]   I'm gonna send you home with this homework one more time.
[00:05:57.640 --> 00:05:58.460]   I don't want to see you.
[00:05:58.460 --> 00:05:59.960]   I'm not gonna set up a future appointment with you
[00:05:59.960 --> 00:06:01.920]   until you've done the homework.
[00:06:01.920 --> 00:06:04.080]   When you've done the homework, you call back,
[00:06:04.080 --> 00:06:09.080]   set up an appointment again, and we'll meet with you.
[00:06:09.080 --> 00:06:11.720]   But until that homework's done, I don't want to see you.
[00:06:11.720 --> 00:06:15.280]   That's a good question.
[00:06:15.280 --> 00:06:18.360]   All right, it also functions as a measuring stick
[00:06:18.360 --> 00:06:25.200]   on how quickly they're growing, how well they're growing.
[00:06:25.200 --> 00:06:28.600]   You're able to measure how well they understand
[00:06:28.600 --> 00:06:31.000]   what the Bible says about their particular problem,
[00:06:31.000 --> 00:06:32.960]   how well they handle the Bible
[00:06:32.960 --> 00:06:35.480]   in dealing with their problems.
[00:06:35.480 --> 00:06:42.080]   So it functions as a measuring stick.
[00:06:42.080 --> 00:06:46.520]   It also decreases the counselee's dependence upon you.
[00:06:46.520 --> 00:06:47.720]   The more they do their homework,
[00:06:47.720 --> 00:06:50.720]   the more active they become in the word of God,
[00:06:50.720 --> 00:06:54.500]   the less dependent they are on you and your counsel.
[00:06:54.500 --> 00:06:58.240]   Homework also provides a good starting point
[00:06:58.240 --> 00:07:00.720]   for every counseling appointment.
[00:07:01.400 --> 00:07:04.400]   In fact, the first thing that happens
[00:07:04.400 --> 00:07:07.480]   every time I do counseling is a couple
[00:07:07.480 --> 00:07:09.500]   or a family comes in and sits down.
[00:07:09.500 --> 00:07:12.680]   I say to them, let's have prayer, and then we'll get started.
[00:07:12.680 --> 00:07:16.300]   So we have prayer together, and then first thing I say,
[00:07:16.300 --> 00:07:18.820]   I open up my little notes that I'm keeping,
[00:07:18.820 --> 00:07:21.440]   and then it's a copy of the homework that I gave them
[00:07:21.440 --> 00:07:23.960]   during the last session, and I start going
[00:07:23.960 --> 00:07:26.320]   through the homework and talking about it.
[00:07:26.320 --> 00:07:29.480]   All right, I assigned you this particular passage
[00:07:29.480 --> 00:07:31.640]   of scripture to read and study and identify
[00:07:31.640 --> 00:07:34.200]   four or five major things in that passage
[00:07:34.200 --> 00:07:36.080]   that kind of hit you right between the eyes,
[00:07:36.080 --> 00:07:39.040]   and what does God say about your problem
[00:07:39.040 --> 00:07:40.920]   as a result of this passage?
[00:07:40.920 --> 00:07:43.520]   And I ask you to write those four or five things down.
[00:07:43.520 --> 00:07:46.120]   So they've done that, I check that off.
[00:07:46.120 --> 00:07:47.400]   We have a chance to discuss that,
[00:07:47.400 --> 00:07:50.440]   and then I move to the next thing, and then the next thing.
[00:07:50.440 --> 00:07:52.080]   So that's a good place to get started.
[00:07:52.080 --> 00:07:53.700]   That gets everything rolling.
[00:07:53.700 --> 00:07:56.720]   That gets the conversation going, you know,
[00:07:56.720 --> 00:08:00.960]   and then I just naturally transition
[00:08:00.960 --> 00:08:02.720]   into other instruction that I want to give them
[00:08:02.720 --> 00:08:03.720]   during that session.
[00:08:03.720 --> 00:08:07.920]   It also, you'll find out, when you get your counselees
[00:08:07.920 --> 00:08:10.280]   used to doing good homework, and they achieve
[00:08:10.280 --> 00:08:13.460]   some success in it, it actually builds their confidence
[00:08:13.460 --> 00:08:16.480]   in how to solve problems biblically,
[00:08:16.480 --> 00:08:18.900]   and that's what you want.
[00:08:18.900 --> 00:08:23.960]   You want to build their confidence, not self-confidence.
[00:08:23.960 --> 00:08:25.400]   We're not talking about that.
[00:08:25.400 --> 00:08:27.520]   We're not Adlerian.
[00:08:27.520 --> 00:08:30.360]   We're not talking about self-esteem and self-confidence.
[00:08:30.360 --> 00:08:31.980]   We're not talking about what Jim Dobson
[00:08:31.980 --> 00:08:33.360]   would talk about there.
[00:08:33.360 --> 00:08:37.840]   We're talking about confidence, not in self,
[00:08:37.840 --> 00:08:41.120]   but in the word of God to solve their problems.
[00:08:41.120 --> 00:08:44.260]   They see how the Bible speaks to their problem.
[00:08:44.260 --> 00:08:45.320]   Before, they didn't see it.
[00:08:45.320 --> 00:08:49.720]   Now, they do, and it builds the counselees' confidence
[00:08:49.720 --> 00:08:51.200]   in the scriptures.
[00:08:51.200 --> 00:08:55.260]   Number 12, there's a failure, then, in the homework
[00:08:55.260 --> 00:08:58.320]   provides an opportunity for more data gathering.
[00:08:58.320 --> 00:09:00.000]   Why have they failed?
[00:09:00.000 --> 00:09:01.700]   Is there a legitimate reason?
[00:09:01.700 --> 00:09:07.280]   Did you give them too much homework?
[00:09:07.280 --> 00:09:09.280]   Maybe you did, and sometimes you have to realize
[00:09:09.280 --> 00:09:10.460]   you have to back off.
[00:09:10.460 --> 00:09:16.600]   If you have a counselee that's not a real good reader,
[00:09:16.600 --> 00:09:20.960]   never really done a whole lot of work before
[00:09:20.960 --> 00:09:23.640]   in studying the Bible, you don't want to give them
[00:09:23.640 --> 00:09:25.640]   a whole lot, just a little bit.
[00:09:25.640 --> 00:09:30.540]   You can easily overwhelm them and drown them in homework,
[00:09:30.540 --> 00:09:32.480]   and that's not good.
[00:09:32.480 --> 00:09:45.640]   This becomes a opportunity for good data gathering.
[00:09:45.640 --> 00:09:48.580]   It also forces your counselee to implement
[00:09:48.580 --> 00:09:50.620]   and practice the truths that you're talking about
[00:09:50.620 --> 00:09:51.460]   in counseling.
[00:09:52.860 --> 00:09:54.820]   In other words, they have to take this home with them.
[00:09:54.820 --> 00:09:55.740]   They have to work on it.
[00:09:55.740 --> 00:09:57.340]   That's why it's called homework.
[00:09:57.340 --> 00:10:01.100]   So, they have to take it home and practice it now.
[00:10:01.100 --> 00:10:07.640]   So, it forces them to do that.
[00:10:07.640 --> 00:10:13.340]   14, problem-solving book now for the future.
[00:10:13.340 --> 00:10:16.300]   In other words, I always have the counselee
[00:10:16.300 --> 00:10:21.060]   keep a record of all their homework in a notebook
[00:10:21.060 --> 00:10:24.540]   so that if this problem that we're working on
[00:10:24.540 --> 00:10:27.000]   comes back later on in the future,
[00:10:27.000 --> 00:10:29.180]   they have a resource manual to go back to
[00:10:29.180 --> 00:10:31.500]   and say, all right, this is what we worked on.
[00:10:31.500 --> 00:10:32.540]   This is what we studied.
[00:10:32.540 --> 00:10:34.020]   This is what we learned.
[00:10:34.020 --> 00:10:37.140]   So, they don't always have to come back to you
[00:10:37.140 --> 00:10:38.840]   and start up the counseling again.
[00:10:38.840 --> 00:10:43.100]   So, it becomes a good resource manual for them.
[00:10:43.100 --> 00:10:46.740]   A personalized, by the way, that's what makes it so neat.
[00:10:46.740 --> 00:10:49.540]   It's a personalized resource manual
[00:10:49.540 --> 00:10:52.080]   for their particular problem.
[00:10:52.080 --> 00:10:57.340]   Boy, I've had some counselees have a notebook
[00:10:57.340 --> 00:10:59.580]   that thick when they were done.
[00:10:59.580 --> 00:11:03.020]   I mean, they just page after page after page
[00:11:03.020 --> 00:11:05.920]   of Bible study, work, observations,
[00:11:05.920 --> 00:11:08.420]   dah, dah, dah, dah, dah, dah.
[00:11:08.420 --> 00:11:13.420]   And when you have a personalized manual or workbook
[00:11:13.420 --> 00:11:17.540]   on a problem that they've struggled with all of their life,
[00:11:17.540 --> 00:11:19.300]   now they've got something concrete
[00:11:19.300 --> 00:11:21.000]   to take with them into the future.
[00:11:21.000 --> 00:11:26.420]   So, it's a problem-solving book for the future.
[00:11:26.420 --> 00:11:29.900]   15, and last of all, it provides people with tools
[00:11:29.900 --> 00:11:31.640]   for use with other people.
[00:11:31.640 --> 00:11:37.220]   Most people who keep this kind of a workbook
[00:11:37.220 --> 00:11:41.860]   will end up using it with other people.
[00:11:41.860 --> 00:11:43.580]   In fact, the real danger is they'll interpret
[00:11:43.580 --> 00:11:47.000]   everybody's problems through their problems.
[00:11:47.000 --> 00:11:48.340]   That's dangerous.
[00:11:48.340 --> 00:11:51.940]   That's not a good thing, but there probably is
[00:11:51.940 --> 00:11:53.980]   an awful lot of things that they learned
[00:11:53.980 --> 00:11:56.180]   as a result of their problem that are applicable
[00:11:56.180 --> 00:11:59.220]   to a variety of different issues that are out there
[00:11:59.220 --> 00:12:01.820]   from a scriptural standpoint.
[00:12:01.820 --> 00:12:06.220]   So, there's all the benefits of providing
[00:12:06.220 --> 00:12:08.900]   really, really good homework
[00:12:08.900 --> 00:12:11.480]   that is beneficial to the counselee.
[00:12:11.480 --> 00:12:16.300]   Now, what is the nature of good homework?
[00:12:16.300 --> 00:12:20.680]   Well, you gotta have, it's gotta be biblical
[00:12:20.680 --> 00:12:23.240]   in orientation as well as function.
[00:12:23.240 --> 00:12:26.620]   What do we mean by that?
[00:12:26.620 --> 00:12:32.040]   It needs to, well, it actually,
[00:12:32.040 --> 00:12:36.080]   at the core of all good homework is, like I said,
[00:12:36.080 --> 00:12:38.960]   getting people into the Word of God,
[00:12:38.960 --> 00:12:42.360]   solving their problems from scripture,
[00:12:42.360 --> 00:12:44.860]   where they see it, they study it,
[00:12:44.860 --> 00:12:47.120]   they understand it correctly.
[00:12:47.120 --> 00:12:48.420]   They see it within context.
[00:12:48.420 --> 00:12:52.960]   They're not trying to pull it out of context.
[00:12:52.960 --> 00:12:55.720]   They see the theological implications to it,
[00:12:55.720 --> 00:12:58.120]   and they're changing their life in accordance with that.
[00:12:58.120 --> 00:12:59.520]   That's what we mean by that.
[00:12:59.520 --> 00:13:04.800]   Good homework also is specific concrete.
[00:13:04.800 --> 00:13:06.200]   It's not vague and fuzzy.
[00:13:06.200 --> 00:13:12.760]   Get them out of fuzzy land.
[00:13:12.760 --> 00:13:14.200]   Get them out of Vaguesville.
[00:13:15.180 --> 00:13:20.180]   The more you allow your counselee to be fuzzy or vague,
[00:13:20.180 --> 00:13:25.240]   the slower their development will be.
[00:13:25.240 --> 00:13:29.160]   The more concrete and specific about it,
[00:13:29.160 --> 00:13:31.020]   let me give you an instance.
[00:13:31.020 --> 00:13:35.620]   Like, for instance, you'll ask a husband and wife
[00:13:35.620 --> 00:13:38.020]   is having problems, and they come back in,
[00:13:38.020 --> 00:13:39.880]   and you start to review their homework,
[00:13:39.880 --> 00:13:41.260]   and you say, listen, George,
[00:13:41.260 --> 00:13:43.420]   what is it that you've learned this week
[00:13:43.420 --> 00:13:45.440]   in order to be a more godly husband?
[00:13:45.440 --> 00:13:49.100]   George says, well, pastor,
[00:13:49.100 --> 00:13:53.020]   I've learned to love my wife more.
[00:13:53.020 --> 00:13:58.740]   Well, that's really good, George, but what does that mean?
[00:13:58.740 --> 00:14:01.520]   Does that mean, when most American Europeans
[00:14:01.520 --> 00:14:03.860]   talk about loving their wife more,
[00:14:03.860 --> 00:14:08.860]   it usually means emoting lots of good emotions towards her.
[00:14:08.860 --> 00:14:10.060]   So is that what you're gonna do?
[00:14:10.060 --> 00:14:12.180]   You're gonna go home every day and sit there and,
[00:14:12.180 --> 00:14:16.620]   mmm, and emote lots of good emotions towards your wife?
[00:14:16.620 --> 00:14:18.420]   Is that what you're gonna do, George?
[00:14:18.420 --> 00:14:23.780]   No, I got a feeling that's not what you're looking for.
[00:14:23.780 --> 00:14:26.260]   You're right, George, that's not what I'm looking for.
[00:14:26.260 --> 00:14:30.460]   Okay, what does that mean,
[00:14:30.460 --> 00:14:32.100]   you're gonna love your wife more?
[00:14:32.100 --> 00:14:35.140]   I'm gonna think of her first.
[00:14:35.140 --> 00:14:37.300]   Well, how are you gonna think of her first?
[00:14:40.580 --> 00:14:43.460]   Well, maybe I'll help her out
[00:14:43.460 --> 00:14:46.740]   with some of the responsibilities around the house.
[00:14:46.740 --> 00:14:48.880]   Well, that's good, George, like what?
[00:14:48.880 --> 00:14:50.820]   Let's be specific here.
[00:14:50.820 --> 00:14:52.980]   What are we talking about, helping your wife out
[00:14:52.980 --> 00:14:55.540]   with some of the responsibilities around the house?
[00:14:55.540 --> 00:15:01.520]   I guess I could take out the garbage.
[00:15:01.520 --> 00:15:03.500]   Does your wife take out the garbage, George?
[00:15:03.500 --> 00:15:05.100]   Well, I guess she does.
[00:15:05.100 --> 00:15:06.600]   Well, why is that happening?
[00:15:06.600 --> 00:15:10.420]   You ought to be doing it, right?
[00:15:10.420 --> 00:15:12.060]   Oh, I guess so.
[00:15:12.060 --> 00:15:15.980]   Anything else, George?
[00:15:15.980 --> 00:15:17.780]   Is taking out the garbage gonna communicate
[00:15:17.780 --> 00:15:18.980]   that you love your wife?
[00:15:18.980 --> 00:15:24.080]   She's sitting there, smiling, like this.
[00:15:24.080 --> 00:15:29.540]   George hasn't taken out the garbage ever in their marriage.
[00:15:29.540 --> 00:15:34.380]   Well, I guess I could help her out after meals
[00:15:34.380 --> 00:15:37.200]   and maybe even wash the dishes.
[00:15:37.200 --> 00:15:39.460]   Now his wife's having a heart attack.
[00:15:39.460 --> 00:15:40.620]   [panting]
[00:15:40.620 --> 00:15:43.260]   She's hyperventilating, okay?
[00:15:43.260 --> 00:15:44.660]   That's good, George, that's right.
[00:15:44.660 --> 00:15:46.380]   That's a good way to show your wife
[00:15:46.380 --> 00:15:49.020]   that you really love her.
[00:15:49.020 --> 00:15:50.180]   What else, George?
[00:15:50.180 --> 00:15:54.140]   Well, I'm not gonna throw my clothes and underwear
[00:15:54.140 --> 00:15:55.500]   all over the bedroom.
[00:15:55.500 --> 00:15:58.540]   Well, that's good, where are you gonna put 'em, George?
[00:15:58.540 --> 00:15:59.380]   In the laundry.
[00:15:59.380 --> 00:16:01.720]   Well, what's gonna happen to that laundry?
[00:16:01.720 --> 00:16:04.020]   Well, my wife's gonna wash 'em.
[00:16:04.020 --> 00:16:05.580]   Why's your wife gotta wash 'em?
[00:16:05.580 --> 00:16:09.300]   You want me to wash 'em, Pastor?
[00:16:09.300 --> 00:16:12.260]   Yeah, what about you washing and doing the laundry?
[00:16:12.260 --> 00:16:16.180]   George's eyes are like this.
[00:16:16.180 --> 00:16:17.060]   His wife is.
[00:16:17.060 --> 00:16:20.780]   All right.
[00:16:20.780 --> 00:16:22.940]   Now we're getting down to concrete.
[00:16:22.940 --> 00:16:25.220]   Illustrations, George, this is exactly
[00:16:25.220 --> 00:16:26.820]   what we're talking about.
[00:16:26.820 --> 00:16:30.020]   Don't let them be in Fuzzyland or Vaguesville.
[00:16:30.020 --> 00:16:33.520]   'Cause they'll try to get away with that.
[00:16:33.520 --> 00:16:36.940]   They'll say, well, you know, I need to love my wife more.
[00:16:36.940 --> 00:16:38.920]   And they'll expect you to accept that as the answer.
[00:16:38.920 --> 00:16:42.220]   No, no, no, no, you pin George down.
[00:16:42.220 --> 00:16:44.460]   You get him to be very specific
[00:16:44.460 --> 00:16:46.740]   about what he's talking about.
[00:16:46.740 --> 00:16:49.380]   All right, then the next week, guess what?
[00:16:49.380 --> 00:16:50.980]   You're gonna ask George the next week,
[00:16:50.980 --> 00:16:52.820]   I'm making a little note in my notes,
[00:16:52.820 --> 00:16:54.420]   I'm gonna ask George how many times
[00:16:54.420 --> 00:16:56.420]   did George do the dishes for his wife?
[00:16:56.420 --> 00:16:58.700]   How many times did he take out the trash?
[00:16:58.700 --> 00:17:02.520]   How many times did he sweep up the room or run the vacuum?
[00:17:02.520 --> 00:17:05.540]   How many times did he, you know, I wanna know these things.
[00:17:05.540 --> 00:17:07.460]   I wanna know what's really changing
[00:17:07.460 --> 00:17:09.940]   on a week-to-week basis in George's life.
[00:17:09.940 --> 00:17:12.780]   I wanna know that.
[00:17:12.780 --> 00:17:18.300]   And the same thing with George's wife, Irene.
[00:17:18.300 --> 00:17:19.980]   She can't just get away with,
[00:17:19.980 --> 00:17:25.060]   well, I've gotta submit myself more to my husband, okay?
[00:17:25.060 --> 00:17:26.940]   Well, what does that mean?
[00:17:26.940 --> 00:17:28.700]   That's very fuzzy.
[00:17:28.700 --> 00:17:31.140]   I mean, that's the right thing, you got the right concept,
[00:17:31.140 --> 00:17:34.780]   but how is that going to be specifically applied
[00:17:34.780 --> 00:17:38.500]   to your particular situation in your home?
[00:17:38.500 --> 00:17:41.300]   How are you going to submit yourself to your husband?
[00:17:41.300 --> 00:17:48.860]   Well, I guess I'm gonna let him have the checkbook.
[00:17:48.860 --> 00:17:53.320]   Well, that's a good idea.
[00:17:53.320 --> 00:17:55.220]   All right, let him have the checkbook.
[00:17:55.220 --> 00:17:57.140]   That's right.
[00:18:01.020 --> 00:18:06.020]   I guess I'm going to think about him before myself.
[00:18:06.020 --> 00:18:07.960]   Well, good, that's good, Irene.
[00:18:07.960 --> 00:18:09.060]   How are you gonna do that?
[00:18:09.060 --> 00:18:13.140]   How are you gonna think about George before yourself?
[00:18:13.140 --> 00:18:20.940]   Well, rather than preparing dinner when he gets home
[00:18:20.940 --> 00:18:28.420]   with something that I would want to have for dinner,
[00:18:28.420 --> 00:18:29.700]   I'm gonna prepare something
[00:18:29.700 --> 00:18:31.760]   that George will really like for dinner.
[00:18:31.760 --> 00:18:34.740]   That's good, Irene.
[00:18:34.740 --> 00:18:38.080]   Something that George would really like for dinner.
[00:18:38.080 --> 00:18:39.000]   That's good, like what?
[00:18:39.000 --> 00:18:40.820]   What would George really like?
[00:18:40.820 --> 00:18:44.220]   What is it, apple pie?
[00:18:44.220 --> 00:18:45.940]   Oh, apple pie, Ruben says.
[00:18:45.940 --> 00:18:48.620]   [laughing]
[00:18:48.620 --> 00:18:50.080]   I gotta tell your wife.
[00:18:50.080 --> 00:18:52.340]   [laughing]
[00:18:52.340 --> 00:18:54.140]   Not yet.
[00:18:54.140 --> 00:18:56.380]   [laughing]
[00:18:57.220 --> 00:19:02.220]   That's right, yes, can you pan the camera down
[00:19:02.220 --> 00:19:04.420]   a little bit here to?
[00:19:04.420 --> 00:19:06.660]   [laughing]
[00:19:06.660 --> 00:19:11.340]   So there's, you gotta get them to be specific, concrete,
[00:19:11.340 --> 00:19:14.180]   practical in addressing their marital needs.
[00:19:14.180 --> 00:19:19.180]   Again, it's not enough for them to commit themselves
[00:19:19.180 --> 00:19:21.980]   to communicating better.
[00:19:21.980 --> 00:19:23.060]   That's not enough.
[00:19:23.940 --> 00:19:27.220]   They have gotta say, okay, this coming week,
[00:19:27.220 --> 00:19:30.460]   we're gonna sit down together three times
[00:19:30.460 --> 00:19:33.420]   and we're gonna spend 45 minutes or an hour, three times,
[00:19:33.420 --> 00:19:36.100]   where we have a chance to communicate
[00:19:36.100 --> 00:19:37.740]   and talk about some of our concerns
[00:19:37.740 --> 00:19:40.580]   and some of the problems that we have that are going on.
[00:19:40.580 --> 00:19:41.820]   That's what we're talking about.
[00:19:41.820 --> 00:19:45.020]   There also needs to be, you need to be flexible
[00:19:45.020 --> 00:19:47.620]   in varying dynamics of marriage as well.
[00:19:49.820 --> 00:19:54.820]   Flexibility means that you're not so hard and fast
[00:19:54.820 --> 00:19:57.260]   on one particular course of action
[00:19:57.260 --> 00:20:00.620]   that you're not willing to give your spouse an opportunity
[00:20:00.620 --> 00:20:03.180]   to help to vary that course of action or change.
[00:20:03.180 --> 00:20:04.820]   There's gotta be that flexibility.
[00:20:04.820 --> 00:20:08.320]   There has to be appropriate or applicable,
[00:20:08.320 --> 00:20:11.160]   the homework has to be appropriate or applicable,
[00:20:11.160 --> 00:20:14.360]   not theologically abstract.
[00:20:17.100 --> 00:20:19.880]   We want them to take theology and make it concrete again.
[00:20:19.880 --> 00:20:24.880]   We don't want them to just remain in abstract terms.
[00:20:24.880 --> 00:20:31.020]   It's easy for people to do that.
[00:20:31.020 --> 00:20:33.600]   It also needs to be reportable
