
[00:00:00.000 --> 00:00:05.240]   I write the script in December, January, Josh Arnett, Marlee Shelton, come down, fly Frank in,
[00:07:14.440 --> 00:07:20.140]   the big fireballs. So we're going, and you're nervous, because like, if one of them trips up a
[00:07:20.140 --> 00:07:23.760]   line, and you know, the pressure's on them, it's not just you that's nervous. You're nervous for them.
[00:07:23.760 --> 00:07:29.480]   They're the ones who got to walk out, do that whole speech, get in the car, and drive away. What if the
[00:07:29.480 --> 00:07:33.220]   car doesn't start? What do you know? There's a lot of things that could happen. Well, guess what happens?
[00:07:33.700 --> 00:07:41.720]   The thing you would not expect, they go in, they come out, they start talking, shoot it. It's
[00:07:41.720 --> 00:07:46.220]   perfect. Great. We can move on. And the camera guy goes, I don't know what happened, but just like
[00:07:46.220 --> 00:07:52.420]   you had a little snafu here, he goes, we have an autofocus on the steadicam. I mean, we have a focus
[00:07:52.420 --> 00:07:58.920]   thing. It just went like this. I felt it go whack all the way out of focus, and whack for a second
[00:07:58.920 --> 00:08:02.880]   back. Like, it just reset itself. I don't know why it did that, you know, because it's radio
[00:08:02.880 --> 00:08:06.740]   controlled. And we can't tell because we're shooting film, you know, sort of like, oh,
[00:08:06.740 --> 00:08:10.600]   shit, let's watch the dailies, sure enough. Let's see if we can get, maybe I can scratch
[00:08:10.600 --> 00:08:14.980]   the film right there. No, it goes completely out of focus and back in focus within a second.
[00:08:14.980 --> 00:08:20.980]   Now we got to reshoot it. So we had to wait till we're back in that location. We rigged
[00:08:20.980 --> 00:08:24.820]   it for two more takes, just in case. So that thing that was supposed to be the one take is
[00:08:24.820 --> 00:08:31.600]   three takes. The other thing that happened was the front of the Dust Till Dawn bar was
[00:08:31.600 --> 00:08:37.500]   that same guy that did those explosions. He packed a bunch of explosives behind the actors.
[00:08:37.500 --> 00:08:43.500]   When the actors come running out of the, of the bar at the end of the movie, and there's
[00:08:43.500 --> 00:08:48.040]   an explosion through the door because all the vampires are blowing up. He didn't just, he
[00:08:48.040 --> 00:08:53.180]   put like 10 times. So it blew out. You see it in the movie. You see this huge fireball
[00:08:53.180 --> 00:08:56.780]   going up. And if you watch closely, you see it already start to catch the whole place on
[00:08:56.780 --> 00:09:02.700]   fire. The whole front of that, which is foam catching on fire. And I cut just before you
[00:09:02.700 --> 00:09:08.340]   see that it's on fire. And we, that was the first shot at that bar. Cause we weren't going
[00:09:08.340 --> 00:09:14.100]   to start shooting the other stuff till night. So the first shot is that, and the sets ruined
[00:09:14.100 --> 00:09:21.920]   burned or crisp. The neon lights blew up. So we couldn't even shoot. Cheech goes, well,
[00:09:21.920 --> 00:09:27.140]   I guess I'm not doing my speech tonight. And, but right away, this is what, this is what happens.
[00:09:27.140 --> 00:09:33.860]   My first AD, Doug Arnachowski comes over to me and I go over to him. The guys came out with
[00:09:33.860 --> 00:09:37.680]   the fire hoses, the fire hoses weren't even adding water. It was like, the thing was just
[00:09:37.680 --> 00:09:42.400]   scorching. The whole production design team was in tears because they had just spent weeks building
[00:09:42.400 --> 00:09:48.200]   this thing and it was up in smoke and charred. I said, let's just keep shooting. Let's just keep
[00:09:48.200 --> 00:09:52.920]   shooting because it looks really kind of cool like this. Yeah. They're going to have to come repair
[00:09:52.920 --> 00:09:57.000]   it and we'll have to come back, but it's all black and charred. That's why that whole scene with
[00:09:57.000 --> 00:10:00.860]   George Clooney and Cheech and that the building's black. We didn't go over there and touch that up.
[00:10:00.860 --> 00:10:05.820]   That's real flame that burned and it ended up looking great. So then the next week when
[00:10:05.820 --> 00:10:10.520]   we came back to shoot that other shot that didn't work, we came back and they had repaired it and we
[00:10:10.520 --> 00:10:15.600]   shot all the night stuff, which is the majority of the stuff in front of it. So sometimes you got to
[00:10:15.600 --> 00:10:20.000]   roll with it and then, and look, look at the blessing you get because of this mistake. You probably
[00:10:20.000 --> 00:10:24.920]   actually got a better take by doing it later with them. And then you had this incredible look for the
[00:10:24.920 --> 00:10:29.460]   end of the movie that looked apocalyptic. If it had looked just clean, you would have actually seen
[00:10:29.460 --> 00:10:34.260]   that it was kind of a foam set. This made it look better. So I kind of let the universe push you
[00:10:34.260 --> 00:10:37.240]   where you're supposed to go. Just roll with it. You got to roll with it because you don't know what
[00:10:37.240 --> 00:10:40.960]   the grand plan is. You have your plan. Just know it's probably all going to fall apart.
[00:10:40.960 --> 00:10:45.060]   It's just like the movies. You come up with your plan of what you want to accomplish. That's like
[00:10:45.060 --> 00:10:50.080]   your script. Then you go scout your location and figure out what your project's going to be,
[00:10:50.080 --> 00:10:53.920]   you know, and you go try to make it as bulletproof as possible. Then you go to do your project.
[00:10:53.920 --> 00:10:58.360]   And just like with our movies, you watch it all fall apart. You watch this thing blow up. You watch this thing
[00:10:58.360 --> 00:11:03.700]   not work. Everything just falls apart in front of your face. Then that's when you roll up your sleeves
[00:11:03.700 --> 00:11:09.140]   and creatively figure out a way around it. You turn chicken shit into chicken salad. And by the end,
[00:11:09.140 --> 00:11:13.540]   you have a result that's better than what you sought out. But that's the process and that's life.
[00:11:13.540 --> 00:11:17.140]   And that's wash, rinse, repeat. The rest of your life, that's what everything's going to be like.
[00:11:17.140 --> 00:11:22.200]   It's just like a movie. Because when you think about it, you're writing a story for a film.
[00:11:23.200 --> 00:11:27.200]   And you're also writing the story of your life at the same time. Like how are you going to react to
[00:11:27.200 --> 00:11:30.820]   things? Well, how do you make your character react to things? You make him kind of superhuman. Why
[00:11:30.820 --> 00:11:35.020]   don't you just make yourself that way? You're writing your own story. And you start really seeing the more
[00:11:35.020 --> 00:11:40.620]   you get into storytelling that life imitates art and art limitates life, but the process is also the same.
[00:11:40.980 --> 00:11:47.200]   So you write the story, the script, and then you have it collide with the chaos of reality. And in that
[00:11:47.200 --> 00:11:52.720]   moment, when you said you see the chicken shit, like you have to be able to keep your eyes open.
[00:11:52.720 --> 00:11:54.020]   You have to do that.
[00:11:54.020 --> 00:11:55.420]   You have to do that.
[00:11:55.420 --> 00:11:56.780]   Wait a minute. Okay. Stuff changed.
[00:11:56.780 --> 00:11:57.360]   Discipline.
[00:11:57.360 --> 00:12:01.780]   Where's the, not to be cliche about it, but where's the silver lining of this? Where's the path to
[00:12:01.780 --> 00:12:04.400]   actually make something good out of this? And that's a skill, right?
[00:12:04.400 --> 00:12:09.260]   I call it, and it's one of my favorite stories. I was doing one of these talks and they said,
[00:12:09.260 --> 00:12:12.600]   come talk about creativity. I go, I understand. Cause a lot of people read my book,
[00:12:12.600 --> 00:12:16.760]   rebels had a crew and told me, Oh, it made me be a filmmaker. But a lot of people said it helped me
[00:12:16.760 --> 00:12:21.040]   start my own business because they just see how you can go be entrepreneurial like that and go
[00:12:21.040 --> 00:12:24.900]   where no one else is going. And I'm giving all this talk about this kind of positive stuff.
[00:12:24.900 --> 00:12:29.520]   And this one woman goes, you're real positive, but what do I tell myself when I just wasted a year
[00:12:29.520 --> 00:12:34.500]   and a half of my life doing something that didn't work? And I was like, that's a real negative way to
[00:12:34.500 --> 00:12:38.240]   ask that. Can you just rephrase the question a little more positively before I even attempt to answer it?
[00:12:38.240 --> 00:12:42.500]   Because already her point of view is, is exactly what you're saying. She's not looking at all.
[00:12:42.500 --> 00:12:48.960]   She's just concentrating on what, what didn't follow her plan and not seeing the gift of everything else
[00:12:48.960 --> 00:12:54.720]   that's there. So she goes very reluctant. So perfect. I wish we had filmed it. She goes,
[00:12:54.720 --> 00:13:01.580]   I learned a good lesson the hard way. And I said, that still sucks. And I say, when you follow your
[00:13:01.580 --> 00:13:05.500]   instinct, like if you follow your own instinct to go start a business or go make this movie or that,
[00:13:05.580 --> 00:13:08.520]   it wasn't someone saying go over there and you'll make a million dollars. You know,
[00:13:08.520 --> 00:13:13.340]   it was your instinct and you fail. Sometimes the only way across the river is to slip on the first
[00:13:13.340 --> 00:13:19.340]   two rocks. You fail. You have to really sift through. It's like the silver lining, but I call it
[00:13:19.340 --> 00:13:23.940]   sift through the ashes of your failure and you'll find the key to your next success is in there.
[00:13:24.080 --> 00:13:27.060]   But if you're not looking for it, you don't find it. I'm going to tell you one. And I tell them
[00:13:27.060 --> 00:13:34.900]   the four room story. I said, I made a movie called four rooms. I didn't make any money. Right. When
[00:13:34.900 --> 00:13:39.200]   Quentin asked me, Hey, would you want to make a movie with me and two other filmmakers? It's an
[00:13:39.200 --> 00:13:43.820]   anthology. It's on new year's Eve. It's in a hotel. You have to use the bill hop. We're not going to know
[00:13:43.820 --> 00:13:47.820]   what each other's making. And we make it, we put it together. My hand went up right away. Just
[00:13:47.820 --> 00:13:53.360]   instinctually. That sounds, yeah, I'll do that. I'll go make that with you. Now, should I ask the
[00:13:53.360 --> 00:13:58.520]   audience? I like to throw it to the audience and her. Should I have not raised my hand that quick?
[00:13:58.520 --> 00:14:03.500]   Shouldn't I have done a little studying first or should I just go blind instinct or should you do
[00:14:03.500 --> 00:14:09.560]   instinct with some studying? Okay. Well, I could have gone and studied and I would have found that
[00:14:09.560 --> 00:14:15.000]   anthologies never work. Like even when it's Coppola, Scorsese, Woody Allen, they bomb because people
[00:14:15.000 --> 00:14:17.620]   can't quite rip their hand. What is this? Twilight Zone? I don't want to go see that.
[00:14:18.420 --> 00:14:22.920]   But that's not, I still said, yeah, I think I should still go by instinct. So my instinct was
[00:14:22.920 --> 00:14:28.380]   to raise my hand. Will you go make that movie? Because I love short films. I made like bedhead
[00:14:28.380 --> 00:14:32.440]   in short films and I thought, oh, here's a way. If this works, I can make short films in anthologies
[00:14:32.440 --> 00:14:36.300]   and I can have the best of both worlds. And by the way, anthologies is when there's multiple.
[00:14:36.300 --> 00:14:38.960]   More than multiple one story. In one movie. Yeah, one movie.
[00:14:38.960 --> 00:14:43.660]   So if you did the research, you would know that very few people ever got that to work.
[00:14:44.460 --> 00:14:48.180]   Yeah. The audience can't quite wrap their hand and it feels like the movie starting three times,
[00:14:48.180 --> 00:14:56.060]   you know? So I make that movie. It bombs. Now I could feel real bad about that, but if you really
[00:14:56.060 --> 00:15:00.880]   think about it, you go, well, why did I sign up for it? Did I raise my hand because I thought it was
[00:15:00.880 --> 00:15:04.760]   going to go be this big financial success? No, I did it to work with my friends, to do something
[00:15:04.760 --> 00:15:09.120]   creative, to try something, but that's still not good enough. I need to really sift through the ashes.
[00:15:09.260 --> 00:15:14.800]   And if I looked into the ashes of that failure, I find two keys to my biggest successes in there.
[00:15:14.800 --> 00:15:20.880]   While I was on the set, they said it has to be New Year's. So I thought, I'm just going to do like
[00:15:20.880 --> 00:15:25.220]   bedhead. I'm going to have two little kids that are running around in this room and we have to use the
[00:15:25.220 --> 00:15:29.020]   bellhop as a babysitter. Well, it's New Year's. Let's dress everybody in tuxedos because it's New
[00:15:29.020 --> 00:15:33.840]   Year's. They're all going to go out, but the parents leave without him. When I saw Antonio and his wife,
[00:15:34.060 --> 00:15:38.560]   I thought, wow, they look like a really cool international spy couple. What if they were
[00:15:38.560 --> 00:15:42.140]   spies? And these two little kids, one of them keeps falling asleep on the set. He's so young.
[00:15:42.140 --> 00:15:46.040]   They barely tie their shoes. They don't know parents are spies. They have to go save them. Okay. There's
[00:15:46.040 --> 00:15:53.520]   five of those movies now, right? The other one was I really love making short films. I really want
[00:15:53.520 --> 00:15:59.240]   this anthology thing to work. What if it's three stories, like a three extra, not four, same director,
[00:15:59.340 --> 00:16:04.840]   not four different directors. I'm going to try it again. Why on earth would I try it again? Well,
[00:16:04.840 --> 00:16:09.320]   because I'd already done one and figured out how I could do it better. And that's Sin City. Those are
[00:16:09.320 --> 00:16:14.080]   by far two of my biggest successes that came directly from that failure. So I always say,
[00:16:14.080 --> 00:16:20.280]   follow your instinct. If it doesn't work, just go. Sometimes the only way across the river is to slip
[00:16:20.280 --> 00:16:25.400]   on the first two rocks. So what is, where's the key in that, in the ashes of the failure? Because if I had
[00:16:25.400 --> 00:16:29.520]   an instinct, that means I was on the right track. I didn't get the result I want. That's because the
[00:16:29.520 --> 00:16:33.960]   result might be something way bigger that I don't have the vision for, and the universe is pushing
[00:16:33.960 --> 00:16:38.660]   me that way. By the way, a lot of people that look back to four rooms see a lot of creative genius in
[00:16:38.660 --> 00:16:45.400]   there. So you say it flopped. It flopped financially. Financially. But there's so many ways to measure
[00:16:45.400 --> 00:16:51.060]   success. Totally. But like I said, I would say, well, it was successful because even Roger Ubert said,
[00:16:51.120 --> 00:16:55.020]   hey, you furnished my favorite room. I was like, yeah, that's, I could take that. But now that I
[00:16:55.020 --> 00:16:59.260]   think there's something else still there. I keep sifting in this, like, oh yeah, two big successes
[00:16:59.260 --> 00:17:05.160]   came from that. It's an amazing lesson to have because it makes you feel better about failure.
[00:17:05.160 --> 00:17:09.380]   Think of like The Thing by John Carpenter. You put that movie out the same weekend as E.T.
[00:17:09.380 --> 00:17:15.540]   That thing bombed. Critics were calling it pornography, you know, because of all the weird special
[00:17:15.540 --> 00:17:20.540]   effects and audiences didn't go either. And he thought he made a great movie. So, you know,
[00:17:20.540 --> 00:17:26.200]   it makes you question your instincts. Well, 10 years later, turns out, oh, it's a classic. So
[00:17:26.200 --> 00:17:31.820]   sometimes it takes the audience a while. So if you have some kind of failure on something, you don't
[00:17:31.820 --> 00:17:36.340]   let it knock you down. Just go, maybe in 10 years, they'll think it's great. I'm just going to commit
[00:17:36.340 --> 00:17:42.400]   to making a body of work, a body of work. Some will succeed, some will overperform,
[00:17:42.400 --> 00:17:46.220]   some will underperform. It's not your job. You just want to be a creative person.
[00:17:46.220 --> 00:17:51.640]   Just create, I tell you, just create, stop thinking about movie per movie and worrying so much about
[00:17:51.640 --> 00:17:56.780]   each one or project to project. If you're a business person, just commit to making a body of
[00:17:56.780 --> 00:18:01.240]   work like an artist would do. And you don't, you don't know what the masterpieces are going to be or
[00:18:01.240 --> 00:18:05.340]   which, you know, someone's going to come and say, oh, that, that one that bombed. I, there is some
[00:18:05.340 --> 00:18:09.540]   really creative stuff in there and it's not for you to decide. You just go and do it.
[00:18:09.540 --> 00:18:14.220]   And sometimes I think it takes some time to process the failure to make sense of it.
[00:18:14.220 --> 00:18:21.780]   Like, uh, uh, at least for me, don't rush making sense of what didn't work. What lessons do I
[00:18:21.780 --> 00:18:27.600]   take from it? How do I sift through the ashes? As you said, like it takes time. You have to sleep
[00:18:27.600 --> 00:18:32.720]   on it. Sometimes it's right there. And then sometimes you come back, revisit it, you know,
[00:18:32.720 --> 00:18:36.520]   later. Cause you might not have had some information you have now that makes you look
[00:18:36.520 --> 00:18:42.260]   at it a lot differently. Like when I did, I just, uh, did the audio book for rebel without a crew.
[00:18:42.260 --> 00:18:46.540]   Thank you for that. By the way, I hadn't read it since I wrote it. So I didn't remember a lot
[00:18:46.540 --> 00:18:51.640]   of the details and you actually it's voiced by you. I voiced it. So I was reading it real time.
[00:18:51.640 --> 00:18:55.960]   Yeah. I highly recommend people. Cause you comment, you add additional comments to it. It's great.
[00:18:55.960 --> 00:19:00.000]   Most of the time I'm laughing because I can't believe how crazy that story is. I forgot a lot
[00:19:00.000 --> 00:19:04.920]   of details. And when you're younger, you know, when you're 21, 22, six months feels like six years. I
[00:19:04.920 --> 00:19:10.180]   didn't realize how short that window was until I reread it and how impossible most that is. But you see
[00:19:10.180 --> 00:19:16.000]   some places where a setup falls in my lap and then pays off immediately in a big way, like magic over
[00:19:16.000 --> 00:19:20.040]   and over again. It's clear. I don't know what I'm doing. It's clear. The universe is just pushing you
[00:19:20.040 --> 00:19:24.820]   places. So you can't fight it because I remember I was really disappointed. And it says in the,
[00:19:24.820 --> 00:19:28.780]   in the diary, I'm really bummed that I go home that Christmas, not having sold it
[00:19:28.780 --> 00:19:34.620]   to the Spanish home video market, which was my goal. I walked home penniless and I was like,
[00:19:34.620 --> 00:19:40.400]   Merry Christmas. I feel like a frigging failure. Good thing. I didn't sell it then. No, you know,
[00:19:40.400 --> 00:19:45.180]   with time you look back and you go, wow, I got an agent the next month. He wasn't even going to help
[00:19:45.180 --> 00:19:50.120]   me sell it. He said, Oh, if you can get 20,000 for it, take it. I chased those people down for those
[00:19:50.120 --> 00:19:57.460]   contracts to Spanish market for months. And they never answered me back. And then Columbia ended up
[00:19:57.460 --> 00:20:02.480]   buying it for like 10 times as much. And we made it re we released it and did a sequel and did another
[00:20:02.480 --> 00:20:09.080]   sequel. If you look back in time, good thing. I didn't get my way. My way had had this for a vision
[00:20:09.080 --> 00:20:14.280]   and it needed to do that, which you would never know. You know, you don't know that going through.
[00:20:14.340 --> 00:20:18.780]   So just if you don't have the answer right away, or even in 10 years ago, maybe it's coming in 20
[00:20:18.780 --> 00:20:24.200]   years. Don't let anything slow you down. Just keep plowing forward, committing to making your thing
[00:20:24.200 --> 00:20:29.620]   happen. Don't, don't get shook up by something that you might not have an answer for. Yeah. Every
[00:20:29.620 --> 00:20:33.560]   aspect of your journey is super inspiring. We'll talk about it. Let's go to the beginning. There's
[00:20:33.560 --> 00:20:38.400]   a few technical things that are fascinating about your beginning. So you started making films when you're
[00:20:38.400 --> 00:20:44.920]   very young with an old super eight camera and you were editing on a VCR. You see, I've met a lot of
[00:20:44.920 --> 00:20:49.800]   filmmakers who, you know, they start a certain way, but then they finish another way. They get to be
[00:20:49.800 --> 00:20:54.820]   big filmmakers and all that. I still do it that way. Like I still, I like doing things that way.
[00:20:54.820 --> 00:21:00.140]   I have a new company called brass knuckle films where the audience can actually participate by
[00:21:00.140 --> 00:21:04.480]   investing in this movie and investors in these movies that are done the same way. They're action films
[00:21:04.480 --> 00:21:10.100]   like we did with Mariachi, but 10 to 30 million. It doesn't take a lot of money to start a billion
[00:21:10.100 --> 00:21:14.860]   dollar franchise. You know, like John Wick only cost 20 million. The first one, second one was 40.
[00:21:14.860 --> 00:21:19.000]   Third one was 80. Fourth one was a hundred because the audience kept growing and growing.
[00:21:19.000 --> 00:21:23.240]   By the way, you say, you know, 20 million, like it's not in a lot of money. We should mention
[00:21:23.240 --> 00:21:28.760]   an action film. Yeah, that's right. But also we should say that El Mariachi, the, the, the film on
[00:21:28.760 --> 00:21:33.960]   which the book rebel without a crew is $7,000 movie. So let's put it all in context.
[00:21:34.000 --> 00:21:37.220]   But you know, you know, you're going to hire bigger actors. You can get a big actor, like
[00:21:37.220 --> 00:21:42.520]   Tiana Reeves for a $20 million movie. You know, I asked Jim, I said, Jim Cameron, I said, you know,
[00:21:42.520 --> 00:21:47.140]   like Terminator costs 5 million. And he goes, I wish we had that much. He had less than 5 million for
[00:21:47.140 --> 00:21:53.540]   that. So you can start a billion dollar franchise using these methods. And, uh, and with the audience
[00:21:53.540 --> 00:21:58.000]   investing, they get to make money on them. And this is what I'm going to say now about how I started.
[00:21:58.600 --> 00:22:03.660]   You see that DNA of how I give out, you know, I want people to know how I did things with rebel
[00:22:03.660 --> 00:22:08.220]   without a crew or with these methods that I started with. You see, that's how we kept going. Hollywood
