
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:05:14.600 --> 00:05:15.960]   So as you go up this hierarchy,
[00:05:15.960 --> 00:05:18.360]   you're trying to make things more and more the same
[00:05:18.360 --> 00:05:21.140]   and that's how you're squeezing redundancy out.
[00:05:21.140 --> 00:05:25.400]   The embedding vectors are the things that act like pointers
[00:05:25.400 --> 00:05:28.600]   and the embedding vectors are dynamic.
[00:05:28.600 --> 00:05:31.280]   They're neural activations rather than neural weights.
[00:05:31.280 --> 00:05:33.880]   So it's fine to have different embedding vectors
[00:05:33.880 --> 00:05:34.820]   for every image.
[00:05:34.820 --> 00:05:40.800]   So here's a little picture.
[00:05:40.800 --> 00:05:44.520]   If you had a one-dimensional row of patches,
[00:05:44.520 --> 00:05:47.160]   these are the columns for the patches
[00:05:47.160 --> 00:05:51.720]   and you'd have something like a convolutional neural net
[00:05:51.720 --> 00:05:52.660]   as a front end.
[00:05:52.660 --> 00:05:56.000]   And then after the front end,
[00:05:56.000 --> 00:05:58.240]   you produce your lowest level embeddings
[00:05:58.240 --> 00:06:01.080]   that say what's going on in each particular patch.
[00:06:01.080 --> 00:06:03.280]   And so that bottom layer of black arrows,
[00:06:03.280 --> 00:06:04.600]   they're all different.
[00:06:04.600 --> 00:06:07.840]   Of course, these embeddings are thousands of dimensions,
[00:06:07.840 --> 00:06:10.180]   maybe hundreds of thousands in your brain.
[00:06:10.180 --> 00:06:14.160]   And so two-dimensional vector isn't right,
[00:06:14.160 --> 00:06:15.480]   but at least I can represent
[00:06:15.480 --> 00:06:19.160]   where the two vectors are the same by using the orientation.
[00:06:19.160 --> 00:06:20.680]   So the lowest level,
[00:06:20.680 --> 00:06:23.960]   all the patches will have different representations.
[00:06:23.960 --> 00:06:27.360]   But the next level up, the first two patches,
[00:06:27.360 --> 00:06:31.160]   they might be part of a nostril, for example.
[00:06:31.160 --> 00:06:36.160]   And so, yeah, they'll have the same embedding.
[00:06:37.680 --> 00:06:39.460]   But the next level up,
[00:06:39.460 --> 00:06:42.900]   the first three patches might be part of a nose.
[00:06:42.900 --> 00:06:45.100]   And so they'll all have the same embedding.
[00:06:45.100 --> 00:06:47.260]   Notice that even though what's in the image
[00:06:47.260 --> 00:06:51.660]   is quite different, at the part level,
[00:06:51.660 --> 00:06:55.180]   those three red vectors are all meant to be the same.
[00:06:55.180 --> 00:06:58.100]   So what we're doing is we're getting the same representation
[00:06:58.100 --> 00:07:00.860]   for things that are superficially very different.
[00:07:00.860 --> 00:07:03.740]   We're finding spatial coherence in an image
[00:07:03.740 --> 00:07:06.860]   by giving the same representation to different things.
[00:07:06.860 --> 00:07:09.200]   And at the object level,
[00:07:09.200 --> 00:07:12.100]   you might have a nose and then a mouth,
[00:07:12.100 --> 00:07:13.540]   and they're the same face.
[00:07:13.540 --> 00:07:15.220]   They're part of the same face.
[00:07:15.220 --> 00:07:17.060]   And so all those vectors are the same.
[00:07:17.060 --> 00:07:18.900]   And this network hasn't yet settled down
[00:07:18.900 --> 00:07:20.600]   to produce something unseen level.
[00:07:20.600 --> 00:07:27.240]   So the islands of agreement are what capture the parse tree.
[00:07:27.240 --> 00:07:29.740]   Now, they're a bit more powerful than a parse tree.
[00:07:29.740 --> 00:07:33.980]   They can capture things like shut the heck up.
[00:07:33.980 --> 00:07:36.860]   You can have shut and up can be different vectors
[00:07:36.860 --> 00:07:38.660]   at one level, but at a higher level,
[00:07:38.660 --> 00:07:41.820]   shut and up can have exactly the same vector,
[00:07:41.820 --> 00:07:44.900]   namely the vector for shut up, and they can be disconnected.
[00:07:44.900 --> 00:07:46.300]   So you can do things a bit more powerful
[00:07:46.300 --> 00:07:48.180]   than a context-free grammar here,
[00:07:48.180 --> 00:07:51.520]   but basically it's a parse tree.
[00:07:51.520 --> 00:07:53.140]   If you're a physicist,
[00:07:53.140 --> 00:07:58.620]   you can think of each of these levels as an icing model
[00:07:58.620 --> 00:08:02.980]   with real valued vectors rather than binary spins.
[00:08:02.980 --> 00:08:05.100]   And you can think of them being coordinate transforms
[00:08:05.100 --> 00:08:08.380]   between levels, which makes it much more complicated.
[00:08:08.380 --> 00:08:12.460]   And then this is a kind of multi-level icing model,
[00:08:12.460 --> 00:08:15.700]   but with complicated interactions between the levels,
[00:08:15.700 --> 00:08:17.660]   because for example, between the red arrows
[00:08:17.660 --> 00:08:19.460]   and the black arrows above them,
[00:08:19.460 --> 00:08:21.020]   you need the coordinate transform
[00:08:21.020 --> 00:08:24.580]   between a nose and a face, but we'll come to that later.
[00:08:24.580 --> 00:08:27.740]   If you're not a physicist,
[00:08:27.740 --> 00:08:29.580]   ignore all that 'cause it won't help.
[00:08:29.580 --> 00:08:33.340]   (keyboard clicking)
[00:08:33.340 --> 00:08:35.780]   So I want to start, and this is, I guess,
[00:08:35.780 --> 00:08:38.260]   is particularly relevant for a natural language course
[00:08:38.260 --> 00:08:40.740]   where some of you are not vision people,
[00:08:40.740 --> 00:08:45.020]   by trying to prove to you that coordinate systems
[00:08:45.020 --> 00:08:47.220]   are not just something invented by Descartes.
[00:08:47.220 --> 00:08:52.060]   Coordinate systems were invented by the brain
[00:08:52.060 --> 00:08:54.940]   a long time ago, and we use coordinate systems
[00:08:54.940 --> 00:08:58.080]   in understanding what's going on in an image.
[00:08:58.080 --> 00:09:00.500]   I also want to demonstrate the psychological reality
[00:09:00.500 --> 00:09:02.820]   of parse trees for an image.
[00:09:02.820 --> 00:09:05.680]   So I'm gonna do this with a task
[00:09:05.680 --> 00:09:09.500]   that I invented a long time ago in the 1970s,
[00:09:09.500 --> 00:09:11.260]   when I was a grad student, in fact.
[00:09:11.260 --> 00:09:14.460]   And you have to do this task
[00:09:14.460 --> 00:09:16.180]   to get the full benefit from it.
[00:09:16.180 --> 00:09:23.020]   So I want you to imagine on the tabletop in front of you,
[00:09:23.020 --> 00:09:25.060]   there's a wireframe cube,
[00:09:25.060 --> 00:09:27.680]   and it's in the standard orientation for a cube,
[00:09:27.680 --> 00:09:29.660]   is resting on the tabletop.
[00:09:29.660 --> 00:09:31.920]   And from your point of view,
[00:09:31.920 --> 00:09:34.940]   there's a front bottom right-hand corner,
[00:09:34.940 --> 00:09:37.660]   and a top back left-hand corner.
[00:09:37.660 --> 00:09:38.880]   Here we go.
[00:09:38.880 --> 00:09:39.720]   Okay.
[00:09:39.720 --> 00:09:42.500]   The front bottom right-hand corner
[00:09:42.500 --> 00:09:44.100]   is resting on the tabletop,
[00:09:44.100 --> 00:09:46.340]   along with the four other corners.
[00:09:46.340 --> 00:09:48.660]   And the top back left-hand corner
[00:09:48.660 --> 00:09:50.380]   is at the other end of a diagonal
[00:09:50.380 --> 00:09:53.060]   that goes through the center of the cube.
[00:09:53.060 --> 00:09:55.040]   Okay, so far so good.
[00:09:55.040 --> 00:09:56.900]   Now what we're gonna do is rotate the cube
[00:09:56.900 --> 00:09:59.660]   so that this finger stays on the tabletop,
[00:09:59.660 --> 00:10:02.420]   and the other finger is vertically above it, like that.
[00:10:02.420 --> 00:10:05.620]   This finger shouldn't have moved.
[00:10:05.620 --> 00:10:06.740]   Okay.
[00:10:06.740 --> 00:10:08.700]   So now we've got the cube in an orientation
[00:10:08.700 --> 00:10:12.140]   where that thing that was a body diagonal is now vertical.
[00:10:12.140 --> 00:10:15.340]   And all you've gotta do is take the bottom finger,
[00:10:15.340 --> 00:10:17.180]   'cause that's still on the tabletop,
[00:10:17.180 --> 00:10:18.500]   and point with the bottom finger
[00:10:18.500 --> 00:10:21.020]   to where the other corners of the cube are.
[00:10:21.020 --> 00:10:22.020]   So I want you to actually do it.
[00:10:22.020 --> 00:10:22.860]   Off you go.
[00:10:22.860 --> 00:10:24.300]   Take your bottom finger,
[00:10:24.300 --> 00:10:27.540]   hold your top finger at the other end of that diagonal
[00:10:27.540 --> 00:10:28.780]   that's now been made vertical,
[00:10:28.780 --> 00:10:31.040]   and just point to where the other corners are.
[00:10:31.040 --> 00:10:35.460]   And luckily, it's Zoom,
[00:10:35.460 --> 00:10:38.140]   so most of you, other people,
[00:10:38.140 --> 00:10:39.460]   won't be able to see what you did.
[00:10:39.460 --> 00:10:41.100]   And I can see that some of you aren't pointing,
[00:10:41.100 --> 00:10:42.100]   and that's very bad.
[00:10:42.100 --> 00:10:47.420]   So most people point out four other corners,
[00:10:47.420 --> 00:10:48.820]   and the most common response
[00:10:48.820 --> 00:10:51.320]   is to say they're here, here, here, and here.
[00:10:51.320 --> 00:10:52.980]   They point out four corners in a square
[00:10:52.980 --> 00:10:54.460]   halfway up that axis.
[00:10:54.460 --> 00:11:00.060]   That's wrong, as you might imagine.
[00:11:00.060 --> 00:11:01.820]   And it's easy to see that it's wrong,
[00:11:01.820 --> 00:11:04.820]   'cause if you imagine the cube in the normal orientation
[00:11:04.820 --> 00:11:07.220]   and count the corners, there's eight of them.
[00:11:07.220 --> 00:11:10.140]   And these were two corners.
[00:11:10.140 --> 00:11:12.040]   So where did the other two corners go?
[00:11:12.040 --> 00:11:15.700]   So one theory is that when you rotated the cube,
[00:11:15.700 --> 00:11:16.900]   the centripetal forces
[00:11:16.900 --> 00:11:19.500]   made them fly off into your unconscious.
[00:11:19.500 --> 00:11:21.220]   That's not a very good theory.
[00:11:21.220 --> 00:11:24.060]   So what's happening here
[00:11:24.060 --> 00:11:26.660]   is you have no idea where the other corners are,
[00:11:26.660 --> 00:11:29.460]   unless you're something like a crystallographer.
[00:11:29.460 --> 00:11:31.180]   You can sort of imagine bits of the cube,
[00:11:31.180 --> 00:11:32.900]   but you just can't imagine this structure
[00:11:32.900 --> 00:11:35.200]   of the other corners, what structure they form.
[00:11:35.200 --> 00:11:38.700]   And this common response that people give,
[00:11:38.700 --> 00:11:41.560]   of four corners in a square,
[00:11:41.560 --> 00:11:43.860]   is doing something very weird.
[00:11:43.860 --> 00:11:45.340]   It's trying to, it's saying,
[00:11:45.340 --> 00:11:48.900]   well, okay, I don't know where the bits of a cube are,
[00:11:48.900 --> 00:11:50.300]   but I know something about cubes.
[00:11:50.300 --> 00:11:52.580]   I know the corners come in fours.
[00:11:52.580 --> 00:11:55.940]   I know a cube has this four-fold rotational symmetry,
[00:11:55.940 --> 00:11:58.180]   or two planes of bilateral symmetry,
[00:11:58.180 --> 00:12:00.140]   but right angles to one another.
[00:12:00.140 --> 00:12:02.980]   And so what people do is they preserve the symmetries
[00:12:02.980 --> 00:12:05.060]   of the cube in their response.
[00:12:05.060 --> 00:12:07.040]   They give four corners in a square.
[00:12:07.040 --> 00:12:11.620]   Now, what they've actually pointed out if they do that
[00:12:11.620 --> 00:12:16.180]   is two pyramids, each of which has a square base.
[00:12:16.180 --> 00:12:19.680]   One's upside down, and they're stuck base to base.
[00:12:19.680 --> 00:12:21.780]   So you can visualize that quite easily.
[00:12:21.780 --> 00:12:22.780]   It's a square base pyramid
[00:12:22.780 --> 00:12:25.300]   with another one stuck underneath it.
[00:12:25.300 --> 00:12:26.700]   And so now you get your two fingers
[00:12:26.700 --> 00:12:29.460]   as the vertices of those two pyramids.
[00:12:29.460 --> 00:12:33.460]   And what's interesting about that is
[00:12:33.460 --> 00:12:36.340]   you've preserved the symmetries of the cube
[00:12:36.340 --> 00:12:38.980]   at the cost of doing something pretty radical,
[00:12:38.980 --> 00:12:43.980]   which is changing faces to vertices and vertices to faces.
[00:12:43.980 --> 00:12:47.420]   The thing you pointed out if you did that was an octahedron.
[00:12:48.840 --> 00:12:51.500]   It has eight faces and six vertices.
[00:12:51.500 --> 00:12:54.340]   A cube has six faces and eight vertices.
[00:12:54.340 --> 00:12:56.260]   So in order to preserve the symmetries
[00:12:56.260 --> 00:13:00.840]   you know about of the cube, if you did that,
[00:13:00.840 --> 00:13:03.020]   you've done something really radical,
[00:13:03.020 --> 00:13:05.980]   which is changed faces for vertices and vertices for faces.
[00:13:05.980 --> 00:13:10.120]   I should show you what the answer looks like.
[00:13:10.120 --> 00:13:13.500]   So I'm gonna step back and try and get enough light,
[00:13:13.500 --> 00:13:15.600]   and maybe you can see this cube.
[00:13:18.740 --> 00:13:21.460]   So this is a cube,
[00:13:21.460 --> 00:13:26.460]   and you can see that the other edges
[00:13:26.460 --> 00:13:28.900]   form a kind of zigzag ring around the middle.
[00:13:28.900 --> 00:13:31.580]   So I've got a picture of it.
[00:13:31.580 --> 00:13:37.900]   So the colored rods here are the other edges of the cube,
[00:13:37.900 --> 00:13:40.460]   the ones that don't touch your fingertips.
[00:13:40.460 --> 00:13:41.780]   And your top finger's connected
[00:13:41.780 --> 00:13:44.380]   to the three vertices of those flaps,
[00:13:44.380 --> 00:13:46.540]   and your bottom finger's connected
[00:13:46.540 --> 00:13:48.640]   to the lowest three vertices there.
[00:13:48.640 --> 00:13:51.100]   And that's what a cube looks like.
[00:13:51.100 --> 00:13:53.420]   It's something you had no idea about.
[00:13:53.420 --> 00:13:55.940]   This is just a completely different model of a cube.
[00:13:55.940 --> 00:13:57.540]   It's so different, I'll give it a different name.
[00:13:57.540 --> 00:13:58.860]   I'll call it a hexahedron.
[00:13:58.860 --> 00:14:04.940]   And the thing to notice is a hexahedron and a cube
[00:14:04.940 --> 00:14:07.540]   are just conceptually utterly different.
[00:14:07.540 --> 00:14:09.860]   You wouldn't even know one was the same as the other
[00:14:09.860 --> 00:14:12.620]   if you think about one as a hexahedron and one as a cube.
[00:14:12.620 --> 00:14:15.540]   It's like the ambiguity between a tilted square
[00:14:15.540 --> 00:14:17.780]   and an upright diamond, but more powerful
[00:14:17.780 --> 00:14:19.480]   'cause you're not familiar with it.
[00:14:19.480 --> 00:14:22.340]   And that's my demonstration
[00:14:22.340 --> 00:14:24.580]   that people really do use coordinate systems.
[00:14:24.580 --> 00:14:26.260]   And if you use a different coordinate system
[00:14:26.260 --> 00:14:28.500]   to describe things, and here I forced you
[00:14:28.500 --> 00:14:29.900]   to use a different coordinate system
[00:14:29.900 --> 00:14:32.300]   by making the diagonal be vertical
[00:14:32.300 --> 00:14:35.340]   and asking you to describe it relative to that vertical axis,
[00:14:35.340 --> 00:14:38.260]   then familiar things become completely unfamiliar.
[00:14:38.260 --> 00:14:41.560]   And when you do see them relative to this new frame,
[00:14:41.560 --> 00:14:44.300]   they're just a completely different thing.
[00:14:44.300 --> 00:14:46.460]   Notice that things like convolutional neural nets
[00:14:46.460 --> 00:14:47.540]   don't have that.
[00:14:47.540 --> 00:14:48.580]   They can't look at something
[00:14:48.580 --> 00:14:50.900]   and have two utterly different internal representations
[00:14:50.900 --> 00:14:52.060]   of the very same thing.
[00:14:52.060 --> 00:14:55.980]   I'm also showing you that you do parsing.
[00:14:55.980 --> 00:14:57.780]   So here I've colored it so you parse it
[00:14:57.780 --> 00:14:59.660]   into what I call the crown,
[00:14:59.660 --> 00:15:01.580]   which is three triangular flaps
[00:15:01.580 --> 00:15:03.180]   that slope upwards and outwards.
[00:15:03.180 --> 00:15:06.260]   Here's a different parsing.
[00:15:06.260 --> 00:15:08.980]   The same green flap sloping upwards and outwards.
[00:15:08.980 --> 00:15:12.580]   Now we have a red flap sloping downwards and outwards,
[00:15:12.580 --> 00:15:14.460]   and we have a central rectangle,
[00:15:14.460 --> 00:15:17.180]   and you just have the two ends of the rectangle.
[00:15:17.180 --> 00:15:21.220]   And if you perceive this and now close your eyes
[00:15:21.220 --> 00:15:24.540]   and ask you, were there any parallel edges there?
[00:15:24.540 --> 00:15:27.260]   You're very well aware that those two blue edges
[00:15:27.260 --> 00:15:29.620]   were parallel, and you're typically not aware
[00:15:29.620 --> 00:15:31.300]   of any other parallel edges,
[00:15:31.300 --> 00:15:34.380]   even though you know by symmetry there must be other pairs.
[00:15:34.380 --> 00:15:37.340]   Similarly with the crown, if you see the crown,
[00:15:37.340 --> 00:15:38.940]   and then I ask you to close your eyes
[00:15:38.940 --> 00:15:41.020]   and ask you, were there parallel edges?
[00:15:41.020 --> 00:15:43.420]   You don't see any parallel edges.
[00:15:43.420 --> 00:15:45.060]   And that's because the coordinate systems
[00:15:45.060 --> 00:15:48.860]   you're using for those flaps don't line up with the edges.
[00:15:48.860 --> 00:15:50.620]   And you only notice parallel edges
[00:15:50.620 --> 00:15:53.460]   if they line up with the coordinate system you're using.
[00:15:53.460 --> 00:15:55.020]   So here for the rectangle,
[00:15:55.020 --> 00:15:57.380]   the parallel edges align with the coordinate system.
[00:15:57.380 --> 00:15:59.020]   For the flaps, they don't.
[00:15:59.020 --> 00:16:01.300]   So you're aware that those two blue edges are parallel,
[00:16:01.300 --> 00:16:03.500]   but you're not aware that one of the green edges
[00:16:03.500 --> 00:16:05.340]   and one of the red edges is parallel.
[00:16:10.460 --> 00:16:12.580]   So this isn't like the NECA cube ambiguity,
[00:16:12.580 --> 00:16:15.220]   where when it flips, you think that what's out there
[00:16:15.220 --> 00:16:18.340]   in reality is different, things are at a different depth.
[00:16:18.340 --> 00:16:22.780]   This is like, next weekend, we shall be visiting relatives.
[00:16:22.780 --> 00:16:23.620]   So if you take the sentence,
[00:16:23.620 --> 00:16:26.020]   "Next weekend, we shall be visiting relatives,"
[00:16:26.020 --> 00:16:28.780]   it can mean, next weekend,
[00:16:28.780 --> 00:16:31.620]   what we will be doing is visiting relatives,
[00:16:31.620 --> 00:16:33.580]   or it can mean, next weekend,
[00:16:33.580 --> 00:16:36.180]   what we will be is visiting relatives.
[00:16:36.180 --> 00:16:39.620]   Now, those are completely different senses.
[00:16:39.620 --> 00:16:41.660]   They happen to have the same truth conditions.
[00:16:41.660 --> 00:16:45.100]   They mean the same thing in the sense of truth conditions,
[00:16:45.100 --> 00:16:46.980]   'cause if you're visiting relatives,
[00:16:46.980 --> 00:16:49.100]   what you are is visiting relatives.
[00:16:49.100 --> 00:16:50.740]   And it's that kind of ambiguity.
[00:16:50.740 --> 00:16:52.500]   No disagreement about what's going on in the world,
[00:16:52.500 --> 00:16:55.260]   but two completely different ways of seeing the sentence.
[00:16:55.260 --> 00:17:03.900]   So this was drawn in the 1970s.
[00:17:03.900 --> 00:17:06.140]   This is what AI was like in the 1970s.
[00:17:08.460 --> 00:17:10.500]   This is a sort of structural description
[00:17:10.500 --> 00:17:12.380]   of the crown interpretation.
[00:17:12.380 --> 00:17:17.820]   So you have nodes for all the various parts in the hierarchy.
[00:17:17.820 --> 00:17:20.020]   I've also put something on the arcs.
[00:17:20.020 --> 00:17:24.140]   That RWX is the relationship
[00:17:24.140 --> 00:17:26.420]   between the crown and the flap,
[00:17:26.420 --> 00:17:28.580]   and that can be represented by a matrix.
[00:17:28.580 --> 00:17:29.740]   It's really the relationship
[00:17:29.740 --> 00:17:32.860]   between the intrinsic frame of reference of the crown
[00:17:32.860 --> 00:17:35.700]   and the intrinsic frame of reference of the flap.
[00:17:35.700 --> 00:17:39.020]   And notice that if I change my viewpoint,
[00:17:39.020 --> 00:17:40.420]   that doesn't change at all.
[00:17:40.420 --> 00:17:43.540]   So that kind of relationship will be a good thing
[00:17:43.540 --> 00:17:45.900]   to put in the weights of a neural network,
[00:17:45.900 --> 00:17:47.100]   'cause you'd like a neural network
[00:17:47.100 --> 00:17:50.460]   to be able to recognize shapes independently of viewpoint.
[00:17:50.460 --> 00:17:53.580]   And that RWX is knowledge about the shape
[00:17:53.580 --> 00:17:55.180]   that's independent of viewpoint.
[00:17:55.180 --> 00:17:59.620]   Here's the zigzag interpretation.
[00:17:59.620 --> 00:18:01.820]   And here's something else
[00:18:01.820 --> 00:18:06.460]   where I've added the things in the heavy blue boxes.
[00:18:06.460 --> 00:18:11.460]   They're the relationship between a node and the viewer.
[00:18:11.460 --> 00:18:13.900]   That is to be more explicit.
[00:18:13.900 --> 00:18:15.220]   The coordinate transformation
[00:18:15.220 --> 00:18:18.260]   between the intrinsic frame of reference of the crown
[00:18:18.260 --> 00:18:20.940]   and the intrinsic frame of reference of the viewer,
