
[00:00:00.040 --> 00:00:09.520]  ihad
[00:03:26.020 --> 00:03:56.000]  , I have members of my email list. So all of our callers today are calling in from the email group.
[00:03:56.000 --> 00:03:56.000]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:03:56.000 --> 00:03:56.000]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:03:56.000 --> 00:03:56.000]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:03:56.000 --> 00:03:56.000]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:03:56.000 --> 00:03:56.000]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:03:56.000 --> 00:03:56.000]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:03:56.000 --> 00:03:56.000]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:03:56.020 --> 00:04:26.020]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:04:26.020 --> 00:04:26.020]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:04:26.020 --> 00:04:26.020]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:04:26.020 --> 00:04:26.020]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:04:26.020 --> 00:04:26.020]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:04:26.020 --> 00:04:26.020]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:04:26.020 --> 00:04:26.020]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:04:26.020 --> 00:04:26.020]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:04:26.040 --> 00:04:56.040]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:04:56.040 --> 00:04:56.040]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:04:56.040 --> 00:04:56.040]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:04:56.040 --> 00:04:56.040]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:04:56.040 --> 00:04:56.040]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:04:56.040 --> 00:04:56.040]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:04:56.040 --> 00:04:56.040]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:04:56.040 --> 00:04:56.040]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:04:56.080 --> 00:05:26.060]  ,
[00:05:26.060 --> 00:05:26.060]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:05:26.060 --> 00:05:26.060]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:05:26.060 --> 00:05:26.060]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:05:26.060 --> 00:05:26.060]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:05:26.060 --> 00:05:26.060]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:05:26.060 --> 00:05:26.060]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:05:26.060 --> 00:05:26.060]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:05:26.080 --> 00:05:56.080]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:05:56.080 --> 00:05:56.080]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:05:56.080 --> 00:05:56.080]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:05:56.080 --> 00:05:56.080]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:05:56.080 --> 00:05:56.080]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:05:56.080 --> 00:05:56.080]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:05:56.080 --> 00:05:56.080]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:05:56.080 --> 00:05:56.080]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:06:26.100 --> 00:06:26.100]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:06:26.100 --> 00:06:26.100]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:06:26.100 --> 00:06:26.100]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:06:26.100 --> 00:06:26.100]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:06:26.100 --> 00:06:26.100]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:06:26.100 --> 00:06:26.100]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:06:26.100 --> 00:06:26.100]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:06:56.120 --> 00:06:56.120]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:06:56.120 --> 00:06:56.120]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:06:56.120 --> 00:06:56.120]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:06:56.120 --> 00:06:56.120]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:06:56.120 --> 00:06:56.120]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:06:56.120 --> 00:06:56.120]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:06:56.120 --> 00:06:56.120]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:06:56.120 --> 00:06:56.120]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:07:26.140 --> 00:07:26.140]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:07:26.140 --> 00:07:26.140]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:07:26.140 --> 00:07:26.140]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:07:26.140 --> 00:07:26.140]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:07:26.140 --> 00:07:26.140]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:07:26.140 --> 00:07:26.140]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:07:26.140 --> 00:07:26.140]   I have members of my email list. So all of our callers today are calling in from the email group.
[00:07:56.160 --> 00:07:56.160]   The other benefit of the account is if you don't use it for medical expenses.
[00:07:56.160 --> 00:07:56.160]   The other benefit of the account is if you don't use it for medical expenses.
[00:07:56.160 --> 00:07:56.160]   The other benefit of the account is if you don't use it for medical expenses.
[00:07:56.160 --> 00:07:56.160]   The other benefit of the account is if you don't use it for medical expenses.
[00:07:56.160 --> 00:07:56.160]   The other benefit of the account is if you don't use it for medical expenses.
[00:07:56.160 --> 00:07:56.160]   The other benefit of the account is if you don't use it for medical expenses.
[00:07:56.160 --> 00:07:56.160]   The other benefit of the account is if you don't use it for medical expenses.
[00:07:56.160 --> 00:07:56.160]   The other benefit of the account is if you don't use it for medical expenses.
[00:07:56.160 --> 00:07:56.160]   The other benefit of the account is if you don't use it for medical expenses.
[00:07:56.160 --> 00:07:56.160]   The other benefit of the account is if you don't use it for medical expenses.
[00:07:56.160 --> 00:07:56.160]   The other benefit of the account is if you don't use it for medical expenses.
[00:07:56.180 --> 00:08:26.180]   The other benefit of the account is if you don't use it for medical expenses.
[00:08:26.180 --> 00:08:26.180]   The other benefit of the account is if you don't use it for medical expenses.
[00:08:26.180 --> 00:08:26.180]   The other benefit of the account is if you don't use it for medical expenses.
[00:08:26.180 --> 00:08:26.180]   The other benefit of the account is if you don't use it for medical expenses.
[00:08:26.180 --> 00:08:26.180]   The other benefit of the account is if you don't use it for medical expenses.
[00:08:26.180 --> 00:08:26.180]   The other benefit of the account is if you don't use it for medical expenses.
[00:08:26.180 --> 00:08:26.180]   The other benefit of the account is if you don't use it for medical expenses.
[00:08:26.180 --> 00:08:26.180]   The other benefit of the account is if you don't use it for medical expenses.
[00:08:26.180 --> 00:08:26.180]   The other benefit of the account is if you don't use it for medical expenses.
[00:08:26.180 --> 00:08:26.180]   The other benefit of the account is if you don't use it for medical expenses.
[00:08:26.180 --> 00:08:26.180]   The other benefit of the account is if you don't use it for medical expenses.
[00:08:26.220 --> 00:08:56.200]  ,
[00:08:56.200 --> 00:08:56.200]   The other benefit of the account is if you don't use it for medical expenses.
[00:08:56.200 --> 00:08:56.200]   The other benefit of the account is if you don't use it for medical expenses.
[00:08:56.200 --> 00:08:56.200]   The other benefit of the account is if you don't use it for medical expenses.
[00:08:56.200 --> 00:08:56.200]   The other benefit of the account is if you don't use it for medical expenses.
[00:08:56.200 --> 00:08:56.200]   The other benefit of the account is if you don't use it for medical expenses.
[00:08:56.200 --> 00:08:56.200]   The other benefit of the account is if you don't use it for medical expenses.
[00:08:56.200 --> 00:08:56.200]   The other benefit of the account is if you don't use it for medical expenses.
[00:08:56.200 --> 00:08:56.200]   The other benefit of the account is if you don't use it for medical expenses.
[00:08:56.220 --> 00:09:26.220]   The other benefit of the account is if you don't use it for medical expenses.
[00:09:26.220 --> 00:09:26.220]   The other benefit of the account is if you don't use it for medical expenses.
[00:09:26.220 --> 00:09:26.220]   The other benefit of the account is if you don't use it for medical expenses.
[00:09:26.220 --> 00:09:26.220]   The other benefit of the account is if you don't use it for medical expenses.
[00:09:26.220 --> 00:09:26.220]   The other benefit of the account is if you don't use it for medical expenses.
[00:09:26.220 --> 00:09:26.220]   The other benefit of the account is if you don't use it for medical expenses.
[00:09:26.220 --> 00:09:26.220]   The other benefit of the account is if you don't use it for medical expenses.
[00:09:26.220 --> 00:09:26.220]   The other benefit of the account is if you don't use it for medical expenses.
[00:09:26.220 --> 00:09:26.220]   The other benefit of the account is if you don't use it for medical expenses.
[00:09:26.220 --> 00:09:26.220]   The other benefit of the account is if you don't use it for medical expenses.
[00:09:26.220 --> 00:09:26.220]   The other benefit of the account is if you don't use it for medical expenses.
[00:09:26.260 --> 00:09:56.240]   Nevad.
[00:09:56.240 --> 00:09:56.240]   The other benefit of the account is if you don't use it for medical expenses.
[00:09:56.240 --> 00:09:56.240]   The other benefit of the account is if you don't use it for medical expenses.
[00:09:56.240 --> 00:09:56.240]   The other benefit of the account is if you don't use it for medical expenses.
[00:09:56.240 --> 00:09:56.240]   The other benefit of the account is if you don't use it for medical expenses.
[00:09:56.240 --> 00:09:56.240]   Okay, I actually was not aware that I could potentially save a four thousand dollar receipt from today and withdraw that twenty years from now.
[00:09:56.240 --> 00:09:56.240]   Okay, I actually was not aware that I could potentially save a four thousand dollar receipt from today and withdraw that twenty years from now.
[00:09:56.240 --> 00:09:56.240]   Okay, I actually was not aware that I could potentially save a four thousand dollar receipt from today and withdraw that twenty years from now.
[00:09:56.240 --> 00:09:56.240]   I actually was not aware that potential to withdraw that twenty years from today and withdraw that twenty years from now.
[00:09:56.260 --> 00:10:26.260]   Okay, so no, it's even better for you because remember you don't have to.
[00:10:26.260 --> 00:10:26.260]   Let me clarify this because this is important.
[00:10:26.260 --> 00:10:26.260]   Let's pretend that that benefit did not exist.
[00:10:26.300 --> 00:10:56.280]  ,
[00:10:56.280 --> 00:10:56.280]   and you're not able to use it for medical expenses.
[00:10:56.280 --> 00:10:56.280]   So you could take it out for either of those.
[00:10:56.280 --> 00:10:56.280]   You could take it out when you wanted to.
[00:10:56.280 --> 00:10:56.280]   However, if you wanted to get the maximum benefit from the tax-free growth of the account,
[00:10:56.280 --> 00:10:56.280]   then essentially you would have to take it out for the cost of the account.
[00:10:56.280 --> 00:10:56.280]   So you could take it out for the cost of the account.
[00:10:56.280 --> 00:10:56.280]   However, if you wanted to get the maximum benefit from the tax-free growth of the account,
[00:10:56.280 --> 00:10:56.280]   then essentially you would have to take it out for the cost of the account.
[00:10:56.280 --> 00:10:56.280]   Then essentially you would have to take it out for the cost of the account.
[00:10:56.280 --> 00:10:56.280]   So you could take it out for the cost of the account.
[00:10:56.280 --> 00:10:56.280]   But if you want to take it out for the cost of the account,
[00:10:56.280 --> 00:10:56.280]   you would have to take it out for the cost of the account.
[00:10:56.280 --> 00:10:56.280]   but you would have to take it out for the cost of the account.
[00:10:56.300 --> 00:11:26.300]   But you would have to take it out for the cost of the account.
[00:11:26.300 --> 00:11:26.300]   You would have to take it out for the cost of the account.
[00:11:26.300 --> 00:11:26.300]   You would have to take it out for the cost of the account.
[00:11:26.300 --> 00:11:26.300]   You would have to take it out for the cost of the account.
[00:11:26.300 --> 00:11:26.300]   You would have to take it out for the cost of the account.
[00:11:26.300 --> 00:11:26.300]   You would have to take it out for the cost of the account.
[00:11:26.300 --> 00:11:26.300]   You would have to take it out for the cost of the account.
[00:11:26.300 --> 00:11:26.300]   You would have to take it out for the cost of the account.
[00:11:26.300 --> 00:11:26.300]   You would have to take it out for the cost of the account.
[00:11:26.300 --> 00:11:26.300]   You would have to take it out for the cost of the account.
[00:11:26.300 --> 00:11:26.300]   You would have to take it out for the cost of the account.
[00:11:26.300 --> 00:11:26.300]   You would have to take it out for the cost of the account.
[00:11:26.300 --> 00:11:26.300]   You would have to take it out for the cost of the account.
[00:11:26.300 --> 00:11:56.320]   I would have to take it out for the cost of the account.
[00:11:56.320 --> 00:11:56.320]   You would have to take it out for the cost of the account.
[00:11:56.320 --> 00:11:56.320]   You would have to take it out for the cost of the account.
[00:11:56.320 --> 00:11:56.320]   You would have to take it out for the cost of the account.
[00:11:56.320 --> 00:11:56.320]   You would have to take it out for the cost of the account.
[00:11:56.320 --> 00:11:56.320]   You would have to take it out for the cost of the account.
[00:11:56.320 --> 00:11:56.320]   You would have to take it out for the cost of the account.
[00:11:56.340 --> 00:12:26.340]   You would have to take it out for the cost of the account.
[00:12:26.340 --> 00:12:26.340]   You would have to take it out for the cost of the account.
[00:12:26.340 --> 00:12:26.340]   You would have to take it out for the cost of the account.
[00:12:26.340 --> 00:12:26.340]   You would have to take it out for the cost of the account.
[00:12:26.340 --> 00:12:26.340]   You would have to take it out for the cost of the account.
[00:12:26.340 --> 00:12:26.340]   You would have to take it out for the cost of the account.
[00:12:26.340 --> 00:12:26.340]   You would have to take it out for the cost of the account.
[00:12:26.340 --> 00:12:26.340]   You would have to take it out for the cost of the account.
[00:12:26.340 --> 00:12:26.340]   You would have to take it out for the cost of the account.
[00:12:26.340 --> 00:12:26.340]   You would have to take it out for the cost of the account.
[00:12:26.340 --> 00:12:26.340]   You would have to take it out for the cost of the account.
[00:12:26.340 --> 00:12:26.340]   You would have to take it out for the cost of the account.
[00:12:26.340 --> 00:12:26.340]   You would have to take it out for the cost of the account.
[00:12:26.360 --> 00:12:56.360]  ,
[00:12:56.360 --> 00:12:56.360]   You would have to take it out for the cost of the account.
[00:12:56.360 --> 00:12:56.360]   You would have to take it out for the cost of the account.
[00:12:56.360 --> 00:12:56.360]   You would have to take it out for the cost of the account.
[00:12:56.360 --> 00:12:56.360]   You would have to take it out for the cost of the account.
[00:12:56.360 --> 00:12:56.360]   You would have to take it out for the cost of the account.
[00:12:56.360 --> 00:12:56.360]   You would have to take it out for the cost of the account.
[00:12:56.360 --> 00:12:56.360]   You would have to take it out for the cost of the account.
[00:12:56.360 --> 00:12:56.360]   You would have to take it out for the cost of the account.
[00:13:26.380 --> 00:13:26.380]   Do you still intend to be involved with the work you are doing?
[00:13:26.380 --> 00:13:26.380]   Do you still intend to be involved with the work you are doing?
[00:13:26.380 --> 00:13:26.380]   Do you still intend to be involved with the work you are doing?
[00:13:26.380 --> 00:13:26.380]   Do you still intend to be involved with the work you are doing?
[00:13:26.380 --> 00:13:26.380]   Do you still intend to be involved with the work you are doing?
[00:13:26.380 --> 00:13:26.380]   Do you still intend to be involved with the work you are doing?
[00:13:26.380 --> 00:13:26.380]   Do you still intend to be involved with the work you are doing?
[00:13:26.380 --> 00:13:26.380]   Do you still intend to be involved with the work you are doing?
[00:13:26.380 --> 00:13:26.380]   Do you still intend to be involved with the work you are doing?
[00:13:26.380 --> 00:13:26.380]   Do you still intend to be involved with the work you are doing?
[00:13:26.380 --> 00:13:26.380]   Do you still intend to be involved with the work you are doing?
[00:13:26.380 --> 00:13:26.380]   Do you still intend to be involved with the work you are doing?
[00:13:56.400 --> 00:13:56.400]   Do you still intend to be involved with the work you are doing?
[00:13:56.400 --> 00:13:56.400]   Do you still intend to be involved with the work you are doing?
[00:13:56.400 --> 00:13:56.400]   Do you still intend to be involved with the work you are doing?
[00:13:56.400 --> 00:13:56.400]   Do you still intend to be involved with the work you are doing?
[00:13:56.400 --> 00:13:56.400]   Do you still intend to be involved with the work you are doing?
[00:13:56.400 --> 00:13:56.400]   Do you still intend to be involved with the work you are doing?
[00:13:56.400 --> 00:13:56.400]   Do you still intend to be involved with the work you are doing?
[00:13:56.400 --> 00:13:56.400]   Do you still intend to be involved with the work you are doing?
[00:13:56.400 --> 00:13:56.400]   But I'm not sure that's a good way to be open to be involved with the work that's not full-time vocational ministry.
[00:13:56.440 --> 00:14:26.420]   I'm not sure that's a good way to be open to be involved with the work that's not full-time vocational ministry.
[00:14:26.420 --> 00:14:26.420]   But I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:14:26.420 --> 00:14:26.420]   But I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:14:26.420 --> 00:14:26.420]   But I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:14:26.420 --> 00:14:26.420]   But I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:14:26.420 --> 00:14:26.420]   But I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:14:26.420 --> 00:14:26.420]   But I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:14:26.440 --> 00:14:56.440]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:14:56.440 --> 00:14:56.440]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:14:56.440 --> 00:14:56.440]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:14:56.440 --> 00:14:56.440]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:14:56.440 --> 00:14:56.440]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:14:56.440 --> 00:14:56.440]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:14:56.440 --> 00:14:56.440]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:14:56.440 --> 00:14:56.440]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:15:26.460 --> 00:15:26.460]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:15:26.460 --> 00:15:26.460]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:15:26.460 --> 00:15:26.460]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:15:26.460 --> 00:15:26.460]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:15:26.460 --> 00:15:26.460]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:15:26.460 --> 00:15:26.460]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:15:26.460 --> 00:15:26.460]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:15:26.460 --> 00:15:26.460]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:15:26.480 --> 00:15:56.480]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:15:56.480 --> 00:15:56.480]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:15:56.480 --> 00:15:56.480]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:15:56.480 --> 00:15:56.480]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:15:56.480 --> 00:15:56.480]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:15:56.480 --> 00:15:56.480]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:15:56.480 --> 00:15:56.480]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:15:56.480 --> 00:15:56.480]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:15:56.520 --> 00:16:26.500]  ,
[00:16:26.500 --> 00:16:26.500]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:16:26.500 --> 00:16:26.500]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:16:26.500 --> 00:16:26.500]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:16:26.500 --> 00:16:26.500]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:16:26.500 --> 00:16:26.500]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:16:26.500 --> 00:16:26.500]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:16:26.500 --> 00:16:26.500]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:16:26.500 --> 00:16:26.500]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:16:26.520 --> 00:16:56.520]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:16:56.520 --> 00:16:56.520]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:16:56.520 --> 00:16:56.520]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:16:56.520 --> 00:16:56.520]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:16:56.520 --> 00:16:56.520]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:16:56.520 --> 00:16:56.520]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:16:56.520 --> 00:16:56.520]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:16:56.520 --> 00:16:56.520]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:16:56.540 --> 00:17:26.540]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:17:26.540 --> 00:17:26.540]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:17:26.540 --> 00:17:26.540]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:17:26.540 --> 00:17:26.540]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:17:26.540 --> 00:17:26.540]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:17:26.540 --> 00:17:26.540]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:17:26.540 --> 00:17:26.540]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:17:26.540 --> 00:17:26.540]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:17:26.580 --> 00:17:56.560]  ,
[00:17:56.560 --> 00:17:56.560]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:17:56.560 --> 00:17:56.560]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:17:56.560 --> 00:17:56.560]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:17:56.560 --> 00:17:56.560]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:17:56.560 --> 00:17:56.560]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:17:56.560 --> 00:17:56.560]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:17:56.560 --> 00:17:56.560]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:17:56.560 --> 00:17:56.560]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:17:56.580 --> 00:18:26.580]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:18:26.580 --> 00:18:26.580]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:18:26.580 --> 00:18:26.580]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:18:26.580 --> 00:18:26.580]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:18:26.580 --> 00:18:26.580]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:18:26.580 --> 00:18:26.580]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:18:26.580 --> 00:18:26.580]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:18:26.580 --> 00:18:26.580]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:18:56.600 --> 00:18:56.600]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:18:56.600 --> 00:18:56.600]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:18:56.600 --> 00:18:56.600]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:18:56.600 --> 00:18:56.600]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:18:56.600 --> 00:18:56.600]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:18:56.600 --> 00:18:56.600]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:18:56.600 --> 00:18:56.600]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
[00:19:26.620 --> 00:19:26.620]   I'm not sure that's a good way to be involved with the work that's not full-time vocational ministry.
